[00:00.000 --> 00:17.440]  It's hard to believe it's already Monday, the 21st day of August 2017, but it is.
[2:47:35.800 --> 2:47:37.800]  But keep talking to us. Keep talking to you. You came over.
[2:47:37.800 --> 2:47:38.800]  I have to go home.
[2:47:38.800 --> 2:47:39.800]  No, no, no. Don't think about it.
[2:47:39.800 --> 2:47:40.800]  I saw you earlier today.
[2:47:40.800 --> 2:47:45.800]  You'd actually like to see the economy implode rather than just to hurt Trump.
[2:47:45.800 --> 2:47:47.800]  I think you are full of conspiracies.
[2:47:47.800 --> 2:47:50.800]  Okay, okay. So they're actually trying to make the economy implode.
[2:47:50.800 --> 2:47:52.800]  They even announced that the head of this group resigned.
[2:47:52.800 --> 2:47:54.800]  I mean, you're lying.
[2:47:54.800 --> 2:47:58.800]  I think you are full of conspiracies, and I don't think that you are helping our country.
[2:47:58.800 --> 2:48:00.800]  Did you know the media misrepresents what I actually said?
[2:48:00.800 --> 2:48:02.800]  Like, give me an example of one of my conspiracies.
[2:48:02.800 --> 2:48:03.800]  Uh, that...
[2:48:03.800 --> 2:48:04.800]  Come on, come in.
[2:48:04.800 --> 2:48:06.800]  That water is making the frauds gain.
[2:48:06.800 --> 2:48:10.800]  Now, that is an edited thing for comedy shows they did.
[2:48:10.800 --> 2:48:14.800]  Have you heard about Atrazine causing about 60% of the amphibian life to be sterile?
[2:48:14.800 --> 2:48:16.800]  I think you are ridiculous.
[2:48:16.800 --> 2:48:18.800]  So I'm telling you, run off in the water.
[2:48:18.800 --> 2:48:21.800]  It's hurting children and causing chemical changes in the brain.
[2:48:21.800 --> 2:48:23.800]  No, he's hurting children.
[2:48:23.800 --> 2:48:24.800]  He's... Okay.
[2:48:24.800 --> 2:48:26.800]  You're not worried about chemical runoff in the water?
[2:48:26.800 --> 2:48:27.800]  I'm worried about Nazis.
[2:48:27.800 --> 2:48:28.800]  You're worried about Nazis?
[2:48:28.800 --> 2:48:29.800]  Yeah, I'm worried about...
[2:48:29.800 --> 2:48:30.800]  This is perfect.
[2:48:30.800 --> 2:48:31.800]  I'm worried about Bannon.
[2:48:31.800 --> 2:48:32.800]  Okay, you're worried about Bannon?
[2:48:32.800 --> 2:48:33.800]  Yeah, I'm worried.
[2:48:33.800 --> 2:48:34.800]  So you don't know about Atrazine?
[2:48:34.800 --> 2:48:36.800]  I don't know about Atrazine.
[2:48:36.800 --> 2:48:37.800]  She just walked over.
[2:48:37.800 --> 2:48:38.800]  See, first.
[2:48:38.800 --> 2:48:42.800]  We love, it doesn't matter your race, it doesn't matter where you come from.
[2:48:42.800 --> 2:48:47.800]  You should all have the right to live here and all the right to not have negative things
[2:48:47.800 --> 2:48:48.800]  after you.
[2:48:48.800 --> 2:48:50.800]  So just being murdered by a car.
[2:48:50.800 --> 2:48:54.800]  Well, but like the Muslims just ran over 13 people and killed them, or over 100.
[2:48:54.800 --> 2:48:55.800]  In Barcelona.
[2:48:55.800 --> 2:48:56.800]  In fact check.
[2:48:56.800 --> 2:48:57.800]  Yeah, fact check.
[2:48:57.800 --> 2:48:58.800]  Oh, it didn't happen today.
[2:48:58.800 --> 2:48:59.800]  It didn't happen yesterday.
[2:48:59.800 --> 2:49:01.800]  Right here, tell people intellectually who you are.
[2:49:01.800 --> 2:49:02.800]  Intellectually who I am.
[2:49:02.800 --> 2:49:03.800]  Go ahead, yeah, yeah.
[2:49:03.800 --> 2:49:04.800]  I'm your mama.
[2:49:04.800 --> 2:49:05.800]  Yeah, I can't even talk.
[2:49:05.800 --> 2:49:06.800]  Look at you.
[2:49:06.800 --> 2:49:08.800]  This is what they've turned the people into.
[2:49:08.800 --> 2:49:09.800]  This is it, right here.
[2:49:09.800 --> 2:49:11.800]  A literal slave of the system.
[2:49:11.800 --> 2:49:12.800]  See that?
[2:49:12.800 --> 2:49:13.800]  That's who they are.
[2:49:13.800 --> 2:49:14.800]  Look at this slave.
[2:49:14.800 --> 2:49:15.800]  That was great.
[2:49:15.800 --> 2:49:16.800]  Get a hit to go ahead.
[2:49:16.800 --> 2:49:17.800]  Go ahead.
[2:49:17.800 --> 2:49:18.800]  Go ahead.
[2:49:18.800 --> 2:49:19.800]  I know.
[2:49:19.800 --> 2:49:20.800]  This is your brain wash.
[2:49:20.800 --> 2:49:21.800]  This is the brain wash.
[2:49:21.800 --> 2:49:22.800]  Where they have more coffee.
[2:49:22.800 --> 2:49:23.800]  This is the brain wash.
[2:49:23.800 --> 2:49:24.800]  You see?
[2:49:24.800 --> 2:49:25.800]  And I'm proud of this.
[2:49:25.800 --> 2:49:26.800]  Because this is who they are.
[2:49:26.800 --> 2:49:27.800]  I've delivered them.
[2:49:27.800 --> 2:49:28.800]  That's why they're out live with jihadis.
[2:49:28.800 --> 2:49:33.800]  Because they hate the West so much.
[2:49:33.800 --> 2:49:36.800]  So he told me, I'm gonna pour my hot coffee on you.
[2:49:36.800 --> 2:49:37.800]  And I said, go ahead.
[2:49:37.800 --> 2:49:41.800]  And quite frankly, it was just, it felt wonderful.
[2:49:41.800 --> 2:49:43.800]  It's like a hot bath.
[2:49:43.800 --> 2:49:44.800]  And that's what this is all about.
[2:49:44.800 --> 2:49:47.800]  It's just being baptized in the truth.
[2:49:47.800 --> 2:49:50.800]  And seeing these guys be forced to awaken.
[2:49:50.800 --> 2:49:53.800]  So that's why we're out here.
[2:49:53.800 --> 2:49:59.800]  To show you the abject fear these people are in.
[2:49:59.800 --> 2:50:03.800]  And how scared they are of someone actually trying to return power back to the people.
[2:50:03.800 --> 2:50:05.800]  And actually turning the economy on.
[2:50:05.800 --> 2:50:07.800]  They're so pissed about 4 trillion in the sub market.
[2:50:07.800 --> 2:50:11.800]  They're so pissed about 400 billion in new jobs.
[2:50:11.800 --> 2:50:12.800]  1.5 million new jobs.
[2:50:12.800 --> 2:50:15.800]  They're so pissed over 1,000 companies coming back.
[2:50:15.800 --> 2:50:20.800]  They're so pissed that their whole identity was in Hillary.
[2:50:20.800 --> 2:50:24.800]  This evil globalist.
[2:50:24.800 --> 2:50:28.800]  And that when she failed, they all felt existential wounded.
[2:50:28.800 --> 2:50:31.800]  And so the demonization by the media began.
[2:50:31.800 --> 2:50:35.800]  And then I deserve to be attacked by these fascists.
[2:50:35.800 --> 2:50:37.800]  Because they believe I'm a Nazi.
[2:50:37.800 --> 2:50:39.800]  And that was only a fraction of it.
[2:50:39.800 --> 2:50:43.800]  We're gonna come back with Jack Posovic straight ahead and talk to Alex, Josh, Dan, Kevin, Jason and others.
[2:50:43.800 --> 2:50:46.800]  And then day to night, we're already hosting three hours this morning.
[2:50:46.800 --> 2:50:47.800]  He's hosting the fourth hour.
[2:50:47.800 --> 2:50:51.800]  But we got a lot of other special guests coming up like Paul Watson tomorrow.
[2:50:51.800 --> 2:51:20.800]  We'll be right back.
[2:51:22.800 --> 2:51:29.800]  You want to save money in a place that gives you growth, control and certainty without stock market risk or tax risk.
[2:51:29.800 --> 2:51:32.800]  And you want guarantees and you want it all tax free.
[2:51:32.800 --> 2:51:33.800]  That's a tall order.
[2:51:33.800 --> 2:51:38.800]  But you can get all of that with properly designed participating whole life insurance.
[2:51:38.800 --> 2:51:41.800]  Most people think life insurance pays after you're dead.
[2:51:41.800 --> 2:51:42.800]  That's true.
[2:51:42.800 --> 2:51:46.800]  But you can have tax free access to use your life insurance while you're alive.
[2:51:46.800 --> 2:51:52.800]  Get the free book to find out how. Call 702-660-7000.
[2:52:16.800 --> 2:52:26.800]  This is Dan Pilla. Do you have the IRS money you can't pay? Are tax debts crippling you?
[2:52:26.800 --> 2:52:29.800]  I've defended people from the IRS for over 30 years.
[2:52:29.800 --> 2:52:31.800]  I've helped thousands and I can help you too.
[2:52:31.800 --> 2:52:36.800]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[2:52:36.800 --> 2:52:40.800]  Call 800-34-NO-TAX to finally get free of IRS debt.
[2:52:40.800 --> 2:52:44.800]  With the IRS's new programs, there's never been a better time to solve your problem.
[2:52:44.800 --> 2:52:51.800]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[2:53:15.800 --> 2:53:19.800]  My blood pressure has normalized. My diabetes has totally improved.
[2:53:19.800 --> 2:53:23.800]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[2:53:23.800 --> 2:53:25.800]  I recommend heart and body extract to everyone.
[2:53:25.800 --> 2:53:44.800]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[2:53:55.800 --> 2:54:02.800]  All right, we're taking your phone calls this segment to the next.
[2:54:02.800 --> 2:54:07.800]  I'll host a little bit in with David Knight coming up in the fourth hour.
[2:54:07.800 --> 2:54:12.800]  Wow, I haven't even gotten to the IT staffers and I'm not even covering the eclipse,
[2:54:12.800 --> 2:54:15.800]  especially mostly across the United States right now.
[2:54:15.800 --> 2:54:20.800]  It hasn't happened since 1776, but the crew just found something really big.
[2:54:20.800 --> 2:54:26.800]  This is only a smattering what you just saw last segment of people coming over and yelling and screaming
[2:54:26.800 --> 2:54:33.800]  and then running away and refusing to ever talk to me and refusing to defend their ideas.
[2:54:33.800 --> 2:54:42.800]  Esperanzo was this UN-created language of Chinese, Spanish, English, and some other languages that would be run from the UN.
[2:54:42.800 --> 2:54:46.800]  It totally failed, but here's the little globalist, one of the guys that walked over,
[2:54:46.800 --> 2:54:52.800]  wearing an Esperanzo shirt, a second language for us all, a second language for everyone,
[2:54:52.800 --> 2:54:55.800]  a total failure of social engineers.
[2:54:55.800 --> 2:54:59.800]  And they're in their little enclaves like Seattle that they've hijacked,
[2:54:59.800 --> 2:55:03.800]  kind of like a crab moving into somebody else's shell that they didn't build,
[2:55:03.800 --> 2:55:07.800]  and they're just there perching and their religion is hating America.
[2:55:07.800 --> 2:55:11.800]  We have the footage shot last night where people chant, Death to America,
[2:55:11.800 --> 2:55:16.800]  a U.T. as they take down Robert E. Lee's statue, and forget Robert E. Lee.
[2:55:16.800 --> 2:55:18.800]  People don't even pay attention to those statues.
[2:55:18.800 --> 2:55:21.800]  It's that that's who these people are.
[2:55:21.800 --> 2:55:24.800]  That's on infowars.com, but it's good.
[2:55:24.800 --> 2:55:30.800]  Bannon exit looks, I don't like that, but it's good to see these IT staffers from Pakistan,
[2:55:30.800 --> 2:55:32.800]  clearly intelligence ops.
[2:55:32.800 --> 2:55:33.800]  We knew that from our sources.
[2:55:33.800 --> 2:55:37.800]  We covered this six months ago, so the Dujak now penetrated, now arrested,
