[00:00:08.490 --> 00:00:11.432]  Thursday, November 24th, the year 2022.
[02:44:31.642 --> 02:44:37.164]  I mean, I've been able to be on podcasts with Alex and Joe Rogan and TimCast, the super TimCast IRL.
[02:44:37.164 --> 02:44:42.747]  Listen, what I'm saying is, do not take Alex Jones and Bandot video for granted.
[02:44:42.987 --> 02:44:45.468]  Because you don't know what you have until it's gone.
[02:44:45.468 --> 02:44:48.170]  We need to support free speech systems right now.
[02:44:48.170 --> 02:44:49.651]  So go check out the store.
[02:44:49.651 --> 02:44:50.831]  Go support their store.
[02:44:50.831 --> 02:44:52.352]  Go support InfoWars.
[02:44:52.352 --> 02:44:53.713]  Leave a donation right now.
[02:44:53.713 --> 02:44:55.214]  Don't wait until they're gone!
[02:44:57.975 --> 02:45:00.196]  It's a post-COVID world now.
[02:45:00.196 --> 02:45:04.218]  Americans have lost trust in their doctors and the healthcare system.
[02:45:04.218 --> 02:45:05.539]  There's a solution.
[02:45:05.539 --> 02:45:06.519]  The Wellness Company.
[02:45:06.519 --> 02:45:09.821]  I'm Dr. Peter McCullough, and I'm the Chief Scientific Officer.
[02:45:09.821 --> 02:45:17.024]  And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand,
[02:45:17.284 --> 02:45:43.365]  Prescriptions through a network of community pharmacies, in-home, in vitro diagnostics, laboratory testing, imaging, an online set of holistic products can help guide you for your usual general medical care, but also COVID-19, acute and post-COVID syndromes, vaccine injury syndromes, and the array of things that now America has to work through in this new
[02:45:44.358 --> 02:45:44.599]  Thank you.
[02:45:57.532 --> 02:46:09.557]  As an all-star fighter, businessman, motivational speaker, and philanthropist, Andrew Tate has truly earned the title of Top G. But there's another title Andrew Tate holds that has enraged the globalists.
[02:46:09.557 --> 02:46:14.979]  He is consecutively the most googled man in the world in the last two years.
[02:46:14.979 --> 02:46:19.561]  And that's because his message is about human, and specifically, male empowerment.
[02:46:20.061 --> 02:46:26.304]  Now, Andrew Tate is taking his fight to empower and supercharge men to the next level.
[02:46:26.304 --> 02:46:29.265]  Introducing Top G Supplements.
[02:46:29.265 --> 02:46:34.547]  We are proud to introduce and sponsor the Top G line of supplements by Andrew Tate and his crew.
[02:46:34.547 --> 02:46:40.549]  Now you have the chance to benefit in body, mind, and soul with the same supplements that Andrew Tate takes himself.
[02:46:40.549 --> 02:46:44.171]  Learn more about these amazing products at andrewtatepower.com.
[02:46:45.311 --> 02:46:50.094]  AndrewTatePower.com and discover the power of Andrew Tate's new supplements.
[02:46:50.094 --> 02:46:51.915]  They're the highest quality on the market.
[02:46:51.915 --> 02:46:52.916]  Men grow up to be like me.
[02:46:52.916 --> 02:46:59.820]  You're gonna have a whole bunch of people with no criminal record, dedicated athletes, who protect and provide for the people close to them.
[02:46:59.820 --> 02:47:04.443]  Leading a frontal assault on the lies of the New World Order.
[02:47:04.443 --> 02:47:05.724]  It's Alex Jones!
[02:47:25.137 --> 02:47:27.238]  We got some Clockwork Orange music bringing us in here.
[02:47:27.238 --> 02:47:30.180]  Vivian Kubrick, you got caught off by that break, I'm sorry.
[02:47:30.180 --> 02:47:31.281]  We'll try to take it out of context.
[02:47:31.281 --> 02:47:34.483]  Go back to what you were saying and complete the statement.
[02:47:34.483 --> 02:47:43.169]  Alright, so I'm sick of Jewish criminals, Christian criminals, Buddhist criminals, atheist criminals, whatever you are, you're a criminal.
[02:47:43.169 --> 02:47:51.835]  But in this whole thing, the Jewish issue of, you know, claiming people are anti-Semitic if they attack a Jewish criminal,
[02:47:52.455 --> 02:47:53.556]  There are plenty of Jews.
[02:47:53.556 --> 02:47:56.837]  There are like 15.2 million Jews on this planet.
[02:47:56.837 --> 02:47:59.378]  I don't think they want to be associated with George Soros.
[02:47:59.378 --> 02:48:01.899]  George Soros is a criminal and a psychopath.
[02:48:01.899 --> 02:48:09.122]  You only have to listen to his interview where he claims that it was the happiest time of his life when he was handing Jews over to the Nazis.
[02:48:09.122 --> 02:48:10.723]  So he is a nut job.
[02:48:11.423 --> 02:48:26.734]  I have no hesitation in describing him as a criminal, an arch-criminal, and he cannot hide behind anti-Semitism when he claims that it's, or people claim that it's anti-Semitic to say that he's a horrific criminal.
[02:48:27.555 --> 02:48:34.858]  And just as you, you know, there are Christian criminals, if you say that... Yeah, none of them should be able to hide behind a religion or an ethnicity.
[02:48:34.858 --> 02:48:34.958]  No!
[02:48:34.958 --> 02:48:44.581]  But these people are good at making it about that as a diversion, and there are plenty of groups that are out of control that hate people because of what group they've been part of, and that's terrible too.
[02:48:44.581 --> 02:48:48.402]  Well, actually the only group that I think the left won't criticize now is Satanists.
[02:48:48.402 --> 02:48:51.223]  I think that's the most protected class, I think.
[02:48:51.223 --> 02:48:52.464]  The most protected group, I think.
[02:48:53.024 --> 02:48:54.124]  That's a good point.
[02:48:54.124 --> 02:48:55.865]  That is a terrifyingly good point.
[02:48:55.865 --> 02:48:56.405]  No, it's true.
[02:48:56.405 --> 02:49:01.227]  Why do you think that is?
[02:49:01.227 --> 02:49:02.127]  Why do you think it is?
[02:49:02.127 --> 02:49:05.448]  I mean, my docuseries, Best Kept Secret, got into all this, right?
[02:49:05.448 --> 02:49:09.589]  The whole dark cabal and how this is an inversion agenda.
[02:49:09.589 --> 02:49:11.810]  I mean, if you really think about what's happened in our reality,
[02:49:12.250 --> 02:49:14.751]  And, you know, left is right and up is down and black is white.
[02:49:14.751 --> 02:49:18.233]  I mean, that's all Stanton LeVay was talking about that back in the 70s.
[02:49:18.233 --> 02:49:20.034]  That was his quote, you know, freedom is slavery.
[02:49:20.034 --> 02:49:22.636]  I mean, there was a complete inversion of reality.
[02:49:22.636 --> 02:49:33.642]  And to get to this place now where we are in a place where kids can't drink, but they can have a sex change and for the, you know, permanently, you know, castrating themselves, that's normalized.
[02:49:33.642 --> 02:49:38.245]  I mean, you can have abortion up until birth, if not after birth in California.
[02:49:38.945 --> 02:49:43.386]  I mean, things like this that just was like, it was so far, like so far from us.
[02:49:43.386 --> 02:49:45.066]  This really is a satanic revolution.
[02:49:45.066 --> 02:49:45.327]  Right?
[02:49:45.327 --> 02:49:46.687]  It's a really fascinating thing to watch.
[02:49:46.687 --> 02:49:49.087]  That'd be a great book or film, The Satanic Revolution.
[02:49:49.087 --> 02:49:51.508]  Oh, don't, you'll encourage them.
[02:49:51.508 --> 02:49:53.668]  Well, no, we'd expose it, that'd be our film.
[02:49:53.668 --> 02:49:59.850]  Well, I do think that this is... Sean Stone, Vivian Cooper, and Alex Jones in the new top film, The Satanic Revolution.
[02:50:01.206 --> 02:50:03.368]  Oh, they'll probably go, oh, this will be worth watching.
[02:50:03.368 --> 02:50:05.149]  They'll think it's about them in a really nice way.
[02:50:05.149 --> 02:50:12.514]  But explain how they're being set up to be alone and cut off being selfish and how you think the devil's hot cheerleaders or whatever.
[02:50:12.514 --> 02:50:13.235]  But it's not.
[02:50:13.235 --> 02:50:14.836]  It's impoverishment.
[02:50:14.836 --> 02:50:15.496]  It's betrayal.
[02:50:15.496 --> 02:50:16.177]  It's death.
[02:50:16.177 --> 02:50:21.520]  But Alex, this is the most key thing about understanding, let's say, the devil or Satan.
[02:50:21.520 --> 02:50:25.123]  Let's say it's not even a question of this actually being a real being that lives.
[02:50:25.123 --> 02:50:26.324]  Let's just say... The archetype.
[02:50:26.664 --> 02:50:27.284]  Right.
[02:50:27.284 --> 02:50:30.165]  That what you're dealing with is half-truths.
[02:50:30.165 --> 02:50:45.189]  The only way you can persuade people is if you actually have half of the truth, and in that way you can enslave them, because that's how you... I mean, con artists, the government, the CIA, they always try and hang on... When you're catching a bass, there's a real live worm on the hook.
[02:50:45.868 --> 02:50:48.690]  There has to be something there that's real.
[02:50:48.690 --> 02:50:50.791]  Otherwise you're not going to capture people.
[02:50:50.791 --> 02:50:54.254]  And then what you do is you just keep putting them off.
[02:50:54.254 --> 02:50:57.096]  You just keep navigating them away from the truth.
[02:50:57.096 --> 02:51:02.400]  And then it's only when it's too late and they're caught in a trap, or they're so deluded that they don't... I agree.
[02:51:02.400 --> 02:51:05.362]  What I've noticed is that people who buy lottery tickets are degenerate gamblers.
[02:51:06.325 --> 02:51:09.488]  They're being abused by it, but they keep doubling down because they've invested so much.
[02:51:09.488 --> 02:51:10.209]  Right.
[02:51:10.209 --> 02:51:12.611]  Well, that's a real crazy part of humanity.
[02:51:12.611 --> 02:51:27.527]  I mean, the human condition is that the attempt to be right is so powerful that the defensiveness that comes over people when you even remotely go at the things that they're hanging on to is the truth.
[02:51:27.527 --> 02:51:28.968]  I'm sorry, banging my mic here.
[02:51:30.009 --> 02:51:32.271]  Yeah, is that they get very defensive.
[02:51:32.271 --> 02:51:44.581]  That's why it's a real art to enter into a conversation with, for instance, people who have been fully PSYOPT and gently, you know, get them back into a place where they can differentiate.
[02:51:44.581 --> 02:51:52.007]  And the thing is, I've had this conversation with someone who is very progressive and said, oh, it's not true what you're saying, that they were going to kill babies at birth.
[02:51:52.007 --> 02:51:53.889]  And I said, look, here is this woman.
[02:51:53.889 --> 02:51:55.130]  Here's the legislation.
[02:51:55.430 --> 02:51:56.571]  Well, here's the legislation.
[02:51:56.571 --> 02:51:57.272]  I sent him that.
[02:51:57.272 --> 02:52:05.080]  I said, here's the woman speaking to the court, and the judge says to her, so you're saying that you would actually end the life of a baby after it's born?
[02:52:05.080 --> 02:52:06.541]  And she kept iffing and uffing.
[02:52:06.541 --> 02:52:08.363]  And then he said, well, yeah.
[02:52:08.363 --> 02:52:09.584]  Yeah, that would be what it is.
[02:52:09.584 --> 02:52:13.788]  And the guy said to me, oh, she's just not good at expressing herself.
[02:52:13.788 --> 02:52:14.629]  And I went, what?
[02:52:15.490 --> 02:52:21.584]  She absolutely clearly said, yes, we would consider... That's right, they have like a form of Stockholm Syndrome.
[02:52:21.584 --> 02:52:23.528]  Is it even worth it to try to save those people?
[02:52:23.528 --> 02:52:26.114]  Instead, get the people that are awake just to stop complying?
[02:52:27.625 --> 02:52:28.105]  We have to.
[02:52:28.105 --> 02:52:30.868]  I mean, we have to do something here.
[02:52:30.868 --> 02:52:32.349]  That's clear, right?
[02:52:32.349 --> 02:52:37.313]  And again, I don't know that you can do it with this system the way that it's rigged currently, right?
[02:52:37.313 --> 02:52:50.225]  I mean, that was the most disheartening thing of the last few weeks was just watching 2020 happen all over again with these drawn-out mail-in ballot schemes, right, that's taking days and then obviously, you know, just seeing it, it's inevitable, right?
[02:52:50.225 --> 02:52:53.968]  As you said, you're optimistic because there's a lot of awakening worldwide, but it's paradoxical.
