[00:00.000 --> 00:28.000]  From the Infowars.com News Center, deep behind enemy lines, in the middle of the night,
[02:44:22.180 --> 02:44:25.180]  If I walk down the street and I see a blade of grass and I call it a blade of grass
[02:44:25.180 --> 02:44:28.180]  before I take it into a lab and analyze it, but I was right, isn't that?
[02:44:28.180 --> 02:44:30.180]  I mean, that's pretty obvious, right? It's a blade of grass.
[02:44:30.180 --> 02:44:34.180]  Right, but one thing is making comments about intelligence and public safety,
[02:44:34.180 --> 02:44:36.180]  and the other is a blade of grass.
[02:44:36.180 --> 02:44:37.180]  Okay, so look.
[02:44:37.180 --> 02:44:39.180]  Was he right? Was he right, dumbass?
[02:44:39.180 --> 02:44:44.180]  Donald Trump was right, but Hillary Clinton also said it was a bomb, and then CNN cut it.
[02:44:44.180 --> 02:44:45.180]  Put a piece of...
[02:44:45.180 --> 02:44:46.180]  Sure. What's your point?
[02:44:46.180 --> 02:44:47.180]  So Hillary Clinton...
[02:44:47.180 --> 02:44:48.180]  Hillary Clinton, I'm in the lecture room.
[02:44:48.180 --> 02:44:50.180]  That's her conclusion from that, that Hillary Clinton...
[02:44:50.180 --> 02:44:54.180]  Hillary Clinton said it was a bomb, CNN cut it, and then Trump said it,
[02:44:54.180 --> 02:44:56.180]  but you're saying that's not hypocritical?
[02:44:56.180 --> 02:45:00.180]  I'm saying that she's criticizing someone for spreading information without knowing all the time.
[02:45:00.180 --> 02:45:04.180]  She did it too. She did the same thing, and CNN cut it. That's what I'm telling you.
[02:45:04.180 --> 02:45:08.180]  I mean, look, you might be... I don't know, that's...
[02:45:08.180 --> 02:45:14.180]  If you're saying that she was wrong to criticize someone for doing something that she was doing herself,
[02:45:14.180 --> 02:45:16.180]  and that's hypocritical, then, you know, maybe you're right.
[02:45:16.180 --> 02:45:17.180]  That is what happened.
[02:45:17.180 --> 02:45:20.180]  Yeah, but you were also calling her a liar or a creep.
[02:45:20.180 --> 02:45:21.180]  Well, she's definitely a liar.
[02:45:21.180 --> 02:45:23.180]  She said she has no medical problems.
[02:45:23.180 --> 02:45:26.180]  Okay. Do you think Hillary Clinton has any medical problems?
[02:45:26.180 --> 02:45:28.180]  No. Well, pneumonia.
[02:45:28.180 --> 02:45:29.180]  Just pneumonia?
[02:45:29.180 --> 02:45:32.180]  Hey, ask if he knows who Carl the Cuck is, and what do you like his name to be?
[02:45:32.180 --> 02:45:35.180]  I didn't run away. I'm glad you spoke to me.
[02:45:35.180 --> 02:45:37.180]  Ask if he knows who Carl the Cuck is.
[02:45:37.180 --> 02:45:39.180]  Do you know who Carl the Cuck is?
[02:45:39.180 --> 02:45:40.180]  What?
[02:45:40.180 --> 02:45:41.180]  Do you know who Carl the Cuck is?
[02:45:41.180 --> 02:45:42.180]  Are you related?
[02:45:42.180 --> 02:45:43.180]  No, I'm not.
[02:45:43.180 --> 02:45:45.180]  All right, man. Hey, thank you for your time. Go back to work.
[02:45:45.180 --> 02:45:47.180]  Enjoy your new name.
[02:45:47.180 --> 02:45:48.180]  Yeah.
[02:45:48.180 --> 02:45:50.180]  Hillary Clinton is not a liar.
[02:45:50.180 --> 02:45:51.180]  Hey, let's see.
[02:45:51.180 --> 02:45:53.180]  Are there any Hillary Clinton people?
[02:45:53.180 --> 02:45:54.180]  Look at that guy. Look at these people.
[02:45:54.180 --> 02:45:55.180]  You like Hillary Clinton?
[02:45:55.180 --> 02:45:56.180]  Yeah.
[02:45:56.180 --> 02:45:59.180]  What do you think about her criticizing Donald Trump for calling it a bombing?
[02:45:59.180 --> 02:46:04.180]  I think she was correct. I support her.
[02:46:04.180 --> 02:46:06.180]  So you don't think it was a bombing?
[02:46:06.180 --> 02:46:08.180]  Excuse me.
[02:46:08.180 --> 02:46:10.180]  Did a bombing happen here?
[02:46:10.180 --> 02:46:11.180]  Yes.
[02:46:11.180 --> 02:46:14.180]  So why would Hillary criticize Trump for calling it a bombing?
[02:46:14.180 --> 02:46:19.180]  Yeah, I have nothing to say. But you like Hillary.
[02:46:19.180 --> 02:46:22.180]  These people are on a planet they're on, man. We're screwed.
[02:46:22.180 --> 02:46:24.180]  Man's game over, man.
[02:46:24.180 --> 02:46:26.180]  Thank you for your time. Thank you for your time.
[02:46:26.180 --> 02:46:27.180]  Put her in charge.
[02:46:27.180 --> 02:46:29.180]  Hillary Clinton supporters around here.
[02:46:29.180 --> 02:46:32.180]  I'm going to try to find any. Do you like Hillary, man?
[02:46:32.180 --> 02:46:35.180]  Can I ask you a question? Why not?
[02:46:35.180 --> 02:46:37.180]  I'm a bully. I'm just going to give you a platform.
[02:46:37.180 --> 02:46:38.180]  Why do you like Hillary?
[02:46:38.180 --> 02:46:41.180]  He's a bully.
[02:46:41.180 --> 02:46:42.180]  You're not my boss.
[02:46:42.180 --> 02:46:43.180]  You're not my boss, buddy. I'm not going to listen to you.
[02:46:43.180 --> 02:46:45.180]  All right. You don't want to talk?
[02:46:45.180 --> 02:46:48.180]  All right. I'm a bully because I want to talk to people about politics.
[02:46:48.180 --> 02:46:52.180]  Hey, look at, look at, look at Mr. Fire, Fire, Firehead over there.
[02:46:52.180 --> 02:46:53.180]  He's really smart.
[02:46:53.180 --> 02:46:55.180]  Yeah. He was trying to boss me around.
[02:46:55.180 --> 02:46:56.180]  He thinks he's my boss.
[02:46:56.180 --> 02:46:57.180]  So that's the cop. It was a bombing.
[02:46:57.180 --> 02:47:00.180]  There's the cop right behind you. Right behind you.
[02:47:00.180 --> 02:47:02.180]  Yeah. I don't want to bother.
[02:47:02.180 --> 02:47:06.180]  They don't want to really talk to us much because they're kind of in work mode.
[02:47:06.180 --> 02:47:10.180]  I think there's a, I think there may have been a confrontation going on here.
[02:47:10.180 --> 02:47:12.180]  Let's see. Let's go over there right now.
[02:47:12.180 --> 02:47:13.180]  Okay.
[02:47:13.180 --> 02:47:15.180]  This is live in New York City.
[02:47:15.180 --> 02:47:17.180]  Cops are surrounding this guy.
[02:47:17.180 --> 02:47:19.180]  I'm not sure what happened here.
[02:47:19.180 --> 02:47:22.180]  All right. Police are actually coming onto the scene now.
[02:47:22.180 --> 02:47:24.180]  Ask them why the, why, why the street is closed.
[02:47:24.180 --> 02:47:25.180]  They wouldn't even say that.
[02:47:25.180 --> 02:47:28.180]  Like we wait for orders from Hillary to say anything.
[02:47:28.180 --> 02:47:31.180]  Hillary is gone. Hillary, Hillary, Hillary.
[02:47:31.180 --> 02:47:33.180]  All right. I'm not sure what just happened here.
[02:47:33.180 --> 02:47:35.180]  What, what just happened? What was that about?
[02:47:35.180 --> 02:47:37.180]  Fucking hit me. The fucking piece of shit.
[02:47:37.180 --> 02:47:39.180]  All right. Well, we got to leave that out.
[02:47:39.180 --> 02:47:41.180]  Go ahead and dump that.
[02:47:41.180 --> 02:47:43.180]  I don't know. I don't know.
[02:47:43.180 --> 02:47:45.180]  Let's go ask her.
[02:47:45.180 --> 02:47:47.180]  Where is that?
[02:47:47.180 --> 02:47:49.180]  12 o'clock. She's walked past you.
[02:47:49.180 --> 02:47:51.180]  You're old 12 o'clock.
[02:47:51.180 --> 02:47:53.180]  Towards the cops. It doesn't matter.
[02:47:53.180 --> 02:47:55.180]  If you're a radio listener, total bad limits ensued.
[02:47:55.180 --> 02:47:57.180]  We're at the side of the bombing.
[02:47:57.180 --> 02:48:00.180]  Tell us exactly where this is in New York.
[02:48:00.180 --> 02:48:02.180]  We are at 23rd and 6th street.
[02:48:02.180 --> 02:48:06.180]  Actually, the bombing or the not bombing, whatever you want to call it,
[02:48:06.180 --> 02:48:07.180]  it happened right down there.
[02:48:07.180 --> 02:48:09.180]  Yeah, exactly. You got to have permission from Hillary.
[02:48:09.180 --> 02:48:11.180]  No, no, she's called it a bombing now. It's okay.
[02:48:11.180 --> 02:48:13.180]  She says the terror attack was caused by Donald Trump.
[02:48:13.180 --> 02:48:15.180]  So it's now okay.
[02:48:15.180 --> 02:48:18.180]  Right. And so this is the spin.
[02:48:18.180 --> 02:48:20.180]  First, it's not a bombing. It's not terror.
[02:48:20.180 --> 02:48:22.180]  And then what do they do when it comes out?
[02:48:22.180 --> 02:48:24.180]  It's both. Well, it's Trump's fault.
[02:48:24.180 --> 02:48:26.180]  But notice those people didn't even know what Hillary said.
[02:48:26.180 --> 02:48:29.180]  They're so suggestible, you would say Hillary says it's not a bomb,
[02:48:29.180 --> 02:48:33.180]  but did and said Trump was bad for saying it was a bomb.
[02:48:33.180 --> 02:48:37.180]  What do you think about Hillary criticizing Trump for calling this a bombing?
[02:48:37.180 --> 02:48:39.180]  A bombing?
[02:48:39.180 --> 02:48:42.180]  I think she needs a bomb in her brain.
[02:48:42.180 --> 02:48:44.180]  It's smart enough.
[02:48:44.180 --> 02:48:47.180]  People are going to be bullshitted by her.
[02:48:47.180 --> 02:48:48.180]  Go ahead.
[02:48:48.180 --> 02:48:50.180]  The woman still has a brain.
[02:48:50.180 --> 02:48:52.180]  One scandal after another.
[02:48:52.180 --> 02:48:54.180]  Read yesterday's post, Sunday's post.
[02:48:54.180 --> 02:48:56.180]  One scandal after another.
[02:48:56.180 --> 02:48:58.180]  That's a fact.
[02:48:58.180 --> 02:49:01.180]  Looks like we got more Trump supporters here than we might expect.
[02:49:01.180 --> 02:49:02.180]  Well, notice they're able to talk.
[02:49:02.180 --> 02:49:04.180]  Trump supporters are able to talk.
[02:49:04.180 --> 02:49:06.180]  Trump is going to win.
[02:49:06.180 --> 02:49:09.180]  And this is going to be a catalyst to push him forward.
[02:49:09.180 --> 02:49:10.180]  I agree with that.
[02:49:10.180 --> 02:49:12.180]  Trump was right that more terror would happen here.
[02:49:12.180 --> 02:49:14.180]  He just gets proven right again.
[02:49:14.180 --> 02:49:18.180]  And I'm not sure if we can even find any Hillary Clinton supporters around that'll want to talk.
[02:49:18.180 --> 02:49:19.180]  Talk to that guy behind you.
[02:49:19.180 --> 02:49:20.180]  He wanted to talk to you.
[02:49:20.180 --> 02:49:22.180]  We got an iPad behind you.
[02:49:22.180 --> 02:49:25.180]  I'll wrap behind you.
[02:49:25.180 --> 02:49:27.180]  I'm not really into the election thing.
[02:49:27.180 --> 02:49:30.180]  I'm saying I don't revolt, but I know for a fact that Trump is going to win.
[02:49:30.180 --> 02:49:33.180]  I'm against them personally, but you know, it's life.
[02:49:33.180 --> 02:49:36.180]  So you think if Hillary wins, you think it was completely rigged?
[02:49:36.180 --> 02:49:37.180]  Yeah, definitely.
[02:49:37.180 --> 02:49:41.180]  But I wish Obama could be reelected again, but too bad the campaign is over and, you know, can't accept him again.
[02:49:41.180 --> 02:49:43.180]  What do you like about Obama?
[02:49:43.180 --> 02:49:49.180]  You know, I can't really talk much about it, but I know he did his job during his election and his time.
[02:49:49.180 --> 02:49:50.180]  You know what I'm saying?
[02:49:50.180 --> 02:49:51.180]  He's a good president.
[02:49:51.180 --> 02:49:52.180]  He's smart, really intelligent.
[02:49:52.180 --> 02:49:55.180]  But I feel like Donald Trump is like a little too aggressive.
[02:49:55.180 --> 02:49:58.180]  Like, you know, he's lying to, you know, he's lying to just like Hillary.
[02:49:58.180 --> 02:50:00.180]  But it's all like a scandal, you know what I'm saying?
[02:50:00.180 --> 02:50:02.180]  Everything is just about, it's rigged basically.
[02:50:02.180 --> 02:50:04.180]  See, I don't really want to talk too much about it.
[02:50:04.180 --> 02:50:05.180]  Well, Trump says it's rigged.
[02:50:05.180 --> 02:50:06.180]  All right.
[02:50:06.180 --> 02:50:07.180]  All right.
[02:50:07.180 --> 02:50:09.180]  Well, let's say Mr. Schreuer.
[02:50:09.180 --> 02:50:10.180]  Infowars.com.
[02:50:10.180 --> 02:50:11.180]  Check us out.
[02:50:11.180 --> 02:50:12.180]  We're actually live right now.
[02:50:12.180 --> 02:50:14.180]  Yeah, go ahead, Alex.
[02:50:14.180 --> 02:50:17.180]  What's it like being in the middle of New York City right now?
[02:50:17.180 --> 02:50:23.180]  You know, the craziest thing, Alex, is when we're walking around and talking to these people,
[02:50:23.180 --> 02:50:26.180]  half the people we talk to, like they don't even care.
[02:50:26.180 --> 02:50:27.180]  It's like they're not concerned.
[02:50:27.180 --> 02:50:28.180]  They don't care.
[02:50:28.180 --> 02:50:29.180]  They don't want to talk about it.
[02:50:29.180 --> 02:50:31.180]  They just want to go about living their lives.
[02:50:31.180 --> 02:50:35.180]  Well, you know, if this starts happening every day, are you going to care then?
[02:50:35.180 --> 02:50:36.180]  Are you going to have to be tolerant?
[02:50:36.180 --> 02:50:37.180]  I mean, what are you going to do?
[02:50:37.180 --> 02:50:38.180]  Eventually you're going to have to care.
[02:50:38.180 --> 02:50:40.180]  They think being self-serving gets them ahead.
[02:50:40.180 --> 02:50:41.180]  You understand?
