[00:00:00.868 --> 00:00:03.151]  It's Wednesday, January 12th.
[02:19:59.406 --> 02:20:11.515]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:20:11.515 --> 02:20:15.477]  I remember when, I remember, I remember when I lost my mind.
[02:20:15.477 --> 02:20:20.581]  There was something so pleasant about that place.
[02:20:20.581 --> 02:20:23.923]  Even your emotions had an echo in so much space.
[02:20:30.164 --> 02:20:41.408]  You know, when you're interviewing somebody like Tommy Robinson, a real hero, and you look at how much he's demonized, and how much he's not appreciated, it just makes you marvel.
[02:20:41.408 --> 02:20:48.451]  Because you see a firefighter that goes in a burning house and saves a child, you go, well, that's a hero, what they signed up for, but we really want to be a man like that.
[02:20:48.451 --> 02:20:50.052]  Or a woman who's going to the burning building.
[02:20:50.052 --> 02:20:57.715]  Women do heroic things as well, but we're not supposed to ever recognize that that's really been men's traditional mode, and what we're designed to do is expend ourselves.
[02:20:57.715 --> 02:20:58.355]  We're expendable.
[02:20:59.622 --> 02:21:02.103]  And by making it, oh, no, no, that's women's jobs, too.
[02:21:02.103 --> 02:21:04.563]  Well, then that makes for men don't have to act like men anymore.
[02:21:04.563 --> 02:21:09.925]  You see, we just turn women into the expendable.
[02:21:09.925 --> 02:21:12.885]  And by extension, our children.
[02:21:12.885 --> 02:21:16.466]  So I think about all he's been through.
[02:21:16.466 --> 02:21:23.768]  And I think about the overall the years he's been tortured in jail for exposing pedophile groups that were confirmed and convicted.
[02:21:25.796 --> 02:21:31.721]  And how the police sycophantically worship the pedophiles in the UK and attack him.
[02:21:31.721 --> 02:21:33.443]  But it's the same thing we see here now.
[02:21:33.443 --> 02:21:37.566]  This is the service of evil going on.
[02:21:37.566 --> 02:21:44.992]  And it's that meme I showed this morning thinking about Tommy Robinson coming on the show.
[02:21:44.992 --> 02:21:46.694]  First, we overlook evil.
[02:21:47.586 --> 02:21:49.327]  Then we permit evil.
[02:21:49.327 --> 02:21:51.167]  Then we legalize evil.
[02:21:51.167 --> 02:21:52.627]  Then we promote evil.
[02:21:52.627 --> 02:21:54.208]  Then we celebrate evil.
[02:21:54.208 --> 02:21:59.469]  Then we persecute those who still call it evil.
[02:21:59.469 --> 02:22:01.170]  Isaiah 520.
[02:22:01.170 --> 02:22:10.732]  Woe unto them who call evil good and good evil.
[02:22:10.732 --> 02:22:13.133]  And so I'm sitting here while Tommy's talking the last hour.
[02:22:14.787 --> 02:22:21.729]  When they're in breaks, I'm on Infowars.com and I'm reading articles and I'm watching videos and I'm just like, man, this is moving too fast.
[02:22:21.729 --> 02:22:25.491]  And that's what evil's doing.
[02:22:25.491 --> 02:22:35.214]  It's just trying to totally and completely overwhelm us to where we just give up and go into a catatonic or fetal position.
[02:22:35.214 --> 02:22:37.475]  We cannot let them break our will.
[02:22:37.475 --> 02:22:42.296]  We have to just trust in God and do the right thing and know that it's not our job to stop it all.
[02:22:42.296 --> 02:22:44.237]  It's just our job to say no and to resist it.
[02:22:45.669 --> 02:22:50.132]  And when I say that, I know how you are, because you're like me.
[02:22:50.132 --> 02:22:50.972]  You feel guilty.
[02:22:50.972 --> 02:22:51.833]  I know I do.
[02:22:51.833 --> 02:22:53.114]  You feel frustrated.
[02:22:53.114 --> 02:22:56.936]  You feel angry that you can't stop them, and it's ridiculous.
[02:22:56.936 --> 02:22:58.637]  Why are people going along with this?
[02:22:58.637 --> 02:23:00.158]  Why is this so out of control?
[02:23:00.158 --> 02:23:03.741]  And you want to just say, screw it then!
[02:23:03.741 --> 02:23:06.743]  But you can't just run hide in the woods.
[02:23:06.743 --> 02:23:08.864]  And certainly, you can't go commit suicide.
[02:23:08.864 --> 02:23:10.105]  I've never thought of that, but people do.
[02:23:10.105 --> 02:23:11.246]  They just get pissed and check out.
[02:23:12.142 --> 02:23:21.366]  Why not commit your life to fighting evil and not caring and being desperate for the children instead of just blowing your head off in your pickup truck?
[02:23:21.366 --> 02:23:25.987]  How about you go politically take over the church meeting peacefully and speak out against the New World Order?
[02:23:25.987 --> 02:23:27.248]  How about you go to the City Council?
[02:23:27.248 --> 02:23:28.408]  How about you go to Congress?
[02:23:28.408 --> 02:23:31.950]  How about you do that?
[02:23:31.950 --> 02:23:36.271]  Yeah, the easy road out, shoving a barrel in your mouth and blowing the back of your head off to get out of this evil.
[02:23:36.271 --> 02:23:37.231]  What about the children?
[02:23:37.231 --> 02:23:38.332]  They don't even know how to do that.
[02:23:39.403 --> 02:23:40.523]  You can't do that.
[02:23:40.523 --> 02:23:41.523]  They need you.
[02:23:41.523 --> 02:23:44.384]  God wants you to be a man.
[02:23:44.384 --> 02:23:46.325]  And I'm not preaching to people.
[02:23:46.325 --> 02:23:49.285]  I know how painful this is.
[02:23:49.285 --> 02:23:55.907]  And I know the proclivity of people who are good and hardworking and strong who don't want to grandstand.
[02:23:55.907 --> 02:23:59.228]  But we're way past that point here, ladies and gentlemen.
[02:23:59.228 --> 02:24:00.148]  We need to be grandstanding.
[02:24:02.435 --> 02:24:06.597]  To get out in front of the evil that's taking over and say, whoa, hey everybody!
[02:24:06.597 --> 02:24:07.618]  These people are bad!
[02:24:07.618 --> 02:24:09.439]  You can't trust a damn thing they say!
[02:24:09.439 --> 02:24:18.844]  And I'm not shutting up, and I'm telling you, I know there are people watching of every race, color, and creed who are the one race made by God, the human race with red blood.
[02:24:21.900 --> 02:24:49.376]  And when you finally go speak at the city council, when you finally go speak at the school board, when you finally speak at the state house, when you finally picket, by yourself it doesn't matter, when you finally say no to evil, when you finally reach out and people try to make you submit, and when they try to silence you and intimidate you, that's when you step into a wider world, and once you finally get out of your comfort zone, and stand up to these people, the whole world's gonna change, just like that.
[02:24:52.415 --> 02:24:54.741]  But you've got to take that first step into the future.
[02:24:54.741 --> 02:24:56.505]  You've got to take that first step of destiny.
[02:24:56.505 --> 02:24:57.187]  That's what I'm telling you.
[02:24:57.187 --> 02:25:00.896]  You've got to do it now, because the children are begging for your help.
[02:25:00.896 --> 02:25:01.798]  Go back to Tommy Robinson.
[02:25:03.015 --> 02:25:05.616]  They were running thousands of kidnapped kids in the town he was in.
[02:25:05.616 --> 02:25:06.436]  He couldn't believe it.
[02:25:06.436 --> 02:25:12.598]  The little kids would disappear and the Muslims were bragging they were cutting them up and butchering them and selling them in the kebab machines.
[02:25:12.598 --> 02:25:17.480]  It's like they have hamburgers over there but it's like the Muslims have kebab machines and it was the dead kids.
[02:25:17.480 --> 02:25:18.780]  That was later confirmed.
[02:25:18.780 --> 02:25:20.841]  And he's like freaking out like what's going on?
[02:25:20.841 --> 02:25:21.381]  What's happening?
[02:25:21.381 --> 02:25:22.782]  And then they physically attacked him.
[02:25:22.782 --> 02:25:24.863]  So he beat their ass and fought back.
[02:25:24.863 --> 02:25:25.903]  And then that was it.
[02:25:25.903 --> 02:25:27.183]  It was off the races.
[02:25:27.183 --> 02:25:28.284]  He just saw evil
[02:25:29.264 --> 02:25:32.147]  He decided not to ignore it like the other businesses were doing.
[02:25:32.147 --> 02:25:35.990]  Because imagine the police and the businesses.
[02:25:35.990 --> 02:25:37.572]  They just start putting up with it.
[02:25:37.572 --> 02:25:39.133]  And then, now they put up with more.
[02:25:39.133 --> 02:25:41.175]  And now, now they put up with this and that.
[02:25:41.175 --> 02:25:45.098]  And now, oh, the police are involved having sex with the children.
[02:25:45.098 --> 02:25:48.081]  That's come out across England.
[02:25:48.081 --> 02:25:50.583]  Imagine being that committed to evil.
[02:25:50.583 --> 02:25:52.645]  Imagine being part of something like that.
[02:25:52.645 --> 02:25:55.207]  Imagine the arrogant look in those pedophiles' eyes.
[02:25:56.107 --> 02:26:04.874]  How they're so satisfied and so confirmed that they've got a government backing them and they can get away with whatever they want and nothing's going to stop them.
[02:26:04.874 --> 02:26:11.400]  That face of arrogant, conceited evil is the face of the devil.
[02:26:11.400 --> 02:26:16.544]  And we can and we must and we will defeat it.
[02:26:16.544 --> 02:26:24.211]  Even Mainline News says grooming epidemic, almost 19,000 children identified as sexual exploitation victims in England by the Muslims.
[02:26:30.677 --> 02:26:42.079]  I mean, what do you think happened 1,000 years ago or 500 years ago when you get pirated out in the Atlantic Ocean or in the Mediterranean or in the Pacific Ocean by Muslim slavers?
[02:26:42.079 --> 02:26:43.279]  Where do you think you're going?
[02:26:43.279 --> 02:26:44.680]  You're going to a slave camp.
[02:26:44.680 --> 02:26:48.040]  And the Muslims, yeah, they had black slaves, but that isn't what they wanted.
[02:26:48.040 --> 02:26:51.201]  They wanted women slaves.
[02:26:51.201 --> 02:26:54.922]  That was their main business, is female slaves.
[02:26:54.922 --> 02:26:57.362]  Let's just admit that's a cultural part of Islam.
[02:27:02.338 --> 02:27:04.699]  And it's gotta stop.
[02:27:04.699 --> 02:27:07.781]  And we gotta say no to it.
[02:27:07.781 --> 02:27:10.022]  These are predators that are such cowards.
[02:27:10.022 --> 02:27:14.584]  I don't care if they're a white, blue-haired person, or a black person, or whatever they are.
[02:27:14.584 --> 02:27:18.286]  They're going after children because they're bullies!
[02:27:18.286 --> 02:27:22.188]  And they want the power over a little child to steal their innocence!
[02:27:22.188 --> 02:27:25.529]  And we're not gonna sit here and take it anymore, you leftist pedophiles.
[02:27:25.529 --> 02:27:27.250]  Burn in hell and you will, you know it.
[02:27:27.250 --> 02:27:28.571]  And you're not gonna take us with you.
[02:27:29.940 --> 02:27:31.640]  All right, I'm going to come back and hit the huge news.
[02:27:31.640 --> 02:27:35.741]  It's just so over the top, ladies and gentlemen.
[02:27:35.741 --> 02:27:37.521]  It's exhausting, but I know you want to hear the truth.
[02:27:37.521 --> 02:27:38.562]  You want to know what's coming next.
[02:27:38.562 --> 02:27:40.982]  We're going to hit it separately.
[02:27:40.982 --> 02:27:45.963]  I told you first hour, and I'm going to tell you again, we need a war chest going into this year.
[02:27:45.963 --> 02:27:51.464]  And we're already 300 days out from the midterms and the staged terror attacks the Globals want to launch and everything they're doing.
[02:27:51.464 --> 02:27:57.385]  And InfoWars now has the minds and has the ears and has people paying attention at the highest levels.
[02:27:58.658 --> 02:28:03.406]  And so now is our most important work of all of my 27, 28 years on air.
[02:28:03.406 --> 02:28:04.328]  So I'm asking you now.
[02:28:05.336 --> 02:28:10.838]  To go to infowarestore.com and get books and films and t-shirts and share them.
[02:28:10.838 --> 02:28:12.519]  And to get supplements.
[02:28:12.519 --> 02:28:15.360]  We got this big sale about to end in a couple days, probably tomorrow.
[02:28:15.360 --> 02:28:16.360]  It's about to sell out.
[02:28:16.360 --> 02:28:20.742]  Vitamin Mineral Fusion that everybody needs and it's high quality and it's 50% off.
[02:28:20.742 --> 02:28:21.822]  And X2.
[02:28:21.822 --> 02:28:23.142]  Hell, it's going to sell out.
[02:28:23.142 --> 02:28:24.903]  I didn't know it was going to sell out.
[02:28:24.903 --> 02:28:26.144]  X2 is about to sell out.
[02:28:26.144 --> 02:28:28.164]  It's still 50% off.
[02:28:28.164 --> 02:28:30.245]  And Ultimate Bone Broth and everything.
