[00:00.000 --> 00:10.000]  Rallying Patriots Worldwide in Defense of Human Liberty, it's Alex Jones.
[02:36:24.120 --> 02:36:32.120]  But like you see, you know, I'm being attacked, a deadly weapon, and many of our people were being attacked with weapons.
[02:36:32.120 --> 02:36:37.120]  So that's that's what I mean by go and fight those people and eliminate the threat.
[02:36:37.120 --> 02:36:44.120]  And, you know, it was it was a it was a victorious day for us. We celebrated like Vikings at night.
[02:36:44.120 --> 02:36:50.120]  And, you know, it was it was probably one of the best days we've had over a year.
[02:36:50.120 --> 02:36:59.120]  So describe some of the other stuff you've seen on the West Coast. You've been all over in these fights, what Antifa does, the little dastardly activities.
[02:36:59.120 --> 02:37:07.120]  Yeah, I was at Evergreen College. I've been to Berkeley, been to Portland many times, Seattle.
[02:37:07.120 --> 02:37:12.120]  And from college campuses, you get the you get the students and they won't even talk to you.
[02:37:12.120 --> 02:37:19.120]  They don't want to debate. They don't want to, you know, they just want to yell and scream and claim victimhood mentality over you.
[02:37:19.120 --> 02:37:27.120]  And, you know, obviously being a white guy and being a proud boy, you know, I lose all my credibility to people like that.
[02:37:27.120 --> 02:37:34.120]  Even though I'm, you know, very involved with what's going on firsthand and nobody wants to talk or hear my perspective.
[02:37:34.120 --> 02:37:42.120]  So when you start to eliminate conversation and debate, and all you want to do is fight, then that's what you're going to get.
[02:37:42.120 --> 02:37:49.120]  That's just how the world works, you know, if conflict all over the world, things like that happen when you're unable to communicate with each other.
[02:37:49.120 --> 02:37:53.120]  And all you want to do is argue and fight. That's when war breaks out.
[02:37:53.120 --> 02:38:00.120]  Wow, that's very profound. Exactly. So they lose physically everywhere they take the field.
[02:38:00.120 --> 02:38:05.120]  Don't they get them their arguments a loser that in the third dimension we always win?
[02:38:05.120 --> 02:38:18.120]  Don't they get like, if one of you can beat 20 of them, should they go, oh, we should emulate you, Raphael Panman, not Saul Linsky, the devil worshipper?
[02:38:18.120 --> 02:38:23.120]  Well, I think that's why they use such extreme tactics, you know, they throw bombs and stuff.
[02:38:23.120 --> 02:38:28.120]  And I think they're hoping to scare us. They're doxing, they're threatening their jobs.
[02:38:28.120 --> 02:38:32.120]  You just said it. They think we're like them. They keep thinking they're scaring us.
[02:38:32.120 --> 02:38:37.120]  Because all they're doing is pissing us off. So let me ask you that. Where does it go then?
[02:38:37.120 --> 02:38:43.120]  Where does it, is they think we're like them? Like, you think we're scaring us? No, you're not doing that.
[02:38:43.120 --> 02:38:50.120]  We're spending every waking moment. How do we crush you? Discuss that. That's key.
[02:38:50.120 --> 02:38:55.120]  I mean, a lot of us have gotten really, really angry. You know, our stuff has been vandalized.
[02:38:55.120 --> 02:38:58.120]  Our jobs have been targeted. Some guys have lost their jobs.
[02:38:58.120 --> 02:39:05.120]  You know, when we start to, when we stop having things to lose, when they eliminate, you know, the things that,
[02:39:05.120 --> 02:39:13.120]  in our personal lives that we're trying to protect, then that doesn't, you know, kind of eliminates our limitation.
[02:39:13.120 --> 02:39:17.120]  And it's making them weaker, in a sense, if that makes any sense.
[02:39:17.120 --> 02:39:22.120]  It's making us stronger and more willing to combat them as they target us more.
[02:39:22.120 --> 02:39:29.120]  You just said the key to it all. They think attacking us makes us weak, because that's how they would back off from that.
[02:39:29.120 --> 02:39:32.120]  They don't understand like that's what makes us wake up.
[02:39:32.120 --> 02:39:41.120]  Right. In a sense, though, it does, it is for a lot of people who aren't really woken up and are still kind of in that politically correct mind,
[02:39:41.120 --> 02:39:46.120]  even though they might be a patriot to a sense. That sense of fear does hold a lot of people back.
[02:39:46.120 --> 02:39:50.120]  They don't want to be acknowledged on the internet or public information put out there.
[02:39:50.120 --> 02:39:53.120]  They don't want to be targeted in it.
[02:39:53.120 --> 02:39:57.120]  But they're already being targeted. You have to embrace it now.
[02:39:57.120 --> 02:40:03.120]  Right. Yeah. And a lot of people, that's the thing is a lot of people don't realize they are already a target and we're trying to create awareness.
[02:40:03.120 --> 02:40:08.120]  It's like, look, if you love your country in any way, if you want to fly an American flag, you're a target.
[02:40:08.120 --> 02:40:14.120]  You know, and if things are the way they are now, imagine how they're going to be if you have kids and they're in, you know, 10 years.
[02:40:14.120 --> 02:40:17.120]  Exactly. Our free will is under attack.
[02:40:17.120 --> 02:40:20.120]  Like, we let them have their free will. They don't want us to have free will.
[02:40:20.120 --> 02:40:23.120]  They want control of our destiny, our souls.
[02:40:23.120 --> 02:40:31.120]  And I say death before dishonor, death before disgrace, victory or death, like Colonel Travis.
[02:40:31.120 --> 02:40:33.120]  Right. Exactly.
[02:40:33.120 --> 02:40:37.120]  Plus, how could we let a bunch of cowardly scum like this tell us what to do?
[02:40:37.120 --> 02:40:42.120]  How do we ever get in this position, Rufio? How do we ever get here?
[02:40:42.120 --> 02:40:56.120]  I think we got too comfortable for a long time. I think people, you know, when you live a comfortable life like we have as Americans for so long without any conflict other than 9-11, you know, people during the Obama administration got really comfortable.
[02:40:56.120 --> 02:41:05.120]  And I think, you know, I can personally say that I lost hope in the political system and when Trump got elected, that hope was renewed.
[02:41:05.120 --> 02:41:12.120]  I never celebrated more. I didn't think that he was going to win, honestly. And when he did, I was overjoyed.
[02:41:12.120 --> 02:41:13.120]  So with that...
[02:41:13.120 --> 02:41:16.120]  So spiritual. You felt hope reignited.
[02:41:16.120 --> 02:41:19.120]  Yeah, definitely.
[02:41:19.120 --> 02:41:25.120]  We're going to come back and take a few calls. We've got a minute and a half though. What else is on your mind? Your own words, not my questions.
[02:41:25.120 --> 02:41:32.120]  What else is at the heart of standing up against evil? What else is your view on what's going to happen?
[02:41:32.120 --> 02:41:39.120]  Well, I think men need to be willing to stand up. More men need to be willing to stand up.
[02:41:39.120 --> 02:41:49.120]  And that's kind of my mission is to empower men in the community, young and old, all like, all that, you know, all races, doesn't matter your sexual orientation.
[02:41:49.120 --> 02:42:00.120]  I don't care. You know, stand up for your country because, you know, this country's the reason why you can be any race, any sexual orientation doesn't matter and live a free life.
[02:42:00.120 --> 02:42:07.120]  And so, you know, with that in mind, I would love people to just, even in the smallest way, stand up and do what's right.
[02:42:07.120 --> 02:42:11.120]  That's a great point. I understand that. Everything you say is spot on.
[02:42:11.120 --> 02:42:18.120]  Like, this is the country that says there's all this freedom. And then they use that against us like, we've been bad to people compared to other countries.
[02:42:18.120 --> 02:42:23.120]  Like, no, we're the fount of the freedom. Don't blow that up.
[02:42:23.120 --> 02:42:32.120]  And then fake liberals are the authoritarians that want the control of that power. They would kill that power. They would kill that freedom.
[02:42:32.120 --> 02:42:34.120]  Exactly.
[02:42:34.120 --> 02:42:41.120]  They'll be back with your phone calls for two more segments with Rufio Padman. I'm Alex Jones in FullWars.com, NewsWars.com.
[02:42:41.120 --> 02:42:53.120]  He's at Rufio, had the PB on Facebook and Instagram at Rufio underscore Padman. The Global Revolution against Humanization is happening now. Stay with us.
[02:43:11.120 --> 02:43:22.120]  Over the top, stamina, libido, workout, brain formula that is safe. I know from using this myself the last few months and from seeing my friends and family use it,
[02:43:22.120 --> 02:43:28.120]  that this new product is going to end up being the number one best-selling product at infowarslife.com because it works so well.
[02:43:28.120 --> 02:43:37.120]  This is a gift you want to give yourself. And then rest assured, you're finding the info war so it's a total absolute sure win, no lose equation.
[02:43:37.120 --> 02:43:46.120]  Try Alpha Power, exclusively available at infowarslife.com for yourself. Ladies and gentlemen, it's non-GMO. It's for your brain. It's for sports. It's for activities.
[02:43:46.120 --> 02:44:14.120]  And it's made in the USA. Get your Alpha Power today at infowarslife.com. Everybody needs to try Alpha Power today.
[02:44:14.120 --> 02:44:21.120]  Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[02:44:21.120 --> 02:44:32.120]  When paired with carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[02:44:32.120 --> 02:44:39.120]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age and outside toxins.
[02:44:39.120 --> 02:44:45.120]  There's no better time to try Fluorolife and carnivore to see how well they can support your body.
[02:44:45.120 --> 02:44:55.120]  Don't miss out on the chance to fuel your body and support recovery. Try the info wars life daily digestive pack today.
[02:44:55.120 --> 02:45:09.120]  This 4th of July is special. Everybody can see it. They can feel it. The globalists are attempting to kill a worldwide awakening to their tyranny. And America, yet again, is at the heart of the resistance, the globalist.
[02:45:09.120 --> 02:45:18.120]  That's why this 4th of July I'm asking all of our great supporters to think about info wars now more than ever. And what would the world be like if info wars wasn't there resisting the globalist?
[02:45:18.120 --> 02:45:23.120]  What would have happened if you hadn't supported info wars? We would not be having the victories we have today.
[02:45:23.120 --> 02:45:33.120]  A lot of good things are happening, but the enemy is striking back. So please think about info wars and funding our operation while you get great products at the same time on the 4th of July that's so historic.
[02:45:33.120 --> 02:45:50.120]  We have record sales going on right now, free shipping on hundreds of different items. More than 20 items are 50% off like Brainforce Plus, X2 is 40% off, knockout sleep aid 1776, silver bullets, 995 colletal silver and free shipping.
[02:45:50.120 --> 02:45:55.120]  We can't beat that. This 4th of July is special and our sales are special to match it. InfoWarsStore.com
[02:46:21.120 --> 02:46:37.120]  And now because of their intensifying censorship, it's more important than ever that everyone go to infowars.com forward slash newsletter and sign up via email so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[02:46:37.120 --> 02:46:52.120]  And so now I ask you more than ever to share the infowars.com articles, to share the videos, to tell people about the local stations you're listening to. The bare minimum you can do is sign up for the free newsletter at infowars.com forward slash newsletter.
[02:46:52.120 --> 02:47:07.120]  We are the renaissance and we are winning.
[02:47:22.120 --> 02:47:37.120]  We are the renaissance and we are winning.
[02:47:37.120 --> 02:47:46.120]  We are the renaissance and we are winning.
[02:47:46.120 --> 02:48:01.120]  We are the renaissance.
