[00:00.000 --> 00:06.000]  From the Frontlines of the Information War, it's Alex Jones.
[02:29:37.000 --> 02:29:39.000]  and make America great again Trump dollar.
[02:29:39.000 --> 02:29:41.000]  Available only at trumpdollar.us.
[02:29:41.000 --> 02:29:44.000]  Minted in the USA, our Trump dollars commemorate
[02:29:44.000 --> 02:29:46.000]  President Trump's patriotic stand.
[02:29:46.000 --> 02:29:48.000]  Order your Trump dollar collection today
[02:29:48.000 --> 02:29:51.000]  in time for Christmas delivery at trumpdollar.us.
[02:29:51.000 --> 02:29:58.000]  That's trumpdollar.us.
[02:29:58.000 --> 02:30:00.000]  Proper B vitamin intake is essential
[02:30:00.000 --> 02:30:03.000]  to keep the body functioning at optimum levels.
[02:30:03.000 --> 02:30:05.000]  Up, up, up, up, optimum levels.
[02:30:05.000 --> 02:30:08.000]  With our modern diets, it can be hard to get the recommended amount
[02:30:08.000 --> 02:30:10.000]  of B vitamins we need every day.
[02:30:10.000 --> 02:30:12.000]  Up, up, up, up, up, optimum levels.
[02:30:12.000 --> 02:30:14.000]  B vitamins we need every day.
[02:30:14.000 --> 02:30:18.000]  Secret 12 combines two bioactive forms of vitamin B12
[02:30:18.000 --> 02:30:21.000]  for optimal absorption. Up, up, up, up, up, optimal absorption.
[02:30:21.000 --> 02:30:24.000]  Being deficient in B vitamins can cause fatigue,
[02:30:24.000 --> 02:30:27.000]  depression, poor memory, and lethargy.
[02:30:27.000 --> 02:30:30.000]  Secret 12, up, up, up, up, up, optimal absorption.
[02:30:30.000 --> 02:30:33.000]  B vitamins help the body convert food into energy
[02:30:33.000 --> 02:30:35.000]  by supporting your intercellular processes.
[02:30:35.000 --> 02:30:38.000]  B vitamins are also essential for the optimal functioning
[02:30:38.000 --> 02:30:40.000]  of the brain and nervous system.
[02:30:40.000 --> 02:30:42.000]  Up, up, up, up, up, up, optimum levels.
[02:30:42.000 --> 02:30:47.000]  Secret 12 is an easy way to increase your vitamin B12 intake.
[02:30:47.000 --> 02:30:50.000]  Head to infowarslife.com and support optimal brain
[02:30:50.000 --> 02:30:52.000]  and body functioning with Secret 12.
[02:30:52.000 --> 02:31:18.000]  That's infowarslife.com.
[02:31:23.000 --> 02:31:25.000]  We carefully select pure and simple ingredients
[02:31:25.000 --> 02:31:28.000]  to create formulas that are certified USDA
[02:31:28.000 --> 02:31:29.000]  made with organic.
[02:31:29.000 --> 02:31:33.000]  Our mission is to offer you everyday organic household products
[02:31:33.000 --> 02:31:34.000]  to enhance your life.
[02:31:34.000 --> 02:31:37.000]  Truly feel the difference by going organic natural
[02:31:37.000 --> 02:31:39.000]  without compromising on quality.
[02:31:39.000 --> 02:31:41.000]  Feel good about using EmRick's Essentials.
[02:31:41.000 --> 02:31:44.000]  Start saving money and stop exposing yourself
[02:31:44.000 --> 02:31:46.000]  and your family to toxic ingredients.
[02:31:46.000 --> 02:31:49.000]  Visit infowarsstore.com and learn more about the new
[02:31:49.000 --> 02:31:52.000]  EmRick Essentials line of organic products.
[02:31:52.000 --> 02:32:20.000]  That's infowarsstore.com.
[02:32:22.000 --> 02:32:24.000]  Thanks to SuperMailVitality and so many others
[02:32:24.000 --> 02:32:26.000]  with its unique delivery system
[02:32:26.000 --> 02:32:28.000]  and proprietary manufacturing process
[02:32:28.000 --> 02:32:30.000]  designed for maximized effects.
[02:32:30.000 --> 02:32:32.000]  This formula is the platinum standard
[02:32:32.000 --> 02:32:34.000]  of multivitamin mineral products
[02:32:34.000 --> 02:32:37.000]  and this part is most important.
[02:32:37.000 --> 02:32:39.000]  The ingredients in vitamin mineral fusion
[02:32:39.000 --> 02:32:41.000]  are either plant derived
[02:32:41.000 --> 02:32:43.000]  or of the highest quality lab standard.
[02:32:43.000 --> 02:32:46.000]  That means it's clean, that means it's pure
[02:32:46.000 --> 02:32:47.000]  and rest secured.
[02:32:47.000 --> 02:32:49.000]  You're funding the tip of the spear in the info war.
[02:32:49.000 --> 02:32:51.000]  That's infowarslife.com and vitamin mineral fusion.
[02:32:51.000 --> 02:32:54.000]  Take action now before we sell out.
[02:33:21.000 --> 02:33:23.000]  Well as you've all seen
[02:33:23.000 --> 02:33:25.000]  they've had congressional hearings in the last month
[02:33:25.000 --> 02:33:28.000]  openly calling for info wars to be shut down
[02:33:28.000 --> 02:33:32.000]  with Google, Facebook and Twitter executives
[02:33:32.000 --> 02:33:34.000]  in the meetings saying
[02:33:34.000 --> 02:33:36.000]  don't worry we censored Alex Jones
[02:33:36.000 --> 02:33:40.000]  and Paul Watson at lunch.
[02:33:40.000 --> 02:33:43.000]  So that's the next level
[02:33:43.000 --> 02:33:45.000]  of this that's going on.
[02:33:45.000 --> 02:33:48.000]  Paul Watson and I'm not disagreeing with him
[02:33:48.000 --> 02:33:51.000]  when Trump tweeted out these videos
[02:33:51.000 --> 02:33:53.000]  of Muslims attacking and killing people
[02:33:53.000 --> 02:33:55.000]  many of which are undisputedly real videos.
[02:33:55.000 --> 02:33:58.000]  Paul said you know that group's a little out there
[02:33:58.000 --> 02:34:00.000]  because Paul doesn't want to be seen as alt-right
[02:34:00.000 --> 02:34:02.000]  Hillary's term. We're the new right
[02:34:02.000 --> 02:34:04.000]  and I tend to agree with him.
[02:34:04.000 --> 02:34:07.000]  But see what that did to Paul is in news week and time
[02:34:07.000 --> 02:34:10.000]  and I've got a whole stack of the articles here
[02:34:10.000 --> 02:34:14.000]  that actually said white supremacist Paul Watson
[02:34:14.000 --> 02:34:17.000]  that rattles on in one article that said
[02:34:17.000 --> 02:34:20.000]  Western values even this white supremacist
[02:34:20.000 --> 02:34:22.000]  you know didn't agree with Trump.
[02:34:22.000 --> 02:34:24.000]  When all he said was in a tweet and he tweets
[02:34:24.000 --> 02:34:26.000]  like every five seconds even admits he's addicted
[02:34:26.000 --> 02:34:30.000]  that they're going to attack you for the group
[02:34:30.000 --> 02:34:32.000]  you tweeted instead of just tweeting out the tweets
[02:34:32.000 --> 02:34:34.000]  and I'm not attacking Paul.
[02:34:34.000 --> 02:34:35.000]  I just called him last night and I said
[02:34:35.000 --> 02:34:37.000]  you see they attacked you more
[02:34:37.000 --> 02:34:39.000]  because now they think they've got you pecking
[02:34:39.000 --> 02:34:41.000]  at you with political correctness that you're now scared
[02:34:41.000 --> 02:34:44.000]  and like I want to announce that I'm racist and evil.
[02:34:44.000 --> 02:34:46.000]  I'm sorry I like free market and I'm sorry.
[02:34:46.000 --> 02:34:48.000]  That's how they do this.
[02:34:48.000 --> 02:34:50.000]  So I don't care are the videos real or not.
[02:34:50.000 --> 02:34:52.000]  The Dutch say one of them isn't real.
[02:34:52.000 --> 02:34:53.000]  I don't believe a word the government says.
[02:34:53.000 --> 02:34:58.000]  I can show you thousands of knockout game videos.
[02:34:58.000 --> 02:35:01.000]  So Lucian Wendrich is our guest.
[02:35:01.000 --> 02:35:02.000]  It's okay to be white.
[02:35:02.000 --> 02:35:04.000]  I was asking where's the speech.
[02:35:04.000 --> 02:35:07.000]  I didn't know it was actually in the article
[02:35:07.000 --> 02:35:10.000]  actually has a copy of the evil speech.
[02:35:10.000 --> 02:35:13.000]  So what were some of the points that you made
[02:35:13.000 --> 02:35:15.000]  in this horrible evil speech
[02:35:15.000 --> 02:35:18.000]  that's posted at thegatewayplanet.com?
[02:35:18.000 --> 02:35:20.000]  Well I mean you know the speech itself
[02:35:20.000 --> 02:35:24.000]  ends in a call to end the racism that the left is
[02:35:24.000 --> 02:35:29.000]  and the race trafficking that the left is perpetuating here.
[02:35:29.000 --> 02:35:32.000]  It talks about listen okay so you go through the speech.
[02:35:32.000 --> 02:35:35.000]  We compare New York Times headlines right.
[02:35:35.000 --> 02:35:38.000]  They run this headline November 11th.
[02:35:38.000 --> 02:35:42.000]  We're sick of racism literally the same day right.
[02:35:42.000 --> 02:35:45.000]  The same day they run an article.
[02:35:45.000 --> 02:35:48.000]  Can my children be friends with white people?
[02:35:48.000 --> 02:35:55.000]  If you read some of these salon headlines that were all...
[02:35:55.000 --> 02:35:58.000]  By the way your skype's breaking up a minute.
[02:35:58.000 --> 02:36:00.000]  We'll go back to you in a minute.
[02:36:00.000 --> 02:36:02.000]  The point is they're openly trying to invoke
[02:36:02.000 --> 02:36:04.000]  race-based conflict in America.
[02:36:04.000 --> 02:36:05.000]  It's in the WikiLeaks.
[02:36:05.000 --> 02:36:06.000]  I gotta go back to this every five minutes
[02:36:06.000 --> 02:36:07.000]  because it's so central.
[02:36:07.000 --> 02:36:10.000]  Hillary and others are saying we need culture war.
[02:36:10.000 --> 02:36:13.000]  It's how we'll control our horrible barista constituents.
[02:36:13.000 --> 02:36:15.000]  They don't care if you're a black barista
[02:36:15.000 --> 02:36:16.000]  or a white barista.
[02:36:16.000 --> 02:36:19.000]  By the way I know some baristas that are doing very, very well.
[02:36:19.000 --> 02:36:20.000]  You're a good bartender.
[02:36:20.000 --> 02:36:22.000]  You can make $100,000 to $100,000 a year in the right city.
[02:36:22.000 --> 02:36:24.000]  I'm not even knocking people that are baristas.
[02:36:24.000 --> 02:36:26.000]  Especially if you own your own little bar
[02:36:26.000 --> 02:36:28.000]  and you know it serves a few delicious dishes.
[02:36:28.000 --> 02:36:30.000]  I'm not these elitists that put people down
[02:36:30.000 --> 02:36:32.000]  for their yeoman type work.
[02:36:32.000 --> 02:36:34.000]  The point is that this is who they are.
[02:36:34.000 --> 02:36:36.000]  Do you think the left in general is buying this?
[02:36:36.000 --> 02:36:38.000]  Because every time I think we're winning
[02:36:38.000 --> 02:36:40.000]  I go out to dinner or something
[02:36:40.000 --> 02:36:42.000]  with friends and family and cousins
[02:36:42.000 --> 02:36:44.000]  and they'll have their college age children there
[02:36:44.000 --> 02:36:46.000]  who should be adults.
[02:36:46.000 --> 02:36:48.000]  And they are like totally bought into this
[02:36:48.000 --> 02:36:50.000]  and are saying white guilt crap
[02:36:50.000 --> 02:36:53.000]  in front of me like I'm supposed to buy into this.
[02:36:53.000 --> 02:36:55.000]  It's like mental illness.
[02:36:55.000 --> 02:36:59.000]  It's wild and what's crazy is we've allowed the left.
[02:36:59.000 --> 02:37:01.000]  And I do think this is partially our fault.
[02:37:01.000 --> 02:37:03.000]  We've allowed them to do this
[02:37:03.000 --> 02:37:04.000]  since the 70s.
[02:37:04.000 --> 02:37:07.000]  Reagan wrote about this in an American Life.
[02:37:07.000 --> 02:37:09.000]  This has been the left's tactic
[02:37:09.000 --> 02:37:11.000]  to call us white supremacists
[02:37:11.000 --> 02:37:13.000]  for believing in small government
[02:37:13.000 --> 02:37:16.000]  for working towards American values
[02:37:16.000 --> 02:37:18.000]  and American freedoms.
[02:37:18.000 --> 02:37:20.000]  It really can't go on
[02:37:20.000 --> 02:37:22.000]  and if we allow it to go on it's going to get worse.
[02:37:22.000 --> 02:37:24.000]  If we allow them to steal from us
[02:37:24.000 --> 02:37:26.000]  to abuse us, to assault us,
[02:37:26.000 --> 02:37:29.000]  to burn down buildings while we're trying to give a speech
[02:37:29.000 --> 02:37:31.000]  it's going to get worse.
[02:37:31.000 --> 02:37:35.000]  It seemed like the cops particularly were rough with you.
[02:37:35.000 --> 02:37:39.000]  Like you were some demon trying to snatch the speech back.
[02:37:39.000 --> 02:37:41.000]  You know, I spoke to them afterwards.
[02:37:41.000 --> 02:37:42.000]  I don't know.
[02:37:42.000 --> 02:37:45.000]  My theory is that they had orders to stand down.
[02:37:45.000 --> 02:37:48.000]  I went, if you watch the full video of this speech
[02:37:48.000 --> 02:37:49.000]  before this happened,
[02:37:49.000 --> 02:37:53.000]  I waited half an hour for these protesters
[02:37:53.000 --> 02:37:54.000]  if you want to call them that,
[02:37:54.000 --> 02:37:57.000]  to quiet down so I could continue the speech.
[02:37:57.000 --> 02:37:59.000]  I went up to these officers multiple times
[02:37:59.000 --> 02:38:01.000]  while I was trying to deliver the speech
[02:38:01.000 --> 02:38:04.000]  and I asked them to remove the rowdy demonstrators.
[02:38:04.000 --> 02:38:05.000]  They refused.
[02:38:05.000 --> 02:38:09.000]  They saw this woman take the speech off of the podium,
[02:38:09.000 --> 02:38:10.000]  did nothing.
[02:38:10.000 --> 02:38:15.000]  They only did something after I took my property back.
[02:38:17.000 --> 02:38:19.000]  You know, that reminds me of the media
[02:38:19.000 --> 02:38:21.000]  showing the inauguration for hours.
