[00:00.000 --> 00:06.560]  It's Wednesday, September 15, 2021.
[2:53:52.000 --> 2:53:54.000]  We'll post on him for your heads.com.
[2:53:54.000 --> 2:54:00.000]  Let me just explain something here.
[2:54:00.000 --> 2:54:07.000]  Let me explain why the globalists are doing this, they're satanic, they're evil, they're jealous, they're into themselves, they're selfish.
[2:54:07.000 --> 2:54:11.000]  But they believe because of advanced technologies, we're going to reach an Atlantean moment,
[2:54:11.000 --> 2:54:16.000]  whether Atlantis existed or not, a new Atlantis moment where we blow ourselves up because of our technology.
[2:54:16.000 --> 2:54:20.000]  But then they're the ones proliferating all the dangerous stuff at the same time and destabilizing things.
[2:54:20.000 --> 2:54:21.000]  But that's their excuse.
[2:54:21.000 --> 2:54:23.000]  We've got to get rid of people to save the earth.
[2:54:23.000 --> 2:54:29.000]  We've got to have a total tyranny, total surveillance of AI so that, you know, rogue states don't create a bio weapon that kills everybody.
[2:54:29.000 --> 2:54:33.000]  So we'll release a small bio weapon to train everybody to lock down during a crisis.
[2:54:33.000 --> 2:54:34.000]  This is all a global drill.
[2:54:34.000 --> 2:54:36.000]  You'll be rewarded for carrying it out.
[2:54:36.000 --> 2:54:37.000]  That's what they told them.
[2:54:37.000 --> 2:54:43.000]  I've had people that served heads of state, Hillary Clinton, Merkel, you name it, on this show.
[2:54:43.000 --> 2:54:51.000]  I've had three star generals on the show who said they're going to release a weapon and use it to lock stuff down and control society.
[2:54:51.000 --> 2:54:52.000]  And then it's in the documents.
[2:54:52.000 --> 2:54:55.000]  So you've got to come to grips with this.
[2:54:55.000 --> 2:55:00.000]  And, you know, see this cell phone right here, it tracks you, it controls you, I put it in a Faraday cage when I don't use it.
[2:55:00.000 --> 2:55:05.000]  And I've got the apps and all that stuff turned off, but it's still a very dangerous Trojan horse tool.
[2:55:05.000 --> 2:55:06.000]  It's a dangerous weapon.
[2:55:06.000 --> 2:55:14.000]  Like George Washington said, government is like fire, a dangerous servant and a fearful master.
[2:55:14.000 --> 2:55:22.000]  But do you understand that the Apple iPhone they estimate has $200 billion of investment just in the development of it?
[2:55:22.000 --> 2:55:23.000]  It's a trillion plus dollar company.
[2:55:23.000 --> 2:55:27.000]  $200 billion just to do all this.
[2:55:27.000 --> 2:55:31.000]  So yeah, I could dial in if I had a Facebook or YouTube and go live and all this great technology.
[2:55:31.000 --> 2:55:34.000]  That's billions of dollars of research.
[2:55:34.000 --> 2:55:35.000]  We don't have all that.
[2:55:35.000 --> 2:55:38.000]  We've got to pay millions of dollars per quarter in bandwidth.
[2:55:38.000 --> 2:55:44.000]  We've got to pay millions to have our own systems and our own interfaces and our own encoders.
[2:55:44.000 --> 2:55:48.000]  And we're trying to build a bunch of that with money right now.
[2:55:48.000 --> 2:55:52.000]  And we've got a whole bunch of stuff constructed and almost ready.
[2:55:52.000 --> 2:55:59.000]  And like I said, I already have my house sold if the freeze didn't break the pipes and flood some of it.
[2:55:59.000 --> 2:56:00.000]  So that's getting fixed.
[2:56:00.000 --> 2:56:01.000]  I'm going to take that money with pleasure.
[2:56:01.000 --> 2:56:08.000]  My goal is to have basically nothing, everything put into this place, everything expended in the fight.
[2:56:08.000 --> 2:56:11.000]  We've got a bunch of other resistance going on.
[2:56:11.000 --> 2:56:12.000]  So I need you to help us.
[2:56:12.000 --> 2:56:14.000]  I need you to word of mouth, spread the word.
[2:56:14.000 --> 2:56:18.000]  I need you to support all the other great folks we've got my word of mouth like Gab.
[2:56:18.000 --> 2:56:21.000]  And I need you for your own self to get products you need.
[2:56:21.000 --> 2:56:23.000]  Go to infowarstore.com.
[2:56:23.000 --> 2:56:26.000]  You know, it's a great way to trigger leftist.
[2:56:26.000 --> 2:56:27.000]  And we've come up with a new t shirt.
[2:56:27.000 --> 2:56:32.000]  We put it on screen for folks that says I hate Alex Jones.
[2:56:32.000 --> 2:56:36.000]  And then on the back, it says, don't visit info wars.com.
[2:56:36.000 --> 2:56:40.000]  And then there's our great don't tread on me new design with the American flag and rattlesnake.
[2:56:40.000 --> 2:56:41.000]  I think that's awesome as well.
[2:56:41.000 --> 2:56:44.000]  But we've got a new you go to infowarstore.com.
[2:56:44.000 --> 2:56:45.000]  You can see it.
[2:56:45.000 --> 2:56:47.000]  The new Alex Jones.
[2:56:47.000 --> 2:56:49.000]  I hate Alex Jones.
[2:56:49.000 --> 2:56:53.000]  And then on the back, the same t shirt says don't visit info wars.com.
[2:56:53.000 --> 2:56:56.000]  It's a really good looking t shirt.
[2:56:56.000 --> 2:56:57.000]  I'm really, really proud of it.
[2:56:57.000 --> 2:56:58.000]  Now click the back for me.
[2:56:58.000 --> 2:56:59.000]  Thanks.
[2:56:59.000 --> 2:57:01.000]  And I just hope everybody gets it that way.
[2:57:01.000 --> 2:57:03.000]  You can be incognito.
[2:57:03.000 --> 2:57:04.000]  You can be around them.
[2:57:04.000 --> 2:57:05.000]  You can hear what they have to say.
[2:57:05.000 --> 2:57:07.000]  And they're so into themselves.
[2:57:07.000 --> 2:57:10.000]  They're going to actually believe it's real, but it's going to make them visit the website.
[2:57:10.000 --> 2:57:13.000]  Don't visit info wars.com.
[2:57:13.000 --> 2:57:15.000]  And I hate Alex Jones.
[2:57:15.000 --> 2:57:16.000]  It's a new shirt.
[2:57:16.000 --> 2:57:18.000]  Notice it's 995.
[2:57:18.000 --> 2:57:19.000]  The shirt cost us.
[2:57:19.000 --> 2:57:21.000]  It's on good fabric and printed in America.
[2:57:21.000 --> 2:57:22.000]  We printed in China.
[2:57:22.000 --> 2:57:23.000]  It's going to be $3.
[2:57:23.000 --> 2:57:25.000]  The shirt cost us about $7.
[2:57:25.000 --> 2:57:27.000]  After everything else costs us $9.
[2:57:27.000 --> 2:57:29.000]  So it's 995.
[2:57:29.000 --> 2:57:32.000]  All the shirts are at cost.
[2:57:32.000 --> 2:57:36.000]  Whatever they cost, it's a big t shirt sale, including our new shirt.
[2:57:36.000 --> 2:57:38.000]  I hate Alex Jones.
[2:57:38.000 --> 2:57:39.000]  Get it.
[2:57:39.000 --> 2:57:40.000]  Although there's a new shirt talking about too.
[2:57:40.000 --> 2:57:43.000]  Come and take it with a big vaccine injector on it.
[2:57:43.000 --> 2:57:44.000]  And Trump won.
[2:57:44.000 --> 2:57:49.000]  And so much more.
[2:57:49.000 --> 2:57:56.000]  The puppet leaders of nations across the planet are declaring their allegiance to the new world order.
[2:57:56.000 --> 2:58:00.000]  And Democrat politicians have been announcing it here as well.
[2:58:00.000 --> 2:58:07.000]  That means allegiance to a tyrannical world corporate government established by the Rockefellers through the UN.
[2:58:07.000 --> 2:58:19.000]  And they want inside your bodies to put in you what they want, when they want, and to have the global digital tracking COVID passes or vaccine passes to form the backbone of their new world ID.
[2:58:19.000 --> 2:58:28.000]  And now their puppet Biden has announced the forced inoculation of 100 million Americans to keep their jobs in total violation of the Nuremberg Code.
[2:58:28.000 --> 2:58:30.000]  This is criminal.
[2:58:30.000 --> 2:58:33.000]  And he's lying saying it's an approved vaccine when they did not approve it.
[2:58:33.000 --> 2:58:35.000]  They say that's a 20, 25 maybe.
[2:58:35.000 --> 2:58:38.000]  They just expanded the emergency authorization.
[2:58:38.000 --> 2:58:41.000]  That's why the two top scientists quit a week and a half ago.
[2:58:41.000 --> 2:58:44.000]  Well, you live to see an absolute new world order world government.
[2:58:44.000 --> 2:58:48.000]  If you submit, they will totally enslave you.
[2:58:48.000 --> 2:58:53.000]  I've been fighting as hard as I can for almost 28 years against the globalist.
[2:58:53.000 --> 2:58:55.000]  I wanted to stop their agenda.
[2:58:55.000 --> 2:59:00.000]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[2:59:00.000 --> 2:59:01.000]  But we failed.
[2:59:01.000 --> 2:59:03.000]  Yes, a lot of people are awake.
[2:59:03.000 --> 2:59:10.000]  Yes, we're not getting caught flat footed, but they are going ahead with their full operational deindustrialization.
[2:59:10.000 --> 2:59:11.000]  Great reset.
[2:59:11.000 --> 2:59:17.000]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show,
[2:59:17.000 --> 2:59:20.000]  because people are ready to wake up and ready to hear the truth.
[2:59:20.000 --> 2:59:23.000]  So we've got an information warfare of the enemy and trying to stop their agenda.
