[00:00:07.176 --> 00:00:09.377]  It's Monday, November 9th.
[02:07:29.458 --> 02:07:31.559]  It's a graph and it's sexual exploitation.
[02:07:31.559 --> 02:07:36.680]  But by the way, it's the graph that shows how Biden's results are literally impossible.
[02:07:36.680 --> 02:07:37.120]  Yep.
[02:07:37.120 --> 02:07:40.521]  But you know, Joe Biden sniffing the kids, that's all good.
[02:07:40.521 --> 02:07:41.581]  That's right.
[02:07:41.581 --> 02:07:43.561]  I mean, it's not just good.
[02:07:43.561 --> 02:07:45.902]  Atlantic Monthly says it's a religious, Christ-like sacrament.
[02:07:45.902 --> 02:07:46.702]  It's pedo Joe.
[02:07:46.702 --> 02:07:50.703]  It actually says when he lays upon the hands, it's now a holy act.
[02:07:51.479 --> 02:07:53.340]  I guess at Jeffrey Epstein's Island, too.
[02:07:53.340 --> 02:07:54.240]  It's like a holy act.
[02:07:54.240 --> 02:07:55.321]  They'll probably have some deal.
[02:07:55.321 --> 02:07:57.742]  You'll bring your child to... Children with Bidens!
[02:07:57.742 --> 02:07:58.302]  But they're telling you!
[02:07:58.302 --> 02:08:01.563]  They actually said when they raped kids at that island, it was a holy act.
[02:08:01.563 --> 02:08:01.884]  It is!
[02:08:01.884 --> 02:08:02.984]  It's a demonic holy act.
[02:08:02.984 --> 02:08:03.644]  A holy man!
[02:08:03.644 --> 02:08:04.685]  It's a satanic religion.
[02:08:04.685 --> 02:08:06.306]  Read to your daughter right now.
[02:08:06.306 --> 02:08:13.829]  Trump campaign witnesses saw Biden-Harris bandstop at Las Vegas Nevada Center and unloaded filled boxes of ballots.
[02:08:13.829 --> 02:08:14.249]  I love that one.
[02:08:14.249 --> 02:08:16.410]  We bought that in Pennsylvania and in Michigan.
[02:08:16.530 --> 02:08:21.957]  No, how hilarious is it, Alex, that I have video where, I mean, everybody's seen it.
[02:08:21.957 --> 02:08:22.458]  Don Jr.
[02:08:22.458 --> 02:08:26.323]  retweeted it, and it's just guys just wheeling in suitcases of ballots.
[02:08:26.323 --> 02:08:27.264]  President Twitter banned it.
[02:08:27.264 --> 02:08:29.647]  The presidential election, corruption and deception.
[02:08:29.647 --> 02:08:31.910]  President elect Biden won't be for long.
[02:08:34.013 --> 02:08:35.174]  It goes on and on.
[02:08:35.174 --> 02:08:39.678]  Election changes in Wisconsin call into question tens of thousands of votes.
[02:08:39.678 --> 02:08:44.321]  Graham warns if we don't fight back, GOP may never win a presidency again.
[02:08:44.321 --> 02:08:46.443]  Yeah, this isn't parties battling for power.
[02:08:46.443 --> 02:08:51.027]  This is a party ending the voting system in America.
[02:08:51.027 --> 02:08:54.350]  Sidney Powell says they had it all planned, has the evidence.
[02:08:56.138 --> 02:09:00.602]  Trump Alliance raises a 30-day legal war as Senate hangs in the balance.
[02:09:00.602 --> 02:09:03.325]  You cannot cut the suspense with a knife.
[02:09:03.325 --> 02:09:05.567]  Infowars.com, Newswars.com.
[02:09:05.567 --> 02:09:07.509]  The caravan begins in Texas.
[02:09:07.509 --> 02:09:16.237]  We're calling for caravans everywhere around the country, for truckers to run strikes, to be there Friday and Saturday, Sunday in D.C., but show up Friday, Saturday's the key day.
[02:09:16.237 --> 02:09:18.058]  And tell them about the Parler account.
[02:09:18.058 --> 02:09:21.882]  You've launched, Owen, for folks to join us anywhere on the track from Texas.
[02:09:22.302 --> 02:09:26.606]  Louisiana, Mississippi, Alabama, Georgia, Florida, Carolinas.
[02:09:26.606 --> 02:09:27.907]  Tell us how we do it!
[02:09:27.907 --> 02:09:30.469]  Follow at StopTheSteelCaravan on Parler.
[02:09:30.469 --> 02:09:33.232]  I'm going to be putting up hourly updates where you can find us.
[02:09:33.232 --> 02:09:36.775]  Our stops again, our launch tonight, Austin, Texas, 5 p.m.
[02:09:36.775 --> 02:09:39.157]  Our first stop, Houston, Texas, 8 p.m.
[02:09:39.157 --> 02:09:40.638]  tonight and onward and upward.
[02:09:40.638 --> 02:09:43.641]  God bless America, Alex Jones!
[02:09:43.641 --> 02:09:44.802]  Yes, yes, yes!
[02:09:45.450 --> 02:09:49.972]  Introducing Infowars Life Pure Turmeric Extract.
[02:09:49.972 --> 02:09:52.534]  This is taken under the tongue.
[02:09:52.534 --> 02:09:54.715]  It is pure turmeric.
[02:09:54.715 --> 02:10:03.920]  It goes together very well with our body's ultimate turmeric formula that is taken as a powdered capsule and absorbed in the stomach and intestines.
[02:10:03.920 --> 02:10:09.763]  This is absorbed under the tongue into the bloodstream and then the remaining also is then absorbed by the stomach.
[02:10:09.763 --> 02:10:11.924]  So it's more of an intense delivery system.
[02:10:12.364 --> 02:10:15.605]  The two formulas are different, but both are concentrates.
[02:10:15.605 --> 02:10:17.445]  And our first product got rave reviews.
[02:10:17.445 --> 02:10:19.565]  We've now been testing this out for several months.
[02:10:19.565 --> 02:10:21.746]  Some of our staff like it more than bodies.
[02:10:21.746 --> 02:10:23.106]  Some like bodies better.
[02:10:23.106 --> 02:10:27.247]  For me, they're both amazing for their anti-inflammatory action and so much more.
[02:10:27.247 --> 02:10:28.427]  And they fund the InfoWare.
[02:10:28.427 --> 02:10:33.048]  So get our new liquid turmeric extract exclusively at InfoWareStore.com today.
[02:10:33.048 --> 02:10:34.048]  Get an additional 25% off.
[02:10:34.048 --> 02:10:34.428]  This is a 360 win.
[02:10:37.549 --> 02:10:42.635]  Turmeric is renowned for what it does for all of our bodies, for inflammation and so much more.
[02:10:42.635 --> 02:10:45.338]  Get yours today at InfoWarsLife.com.
[02:10:45.338 --> 02:10:50.804]  The controlled corporate media are mouthpieces for any big corporation or government that'll pay them.
[02:10:50.804 --> 02:10:51.465]  It's that simple.
[02:10:51.465 --> 02:10:54.208]  And they've used our open free society against us.
[02:10:54.989 --> 02:10:58.732]  The controlled media will talk about a few mistakes I've made over the years and obsess over it.
[02:10:58.732 --> 02:11:05.038]  They see he's a liar on purpose, even though our success rate, our accuracy rate, is way, way better than theirs.
[02:11:05.038 --> 02:11:06.859]  We try to tell the truth.
[02:11:06.859 --> 02:11:07.560]  They try to lie.
[02:11:07.560 --> 02:11:09.161]  They try to deceive.
[02:11:09.161 --> 02:11:13.565]  I'm trying to get people to realize how the globalists operate, how they manipulate, how they
[02:11:14.875 --> 02:11:15.956]  Bamboozle the public.
[02:11:15.956 --> 02:11:20.920]  I'm trying to get the public to ask the questions and to not believe what they're told in the face.
[02:11:20.920 --> 02:11:25.544]  I'm trying to get people to research for themselves.
[02:11:25.544 --> 02:11:32.690]  The globalists and their controlled corporate press say that researching and not trusting media is evil and is a conspiracy theory.
[02:11:32.690 --> 02:11:34.811]  Well, again, on its face, that is a fraud.
[02:11:35.792 --> 02:11:43.237]  Question everything, question InfoWars, add your own research to it, and then decide what you're going to promote to others and what news sources are accurate.
[02:11:43.237 --> 02:11:48.500]  I believe InfoWars is the best source out there.
[02:11:48.500 --> 02:11:51.122]  You're listening to the Alex Jones Show.
[02:12:06.912 --> 02:12:08.033]  Big Brother.
[02:12:08.033 --> 02:12:09.814]  Mainstream media.
[02:12:09.814 --> 02:12:11.716]  Government cover-ups.
[02:12:11.716 --> 02:12:13.417]  You want to stop tyranny?
[02:12:13.417 --> 02:12:15.098]  Well, so does he.
[02:12:15.098 --> 02:12:19.782]  Live from the InfoWars.com studios, it's Alex Jones.
[02:12:22.071 --> 02:12:24.033]  I have a great sense of responsibility.
[02:12:24.033 --> 02:12:25.494]  I know you do.
[02:12:25.494 --> 02:12:28.997]  We can feel 246 years of our republic hanging in the balance.
[02:12:28.997 --> 02:12:31.419]  We know we're being replaced by a global government.
[02:12:31.419 --> 02:12:33.140]  Communist Chinese are the model.
[02:12:33.140 --> 02:12:35.242]  They've oppressed those people so horribly.
[02:12:35.242 --> 02:12:39.045]  It is truly godless and soulless what we're facing.
[02:12:39.045 --> 02:12:45.451]  But we have a lot of allies here in the United States and around the world, and we are coming together.
[02:12:45.451 --> 02:12:48.033]  There is an awakening that is so huge right now.
[02:12:50.094 --> 02:12:58.260]  But the establishment tends to mop that up with authoritarianism and their social credit score to shut everyone down that doesn't submit.
[02:12:58.260 --> 02:13:05.766]  They have an authoritarian answer to our movement of 1776.
[02:13:05.766 --> 02:13:06.747]  But let me just do this.
[02:13:06.747 --> 02:13:19.757]  Let me talk about Joe Biden, the liar himself, and then just briefly recap what their current plan is that we predicted that they're now executing and the only way the president can respond to it to defeat it.
[02:13:20.779 --> 02:13:26.581]  And that means we have to magnify this information like our lives depend on.
[02:13:26.581 --> 02:13:36.845]  You have seen Joe Biden come out in the last three days and say that he's the president-elect, fraudulently, and have the corporate media, mainly foreign-owned, say it.
[02:13:36.845 --> 02:13:44.768]  And you've seen Joe Biden say, hey, I want to unify the country.
[02:13:44.768 --> 02:13:50.050]  Now that's a classic military tactic like they had in World War I, where the Germans would bullhorn
[02:13:51.607 --> 02:13:57.875]  Over a speaker system, hey, your military's giving up, we're not going to hurt you, just put your hands up, you'll be okay.
[02:13:57.875 --> 02:14:06.927]  You see the classic jokes, we play a lot where Mars attacks, the Martians are shooting people with laser beams, with ray guns and saying, don't run, we're your friends.
[02:14:06.927 --> 02:14:09.430]  But when the people stop and don't run, they get shot and killed.
[02:14:11.476 --> 02:14:12.776]  When the military U.S.
[02:14:12.776 --> 02:14:19.139]  Army criminally attacked the poor Ranch Davidian cult, they were a cult, they didn't deserve to die, and killed the women and children.
[02:14:19.139 --> 02:14:22.680]  They had the armored vehicles saying, don't run, this is not an assault.
[02:14:22.680 --> 02:14:26.682]  They were shooting them on the flare footage from behind the tanks.
[02:14:26.682 --> 02:14:30.663]  So that's a tactic to tell you we're not assaulting you when we are.
[02:14:30.663 --> 02:14:35.445]  So when Joe Biden comes out and says we're not assaulting you, Michelle Obama, aka Big Mike,
[02:14:37.090 --> 02:14:37.270]  I think?
[02:15:07.845 --> 02:15:13.790]  On MSNBC, on AMJOY, saying we have to collectively burn down the Republican Party.
[02:15:13.790 --> 02:15:19.634]  And if you go on Twitter and Facebook and everywhere, this is what they're currently saying all over the place.
[02:15:19.634 --> 02:15:21.756]  Here they are.
[02:15:21.756 --> 02:15:26.319]  Entertainment organization that has a news outlet would hire these people.
[02:15:26.319 --> 02:15:31.423]  I also want to echo something that my friend EJ said.
[02:15:31.423 --> 02:15:35.406]  It's not only that Trump has to lose, but that all his enablers have to lose.
[02:15:36.527 --> 02:15:40.530]  We have to collectively, in essence, burn down the Republican Party.
[02:15:40.530 --> 02:15:41.851]  We have to level them.
[02:15:41.851 --> 02:15:47.514]  Because if there are survivors, if there are people who weathered this storm, they will do it again.
[02:15:47.514 --> 02:15:51.777]  They will take this as confirmation that, hey, it just pays to ride the waves.
[02:15:51.777 --> 02:15:53.678]  Look at me, I've made it through.
[02:15:53.678 --> 02:15:59.722]  And so up and down the ticket, federal, state, local offices, the country has to repudiate this.
[02:15:59.722 --> 02:16:03.205]  This has become a dysfunctional, anti-government party.
[02:16:03.205 --> 02:16:05.466]  That is not what the country wants and what it needs.
[02:16:07.205 --> 02:16:09.430]  So there are the Democrats pledging vengeance.
[02:16:09.430 --> 02:16:09.971]  Here's another one.
[02:16:09.971 --> 02:16:16.644]  Pete Buttigieg tells people to reach out to Trump supporters as his staff compiles a blacklist of them.
[02:16:17.745 --> 02:16:20.147]  For Big Tech to persecute.
[02:16:20.147 --> 02:16:31.456]  All because Trump ended the wars and doubled funding to black colleges and tripled funding for economic zones where you do get the money if you hire a black person.
[02:16:31.456 --> 02:16:33.878]  Which is not affirmative action.
[02:16:33.878 --> 02:16:41.645]  It's a direct government subsidy to build a factory in a major black area and then to hire a black person so they get off welfare and have a future.
[02:16:42.245 --> 02:16:50.447]  It's not, oh, I give you money and then you don't have children or you live in the shack and, you know, it's $500 a month.
[02:16:50.447 --> 02:16:56.769]  How about $5,000 a month and you actually work your ass off and you love it and you appreciate it and now you're part of the country.
[02:16:56.769 --> 02:17:02.510]  Like when Lincoln said, you're going to give every black slave 40 acres and a mule at the end of the Civil War.
[02:17:02.510 --> 02:17:08.292]  Most folks didn't get it, but it's the idea of better to teach somebody how to fish than to give them fish.
[02:17:09.628 --> 02:17:11.808]  And Trump really tried hard, didn't he?
[02:17:11.808 --> 02:17:13.329]  Doubled.
[02:17:13.329 --> 02:17:16.349]  You know, I know a lady that's on the board of a big black college.
[02:17:16.349 --> 02:17:19.310]  Traditionally black colleges are called.
[02:17:19.310 --> 02:17:23.011]  And she didn't give a damn when Trump doubled their money three years ago.
[02:17:23.011 --> 02:17:27.692]  She's out there campaigning hard against Trump.
[02:17:27.692 --> 02:17:29.412]  Because, see, it isn't about that, is it?
[02:17:29.412 --> 02:17:32.353]  It's about working for that Democratic Party that owns your ass.
