[00:00.000 --> 00:01.000]  Come on, man.
[2:28:17.600 --> 2:28:20.960]  shooting somebody a terror attack and robom would say oh that's not islamic
[2:28:20.960 --> 2:28:24.400]  that that's just a crime and then they take every shooting when the white guy
[2:28:24.400 --> 2:28:27.680]  does and say it's a terrorist act and then that's how they do it exactly it's
[2:28:27.680 --> 2:28:30.480]  manipulation of the numbers they know they are there is no great white
[2:28:30.480 --> 2:28:34.160]  nationalist threat nobody is afraid of of clansmen marching down the
[2:28:34.160 --> 2:28:37.840]  street and burning all of their homes that threat has long since passed the
[2:28:37.840 --> 2:28:40.800]  only real politicized violence has come on the left and has come from
[2:28:40.800 --> 2:28:45.440]  politicized radicalized islam there is no right of course antsy fun others
[2:28:45.440 --> 2:28:48.880]  it's the lack bullying everybody everybody knows it no amount of cnn
[2:28:48.880 --> 2:28:53.840]  lying will change that well the ride back stay with us more coming up
[2:28:53.840 --> 2:28:58.000]  when you have a pain in the neck a real pain in the neck
[2:28:58.000 --> 2:29:03.280]  back shoulder or legs you now have two convenient choices to get fast relief
[2:29:03.280 --> 2:29:07.920]  without taking another pill because now sunny bay heating wraps and pillows
[2:29:07.920 --> 2:29:13.280]  are available at both amazon and walmart yes see sunny bay's four and a half to
[2:29:13.280 --> 2:29:17.760]  five star customer reviews on amazon.com or walmart.com our
[2:29:17.760 --> 2:29:21.600]  microwavable heat wraps heatable neck pillows and extra large body
[2:29:21.600 --> 2:29:24.400]  wraps are designed better for perfect support
[2:29:24.400 --> 2:29:29.120]  where and when you need it even while driving sunny bay wraps will not burn
[2:29:29.120 --> 2:29:32.560]  and stay balanced to provide soothing hot or cold therapy
[2:29:32.560 --> 2:29:36.080]  to help treat temporary or chronic pain and the best part
[2:29:36.080 --> 2:29:41.200]  sunny bay quality products started under $20 join thousands of happy customers
[2:29:41.200 --> 2:29:46.000]  and see why sunny bay products have a lifetime 100 positive rating on both
[2:29:46.000 --> 2:29:49.840]  amazon and etsy it's easy click amazon or walmart
[2:29:49.840 --> 2:29:53.760]  and search today for sunny bay
[2:29:54.560 --> 2:29:58.240]  there are few things in this universe that are assured back but i'm here to
[2:29:58.240 --> 2:30:01.040]  tell you the products that in four wars life.com
[2:30:01.040 --> 2:30:04.800]  are we go out we find out what is the best rated
[2:30:04.800 --> 2:30:10.800]  best tested most loved most documented substances that god gave us to mother
[2:30:10.800 --> 2:30:14.160]  nature and then we make it even stronger even
[2:30:14.160 --> 2:30:18.400]  better and lower the price now tumeric has been known for thousands of years
[2:30:18.400 --> 2:30:21.680]  to help with inflammation headaches it's good for the immune system
[2:30:21.680 --> 2:30:27.280]  so many things it sells itself but normal tumerics only has three to five
[2:30:27.280 --> 2:30:33.040]  percent curcuminoid the active enzyme or system in the plan
[2:30:33.040 --> 2:30:37.840]  originally obviously from india well body's ultimate tumeric formula has a
[2:30:37.840 --> 2:30:41.840]  95 percent curcuminoid level that's got other natural
[2:30:41.840 --> 2:30:45.520]  things that help boost it help your body absorb it and that's why people
[2:30:45.520 --> 2:30:48.640]  absolutely love it i'm doing this offer for people that
[2:30:48.640 --> 2:30:52.080]  haven't tried it yet 50 off on bodies and in four's
[2:30:52.080 --> 2:30:58.240]  life.com super silver wound gel is a private label
[2:30:58.240 --> 2:31:01.520]  from the top company in the u.s that has their products and hospitals and is
[2:31:01.520 --> 2:31:04.480]  sold over the counter and approved for that by the FDA
[2:31:04.480 --> 2:31:07.200]  we have been blessed with their listeners and let us private label it
[2:31:07.200 --> 2:31:11.440]  in the last two years it's been a best seller we convinced them to let us
[2:31:11.440 --> 2:31:16.000]  come out with a skin cream that basically mimics the top skin creams that are
[2:31:16.000 --> 2:31:20.000]  already out there at a lower price with their patented silver salt
[2:31:20.000 --> 2:31:23.280]  technology in it it's got the hyaluronic acid
[2:31:23.280 --> 2:31:28.240]  it's got the steric acid it's got the grapefruit essential oil it's got the
[2:31:28.240 --> 2:31:32.240]  nano silver coconut oil and so much more it's in two sizes
[2:31:32.240 --> 2:31:36.480]  super silver skin cream in 3.4 ounce and in the smaller one
[2:31:36.480 --> 2:31:39.280]  you're not going to find a product that's good anywhere you're certainly not
[2:31:39.280 --> 2:31:43.440]  going to find it at this price and it funds the info war at info wars life
[2:31:43.440 --> 2:31:47.440]  dot com get your super silver skin cream today
[2:31:47.440 --> 2:31:51.200]  we can only run this special for another week or so as i'm taping this
[2:31:51.200 --> 2:31:56.240]  september 10th i was among the first 12 years ago to
[2:31:56.240 --> 2:31:58.560]  warn that jeffrey epstein was running a giant
[2:31:58.560 --> 2:32:03.680]  governmental blackmail ring using pedophilia i was the first to warn of
[2:32:03.680 --> 2:32:08.320]  human animal hybrids and organ harvesting i was the first to
[2:32:08.320 --> 2:32:11.840]  begin to warn that babies were being kept alive after they were born
[2:32:11.840 --> 2:32:16.320]  for their organs to be harvested i was the first to warn you along with paul
[2:32:16.320 --> 2:32:20.240]  watson and info wars dot com 15 years ago that google
[2:32:20.240 --> 2:32:24.160]  was using microphones and hidden cameras to record everything you do
[2:32:24.160 --> 2:32:27.520]  and hundreds and hundreds of other giant
[2:32:27.520 --> 2:32:31.120]  issues like the federal reserve being private run for profit
[2:32:31.120 --> 2:32:34.560]  trying to control our economy that our government hollywood have been taken
[2:32:34.560 --> 2:32:39.040]  over by the communist chinese on every one of these issues and many others
[2:32:39.040 --> 2:32:42.960]  we've been dead on and we've raised the alarm on the planetary scale
[2:32:42.960 --> 2:32:45.600]  that's why the globalists are trying to shut us down
[2:32:45.600 --> 2:32:49.680]  and that's why you are more critical than ever to support the info war
[2:32:49.680 --> 2:32:54.000]  please support the info war however you can
[2:32:54.000 --> 2:33:05.440]  you're listening to the alex jones show
[2:33:05.440 --> 2:33:16.880]  so
[2:33:17.280 --> 2:33:24.880]  waging war on corruption it's alex jones
[2:33:25.280 --> 2:33:29.360]  remember we're still on the air this is my big tech the democratic party the
[2:33:29.360 --> 2:33:35.520]  globalist and left this place put into the cia
[2:33:35.520 --> 2:33:39.280]  the charge of getting us off the air in congressional hearings
[2:33:39.280 --> 2:33:43.280]  three plus years ago two years ago last year this year
[2:33:43.280 --> 2:33:45.840]  we're putting together a compilation of that we're going to be airing the next
[2:33:45.840 --> 2:33:49.040]  few days it's more clips than i've thought of them saying in congress they
[2:33:49.040 --> 2:33:52.240]  want me taken completely off the air talk about an american
[2:33:52.240 --> 2:33:57.040]  don't forget what ananda varro said shut down i want them silence i want them
[2:33:57.040 --> 2:33:59.440]  muted i think they are horrible for our society
[2:33:59.440 --> 2:34:02.880]  i want them shut down i want them silence i want them muted i think they are
[2:34:02.880 --> 2:34:06.480]  horrible for our society i want them shut down i want them
[2:34:06.480 --> 2:34:09.440]  silence i want them muted i think they are horrible for our society
[2:34:09.440 --> 2:34:12.960]  i want them shut down i want them silence i want them muted i think they are
[2:34:12.960 --> 2:34:16.160]  horrible for our society i want them shut down i want them
[2:34:16.160 --> 2:34:19.760]  i think that's good thank you that's what we're dealing with now i want to
[2:34:19.760 --> 2:34:22.480]  cover the waterfront here bars we haven't done this
[2:34:22.480 --> 2:34:25.600]  before with just a ton of different angles and
[2:34:25.600 --> 2:34:31.400]  and different issues and different areas in my stack and just kind of not like one word
[2:34:31.400 --> 2:34:35.200]  responses or 10 word responses, but maybe one minute responses because you're a smart
[2:34:35.200 --> 2:34:38.760]  guy and I want to get your take on a whole bunch of things here.
[2:34:38.760 --> 2:34:45.760]  But first off, the Supreme Court ruling that Trump, of course, that's in the Constitution,
[2:34:45.760 --> 2:34:49.800]  he can control who can come in from what country, just like his other so-called Muslim bands,
[2:34:49.800 --> 2:34:54.000]  was seven countries that don't have working state departments that don't have real passports,
[2:34:54.000 --> 2:34:58.040]  the imam-ish is it, and literal al-Qaeda and ISIS was coming in.
[2:34:58.040 --> 2:35:02.400]  So Supreme Court allows broad enforcement of Trump asylum rule that they didn't allow
[2:35:02.400 --> 2:35:03.400]  it.
[2:35:03.400 --> 2:35:04.400]  It's on its face.
[2:35:04.400 --> 2:35:08.800]  But what's scary is, thank God he's gotten 150 better judges, and I know you've been
[2:35:08.800 --> 2:35:09.800]  studying it.
[2:35:09.800 --> 2:35:10.800]  Are they really better?
[2:35:10.800 --> 2:35:14.920]  I think some of them are, onto the bench because that's blocking this leftist takeover
[2:35:14.920 --> 2:35:15.920]  that we see.
[2:35:15.920 --> 2:35:16.920]  I mean, is Gorsuch's perfect?
[2:35:16.920 --> 2:35:17.920]  No.
[2:35:17.920 --> 2:35:18.920]  Is Catalan perfect?
[2:35:18.920 --> 2:35:23.640]  No, but compared to Hillary would have put in, we see now courts that have been federal
[2:35:23.640 --> 2:35:28.120]  courts this week that have been overruled by the Supreme Court are issuing new rulings
[2:35:28.120 --> 2:35:29.120]  and ignoring it.
[2:35:29.120 --> 2:35:33.160]  I mean, this seems like beyond judicial tyranny, it's judicial mutiny.
[2:35:33.160 --> 2:35:36.920]  Well, I mean, yeah, I mean, D, what you're seeing is federal judges asserting they're
[2:35:36.920 --> 2:35:41.680]  particularly Obama appointees, asserting their power through the judicial branch as if they
[2:35:41.680 --> 2:35:43.880]  were elected president of the United States.
[2:35:43.880 --> 2:35:45.000]  And that's the problem.
[2:35:45.000 --> 2:35:47.240]  And that's what the Supreme Court keeps overturning.
[2:35:47.240 --> 2:35:51.600]  So for example, one of the things that's not supposed to happen is a district court judge
[2:35:51.600 --> 2:35:57.160]  in the federal system should never be issuing, for the most part, nationwide injunctions.
[2:35:57.160 --> 2:36:01.680]  They should be limited to the parties before them and limited to their jurisdiction.
[2:36:01.680 --> 2:36:05.320]  So if you're a judge in the Northern District of California, your injunction should only
[2:36:05.320 --> 2:36:08.120]  apply in that district to the parties before you.
[2:36:08.120 --> 2:36:09.840]  It should not apply to Texas.
[2:36:09.840 --> 2:36:11.320]  It should not apply to New York.
[2:36:11.320 --> 2:36:14.640]  It should not apply to Florida, should not apply to Tennessee.
[2:36:14.640 --> 2:36:18.880]  And yet you have these judges can, and this has been repeatedly issued, the Supreme Court
[2:36:18.880 --> 2:36:23.560]  overturned a nationwide injunction on the gag rule going back to the Clinton's Clinton
[2:36:23.560 --> 2:36:25.960]  administration concerning gays in the military.
[2:36:25.960 --> 2:36:26.960]  That's kind of scare the left.
