[00:00:09.372 --> 00:00:13.456]  The system isn't broken.
[02:36:36.071 --> 02:36:39.452]  But you just try to keep the graffiti off as much as possible.
[02:36:39.452 --> 02:36:39.692]  Right.
[02:36:39.692 --> 02:36:42.273]  Because the graffiti begins in which I hate.
[02:36:42.273 --> 02:36:43.453]  I hate to see it.
[02:36:43.453 --> 02:36:44.774]  But that's what I want to do.
[02:36:44.774 --> 02:36:49.815]  But we had meetings with them and we actually had mountain climbers coming in and climbing different
[02:36:50.715 --> 02:36:51.535]  Hold on.
[02:36:51.535 --> 02:36:53.076]  Hadn't you ever heard of this?
[02:36:53.076 --> 02:37:00.238]  Trump, we knew that they were testing a bunch of different border wall, call it technology, infrastructure, whatever.
[02:37:00.238 --> 02:37:04.000]  Did you know he was bringing in free climbers and mountain climbers to see what was the hardest to scale?
[02:37:17.637 --> 02:37:19.078]  I'd never heard that one before.
[02:37:19.078 --> 02:37:20.819]  That's something else.
[02:37:38.351 --> 02:37:42.455]  It's a very important element to stop people from climbing over the wall.
[02:37:42.455 --> 02:37:45.818]  So we did almost 500 miles of it.
[02:37:45.818 --> 02:37:48.060]  And then we were all getting prepared.
[02:37:48.060 --> 02:37:52.383]  We had it all bought and we could have done another 200 miles because we needed more.
[02:37:52.383 --> 02:37:54.385]  We did what we said we're going to do.
[02:37:54.385 --> 02:38:00.811]  But then we could have done more and we had it all bought and we had the election was ended and rigged, by the way.
[02:38:01.618 --> 02:38:07.841]  We didn't take over and what they did, and this is the first time I realized they were serious because I thought they were playing games.
[02:38:07.841 --> 02:38:10.502]  I realized they didn't want to build security.
[02:38:10.502 --> 02:38:21.147]  They want to have an open border so that people can come in from other prisons, from prisons all over the world, from mental institutions and insane asylums all over the world.
[02:38:21.147 --> 02:38:27.671]  We have people coming in from all over the world, not just the four or five countries that we think of our neighbors as neighbors.
[02:38:27.671 --> 02:38:29.932]  We had we have people coming now.
[02:38:30.819 --> 02:38:31.641]  From all over the world.
[02:38:31.641 --> 02:38:35.528]  We had the safest border in the history of our country.
[02:38:35.528 --> 02:38:38.073]  Now we have the worst border, I believe, in the history of the world.
[02:38:38.073 --> 02:38:42.301]  I don't believe there's any third world country that has a border like we have.
[02:38:42.970 --> 02:38:59.394]  And I think the real number is going to be when, when you really add it up, and I think if the numbers ever come out, I think they're going to have 15 million people by the end of this year would have come into this country under this lunatic regime of fascists and communists and everything else.
[02:38:59.394 --> 02:39:03.055]  So I think it's a, I think it's a terrible, terrible thing.
[02:39:03.055 --> 02:39:05.176]  But when we get in, we'll be able to stop it.
[02:39:05.176 --> 02:39:06.136]  We have Tom Holman.
[02:39:07.543 --> 02:39:11.126]  All of the greatest people, we have such great people.
[02:39:11.126 --> 02:39:14.589]  You know, if Biden went to the beach, you know, he goes to the beach all the time, right?
[02:39:14.589 --> 02:39:15.870]  You ever noticed?
[02:39:15.870 --> 02:39:17.311]  Somebody's working him.
[02:39:17.311 --> 02:39:24.297]  He's got these consultants, and I think they think he looks good in a bathing suit.
[02:39:24.297 --> 02:39:26.419]  And he doesn't look good in a bathing suit.
[02:39:26.419 --> 02:39:30.783]  And somebody's giving him very bad, very, very bad advice.
[02:39:30.783 --> 02:39:32.725]  And when you look at it and.
[02:39:33.658 --> 02:39:39.401]  All he had to do is if he went to the beach and didn't do anything, you would have the strongest border you've ever had right now.
[02:39:39.401 --> 02:39:42.463]  But they decided to get rid of, stay in Mexico.
[02:39:42.463 --> 02:39:44.664]  We had a policy, remain in Mexico.
[02:39:44.664 --> 02:39:45.665]  Remain in Mexico.
[02:39:45.665 --> 02:39:46.826]  How good is that?
[02:39:46.826 --> 02:39:48.407]  And we had to do that with Mexico.
[02:39:48.407 --> 02:39:50.668]  You think that was easy?
[02:39:50.668 --> 02:39:53.610]  We had... I went to the...
[02:39:54.747 --> 02:39:59.111]  Mexican government, I said, we need a lot of people coming over in these caravans.
[02:39:59.111 --> 02:40:01.112]  I came up with that name, I think.
[02:40:01.112 --> 02:40:03.754]  Thousands and thousands of people heading up.
[02:40:03.754 --> 02:40:05.616]  But they knew, yeah, sit down, everybody.
[02:40:05.616 --> 02:40:07.297]  You have a couple of minutes, right?
[02:40:07.297 --> 02:40:08.558]  Sit down.
[02:40:08.558 --> 02:40:09.279]  Sit down.
[02:40:09.279 --> 02:40:11.060]  Whoever has a seat, whoever's lucky enough.
[02:40:11.060 --> 02:40:12.001]  Otherwise, I'm sorry.
[02:40:12.001 --> 02:40:17.245]  That's a little bigger crowd than we anticipated by about triple.
[02:40:17.245 --> 02:40:20.688]  But we had all of these people coming up.
[02:40:21.061 --> 02:40:28.404]  And I said to the Mexican guy, remember, you know, the enemy, they say, he didn't get Mexico to pay for the wall like hell I didn't.
[02:40:28.404 --> 02:40:34.246]  I got Mexico to pay for 28,000 soldiers free of charge while we're building the wall.
[02:40:34.246 --> 02:40:36.147]  That was more money than paying for the wall.
[02:40:36.147 --> 02:40:38.888]  They paid, they were there for a long time.
[02:40:38.888 --> 02:40:41.849]  And they didn't, they're not politically correct soldiers either.
[02:40:41.849 --> 02:40:44.550]  These are soldiers.
[02:40:44.550 --> 02:40:45.271]  And they stopped it.
[02:40:48.405 --> 02:40:50.447]  So that was sort of interesting.
[02:40:50.447 --> 02:40:53.870]  The State Department, a woman that works at the State Department, a good woman, good woman.
[02:40:53.870 --> 02:40:57.973]  She's worked really covering Mexico, I think, for 20, 25 years.
[02:40:57.973 --> 02:41:02.156]  And I told her, I said, we're going to have to get Mexico to give us soldiers.
[02:41:02.156 --> 02:41:02.957]  Well, they won't do it.
[02:41:02.957 --> 02:41:03.657]  I said, yeah, they'll do it.
[02:41:03.657 --> 02:41:05.439]  And they're going to be free, too.
[02:41:05.439 --> 02:41:06.480]  Sir, they won't do that.
[02:41:06.480 --> 02:41:08.762]  And then I said, so remain in Mexico.
[02:41:08.762 --> 02:41:10.263]  I want the soldiers.
[02:41:10.723 --> 02:41:12.484]  We want catch-and-release ended.
[02:41:12.484 --> 02:41:15.024]  It's catch-and-release, but we release them in Mexico, not here.
[02:41:15.024 --> 02:41:20.346]  You know, catch-and-release is called, we catch them, we find out they're criminals, and then we release them into our country.
[02:41:20.346 --> 02:41:23.387]  We say, come back in about five years for the trial, okay?
[02:41:23.387 --> 02:41:24.548]  Nobody ever comes back.
[02:41:24.548 --> 02:41:25.708]  No smart one comes back.
[02:41:25.708 --> 02:41:28.269]  A couple of them came back, but not too smart.
[02:41:28.871 --> 02:41:30.552]  But nobody ever comes back.
[02:41:30.552 --> 02:41:31.553]  So we had to get rid of that.
[02:41:31.553 --> 02:41:32.614]  But we had to go to Mexico.
[02:41:32.614 --> 02:41:38.738]  And I said to the top representative right under the president, and the president, I like him a lot.
[02:41:38.738 --> 02:41:40.520]  He's a socialist, but I like him a lot.
[02:41:40.520 --> 02:41:42.301]  I can't have everything right.
[02:41:42.301 --> 02:41:42.762]  And I said,
[02:41:44.332 --> 02:41:44.452]  We're
[02:42:14.292 --> 02:42:14.692]  Okay.
[02:42:31.773 --> 02:42:37.156]  All right, we're listening to President Trump speaking live from Iowa today.
[02:42:37.156 --> 02:42:44.599]  A big campaign stop, obviously, with Iowa being some of the first votes cast in the primary season.
[02:42:44.599 --> 02:42:49.602]  And we're all expecting Trump to win bigly when it begins.
[02:42:49.602 --> 02:42:53.744]  We'll be right back here on the Alex Jones Show.
[02:42:57.861 --> 02:42:58.941]  Don't lie down and take it.
[02:42:58.941 --> 02:43:00.802]  Spread the word about this broadcast.
[02:43:00.802 --> 02:43:01.763]  Pray for this broadcast.
[02:43:01.763 --> 02:43:03.403]  Support other broadcasts, please.
[02:43:03.403 --> 02:43:07.165]  And please, financially support us at InfoWarsTore.com.
[02:43:07.165 --> 02:43:09.066]  Only way we operate is your funding.
[02:43:09.066 --> 02:43:10.126]  You are the InfoWarrior.
[02:43:10.126 --> 02:43:11.207]  The reason we're here.
[02:43:11.207 --> 02:43:18.610]  Please go to InfoWarsTore.com right now and empower yourself and your immune system and your body and your health and your vitality with a trifecta sale 40% off.
[02:43:19.810 --> 02:43:22.332]  The DNA Force Plus, finally back in stock.
[02:43:22.332 --> 02:43:24.834]  Body's Ultimate Tumor Formula, finally back in stock.
[02:43:24.834 --> 02:43:26.956]  And Real Red Pill, finally back in stock.
[02:43:26.956 --> 02:43:30.078]  It's been a year since all three have been back in stock together.
[02:43:30.078 --> 02:43:31.700]  There's no excuse not to get them.
[02:43:31.700 --> 02:43:32.821]  They're so amazing together.
[02:43:32.821 --> 02:43:37.605]  40% off right now when you get all three together, or 25% off individually.
[02:43:37.605 --> 02:43:38.726]  The Trifecta Sale.
[02:43:39.566 --> 02:43:42.148]  Right now, at InfoWarsTore.com.
[02:43:42.148 --> 02:43:43.709]  The only way we fail is you don't take action.
[02:43:43.709 --> 02:43:46.670]  This will enrich and empower your life, and it keeps us on the air.
[02:43:46.670 --> 02:43:49.032]  So you want us to keep fighting in the face of these attacks?
[02:43:49.032 --> 02:43:50.032]  We can't do it without you.
[02:43:50.032 --> 02:43:51.653]  Plus, these are great products you need.
[02:43:51.653 --> 02:43:55.916]  That is a total win, a 360 win, a trifecta sale.
[02:43:55.916 --> 02:43:57.737]  Go now, InfoWarsTore.com.
[02:43:59.130 --> 02:44:02.272]  I talk a lot about the great successes InfoWars has had.
[02:44:02.272 --> 02:44:04.574]  I don't think anybody can deny it.
[02:44:04.574 --> 02:44:08.517]  And it is because of listeners and viewers supporting us.
[02:44:08.517 --> 02:44:17.443]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[02:44:17.443 --> 02:44:24.328]  And we look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week.
[02:44:24.328 --> 02:44:25.229]  It's really just incredible.
[02:44:26.258 --> 02:44:29.862]  So for myself and the whole InfoWars crew, I thank you for your past support.
[02:44:29.862 --> 02:44:35.687]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[02:44:35.687 --> 02:44:46.958]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it, but most viewers and listeners never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life, all at the same time keeping us on air.
[02:44:47.658 --> 02:44:51.964]  I know that less than 1% of our listeners actually go buy products at m4store.com.
[02:44:51.964 --> 02:44:56.911]  If just 1% more of you took action and went to m4store.com, our funding problems will be over.
[02:44:56.911 --> 02:44:57.672]  Please take action now.
[02:44:58.556 --> 02:45:06.758]  The most powerful Winfowars life formula yet, DNA Force Plus is now back in stock for 25% off while supplies last.
[02:45:06.758 --> 02:45:17.142]  This elite formula contains the most cutting-edge enzymes, potent antioxidants, and traditional naturally occurring ingredients to protect the vitality of your very DNA.
[02:45:17.142 --> 02:45:25.244]  The powerhouse ingredients in DNA Force Plus include QQQ, CoQ10, organic reishi mushroom, astrologous root,
[02:45:25.504 --> 02:45:26.245]  We're good to go!
[02:45:47.225 --> 02:45:54.571]  I didn't realize this was back this week.
[02:45:54.571 --> 02:46:00.115]  I thought it was next week.
[02:46:00.115 --> 02:46:04.539]  I come in this morning, it's back in the warehouse, ready to roll.
[02:46:04.539 --> 02:46:06.761]  Body's Ultimate Turmeric Formula.
[02:46:06.761 --> 02:46:09.023]  And the first thing I did was pop one of these bad boys.
[02:46:09.023 --> 02:46:12.505]  Overhead shot, please.
[02:46:12.505 --> 02:46:15.107]  Look how full this bottle is.
[02:46:16.650 --> 02:46:19.592]  Right to the top, folks.
[02:46:19.592 --> 02:46:25.457]  Right to the top with these 95% curcuminoids.
[02:46:25.457 --> 02:46:29.661]  Again, most turmeric formulas are 5%, some are maybe 10.
[02:46:29.661 --> 02:46:31.662]  The other strongest brands are 75%.
[02:46:31.662 --> 02:46:36.286]  This is 95%.
[02:46:36.286 --> 02:46:41.110]  Super constant, so like taking one pill is like taking 10 of the average pill.
[02:46:41.110 --> 02:46:42.591]  It's that powerful.
[02:46:42.591 --> 02:46:43.752]  Or more!
[02:46:43.752 --> 02:46:45.874]  So they're available at InfoWarsTore.com.
[02:46:47.267 --> 02:46:59.439]  Bodies Ultimate Turmeric Formula, filled out for almost eight months, back in stock at Infowarsstore.com or 888-253-3139.
[02:46:59.439 --> 02:47:05.345]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:47:27.270 --> 02:47:28.952]  The Trifecta Pack is back.
[02:47:28.952 --> 02:47:30.834]  It's been years since we offered this.
[02:47:30.834 --> 02:47:37.360]  40% off on three of our best-selling products that synergistically work together like nothing you've ever seen.
