[00:00.000 --> 00:30.000]  That's the law required.
[02:00:15.740 --> 02:00:25.100]  waging war on corruption alex jones on the gcn radio network
[02:00:31.660 --> 02:00:38.940]  big brother mainstream media government cover-ups you want answers well so does he
[02:00:39.580 --> 02:00:47.900]  he's alex jones on the gcn radio network and now live from austin texas alex jones
[02:00:53.260 --> 02:00:59.420]  we were just talking to daniel sanjata what a first-rate guy really intelligent lot of courage
[02:00:59.420 --> 02:01:04.460]  that is the operative word let's go right to your phone calls look i know we've got
[02:01:05.100 --> 02:01:11.100]  a lot of you holding for a while but uh we're gonna go to uh all of your right now chris and
[02:01:11.100 --> 02:01:16.940]  richard and ken and war and everybody else uh chris in canada you're still there uh welcome
[02:01:16.940 --> 02:01:22.540]  to the airwaves hey it's incredible when somebody comes forward with the truth it's like like you've
[02:01:22.540 --> 02:01:28.380]  been given a sack of gold or something you know it's wonderful it is hey i just want to relate
[02:01:28.380 --> 02:01:33.660]  something to you about the depths of government involvement in our in our personal lives here in
[02:01:33.660 --> 02:01:38.220]  canada and actually this is happening all over the world sure tell us about it um i i just had
[02:01:38.220 --> 02:01:44.700]  a baby girl two weeks ago beautiful baby girl and we had to go to great lengths just to have a
[02:01:44.700 --> 02:01:51.900]  natural birth uh the hospital here the cesarean section rate is 49 percent and a lot of people
[02:01:51.900 --> 02:01:56.700]  think that's just normal you know no that's because they make about five times more money
[02:01:56.700 --> 02:02:01.980]  off of it and it's not needed and it's actually caused higher infant mortality and more women to
[02:02:01.980 --> 02:02:05.900]  die i have the numbers but they're not going to stop and one day it'll be the law that you got
[02:02:05.900 --> 02:02:11.580]  to have your babies cut out well you're i'm glad you're well you're always good in our church alex
[02:02:11.580 --> 02:02:18.060]  um the so we thought we would have a midwife and here the midwives are part of the government
[02:02:18.060 --> 02:02:24.380]  program um they my wife would have been transferred they have about 30 percent cesarean section rate
[02:02:24.380 --> 02:02:29.340]  where they shipped off to the hospital she had a two-day labor which is actually normal you know
[02:02:29.580 --> 02:02:34.220]  that's that's fine it was a healthy birth we had to get a midwife who's unregistered who can't call
[02:02:34.220 --> 02:02:38.380]  herself a midwife because it's illegal because that name is now owned by the government she's
[02:02:38.380 --> 02:02:43.020]  delivered a thousand babies she was a midwife before the that was controlled by the government
[02:02:43.020 --> 02:02:49.260]  she refused to be regulated she went to jail because she took the the blood pressure of a
[02:02:49.260 --> 02:02:54.460]  of a mother and the heart rate of a baby and so we had to pay her out of pocket i mean you know
[02:02:54.460 --> 02:02:59.180]  here it's socialized medicine right so whatever and we had to get somebody who went to jail just
[02:02:59.180 --> 02:03:06.780]  to have a natural birth in it's 95 cesarean section rate in brazil in in private hospitals
[02:03:06.780 --> 02:03:12.780]  it's going to be that it's going in that direction in australia it's just sick and wrong and it really
[02:03:12.780 --> 02:03:19.500]  hurts your wife and it also brings down the number of children that your wife can have
[02:03:19.500 --> 02:03:24.700]  uh you know after one or two cesareans they tell you don't have anymore yeah and it's it's just an
[02:03:24.700 --> 02:03:30.060]  absolute travesty but no i mean in another generation they'll say it's an al-qaeda lie
[02:03:30.060 --> 02:03:36.300]  babies were always removed they always had machines that did it this is the one no i mean
[02:03:36.300 --> 02:03:40.540]  that's how they operate they'll say it's al-qaeda that it's al-qaeda i mean i'm being halfway
[02:03:40.540 --> 02:03:45.900]  sarcastic but i'm not really they'll say it's al-qaeda it's a sure al-qaeda sign to have your
[02:03:45.900 --> 02:03:51.900]  baby uh the normal way now certainly i'm all feeling i mean there were 10 15 20 percent
[02:03:51.900 --> 02:03:56.460]  mortality rates it wasn't that in ancient times it went up higher during the medieval and other
[02:03:56.460 --> 02:04:01.980]  periods uh because of sanitation and other problems uh but uh but then other countries
[02:04:01.980 --> 02:04:05.660]  had to figure it out like the dutch and stuff they had the woman like the africans do shit on
[02:04:05.660 --> 02:04:10.460]  a chair and you're talking about just a few hours number one this is laying on the back business
[02:04:11.020 --> 02:04:17.340]  that's not how women had babies thousands of years ago oh and but uh but uh another another
[02:04:17.340 --> 02:04:24.620]  thing is they uh they give women these uh glucose um ivs and what what is that i've got my wife
[02:04:24.620 --> 02:04:27.900]  here what does that do again the glucose it raises the blood sugar the baby right yeah it's actually
[02:04:27.900 --> 02:04:34.300]  like the baby hospital every day yeah and and then it causes the baby's blood sugar to crash
[02:04:34.300 --> 02:04:41.420]  when the baby is born then they get to put in the uh NICU and suck a tripling out of you how can
[02:04:41.420 --> 02:04:47.100]  you be 33 years old and have figured all of this out no no no i i experienced it with our first
[02:04:47.100 --> 02:04:53.980]  child i've actually i've actually lived it brother okay hey um if it wasn't for you i'd be completely
[02:04:53.980 --> 02:04:58.700]  nuts because this is the only place where there's where people are telling the truth well not the
[02:04:58.700 --> 02:05:02.620]  only place but one of the few so well we try i mean we don't get it all right but i appreciate
[02:05:02.620 --> 02:05:06.860]  your call in fact here's a correction in the first hour i talked about the templars being killed in
[02:05:06.860 --> 02:05:11.420]  the 15th century i immediately said though that wasn't right i had to get the day i knew it was
[02:05:11.420 --> 02:05:19.260]  either 12th or 13th i don't know why i said 15th it was october 13th 1307 when the knights templars
[02:05:19.260 --> 02:05:26.700]  were were killed uh by uh king philip the fair philip labelle okay uh we'll be right
[02:05:30.220 --> 02:05:35.340]  it's here after a year in production and traveling to distant lands my new film terror storm is
[02:05:35.340 --> 02:05:39.340]  complete shocking declassified government documents prove that western governments are
[02:05:39.420 --> 02:05:43.900]  orchestrating terror attacks against their own populations as a pretext to enslave them
[02:05:44.460 --> 02:05:49.660]  terror storm proves that not only was 9 11 an inside job but the attacks of seven seven in
[02:05:49.660 --> 02:05:54.060]  london were carried out by british intelligence terror storm chronicles the lies that took us to
[02:05:54.060 --> 02:06:00.780]  war in iran the white house program to disseminate fake news nsa spying secret police torture the
[02:06:00.780 --> 02:06:05.900]  latest 9 11 information and much much more terror storm is the definitive guide to the history of
[02:06:05.900 --> 02:06:11.100]  government-sponsored terrorists it's an anthology of government crimes terror storm is a film and
[02:06:11.100 --> 02:06:17.180]  everyone who wants to be truly informed must see get your copy today at infowars.com or prison
[02:06:17.180 --> 02:06:26.060]  planet.com or by calling toll-free 1-888-253-3139 or watch it right now online at prisonplanet.tv
[02:06:28.460 --> 02:06:33.580]  the war on terrorism will it be fought overseas or will it affect us here at home if you are like
[02:06:33.580 --> 02:06:38.620]  most folks you want to be prepared but can't afford an underground shelter so what do you do
[02:06:38.620 --> 02:06:42.540]  did you know that you can use your home as a shelter against fallout and biological or
[02:06:42.540 --> 02:06:48.380]  chemical attacks with a little know-how it's not that difficult sheltering in place surviving acts
[02:06:48.380 --> 02:06:53.340]  of terrorism from biological chemical and radioactive fallout developed by Wayne LeBaron
[02:06:53.340 --> 02:06:58.780]  a health physicist who has served as a specialist in environmental health communicable diseases and
[02:06:58.780 --> 02:07:03.340]  has worked as a nuclear specialist for the U.S. government gives you easy to follow video
[02:07:03.340 --> 02:07:08.540]  instructions and walks you step by step through the process of preparing your home as a shelter
[02:07:08.540 --> 02:07:14.060]  get this critical video every American needs for only $29 plus shipping order by calling
