[00:00.000 --> 00:29.280]  It's for Wars, tomorrow's news, today.
[2:36:11.280 --> 2:36:12.280]  I mean, it's cheesy.
[2:36:12.280 --> 2:36:15.280]  It's B movie, but it's better than most of you watch today.
[2:36:15.280 --> 2:36:17.280]  But the 1951 is even better.
[2:36:17.280 --> 2:36:24.280]  But what I'm saying is it literally parallels this, ladies and gentlemen, except it doesn't look like an alien.
[2:36:24.280 --> 2:36:25.280]  So we're not fighting it.
[2:36:25.280 --> 2:36:26.280]  So let me show you this.
[2:36:26.280 --> 2:36:27.280]  And then I'm going to hit this Sunday.
[2:36:27.280 --> 2:36:30.280]  There'll probably be some huge war start or something big that I won't.
[2:36:30.280 --> 2:36:34.280]  But barring any big giant emergency Sunday, four to six p.m.
[2:36:34.280 --> 2:36:42.280]  I'm going to spend two hours on patents and reports and scientists confirming the plan to put.
[2:36:42.280 --> 2:36:48.280]  Magnetic crystals that grow in your body.
[2:36:48.280 --> 2:36:59.280]  That can be remote controlled by light or high energy arrays.
[2:36:59.280 --> 2:37:07.280]  And in the patents, they say the issue is you've got to have something that penetrates deep into all the tissue to control it.
[2:37:07.280 --> 2:37:15.280]  And it describes something much more powerful than cell phones, which is 5G.
[2:37:15.280 --> 2:37:17.280]  You can't make this up.
[2:37:17.280 --> 2:37:22.280]  And they give you one injection.
[2:37:22.280 --> 2:37:29.280]  And it starts growing these proteins that are magnetic.
[2:37:29.280 --> 2:37:35.280]  And that's why even Italian scientists have now confirmed that it's real.
[2:37:35.280 --> 2:37:45.280]  And at the injection sites that magnets are sticking because it is replicating and creating magnetic cones in your cells.
[2:37:45.280 --> 2:37:53.280]  Literally, like in a science fiction movie, they inject you and you start turning into a silicon robot.
[2:37:53.280 --> 2:37:54.280]  There it is.
[2:37:54.280 --> 2:37:58.280]  Engineering protein crystals make cells magnetic.
[2:37:58.280 --> 2:38:01.280]  Chemistry for life.
[2:38:01.280 --> 2:38:04.280]  I mean, it's all, it turns out they're totally obsessed with it.
[2:38:04.280 --> 2:38:11.280]  It's a giant Manhattan project on steroids and PCP.
[2:38:11.280 --> 2:38:15.280]  And there are times, Jones claims they're taking PCP while they make this.
[2:38:15.280 --> 2:38:17.280]  It's a figure of speech.
[2:38:17.280 --> 2:38:22.280]  And suddenly it's just everywhere.
[2:38:22.280 --> 2:38:25.280]  I mean, this is sick, ladies and gentlemen.
[2:38:25.280 --> 2:38:27.280]  So God knows what they're doing it for.
[2:38:27.280 --> 2:38:29.280]  God knows why there's jellyfish genes in there.
[2:38:29.280 --> 2:38:35.280]  But imagine if aliens said, aliens land, they've got a communication device so they can talk to us.
[2:38:35.280 --> 2:38:39.280]  They go, people of Earth, we are here to bring you peace.
[2:38:39.280 --> 2:38:41.280]  He will have nothing.
[2:38:41.280 --> 2:38:42.280]  He will own nothing.
[2:38:42.280 --> 2:38:43.280]  And he will like it.
[2:38:43.280 --> 2:38:45.280]  He will eat bugs.
[2:38:45.280 --> 2:38:48.280]  Your boys will have their genitals removed.
[2:38:48.280 --> 2:38:53.280]  All we need to do is inject you with something and you'll get free beer.
[2:38:53.280 --> 2:38:56.280]  We'll allow you to travel and leave your rattles.
[2:38:56.280 --> 2:38:58.280]  I mean, your homes.
[2:38:58.280 --> 2:39:00.280]  We are here to free you.
[2:39:00.280 --> 2:39:01.280]  Just take the shot.
[2:39:01.280 --> 2:39:08.280]  It has jellyfish genes and grows magnetic prions like mad cow in you.
[2:39:08.280 --> 2:39:10.280]  We are here to help you.
[2:39:10.280 --> 2:39:13.280]  Never mind that Klaus Schwab looks like Dr. Evil.
[2:39:13.280 --> 2:39:16.280]  Bill Gates is your doctor and so is Fauci.
[2:39:16.280 --> 2:39:20.280]  Virus-sized transistors will now be putting your body.
[2:39:20.280 --> 2:39:22.280]  Please submit to us now.
[2:39:22.280 --> 2:39:24.280]  Everything's okay.
[2:39:24.280 --> 2:39:26.280]  We love you.
[2:39:26.280 --> 2:39:31.280]  Well, at that point in the movie, you know, the army takes a helicopter's attack and we kill the Martians.
[2:39:31.280 --> 2:39:34.280]  But the Martian instead is Anthony Fauci.
[2:39:34.280 --> 2:39:37.280]  Maybe he is a Martian with fricking plastic skinners.
[2:39:37.280 --> 2:39:39.280]  I bet it is all true, probably.
[2:39:39.280 --> 2:39:42.280]  Maybe Bill Gates is a fricking Martian.
[2:39:42.280 --> 2:39:44.280]  I don't know, man, but they're out to kill us.
[2:39:44.280 --> 2:39:46.280]  And Bill Gates says he wants to kill us.
[2:39:46.280 --> 2:40:04.280]  I share with you the viewers and listeners the facts of where info wars is, and it's always a complex picture, but I do my best to explain to you because you are the patrons that make all this possible.
[2:40:04.280 --> 2:40:14.280]  So in short, the world's awakening, the spiral of censorship, info wars has never been more influential and has never had a bigger effect exposing the global agenda and fighting it.
[2:40:14.280 --> 2:40:26.280]  But that said, the COVID lockdowns, the shutdown of supply chains has almost shut us down because most of the best-selling products which you want to buy, like DNA Force Plus and others, have been sold out for up to seven months.
[2:40:26.280 --> 2:40:27.280]  Well, guess what?
[2:40:27.280 --> 2:40:30.280]  DNA Force Plus just came back in, thank God, for seven months.
[2:40:30.280 --> 2:40:33.280]  It's 40% off, it's amazing, at infowarsstore.com.
[2:40:33.280 --> 2:40:41.280]  And for the week leading up through Memorial Day, we have store-wide free shipping and double-patria points and Alfa powers back in stock.
[2:40:41.280 --> 2:40:50.280]  And Supermobile Vitality's back in stock and Pollen Block and Vaso Beach, they're all back in stock, as much as 50% off, store-wide free shipping, double-patria points, infowarsstore.com.
[2:40:50.280 --> 2:40:53.280]  Thanks for keeping us on the air, info warriors.
[2:40:53.280 --> 2:40:59.280]  I'm giving you a status report on what your support of info wars has done.
[2:40:59.280 --> 2:41:03.280]  We are kicking globalist ass up and down the planet right now.
[2:41:03.280 --> 2:41:07.280]  Their entire agenda of depopulation, poison vaccines, it's all coming out.
[2:41:07.280 --> 2:41:11.280]  And yes, I'm risking my life and yes, this is very dangerous, but it's worth it.
[2:41:11.280 --> 2:41:14.280]  I'm very honored to be in the fight, so thanks for keeping me in the fight.
[2:41:14.280 --> 2:41:16.280]  We got our great crew here at info wars.
[2:41:16.280 --> 2:41:18.280]  And here's the other good news.
[2:41:18.280 --> 2:41:21.280]  This has been sold out for seven months.
[2:41:21.280 --> 2:41:29.280]  It's got the highest quality PQQ CoQ10 that's so good for your cells, your mitochondria, your telomeres, your nerves, everything.
[2:41:29.280 --> 2:41:32.280]  PQQ and the CoQ10, look at the other ingredients, they all go together.
[2:41:32.280 --> 2:41:39.280]  This incredible formula, our number one best seller for seven months, is now back in stock, 40% off at infowarsstore.com.
[2:41:39.280 --> 2:41:44.280]  DNA Force Plus, back in stock, infowarsstore.com.
[2:41:44.280 --> 2:41:47.280]  And it funds the info war a true 360 win.
[2:41:47.280 --> 2:41:50.280]  Get it while you still can at infowarsstore.com for 40% off.
[2:41:50.280 --> 2:41:52.280]  DNA Force Plus.
[2:41:52.280 --> 2:42:03.280]  You've got until June 6th to get free shipping, double Patriot points, and up to 50% off on our best selling products.
[2:42:03.280 --> 2:42:13.280]  DNA Force Plus, that is the highest quality, ultimate product you can get for your telomeres, your cells, the mitochondria, the engines of your cells.
[2:42:13.280 --> 2:42:17.280]  PQQ CoQ10, so much more, it's the flagship product, it is.
[2:42:17.280 --> 2:42:23.280]  40% off with free shipping, double Patriot points, pollen block, procedural discomfort, allergies, it's a national system.
[2:42:23.280 --> 2:42:28.280]  People love it, five star reviews, back in stock, 40% off again with free shipping.
[2:42:28.280 --> 2:42:35.280]  All these products, worldwide, free shipping, double Patriot points, vasobites for your heart, your liver, your cardiovascular.
[2:42:35.280 --> 2:42:41.280]  It creates a key compound in your blood that is known as a detoxifying system.
[2:42:41.280 --> 2:42:49.280]  It's all there, but again, look into vasobites with nitrous oxide, that's 50% off, over 12 back in stock, 50% off.
[2:42:49.280 --> 2:42:53.280]  This is running until Sunday and the deal's over, infowarsstore.com.
[2:42:53.280 --> 2:42:58.280]  All of the experts agree that getting proper sleep is the cornerstone of good health.
[2:42:58.280 --> 2:43:09.280]  It has been proven that a poor sleep schedule is linked with numerous health problems including weight gain, memory issues, mood changes, poor concentration, and even a weakened immune system.
[2:43:09.280 --> 2:43:15.280]  Introducing RocketRest, the new product from our Dr. Jones Naturals line at infowarsstore.com.
[2:43:15.280 --> 2:43:23.280]  The new RocketRest formula is loaded with the best natural ingredients to help not only improve your quality of sleep, but help you wake up feeling refreshed.
[2:43:23.280 --> 2:43:33.280]  Many competitor sleep formulas focus only on getting you to sleep, but RocketRest was specifically formulated to help you feel rested and ready to take on the next day.
[2:43:33.280 --> 2:43:41.280]  It uses a unique quick release capsule system to ensure fast delivery of deep sleep support ingredients like melatonin and magnesium.
[2:43:41.280 --> 2:43:46.280]  RocketRest helps you fall asleep fast, stay asleep, and wake up feeling rested.
[2:43:46.280 --> 2:44:05.280]  So get the new RocketRest formula from Dr. Jones Naturals right now at infowarsstore.com.
[2:44:17.280 --> 2:44:29.280]  Remember I told you years ago they will soon be on the news saying, I love bugs. They're so tasty.
[2:44:29.280 --> 2:44:35.280]  They love seeing you wear a mask over your face. Your child sitting on a pedophile's knee. They love seeing you eat bugs.
[2:44:35.280 --> 2:44:43.280]  They love seeing you dehumanize. They love seeing your lights out. They love seeing you starve to death. They love hurting you because they're empty and they want to take you with them.
[2:44:43.280 --> 2:44:47.280]  Here's seeing them and I'll go to your calls.
[2:44:47.280 --> 2:44:49.280]  Name anything that you're going to eat.
[2:44:49.280 --> 2:44:52.280]  I'll name one, Berman.
[2:44:52.280 --> 2:44:55.280]  Okay, so this is my seaweed.
[2:44:55.280 --> 2:44:57.280]  Yeah, so we're going to roll it just this way.
[2:44:57.280 --> 2:44:59.280]  All right, so we're going to put on some gloves over here.
[2:44:59.280 --> 2:45:00.280]  Perfect.
[2:45:00.280 --> 2:45:01.280]  Got it.
[2:45:01.280 --> 2:45:03.280]  Berman, what do you think about this?
[2:45:03.280 --> 2:45:07.280]  I think my favorite Whitney Houston lyric is, I believe it ain't sex is the future.
[2:45:07.280 --> 2:45:09.280]  I love that song.
[2:45:09.280 --> 2:45:16.280]  No, look, I have intellectual and culinary curiosity about this, but I'm really just here to watch you eat bugs.
[2:45:16.280 --> 2:45:19.280]  Spread it right out.
[2:45:19.280 --> 2:45:23.280]  But my husband is like not going to kiss me for a week.
[2:45:23.280 --> 2:45:27.280]  So seaweed was soy, so you're sterilized.
[2:45:27.280 --> 2:45:29.280]  Great, I'll let him do it.
[2:45:29.280 --> 2:45:31.280]  He doesn't mind cicada breath.
[2:45:31.280 --> 2:45:33.280]  What do you get the idiots to do?
[2:45:33.280 --> 2:45:34.280]  They're alive.
[2:45:34.280 --> 2:45:35.280]  Yeah, so there you go.
[2:45:35.280 --> 2:45:37.280]  I don't understand.
[2:45:37.280 --> 2:45:41.280]  So the way you'll be doing it is...
[2:45:41.280 --> 2:45:43.280]  Should I grab those?
[2:45:43.280 --> 2:45:45.280]  Oh, no, no, I was going to have you just use those.
[2:45:45.280 --> 2:45:46.280]  No.
[2:45:46.280 --> 2:45:47.280]  The really fresh ones.
[2:45:47.280 --> 2:45:48.280]  Are you serious?
[2:45:48.280 --> 2:45:49.280]  Yeah.
[2:45:49.280 --> 2:45:50.280]  Yeah.
[2:45:50.280 --> 2:45:52.280]  So there you go.
[2:45:52.280 --> 2:45:53.280]  I'm told.
[2:45:53.280 --> 2:45:54.280]  It's all a big joke with everybody.
[2:45:54.280 --> 2:45:55.280]  Yeah, I want to put this down.
[2:45:55.280 --> 2:45:56.280]  Wait, no, really?
[2:45:56.280 --> 2:45:57.280]  Do I really have to eat a live one?
[2:45:57.280 --> 2:45:58.280]  No.
[2:45:58.280 --> 2:45:59.280]  Okay.
[2:45:59.280 --> 2:46:00.280]  I actually thought of it.
[2:46:00.280 --> 2:46:01.280]  Fred is scared.
[2:46:01.280 --> 2:46:03.280]  Fred survives another day.
[2:46:03.280 --> 2:46:05.280]  Berman, Berman, the cicada's alive.
[2:46:05.280 --> 2:46:07.280]  Yeah, so here are boiled cicadas.
[2:46:07.280 --> 2:46:08.280]  He got me going, Berman.
[2:46:08.280 --> 2:46:10.280]  Yeah, psychological warfare expert came up with.
[2:46:10.280 --> 2:46:13.280]  And I was like, okay, I didn't know that that was part of the assignment.
[2:46:13.280 --> 2:46:15.280]  Oh, you don't have to eat a live one, just a dead one, Steve.
[2:46:15.280 --> 2:46:18.280]  You're about to eat dead cicada, so don't get too excited just yet.
[2:46:18.280 --> 2:46:22.280]  I got to be honest, I think this was really good for him to tell me I was eating live ones,
[2:46:22.280 --> 2:46:25.280]  because this is seeming like an upgrade.
[2:46:25.280 --> 2:46:28.280]  If you look out the top, this is what a cicada looks like.
[2:46:28.280 --> 2:46:32.280]  You notice, I actually never watched this clip, but I'm not trying to brag.
[2:46:32.280 --> 2:46:34.280]  Before it aired, I knew what they were going to say.
[2:46:34.280 --> 2:46:39.280]  She just externalized the method that live is really horrible, but dead is okay.
[2:46:39.280 --> 2:46:40.280]  It's all the same.
[2:46:40.280 --> 2:46:44.280]  Think of a psychological warfare op using psychology against you.
