[00:00:20.197 --> 00:00:22.038]  It's November 20th.
[02:04:20.171 --> 02:04:32.258]  My used-to-be-great-state-of-New-Hampshire-and-our-cuck-of-a-governor, who just put a statewide mask mandate after, you know, a while of not, up to this whole time.
[02:04:32.258 --> 02:04:34.059]  We thought he was a great patriot.
[02:04:34.059 --> 02:04:36.181]  You know, we thought better of him.
[02:04:36.181 --> 02:04:41.043]  And he just came out with a mask mandate, so... Pathetic.
[02:04:41.043 --> 02:04:46.246]  A mask that doesn't even do anything, but spread disease actually... It says on the boxes it doesn't do anything.
[02:04:46.246 --> 02:04:46.887]  It's a joke, man.
[02:04:46.887 --> 02:04:48.728]  It's so ridiculous that people are this...
[02:04:49.164 --> 02:04:50.705]  This dumbed down.
[02:04:50.705 --> 02:04:52.766]  It's sad, you know?
[02:04:52.766 --> 02:05:00.570]  But, uh, real quick, I just wanted to say, uh, we're out here doing these every Saturday, doing it at the Capitol, uh, Concord.
[02:05:00.570 --> 02:05:08.034]  And on the 28th of November, we will be out there doing a anti-mask rally, and we're going to be pushing to the Governor's Mansion.
[02:05:08.034 --> 02:05:12.036]  So everyone in New Hampshire, Massachusetts, surrounding states, come join us out there, please.
[02:05:13.326 --> 02:05:17.531]  And, uh, you know, let's just take these last ditch efforts and turn this thing around.
[02:05:17.531 --> 02:05:19.634]  I mean, because what's next?
[02:05:19.634 --> 02:05:20.115]  What's next?
[02:05:20.115 --> 02:05:23.419]  I mean, if people are going to wear the mask, they're going to take these inoculations.
[02:05:23.419 --> 02:05:23.859]  Yep.
[02:05:23.859 --> 02:05:24.340]  Bottom line.
[02:05:25.777 --> 02:05:28.179]  And, uh, I'm not for it.
[02:05:28.179 --> 02:05:33.524]  And that's what I'm saying, like, people call in, there's all kinds of great ideas, maybe they'll work to save the republic, maybe they won't.
[02:05:33.524 --> 02:05:44.613]  You really think you can organize 100 million, 200, 300 million Americans to stop paying taxes or do one thing or the other, but you can't even get a city to take off a mask?
[02:05:44.613 --> 02:05:46.074]  You gotta be realistic here.
[02:05:46.074 --> 02:05:47.996]  Brian, thank you so much for the call.
[02:05:47.996 --> 02:05:50.017]  Axel in Texas.
[02:05:50.017 --> 02:05:51.939]  Axel, you're on the Alex Jones Show, go ahead.
[02:05:53.123 --> 02:05:53.864]  Hey there, Owen.
[02:05:53.864 --> 02:05:58.607]  I've been a big fan since the Engage Liberty days, so I haven't called in a while.
[02:05:58.607 --> 02:06:04.711]  Wow, that was before I was even at Infowars doing my own thing on my own political stuff.
[02:06:04.711 --> 02:06:05.691]  That was like 2013-14.
[02:06:05.691 --> 02:06:14.157]  Yeah, I think I called in mostly in 2015 if I remember right, but it was on YouTube, watching a lot back then.
[02:06:14.157 --> 02:06:15.998]  Obviously, you've grown quite a bit since then.
[02:06:15.998 --> 02:06:18.480]  Yeah, they ban me everywhere now, so that's an honor.
[02:06:20.001 --> 02:06:24.063]  Well, that's funny because that's really what I want to talk about in a different way.
[02:06:24.063 --> 02:06:33.467]  I'm a lawyer up in Dallas, and what I wanted to say is that we're watching an immense growth of cancel culture, okay?
[02:06:33.467 --> 02:06:42.011]  We're at a moment right now where President Trump, about a month ago, had some real hard-hitting, really powerful lawyers on his team.
[02:06:42.011 --> 02:06:46.512]  And what we've seen in the last couple weeks is that a lot of them have withdrawn.
[02:06:46.512 --> 02:06:47.633]  Who are those lawyers?
[02:06:50.175 --> 02:06:52.356]  Well, some of the lawyers, I know one was Porter Wright.
[02:06:52.356 --> 02:06:56.398]  They're a big firm that's a nationally respected firm.
[02:06:56.398 --> 02:06:57.499]  They ended up withdrawing.
[02:06:57.499 --> 02:07:01.461]  They got too much flack within the firm, is my understanding.
[02:07:01.461 --> 02:07:08.324]  So basically, Trump tries to get legal teams, and then Democrats flood their phone calls with threatening messages.
[02:07:08.324 --> 02:07:08.744]  You got it.
[02:07:08.744 --> 02:07:16.948]  And you know, look, to understand where they're coming from, I mean, a lot of these folks at these bigger firms... Are you an attorney, Axel?
[02:07:16.948 --> 02:07:17.228]  I am.
[02:07:17.228 --> 02:07:18.289]  Okay.
[02:07:18.289 --> 02:07:18.529]  I am.
[02:07:19.113 --> 02:07:27.617]  And what I want to say is, look, I've seen how these firms work, and I mean, a lot of them are real great people, but they have a very powerful left-leaning worldview.
[02:07:27.617 --> 02:07:31.800]  I mean, it's just, if you look at the demographics of lawyers, that's where they're at.
[02:07:31.800 --> 02:07:40.464]  Well, if we have cancel culture that's getting so extreme that not even the President of the United States can pick his own lawyer, I mean, we got problems.
[02:07:40.464 --> 02:07:42.005]  And so what I wanted to say was,
[02:07:42.426 --> 02:07:46.029]  I think it's up to everyday people to make your voice heard.
[02:07:46.029 --> 02:07:50.854]  You know, you can't just hide in the shadows with your opinions on your worldview.
[02:07:50.854 --> 02:07:59.181]  I mean, you've got to put your mouth where your heart is, you've got to put your butt in seats where your heart is, and you've got to put your money where your heart is.
[02:07:59.181 --> 02:08:03.325]  Because if you don't do that, a lot of these establishment folks just are going to think
[02:08:04.577 --> 02:08:04.817]  No, I don't.
[02:08:21.346 --> 02:08:33.930]  Yeah, you shouldn't have to deal with a liberal mafia of terrorists coming after you any time you want to make a move just because they don't like you or they don't like the person you're representing.
[02:08:33.930 --> 02:08:34.930]  It's a cult.
[02:08:34.930 --> 02:08:38.711]  The Democrats and Liberals have turned into a cult.
[02:08:38.711 --> 02:08:41.472]  Again, it's the biggest hate group and the biggest terror group in the United States.
[02:08:41.472 --> 02:08:43.073]  Axel, thank you so much for that call.
[02:08:43.073 --> 02:08:47.394]  Real quick before we go to break, let's pop in, 60 seconds, Alex Jones bullhorning in Atlanta.
[02:08:47.634 --> 02:08:52.558]  Bill Gates!
[02:08:52.558 --> 02:09:00.445]  These billionaire scumbags think they can enslave us, but they can't, because we've only begun to wake up, and we've only begun to fight!
[02:09:00.445 --> 02:09:02.767]  Get off the sidelines, kids!
[02:09:06.107 --> 02:09:11.810]  Governor Kemp announced the special session.
[02:09:11.810 --> 02:09:14.551]  President Trump got you elected.
[02:09:14.551 --> 02:09:15.791]  He stood with you.
[02:09:15.791 --> 02:09:17.532]  Stand with the people, Kemp!
[02:09:17.532 --> 02:09:19.713]  Be a hero and not a traitor!
[02:09:24.403 --> 02:09:24.763]  USA!
[02:09:24.763 --> 02:09:25.684]  USA!
[02:09:25.684 --> 02:09:26.104]  USA!
[02:09:26.104 --> 02:09:26.284]  USA!
[02:09:26.284 --> 02:09:27.044]  USA!
[02:09:27.044 --> 02:09:27.384]  USA!
[02:09:27.384 --> 02:09:27.584]  USA!
[02:09:27.584 --> 02:09:27.804]  USA!
[02:09:45.177 --> 02:09:51.860]  Urgent warnings are being issued right now by the United Nations, the Davos Group, Bank of America, JPMorgan Chase, Goldman Sachs.
[02:09:51.860 --> 02:09:57.822]  They're saying that the COVID virus is going to cause a global depression and hundreds of millions to starve to death.
[02:09:57.822 --> 02:09:59.042]  Incredible!
[02:09:59.042 --> 02:10:07.926]  They're the very organizations that ordered the global lockdowns that are causing the chain reaction that's causing the mass starvation, not the COVID virus.
[02:10:07.926 --> 02:10:09.106]  That is a fact.
[02:10:09.106 --> 02:10:14.348]  And all the hero sheep that wear the mask to go along with this are signing on to mass murder
[02:10:14.668 --> 02:10:16.229]  Bigger than what Hitler did.
[02:10:16.229 --> 02:10:19.690]  That's when we got the Geneva Convention and the Nuremberg Code.
[02:10:19.690 --> 02:10:28.633]  This is a medical, world government, tyrannical takeover, causing starvation, setting up world IDs, and coming with forced inoculations.
[02:10:28.633 --> 02:10:33.714]  And now Bank of America says global unrest is sure to trigger an even bigger depression.
[02:10:33.714 --> 02:10:35.495]  That story's on Infowars.com.
[02:10:35.495 --> 02:10:43.758]  That's why it's vital for all of you to be public and to say you do not stand for this or the mass global genocide being caused by the planetary Great Reset.
[02:10:45.419 --> 02:10:53.025]  Most of the world submitted to the unconstitutional criminal lockdowns directed by the Communist Chinese and the United Nations.
[02:10:53.025 --> 02:11:03.553]  And now because the slaves have proven themselves to be subservient, the worst Australian models of complete lockdowns where you can't even leave your house for months and months are being announced.
[02:11:03.553 --> 02:11:13.320]  And in Germany, the police are using giant armored tanks with water cannons to blast men, women, and children that protest the fact that Merkel, the dictator, has put them under her control.
[02:11:13.880 --> 02:11:17.142]  That's right, she's been rigging elections for years and years.
[02:11:17.142 --> 02:11:20.064]  And the same thing is coming here to the United States.
[02:11:20.064 --> 02:11:21.604]  This is world government.
[02:11:21.604 --> 02:11:26.307]  In Philadelphia, they've announced four people or more seen together will be arrested.
[02:11:26.307 --> 02:11:28.308]  They're announcing that Christmas is canceled.
[02:11:28.308 --> 02:11:30.510]  This is what the communist takeover looks like.
[02:11:30.510 --> 02:11:34.652]  To bankrupt you, to take rid of all your due process, and absolutely
[02:11:35.012 --> 02:11:38.375]  Transform the world into a prison planet.
[02:11:38.375 --> 02:11:40.256]  How long have we warned you about this?
[02:11:40.256 --> 02:11:41.698]  But you can fight back.
[02:11:41.698 --> 02:11:43.579]  America is the last bastion.
[02:11:43.579 --> 02:11:47.763]  Stop submitting!
[02:11:47.763 --> 02:11:50.365]  You're listening to the Alex Jones Show.
[02:12:05.600 --> 02:12:08.822]  So we've got recounts underway in Wisconsin and Georgia.
[02:12:08.822 --> 02:12:15.505]  I just feel that, quite frankly, my opinion is it's a worthless task.
[02:12:15.505 --> 02:12:21.389]  The voting machines must be investigated and shut down.
[02:12:21.389 --> 02:12:32.795]  And quite frankly, we just have to declare any election held on Dominion voting machines or with Smartmatic technology must be nullified and redone.
[02:12:32.795 --> 02:12:34.656]  That's the only way to stop this, folks.
[02:12:34.656 --> 02:12:34.956]  That's it.
[02:12:36.175 --> 02:12:41.319]  Now we can use our constitutional powers in the states to say, look, we're going to send the delegates for Trump.
[02:12:41.319 --> 02:12:42.700]  He won these states.
[02:12:42.700 --> 02:12:46.023]  They're not going to do that.
[02:12:46.023 --> 02:12:48.745]  So the recounts are nice.
[02:12:48.745 --> 02:12:50.207]  I don't think it's going to change anything, folks.
[02:12:50.207 --> 02:13:00.735]  I wouldn't get your hopes up on a recount unless they audit the vote or declare any election done on Dominion, Cameron scorecard or Smartmatic to be null and void.
[02:13:00.735 --> 02:13:03.137]  It's the only way.
[02:13:03.137 --> 02:13:04.238]  That's it.
[02:13:04.238 --> 02:13:05.099]  And Sidney Powell knows it.
[02:13:06.681 --> 02:13:16.430]  That's why they're focusing on that and want to get it in front of the Supreme Court with all these sworn affidavits of people who work for the voting companies who said, yeah, we designed it to cheat.
[02:13:16.430 --> 02:13:18.551]  We sold it to buy.
[02:13:18.551 --> 02:13:28.440]  You know, think about this.
[02:13:28.440 --> 02:13:30.582]  How much money is spent
[02:13:32.279 --> 02:13:35.782]  On political campaigns in any given election cycle.
[02:13:35.782 --> 02:13:37.003]  A couple billion?
[02:13:37.003 --> 02:13:38.764]  Give or take two, three, four billion?
[02:13:38.764 --> 02:13:41.146]  Probably?
[02:13:41.146 --> 02:13:41.586]  Think about it.
[02:13:41.586 --> 02:13:42.487]  All that money.
[02:13:42.487 --> 02:13:43.768]  All that capital.
[02:13:43.768 --> 02:13:44.829]  All that energy.
[02:13:44.829 --> 02:13:45.609]  It's all wasted.
[02:13:45.609 --> 02:13:46.670]  It's all fake.
[02:13:46.670 --> 02:13:49.452]  Because the electronic voting machines rig every election.
[02:13:49.452 --> 02:13:59.620]  It's just such a joke, man.
[02:14:00.228 --> 02:14:03.129]  Oh, by the way, China is reopened for business.
[02:14:03.129 --> 02:14:12.352]  They're having international soccer games in 100,000 plus attended venues.
[02:14:12.352 --> 02:14:14.193]  We're a joke, man.
[02:14:14.193 --> 02:14:15.593]  We're just a joke.
[02:14:15.593 --> 02:14:21.755]  And if we let this child molesting creep Joe Biden in the White House, we're done.
[02:14:21.755 --> 02:14:22.416]  Just forget about it.
[02:14:22.416 --> 02:14:23.256]  We're done.
[02:14:23.256 --> 02:14:25.537]  All right, let's go back to the phone lines here.
[02:14:25.537 --> 02:14:28.398]  Don in Illinois, you're on the Alex Jones Show.
[02:14:28.398 --> 02:14:29.058]  Don, go ahead.
[02:14:30.342 --> 02:14:34.044]  Hey, Owen, great fan of you.
[02:14:34.044 --> 02:14:38.708]  A longtime InfoWarrior, first time caller.
[02:14:38.708 --> 02:14:40.969]  Thank you for calling in.
