[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[2:35:03.520 --> 2:35:07.120]  record, helped create the climate that got the woman killed. So it's just a
[2:35:07.120 --> 2:35:11.120]  total fraud lawsuit. I've had three different law firms, four different law
[2:35:11.120 --> 2:35:15.680]  firms look at it. One of the top firms in the country. So we filed a
[2:35:15.680 --> 2:35:20.760]  countersuit, zero corporate media, fake news media coverage. They just got a
[2:35:20.760 --> 2:35:25.880]  call and they're putting in the filing either today or tomorrow to withdraw the
[2:35:25.880 --> 2:35:35.000]  lawsuit. Georgetown was right because they filed a piece of fiction. But here's
[2:35:35.000 --> 2:35:41.800]  the legal prediction. They're just going to refile it without all the errors, but
[2:35:41.800 --> 2:35:44.920]  it doesn't matter because the basis of it's an error. And then you'll hear
[2:35:44.920 --> 2:35:49.920]  Georgetown files a new suit and the media, you will witness them watch the
[2:35:49.920 --> 2:35:53.800]  next few days. I'm predicting this when they refile it where we're guessing they
[2:35:53.800 --> 2:36:00.880]  will. They'll just say it's a whole new lawsuit like like it's another one
[2:36:00.880 --> 2:36:04.640]  hitting me and get a whole nother cycle that Jones is losing the Liberty
[2:36:04.640 --> 2:36:07.240]  Movement's losing. Soros and Hillary are winning. The World
[2:36:07.240 --> 2:36:10.360]  Government's winning. Intimidate everybody. That's all they've got because
[2:36:10.360 --> 2:36:13.480]  they're the losers. They're the fraud. They're the globalists. Everybody hates
[2:36:13.480 --> 2:36:17.480]  them said to do all this. You're racist. You're Russian. You bullied me.
[2:36:17.480 --> 2:36:21.760]  You did this to keep it in the news like they're victims. But everyone tunes into
[2:36:21.760 --> 2:36:26.000]  that and knows it's fake news. And we have seen an uptick in support for the
[2:36:26.000 --> 2:36:30.080]  broadcast. I hope it's enough to deal with all this because it's intensifying.
[2:36:30.080 --> 2:36:32.760]  But thank you for your support. Thank you for your prayers. But here's the thing.
[2:36:32.760 --> 2:36:36.600]  When they realize they've got to pay attorney's fees and damages for the
[2:36:36.600 --> 2:36:46.080]  false suit. They stuck their arm in that badger's nest and tried to pull it out
[2:36:46.080 --> 2:36:53.720]  real fast. And you can't polish a turd. So good luck with whatever else you cook
[2:36:53.720 --> 2:36:56.880]  up because I don't think they're going to give up. You don't just think you're
[2:36:56.880 --> 2:37:02.360]  dropping a day. No, no, no, no, no, no, no. I don't think they're going to want to
[2:37:02.360 --> 2:37:07.960]  have the law students, the type of liberals that don't want an actual real
[2:37:07.960 --> 2:37:11.760]  job. They'll be professors for life. I mean, you might not want to have them
[2:37:11.760 --> 2:37:15.080]  write the next one. You know where it's like these ones in Austin. It's like
[2:37:15.080 --> 2:37:18.480]  it's got defamation all that. They'll just randomly put somebody's name in there.
[2:37:18.480 --> 2:37:22.480]  Wasn't even involved in the suit. They just throw it in there like it's
[2:37:22.480 --> 2:37:26.040]  I'll tell you, it's like monkeys at the zoo throwing, throwing, you know what
[2:37:26.040 --> 2:37:29.160]  that's. I mean, it's just like that. And you're like, what is this?
[2:37:29.160 --> 2:37:32.960]  Because the media doesn't care. They want the suit to say we're losing and we're
[2:37:32.960 --> 2:37:36.600]  being destroyed. And then we file suits on them or they withdraw lawsuits. You
[2:37:36.600 --> 2:37:48.440]  won't be in the control press. It's all about deceiving the public. Cameron, Ian,
[2:37:48.440 --> 2:37:55.240]  Sean. Let's talk to Sean in Arizona. It's a grab bag. Whatever topic we want to
[2:37:55.240 --> 2:37:59.880]  discuss. Sean says what he witnessed during Clinton vacations in 96. You're
[2:37:59.880 --> 2:38:03.040]  on the air. Thanks for holding. Well, that's true. But there's a couple other
[2:38:03.040 --> 2:38:07.440]  things here, Alex. And I was on I'm on the ranch here between outbuildings. You
[2:38:07.440 --> 2:38:11.240]  know how it is. And I didn't hear that it was specified the first time
[2:38:11.240 --> 2:38:14.360]  college, but I'm your friend from the Republican Convention and 80 haven't
[2:38:14.360 --> 2:38:19.240]  talked with you in a while. I was based out of Jackson Hole for 26 years, which
[2:38:19.240 --> 2:38:23.600]  you don't know about me. Aside from working the Republican Convention, I've
[2:38:23.600 --> 2:38:29.520]  been working in the movie business for 26 years and I prepared a major lawsuit to
[2:38:29.520 --> 2:38:34.840]  go against an entity in the motion picture business in a western state,
[2:38:34.840 --> 2:38:38.600]  west of Texas and one of the far western states. You may recall I've got
[2:38:38.600 --> 2:38:43.680]  Lyme disease the last five and a half years. I've spent at my computer to the
[2:38:43.680 --> 2:38:47.480]  detriment of my health because I should have been working on my Lyme disease
[2:38:47.480 --> 2:38:52.760]  protocols every day, but freedom is not free. I put together a case 35 booklets
[2:38:52.760 --> 2:38:58.200]  1300 pages, 200 exhibits to correct something that's been going on per the
[2:38:58.200 --> 2:39:02.880]  motion picture business in a western state. Okay, I understand. I got a lot of
[2:39:02.880 --> 2:39:06.000]  callers here. So what we know there's a lot of stuff in Hollywood. What's going
[2:39:06.000 --> 2:39:12.520]  on? No, no, no. So anyways, I sent a letter to your people for a reference on
[2:39:12.520 --> 2:39:16.640]  the constitutional lawyer and organization. It's been very difficult. I just
[2:39:16.640 --> 2:39:20.960]  don't want to hand this case off to to Justin. Here's my problem. I can barely
[2:39:20.960 --> 2:39:25.200]  deal my own stuff and I'm here live on here. I can't conduct, you know, off the
[2:39:25.200 --> 2:39:29.520]  record discussions about stuff here on air sir 96 and what most people don't
[2:39:29.520 --> 2:39:37.640]  know is blitz were there in 95 96 and in 96 they lost a whole plane up there. It
[2:39:37.640 --> 2:39:44.840]  was a C 130 cargo plane. It flew. It was the last plane that left on the last part
[2:39:44.840 --> 2:39:48.960]  of the vacation in 96. It flew into the mountain up there. Nobody talks about it,
[2:39:48.960 --> 2:39:54.280]  but they lost everybody in that plane had the nuclear football on it. They
[2:39:54.280 --> 2:39:58.480]  slammed into Sleeping Indian Mountain. It's another thing of a lot of people
[2:39:58.480 --> 2:40:02.280]  for one reason or another that perished around the Clintons when Clinton
[2:40:02.280 --> 2:40:07.440]  golfed when the boy Bill Clinton golfed in Jackson Hole. He golfed with a
[2:40:07.440 --> 2:40:12.960]  business owner that was one of the biggest loaders in his nose in the whole
[2:40:12.960 --> 2:40:19.000]  Teton County, Wyoming. And after Bill Clinton left, he was his golfing partner
[2:40:19.000 --> 2:40:25.920]  for 96. When that when Clinton left, he threw a bash for the Secret Service and
[2:40:25.920 --> 2:40:30.160]  that at this guy's business. And shortly afterward, this guy had to go down and
[2:40:30.160 --> 2:40:34.760]  check in at a ranch next to Merv Griffin or whatever in Wickenburg where they
[2:40:34.760 --> 2:40:41.320]  did for addiction, for drug addiction. And they flew and this this is this they
[2:40:41.320 --> 2:40:46.480]  flew because people told me that we're on the security deal. They flew in a
[2:40:46.480 --> 2:40:51.880]  girlfriend for Hillary. So we've got to put the pressure on that these people
[2:40:51.880 --> 2:40:56.400]  are our minions of the Antichrist and they need to be defeated and I wish you
[2:40:56.400 --> 2:41:02.320]  the best. God bless you, Sean. I appreciate the call. Okay, let's go to
[2:41:02.320 --> 2:41:07.840]  their caller here. Let's talk to Craig in New Mexico. Craig in New Mexico. Go
[2:41:07.840 --> 2:41:16.320]  ahead. Hi, are you there, Alex? I sure am. Hi, thanks for taking my call. I'm
[2:41:16.320 --> 2:41:23.200]  calling today. I'm a long time Info Wars listener over 10 years now and I'm
[2:41:23.200 --> 2:41:27.840]  also a subscriber to many of your supplemental. Thank you, sir. Appreciate
[2:41:27.840 --> 2:41:35.040]  the support. You're welcome. My pleasure. In 2011, I was diagnosed with multiple
[2:41:35.040 --> 2:41:42.840]  sclerosis after a cascade of debilitating symptoms. After an
[2:41:42.840 --> 2:41:50.280]  ineffective steroid regimen and also being asked to become a guinea pig for
[2:41:50.280 --> 2:41:57.240]  the sparmaceutical companies and taking new untested MS drugs, I opted out to
[2:41:57.240 --> 2:42:02.440]  become a medical cannabis patient. And as of recently with Jess Sessions
[2:42:02.440 --> 2:42:08.920]  rhetoric, I've been very concerned. Now that being said, I commend President
[2:42:08.920 --> 2:42:16.920]  Trump on his recent pledge to Senator Cory Gardner to respect the 9th and 10th
[2:42:16.920 --> 2:42:21.360]  Amendment as regards to medical and recreational cannabis. Yeah, he's reversing
[2:42:21.360 --> 2:42:26.480]  the mad dog sessions that does whatever he wants and that's really good news. But
[2:42:26.480 --> 2:42:31.360]  I've seen the big studies on inflammation and issues. Now, marijuana works so much
[2:42:31.360 --> 2:42:34.840]  better THC than other other things. So that's a good thing Trump's doing. Thank
[2:42:34.840 --> 2:42:38.240]  you, Craig. We're gonna go Bam Bam Bam and more calls Austin in Tennessee,
[2:42:38.240 --> 2:42:42.360]  Catherine in Canada, Jay in California, Marcus in Texas, Carol in Pennsylvania,
[2:42:42.360 --> 2:42:45.920]  Daryl and so many others straight ahead. I'm Alex Jones, infowars.com,
[2:42:45.920 --> 2:42:51.880]  newswars.com. Stay with us. We'll be back on the other side. It's just good to see
[2:42:51.880 --> 2:42:56.080]  Mel Brooks, everybody coming out against political correctness. Info Wars Life is
[2:42:56.080 --> 2:43:00.600]  bringing you a breakthrough in modern medicine, introducing pollen block. We
[2:43:00.600 --> 2:43:05.000]  have found an extraordinary new natural way to alleviate seasonal distress
[2:43:05.000 --> 2:43:10.560]  symptoms, including promoting clear nasal and sinus passageways, eye comfort and
[2:43:10.560 --> 2:43:16.200]  respiratory function. In the 1960s, researchers in France noticed that people
[2:43:16.200 --> 2:43:20.600]  who ate certain quail eggs experienced less seasonal immune and inflammatory
[2:43:20.600 --> 2:43:25.120]  responses. They began studying this effect in published trials and decades
[2:43:25.120 --> 2:43:29.720]  later, we now have the fruit of this research, a fast-acting, chewable tablet
[2:43:29.720 --> 2:43:34.280]  that helps alleviate seasonal distress symptoms. Pollen block is natural and
[2:43:34.280 --> 2:43:38.920]  effective. It is not an antihistamine. In fact, current research has found that it
[2:43:38.920 --> 2:43:43.240]  actually acts by blocking the activity of triptase, which is an enzyme that
[2:43:43.240 --> 2:43:47.960]  amplifies immune and inflammatory responses in the body. Go outside and
[2:43:47.960 --> 2:43:52.700]  enjoy the air you breathe. Head to infowarslife.com and grab a pack of our
[2:43:52.700 --> 2:43:57.240]  pollen block chewable tablets. Fuel your body with carnivore, the new digestive
[2:43:57.240 --> 2:44:01.800]  enzyme product by infowarslife. Digestive enzymes assist in the digestion process
[2:44:01.800 --> 2:44:05.400]  and increase the bioavailability of nutrients by breaking down foods into
[2:44:05.400 --> 2:44:09.480]  easily absorbable components. They also help prevent discomfort from indigestion
[2:44:09.480 --> 2:44:13.400]  caused by fermentation of undigested food particles in the gut. Digestive enzyme
[2:44:13.400 --> 2:44:17.120]  production declines as we age. Carnivore is filled with digestive enzymes like
[2:44:17.120 --> 2:44:21.360]  those naturally present in the body. Enjoy the full potential of protein-rich
[2:44:21.360 --> 2:44:25.880]  foods again. You can eat protein-heavy foods now while minimizing the later
[2:44:25.880 --> 2:44:30.000]  indigestion and discomfort commonly associated with high meat diets. Just
[2:44:30.000 --> 2:44:33.600]  one pill with every high protein meal helps increase the bioavailability and
[2:44:33.600 --> 2:44:38.440]  absorption of amino acids, the building blocks to your muscles. Carnivore also
[2:44:38.440 --> 2:44:42.800]  contains digestive enzymes to help digest fats and carbohydrates so you can
[2:44:42.800 --> 2:44:47.480]  fully digest all types of meals. Don't let a meal go to waste. Use carnivore by
[2:44:47.480 --> 2:44:52.040]  infowarslife. Head to infowarslife.com and secure your bottle now.
[2:44:52.040 --> 2:44:59.240]  That's infowarslife.com. They use their media to assassinate real news. They
[2:44:59.240 --> 2:45:03.440]  use their schools to teach children that their president is another Hitler. They
[2:45:03.440 --> 2:45:07.840]  use their movie stars and singers and comedy shows and award shows to repeat
[2:45:07.840 --> 2:45:12.480]  their narrative over and over again. And then they use their ex-president to
[2:45:12.480 --> 2:45:18.160]  endorse the resistance. All to make them march, make them protest, make them scream
[2:45:18.160 --> 2:45:23.640]  racism and sexism and xenophobia and homophobia to smash windows, burn cars,
[2:45:23.640 --> 2:45:28.600]  shut down interstates and airports, bully and terrorize the law-abiding until
[2:45:28.600 --> 2:45:34.240]  the only option left is for the police to do their jobs and stop the madness. And
[2:45:34.240 --> 2:45:39.760]  when that happens, they'll use it as an excuse for their outrage. The only way we
[2:45:39.760 --> 2:45:45.560]  stop this, the only way we save our country and our freedom is to fight this
[2:45:45.560 --> 2:45:51.000]  violence of lies with the clenched fist of truth. I'm the National Rifle
[2:45:51.000 --> 2:45:57.120]  Association of America and I'm Freedom's Safest Place. You know if I tried to sit
