[00:00:00.269 --> 00:00:01.230]  BREAKING THE CONDITIONING!
[02:18:15.003 --> 02:18:22.550]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up right now are absolutely amazing.
[02:18:23.110 --> 02:18:28.015]  My favorite new one is the Don't Tread On Me, but instead it says Won't Tread On Me.
[02:18:28.015 --> 02:18:30.978]  And it's a big Dayglo snake, Gadsden snake.
[02:18:30.978 --> 02:18:34.281]  And then it's got the American flag, Infowars.com on the right arm.
[02:18:34.281 --> 02:18:40.507]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise free speech.
[02:18:40.507 --> 02:18:43.150]  And the newest one is Trigger Warning T-shirt.
[02:18:43.670 --> 02:18:50.501]  Trigger warning t-shirt, which is the symbol of a trigger, with a yield sign and then InfoWars.com on the back.
[02:18:50.501 --> 02:18:55.028]  That is the new Shirt of the Mind, available exclusively at InfoWarsStore.com.
[02:18:56.454 --> 02:19:01.097]  Support good oral health with our one-of-a-kind super blue fluoride free products.
[02:19:01.097 --> 02:19:08.761]  InfoWars Life brings you a revolutionary toothpaste blend with iodine and nano silver designed to deliver a powerful clean.
[02:19:08.761 --> 02:19:12.984]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[02:19:12.984 --> 02:19:18.947]  Pair this groundbreaking toothpaste with the super blue fluoride free mouthwash and supercharge your oral health.
[02:19:19.107 --> 02:19:25.712]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[02:19:25.712 --> 02:19:35.841]  Instead of containing fluoride, our super blue line is floated with the good halogen iodine and an array of other beneficial compounds that have been hand selected for their oral health benefits.
[02:19:36.101 --> 02:19:38.242]  You're listening to the Alex Jones Show!
[02:20:25.032 --> 02:20:29.897]  Big Brother, mainstream media, government cover-ups.
[02:20:29.897 --> 02:20:31.538]  You want to stop tyranny?
[02:20:31.538 --> 02:20:33.220]  Well, so does he.
[02:20:33.220 --> 02:20:35.602]  Live from the InfoWars.com studios, it's Alex Jones.
[02:20:35.602 --> 02:20:43.809]  Take me through the centuries to supersonic years
[02:20:57.745 --> 02:21:11.276]  We are back live, ladies and gentlemen, and I was thinking during the break, what is the most important thing happening right now at this explosively critical point in human history?
[02:21:11.276 --> 02:21:14.939]  And I was really thinking about it, and it's this.
[02:21:14.939 --> 02:21:24.546]  The corporate media, the collaborator media that works with the multinational corporations that have pretty much conquered this nation, are having their power removed.
[02:21:26.553 --> 02:21:30.115]  Monopolistic control.
[02:21:30.115 --> 02:21:32.736]  They're still keeping all their stolen wealth.
[02:21:32.736 --> 02:21:44.883]  And they're so arrogant and they're so angry, they're putting out the lie, McCain, Comey, Schiff, that this is a nothing burger.
[02:21:44.883 --> 02:21:46.663]  This is nothing.
[02:21:46.663 --> 02:21:49.205]  This is no big deal.
[02:21:49.205 --> 02:21:52.787]  Oh my gosh, but it does damage our security and let the terrorists attack us.
[02:21:54.031 --> 02:21:59.275]  It's the worst thing ever and the end of our democracy and Trump's a dictator, blah blah blah.
[02:21:59.275 --> 02:22:09.082]  Even though federal law, as William Benny just stated, shows that if crimes are committed in the FISA court or in that process, law says it must be declassified.
[02:22:09.082 --> 02:22:12.525]  But let's stop right there.
[02:22:12.525 --> 02:22:21.091]  The average person will read the nuanced letter by the White House chief lawyer and Chairman Devin Nunes' letter.
[02:22:26.383 --> 02:22:33.466]  The trained eye will read it and see something different than what the public sees, but it's all in plain view.
[02:22:33.466 --> 02:22:52.136]  Because at this level of fine art, in its vernacular, in its parlance, it is to be done very gently, as you slip the knife in between the two vertebrae and the neck.
[02:22:52.136 --> 02:22:54.737]  It's done elegantly, not brutishly.
[02:22:56.414 --> 02:23:04.300]  And I read this several times now, and it's the letter from the President on the front page that tells you everything.
[02:23:04.300 --> 02:23:11.246]  It says, I became aware when I was President, through classified information, of your full operations.
[02:23:11.246 --> 02:23:13.448]  After all, it's you guys that put this giant spy grid in.
[02:23:13.448 --> 02:23:14.148]  You ought to know.
[02:23:14.148 --> 02:23:16.150]  I have full access to everything.
[02:23:16.150 --> 02:23:23.136]  And I contacted the House Committee, as I'm supposed to by law, and they got the information.
[02:23:25.783 --> 02:23:44.531]  And they concur that there was a criminal operation to overturn my election and fraud and lies getting the warrants and all the rest of it, which we have the FISA court coming to us in April of last year in a 99 page report and telling us we've been informed by the court their prime
[02:23:45.979 --> 02:24:04.408]  Inform it, both in lineage and in importance, the progenitor is the judiciary, alerting the president two months after he was in office, January, February, March, April, three months, four months, in a 99-page report of what happened.
[02:24:04.408 --> 02:24:10.231]  Then the classified parts are sent to the House Intelligence Committee.
[02:24:11.443 --> 02:24:26.236]  Schiff works around the clock in federal court proceedings to block congressional moves and others to get the Fusion GPS documents that were concocted by the Justice Department, FBI, and the Democratic Party-funded Fusion GPS.
[02:24:26.236 --> 02:24:29.579]  And then all of the, oh my God, we need the insurance policy.
[02:24:29.579 --> 02:24:30.640]  Oh, we can't let him get in.
[02:24:30.640 --> 02:24:32.501]  Oh, now that he's getting in, we gotta take him out.
[02:24:32.501 --> 02:24:33.102]  We gotta remove him.
[02:24:33.482 --> 02:24:34.962]  All that's already come out.
[02:24:34.962 --> 02:24:36.223]  That's all in the text messages.
[02:24:36.223 --> 02:24:37.223]  They don't deny it.
[02:24:37.223 --> 02:24:38.463]  Schiff denied it three weeks ago.
[02:24:38.463 --> 02:24:39.744]  Okay, it's all real, but it's nothing.
[02:24:39.744 --> 02:24:40.884]  It's a nothing burger.
[02:24:40.884 --> 02:24:42.564]  That's their spin now.
[02:24:42.564 --> 02:24:43.784]  As if you don't have common sense.
[02:24:43.784 --> 02:24:49.106]  It's the end of the world, total martial law, Trump's a dictator, but it's no big deal and this doesn't show anything.
[02:24:49.106 --> 02:24:54.707]  So the big issue here is that they're going to say this is nothing.
[02:24:54.707 --> 02:24:58.608]  When the president says, I don't want to release all this information,
[02:24:59.833 --> 02:25:04.476]  And I don't want to hurt these agencies, but you're trying to hurt the country and hurt me, and you've lied.
[02:25:04.476 --> 02:25:09.979]  And I'm not going to sit here while your main operative that Hillary Clinton ran, Mueller, plays this game, okay?
[02:25:09.979 --> 02:25:16.142]  I'm not just going to let you march my son and everybody else off to prison so a bunch of lebtards can celebrate it and kill the country's recovery.
[02:25:16.142 --> 02:25:17.403]  You people are out of control.
[02:25:17.403 --> 02:25:18.763]  Stop!
[02:25:18.763 --> 02:25:22.886]  If anything, it's very judicious, it's very measured, it's very...
[02:25:23.951 --> 02:25:30.636]  There's a sign post, This Way Destruction, and Trump's sitting there going, uh, I've been down the road, you don't want to go.
[02:25:30.636 --> 02:25:32.417]  You're very close now.
[02:25:32.417 --> 02:25:36.720]  Smell the stink of dead political flesh?
[02:25:36.720 --> 02:25:46.447]  But you look at that Jack O'Lantern face of Hillary or that nutball freak Comey or any of those, those, those lunatic narcissist fruit heads aren't going to stop.
[02:25:50.808 --> 02:25:53.010]  So, now you've got Russia probe lawyers.
[02:25:53.010 --> 02:25:54.431]  Oh, Trump might get indicted.
[02:25:54.431 --> 02:25:56.452]  See, before they said, oh, Mr. President, it can never happen.
[02:25:56.452 --> 02:26:03.557]  Now his lawyers are, oh, it is coming, Mr. President, because they were always planning this, getting up close to 2018.
[02:26:03.557 --> 02:26:04.938]  So here's the big issue.
[02:26:04.938 --> 02:26:06.880]  This is a giant memo.
[02:26:06.880 --> 02:26:09.201]  The cover sheet alone is bigger than the memo.
[02:26:09.201 --> 02:26:11.003]  I already knew all this that's in the memo.
[02:26:11.003 --> 02:26:14.085]  It just says, hey, the President initiated this.
[02:26:14.085 --> 02:26:15.006]  We've got more.
[02:26:15.006 --> 02:26:15.626]  That's the big news.
[02:26:15.626 --> 02:26:16.747]  We got a lot more.
[02:26:16.747 --> 02:26:17.427]  We're ready to release.
[02:26:17.427 --> 02:26:17.628]  That's A.
[02:26:19.119 --> 02:26:24.682]  A is the President initiated this under the law, and we've got more information.
[02:26:24.682 --> 02:26:40.591]  And then B, you guys committed a whole bunch of perjury and a whole bunch of crimes in this thing, and we're ready to fight you.
[02:26:40.591 --> 02:26:43.632]  And that's it.
[02:26:43.632 --> 02:26:44.853]  We've got the intel.
[02:26:44.853 --> 02:26:46.654]  You know we've got the intel.
[02:26:46.654 --> 02:26:48.255]  We've got a lot more we're ready to release.
[02:26:49.468 --> 02:26:53.009]  You committed a bunch of crimes?
[02:26:53.009 --> 02:26:56.270]  We're ready to go after you even more?
[02:26:56.270 --> 02:26:57.991]  Just get out of the way and let the country recover.
[02:26:57.991 --> 02:27:03.193]  And we're not going to euthanize the veterans.
[02:27:03.193 --> 02:27:08.655]  And Hillary and the Democrats at MSNBC and CNN are going, hell no.
[02:27:08.655 --> 02:27:12.596]  So, more comes up.
[02:27:12.596 --> 02:27:15.437]  You don't run up the white flag, more comes up.
[02:27:17.799 --> 02:27:21.742]  And Soros is already having his assets all over the world tied to human smuggling.
[02:27:21.742 --> 02:27:28.008]  I mean, he's been caught shipping in hundreds of thousands out of North Africa alone on those Zodiac rubber boats.
[02:27:28.008 --> 02:27:28.668]  That's in the news.
[02:27:28.668 --> 02:27:31.751]  The Italian Navy just stopped him two weeks ago.
[02:27:31.751 --> 02:27:34.673]  Think the Italians got a call from somebody called NATO?
[02:27:34.673 --> 02:27:37.496]  Called Trump?
[02:27:37.496 --> 02:27:38.637]  Because the United States is NATO?
[02:27:41.758 --> 02:27:44.920]  See, first Trump threatened to cut NATO's funding off to get them under control.
[02:27:44.920 --> 02:27:48.462]  Now we're in control again of NATO, not Soros and the EU.
[02:27:48.462 --> 02:27:50.764]  And now we're telling Soros, we're taking you down.
[02:27:50.764 --> 02:27:54.086]  You know, there's the headline, George Soros linked to funding human trafficking and terrorism.
[02:27:54.086 --> 02:27:54.747]  And guess what?
[02:27:54.747 --> 02:27:57.368]  Ooh, some stuff's happening to Soros right now.
[02:27:57.368 --> 02:27:58.529]  You want to move against Soros?
[02:27:58.529 --> 02:28:00.290]  Oh, what's going on?
[02:28:00.290 --> 02:28:04.053]  So there is the compendium of Trump.
[02:28:04.053 --> 02:28:06.955]  I know, I'm the president, I've got you dead to rights.
[02:28:08.206 --> 02:28:09.367]  I contacted the house.
[02:28:09.367 --> 02:28:10.108]  They concur.
[02:28:10.108 --> 02:28:11.849]  I'm ready to give them more information.
[02:28:11.849 --> 02:28:13.090]  I'm ready to move.
[02:28:13.090 --> 02:28:16.452]  And I'm coming out against you, and you've committed incredible crimes.
[02:28:16.452 --> 02:28:17.493]  Their response?
[02:28:17.493 --> 02:28:25.800]  The chef says, I look like a psychotic serial killer with little weird bug eyes, and I'm on a power trip, and I'm going to get you.
[02:28:25.800 --> 02:28:26.500]  I'm not going to stop.
[02:28:26.500 --> 02:28:28.882]  We're like, OK.
[02:28:28.882 --> 02:28:32.344]  Then, get ready.
[02:28:32.344 --> 02:28:34.006]  Rack them up, Huckleberry.
[02:28:35.520 --> 02:28:38.062]  It's all what you asked for.
[02:28:38.062 --> 02:28:39.603]  You're in charge of where you're going.
[02:28:39.603 --> 02:28:44.587]  Because Trump knows metaphysically he's gotta be the good guy.
[02:28:44.587 --> 02:28:46.588]  He's gotta be taking the high road.
[02:28:46.588 --> 02:28:49.310]  He's gotta be the one that's defending.
[02:28:49.310 --> 02:28:54.254]  So he just keeps giving them chance after chance after chance, and they don't see they're slipping beneath the quicksand.
[02:28:55.751 --> 02:28:58.334]  Are you happy washing your hands with harsh chemicals?
[02:28:58.334 --> 02:29:00.476]  Are you happy doing laundry with detergents?
