[00:00.000 --> 00:04.000]  Forgive me, I have scammed.
[2:26:14.000 --> 2:26:16.000]  and Hillary and the DNC and Podesta.
[2:26:16.000 --> 2:26:18.000]  All of them are saying, you know, the Russians
[2:26:18.000 --> 2:26:20.000]  are behind all this stuff.
[2:26:20.000 --> 2:26:22.000]  Jill Stein is saying that as well. So now
[2:26:22.000 --> 2:26:24.000]  Bloomberg is saying, social media
[2:26:24.000 --> 2:26:26.000]  has been weaponized by Russia. It's always
[2:26:26.000 --> 2:26:28.000]  the Russians, right? Joined by another
[2:26:28.000 --> 2:26:30.000]  failed cybersecurity company,
[2:26:30.000 --> 2:26:32.000]  FireEye. But here's the scary
[2:26:32.000 --> 2:26:34.000]  thing. Yesterday
[2:26:34.000 --> 2:26:36.000]  we had the House pass an intelligence
[2:26:36.000 --> 2:26:38.000]  bill that was going to thwart this
[2:26:38.000 --> 2:26:40.000]  imaginary Russian influence
[2:26:40.000 --> 2:26:42.000]  over social media and the people and push back
[2:26:42.000 --> 2:26:44.000]  against this idea that there's fake
[2:26:44.000 --> 2:26:46.000]  information being put out there by the Russians.
[2:26:46.000 --> 2:26:48.000]  It's being passed around by social media.
[2:26:48.000 --> 2:26:50.000]  You understand how this is playing out. And it
[2:26:50.000 --> 2:26:52.000]  was just yesterday that we saw
[2:26:52.000 --> 2:26:54.000]  a major economic attack
[2:26:54.000 --> 2:26:56.000]  on Breitbart with Kellogg
[2:26:56.000 --> 2:26:58.000]  pulling their sponsorship
[2:26:58.000 --> 2:27:00.000]  pulling their ads
[2:27:00.000 --> 2:27:02.000]  from their site. And then Breitbart
[2:27:02.000 --> 2:27:04.000]  says, oh, we don't match your values. What
[2:27:04.000 --> 2:27:06.000]  are your values? And they
[2:27:06.000 --> 2:27:08.000]  talked about how Amnesty International has done
[2:27:08.000 --> 2:27:10.000]  an investigation showing that
[2:27:10.000 --> 2:27:12.000]  Kellogg is using child labor
[2:27:12.000 --> 2:27:14.000]  so that they can get palm oil
[2:27:14.000 --> 2:27:16.000]  to put in their sugar loaded cereal.
[2:27:16.000 --> 2:27:18.000]  It's not much of a hyperbole to say
[2:27:18.000 --> 2:27:20.000]  just throw out the sugar, the cereal
[2:27:20.000 --> 2:27:22.000]  that is sugar. Throw out the cereal
[2:27:22.000 --> 2:27:24.000]  and eat the box. You'll be better off
[2:27:24.000 --> 2:27:26.000]  from a nutritional standpoint.
[2:27:26.000 --> 2:27:28.000]  It's not much of a hyperbole. That's why
[2:27:28.000 --> 2:27:30.000]  we sell the kind of products that we do here
[2:27:30.000 --> 2:27:32.000]  at InfoWars to maintain our independence
[2:27:32.000 --> 2:27:34.000]  and also to provide you with things
[2:27:34.000 --> 2:27:36.000]  that are going to protect your health. Not undermine
[2:27:36.000 --> 2:27:38.000]  it. That's what you get from the corporate
[2:27:38.000 --> 2:27:40.000]  junk that they're feeding you.
[2:27:40.000 --> 2:27:42.000]  Both the junk for your body and the junk
[2:27:42.000 --> 2:27:44.000]  for your mind. So we try to offer you
[2:27:44.000 --> 2:27:46.000]  high quality products and we do. We have
[2:27:46.000 --> 2:27:48.000]  things like DNA force.
[2:27:48.000 --> 2:27:50.000]  That is a unique
[2:27:50.000 --> 2:27:52.000]  blend of ingredients. We've got
[2:27:52.000 --> 2:27:54.000]  BiopQQ is one of the
[2:27:54.000 --> 2:27:56.000]  active ingredients in this. That is
[2:27:56.000 --> 2:27:58.000]  something that's been backed by 175
[2:27:58.000 --> 2:28:00.000]  clinical studies. Very difficult to secure
[2:28:00.000 --> 2:28:02.000]  very expensive to produce.
[2:28:02.000 --> 2:28:04.000]  But it's also there with a lot of other things like Vitamin C,
[2:28:04.000 --> 2:28:06.000]  CoQ10,
[2:28:06.000 --> 2:28:08.000]  a lot of anti, very potent
[2:28:08.000 --> 2:28:10.000]  antioxidants there. It's just
[2:28:10.000 --> 2:28:12.000]  one ingredient in DNA force
[2:28:12.000 --> 2:28:14.000]  cost us about $30,000 per bag.
[2:28:14.000 --> 2:28:16.000]  So it's a premium product
[2:28:16.000 --> 2:28:18.000]  for your health and it's something that we
[2:28:18.000 --> 2:28:20.000]  put together a unique formulation at InfoWars.
[2:28:20.000 --> 2:28:22.000]  Also we have
[2:28:22.000 --> 2:28:24.000]  Vitamin Mineral Fusion Drink Mix.
[2:28:24.000 --> 2:28:26.000]  It's back in stock at InfoWarsLife.com.
[2:28:26.000 --> 2:28:28.000]  That's an affordable, great tasting
[2:28:28.000 --> 2:28:30.000]  drink mix that you can
[2:28:30.000 --> 2:28:32.000]  essentially take your
[2:28:32.000 --> 2:28:34.000]  full vitamin, multi-vitamin
[2:28:34.000 --> 2:28:36.000]  regime. You can take that orally.
[2:28:36.000 --> 2:28:38.000]  So you don't have to swallow a lot of pills. It's got
[2:28:38.000 --> 2:28:40.000]  Vitamin E, Zinc, Magnesium,
[2:28:40.000 --> 2:28:42.000]  Selenium, El Glutamine,
[2:28:42.000 --> 2:28:44.000]  Alpha Lipoic Acid,
[2:28:44.000 --> 2:28:46.000]  Folic Acid, Calcium, many other
[2:28:46.000 --> 2:28:48.000]  ingredients. Again, that's back in stock at InfoWarsLife.com.
[2:28:48.000 --> 2:28:50.000]  I think it's also
[2:28:50.000 --> 2:28:52.000]  interesting at the Dredge Report today. Of course
[2:28:52.000 --> 2:28:54.000]  at the top of the Dredge Report says Kelly,
[2:28:54.000 --> 2:28:56.000]  Megan Kelly might jump
[2:28:56.000 --> 2:28:58.000]  and unfortunately she's not on a bridge.
[2:28:58.000 --> 2:29:00.000]  Which many of us
[2:29:00.000 --> 2:29:02.000]  would kind of like to see. No,
[2:29:02.000 --> 2:29:04.000]  she's talking about jumping from Fox News
[2:29:04.000 --> 2:29:06.000]  to CNN.
[2:29:06.000 --> 2:29:08.000]  It's an exclusive article Dredge Report has that
[2:29:08.000 --> 2:29:10.000]  he says CNN president Jeff Zuccher
[2:29:10.000 --> 2:29:12.000]  is actively pursuing her
[2:29:12.000 --> 2:29:14.000]  and inside
[2:29:14.000 --> 2:29:16.000]  source said he is moving the Himalayan mountains
[2:29:16.000 --> 2:29:18.000]  to get her. They talk
[2:29:18.000 --> 2:29:20.000]  about how she's deeply despised by fellow
[2:29:20.000 --> 2:29:22.000]  on-air talent and I would say
[2:29:22.000 --> 2:29:24.000]  by much of the Fox audience as well. He's got a poll
[2:29:24.000 --> 2:29:26.000]  there. I've already voted
[2:29:26.000 --> 2:29:28.000]  for her to go to CNN.
[2:29:28.000 --> 2:29:30.000]  I thought it was kind of interesting too on the Dredge Report.
[2:29:30.000 --> 2:29:32.000]  It got a black Santa Claus. Remember it was Megan Kelly
[2:29:32.000 --> 2:29:34.000]  saying that hey
[2:29:34.000 --> 2:29:36.000]  we all know that Santa Claus is white.
[2:29:36.000 --> 2:29:38.000]  Well, not now.
[2:29:38.000 --> 2:29:40.000]  We've got a black Santa Claus. I think that's kind of cool.
[2:29:40.000 --> 2:29:42.000]  I'd like to see kind of a
[2:29:42.000 --> 2:29:44.000]  Louis Armstrong Santa Claus.
[2:29:44.000 --> 2:29:46.000]  I think somebody that's
[2:29:46.000 --> 2:30:10.000]  having a lot of fun. We'll be right back.
[2:30:10.000 --> 2:30:12.000]  He's going to bring all these jobs back.
[2:30:12.000 --> 2:30:14.000]  Well, how exactly are you going to do that?
[2:30:14.000 --> 2:30:16.000]  There's no answer to it.
[2:30:16.000 --> 2:30:18.000]  He just says well, I'm going to negotiate
[2:30:18.000 --> 2:30:20.000]  a better deal. Well, how
[2:30:20.000 --> 2:30:22.000]  exactly are you going to negotiate that?
[2:30:22.000 --> 2:30:24.000]  What magic wand do you have?
[2:30:24.000 --> 2:30:26.000]  And usually the answer is
[2:30:26.000 --> 2:30:28.000]  you don't have an answer. Well, Obama
[2:30:28.000 --> 2:30:30.000]  President-elect Trump has yet to begin
[2:30:30.000 --> 2:30:32.000]  his presidency and he is
[2:30:32.000 --> 2:30:34.000]  already saving jobs
[2:30:34.000 --> 2:30:36.000]  in America and he has successfully
[2:30:36.000 --> 2:30:38.000]  negotiated a deal with
[2:30:38.000 --> 2:30:40.000]  Air Conditioner Company Carrier
[2:30:40.000 --> 2:30:42.000]  to keep 1,000 jobs
[2:30:42.000 --> 2:30:44.000]  in the U.S. No magic wand
[2:30:44.000 --> 2:30:46.000]  just good negotiating skills
[2:30:46.000 --> 2:30:48.000]  and a passion to put America
[2:30:48.000 --> 2:30:50.000]  first and save
[2:30:50.000 --> 2:30:52.000]  the working class hero. I'm Darren McBreen
[2:30:52.000 --> 2:30:54.000]  and you can learn more right now
[2:30:54.000 --> 2:31:22.000]  at infowars.com.
[2:31:24.000 --> 2:31:26.000]  To the best job you can to purify your air.
[2:31:26.000 --> 2:31:28.000]  The elite are masters at poisoning
[2:31:28.000 --> 2:31:30.000]  our environment while themselves
[2:31:30.000 --> 2:31:32.000]  doing things that mitigate or avoid
[2:31:32.000 --> 2:31:34.000]  most toxic effects for themselves.
[2:31:34.000 --> 2:31:36.000]  The general public doesn't.
[2:31:36.000 --> 2:31:38.000]  The elects of pure breeze would be a
[2:31:38.000 --> 2:31:40.000]  steal at $300, $400, $500.
[2:31:40.000 --> 2:31:42.000]  One of these systems can keep
[2:31:42.000 --> 2:31:44.000]  800 square feet incredibly clean.
[2:31:44.000 --> 2:31:46.000]  This is a system I'm personally putting in
[2:31:46.000 --> 2:31:48.000]  throughout my house replacing older
[2:31:48.000 --> 2:31:50.000]  or expensive filters that didn't do
[2:31:50.000 --> 2:31:52.000]  as good a job. Find out why this system
[2:31:52.000 --> 2:31:54.000]  is so revolutionary today
[2:31:54.000 --> 2:32:22.000]  at infowars.com
[2:32:24.000 --> 2:32:26.000]  We're the solution. Americans
[2:32:26.000 --> 2:32:28.000]  ain't nothing more to it than that.
[2:32:28.000 --> 2:32:30.000]  Starring Alex Jones, Charlie Daniels
[2:32:30.000 --> 2:32:32.000]  and Special Ops General Jerry Boykin
[2:32:32.000 --> 2:32:34.000]  theatrical screenings on demand
[2:32:34.000 --> 2:32:36.000]  DVDs now available
[2:32:36.000 --> 2:32:38.000]  on a shed some tears
[2:32:38.000 --> 2:32:40.000]  with a red, white and blue
[2:32:40.000 --> 2:32:42.000]  Revelation the Movie.info
[2:32:42.000 --> 2:32:44.000]  Americans need to see this film
[2:32:44.000 --> 2:32:46.000]  Revelation the Movie
[2:32:46.000 --> 2:32:48.000]  The Movie
[2:32:48.000 --> 2:32:50.000]  The Movie
[2:32:50.000 --> 2:32:52.000]  The Movie
[2:32:52.000 --> 2:32:54.000]  Revelation
[2:32:54.000 --> 2:32:56.000]  The Movie.info
[2:32:56.000 --> 2:32:58.000]  Let's fix it.
[2:33:10.000 --> 2:33:12.000]  Live from
[2:33:12.000 --> 2:33:14.000]  Austin, Texas
[2:33:14.000 --> 2:33:16.000]  Broadcasting
[2:33:16.000 --> 2:33:22.000]  Alex Jones
[2:33:22.000 --> 2:33:24.000]  Welcome back to the Alex Jones Show.
[2:33:24.000 --> 2:33:26.000]  I'm David Knight, your host.
[2:33:26.000 --> 2:33:28.000]  Joining us from Cincinnati, Ohio
[2:33:28.000 --> 2:33:30.000]  is Owen Schwerer
[2:33:30.000 --> 2:33:32.000]  and he's there to
[2:33:32.000 --> 2:33:34.000]  cover the victory rally tonight.
[2:33:34.000 --> 2:33:36.000]  Now right now, Donald Trump is in
[2:33:36.000 --> 2:33:38.000]  Indianapolis, Indiana
[2:33:38.000 --> 2:33:40.000]  or on his way there. His first stop
[2:33:40.000 --> 2:33:42.000]  is going to be at the Carrier Plant
[2:33:42.000 --> 2:33:44.000]  where they were just able to save
[2:33:44.000 --> 2:33:46.000]  money.
[2:33:46.000 --> 2:33:48.000]  He's going to be going though later tonight
[2:33:48.000 --> 2:33:50.000]  to Cincinnati, Ohio where our reporters are.
[2:33:50.000 --> 2:33:52.000]  We're going to have an update on that tonight
[2:33:52.000 --> 2:33:54.000]  on the nightly news, but right now let's go to
[2:33:54.000 --> 2:33:56.000]  Owen Schwerer in Cincinnati, Ohio.
[2:33:56.000 --> 2:33:58.000]  Welcome, Owen.
[2:33:58.000 --> 2:34:00.000]  Well, that's right, David.
[2:34:00.000 --> 2:34:02.000]  We heard that commercial during the break of Obama saying
[2:34:02.000 --> 2:34:04.000]  how is Trump going to bring jobs back?
[2:34:04.000 --> 2:34:06.000]  What is he going to wave a magic wand?
[2:34:06.000 --> 2:34:08.000]  Well, I guess Trump has a magic wand then
[2:34:08.000 --> 2:34:10.000]  because he's bringing jobs back.
[2:34:10.000 --> 2:34:12.000]  So how about that for Barack Obama?
[2:34:12.000 --> 2:34:14.000]  He's saying to save a single job
[2:34:14.000 --> 2:34:16.000]  in his entire time there.
[2:34:16.000 --> 2:34:18.000]  Some of the people who were on the free market
[2:34:18.000 --> 2:34:20.000]  side said, well, look, you know, there were
[2:34:20.000 --> 2:34:22.000]  some incentives. Now we learned about $7 million
[2:34:22.000 --> 2:34:24.000]  worth of incentives given to Carrier
[2:34:24.000 --> 2:34:26.000]  that's over a 10-year period.
[2:34:26.000 --> 2:34:28.000]  So if you divide that out by a thousand jobs,
[2:34:28.000 --> 2:34:30.000]  it's about $7,000 per job over
[2:34:30.000 --> 2:34:32.000]  a 10-year period. So it's about $700 a year.
[2:34:32.000 --> 2:34:34.000]  But they also are going to
[2:34:34.000 --> 2:34:36.000]  Carrier is going to make a $16 million investment.
[2:34:36.000 --> 2:34:38.000]  So they're investing more than twice as much
[2:34:38.000 --> 2:34:40.000]  as they're getting back in a subsidy.
[2:34:40.000 --> 2:34:42.000]  And for those 1,000 people, that is making
[2:34:42.000 --> 2:34:44.000]  a huge difference. What we've seen from Obama
[2:34:44.000 --> 2:34:46.000]  is essentially threatening to bankrupt
[2:34:46.000 --> 2:34:48.000]  entire industries and doing so,
[2:34:48.000 --> 2:34:50.000]  taking over our health care system,
[2:34:50.000 --> 2:34:52.000]  turning it into a major tax and a mandate
[2:34:52.000 --> 2:34:54.000]  and doubling the
[2:34:54.000 --> 2:34:56.000]  price of health care more than that.
[2:34:56.000 --> 2:34:58.000]  For a lot of people, it's tripled or quadrupled
[2:34:58.000 --> 2:35:00.000]  for many people, but we're seeing massive
[2:35:00.000 --> 2:35:02.000]  increases in the price of health care.
[2:35:02.000 --> 2:35:04.000]  That's his singular accomplishment that he
[2:35:04.000 --> 2:35:06.000]  created with his executive order,
[2:35:06.000 --> 2:35:08.000]  but he never did anything to save anybody's jobs.
[2:35:08.000 --> 2:35:10.000]  Well, he might have saved some jobs
[2:35:10.000 --> 2:35:12.000]  for some big bankers who had to get bailed out.
[2:35:12.000 --> 2:35:14.000]  But nonetheless,
[2:35:14.000 --> 2:35:16.000]  Trump hasn't even become president yet
[2:35:16.000 --> 2:35:18.000]  and it's perfectly fair to say that he's done
[2:35:18.000 --> 2:35:20.000]  more for the average American
[2:35:20.000 --> 2:35:22.000]  worker than President Obama did
[2:35:22.000 --> 2:35:24.000]  in eight years as president, and Trump hasn't
[2:35:24.000 --> 2:35:26.000]  even become the president yet. Now,
[2:35:26.000 --> 2:35:28.000]  we are here in Cincinnati. As you said,
[2:35:28.000 --> 2:35:30.000]  David, Trump is going to start what is being
[2:35:30.000 --> 2:35:32.000]  dubbed his victory tour here tonight
[2:35:32.000 --> 2:35:34.000]  in Cincinnati. It's going to be held
[2:35:34.000 --> 2:35:36.000]  at the U.S. bank arena, which is right
[2:35:36.000 --> 2:35:38.000]  behind me. We are actually, it's pretty much
[2:35:38.000 --> 2:35:40.000]  in the heart of downtown right here by the
[2:35:40.000 --> 2:35:42.000]  Riverside, next to the great American baseball
[2:35:42.000 --> 2:35:44.000]  field, and then the football field right down
[2:35:44.000 --> 2:35:46.000]  the street as well. And there's already
[2:35:46.000 --> 2:35:48.000]  some patrons out here, not too much foot traffic
[2:35:48.000 --> 2:35:50.000]  yet. The rally is not till tonight,
[2:35:50.000 --> 2:35:52.000]  but if I can get my cameraman to look down
[2:35:52.000 --> 2:35:54.000]  here, you'll actually see that there's some nice
[2:35:54.000 --> 2:35:56.000]  capitalists. We've got some American capitalists
[2:35:56.000 --> 2:35:58.000]  out here, some vendors. They're selling some
[2:35:58.000 --> 2:36:00.000]  Trump gear, Trump hats, scarves,
[2:36:00.000 --> 2:36:02.000]  t-shirts, hoodies, bags, mugs,
[2:36:02.000 --> 2:36:04.000]  pens. They got it all ready
