[00:00:07.412 --> 00:00:11.794]  Ladies and gentlemen.
[02:17:22.679 --> 02:17:41.090]  So this is, you know, I actually, the article that I wrote on Masks at Work quotes Dr. Rancourt's studies, but I've got more than 50 studies on a PDF file that people can download, print, and hand out showing everybody that masks at work.
[02:17:41.090 --> 02:17:46.994]  We partnered with Hugs Over Masks Canada, hugsovermasks.ca, Baxter partnered with them.
[02:17:46.994 --> 02:17:50.216]  We've been hosting a series of training webinars on Friday nights.
[02:17:50.768 --> 02:17:55.852]  To get them all fired up, we've got hundreds and hundreds of people opening chapters across the U.S.
[02:17:55.852 --> 02:17:58.415]  and Canada on Hugs Over Masks.
[02:17:58.415 --> 02:17:59.676]  HugsOverMasks.ca.
[02:17:59.676 --> 02:18:02.998]  And by the way, let's just hear the sound of a car wreck or a record skipping.
[02:18:02.998 --> 02:18:06.001]  I should have opened this up because I knew that about you last time you were on.
[02:18:06.001 --> 02:18:07.903]  I've known you 20 plus years.
[02:18:07.903 --> 02:18:08.843]  You are leading.
[02:18:08.843 --> 02:18:13.848]  I mean, I see the speeches you give in Vegas and Europe where there's like a thousand doctors, 500 doctors.
[02:18:13.848 --> 02:18:14.848]  You are leading.
[02:18:15.632 --> 02:18:23.880]  The fight with Dr. Russell Blaylock and others, who I know have given big speeches, to get the healthcare experts mobilized to not be part of this big tyranny.
[02:18:23.880 --> 02:18:30.486]  And so that's really what's beautiful is, that's leading the charge against Gates and Big Pharma, and they just don't know what to do.
[02:18:30.486 --> 02:18:34.270]  When the public sees all these medical doctors censored, it really wakes them up, doesn't it?
[02:18:34.270 --> 02:18:36.532]  So talk about how critical that is, what you've been doing.
[02:18:37.816 --> 02:18:39.377]  Well, we really do.
[02:18:39.377 --> 02:18:43.340]  Our whole role at Baxter is really to educate the public.
[02:18:43.340 --> 02:18:47.063]  That's why this week is open enrollment for our boot camp course.
[02:18:47.063 --> 02:18:48.443]  We only offer it twice a year.
[02:18:48.443 --> 02:18:57.690]  So when you go to Baxter.com, you saw it on your screenshot there, that our open enrollment for our boot camp is this week.
[02:18:58.268 --> 02:18:58.808]  It will.
[02:18:58.808 --> 02:19:00.189]  We only offer it twice a year.
[02:19:00.189 --> 02:19:01.430]  We may not offer it again.
[02:19:01.430 --> 02:19:13.155]  The Boot Camp is an eight-week online educational program that will teach you what you need, not only what you need to know about vaccines and what you need to know about all this COVID-19 nonsense.
[02:19:13.155 --> 02:19:21.059]  We actually give you language training on how to communicate it, how to get it out to the public, how to get out of dicey situations.
[02:19:21.059 --> 02:19:23.420]  And for the first time ever, we're only, we
[02:19:24.781 --> 02:19:27.982]  We're actually doing a whole activist training.
[02:19:27.982 --> 02:19:31.763]  So people can go there, they can read everything about the boot camp.
[02:19:31.763 --> 02:19:37.605]  The next article down on Daxter is about the eight bonuses that you get when you enroll in the boot camp course.
[02:19:37.605 --> 02:19:39.326]  Boot camp starts September 26th.
[02:19:40.396 --> 02:19:47.902]  Every Thursday night we have an online Zoom class that we talk to everybody who's enrolled and we have a class discussion.
[02:19:47.902 --> 02:19:51.204]  And so there's all kinds of new content and everything.
[02:19:51.204 --> 02:19:54.446]  By the way, I'm getting goosebumps here because you've been one of the leading people exposing this now.
[02:19:54.446 --> 02:19:54.847]  The U.N.
[02:19:54.847 --> 02:19:59.630]  admits the front lines wobbly, vaccines are hurting people, there's a cover-up, nothing's tested.
[02:19:59.630 --> 02:20:01.431]  But I mean, I'm talking to the epicenter.
[02:20:01.431 --> 02:20:04.734]  You've been one of the main epicenters of this global awakening.
[02:20:05.334 --> 02:20:07.576]  Long before Robert F. Kennedy Jr.
[02:20:07.576 --> 02:20:09.218]  and I'm not taking credit away from him.
[02:20:09.218 --> 02:20:11.880]  I'm just saying people need to know the power of the individual.
[02:20:11.880 --> 02:20:17.245]  Did you ever think 20 plus years ago when you started seeing your patients hurt by vaccines that you would be a major leader in this?
[02:20:18.877 --> 02:20:19.658]  I didn't.
[02:20:19.658 --> 02:20:20.938]  I did not, Alex.
[02:20:20.938 --> 02:20:26.822]  In 20 years and 40,000 hours of my time, I really think I'm, I really am one of the leaders.
[02:20:26.822 --> 02:20:30.204]  And my whole point is trying to get people to wake up.
[02:20:30.204 --> 02:20:33.386]  No, we try to get people to ask simple questions.
[02:20:33.386 --> 02:20:42.271]  And I think that the good, some of the good news that came out of this whole COVID shutdown is that people are now critically examining the problems with vaccines.
[02:20:42.271 --> 02:20:45.033]  People that never even thought about questioning before.
[02:20:45.413 --> 02:20:56.020]  We now have over 60% of people saying, ah, I don't know, I'm either not going to take it or I'm going to maybe really soon... The majority of Chinese citizens are telling the government they won't do it.
[02:20:57.244 --> 02:20:58.485]  That's that's incredible.
[02:20:58.485 --> 02:20:59.866]  In a dictatorship.
[02:20:59.866 --> 02:21:03.148]  Let's come back and talk about that because what are they going to do now?
[02:21:03.148 --> 02:21:07.851]  Well, we see it's the COVID hoax is the whole vaccine hoax is collapsing last year.
[02:21:07.851 --> 02:21:08.952]  The U.N.
[02:21:08.952 --> 02:21:10.032]  admits it's a fraud.
[02:21:10.032 --> 02:21:12.674]  They have that meeting and then boom, this comes out.
[02:21:12.674 --> 02:21:13.895]  We'll be right back.
[02:21:13.895 --> 02:21:17.697]  The answer to 1984 is 1776.
[02:21:28.141 --> 02:21:32.483]  InfoWars has been banned.
[02:21:32.483 --> 02:21:32.943]  Arrested.
[02:21:32.943 --> 02:21:39.166]  Attacked and threatened.
[02:21:39.166 --> 02:21:42.487]  Because we are effective.
[02:21:42.487 --> 02:21:44.308]  The Great Awakening is here.
[02:21:44.308 --> 02:21:46.609]  Go to Banned.Video.
[02:21:46.609 --> 02:21:50.731]  Download the videos and share.
[02:21:50.731 --> 02:21:54.393]  Support the Information War at InfoWarsStore.com
[02:21:58.032 --> 02:21:59.955]  And never give up the fight.
[02:21:59.955 --> 02:22:01.377]  InfoWars.com
[02:22:14.349 --> 02:22:17.772]  I don't want to be right about this prediction.
[02:22:17.772 --> 02:22:20.454]  In fact, it's not a prediction.
[02:22:20.454 --> 02:22:22.676]  It is a forecast.
[02:22:22.676 --> 02:22:39.932]  If we continue down the economic road we're on globally with the ongoing COVID-19 lockdowns and the structure of productivity, it will continue to accelerate these ripple effects that are breaking down supply chains that will starve tens of millions of additional people in the third world and destroy decades of human infrastructure.
[02:22:40.692 --> 02:22:41.353]  That's been built.
[02:22:41.353 --> 02:22:48.321]  It will annihilate the funding of that and put the entire first world in even deeper debt, which we're being maneuvered into.
[02:22:48.321 --> 02:22:59.454]  So I really think the smart move is to end all these lockdowns immediately and prosecute the people that launched the giant COVID scam, the giant COVID con game.
[02:22:59.454 --> 02:23:00.915]  There's really just a big power grab.
[02:23:01.536 --> 02:23:07.200]  But, in case we can't reverse all this, we better start digging in and getting storable food, and getting prepared to be self-sufficient.
[02:23:07.200 --> 02:23:09.961]  Because that's the name of their game, is to make us dependent on them.
[02:23:09.961 --> 02:23:13.083]  So get self-sufficient now, in fullwars.com.
[02:23:13.083 --> 02:23:15.945]  Ignorance does not equal bliss.
[02:23:15.945 --> 02:23:19.728]  Ignorance equals slavery.
[02:23:19.728 --> 02:23:27.032]  If you're ignorant, walking through a field at night, that there's a six-foot pole up ahead, you're gonna step in it and probably break your ankle.
[02:23:27.032 --> 02:23:28.293]  Or maybe worse.
[02:23:28.293 --> 02:23:30.715]  Well, it's the same thing happening to human civilization.
[02:23:31.578 --> 02:23:40.123]  The industrialized age really empowered humanity in many respects, but also took us away from the land and made us very, very domesticated and very, very easy to manipulate.
[02:23:40.123 --> 02:23:44.425]  And now corruption and predatory activity can hide behind that complexity.
[02:23:44.425 --> 02:23:55.831]  Now I know what's going on behind the complexity because I go read what the UN and the Rockefeller Foundation and the Davos Group and the Bilderberg Group and all their subsidiaries, like the Club of Rome, say.
[02:23:55.831 --> 02:23:58.133]  So I know exactly what's going on.
[02:23:59.093 --> 02:24:06.078]  Not because I'm even that cool or special a person, but I actually want to be empowered and informed because I'm a history buff.
[02:24:06.078 --> 02:24:08.680]  I know that those that don't know history are doomed to repeat it.
[02:24:08.680 --> 02:24:09.840]  The globalists think you're stupid.
[02:24:09.840 --> 02:24:16.385]  They laugh at you because you won't research their own admissions.
[02:24:16.385 --> 02:24:19.006]  You're listening to the Alex Jones Show.
[02:24:31.581 --> 02:24:32.201]  The Alex Jones Show!
[02:24:32.201 --> 02:24:36.804]  ...leading a frontal assault on the lies of the New World Order.
[02:24:36.804 --> 02:24:38.465]  It's Alex Jones.
[02:24:38.465 --> 02:24:42.187]  Because there's a war on for your mind, Dr. Sherry Tinpette is our guest.
[02:24:42.187 --> 02:24:50.872]  When I start the next hour, I'm going to do a couple segments on the founders of BLM saying we're conducting witchcraft.
[02:24:50.872 --> 02:24:52.493]  There's video of this.
[02:24:52.493 --> 02:24:54.995]  The killing of people gives us power.
[02:24:54.995 --> 02:24:58.237]  This is Jim Jones, Charlie Manson,
[02:24:59.994 --> 02:25:02.495]  Hillside strangler cuckoo stuff.
[02:25:02.495 --> 02:25:03.936]  But this is all breaking.
[02:25:03.936 --> 02:25:05.537]  It's coming up next hour.
[02:25:05.537 --> 02:25:06.457]  And the spiritual fight.
[02:25:06.457 --> 02:25:12.040]  Trump has come out and pointed out Biden constantly gropes little kids and women and does bizarre stuff.
[02:25:12.040 --> 02:25:14.942]  Trump said he's taking the gloves off after the fake Atlantic article.
[02:25:14.942 --> 02:25:16.623]  We'll play that video clip.
[02:25:16.623 --> 02:25:18.544]  It's posted on Infowars.com.
[02:25:18.544 --> 02:25:19.484]  We start the next hour.
[02:25:19.484 --> 02:25:24.967]  President Trump highlights Biden's creepy groping with hashtag pedo Joe tweet.
[02:25:24.967 --> 02:25:25.787]  And so much more.
[02:25:25.787 --> 02:25:28.369]  That's coming up with Dr. Sherry Tinpenny.
[02:25:29.329 --> 02:25:31.850]  Obviously, the power structure knows there's a global awakening.
[02:25:31.850 --> 02:25:32.930]  They want to lock things down.
[02:25:32.930 --> 02:25:34.171]  They want a global depression.
[02:25:34.171 --> 02:25:37.352]  The head of the Deimos Group says this is a global reset.
[02:25:37.352 --> 02:25:38.653]  So you brought up a hundred points.
[02:25:38.653 --> 02:25:39.693]  They've all been fascinating.
[02:25:39.693 --> 02:25:44.055]  As a medical doctor, as a leader in exposing this, I'm going to shut up for the next nine minutes.
[02:25:44.055 --> 02:25:45.035]  You've got the floor.
[02:25:45.035 --> 02:25:51.718]  Get into all the subjects, all the points, the mask, why you think Trump's saying, oh, I've got this vaccine instead of that.
[02:25:51.718 --> 02:25:53.798]  You've got the floor, unfiltered, uncensored.
[02:25:53.798 --> 02:25:55.219]  Go ahead.
[02:25:55.219 --> 02:25:56.159]  Well, thank you, Alex.
[02:25:56.159 --> 02:25:56.940]  Thank you so much.
[02:25:58.587 --> 02:26:02.312]  You're absolutely right in everything that you said today and what you've been saying.
[02:26:02.312 --> 02:26:10.542]  You know, masks are the first... I believe there's probably three categories of people with masks.
[02:26:10.542 --> 02:26:13.105]  The obedient people that just shut up and do what they're told.
[02:26:13.105 --> 02:26:14.747]  And then there's the people that are compliant.
[02:26:15.009 --> 02:26:19.233]  That they're doing it, even though they know that something's right, not right, and they don't want to do it.
[02:26:19.233 --> 02:26:21.295]  But they're kind of doing it right now just to get along.
[02:26:21.295 --> 02:26:25.360]  And then there's the people who are forced to do it, like people for their employment.
