[00:00.000 --> 00:01.020]  In the conditioning!
[02:41:53.140 --> 02:41:56.820]  they said listen we think your stuff's a little strong you know the FDA says you can do this
[02:41:56.820 --> 02:42:01.780]  you should put in two different types of iodine for tri iodine to make sure all of it's absorbed
[02:42:01.780 --> 02:42:07.220]  i could have had x3 be x2 and be the same crystals i really thought it would be better
[02:42:07.220 --> 02:42:13.460]  because i was told so doesn't matter you want x2 you get x2 it is stronger be careful
[02:42:15.140 --> 02:42:21.060]  the point is x3 free bottle you get a bottle of x2 and i'm going to explain to you again
[02:42:21.060 --> 02:42:26.020]  all your hormones everything is built off this this is the missing link this is the engine
[02:42:26.020 --> 02:42:31.380]  just like oxygen just like water this is it you're like well i got oxygen i got water
[02:42:31.380 --> 02:42:36.900]  yeah you don't have clean iodine we have it nobody else has it the special just got launched
[02:42:36.900 --> 02:42:41.460]  no reviews yet thousands of five star reviews for the product separately get it today at info
[02:42:41.460 --> 02:42:46.980]  war store dot com or triple eight two five three three one three nine and you are funding the war
[02:42:46.980 --> 02:42:52.820]  machine committed people who won't back down who won't get in but if you don't support us if we
[02:42:52.820 --> 02:43:02.900]  could give out brain force plus is a top tier new tropic focused clarity energy but instead of
[02:43:02.900 --> 02:43:09.300]  having a seven times markup we have a hundred and fifty percent markup right now it's massively
[02:43:09.300 --> 02:43:15.860]  discounted and when you get a bottle of it at 25 percent off you get a free bottle of what is our
[02:43:15.860 --> 02:43:20.580]  total best seller it's not very profitable because we give it at such a low price but it's
[02:43:20.580 --> 02:43:25.620]  amazing and that of course is knockout the ultimate sleep aid so we've got a way to energize you ramp
[02:43:25.620 --> 02:43:30.500]  you up in a healthy way during the day and put you deep into that restful healthy sleep at night
[02:43:30.500 --> 02:43:36.740]  it's the brain force and knockout combo deal 25 percent off brain force and a free bottle
[02:43:36.740 --> 02:43:42.020]  of knockout together right now get the combo and experience both these great products today
[02:43:42.020 --> 02:43:47.620]  take advantage of it and fund the info or info wars life dot com for store dot com the brain force
[02:43:47.620 --> 02:43:52.660]  plus knockout combo right now get your free bottle today at info or store dot com
[02:43:55.140 --> 02:43:58.900]  whether you're looking to boost the benefits of our official oil formula or just want an
[02:43:58.900 --> 02:44:04.820]  alternative info wars life has the formula for you ultimate krill oil is a powerhouse formula
[02:44:04.820 --> 02:44:10.660]  that takes advantages of the epa dha and omega-3 is found in our high quality ultra pure krill oil
[02:44:10.660 --> 02:44:16.740]  concentrate containing powerful antioxidants such as astaxanthin and omega-3's ultimate krill oil
[02:44:16.740 --> 02:44:22.580]  can help you experience the benefits of fish oil with less required dha and epa this incredible
[02:44:22.580 --> 02:44:27.700]  formula can help your body in many ways including supporting heart health join health and cognitive
[02:44:27.700 --> 02:44:33.220]  health aiding and regulating fat metabolism helping to maintain cognitive function and more
[02:44:33.220 --> 02:44:37.700]  and while other krill oil formulas may chemically modify their formulas we're giving you the
[02:44:37.700 --> 02:44:42.820]  benefits of a simple formula that contains unmodified high quality krill oil concentrate
[02:44:42.820 --> 02:44:47.780]  paired with our ultimate fish oil or use separately it's time to see what krill oil can do for you
[02:44:47.780 --> 02:44:51.860]  with ultimate krill oil now available at info wars store dot com
[02:44:56.260 --> 02:45:02.900]  stacey in the great state of texas in fema region six you're on the air worldwide stacey
[02:45:02.900 --> 02:45:06.980]  it's a talk to you um before i get into what i want to say i just want to let you know that i
[02:45:06.980 --> 02:45:11.220]  don't normally take vitamins at all i was turned on to the ultimate female force i looked at all
[02:45:11.220 --> 02:45:15.860]  the ingredients and they're all organic root things like that that i trust you know because
[02:45:15.860 --> 02:45:19.860]  i've seen a lot of other vitamins they don't have things that they say that they have in them and
[02:45:19.860 --> 02:45:23.140]  they're often not things that are natural i appreciate that well what happened with ultimate
[02:45:23.140 --> 02:45:26.900]  female force tell us about it well it's really great you know it's like a multi vitamin i take it
[02:45:26.900 --> 02:45:31.620]  it tastes good it doesn't have that nasty aftertaste it actually has kind of a pleasant aftertaste and
[02:45:31.620 --> 02:45:35.060]  you know it just gives me energy and fuels me throughout the day so i really like it well
[02:45:35.060 --> 02:45:39.540]  just so you know we look at whatever the best herbs are they're known to turbo charge women
[02:45:39.540 --> 02:45:46.100]  and then we get the organic ones and put it in it so yeah stamina libido energy these are amazing
[02:45:46.100 --> 02:45:51.380]  things and ultimate female force so i'm glad you plugged it in four store dot com or triple eight
[02:45:51.380 --> 02:45:58.820]  two five three three one three nine i want to say brain force is great i want to say
[02:45:58.820 --> 02:46:05.380]  turbo force is amazing it is but if you took it with fish oil it's like the fish oil is it
[02:46:05.380 --> 02:46:09.700]  the fish oil is better than it and that's an example of what i'm talking about fish oil is
[02:46:09.700 --> 02:46:15.700]  liquid energy brain body heart the cleanest the best out there you've got the children's you've
[02:46:15.700 --> 02:46:19.780]  got the adults you've got the krill oil if you're gonna get the full effect the fish oil and the
[02:46:19.780 --> 02:46:23.940]  children's are really strong they don't give you the burpees but krill oils is the best and it'll
[02:46:23.940 --> 02:46:27.780]  give you the damn burps and i'm sorry you want something like this you don't get stuff for free
[02:46:27.780 --> 02:46:32.500]  the krill is hallucinogenic it's so good in my view i'm not a medical statement here but let me
[02:46:32.500 --> 02:46:37.220]  tell you something i eat five capitalets of krill oil before i go to bed i'm seeing santa claus
[02:46:37.220 --> 02:46:48.420]  that night so your brain is made basically out of what fish oil is so we don't make a big profit
[02:46:48.420 --> 02:46:52.420]  off of it but you notice i just obsessed because whatever the best is we've got i just can't lie
[02:46:52.420 --> 02:47:08.340]  to you i just can't do it you're listening to the alex jones show
[02:47:08.340 --> 02:47:26.340]  well you've got your diamonds and you've got your pretty clothes and the chauffeur drives
[02:47:26.340 --> 02:47:39.540]  your cars you let everybody know but don't play with me because you're playing with fire oh the
[02:47:39.540 --> 02:48:05.700]  angie will say they're going to target conservatives at their homes all right millie we were joining
[02:48:05.700 --> 02:48:09.700]  this her and the great katlyn bennett have been out following incredible reports info wars dot
[02:48:09.700 --> 02:48:13.460]  com and news wars dot com and you got to go to their youtube channels they're their own reporters
[02:48:13.460 --> 02:48:21.700]  as well they just do work for us and there's like an hour of video there's a showing by might have
[02:48:21.700 --> 02:48:26.420]  had 400 people she's got that exclusive footage we got to get an article out about that they've
[02:48:26.420 --> 02:48:29.940]  got them trying to arrest katlyn bennett for no reason again last time that happened two weeks
[02:48:29.940 --> 02:48:35.060]  ago i've got 50 million views except for that now uh there's all this insanity so we're gonna tom
[02:48:35.060 --> 02:48:39.540]  pappard's coming up about 15 to the next hour one of our tv station managers great talk show host
[02:48:39.540 --> 02:48:44.260]  but he's happy to let us take over because i got millie on late millie um this is his first big
[02:48:44.260 --> 02:48:48.900]  rally in ohio his second rally his first rally i know he had part of his brain removed from a
[02:48:48.900 --> 02:48:52.740]  stroke he had i'm not making jokes about that i've had family dies strokes i don't even wish
[02:48:52.740 --> 02:48:57.620]  any harm upon biden even though he's a globalist trader uh but i'm sure you saw him slurring his
