[00:00.000 --> 00:11.000]  There is a lot of controversy around this network about Alex Jones, for example.
[2:42:28.360 --> 2:42:31.760]  loyalty thing, if they hate America when they get rid of the sovereignty, that's why they
[2:42:31.760 --> 2:42:37.600]  go on the news and go, a nation existing is evil, we must get rid of it, anyways, Washington's
[2:42:37.600 --> 2:42:42.720]  with an s reserve dot com, get it today and funding info war, it's amazing, just go research
[2:42:42.720 --> 2:42:48.400]  yourself from salves to lip salves to shampoo to the CBD oils, it's all there, everything
[2:42:48.400 --> 2:42:52.200]  hemp, the highest quality info war store dot com also has links to it, stay with us,
[2:42:52.200 --> 2:42:54.160]  we'll be back with your calls.
[2:42:54.160 --> 2:42:59.800]  It's really hard to have the energy at the end of the day to still get to the gym or
[2:42:59.800 --> 2:43:05.120]  to go for a run or go to the park or heck even take your dog for a walk, believe me, I know,
[2:43:05.120 --> 2:43:10.000]  I spend hours in front of a screen and then hours in front of bright lights every day,
[2:43:10.000 --> 2:43:15.800]  but thanks to supermail vitality at infowarstore.com, I still have that energy, there's no way
[2:43:15.800 --> 2:43:20.240]  I could have the energy at the end of a long day, to fight back against the chemicals and
[2:43:20.240 --> 2:43:24.480]  the food and water, to fight back against the modern day lifestyle with the screen time
[2:43:24.480 --> 2:43:29.800]  and the extended hours, to still have the stamina and endurance, energy and drive to
[2:43:29.800 --> 2:43:35.880]  get to the gym, get to the park and get exercise that you need for your health.
[2:43:35.880 --> 2:43:40.360]  So go to infowarstore.com and get supermail vitality before it's gone, this is actually
[2:43:40.360 --> 2:43:47.280]  our last run of supermail vitality, so I want you to experience supermail vitality before
[2:43:47.280 --> 2:43:55.720]  it's too late, unleash the supermail and use supermail vitality at infowarstore.com.
[2:43:55.720 --> 2:44:00.880]  Fueling your body is hard work, that's why we've introduced the info wars life daily
[2:44:00.880 --> 2:44:06.040]  digestive pack to help you fuel it right, combine flora life everyday maintenance and
[2:44:06.040 --> 2:44:11.000]  carnivore to help you fuel your gut and body and take advantage of the powerful nutrients
[2:44:11.000 --> 2:44:16.880]  you receive, there's no better way to power your body, flora life is a powerful probiotic
[2:44:16.880 --> 2:44:23.040]  supplement with 20 of the most potent clinically study probiotic strains, when paired with carnivore
[2:44:23.040 --> 2:44:28.120]  our incredible enzyme formula that helps you break down nutrients, these formulas fuel your
[2:44:28.120 --> 2:44:33.680]  gut and your body to help you fight toxins and stay fueled all day, these incredible
[2:44:33.680 --> 2:44:38.760]  formulas can help keep your body in tip top shape in the fight against stress, age and
[2:44:38.760 --> 2:44:44.440]  outside toxins, there's no better time to try flora life and carnivore to see how well
[2:44:44.440 --> 2:44:49.400]  they can support your body, don't miss out on the chance to fuel your body and support
[2:44:49.400 --> 2:44:56.640]  recovery, try the info wars life daily digestive pack today.
[2:44:56.640 --> 2:45:03.480]  Defeat the globalist, hashtag alex jones, defeat the pedophiles, hashtag alex jones,
[2:45:03.480 --> 2:45:09.600]  defeat alexander cortez and her mindless idiocy with hashtag alex jones, defeat the sensors
[2:45:09.600 --> 2:45:14.600]  with hashtag alex jones, they've tried to ban us off every platform out there but we've
[2:45:14.600 --> 2:45:21.720]  just gotten stronger because you've taken action with hashtag alex jones, I am patient
[2:45:21.720 --> 2:45:26.560]  zero in the massive banning but you can override the sensors now and if all of our audience
[2:45:26.560 --> 2:45:31.880]  gets involved with hashtag alex jones we are unstoppable together, we've already changed
[2:45:31.880 --> 2:45:38.200]  the world together with our laser focus do it again with hashtag alex jones on twitter
[2:45:38.200 --> 2:45:43.240]  on facebook on google on youtube everywhere call and talk radio c span shout it out loud
[2:45:43.240 --> 2:45:49.960]  in public hashtag alex jones, that's the rallying cry to restore the first amendment.
[2:45:49.960 --> 2:45:56.560]  Creativity and the dynamic human spirit that refuses to submit.
[2:45:56.560 --> 2:46:01.000]  We all know the importance of fish oils, while we are sure to provide them for ourselves
[2:46:01.000 --> 2:46:06.280]  it's just as important to make sure your kids get their EPA and DHA too, honor roll is the
[2:46:06.280 --> 2:46:12.320]  powerful DHA fish oil formula for your child, built from the ground up to support your child's
[2:46:12.320 --> 2:46:18.720]  development, this formula uses wild anchovy fish oil, ultra purified krill oil and wild
[2:46:18.720 --> 2:46:23.840]  salmon fish oil with vitamins to boost your child's mind and body, with this fish oil
[2:46:23.840 --> 2:46:29.400]  formula you can support your child's optimal heart, joint, cognitive and brain health while
[2:46:29.400 --> 2:46:35.120]  providing DHA which has been shown to be essential for your child's brain growth spurts, built
[2:46:35.120 --> 2:46:41.440]  on powerful ingredients with 580 milligrams of high DHA omega 3's, this formula is highly
[2:46:41.440 --> 2:46:46.600]  refined to eliminate nearly all heavy metals, if you're looking for a formula to help your
[2:46:46.600 --> 2:47:06.080]  child grow, look no further, try honor roll from InfowarsLife at InfowarsStore.com.
[2:47:06.080 --> 2:47:28.520]  Here's the President last week and then just yesterday.
[2:47:28.520 --> 2:47:33.600]  Have you considered using emergency powers to grant yourself authorities to build this
[2:47:33.600 --> 2:47:39.760]  wall without congressional approval and second on Mexico, you have, yes I have and I can
[2:47:39.760 --> 2:47:41.120]  do it if I want.
[2:47:41.120 --> 2:47:45.240]  So you don't need congressional approval to build this, absolutely we can call a national
[2:47:45.240 --> 2:47:49.880]  emergency because of the security of our country, absolutely, no we can do it, I haven't
[2:47:49.880 --> 2:47:55.360]  done it, I may do it, I may do it but we can call a national emergency and build it very
[2:47:55.360 --> 2:48:01.920]  quickly and it's another way of doing it but if we can do it through a negotiated process
[2:48:01.920 --> 2:48:03.400]  we're giving that a shot.
[2:48:03.400 --> 2:48:06.000]  So is that a threat hanging over the Democrats?
[2:48:06.000 --> 2:48:10.400]  I've never threatened anybody but I am allowed to do that, yes.
[2:48:10.400 --> 2:48:15.240]  No we're looking at a national emergency because we have a national emergency, just
[2:48:15.240 --> 2:48:21.960]  read the papers, we have a crisis at the border of drugs, of human beings being trafficked
[2:48:21.960 --> 2:48:27.520]  all over the world, they're coming through and we have an absolute crisis and of criminals
[2:48:27.520 --> 2:48:34.840]  and gang members coming through, it is national security, it's a national emergency.
[2:48:34.840 --> 2:48:38.240]  Now folks I told you months ago and I told you last week he's going to declare a national
[2:48:38.240 --> 2:48:42.680]  emergency because we're in one and that will fix the border problem to a great extent and
[2:48:42.680 --> 2:48:49.000]  it'll also remove the Obama operatives and that's why he's already done it, you saw the
[2:48:49.000 --> 2:48:53.280]  head of the World Bank go, the US controls that, Trump is exercising its power.
[2:48:53.280 --> 2:48:58.200]  The one thing the Democrats are scared of, shift doesn't look so smart now, I was watching
[2:48:58.200 --> 2:49:05.000]  during the break CNN, suddenly Pelosi's praising Trump and wants to be friends, they thought
[2:49:05.000 --> 2:49:09.760]  they had him totally bamboozled, they could walk him in America in front of a damn firing
[2:49:09.760 --> 2:49:14.400]  squad, he's not declaring the emergency to be in an emergency, he's declaring it to
[2:49:14.400 --> 2:49:20.600]  have the powers to remove the face suckers Obama put in, what Trump calls the embedded
[2:49:20.600 --> 2:49:25.680]  Obama people in his administration, I call them stay-behind networks because that's what
[2:49:25.680 --> 2:49:35.520]  they are in the CIA manuals, again they want me off the air folks because I do study and
[2:49:35.520 --> 2:49:40.400]  I'm not bragging here, but it's like I'm trying to teach a bunch of young people how to shoot
[2:49:40.400 --> 2:49:44.240]  a rifle and I can shoot bullseye at a thousand yards, I'm going to show them I can do that
[2:49:44.240 --> 2:49:50.080]  so they listen to me and I can shoot bullseye at a thousand yards and I can also tell you
[2:49:50.080 --> 2:49:55.000]  how these globalists operate, I know what I'm talking about and I know the general
[2:49:55.000 --> 2:49:58.960]  audience gets that but you need to be confident around your friends and family because we're
[2:49:58.960 --> 2:50:04.720]  in a damn emergency, this country's fighting for its life, I told you the Chai comms were
[2:50:04.720 --> 2:50:08.800]  going to start threatening war because they work with the deep state in this country that
[2:50:08.800 --> 2:50:12.920]  deserve to be hung from their damn necks, you think I want to get up here and talk like
[2:50:12.920 --> 2:50:18.240]  that, that's all I can do to be honorable, these people are traitors and if you don't
[2:50:18.240 --> 2:50:22.480]  meet them at that level they're going to eat our lunch, we've got to stop being a bunch
[2:50:22.480 --> 2:50:27.560]  of candy asses here and admit where we are, okay I'm going to your calls, I'm going to
[2:50:27.560 --> 2:50:31.000]  take calls a few segments and Joe Sloan is coming up, I'm going to play my emergency
[2:50:31.000 --> 2:50:35.920]  broadcast, I guess I did it Friday, I stayed here late Friday, this Friday night, I bet
[2:50:35.920 --> 2:50:39.360]  how Trump prepares the public for a national emergency, it's very key where I lay out the
[2:50:39.360 --> 2:50:43.440]  case, I know the president and the White House, I know the White House watching it, his advisers
[2:50:43.440 --> 2:50:46.840]  watched it, we got it to him but they already know all this stuff, it's just that the president
[2:50:46.840 --> 2:50:52.480]  needs to know we support him and understand what's going on, let's go to your calls,
[2:50:52.480 --> 2:50:56.000]  Alex in Montana, thanks for holding it on the air worldwide, go ahead.
[2:50:56.000 --> 2:51:04.680]  Hi, yeah, I definitely am in support of Donald Trump, definitely think he should do it and
[2:51:04.680 --> 2:51:13.680]  definitely have his back if anybody tries to disagree stop him, I'm also planning, I
[2:51:13.680 --> 2:51:17.720]  lost my job in the government shutdown, so I don't really not doing anything right now,
[2:51:17.720 --> 2:51:23.320]  so I'm selling all my stuff that I have and I'm going to go to Washington D.C., they're
[2:51:23.320 --> 2:51:29.160]  taking me up a couple of weeks to get the money together, I'm a broke joke but I'm definitely
[2:51:29.160 --> 2:51:34.120]  going to be going down there, I'm going to be protesting the Democrats, telling them
[2:51:34.120 --> 2:51:38.280]  that demanding that we need to get these communists and socialists out of our government.
[2:51:38.280 --> 2:51:42.400]  You know that's the smartest thing I've heard Alex, we need to be peaceful, we need to have
[2:51:42.400 --> 2:51:46.880]  eyes and ears to watch for procters, the Democrats say if Trump tries to stop the open borders
