[00:00.000 --> 00:02.000]  the media.
[2:31:46.280 --> 2:31:48.760]  the Info War today.
[2:31:48.760 --> 2:31:52.920]  Hello I'm Dr. Leonard Horowitz, author of 15 books on health and natural healing. Vaccines
[2:31:52.920 --> 2:31:57.880]  included medicines kill more people every year than any illness. The cost of drug side effects
[2:31:57.880 --> 2:32:03.520]  in America is more than $200 billion annually with the worst toll taken by antibiotics. But
[2:32:03.520 --> 2:32:07.860]  there is a cure for this medical madness that has remained secret. Oxysilver, developed
[2:32:07.860 --> 2:32:13.120]  by NASA scientists to keep astronauts healthy, is an evolutionary new dietary supplement making
[2:32:13.120 --> 2:32:18.520]  deadly vaccinations and antibiotics obsolete. Taking one to two teaspoons daily boosts natural
[2:32:18.520 --> 2:32:24.440]  immunity without drug toxicity. Oxysilver combines oxygen and silver in a new way. The oxygen
[2:32:24.440 --> 2:32:29.640]  becomes a supercharged germ killer freeing your immune system to fight colds, flus, cancers,
[2:32:29.640 --> 2:32:35.440]  and more. Build disease defenses naturally, painlessly, powerfully, safely, and inexpensively
[2:32:35.440 --> 2:32:46.760]  with oxysilver. Order your supply now by calling toll-free 1-877-817-9829. That's 1-877-817-9829.
[2:32:46.760 --> 2:32:49.760]  Do it now.
[2:32:49.760 --> 2:33:04.760]  Look at your young men fighting. Look at your women crying. Look at your young men dying.
[2:33:04.760 --> 2:33:26.760]  The way they've always done before. Look at the hay we're breeding. Look at the fear
[2:33:26.760 --> 2:33:43.760]  we're feeding. Look at the lives we're leading. The way we've always done before.
[2:33:43.760 --> 2:33:48.760]  All right folks, we are back. It is the Alex Jones show. Alex, of course, in Chantilly,
[2:33:48.760 --> 2:33:53.160]  Virginia at the Builderbird meeting. Hopefully he'll be checking in in the next hour. If
[2:33:53.160 --> 2:33:57.880]  you missed any of the first hour with Alex and Jim Tucker, we'll be replaying that on
[2:33:57.880 --> 2:34:04.080]  a loop over at infowars.com. But now we have a real treat for you. We have Daniel Estalon,
[2:34:04.080 --> 2:34:08.360]  who is a best-selling international author about the Builderbird group. The true story
[2:34:08.360 --> 2:34:12.920]  of the Builderbird group. You can get that over at infowars.com, and he's heavily featured
[2:34:12.920 --> 2:34:19.200]  in Alex Jones' documentary Endgame, also available at infowars.com. We've got him for
[2:34:19.200 --> 2:34:21.800]  the next 30 minutes. Daniel, how are you?
[2:34:21.800 --> 2:34:27.280]  I'm very well. Thank you. I'm so fortunate I can't attend this year's Builderbird conference
[2:34:27.280 --> 2:34:30.920]  because, as a matter of fact, I was told by friends in the United States to stay away
[2:34:30.920 --> 2:34:38.680]  and stay out. Apparently, your homeland security was repairing quite a welcome party for me,
[2:34:38.680 --> 2:34:44.680]  and we just felt it would be better for me to stay away. And Alex and Jim Tucker, to take
[2:34:44.680 --> 2:34:49.880]  care of it on the right there in CETO now, of course, have all the access to information
[2:34:49.880 --> 2:34:54.880]  through our sources at the Builderbird conference as it is taking place as we speak.
[2:34:54.880 --> 2:35:00.120]  Yeah, and this is the first time it's been in Chantilly, Virginia since 2002, and in
[2:35:00.120 --> 2:35:04.640]  2002, I believe that that was the first Builderbird meeting after 9-11. This is where they set
[2:35:04.640 --> 2:35:11.560]  the policy to go into Iraq in 2003, and I made the point earlier that by having it in
[2:35:11.560 --> 2:35:17.120]  Washington, D.C., it gives them a lot more access to military personnel, Washington insiders
[2:35:17.120 --> 2:35:21.840]  and bureaucrats within the system to stop by just for maybe a short conference or a
[2:35:21.840 --> 2:35:25.720]  short meeting and not have to attend the entire weekend. What do you think?
[2:35:25.720 --> 2:35:29.720]  Well, actually, the way it usually works, and I do have access to documents which I
[2:35:29.720 --> 2:35:34.600]  publish, some of these documents, internal Builderbird documents, in my book The True
[2:35:34.600 --> 2:35:38.240]  Story, the Builderbird Group. The people who attend, they're required to stay for the
[2:35:38.240 --> 2:35:45.440]  entire weekend. It was an exception in 2002 when the former Secretary of Defense Rumsfeld
[2:35:45.440 --> 2:35:52.320]  was invited, what was told, made it to appear, and literally at the biggest spot of the
[2:35:52.320 --> 2:35:57.040]  Builderburgers, the European and the American delegations, went at it, told the Americans,
[2:35:57.040 --> 2:36:02.240]  of course, won an immediate war, and the Europeans were terrified, especially with a galvanized
[2:36:02.240 --> 2:36:07.680]  effort from the people in Europe who said in mass, no to war, more than 100 million
[2:36:07.680 --> 2:36:13.080]  people there in 2002 came out to say no to war, and Rumsfeld called in, and basically
[2:36:13.080 --> 2:36:16.760]  he promised half of the president of the United States that the war was going to be
[2:36:16.760 --> 2:36:23.080]  postponed until 2003, as it was as Jim Tucker and I reported back in 2002. But again, the
[2:36:23.080 --> 2:36:27.480]  people who attend, they must stay for the entire conference. I have documents in my
[2:36:27.480 --> 2:36:32.560]  book which actually state to the attendees that they're required to stay from Thursday
[2:36:32.560 --> 2:36:36.880]  through Saturday to participate in all the debates and the discussions.
[2:36:36.880 --> 2:36:42.040]  So what do you think is on the agenda this year? Obviously, we have the presidential
[2:36:42.040 --> 2:36:48.880]  race over in the United States. We have the invasion of Iran on the table. We have skyrocketing
[2:36:48.880 --> 2:36:54.000]  gas prices. We even have food rationing going on now in this country in New York. They're
[2:36:54.000 --> 2:36:58.760]  limiting the amount of rice and wheat that you can buy in certain stores. Are these
[2:36:58.760 --> 2:37:02.880]  going to be the topics they're discussing, or am I missing something? What do you think?
[2:37:02.880 --> 2:37:09.480]  You know, you pretty much are. Again, I already have the atel d'alam here, about 10,000 kilometers
[2:37:09.480 --> 2:37:12.800]  away from where the meeting is being held. I already know what these people are going
[2:37:12.800 --> 2:37:18.520]  to be talking about. And again, the number one item is the bill for workers' view on
[2:37:18.520 --> 2:37:23.880]  China as an inevitable strategic threat. Now, the states are working at a very high. For
[2:37:23.880 --> 2:37:29.560]  bill to go, the threat is to maintain its position of power and its status as an unchallenged
[2:37:29.560 --> 2:37:34.760]  shadow world government on the one hand, and also on the other hand, wholesale destruction
[2:37:34.760 --> 2:37:40.200]  of the homogenous nation, which in this case is China. And for the Chinese, the survival
[2:37:40.200 --> 2:37:44.680]  of its one party communist rule. And of course, what we're witnessing right now, the high
[2:37:44.680 --> 2:37:50.800]  oil prices, which are predicted back in 2005 after the meeting in Rotterdam, Germany, when
[2:37:50.800 --> 2:37:55.600]  I said that the oil is going to go to about $150 a barrel. Again, it's all on the internet.
[2:37:55.600 --> 2:37:59.840]  People can see it. And it's also in the true story of the deliver group and one of my deliver
[2:37:59.840 --> 2:38:07.520]  reports. I said back in 2005 that oil is going to go by $2,009, $250 a barrel. Why? Why are
[2:38:07.520 --> 2:38:12.160]  they doing this? Because again, for the Chinese, the only way they can maintain their double
[2:38:12.160 --> 2:38:18.080]  digit growth is through cheap oil. When the oil goes through the roof, it is going through
[2:38:18.080 --> 2:38:23.120]  the roof right now. And it's only going to go higher as the European Central Bank also
[2:38:23.120 --> 2:38:27.920]  warned and the European Parliament. Of course, these both organizations are members of the
[2:38:27.920 --> 2:38:32.920]  Build a Burger Eater Circle. We're witnessing right now the intent by the Build a Burger
[2:38:32.920 --> 2:38:38.200]  Eater to destroy the Chinese. Of course, it's a very dangerous game because both the United
[2:38:38.200 --> 2:38:42.920]  States and the Chinese and also the Russians have nuclear weapons. And again, the Chinese
[2:38:42.920 --> 2:38:48.920]  know exactly what is being done to them because the same thing was done about 20 years ago
[2:38:48.920 --> 2:38:55.040]  to the Russians only in the opposite directions. They reduced the oil prices dramatically. And
[2:38:55.040 --> 2:39:00.640]  the Russian, the Soviet economy then crumbled into oblivion. Russians had oil. They couldn't
[2:39:00.640 --> 2:39:04.600]  sell it for a lot of money, so they had no money. Now they're doing exactly the opposite
[2:39:04.600 --> 2:39:09.840]  with Chinese because the Chinese have no oil and they literally have to import most of
[2:39:09.840 --> 2:39:15.080]  it from abroad. So by pushing it higher, by manipulating the markets, which is exactly
[2:39:15.080 --> 2:39:20.640]  what is being done right now, they're manipulating the markets to get the oil to go to $150
[2:39:20.640 --> 2:39:25.720]  a barrel. So forget about cheap oil, cheap gasoline. It's only going to get higher and
[2:39:25.720 --> 2:39:29.080]  it's only going to be more expensive.
[2:39:29.080 --> 2:39:35.080]  In December, you had discussed that these elites were very concerned with the movement
[2:39:35.080 --> 2:39:39.360]  behind Ron Paul and the freedom movement and the fact that he was quite a popular candidate.
[2:39:39.360 --> 2:39:45.280]  He now has had a No. 1 New York Times bestselling book. Is he going to be on the agenda? Are
[2:39:45.280 --> 2:39:49.560]  they going to be discussing Ron Paul, his followers, this freedom movement? Do you think
[2:39:49.560 --> 2:39:50.560]  that's going to be on the table?
[2:39:50.560 --> 2:39:58.160]  No. Again, these are global issues and the Ron Paul might be discussed somewhat during
[2:39:58.160 --> 2:40:03.480]  lunch conversation or after cocktails, but they're not going to wait until people find
[2:40:03.480 --> 2:40:08.760]  talking about Ron Paul. And also, to most people, Ron Paul is not an issue and to the
[2:40:08.760 --> 2:40:13.680]  people, especially the American representatives who may consider Ron Paul an issue, they will
[2:40:13.680 --> 2:40:18.160]  discuss it in closed-door meetings behind closed doors so that most people won't be
[2:40:18.160 --> 2:40:22.720]  able to even know what is being said in this country because, again, there's one, the Build-A-Bird
[2:40:22.720 --> 2:40:28.720]  Conference where 120, 125 people meet and they hear what everybody thinks and then you
[2:40:28.720 --> 2:40:34.800]  have the steering committee, the inner circle, which is about 50, 60 people who attend annually
[2:40:34.800 --> 2:40:41.240]  all of these conferences and, of course, the biggest decisions, the long-range decisions
[2:40:41.240 --> 2:40:46.440]  that affect humanity made from behind the scenes by the 50, 60 people who have been
[2:40:46.440 --> 2:40:49.880]  attending civil liberties for decades and not generations.
[2:40:49.880 --> 2:40:53.840]  Well, it's become evident in this country that this administration definitely wants
[2:40:53.840 --> 2:41:01.200]  to go to war with Iran. We've taken over Afghanistan. We've taken over Iraq. If we were able to
[2:41:01.200 --> 2:41:05.480]  establish a presence in Iran and go into that country, take it over, it seems like we would
[2:41:05.480 --> 2:41:10.880]  be that much closer to controlling a sort of Eurasian Union. I mean, we're already friends
[2:41:10.880 --> 2:41:17.040]  with Saudi Arabia. Pakistan is supposedly our ally. Obviously, Israel is our ally as
[2:41:17.040 --> 2:41:22.080]  well. If they're able to get into Iran, do you think that'll be on the agenda forming
[2:41:22.080 --> 2:41:24.200]  some sort of a union towards globalization?
[2:41:24.200 --> 2:41:30.200]  You know, in 2005, again, when they met in Germany, I said Iran wars are the table. I've
