[00:00:03.107 --> 00:00:04.067]  Altercation in St.
[02:02:05.157 --> 02:02:07.619]  Alpha Power for your stamina, libido, energy.
[02:02:07.619 --> 02:02:12.703]  Prostagard, Winsor Salt Palmetto, and a bunch of key vitamins and minerals for your immune system.
[02:02:12.703 --> 02:02:22.350]  And of course, Bazo Beets, concentrated beet extract to create nitrous oxide in your blood that's essential for your heart, and for your lungs, and especially for your liver.
[02:02:22.350 --> 02:02:29.396]  And this is great because with all the shutdowns and the lockdowns, it's been hard to get these products, and they're finally back in, and they're critical to funding our operation.
[02:02:29.396 --> 02:02:30.197]  Plus, they're great products.
[02:02:30.197 --> 02:02:31.578]  I want to thank you all for your support.
[02:02:31.578 --> 02:02:33.279]  Go to InfoWarsTore.com today
[02:02:33.659 --> 02:02:37.181]  And get your InfoWars life products while you still can.
[02:02:37.181 --> 02:02:43.944]  Vazo Beats, Prosteguard, Alpha Power, and of course, bodies, all back in stock now at InfoWarsStore.com.
[02:03:04.054 --> 02:03:06.077]  You're receiving this transmission.
[02:03:06.077 --> 02:03:08.160]  You are the resistance.
[02:03:08.160 --> 02:03:13.148]  If you are receiving this transmission, you are the resistance.
[02:03:13.148 --> 02:03:17.655]  Live from the InfoWars.com studios, it's Alex Jones.
[02:03:21.084 --> 02:03:25.607]  If a listener can find it, send it to ShowTipsAtInfoWars.com, because I can't, the crew can't.
[02:03:25.607 --> 02:03:30.310]  Because it used to, Google was so good, even stuff 10 years old, 15 years old, would come up.
[02:03:30.310 --> 02:03:34.273]  Now they just put their propaganda, no matter what the subject is, on top.
[02:03:34.273 --> 02:03:34.814]  It's worthless.
[02:03:34.814 --> 02:03:49.284]  DuckDuckGo works decent, but the big establishment sites and news sites flood everything with really corrupt level machine learning, search engine optimization, where their propaganda is
[02:03:50.305 --> 02:03:51.206]  Is in full bloom.
[02:03:51.206 --> 02:03:53.368]  You got to dig to find the truth now.
[02:03:53.368 --> 02:03:57.671]  But I remember it was in the ABC News of Australia.
[02:03:57.671 --> 02:03:58.612]  Yeah, my memory's pretty good.
[02:03:58.612 --> 02:04:01.314]  I was eating a Reuben sandwich during the break.
[02:04:01.314 --> 02:04:02.094]  I got a piece up my mouth.
[02:04:02.094 --> 02:04:05.977]  Sorry.
[02:04:05.977 --> 02:04:06.778]  Driving me crazy.
[02:04:06.778 --> 02:04:07.919]  Sorry, I'm back here.
[02:04:07.919 --> 02:04:09.760]  Alex Jones Show.
[02:04:09.760 --> 02:04:16.666]  And it was a major vaccine company and there was an anti-vaxxer doctor
[02:04:17.441 --> 02:04:22.763]  That was exposing SIDS infant, sudden death, sudden death infant syndrome.
[02:04:22.763 --> 02:04:27.425]  Because the Australian courts found that, yeah, SIDS was kids dying from vaccines.
[02:04:27.425 --> 02:04:31.707]  And then they would just say, oh, they must have suffocated when babies have always slept on their faces.
[02:04:31.707 --> 02:04:36.228]  That's their favorite way to sleep, is balled up like a little, little bug.
[02:04:36.228 --> 02:04:37.509]  And so it came out in Australian courts.
[02:04:37.509 --> 02:04:39.029]  So they were really pissed about this.
[02:04:39.029 --> 02:04:45.312]  And they said in a leaked email that came out via a lawsuit, we ought to just kill this doctor.
[02:04:46.181 --> 02:04:49.703]  They said we ought to neutralize them, and they emailed back and they said, what do you mean?
[02:04:49.703 --> 02:04:51.964]  Well, I mean, kill them!
[02:04:51.964 --> 02:04:56.526]  So, these big pharma companies are the most ruthless scumbags ever.
[02:04:56.526 --> 02:05:03.609]  It's like Frank Luntz, who I guess is, you know, roommates with, you know, those kind of Republicans.
[02:05:03.609 --> 02:05:08.851]  Most Republicans at that level, or that, you know, the type of grown men that live together.
[02:05:08.851 --> 02:05:12.933]  I mean, nothing against the fact that they obviously love each other a lot, are good friends.
[02:05:12.933 --> 02:05:14.394]  That's why Kevin McCarthy, I mean, look,
[02:05:15.493 --> 02:05:21.058]  John Boehner, Boehner, Kevin McCarthy, they're all neocon globalists bought and paid for.
[02:05:21.058 --> 02:05:24.901]  They got put into House leadership because they're compromised.
[02:05:24.901 --> 02:05:26.222]  Okay?
[02:05:26.222 --> 02:05:29.604]  And so, the fact that Frank Luntz is a
[02:05:31.624 --> 02:05:37.609]  Weirdo pervert obsessed with Bill Clinton's furniture that he had sex with women on.
[02:05:37.609 --> 02:05:38.690]  He has it in his bedroom.
[02:05:38.690 --> 02:05:39.631]  He gives tours.
[02:05:39.631 --> 02:05:41.332]  Look, Bill Clinton used to sit on this.
[02:05:41.332 --> 02:05:45.035]  And here's Bill Clinton's cigar box that he had Monica Lewinsky with.
[02:05:45.035 --> 02:05:46.757]  I mean, it's really gross.
[02:05:46.757 --> 02:05:49.399]  So that's the type of weirdo perverts we're dealing with.
[02:05:49.399 --> 02:05:52.161]  That's a whole separate issue to their roommates, OK?
[02:05:52.161 --> 02:05:55.103]  And if they share a marital bed, I mean, you know, that's legal in D.C.
[02:05:55.103 --> 02:05:56.224]  They should get married.
[02:05:56.224 --> 02:05:58.486]  But look, I'm not saying they're Marco Rubio at bubble parties.
[02:05:58.486 --> 02:05:59.467]  That's a joke, OK?
[02:05:59.467 --> 02:06:00.508]  The point is, is that
[02:06:01.544 --> 02:06:16.207]  The issue here is that he lobbied to demonize those dying from Oxycontin and said that this is not an issue of addiction, it's an issue of abuse.
[02:06:16.207 --> 02:06:25.929]  When the company that he worked for designed Oxycontin to addict people, and then they had a drug later they were going to give them to get them off the addiction.
[02:06:25.929 --> 02:06:27.570]  And you know what Oxycontin did to Rush Limbaugh?
[02:06:27.570 --> 02:06:29.630]  It killed probably millions of people, they estimate.
[02:06:31.309 --> 02:06:37.690]  So, that's the type of scum we're talking about with Big Pharma.
[02:06:37.690 --> 02:06:41.411]  And they're all just weirdos, ladies and gentlemen.
[02:06:41.411 --> 02:07:00.414]  If you think I'm joking, I was not joking about Frank Luntz having a model of the Oval Office at his house, and then the Lincoln Bedroom is next door to it, where he has his business meetings, and he's bragging, look, this is the couch that Bill Clinton had, and this is his cigar case, oh, he touched this, ooh!
[02:07:01.590 --> 02:07:08.958]  And then you learn Kevin McCarthy rents a room from him at his house.
[02:07:08.958 --> 02:07:10.840]  Look at Frank Luntz, he looks like Brian Stelter.
[02:07:10.840 --> 02:07:14.524]  I mean, look, I'm not saying Frank Luntz is a pedophile, okay?
[02:07:15.922 --> 02:07:31.445]  I'm just saying, if I was going to cast somebody for a Hollywood movie of, say, guys that kidnap kids, if I was going to make a movie about Penn State and about Sandusky and his assistants, I would hire Frank Luntz and I would hire Brian Stelter to play the part of child kidnappers.
[02:07:31.445 --> 02:07:34.706]  I mean, I'm just saying, that's my choice as a director.
[02:07:34.706 --> 02:07:38.067]  I think they look very believably scary.
[02:07:38.067 --> 02:07:40.908]  I think James Carvel looks like a pedophile.
[02:07:40.908 --> 02:07:42.588]  I'm not saying James Carvel is a pedophile.
[02:07:44.464 --> 02:08:01.650]  I am saying that I would also hire one of the Podesta brothers, the one that was in the 2007 Wall Street Journal, saying that he loves little children and that has all these, quote,
[02:08:08.502 --> 02:08:09.022]  I don't know.
[02:08:38.232 --> 02:08:41.015]  I don't know, maybe vampires that eat children?
[02:08:41.015 --> 02:08:43.918]  But see, we don't need to talk about fiction.
[02:08:43.918 --> 02:08:47.142]  Oh, we got plenty of the real stuff coming up here in just a moment.
[02:08:47.142 --> 02:08:49.725]  But I digress.
[02:08:49.725 --> 02:08:52.508]  Why do I mention that before I hit this economic news?
[02:08:53.399 --> 02:09:02.124]  Well, the reason I hit this is, overhead shot please, this is Mercola.com, it's also posted on InfoWars.com in the live show feed area, I suggest you go read it.
[02:09:02.124 --> 02:09:14.291]  Because I'm not joking, it's the Bill and Melinda Gates Foundation spokespersons saying we want to use the military and CIA in counter-terrorism and we need to arrest all these people and we need to do more and frustrate them like they are a foreign enemy.
[02:09:15.436 --> 02:09:31.363]  So in all these other countries, they've banned the Pfizer shot, the Moderna shot in India, China, and areas of Europe, and the AstraZeneca, and they had to pull one of the main vaccines in Australia because it was giving people false positives for HIV, because it was the attenuated virus, and that is part HIV.
[02:09:31.363 --> 02:09:36.825]  It's a welded, you know, data-function virus that we know Fauci cooked up at the lab.
[02:09:36.825 --> 02:09:42.448]  But the part I forgot about this is they say in here, anyone saying it came out of Wuhan,
[02:09:43.365 --> 02:09:43.885]  Period!
[02:09:43.885 --> 02:09:57.594]  Not just that it leaked, or they did it on purpose, which is what even the former Director Redfield of the CDC says should also be arrested, or it says, neutralized by the Pentagon.
[02:09:57.594 --> 02:09:59.095]  Wow!
[02:09:59.095 --> 02:10:01.436]  But see, that shows how far out they are.
[02:10:01.436 --> 02:10:03.878]  They've already lost the fight.
[02:10:03.878 --> 02:10:07.520]  Everybody got neighbors that got died or got sick from the vaccine.
[02:10:07.520 --> 02:10:09.181]  Everybody knows somebody.
[02:10:09.181 --> 02:10:12.303]  Everybody got locked out of the nursing home, and then they heard about people dying in there.
[02:10:13.590 --> 02:10:18.433]  People now know when I still wear a mask, I thought I'd be set free once I took the shot.
[02:10:18.433 --> 02:10:22.376]  People are really upset.
[02:10:22.376 --> 02:10:25.818]  And so the truth is catching up to the lie now.
[02:10:25.818 --> 02:10:36.865]  But that's actually in this report from the Well-Organized Attack Partnerships Reformed that Dr. McCulloch, who I'm going to get on as soon as I can, breaks down, and they say in here, anyone
[02:10:38.024 --> 02:10:41.165]  That says there's any adverse reactions, which they admit has gone on.
[02:10:41.165 --> 02:11:05.893]  Anyone that says it came out of a lab, anyone that says that is an extremist, that must be put on a watch, and must be dealt with as an extremist, and that we need to dismantle them and interdict them and stop them, and it talks about using the Pentagon and the CIA.
[02:11:05.893 --> 02:11:06.813]  You gotta go read this.
[02:11:08.638 --> 02:11:13.900]  For yourself, but of course, it's for the public good, ladies and gentlemen.
[02:11:13.900 --> 02:11:18.262]  So I suggest, yeah, here's the really bad parts.
[02:11:18.262 --> 02:11:23.624]  Target counter-messaging from the global health community.
[02:11:23.624 --> 02:11:26.906]  Move to dismantle anti-vaccine groups in the U.S.
[02:11:26.906 --> 02:11:29.347]  via the United Nations federal agencies.
[02:11:29.347 --> 02:11:30.127]  Efforts must be made
[02:11:31.226 --> 02:11:44.561]  In the realm of cyber security, law enforcement, public education, and international relations, a high-level interagency task force reporting to the UN Secretary General could assess the full impact of anti-vaccine aggression.
[02:11:45.846 --> 02:11:49.247]  And propose tough, balanced measures.
[02:11:49.247 --> 02:11:58.510]  The task force would include experts who have tackled complex global threats, such as terrorism, cyber attacks, and nuclear armaments.
[02:11:58.510 --> 02:12:02.211]  Because anti-science is now approaching similar levels of peril.
[02:12:02.211 --> 02:12:10.774]  It is becoming increasingly clear that advancing immunization requires a counter-offensive.
[02:12:10.774 --> 02:12:11.554]  And they say right here,
[02:12:14.048 --> 02:12:17.089]  Do not talk about vitamin D or C. You're a terrorist.
[02:12:17.089 --> 02:12:19.189]  You don't need those.
[02:12:19.189 --> 02:12:27.671]  It says, don't talk about alternative treatments and don't talk about COVID-19 being an engineered virus with gain of function, which everybody admits.
[02:12:27.671 --> 02:12:30.631]  Nope, that's terrorism too!
[02:12:30.631 --> 02:12:34.132]  Even though now it's all admitted, they still don't care.
[02:12:34.132 --> 02:12:37.333]  They go, we'll just, we'll send in the troops.
[02:12:37.333 --> 02:12:39.873]  Well, then send them and the troops can take the shots and die too.
[02:12:39.873 --> 02:12:41.354]  Burn in hell!
[02:12:41.354 --> 02:12:42.334]  Burn in hell, demons!
[02:12:44.542 --> 02:12:46.447]  I got the economic collapse news coming up for you.
[02:12:46.447 --> 02:12:47.609]  I'll tell you how that's all going to go down.
