[00:00.000 --> 00:29.000]  Ladies and gentlemen, we are live on this Friday, November 27th, 2020.
[2:24:52.000 --> 2:24:55.000]  86 years old had other health complications.
[2:24:55.000 --> 2:24:58.000]  May she rest in peace.
[2:24:58.000 --> 2:25:01.000]  Quite a lady, but, you know, she dies in her old age at 86.
[2:25:01.000 --> 2:25:03.000]  Oh, it's COVID.
[2:25:03.000 --> 2:25:06.000]  What?
[2:25:06.000 --> 2:25:07.000]  It's crazy.
[2:25:07.000 --> 2:25:09.000]  And you hear about these stories all the time.
[2:25:09.000 --> 2:25:14.000]  I mean, anybody, I guarantee you, anybody, anybody you ask, the odds are,
[2:25:14.000 --> 2:25:22.000]  even if they know someone that died of COVID, it'll be because of other complications.
[2:25:22.000 --> 2:25:24.000]  But it's the propaganda.
[2:25:24.000 --> 2:25:27.000]  It's the brainwashing of the TV media where you just see the numbers.
[2:25:27.000 --> 2:25:29.000]  You see the death count.
[2:25:29.000 --> 2:25:31.000]  So it becomes real.
[2:25:31.000 --> 2:25:35.000]  That's the psychological warfare.
[2:25:35.000 --> 2:25:37.000]  There's no way it can be fake.
[2:25:37.000 --> 2:25:39.000]  I see it every day on TV.
[2:25:39.000 --> 2:25:41.000]  There's no way this isn't the deadliest pandemic.
[2:25:41.000 --> 2:25:43.000]  Look at it on the TV.
[2:25:43.000 --> 2:25:44.000]  I see the graphs.
[2:25:44.000 --> 2:25:50.000]  I see my local mayors and governors shutting me down and telling me to be scared.
[2:25:50.000 --> 2:25:54.000]  The real world test doesn't matter.
[2:25:54.000 --> 2:26:00.000]  The real world test of, oh, people get COVID and recover a day later, even if it's Trump.
[2:26:00.000 --> 2:26:06.000]  The real world test of, I've gone to dozens of events this year,
[2:26:06.000 --> 2:26:12.000]  shaken thousands of hands, was at a million mag of March, never wore a mask.
[2:26:12.000 --> 2:26:13.000]  I'm here.
[2:26:13.000 --> 2:26:14.000]  Drew's still here.
[2:26:14.000 --> 2:26:16.000]  Everyone I'm around is still here.
[2:26:16.000 --> 2:26:19.000]  No, see, the real world test doesn't apply.
[2:26:19.000 --> 2:26:26.000]  Television Trump's media, or television media Trump's reality, and for the left, they love that.
[2:26:26.000 --> 2:26:34.000]  See, the dirtbag leftist hates reality because the reality of themselves is quite pathetic.
[2:26:34.000 --> 2:26:40.000]  So they would prefer the television reality that makes them feel good
[2:26:40.000 --> 2:26:45.000]  and then gives them the opportunity to go out and virtue signal with whatever the television messaging is
[2:26:45.000 --> 2:26:51.000]  to give them a feeling of accomplishment for the first time in their lives.
[2:26:51.000 --> 2:26:56.000]  Total frauds, total hypocrites, total phonies, doesn't matter.
[2:26:56.000 --> 2:27:03.000]  And I'm now being told that the COVID vaccine is going to be starting to get released next week.
[2:27:03.000 --> 2:27:09.000]  I cannot urge you not to take this enough.
[2:27:09.000 --> 2:27:13.000]  Narcolepsy, fiasco spurs COVID vaccine fears in Sweden.
[2:27:13.000 --> 2:27:14.000]  Well, why are they even doing this in Sweden?
[2:27:14.000 --> 2:27:15.000]  They never even locked down Sweden.
[2:27:15.000 --> 2:27:16.000]  They don't wear masks in Sweden.
[2:27:16.000 --> 2:27:28.000]  There's been no outbreak in Sweden because Sweden's in the one world government, folks.
[2:27:28.000 --> 2:27:32.000]  Here's some, I mean, just look at the madness.
[2:27:32.000 --> 2:27:45.000]  Brits taking safe sex to new levels by wearing masks to avoid catching COVID.
[2:27:45.000 --> 2:27:52.000]  You know, you could argue whether or not this is by design or not, but here's what this does.
[2:27:52.000 --> 2:27:57.000]  You know, honestly, for most humans during this COVID thing, and really just in general,
[2:27:57.000 --> 2:28:03.000]  just social media and smartphones and everything, there's less and less real human interaction every day.
[2:28:03.000 --> 2:28:07.000]  There's less and less actual organic real human interaction every day.
[2:28:07.000 --> 2:28:19.000]  And for most people, sex is probably the most human thing that they'll do in their daily routine.
[2:28:19.000 --> 2:28:26.000]  And so any way you can dehumanize the act of sex and act of love, you know, between two humans,
[2:28:26.000 --> 2:28:34.000]  there's a bond, there's an experience, anything you can do to end that human experience plays
[2:28:34.000 --> 2:28:37.000]  right into the new world order plays right into the corporate government.
[2:28:37.000 --> 2:28:46.000]  So make men and women hate each other, make men women, make women men screw up the entire
[2:28:46.000 --> 2:28:50.000]  organic biology of humans claim it doesn't exist, then claim it sexist.
[2:28:50.000 --> 2:28:55.000]  So then people are even afraid to be straight, then roll out the porn.
[2:28:55.000 --> 2:28:57.000]  Now everybody's watching porn.
[2:28:57.000 --> 2:29:06.000]  So now in general, they want men and women so scared to even talk to one another or so unable to talk to one another,
[2:29:06.000 --> 2:29:10.000]  now so scared to kiss or have sex because of COVID.
[2:29:10.000 --> 2:29:11.000]  So what happens?
[2:29:11.000 --> 2:29:16.000]  Well, you now have zero human experiences in your life.
[2:29:16.000 --> 2:29:22.000]  You sit on a television or a phone all day, you never go out in nature, you're sitting in your little hut,
[2:29:22.000 --> 2:29:27.000]  and you're just watching a simulation of the world and then you're simulating sex.
[2:29:27.000 --> 2:29:34.000]  So again, whether it's by design or you want to say it's just what'll happen.
[2:29:34.000 --> 2:29:38.000]  This is just this is another way of just ending humanity.
[2:29:38.000 --> 2:29:46.000]  Obviously the reproduction part is one of it, but oh, we're a mask during sex.
[2:29:46.000 --> 2:29:48.000]  So you're not even kissing.
[2:29:48.000 --> 2:29:54.000]  But now you're even getting rid of the act of anything that's like loving or a human bond.
[2:29:54.000 --> 2:29:59.000]  So now it's just, oh, so you're just sticking your thing in a hole now.
[2:29:59.000 --> 2:30:03.000]  Well, why not just have a doll or just do it yourself at this point?
[2:30:03.000 --> 2:30:04.000]  That's what's going to come of this.
[2:30:04.000 --> 2:30:09.000]  Again, by design or just naturally how it's going to go, that's what's going to come from this.
[2:30:09.000 --> 2:30:19.000]  So now you're going to have under this new world order, if it continues, the average human is going to have almost zero human experience,
[2:30:19.000 --> 2:30:25.000]  almost zero human organic experience of life on planet Earth, never in nature,
[2:30:25.000 --> 2:30:33.000]  never breathe fresh air, never get the sun, doesn't talk to anybody.
[2:30:33.000 --> 2:30:42.000]  And now doesn't even have a basic relationship or a human interaction or sex now.
[2:30:42.000 --> 2:30:49.000]  So there's zero human experience in the human experience.
[2:30:49.000 --> 2:30:53.000]  And then it becomes trendy because you're so afraid of COVID or whatever they say.
[2:30:53.000 --> 2:30:59.000]  So it becomes trendy to live your life in a bubble or live your life on the internet.
[2:30:59.000 --> 2:31:01.000]  But how sad is it?
[2:31:01.000 --> 2:31:07.000]  You know, part of you is intellectual enough or believes in Darwinism to say,
[2:31:07.000 --> 2:31:13.000]  if people are this dumb and brainwashed, maybe they should just be enslaved or die.
[2:31:13.000 --> 2:31:15.000]  Now, you have a heart.
[2:31:15.000 --> 2:31:16.000]  I have a heart.
[2:31:16.000 --> 2:31:17.000]  You have a soul.
[2:31:17.000 --> 2:31:19.000]  You would never wish that upon any human.
[2:31:19.000 --> 2:31:22.000]  You know that the fate of one human is the fate of all humans.
[2:31:22.000 --> 2:31:25.000]  So we would never wish that.
[2:31:25.000 --> 2:31:38.000]  You know, there is a part of you that just, you know, if Darwinism was omnipotent or full scale,
[2:31:38.000 --> 2:31:40.000]  just the reality and it was just all Darwinism.
[2:31:40.000 --> 2:31:42.000]  Well, that'd be one thing, but this is not natural selection.
[2:31:42.000 --> 2:31:44.000]  This is not survival of the fittest.
[2:31:44.000 --> 2:31:50.000]  This is evil, evil mad scientist in a corporate government,
[2:31:50.000 --> 2:31:56.000]  steering humanity into one direction for their own benefit to dominate it, rule it and control it.
[2:31:56.000 --> 2:32:01.000]  And you know, if you want to be real esoteric about this,
[2:32:01.000 --> 2:32:08.000]  you have to wonder how many cycles of this have we actually been through?
[2:32:08.000 --> 2:32:14.000]  Are there, are there already separate societies,
[2:32:14.000 --> 2:32:19.000]  societies of humans already been through something like this and separated from us entirely?
[2:32:19.000 --> 2:32:23.000]  And now we're just kind of having our own new thing under their whole wing.
[2:32:23.000 --> 2:32:27.000]  I mean, you want to talk about Illuminati, you want to talk about secret societies,
[2:32:27.000 --> 2:32:30.000]  about underground societies, underground bases.
[2:32:30.000 --> 2:32:35.000]  I mean, that's crazy, but they're about to do it again.
[2:32:35.000 --> 2:32:41.000]  What happens if Bill Gates and the rest of them in humanity for all intensive purposes separate themselves from humanity
[2:32:41.000 --> 2:32:48.000]  and then have an underclass of humanity that they basically view as swine or cattle like slaves
[2:32:48.000 --> 2:32:55.000]  and then 100 years, 200, 500,000 years, 2000 years goes by and it's just a completely different civilization
[2:32:55.000 --> 2:33:03.000]  and then the separate society has already formed and now is its own thing and you may not even know it's there.
[2:33:03.000 --> 2:33:08.000]  But you're seeing all the evidence of this now, you're seeing it playing out now
[2:33:08.000 --> 2:33:15.000]  and you're asking yourself, do I want to live on a planet where somebody is so stupid and so brainwashed by TV?
[2:33:15.000 --> 2:33:20.000]  They have a mask on when they shower, when they drive, when they kiss
[2:33:20.000 --> 2:33:27.000]  and they hate me because I want to be free and I actually know what COVID is and what it isn't?
[2:33:27.000 --> 2:33:29.000]  How do you manage that world?
[2:33:29.000 --> 2:33:56.000]  Alright, Alex Jones on the other side of this break, we'll be right back.
[2:33:59.000 --> 2:34:28.000]  We'll be right back.
[2:34:29.000 --> 2:34:38.000]  You can't have Thanksgiving. You can't have Christmas.
[2:34:38.000 --> 2:34:44.000]  You can't go see your grandma on the nursing home but we can bring somebody in that has COVID and put them in the same room to kill her.
[2:34:44.000 --> 2:34:48.000]  These people are waging war against logic. They're waging war against common sense.
[2:34:48.000 --> 2:34:54.000]  They're announcing now that the left thinks that Biden actually won the election, that record numbers of illegals are pouring across.
[2:34:54.000 --> 2:34:59.000]  They get all the free stuff and Biden says, I'll make you citizens. I'll let you vote. I'll give everything free.
[2:34:59.000 --> 2:35:03.000]  This is a plan to take us down. It's a globalist plan.
[2:35:03.000 --> 2:35:08.000]  But again, the borders stay wide open and millions die of TV every year. That's a real disease, but that's okay.
[2:35:08.000 --> 2:35:13.000]  But you just can't go see your grandma or you can't go to Thanksgiving. Stop complying with the fraud.
[2:35:13.000 --> 2:35:17.000]  It's a great reset. It's a criminal takeover. I know you as an audience know this.
[2:35:17.000 --> 2:35:22.000]  Tell everyone you know at Thanksgiving. Tell them the truth so they understand what they're facing.
[2:35:22.000 --> 2:35:26.000]  Compliance is death. This is economic war. This is mass genocide.
[2:35:26.000 --> 2:35:31.000]  And we're fighting it hard at band.video, infowars.com and newswars.com.
[2:35:31.000 --> 2:35:34.000]  Please share those links.
[2:35:34.000 --> 2:35:45.000]  Back in 1996, the head of the World Food Program said that they would use food and global lockdowns due to a virus scare to bring in world government.
[2:35:45.000 --> 2:35:52.000]  That also came out in the North American Union Documents, the Judicial Watch, and Lou Dobbs got more than 15 years ago as well.
[2:35:52.000 --> 2:35:58.000]  So we know their plan. And if they're able to keep this lockdown going, it's going to cause not just a worldwide depression,
[2:35:58.000 --> 2:36:04.000]  but mass starvation of hundreds of millions. Millions have already starved to death, not from COVID, but from the lockdown.
[2:36:04.000 --> 2:36:09.000]  That's why it's important for people in North America to get prepared for all over the world.
[2:36:09.000 --> 2:36:16.000]  But we have high-quality, durable food ready to ship for you the last 25 years and prepare with alex.com.
[2:36:16.000 --> 2:36:21.000]  There's an additional 10% off, a very rare sale that's going right now. Prepare with alex.com.
[2:36:21.000 --> 2:36:29.000]  Also at infowars.com, we have all the great supplements that boost your immune system and so much more with free shipping as well, up to 60% off.
[2:36:29.000 --> 2:36:42.000]  So take advantage of that at infowars.com and prepare with alex.com. God bless.
[2:37:00.000 --> 2:37:04.000]  It will then ask you to name the app. I suggest band.video.
[2:37:04.000 --> 2:37:10.000]  You will now have band.video app on your home screen, despite the fact that Tim Cook tried to stop it.
[2:37:10.000 --> 2:37:18.000]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[2:37:18.000 --> 2:37:25.000]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube.
[2:37:25.000 --> 2:37:29.000]  However you want, be sure and share band.video.
[2:37:55.000 --> 2:38:02.000]  When you can't lie to people anymore about what you're doing, where you just have to hide it and play with you, and that's the point we've reached now.
