[00:00:09.031 --> 00:00:14.959]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones!
[02:38:18.127 --> 02:38:20.607]  I mean, folks, this is ridiculous.
[02:38:20.607 --> 02:38:22.188]  Tuberculosis is on the rise.
[02:38:22.188 --> 02:38:23.408]  I mean, all of this crap.
[02:38:23.408 --> 02:38:25.589]  And it's because they have wide open borders.
[02:38:25.589 --> 02:38:30.890]  It's because they have needle programs, rampant drug use, no law and order.
[02:38:31.681 --> 02:38:33.403]  It's out of control.
[02:38:33.403 --> 02:38:37.306]  And you literally, like, you can't even live in San Francisco or LA.
[02:38:37.306 --> 02:38:46.335]  Do you really think you can walk around and take a dump on the streets of San Francisco without it having serious biological repercussions?
[02:38:46.335 --> 02:38:47.596]  Just think about this, folks.
[02:38:47.596 --> 02:38:53.482]  We don't even know, honestly, people don't even know the serious health concern that's going on right now.
[02:38:53.482 --> 02:38:56.245]  Where do you think all of this human fecal runoff ends up?
[02:38:57.256 --> 02:39:04.819]  It's all going to be pooled in some sick, disgusting... Good God!
[02:39:04.819 --> 02:39:06.460]  Lord help California.
[02:39:06.460 --> 02:39:14.343]  It's such a beautiful state, and the Democrats have literally taken a dump on it.
[02:39:14.343 --> 02:39:18.025]  Hollywood rewrites its script to resist Trump in midterms.
[02:39:18.025 --> 02:39:21.946]  Well, they've been resisting Trump from the very beginning, but this is crazy.
[02:39:21.946 --> 02:39:22.687]  So they have some
[02:39:28.300 --> 02:39:35.461]  And so, Michael Avenatti, who I guess, I mean, this guy I guess really thinks he's going to run against Trump.
[02:39:35.461 --> 02:39:36.742]  I mean, I invite you to.
[02:39:36.742 --> 02:39:39.222]  That's going to be, you'll lose.
[02:39:39.222 --> 02:39:41.943]  That could be a 50-0 in the electoral.
[02:39:41.943 --> 02:39:45.123]  I think he could win California, but he won't win another state.
[02:39:45.123 --> 02:39:52.985]  But he's now basically campaigning for this OMGWTF political action committee that supports Democrats.
[02:39:54.465 --> 02:39:56.966]  I mean, what?
[02:39:56.966 --> 02:39:59.667]  And then they try to tell you that there's going to be some blue wave.
[02:39:59.667 --> 02:40:01.888]  Michael Avenetti thinks he's running for president.
[02:40:01.888 --> 02:40:03.209]  Eric Holder just had an event.
[02:40:03.209 --> 02:40:04.949]  Obama just had an event.
[02:40:04.949 --> 02:40:07.811]  Combined, they didn't even have a thousand people!
[02:40:07.811 --> 02:40:14.674]  Between Obama, Holder, and Avenetti this week, they didn't even have a thousand people show up to their public speaking events.
[02:40:14.674 --> 02:40:20.036]  Donald Trump has had a hundred thousand people turn up to his last four speaking events.
[02:40:20.476 --> 02:40:21.897]  Let's just say three.
[02:40:21.897 --> 02:40:22.657]  Let's just say three.
[02:40:22.657 --> 02:40:23.397]  They get three events.
[02:40:23.397 --> 02:40:27.820]  They get Avenatti at OMGWTF, five people show up, maybe ten.
[02:40:27.820 --> 02:40:31.441]  They get Obama at a school in California, almost a thousand people show up.
[02:40:31.441 --> 02:40:36.304]  They get Holder in, what was it, like a fifth grade classroom or something, twenty people show up.
[02:40:36.304 --> 02:40:39.765]  So they get a thousand people for three major Democrats.
[02:40:39.765 --> 02:40:41.866]  Avenatti, Obama, and Holder.
[02:40:41.866 --> 02:40:43.087]  They get a thousand people overall.
[02:40:43.527 --> 02:40:50.277]  Trump, in his last three events, has had over 50,000 people show up.
[02:40:50.277 --> 02:40:54.283]  And you think there's going to be a blue wave?
[02:40:54.283 --> 02:40:56.306]  You really see a blue wave, do you?
[02:40:57.575 --> 02:41:07.666]  I think you're sniffing the streets of San Francisco, if you know what I'm saying.
[02:41:07.666 --> 02:41:13.753]  Really the overall story is just people are done with Hollywood and their culture and all the nonsense they push, but it's funny because
[02:41:14.714 --> 02:41:20.237]  Taylor Swift hosted this, and so people are saying, oh, it was Taylor Swift's politics and her comments that crushed the ratings.
[02:41:20.237 --> 02:41:22.257]  The ratings were already going to be down anyway.
[02:41:22.257 --> 02:41:23.118]  Taylor Swift didn't help.
[02:41:23.118 --> 02:41:24.799]  But isn't it convenient?
[02:41:24.799 --> 02:41:29.961]  And I'm not going to call out some other artists here that did this too, but I'm telling you this is a pattern.
[02:41:29.961 --> 02:41:41.706]  Once these artists finish their North American leg of their tours, as soon as they play their last North American show, they all have come out and made a negative Trump comment or negative conservative comment.
[02:41:42.066 --> 02:41:43.768]  And it's usually pretty guarded.
[02:41:43.768 --> 02:41:49.473]  It's usually not very extreme, and you can tell it's probably tongue-in-cheek, and they maybe don't even mean it.
[02:41:49.473 --> 02:41:57.160]  But they figured, oh, I'm going to say this as I'm leaving North America, and I'll get some pub, I'll get some headline, and maybe I'll drum up some energy before I leave America.
[02:41:57.160 --> 02:41:58.682]  So just understand that.
[02:41:58.682 --> 02:42:03.426]  The ratings for the AMAs would have tanked anyway, whether Taylor Swift made those comments or not.
[02:42:04.207 --> 02:42:12.110]  But she only made those comments to get some sort of windfall to her tour as she leaves America and as she was about to host the AMA.
[02:42:12.110 --> 02:42:13.971]  So it's all fake with these people, sadly.
[02:42:13.971 --> 02:42:17.072]  No, it's the anti-American sentiment coming from the
[02:42:24.773 --> 02:42:26.433]  Hollywood culture.
[02:42:26.433 --> 02:42:28.074]  That's gonna hurt the box office.
[02:42:28.074 --> 02:42:28.574]  It doesn't matter.
[02:42:28.574 --> 02:42:30.294]  It's the same thing with Taylor Swift.
[02:42:30.294 --> 02:42:37.235]  The AMA ratings were already gonna be down because people are sick of the entertainment industry telling us how to think and feel and lying to us.
[02:42:37.235 --> 02:42:38.195]  Sick of the propaganda.
[02:42:38.195 --> 02:42:39.196]  Just like Hollywood.
[02:42:39.196 --> 02:42:43.356]  No one was gonna go see First Man whether they put the American flag on the moon or not.
[02:42:43.356 --> 02:42:46.717]  More people will probably go because of the publicity that they even heard of it now.
[02:42:46.717 --> 02:42:48.057]  Nobody's going to movies.
[02:42:48.057 --> 02:42:49.417]  Nobody's watching Hollywood anymore.
[02:42:49.417 --> 02:42:50.178]  Nobody cares.
[02:42:50.178 --> 02:42:51.258]  We're sick of your propaganda.
[02:42:51.258 --> 02:42:52.178]  We're sick of your arrogance.
[02:42:52.178 --> 02:42:52.738]  We're done with you.
[02:42:55.143 --> 02:43:03.648]  It's really hard to have the energy at the end of the day to still get to the gym, or to go for a run, or go to the park, or heck, even take your dog for a walk.
[02:43:03.648 --> 02:43:05.109]  Believe me, I know.
[02:43:05.109 --> 02:43:09.811]  I spend hours in front of a screen and then hours in front of bright lights every day.
[02:43:09.811 --> 02:43:14.814]  But thanks to super male vitality at Infowarstore.com, I still have that energy.
[02:43:15.054 --> 02:43:35.218]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water, to fight back against the modern day lifestyle with the screen time and the extended hours, to still have the stamina and endurance, energy and drive to get to the gym, get to the park, and get exercise that you need for your health.
[02:43:35.698 --> 02:43:39.699]  So go to Infowarsstore.com and get Supermail Vitality before it's gone.
[02:43:39.699 --> 02:43:43.380]  This is actually our last run of Supermail Vitality.
[02:43:43.380 --> 02:43:48.361]  So I want you to experience Supermail Vitality before it's too late.
[02:43:48.361 --> 02:43:51.102]  Unleash the Supermail in you.
[02:43:51.102 --> 02:43:55.203]  Supermail Vitality from Infowarsstore.com.
[02:43:55.203 --> 02:43:59.104]  Words cannot describe how big the stakes are for the future of humanity right now.
[02:44:00.467 --> 02:44:09.150]  InfoWars is being openly targeted by the Democratic Party, leftist CIA operatives, the corrupt Justice Department, and the entire Soros crime syndicate.
[02:44:09.150 --> 02:44:11.131]  People say, why would you start a fight with them?
[02:44:11.131 --> 02:44:14.572]  Because they were already dominating and running America into the ground.
[02:44:14.572 --> 02:44:17.193]  And I knew we had no future if we didn't do this.
[02:44:17.193 --> 02:44:19.494]  So we've already had incredible success.
[02:44:19.494 --> 02:44:26.437]  But if you will simply realize how epic this is, and understand how real this fight is, and why we've been made the main target,
[02:44:26.997 --> 02:44:36.782]  And if you financially support us, and if you spread the word about our articles and videos, InfoWars.com, we won't just continue to stand up against these brutal scumbags.
[02:44:36.782 --> 02:44:37.963]  We'll win.
[02:44:37.963 --> 02:44:40.884]  We have huge sales at InfoWarsStore.com right now.
[02:44:40.884 --> 02:44:48.008]  And we're still able to operate the shopping cart and get stuff shipped out to you, despite the fact we're trying to block our commerce and your right to the market.
[02:44:48.008 --> 02:44:51.710]  But if you don't stand up and support us financially, Soros the Globalist may win.
[02:44:51.710 --> 02:44:53.271]  This is InfoWars' Douglas Howard.
[02:44:53.271 --> 02:44:54.132]  We need your support.
[02:44:54.132 --> 02:44:54.692]  I'm counting on you.
[02:44:56.164 --> 02:44:56.184]  X2.
[02:45:26.764 --> 02:45:29.185]  I bought a huge amount of it.
[02:45:29.185 --> 02:45:30.886]  Ordered it six months ago.
[02:45:30.886 --> 02:45:31.906]  So I get the price down.
[02:45:31.906 --> 02:45:33.667]  I said, if you don't lower it, I'm done.
[02:45:33.667 --> 02:45:34.907]  I'm breaking the contract.
[02:45:34.907 --> 02:45:36.848]  Well, I broke the contract last week.
[02:45:36.848 --> 02:45:39.249]  And so this is potentially the last run.
[02:45:39.249 --> 02:45:40.689]  In fact, right now it is the last run.
[02:45:40.689 --> 02:45:43.050]  The Survival Shield X2.
[02:45:43.050 --> 02:45:44.531]  And we've got a good supply of it.
[02:45:44.531 --> 02:45:45.431]  It'll be gone in a couple months.
[02:45:46.071 --> 02:45:47.192]  X2.
[02:45:47.192 --> 02:45:49.194]  If you haven't experienced it, InfoWareStore.com.
[02:45:49.194 --> 02:45:51.056]  If you have experienced it, you know how great it is.
[02:45:51.056 --> 02:45:52.237]  I suggest you stop up on it.
[02:45:52.237 --> 02:45:53.879]  It's available right now for a limited time.
[02:45:53.879 --> 02:45:55.180]  InfoWareStore.com.
[02:45:55.180 --> 02:45:55.821]  Right now.
[02:45:55.821 --> 02:45:58.484]  Stress is a natural part of life.
[02:45:58.484 --> 02:46:04.430]  Work, family, friends, and everyday accidents can put a lot of strain on the body and your mood.
[02:46:04.830 --> 02:46:06.811]  Don't let life weigh you down.
[02:46:06.811 --> 02:46:13.455]  Happies is a powerful mood and stress support formula that has your back against life's daily inconveniences.
[02:46:13.455 --> 02:46:19.639]  Made with ancient ingredients used for thousands of years, Happies can help you take back the day.
[02:46:19.639 --> 02:46:25.383]  With our powerhouse formula, Happies can be an important part of your daily supplement routine.
[02:46:25.703 --> 02:46:33.970]  With poor diet and the constant on and off of your work life, it's more important than ever to support your body in the fight against stress.
[02:46:33.970 --> 02:46:44.858]  With powerful ingredients combined to help support the mind and body, Happies helps support during stress, promotes overall well-being, and helps support your mood.
[02:46:44.858 --> 02:46:46.980]  Don't live your life bogged down.
[02:46:46.980 --> 02:46:53.365]  Help your body overcome the effects of daily stress and pressure today with Happies from InfoWarsStore.com.
[02:46:58.760 --> 02:47:07.384]  You're listening to the Alex Jones Show.
[02:47:07.384 --> 02:47:12.987]  Waging war on corruption.
[02:47:12.987 --> 02:47:18.589]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[02:47:18.589 --> 02:47:21.591]  And now, your host, Owen Troyer.
[02:47:28.670 --> 02:47:29.441]  Well, it's incredible.
[02:47:31.058 --> 02:47:40.202]  Because Project Veritas has caught the Democrats admitting on tape that they staged domestic terror, bragging about it.
[02:47:40.202 --> 02:47:46.985]  We've caught Project Veritas, caught Google, YouTube, all of them admitting they censor, admitting they hate conservatives.
[02:47:46.985 --> 02:47:49.926]  They caught the IRS admitting they target conservatives.
[02:47:49.926 --> 02:47:55.368]  They caught other federal bureaucracies admitting they target conservatives and have politicized themselves.
[02:47:55.368 --> 02:47:56.408]  This is all caught on tape.
[02:47:56.408 --> 02:47:57.249]  This isn't rhetoric.
[02:47:57.249 --> 02:47:59.910]  The Democrats are now engaged in inciting
[02:48:00.470 --> 02:48:01.591]  Domestic terror.
[02:48:01.591 --> 02:48:02.972]  That's just true.
[02:48:02.972 --> 02:48:03.733]  All this is true.
[02:48:03.733 --> 02:48:05.355]  This is our America today.
[02:48:05.355 --> 02:48:08.497]  And then Kanye West goes to the White House to visit President Trump.
[02:48:08.497 --> 02:48:09.578]  They have a great meeting.
[02:48:09.578 --> 02:48:10.079]  They hug.
