[00:00.000 --> 00:29.960]  There is all kinds of important developments that have happened in the last 24 hours.
[02:39:48.960 --> 02:39:57.960]  Well, his job is done. He laid the groundwork for what you see now as he opened calls for the use of the 25th Amendment, the open conspiracy he's talked about earlier.
[02:39:57.960 --> 02:40:03.960]  And I really kind of think that what's his purpose or his current purpose, he's done it. Same with McCabe.
[02:40:03.960 --> 02:40:11.960]  He's gone and done. They're openly saying, yes, this is what we planned on doing. We had discussions, and now you see, you got Warren.
[02:40:11.960 --> 02:40:20.960]  Running around saying, yes, we should do this. Elizabeth Warren saying we should go ahead and remove the president. And he got some former Bush, you know, lackey saying the same thing.
[02:40:20.960 --> 02:40:32.960]  So I think they're pushing now for the open conspiracy of, yes, let's go ahead and use the 25th Amendment, you know, not actually in capacity, but because we think he's got bad policies, we're going to call him mentally incompetent.
[02:40:32.960 --> 02:40:43.960]  I think the Rosenstein step down while there's a lot of angles here, I think the reason why it's happening now is the whole wearing a wire thing has now been totally confirmed by McCabe.
[02:40:43.960 --> 02:40:54.960]  And so basically he got pressured to step down. Who knows what that means otherwise behind the scenes. But that's kind of what I like to think happened there.
[02:40:54.960 --> 02:41:08.960]  Here's one. This is like, I don't even know. I mean, I say if I'm a detective or I'm an investigator and I look into this story, Democrats don't want ICE notified when illegal aliens try to purchase guns.
[02:41:08.960 --> 02:41:20.960]  So again, here's the Democrat Party that wants you to basically submit DNA and just a total, you know, everything if you want to buy a gun, whether you support that or not, that's what the Democrats do.
[02:41:20.960 --> 02:41:25.960]  But if you're a non citizen, if you're an illegal immigrant, then they don't want you on record purchasing a gun.
[02:41:25.960 --> 02:41:35.960]  I mean, do you think I mean, look, my again, if I'm an investigator all of a sudden, I'm looking into the Democrat Party running guns with MS 13 and using them to commit murder for them.
[02:41:35.960 --> 02:41:36.960]  That's what I'm doing.
[02:41:36.960 --> 02:41:42.960]  Yeah, this this is like fast and furious times a thousand. Yeah, this is just open openly.
[02:41:42.960 --> 02:41:47.960]  Right. We want these people to be armed. They're really basically saying we want our side.
[02:41:47.960 --> 02:41:53.960]  They want more case styling shot to death. They want more police officers shot to death and they don't want there to be any record of it.
[02:41:53.960 --> 02:42:01.960]  Yeah, we want you people to be disarmed by any way we possibly can. But our people make see the Legals as being their allies.
[02:42:01.960 --> 02:42:05.960]  We don't want you to even look at their weapon handling or possession.
[02:42:05.960 --> 02:42:11.960]  I mean, this really makes me sick that they are now I mean, they openly fight for non citizens to have more rights than Americans.
[02:42:11.960 --> 02:42:27.960]  Ah, I just do it. I got to say, I mean, this is like next level that the demo again, if I'm an investigator, if I'm a detective, I'm saying right now the Democrats are trying to get away with murder in the United States by using illegal alien gang members to do it.
[02:42:27.960 --> 02:42:32.960]  Right. Well, they definitely we call it conspiracy to commit.
[02:42:32.960 --> 02:42:36.960]  Yeah, murder and terrorism.
[02:42:36.960 --> 02:42:46.960]  So just another level of treason that the Democrats are engaged in just unbelievable levels of treason these people engage in openly now.
[02:42:46.960 --> 02:42:55.960]  They used to do it behind closed doors. Now that they've been exposed, they have to do it openly in the public to act like it's not a big deal.
[02:42:55.960 --> 02:43:11.960]  For those looking for the ultimate source of energy for their day, every day, the brain synergy combo is here. Combining the powerful turbo force and brain force plus new tropic formulas, this combo has what you need to hit your maximum potential every day.
[02:43:11.960 --> 02:43:28.960]  Take the tasty tropical berry flavored turbo force instant drinks with you on the go or at work to help provide you with focus, clarity and energy and to reach your full potential. Hit the next generation of advanced neural activation with the brain force plus new tropic.
[02:43:28.960 --> 02:43:50.960]  A fan favorite formula fueled by powerful, time tested ingredients for a true 360 with this, you can have energy wherever you need it at home on the go in the car and more. Get pure energy on tap and take advantage of old and new info wars powerhouse formulas with the brain synergy combo.
[02:43:50.960 --> 02:43:54.960]  Head to info wars store.com today.
[02:43:54.960 --> 02:44:05.960]  You know the worst part about getting old and I'm still strong at 45 is that I won't be there for my children someday. That's why I need to make them strong now. Now I can be there for my children. Now I can make them strong.
[02:44:05.960 --> 02:44:14.960]  Now I can instruct them. Now I can teach them what I've learned, but not once I'm gone. You think of this digital age, your words gone forever, but now they're even better getting rid of what you said they were before.
[02:44:14.960 --> 02:44:27.960]  It's so much easier to burn video or text or languages now that we have high tech book burning, isn't it? But I have joined my will to the resistance. I can't be destroyed now as long as I realize I've done right.
[02:44:27.960 --> 02:44:35.960]  And the longer the people know the truth and you can't be destroyed either as long as you bind yourself to something and commit to it and go through the fire for it.
[02:44:35.960 --> 02:44:46.960]  There is a magic that then takes place the trends in space and time when you commit the award of mouth or to pray for us or to spread our articles and videos that overrides everything the enemy is doing.
[02:44:46.960 --> 02:44:55.960]  So please now commit to support info wars however you can and realize your provision to info wars is your own provision.
[02:44:55.960 --> 02:45:05.960]  This bar at its regular price is a little over $3. When we have it discounted, it's at about $2.50 a piece.
[02:45:05.960 --> 02:45:14.960]  Comfortable bars are between $5 and $7 a piece to add whole foods. This is high end. When you get one box, you get them at basically $3.
[02:45:14.960 --> 02:45:27.960]  You get them for $2.50 or so when you get it at the current launch discount. This took over a year to get the top manufacturer and developer in the country to get it all ready and to have the manufacturing line prepared and to make this.
[02:45:27.960 --> 02:45:38.960]  It's available exclusively at infowarslife.com. It's simple. You get the highest quality protein bars in two different flavors and you fund the war against the globalist and the attempt that we're engaged in to take the country back.
[02:45:38.960 --> 02:45:45.960]  It's simple. Go shop with the good guys at infowarsstore.com and break the back of the globalist and get high quality super discounts.
[02:45:45.960 --> 02:45:53.960]  Or keep shopping with Jeff Bezos and Amazon and keep going to whole foods that are actually funding the Washington Post and the globalists that destroy this country.
[02:45:53.960 --> 02:46:12.960]  It's that simple. infowarslife.com. Our grandparents and great grandparents know that they can food during the fall so they have it during the winter. And that's what I'm talking about at infowarsstore.com. With infowars select, it's the full spectrum of my patriots supply one of the top most respected companies out there.
[02:46:12.960 --> 02:46:25.960]  But because I private label it, I'm able to go below cost on contracts that all their other distributors aren't able to do. But I want to be a market leader and I want you to have storeable food so it's a total win-win.
[02:46:25.960 --> 02:46:36.960]  We have those incredible sell prices back at infowarsstore.com. On infowars select, storeable foods. They've got special diet foods. They've got three month supplies, your supplies, weak emergency supplies.
[02:46:36.960 --> 02:46:44.960]  They've got so many great products there. They've got a three year supply. If stuff happens, you can feed your whole block. It's up to us to be self-sufficient.
[02:46:44.960 --> 02:46:49.960]  You're buying war bonds, bringing great products and together with God's help, we are unstoppable.
[02:46:49.960 --> 02:47:06.960]  infowarsstore.com and infowars select, high quality storeable foods powered by my patriots supply.
