[00:00:01.667 --> 00:00:03.728]  It's Wednesday the 19th.
[02:41:28.841 --> 02:41:30.601]  They're thinking that's the number one priority.
[02:41:30.601 --> 02:41:31.502]  Yeah, that's the worst threat there.
[02:41:31.502 --> 02:41:32.862]  People can freeze to death doing that.
[02:41:33.755 --> 02:41:35.556]  Man, Joe, listen, you're getting all this incredible intel.
[02:41:35.556 --> 02:41:38.258]  Go do special reports on that in front of a power plant or a power station.
[02:41:38.258 --> 02:41:40.799]  Go ask people if they're worried about them shutting the power off.
[02:41:40.799 --> 02:41:42.480]  That's your headline right there.
[02:42:01.277 --> 02:42:06.059]  You know, provocateurs threaten to target Ferguson Power Grid or Missouri Power Grid.
[02:42:06.059 --> 02:42:07.240]  I mean, that's huge.
[02:42:07.240 --> 02:42:10.061]  That's everything I found out just since I've woken up this morning.
[02:42:10.061 --> 02:42:11.401]  So I'm just trying to... Well, no, no, no.
[02:42:11.401 --> 02:42:13.863]  You're doing an amazing job with Jakari.
[02:42:13.863 --> 02:42:16.604]  I'm just saying, get all these out in little reports.
[02:42:16.604 --> 02:42:17.804]  We'll write articles about it.
[02:42:17.804 --> 02:42:19.805]  Show where they're making these threats.
[02:42:19.805 --> 02:42:24.027]  That'll put heat on the police that aren't part of this to go stop them.
[02:42:24.027 --> 02:42:25.908]  Because, I mean, obviously, folks,
[02:42:26.548 --> 02:42:28.649]  It sounds like Obama targeting our power grid.
[02:42:28.649 --> 02:42:33.490]  I mean, what are these, mini Kaijus or something?
[02:42:33.490 --> 02:42:40.532]  Yeah, it's amazing the amount of outside people who are coming here to start chaos in a town that they don't even have to live in.
[02:42:40.532 --> 02:42:48.995]  A lot of them are going to pack their bags up, they're going to go home somewhere else where they don't have to worry about their power being out, where everything is going to work fine.
[02:42:48.995 --> 02:42:51.676]  So it's funny that these people come in here and they're
[02:42:52.854 --> 02:43:05.502]  Literally making these people suffer, and then they're going to go back home to a nice, cush, warm apartment, house, whatever, and not have to worry about it, and not have to suffer like all these people are trying to cause suffering here in Clayton and Ferguson.
[02:43:05.502 --> 02:43:08.504]  Well, let's expand on that.
[02:43:08.504 --> 02:43:12.147]  Well... Anarchists... Go ahead.
[02:43:12.147 --> 02:43:19.211]  Well, from what I'm hearing, the reason they're trying to avoid Ferguson is because why do they want to hurt more people like themselves?
[02:43:19.211 --> 02:43:21.513]  They said they're planning on coming south,
[02:43:21.840 --> 02:43:27.362]  The south end is the more predominantly, from what I've been told, white neighborhoods, things like that.
[02:43:27.362 --> 02:43:29.883]  We should get George Norrie on for 10-15 minutes.
[02:43:29.883 --> 02:43:34.944]  I know he's busy tomorrow to talk about this because George Norrie lives south of there.
[02:43:34.944 --> 02:43:37.325]  I mean, that is just insane.
[02:43:37.325 --> 02:43:38.886]  I mean, I don't care what color you are.
[02:43:38.886 --> 02:43:41.086]  A mob of folks come to burn down my house?
[02:43:41.086 --> 02:43:42.367]  You're going to get some big problems.
[02:43:43.047 --> 02:43:46.290]  Well, Jakari Jackson did a man on the street earlier.
[02:43:46.290 --> 02:43:50.393]  We maybe spoke to people for 45 minutes because it finally warmed up today.
[02:43:50.393 --> 02:44:01.782]  He'll have more information on the people he talked to, but he asked people what they think about that, if they're worried about, you know, the sale of guns going up, things like that, so he can bring that information to you in the next segment as well.
[02:44:01.782 --> 02:44:02.002]  Good.
[02:44:02.002 --> 02:44:02.903]  Well, let me just say this.
[02:44:02.903 --> 02:44:05.725]  The Justice Department's been caught provocateuring in the Trayvon Martin.
[02:44:05.725 --> 02:44:11.010]  They've been caught provocateuring here, and I'm telling you, when you hear the word anarchist,
[02:44:11.843 --> 02:44:26.399]  They're all a bunch of Democratic Party trust fund kids, I've gone up against them, that have punched me, hit me, death-threaded me in Austin, in Denver, in L.A., in San Francisco, in Montereo, in New York.
[02:44:26.399 --> 02:44:31.745]  I mean, they come out of their way to mess with us because they want to confuse the public and not call themselves communists.
[02:44:32.093 --> 02:44:38.178]  Well, the pesky group that's here right now, once again, is the REVCOM, the Revolutionary Communist Party out of Chicago.
[02:44:38.178 --> 02:44:40.000]  They've kept people here thus far.
[02:44:40.000 --> 02:44:43.963]  Those are the ones that on days 1, 2, and 3 were in Ferguson back in August.
[02:44:43.963 --> 02:44:44.664]  Jakari Jackson.
[02:44:44.664 --> 02:44:46.065]  Yeah, I want you to get in their face.
[02:44:46.065 --> 02:44:47.466]  I mean, you're always wanting them.
[02:44:47.466 --> 02:44:50.909]  I saw them get Molotov cocktails and light them and then hand them.
[02:44:51.429 --> 02:44:55.611]  To youngsters who actually lived in Ferguson to get them to do it, so they didn't have to catch the heat for it.
[02:44:55.611 --> 02:44:56.971]  God, I wish you had video of that.
[02:44:56.971 --> 02:44:58.192]  I know you got video.
[02:44:58.192 --> 02:45:01.073]  These guys, these guys are a huge problem in this town.
[02:45:01.073 --> 02:45:02.193]  They don't need to be here.
[02:45:02.193 --> 02:45:06.815]  You know, any of the protesting groups that I've talked to, they don't like them, they don't want them here, but they're not going to leave.
[02:45:06.815 --> 02:45:13.517]  By the way, Joe, you know if you see somebody handing someone a Moloff cocktail, you are legally and lawfully obliged to tackle them.
[02:45:13.517 --> 02:45:15.158]  I mean, you know that, right?
[02:45:15.158 --> 02:45:17.999]  Oh, well, I will definitely do that this time if I see it happen.
[02:45:19.372 --> 02:45:20.633]  I will turn into Adam Sandler at one point.
[02:45:20.633 --> 02:45:26.635]  Yeah, just because the cops won't do their job, but you know what, I shouldn't even say do that because the cops will probably kill you or something.
[02:45:26.635 --> 02:45:29.176]  I mean, I'm telling you, those comics work for them.
[02:45:29.176 --> 02:45:33.578]  That would probably be considered interfering with police business.
[02:45:33.578 --> 02:45:35.419]  Yeah, not wanting to burn people's houses down.
[02:45:35.419 --> 02:45:36.119]  Yeah.
[02:45:36.119 --> 02:45:37.840]  And folks, we're not trying to bash the police.
[02:45:37.840 --> 02:45:39.520]  You found them all off cocktails.
[02:45:39.520 --> 02:45:41.581]  You saw that running around in the dark.
[02:45:41.581 --> 02:45:44.803]  Yeah, I mean, I even went to the police officer and I brought it to their attention and I said,
[02:45:45.863 --> 02:45:47.845]  I know you guys are, you know, everything's tense right now.
[02:45:47.845 --> 02:45:49.406]  You guys are worried for your safety.
[02:45:49.406 --> 02:45:50.687]  Everybody's really hot-headed.
[02:45:50.687 --> 02:45:52.568]  I was like, my hands are out to the side.
[02:45:52.568 --> 02:45:53.189]  Just look at me.
[02:45:53.189 --> 02:45:54.170]  But look over here.
[02:45:54.170 --> 02:45:58.333]  There's a bunch of bottles, molotovs and all that stuff laying under this bin.
[02:45:58.333 --> 02:45:59.854]  You guys might want to take care of it.
[02:45:59.854 --> 02:46:02.256]  And they just sat there and ignored me and told me, ah, whatever.
[02:46:02.256 --> 02:46:05.638]  And then eventually they got used.
[02:46:05.638 --> 02:46:06.119]  Unbelievable.
[02:46:06.119 --> 02:46:07.360]  And you got video of that.
[02:46:07.360 --> 02:46:10.062]  But describe seeing the commies, handing them out.
[02:46:11.826 --> 02:46:20.138]  Yes, there was the one guy, his name is something Johnson, Greg Johnson I believe, and he was in the big case Texas vs. Johnson in 1984.
[02:46:20.138 --> 02:46:23.202]  He was a communist who burnt the American flag.
[02:46:24.013 --> 02:46:28.655]  This guy is one who comes out here and he's the main leader for the group that's coming out here to Ferguson.
[02:46:28.655 --> 02:46:36.239]  He is the one that walks around with a bullhorn, does all these chants like, uh, indict convicts, send them killer cops to jail, the whole damn system is guilty as hell.
[02:46:36.239 --> 02:46:44.123]  He does that whole chant all the time and then he goes around and he hands them off to people and gets them hyped up and hands them the bullhorn so they can start chanting stuff.
[02:46:44.123 --> 02:46:50.206]  Wait a minute, you, you're saying you saw him hand a Molotov cocktail to someone?
[02:46:50.206 --> 02:46:52.928]  I saw them with them and they were grabbing them and handing them to people.
[02:46:54.085 --> 02:46:55.887]  And the cops didn't do anything.
[02:46:55.887 --> 02:46:57.128]  They don't care.
[02:46:57.128 --> 02:46:57.769]  They're in on it.
[02:46:57.769 --> 02:46:58.209]  That's it.
[02:46:58.209 --> 02:46:59.170]  They're aiding and abetting.
[02:46:59.170 --> 02:47:00.832]  I am so sick of this.
[02:47:00.832 --> 02:47:02.273]  This government is so evil.
[02:47:02.273 --> 02:47:03.995]  How did we become such an evil country?
[02:47:03.995 --> 02:47:08.300]  Or so stupid?
[02:47:08.300 --> 02:47:10.542]  It's mind-blowing, the links.
[02:47:11.661 --> 02:47:14.183]  That the government goes to to cover up this stuff.
[02:47:14.183 --> 02:47:18.807]  I mean, obviously yesterday it was like 17 degrees.
[02:47:18.807 --> 02:47:22.651]  Why would you not release the information then when people are too cold to get out?
[02:47:22.651 --> 02:47:24.312]  Now it's 43 degrees a day.
[02:47:24.312 --> 02:47:25.893]  I have one jacket on.
[02:47:25.893 --> 02:47:31.258]  Well listen, if you see him again, I want you to go up to him and say, I saw you with them all off cocktails.
[02:47:31.258 --> 02:47:33.019]  Why did you do that?
[02:47:33.019 --> 02:47:34.621]  We just got contacted by Bill Ayers.
[02:47:34.621 --> 02:47:37.904]  He wants to come in studio and come here and basically confront me.
[02:47:37.904 --> 02:47:38.905]  So I said, come on.
[02:47:39.685 --> 02:47:41.806]  Uh, but I'm telling you, these people are amazing.
[02:47:41.806 --> 02:47:43.146]  Alright, well let's get Jakari in there.
[02:47:43.146 --> 02:47:43.866]  Great job, Joe.
[02:47:43.866 --> 02:47:46.487]  You guys have a lot of courage being around all these people.
[02:47:46.487 --> 02:47:48.627]  The commies and the cops.
[02:47:48.627 --> 02:47:50.347]  What a joke, man.
[02:47:50.347 --> 02:47:51.368]  Thank you.
[02:47:51.368 --> 02:47:51.948]  Thank you.
[02:47:51.948 --> 02:47:52.228]  You bet.
[02:47:52.228 --> 02:47:59.870]  Okay, we're gonna get Jakari in there and get his take and then come back and take some calls from Danny and other folks that are patiently holding.
[02:47:59.870 --> 02:48:00.990]  I just can't handle it anymore.
[02:48:03.123 --> 02:48:04.404]  We don't see a lot of this in Austin.
[02:48:04.404 --> 02:48:07.666]  Our police, I gotta say, are overall really good compared to a lot of cities.
[02:48:07.666 --> 02:48:22.534]  We don't really see this in Dallas, and they've got big problems and even attacked us for no reason, but I couldn't believe it on tape when he's like, here's the Moloff cocktails, and they didn't want to get them, and then they were just shooting with rubber bullets, and the cops absolutely were targeting the media.
[02:48:22.534 --> 02:48:23.535]  And I just don't know.
[02:48:23.535 --> 02:48:29.479]  They ordered me, hey, shoot the TV reporters with the cameras 200 yards away for no reason.
[02:48:29.479 --> 02:48:29.939]  I'd say no.
[02:48:31.929 --> 02:48:36.692]  I mean, tear gas canisters, rubber bullets at peaceful people that have done nothing to you?
[02:48:36.692 --> 02:48:39.914]  What is your problem?
[02:48:39.914 --> 02:48:43.776]  And then you won't stop the people of Moloff Cocktails.
[02:48:43.776 --> 02:48:44.937]  I'm gonna throw up.
[02:48:44.937 --> 02:48:50.140]  Jakari Jackson, give us the latest on what you've discovered there and what the feel of the people are.
[02:48:50.140 --> 02:48:57.684]  Jakari Jackson reporting from Clayton, Missouri, right in front of the Justice Center, awaiting the Darren Wilson verdict.
[02:48:57.684 --> 02:49:00.446]  Yes, Alex, we had a chance to speak to some people earlier today.
[02:49:00.990 --> 02:49:06.176]  And they were telling me, these were people in Ferguson, I asked, you know, what do you think about various things going on in the city?
[02:49:06.176 --> 02:49:08.238]  What do you think about the Darren Wilson verdict?
[02:49:08.238 --> 02:49:13.183]  And most of the people were telling me that they didn't think that anything was going to happen, really, with Mr. Wilson.
[02:49:13.183 --> 02:49:15.465]  You know, he would go on about his daily life.
[02:49:15.465 --> 02:49:18.408]  And then I asked the people, well, what do you think about the police presence?
[02:49:18.408 --> 02:49:20.711]  Do you think there'll be more riots like there were last time?
[02:49:21.011 --> 02:49:27.614]  And people were telling me, yes, they do think that there's a possibility for riots, but they don't so much think it's going to be in the Ferguson area.
