[00:00.000 --> 00:22.120]  information wars tomorrow's news today and at the moment in most parts of the
[02:25:02.780 --> 02:25:21.780]  If you check, what's his name here? Nick Collestrum, he has 287 headlines from 1850 to 1945 that pair the term 6 with million Jews.
[02:25:21.780 --> 02:25:32.780]  So that's a yay. That's a pro for yay, in my opinion. A yay negative, you can't go from zero to Hitler in five seconds,
[02:25:32.780 --> 02:25:38.780]  or you'll lose the listener immediately. Are you there, buddy?
[02:25:38.780 --> 02:25:43.780]  I'm listening. That's quite the term. You can't go from zero to Hitler. Yeah, I get it.
[02:25:43.780 --> 02:25:51.780]  Okay, so here's a Hitler pro for yay, Dunkirk. If people take a step back on Dunkirk.
[02:25:51.780 --> 02:25:54.780]  Sure, Hitler let the British Expeditionary Force leave.
[02:25:54.780 --> 02:26:06.780]  Yes, from May 27 to June 4, 1940, Hitler allows the Brits over 338,000 folks to evacuate.
[02:26:06.780 --> 02:26:13.780]  That was a beach a few hundred yards wide at most and a mile or two in length.
[02:26:13.780 --> 02:26:18.780]  He could have taken them out a half hour, but he wanted peace, which my next point is,
[02:26:18.780 --> 02:26:24.780]  do how many people know Hitler made seven peace operas between 1933?
[02:26:24.780 --> 02:26:30.780]  Albert Spear, that was his Ministry of Interior, and it was Rudolf Hess, his deputy,
[02:26:30.780 --> 02:26:35.780]  if you're actually parachuted into one of the castles with the peace deal.
[02:26:35.780 --> 02:26:44.780]  Yes, May 10, 1941, he was imprisoned in solitary confinement until he was murdered in 1987.
[02:26:44.780 --> 02:26:49.780]  So they wanted to shut up Rudolf Hess.
[02:26:49.780 --> 02:26:53.780]  Now, I honestly know your history. I'm not disagreeing with you.
[02:26:53.780 --> 02:26:57.780]  Thanks, buddy. Here's my final point, and this is a blockbuster.
[02:26:57.780 --> 02:27:06.780]  At 7.27 p.m. Central Standard Time this last Sunday, December 4, on America's favorite television program, Yellowstone,
[02:27:06.780 --> 02:27:12.780]  there's somebody who comes in for the office to do standard causes.
[02:27:12.780 --> 02:27:17.780]  Her son is the Attorney General, and she starts at 5 o'clock.
[02:27:17.780 --> 02:27:20.780]  Hold on. Your phone's breaking up. Shift your phone. I want to hear this.
[02:27:20.780 --> 02:27:24.780]  I heard Yellowstone. Get back on your phone. Go ahead.
[02:27:24.780 --> 02:27:29.780]  It's 7.27 p.m. on Sunday, so next Central.
[02:27:29.780 --> 02:27:33.780]  So next Sunday, they'll rerun it unless they scrub it now.
[02:27:33.780 --> 02:27:35.780]  Okay, what happened on the show?
[02:27:35.780 --> 02:27:39.780]  She unzips her thing, and she says, we had a 6 p.m. appointment.
[02:27:39.780 --> 02:27:44.780]  And he said, 6 p.m., and she said, yeah, 6 p.m.
[02:27:44.780 --> 02:27:54.780]  There is the 6 p.m. bed that Hollywood and TV, or TV for 70 years, but Hollywood for 100,
[02:27:54.780 --> 02:27:58.780]  have put into about a third of the Hollywood films.
[02:27:58.780 --> 02:28:06.780]  Now, people have their arguments about why I think it has something to do with Revelation 13.18,
[02:28:06.780 --> 02:28:09.780]  in which it says, here is wisdom, dot, dot, dot.
[02:28:09.780 --> 02:28:14.780]  The number of the beast, 6, 6, 6. Kanye's pointing out the evils of Hollywood.
[02:28:14.780 --> 02:28:20.780]  This may well be a clue, and I learned all of this 25 years ago from Steve Quayle
[02:28:20.780 --> 02:28:22.780]  at a conference in Bozeman, Montana.
[02:28:22.780 --> 02:28:28.780]  Oh, yeah. Let's do this, guys. I'm interviewing Dr. Huff against Saturday at noon.
[02:28:28.780 --> 02:28:34.780]  Can we call Steve Quayle and ask him pretty please to come on at, like, 1.30 Central after we tape that?
[02:28:34.780 --> 02:28:37.780]  No error, like, 4 o'clock in the afternoon. We tape shows on Saturday.
[02:28:37.780 --> 02:28:41.780]  We're going to add little extra articles and nuggets and little juicies to it.
[02:28:41.780 --> 02:28:45.780]  Those are really popular shows. We've got about 4 million views on average, so we love doing those.
[02:28:45.780 --> 02:28:47.780]  Thank you for the call, John. Great points.
[02:28:47.780 --> 02:28:49.780]  All right. We're going to come back from the break.
[02:28:49.780 --> 02:29:08.780]  For more calls straight ahead, infowars.com to Mara's News Today.
[02:29:19.780 --> 02:29:25.780]  So that means even on orders that are below $50, you're going to be paying way lower than you were previously.
[02:29:25.780 --> 02:29:28.780]  This is a game changer. We're so excited about it.
[02:29:28.780 --> 02:29:32.780]  Our listeners had really asked for free shipping again. We couldn't afford it before,
[02:29:32.780 --> 02:29:35.780]  but by moving to a bigger national distributor, we're able to do it.
[02:29:35.780 --> 02:29:40.780]  So now your orders will be shipped even faster, the same great customer service and more.
[02:29:40.780 --> 02:29:47.780]  So get huge discounts and free shipping on so many great items at infowarsstore.com right now.
[02:29:47.780 --> 02:29:51.780]  I want to thank you all for your support, but now there's no excuse to boost your immune system.
[02:29:51.780 --> 02:30:18.780]  We need a healthier life to keep infowars on the air at infowarsstore.com.
[02:30:21.780 --> 02:30:27.780]  People continuing to support infowars, despite the massive law fair being waged against infowars,
[02:30:27.780 --> 02:30:32.780]  despite the media defamatory libelous campaign against infowars,
[02:30:32.780 --> 02:30:38.780]  the ordinary people, the everyday people that buy products that make their own lives healthier, wealthier,
[02:30:38.780 --> 02:30:41.780]  and wiser is what keeps infowars on the air.
[02:30:41.780 --> 02:30:47.780]  And what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[02:30:47.780 --> 02:30:52.780]  So continue to do it. Go to places like infowarsstore.com. Go to places like saveinfowars.
[02:30:52.780 --> 02:31:18.780]  Continue to keep infowars alive because in the process you're keeping American liberty alive.
[02:31:18.780 --> 02:31:22.780]  We'll keep doing our best so long as you keep us on the air.
[02:31:22.780 --> 02:31:26.780]  And you can do that now at infowarsstore.com.
[02:31:26.780 --> 02:31:30.780]  Help us clear out our stock of bodies tumored.
[02:31:30.780 --> 02:31:33.780]  Vitamin C with zinc and alpha power.
[02:31:33.780 --> 02:31:40.780]  Turn those shady Federal Reserve notes into the highest quality supplements available while they still last.
[02:31:40.780 --> 02:31:43.780]  Now with free shipping.
[02:31:43.780 --> 02:31:51.780]  We thank you for your support, and we wish you a very peaceful, happy, and merry Christmas.
[02:31:51.780 --> 02:31:59.780]  And for more story on now.
[02:31:59.780 --> 02:32:04.780]  I have been in a 28-year marathon battle with the globalist.
[02:32:04.780 --> 02:32:10.780]  I have come from nowhere to the very heights of politics, not just in America, but the world.
[02:32:10.780 --> 02:32:15.780]  We are engaging the globalist at point-blank range in the information war.
[02:32:15.780 --> 02:32:17.780]  But I don't deserve the credit.
[02:32:17.780 --> 02:32:24.780]  Yes, I've persevered, but the listeners and viewers who support infowars are the real reason we've had this success.
[02:32:24.780 --> 02:32:30.780]  We're having now the greatest victories in the fight against the new order we've ever had.
[02:32:30.780 --> 02:32:34.780]  We are now entering the final mile of the marathon.
[02:32:34.780 --> 02:32:40.780]  And that's why today it's more important than ever to realize how important you've been in this fight,
[02:32:40.780 --> 02:32:44.780]  and to continue in the efforts you've been tearing out, and to intensify them.
[02:32:44.780 --> 02:32:47.780]  God bless you all. I salute you. I thank you.
[02:32:47.780 --> 02:32:53.780]  And I beg you to intensify what you're doing now, because we are over the target, and history is happening.
[02:32:53.780 --> 02:32:58.780]  The fight is my fight. It's your fight. It's our fight. God bless you all.
[02:32:58.780 --> 02:33:05.780]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:33:28.780 --> 02:33:32.780]  Broadcasting Worldwide, it's Alex Jones.
[02:33:32.780 --> 02:33:37.780]  Alright, Robert and Thailand and others in Canada, you name it, are up next.
[02:33:37.780 --> 02:33:42.780]  Here on the Alex Jones Show coming to you from deep in the heart of Texas, broadcasting Worldwide.
[02:33:42.780 --> 02:33:47.780]  But I meant to cover this when it broke last Friday. I didn't get to it, so I want to play it now and just briefly comment.
[02:33:47.780 --> 02:33:53.780]  If you're an American and you believe in July 4th, the Millerites of Constitution and Declaration of Independence,
[02:33:53.780 --> 02:33:59.780]  you're not an Anglophile. You're not worshiping the British government, you're not worshiping the British Crown.
[02:33:59.780 --> 02:34:02.780]  Plus they're not even British, they're not even German, they're like Transylvanian.
[02:34:02.780 --> 02:34:04.780]  And they're at the heart of the New World Order.
[02:34:04.780 --> 02:34:09.780]  And you go to a Walgreens, you go to a grocery store, when you're checking out my whole life,
[02:34:09.780 --> 02:34:15.780]  it's just nothing but royal family crap, like it's our first family, and it's like we're supposed to worship it.
[02:34:15.780 --> 02:34:21.780]  And they take away the Brits culture, they don't let it promote any nationalism except the royal family,
[02:34:21.780 --> 02:34:24.780]  which is running the country to destroy it.
[02:34:24.780 --> 02:34:30.780]  So Prince Charles is now King Charles III, and he is on the World Economic Forum and helping captain it.
[02:34:30.780 --> 02:34:32.780]  He wants to depopulate you.
[02:34:32.780 --> 02:34:42.780]  So I love the Celtics player who got questioned when the royal family was there, that, you know, idiot,
[02:34:42.780 --> 02:34:51.780]  Prince Ling and his wife, and then the coach also just blow it away because this is a joke.
[02:34:51.780 --> 02:34:54.780]  America is not about worshiping royalty, here it is.
[02:34:56.780 --> 02:34:59.780]  I know you guys have played in front of a lot of celebrities,
[02:34:59.780 --> 02:35:02.780]  but what was it like to compete in front of royalty tonight?
[02:35:02.780 --> 02:35:05.780]  The Prince and Princess of Wales were in the building.
[02:35:05.780 --> 02:35:07.780]  It was just a regular game to me.
[02:35:07.780 --> 02:35:12.780]  Did you get a chance to meet with the royal family?
[02:35:12.780 --> 02:35:16.780]  And if not, how was it like having them there in the building?
[02:35:16.780 --> 02:35:18.780]  Jesus, Mary, and Joseph.
[02:35:18.780 --> 02:35:21.780]  The Prince and Princess of Wales?
[02:35:21.780 --> 02:35:23.780]  No, I did not.
