[00:01.000 --> 00:05.000]  You're listening to the Alex Jones show.
[02:28:22.000 --> 02:28:25.000]  Looking at this, they're trying to shut down free speech.
[02:28:25.000 --> 02:28:27.000]  They're going after Christians.
[02:28:27.000 --> 02:28:30.000]  They now realize Trump is standing against that as a last gasp.
[02:28:30.000 --> 02:28:32.000]  That's why they're so desperate.
[02:28:32.000 --> 02:28:37.000]  The churches need to know that this crossroads, covering their rear ends, not sticking their
[02:28:37.000 --> 02:28:39.000]  heads up, they're going to lose everything.
[02:28:39.000 --> 02:28:43.000]  Don't they understand that if they're going to lose their free speech, if they don't
[02:28:43.000 --> 02:28:45.000]  stand up now?
[02:28:45.000 --> 02:28:50.000]  Look, it's like the churches in Germany, when there were churches near each other and they
[02:28:50.000 --> 02:28:53.000]  would come to take the people to take them to the gas chambers.
[02:28:53.000 --> 02:28:57.000]  The other church would sing loud, you know, to drown out the cries.
[02:28:57.000 --> 02:28:59.000]  So there's always been around.
[02:28:59.000 --> 02:29:04.000]  And you hear the story of the Good Samaritan, how, you know, the Levi walked by and then
[02:29:04.000 --> 02:29:06.000]  the priest walks by.
[02:29:06.000 --> 02:29:12.000]  But it took somebody putting themselves in harm's way to get down off his horse or donkey,
[02:29:12.000 --> 02:29:16.000]  whatever he's riding, and then pick him up and take him to the inn.
[02:29:16.000 --> 02:29:19.000]  And so the church should be on that mission.
[02:29:19.000 --> 02:29:24.000]  If you go back and study history, as you have, you see people like Wilberforce that stopped
[02:29:24.000 --> 02:29:26.000]  slavery in England.
[02:29:26.000 --> 02:29:27.000]  These people were counted.
[02:29:27.000 --> 02:29:31.000]  People like Dr. David Livingston that went to Africa.
[02:29:31.000 --> 02:29:36.000]  And with no radio, television, no cell for nothing, walking, mobile line.
[02:29:36.000 --> 02:29:37.000]  His wife died at 41.
[02:29:37.000 --> 02:29:38.000]  He died at 60.
[02:29:38.000 --> 02:29:41.000]  And these people have impacted history.
[02:29:41.000 --> 02:29:42.000]  We've done to us.
[02:29:42.000 --> 02:29:45.000]  I've gone where David Livingston went.
[02:29:45.000 --> 02:29:46.000]  Pastor, please stay there.
[02:29:46.000 --> 02:29:47.000]  Please stay there.
[02:29:47.000 --> 02:29:49.000]  Do a few more minutes with us just on other big issues.
[02:29:49.000 --> 02:29:51.000]  You'd like to relay to the listeners and viewers.
[02:29:51.000 --> 02:29:52.000]  It's amazing.
[02:29:52.000 --> 02:29:53.000]  They have you with us folks.
[02:29:53.000 --> 02:29:55.000]  They are planning a coup against Trump.
[02:29:55.000 --> 02:29:56.000]  We must raise the alarm.
[02:29:56.000 --> 02:29:57.000]  We're on the march.
[02:29:57.000 --> 02:30:00.000]  The Empire's on the run.
[02:30:00.000 --> 02:30:03.000]  Alex Jones and the GCN Radio Network.
[02:30:30.000 --> 02:30:37.000]  I'm sorry to say some others of an entirely different character will try to downgrade them,
[02:30:37.000 --> 02:30:39.000]  even to the extent of mockery and ridicule.
[02:30:39.000 --> 02:30:41.000]  But these are some of the things they do.
[02:30:41.000 --> 02:30:43.000]  They build your basic character.
[02:30:43.000 --> 02:30:47.000]  They mold you for the future roles as a custodian of the nation.
[02:30:47.000 --> 02:30:48.000]  I'm sorry.
[02:30:48.000 --> 02:30:49.000]  I'm sorry.
[02:30:49.000 --> 02:30:50.000]  I'm sorry.
[02:30:50.000 --> 02:30:51.000]  I'm sorry.
[02:30:51.000 --> 02:30:52.000]  I'm sorry.
[02:30:52.000 --> 02:30:53.000]  I'm sorry.
[02:30:53.000 --> 02:30:54.000]  I'm sorry.
[02:30:54.000 --> 02:30:55.000]  I'm sorry.
[02:30:55.000 --> 02:31:01.000]  They build your basic character, they mold you for the future roles as a custodian of the nation's defense.
[02:31:01.000 --> 02:31:06.000]  This was set on May 12, 1962 by General Douglas MacArthur.
[02:31:06.000 --> 02:31:26.000]  Joe Biggs with Infowars.com.
[02:31:37.000 --> 02:31:48.000]  Who oil I'm talking about when compared to traditional methods of preservation like canning or dehydrating you know, like what she get at the grocery store.
[02:31:48.000 --> 02:31:49.000]  There is no comparison.
[02:31:49.000 --> 02:31:58.000]  Harvest right, phase dryers retain 97 percent of the food's taste, color and nutritional volume and have a shelf life of up to 25 years.
[02:31:58.000 --> 02:32:02.000]  That's what I call the miracle of food preservation.
[02:32:02.000 --> 02:32:05.000]  Harvest right is truly the world's best most affordable freeze dryer.
[02:32:05.000 --> 02:32:10.000]  waiting for. Check it out right now at m4store.com.
[02:32:35.000 --> 02:33:01.000]  I'm getting ready to have a bunch of folks go ahead and come on here and tell you what it did for them because regardless you can't lose your fun in the operation.
[02:33:01.000 --> 02:33:19.000]  infowarslife.com, infowarsstore.com, or cripple82533139.
[02:33:19.000 --> 02:33:41.000]  You are listening to an infowars.com frontline report. If you are receiving this transmission, you are the resistance.
[02:33:41.000 --> 02:33:55.000]  Pastor Rodney Howard Brown is our guest. He'll be gone in about 10 minutes or so. We're talking to Jason in Germany, Natalie in Australia, Megan in Wisconsin, Carlos in Canada, Sean in Oklahoma, and others.
[02:33:55.000 --> 02:33:59.000]  And we'll continue riding shotgun with Owen Schreuer.
[02:33:59.000 --> 02:34:08.000]  Coming up in the fourth hour today, we also have another host. Paul Watson is hosting some of the broadcast tomorrow as well. I'll be here hosting the main transmission.
[02:34:08.000 --> 02:34:17.000]  Pastor Rodney Howard, we have all these callers from Australia, Germany, you name it. This is a worldwide awakening to unelected global government.
[02:34:17.000 --> 02:34:23.000]  And I see all the headlines about Trump trying to stop the rule of law and Trump trying to influence his attorney general.
[02:34:23.000 --> 02:34:28.000]  They're not doing anything to Hillary. They're not going after any of these big crimes.
[02:34:28.000 --> 02:34:38.000]  And they're arrogantly trying to block the election that we just saw. You're a smarter guy than I am in many ways. I mean, I consider it as questions.
[02:34:38.000 --> 02:34:43.000]  But most importantly, what do you want to impart to the listeners and the viewers right now?
[02:34:43.000 --> 02:34:50.000]  What I'm getting from you is basically the same thing I'm feeling in my gut, but also intellectually seeing. This is such a critical time.
[02:34:50.000 --> 02:35:02.000]  The country and the world's future is on a nice edge. And if we simply speak out and take action and expose what's happening, which is starting to happen, they won't be able to carry out this coup.
[02:35:02.000 --> 02:35:18.000]  And we'll also realize the soft coup, all the made up Russia gate, dragnets or frauds and derail that and continue the move to remove the Democrats and Republican establishment people from power peacefully through the electoral process.
[02:35:18.000 --> 02:35:28.000]  My problem is I see the Democrats and Soros and others openly calling for civil war, openly calling for cop killing, openly calling for destabilization.
[02:35:28.000 --> 02:35:34.000]  And at a certain point, the president constitutionally needs to move against them.
[02:35:34.000 --> 02:35:47.000]  Now, people say, oh, well, that's fascism. No, it's not. If you have a president with rogue global elements trying to cause civil war, trying to call for coups, it's dereliction of all of our duty if we don't do something.
[02:35:47.000 --> 02:35:56.000]  So we need to spread the word. We need to expose things. But what else do we need to impart to listeners and viewers and people about what they need to be doing right now?
[02:35:56.000 --> 02:36:05.000]  Well, of course, I'm I carry the message of the gospel of Jesus Christ because the only way to change everybody's get their heart changed.
[02:36:05.000 --> 02:36:08.000]  So that's what we focusing on 24 hours a day.
[02:36:08.000 --> 02:36:17.000]  And then also to mobilize the people once they've given the lives to Christ to be used of God and become his hands and feet in his mouth and then be mobilized.
[02:36:17.000 --> 02:36:19.000]  I believe people need to run for office.
[02:36:19.000 --> 02:36:21.000]  People need to get into government.
[02:36:21.000 --> 02:36:27.000]  We started actually in Tampa School of Government because and I've got some people that are going to run 2018 2020.
[02:36:27.000 --> 02:36:30.000]  So we cannot be quiet.
[02:36:30.000 --> 02:36:36.000]  We've got to be proactive if the Christian, if the godly people do nothing, only the wicked will prevail.
[02:36:36.000 --> 02:36:39.000]  And this thing is is it was so far gone.
[02:36:39.000 --> 02:36:44.000]  If you understand where the president went into the middle of the biggest swamp ever.
[02:36:44.000 --> 02:36:47.000]  And so that's why we have to pray for his protection.
[02:36:47.000 --> 02:36:55.000]  That's why we started our pre initiative basic is 24 seven prayer around the clock just for the protection of the president so that they don't do anything.
[02:36:55.000 --> 02:37:01.000]  You know, I pray of his food. They don't try to poison him or do whatever because, you know, here's the problem.
[02:37:01.000 --> 02:37:03.000]  These people are wicked.
[02:37:03.000 --> 02:37:07.000]  These people are Luciferian. They worship Lucifer at the highest levels.
[02:37:07.000 --> 02:37:13.000]  And so what would stop them from collapsing the dollar, plunging America into another great depression.
[02:37:13.000 --> 02:37:18.000]  They're already dying from an EMP attack on America knocking out the electrical grid.
[02:37:18.000 --> 02:37:20.000]  I'm warned about all these things.
[02:37:20.000 --> 02:37:27.000]  So we have to pray and I know that many people say, oh, it's not going to happen, but it's a critical mass now.
[02:37:27.000 --> 02:37:32.000]  If if if America is an hourglass, the final grains of sand are coming through it.
[02:37:32.000 --> 02:37:38.000]  And we have to have to do something. We've got to do something.
[02:37:38.000 --> 02:37:44.000]  Well, that's why I'm in Hawaii is because a lot of the elites are moving to Kauai, Zuckerberg and others.
[02:37:44.000 --> 02:37:48.000]  And then it's even come out in the newspapers years after what I learned from my sources.
[02:37:48.000 --> 02:37:53.000]  Is that even though if there's a breakdown in civilization, it'd be hard to get off the island.
[02:37:53.000 --> 02:37:58.000]  They're planning such a big prolonged civil war based on racial issues and other things.
[02:37:58.000 --> 02:38:03.000]  They admit they are in the WikiLeaks that there might be total breakdown in many areas.
[02:38:03.000 --> 02:38:10.000]  And I've been looking at Hawaii as a place if I see the signs to evacuate my family to that's still in the United States,
[02:38:10.000 --> 02:38:12.000]  then I would stay in Texas.
[02:38:12.000 --> 02:38:19.000]  It's it's it's that bad that I'm actually having to look at evacuation strategies and the elites.
[02:38:19.000 --> 02:38:21.000]  It's all over the newspaper are digging in.
[02:38:21.000 --> 02:38:24.000]  They're moving here or they're moving to Tasmania.
[02:38:24.000 --> 02:38:32.000]  And when you see the globalist themselves building armored redoubts in bunkers right here in Kauai
[02:38:32.000 --> 02:38:36.000]  and in planning to basically shut this off if the mainland collapses,
[02:38:36.000 --> 02:38:38.000]  it lets you know what you just said.
[02:38:38.000 --> 02:38:41.000]  These Luciferians started World Wars trying to get full control.
[02:38:41.000 --> 02:38:43.000]  They won't do anything.
[02:38:43.000 --> 02:38:48.000]  But as you said, prayer and connecting to God, they hate that because there's strength in it.
[02:38:48.000 --> 02:38:50.000]  Why is there so much strength in that?
[02:38:50.000 --> 02:38:54.000]  Because obviously God is the creative heaven and earth.
[02:38:54.000 --> 02:38:58.000]  And when we pray, then God gets involved in the affairs of man.
[02:38:58.000 --> 02:39:05.000]  If anybody thinks that it's an accident that President Trump is in the White House and they don't understand the power of God,
[02:39:05.000 --> 02:39:09.000]  they're actually delivered America from a wicked system that was going to be put in place.
[02:39:09.000 --> 02:39:13.000]  Can you imagine where we would be if Hillary had got in?
[02:39:13.000 --> 02:39:21.000]  Oh, Lord have mercy. I can imagine everything, the health, carbon taxes, open borders, executive order, gun control,
[02:39:21.000 --> 02:39:24.000]  restricting free speech, they'd announced it all.
[02:39:24.000 --> 02:39:29.000]  Totally. And then we would have been shut down, especially me because I'm very vocal.
[02:39:29.000 --> 02:39:31.000]  And I'm not going to be quiet, Alex.
[02:39:31.000 --> 02:39:34.000]  I mean, I never have. I was raised as a kid. That's how I was.
[02:39:34.000 --> 02:39:37.000]  I always got myself into trouble for opening my mouth.
[02:39:37.000 --> 02:39:40.000]  But if I feel something's wrong, I'm going to talk out about it.
