[00:00.000 --> 00:09.000]  media. Government cover-ups. You want answers? Well, so does he. He's Alex Jones on the GCN
[2:18:59.960 --> 2:19:09.960]  they did not care what kind of weapon malfunctioned if it had more than two shots with one pull the trigger, including your double barrel shotgun,
[2:19:09.960 --> 2:19:18.960]  or including a single action Western style revolver, and that's possible. They considered it an illegal machine gun.
[2:19:18.960 --> 2:19:28.960]  And so I want everybody who's listening to realize that they may very well be blamed or charged with owning an illegal machine gun if the gun malfunctions.
[2:19:28.960 --> 2:19:29.960]  Stay there.
[2:19:29.960 --> 2:19:36.960]  Yeah, yeah. Violent offenders aren't the target. They let them out. It's you. They want your farm. They want your ranch.
[2:19:36.960 --> 2:19:43.960]  They're called all the time gunning families down to get their property. They're coming. They're coming to kill you. They want to kill you and your family.
[2:19:43.960 --> 2:20:07.960]  I'm not joking. We'll be right back.
[2:20:24.960 --> 2:20:30.960]  Thousands of special video reports from tainted vaccines to martial law can be found in this online video library,
[2:20:30.960 --> 2:20:35.960]  by weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[2:20:35.960 --> 2:20:44.960]  The info war is waiting for you to set it free. Join prisonplanet.tv. Burn the info bombs to disk. Put them on the file sharing networks.
[2:20:44.960 --> 2:20:48.960]  Bring down the new world order. Prisonplanet.tv.
[2:20:48.960 --> 2:20:58.960]  Ten enters from May 20, 2008 gold, 90670 ounce gold coins can be purchased for 932.99, 459.55 for half, 229.78 for quarter.
[2:20:58.960 --> 2:21:03.960]  That's 932.99, 459.55 and 229.78.
[2:21:03.960 --> 2:21:16.960]  On June 4, 1963, an unknown presidential decree, executive order 11,110 was signed with the authority to strip the Federal Reserve Bank of its power to lend money to the United States government and interest.
[2:21:16.960 --> 2:21:23.960]  With the stroke of a pen, Kennedy would have put the Fed out of business. The November assassination quieted the production of the new currency.
[2:21:23.960 --> 2:21:26.960]  However, the executive order still stands unrepealed.
[2:21:26.960 --> 2:21:37.960]  Midas has the Kennedy versus Fed document. Call 800-686-2237. Unlike your liberty, the paper is free. Call 800-686-2237.
[2:21:37.960 --> 2:21:47.960]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237. That's 800-686-2237.
[2:21:47.960 --> 2:21:59.960]  Yes, there is an in-dash AMFM shortwave radio. For limited time and in limited numbers, the Sony GT160S AMFM shortwave radio and CD player is available only at the power hour.
[2:21:59.960 --> 2:22:07.960]  This radio is designed to eliminate interference from ignition systems and the result is clear, clean reception, so you can hear your favorite broadcasts both domestically and internationally.
[2:22:07.960 --> 2:22:18.960]  Get your Sony AMFM shortwave radio and CD player from the power hour today. Call 877-817-9829. That's 877-817-9829 to order.
[2:22:18.960 --> 2:22:25.960]  Only $249 plus shipping and handling, and we'll ship it right to you. There's even an input to plug in an external source.
[2:22:25.960 --> 2:22:31.960]  Your MP3 player, your iPod, your DVD player, or any other source will sound great through your new Sony receiver.
[2:22:31.960 --> 2:22:38.960]  These radios are not available anywhere else and for a limited time, so call now.
[2:22:38.960 --> 2:22:47.960]  That's 877-817-9829 and get your Sony GT160S AMFM shortwave radio and CD player from the power hour.
[2:22:47.960 --> 2:22:57.960]  Hi, this is Dave from Ready Reserve Foods. I have been waiting patiently for the government and mainstream media to inform you of what is turning out to be the biggest problem facing the world in the last 50 years.
[2:22:57.960 --> 2:23:03.960]  For the last three years, the earth has consumed more food than it has been able to produce and it has now finally caught up with us.
[2:23:03.960 --> 2:23:09.960]  In the U.S. commodities such as flour and rice are already being rationed and the next rice crop won't be available for another four to five months.
[2:23:09.960 --> 2:23:17.960]  It's fall in the southern hemisphere and many countries are short the food necessary to make it through the winter and have stopped exporting certain commodities altogether.
[2:23:17.960 --> 2:23:24.960]  Remember our trade deficit? Trillions of dollars have stacked up outside the country and are now rushing in to buy our food production at any price.
[2:23:24.960 --> 2:23:31.960]  By late summer, if not early fall, it is likely our government will step in and control food and food exports under martial law.
[2:23:31.960 --> 2:23:58.960]  Call Ready Reserve Foods at 1-800-453-2202 or visit us at www.readyreservefoods.com.
[2:23:58.960 --> 2:24:06.960]  Folks, if I sound angry, even an act, I can barely contain myself, not knocking holes on the wall, overthrowing things.
[2:24:06.960 --> 2:24:13.960]  I see police now and I become nauseous. I can't sleep, I can't enjoy my life because you know what, I know they've built death camps.
[2:24:13.960 --> 2:24:22.960]  It's in the mainstream news. I know the people that run our country put Saddam into power, put Mao into power, put Hitler into power, put Lenin into power.
[2:24:22.960 --> 2:24:30.960]  I know they want power and control and now they've brainwashed our poor police and they've brought back hundreds of thousands of troops to become police that were all brainwashed.
[2:24:30.960 --> 2:24:35.960]  One in ten college grads is going to be Homeland Security related. They admit they're spying on all Americans.
[2:24:35.960 --> 2:24:47.960]  I mean, this is classical tyranny. John Yu writes memos and then gets, you know, top chairmanship at major colleges saying they can torture a two-year-old with pliers sexually.
[2:24:47.960 --> 2:24:57.960]  I mean, look, torturing children sexually is wrong. I can't believe I've even, I'm in a twilight zone. Aaron Zelman, do you ever feel like you're in a twilight zone episode?
[2:24:57.960 --> 2:25:05.960]  I mean, do you understand the feelings I'm having? They're normal, healthy instincts. I have to control myself, not out of fear because I want to see the end.
[2:25:05.960 --> 2:25:11.960]  I want to go through it. I want to see them go to hot war so I can, you know, defend myself. But at the other side, I don't.
[2:25:11.960 --> 2:25:18.960]  I like, have to control my instinct to flee, you know, to get my family out of here. Is this Nazi Germany? Is this Soviet Russia?
[2:25:18.960 --> 2:25:21.960]  I mean, do you see the thing I'm saying here, Aaron?
[2:25:21.960 --> 2:25:29.960]  Well, I think for any of us who have a little gray hair and remember Barry Goldwater, this is not the America that we were raised in.
[2:25:29.960 --> 2:25:37.960]  I'm not sure what this country is anymore. But no, you're right. In other words, there's something is extremely wrong in this country.
[2:25:37.960 --> 2:25:44.960]  They've been very clever in bringing about in a gradual way. But as some people say, we're approaching the endgame.
[2:25:44.960 --> 2:25:58.960]  I'm not trying to be alarmist. There's something very wrong in this country when we have the legislation that's being put forth to destroy freedoms to spy on people.
[2:25:58.960 --> 2:26:03.960]  When you have the NRA who's made it very clear they don't want to abolish the ATF.
[2:26:03.960 --> 2:26:10.960]  When you have Congress people who Congress Critters call what you will, they really don't care whether you write them or not.
[2:26:10.960 --> 2:26:12.960]  And by the way, that's what you say.
[2:26:12.960 --> 2:26:15.960]  By the way, the BATF is ballooning in size right now.
[2:26:15.960 --> 2:26:27.960]  That it is. And it's really, in fact, all of government is, you know, government has been at all levels of government is getting bigger and bigger and bigger.
[2:26:27.960 --> 2:26:34.960]  And now they tell us that our dollar's gone. We're totally devalued. That's it. They're just going to take everything we've gotten when we scream.
[2:26:34.960 --> 2:26:36.960]  They're going to blow our heads off.
[2:26:36.960 --> 2:26:44.960]  Well, maybe in other words, there's a lot of, there's some unknowns.
[2:26:44.960 --> 2:26:51.960]  We don't know who's really in charge of the computers, who's willing to hack them if that's possible at all.
[2:26:51.960 --> 2:26:57.960]  We really don't know what some people have been planning to do that are pro-freedom.
[2:26:57.960 --> 2:26:59.960]  So there's some unknowns out there.
[2:26:59.960 --> 2:27:05.960]  Although I don't want to give anybody any false impressions that anything good's going to happen.
[2:27:05.960 --> 2:27:07.960]  I don't want to mislead anybody.
[2:27:07.960 --> 2:27:12.960]  But we're facing a situation that is, I'm surprised we even have this conversation.
[2:27:12.960 --> 2:27:15.960]  I never thought we've had a conversation like this 20 years ago.
[2:27:15.960 --> 2:27:20.960]  But here we are talking about America or what used to be America.
[2:27:20.960 --> 2:27:24.960]  No, there's no doubt they're going for hot war on the people.
[2:27:24.960 --> 2:27:27.960]  And they're ratcheting it up, but it's not incremental anymore.
[2:27:27.960 --> 2:27:31.960]  It's huge, I mean, going back to the John U memos.
[2:27:31.960 --> 2:27:36.960]  How does the White House say we torture little children with pliers, rip their genitals off?
[2:27:36.960 --> 2:27:41.960]  I mean, what the hell? What the hell, man? I want them all arrested now.
[2:27:41.960 --> 2:27:49.960]  I'm pissed, man. I'm pissed. I want these sacks of murder and trash out of my government.
[2:27:49.960 --> 2:27:56.960]  And how dare the police with relish and demonic looks in their faces enjoy destroying our liberties?
[2:27:56.960 --> 2:28:00.960]  Why are they going along with it, Aaron? Is it just their mindless power trips?
[2:28:00.960 --> 2:28:02.960]  I don't know. It's beyond that.
[2:28:02.960 --> 2:28:08.960]  I think that, you know, if you give somebody the, as pointed out in this little book called Ordinary Men,
[2:28:08.960 --> 2:28:12.960]  encourage people to go buy a copy. It's probably 12 bucks in the stores.
[2:28:12.960 --> 2:28:17.960]  You will learn that once a person is given a badge and some power,
[2:28:17.960 --> 2:28:21.960]  they will then follow through and do whatever they're told to do.
[2:28:21.960 --> 2:28:25.960]  With a rare exception, when you find someone who says no thank you and walk away,
[2:28:25.960 --> 2:28:27.960]  assuming he's not shot in the back.
[2:28:27.960 --> 2:28:30.960]  And so this is what we have in America today.
[2:28:30.960 --> 2:28:34.960]  If you look at these people who are at the airport, the Homeland Security goons,
[2:28:34.960 --> 2:28:41.960]  that these are, most of these people are really just average people who've been given a badge and some power and authority,
[2:28:41.960 --> 2:28:45.960]  and they will use it and abuse it to the fullest extent possible.
[2:28:45.960 --> 2:28:47.960]  And that's human nature.
[2:28:47.960 --> 2:28:52.960]  Well, the feds admit that's to train us for this on the streets and now they're doing that.
[2:28:52.960 --> 2:28:56.960]  I mean, I'm tired of people coming up to me wanting my papers or checkpoints.
[2:28:56.960 --> 2:28:59.960]  I mean, I'm getting, I just can't believe it, Aaron.
[2:28:59.960 --> 2:29:06.960]  Well, I would suggest to all of your listeners that maybe you can help them along this road,
[2:29:06.960 --> 2:29:10.960]  but everybody really needs to get their hands on a little camera, a video camera.
[2:29:10.960 --> 2:29:16.960]  And they need to start creating some footage, B-roll as it's called, I think.
[2:29:16.960 --> 2:29:18.960]  And they need to start making it available.
[2:29:18.960 --> 2:29:22.960]  You know, they're the best way to deal with this issue is to shine a light a day on it.
[2:29:22.960 --> 2:29:26.960]  Stay there, Aaron. I agree. I want to give out the website how people get involved with your group.
[2:29:26.960 --> 2:29:29.960]  Any key points you want to talk about? I'm sorry I'm blowing up.
[2:29:29.960 --> 2:29:32.960]  I just feel trapped, folks. I know it's evil. I know what's going to happen.
[2:29:32.960 --> 2:29:35.960]  I told you what would happen in the past. It's bad, folks.
[2:29:35.960 --> 2:29:37.960]  They're going to kill millions of us.
[2:29:37.960 --> 2:29:41.960]  We're on the march. The Empire's on the run.
[2:29:41.960 --> 2:29:47.960]  Alex Jones and the GCN Radio Network.
[2:29:47.960 --> 2:29:52.960]  It is a big idea. A new world order.
[2:29:52.960 --> 2:29:57.960]  In the near future, Earth is dominated by a powerful world government.
[2:29:57.960 --> 2:29:59.960]  It's known as the Builder Bird.
[2:29:59.960 --> 2:30:02.960]  What their objective being world domination?
[2:30:02.960 --> 2:30:05.960]  For thousands of years, their dark order grew.
[2:30:05.960 --> 2:30:08.960]  Now as they hail the birth of the new world order,
[2:30:08.960 --> 2:30:13.960]  their great dream of exterminating 80% of humanity is at hand.
[2:30:16.960 --> 2:30:21.960]  For the first time in history, the elite's plan for world government is blown wide open.
[2:30:21.960 --> 2:30:25.960]  You will learn the secret that drives the entire new world order agenda.
[2:30:25.960 --> 2:30:28.960]  Builder Bird is making great progress toward a world government.
[2:30:28.960 --> 2:30:31.960]  Most people have no idea. They're not after money. They have all the money they need.
[2:30:31.960 --> 2:30:33.960]  They're after power. That's their after-easy.
[2:30:33.960 --> 2:30:38.960]  Order in-game on DVD at prisonplanet.com or infowars.com
[2:30:38.960 --> 2:30:42.960]  or watch it online right now at prisonplanet.tv.
[2:30:42.960 --> 2:30:47.960]  In-game, blueprint for global enslaved. You have been warned.
[2:30:47.960 --> 2:30:52.960]  The Federal Trade Commission estimates that 9 million Americans are victims of identity theft each year.
[2:30:52.960 --> 2:30:58.960]  The crime of identity theft occurs every 3.5 seconds, costing the victims an average of $8,000.
[2:30:58.960 --> 2:31:05.960]  If you own a PC, passwords are a common form of authentication and often the only protection between a hacker and your personal information.
[2:31:05.960 --> 2:31:14.960]  Passwords that are stored in a spreadsheet, text file, data file or any other file that is not encrypted and password protected are vulnerable to malicious theft and misuse.
[2:31:14.960 --> 2:31:19.960]  With Password Safe Pro, your passwords can be secured in an encrypted database within minutes.
[2:31:19.960 --> 2:31:26.960]  Password Safe Pro utilizes secure 160-bit encryption and comes complete with a strong password generation tool.
[2:31:26.960 --> 2:31:34.960]  For secure password protection and peace of mind, get your free Password Safe Pro today at www.passwordsafepro.com.
[2:31:34.960 --> 2:31:40.960]  Again, get your free Password Safe Pro at www.passwordsafepro.com.
[2:31:40.960 --> 2:31:44.960]  Secure password protection and peace of mind is one click away.
[2:31:44.960 --> 2:31:47.960]  Trust the Pro Password Safe Pro.
[2:31:47.960 --> 2:31:50.960]  Hemp, the super food for you and your family.
[2:31:50.960 --> 2:31:54.960]  Hemp has nutritional values that far exceed any known plant.
[2:31:54.960 --> 2:31:57.960]  Hemp, used for food, clothing and shelter since time began.
[2:31:57.960 --> 2:32:04.960]  Hemp, this God-given food source is controlled by your government making it not legal to grow for American people and farmers but legal to import.
[2:32:04.960 --> 2:32:08.960]  Our founding fathers grew hemp because they knew of the benefits it offered.
[2:32:08.960 --> 2:32:12.960]  The protein powder, seeds and oil are available through hempusa.org.
[2:32:12.960 --> 2:32:23.960]  Recommended daily intake of this food source will allow the body to heal itself from many ailments loaded with potassium, magnesium, calcium, essential fatty acids, amino acids and nutrients not available in other plants.
