[00:00.000 --> 00:30.000]  Infowars, the most band network in the world
[01:46:00.360 --> 01:46:04.360]  Thank you for humoring me and covering those other important subjects.
[01:46:04.360 --> 01:46:11.360]  Well, it's not humoring you. They're all related, OK? It's like an octopus.
[01:46:11.360 --> 01:46:16.360]  You've got the head, which is Lucifer, and the Illuminati, the globalists.
[01:46:16.360 --> 01:46:20.360]  But then you've got the tentacles, and all of the tentacles are out there touching on everything.
[01:46:20.360 --> 01:46:24.360]  So let's talk about the forced starvation of humanity.
[01:46:24.360 --> 01:46:35.360]  Most people don't know that the United Nations plans to dole out, based on a social credit score system, calories allowable per person per day.
[01:46:35.360 --> 01:46:45.360]  Your calorie allotment, notice what I'm saying, your calorie allotment will be dependent on are you a good servant of the state?
[01:46:45.360 --> 01:46:55.360]  Well, nothing's sadder, Alex, than to watch hard men, hard working men, hard working women, who can't pay their bills and can't feed their families any longer.
[01:46:55.360 --> 01:47:01.360]  The destruction of food will also manifest in the destruction of families.
[01:47:01.360 --> 01:47:07.360]  We're going to see the apocalypse that would make Stalingrad and the end of World War II in Europe,
[01:47:07.360 --> 01:47:15.360]  where anybody would sell anything, including their children, including themselves, into prostitution, to simply feed their families.
[01:47:15.360 --> 01:47:19.360]  And this is what is referred to as a zombie apocalypse.
[01:47:19.360 --> 01:47:24.360]  And that's why evil wants that, to put us in such a desperate position that we'll do whatever they say.
[01:47:24.360 --> 01:47:29.360]  You got it. But before that time, what's the end of all this stuff?
[01:47:29.360 --> 01:47:38.360]  The end of all this stuff, the stuff we're putting on on the screen and just right now, is the destruction of humanity.
[01:47:38.360 --> 01:47:46.360]  The carbon footprints are you. It's like Soylent Green in Charlton Heston's movie. Soylent Green is people. Carbon footprints are people.
[01:47:46.360 --> 01:47:49.360]  When they say zero net carbon, they mean zero humans.
[01:47:49.360 --> 01:47:58.360]  You got it. And this is the hardest thing to get across. The human extinction is what is absolutely underway.
[01:47:58.360 --> 01:48:03.360]  Digital tracing can reduce industrial carbon. You know, can I tell you something?
[01:48:03.360 --> 01:48:11.360]  It's interesting that even we came out with just recently, not we, but they came out with the story that chemtrails are going on, blah, blah, blah.
[01:48:11.360 --> 01:48:20.360]  Weather modification is responsible for everything that's going on, including starvation, drought, famine and destruction.
[01:48:20.360 --> 01:48:27.360]  How is it that Texas and how is it that Florida get hit with anomalous weather patterns that have never been seen before?
[01:48:27.360 --> 01:48:34.360]  Well, I can tell you why. And I think, excuse me, Florida is a good example. If I said Texas, I meant Texas and Florida.
[01:48:34.360 --> 01:48:42.360]  Florida, basically, I think Governor DeSantis said Biden wouldn't give him a dime for reparations.
[01:48:42.360 --> 01:48:48.360]  And I really want people to understand this, Alex, that desperate people do desperate things.
[01:48:48.360 --> 01:48:51.360]  You know, Gerald Solente, God bless him. What a great statement he had.
[01:48:52.360 --> 01:49:01.360]  And I misquoted. But the gist of it is, is that, you know, when people run out of options and run out of time, they basically will do what's necessary.
[01:49:01.360 --> 01:49:07.360]  You remember his statement? I'm sorry. Excuse me right now. You know, the idea is this.
[01:49:07.360 --> 01:49:09.360]  And that was from Soylent Green, the movie.
[01:49:09.360 --> 01:49:19.360]  It's all designed to get us on a universal basic income that Elon Musk has also called for so they can track everything we do with the SEGs and with the central bank digital currencies.
[01:49:19.360 --> 01:49:25.360]  And with the social credit score, not give us our credits and we don't submit. They admit all this and now it's here.
[01:49:25.360 --> 01:49:30.360]  Yeah. And, you know, years ago that would have been called conspiracy theory.
[01:49:30.360 --> 01:49:34.360]  So let me let me just tell you what's going on last week, according to my sources.
[01:49:34.360 --> 01:49:45.360]  The bankers have been all over the world making sure that they can cover up the FTX fiasco long enough to get themselves out of it.
[01:49:46.360 --> 01:49:53.360]  Nobody realises, and we'll go back to Neuralink if you want, but nobody realises how devastating that was.
[01:49:53.360 --> 01:50:01.360]  Now, also, ladies and gentlemen, the majority of FTX funds and let's just call them the stolen funds are up in that.
[01:50:01.360 --> 01:50:05.360]  And you're going to hear me right. Eighty trillion dollars.
[01:50:05.360 --> 01:50:12.360]  And so everybody's worried about covering their tracks of who was associated with the Democratic Party.
[01:50:12.360 --> 01:50:21.360]  The key in understanding FTX and, you know, I call that guy Mophead. By the way, his name is Bankman Fried.
[01:50:21.360 --> 01:50:27.360]  It's just like he fried the banks. They're going to portray him as this poor, dumb guy.
[01:50:27.360 --> 01:50:31.360]  Or, oh, I didn't mean gee, I didn't know. That's all bogus.
[01:50:32.360 --> 01:50:42.360]  The entire FTX was set up as a money laundering undertaking globally, worldwide.
[01:50:42.360 --> 01:50:47.360]  And the numbers and the derivatives, people don't understand maybe what derivatives are really easy.
[01:50:47.360 --> 01:50:54.360]  Derivatives are debts. In other words, you package the debt of, let's say, what a cryptocurrency is worth.
[01:50:54.360 --> 01:51:00.360]  You price it multiple times of what it's currently worth. People then repackage that and sell it to the market.
[01:51:00.360 --> 01:51:10.360]  It goes on and on and on. The total exposure of derivatives in that case approaches a quadrillion dollars.
[01:51:10.360 --> 01:51:16.360]  A quadrillion. And most people don't know what that means. It's a thousand trillion.
[01:51:16.360 --> 01:51:21.360]  Because at so many levels, so much cross investment, so much of that.
[01:51:21.360 --> 01:51:29.360]  I'm told they are scrambling, Alex, because that amount of money can take down the entire global financial system.
[01:51:29.360 --> 01:51:37.360]  And by the way, for people that aren't informed on this, this happened in 2008, where we found out that they'd sold millions of houses 10 times, 20 times.
[01:51:37.360 --> 01:51:43.360]  Hundreds of thousands of houses up to 100 times. And it was all derivatives selling the same house over and over and over again.
[01:51:43.360 --> 01:51:47.360]  That's a simple way of putting it. That's how the globalists have all the money and control.
[01:51:47.360 --> 01:51:53.360]  They use it all to buy everything up and then leave us with the debt and the inflated currencies and the collapsing civilization.
[01:51:53.360 --> 01:51:58.360]  Now they're ready to bring down the whole bubble and bring in their new central bank digital currencies.
[01:51:59.360 --> 01:52:03.360]  That's absolutely correct, ladies and gentlemen. I want to tell you about Operation Sandman.
[01:52:03.360 --> 01:52:13.360]  This is really critical. Sandman, that's the name, is the statement of the, if you will, the OPEC nations.
[01:52:13.360 --> 01:52:25.360]  OPEC, oil petroleum exporting countries. And also the idea that the U.S. dollar has lost so much value, so much debt, can never be repaid.
[01:52:25.360 --> 01:52:35.360]  That behind the scenes, Alex, this is what I'm told. Watch it play out. At the time I was told this, there were only two countries pretty much joining with Russia.
[01:52:35.360 --> 01:52:52.360]  And that would have been China and Iran. What Operation Sandman is, is the collective denial of using U.S. dollars for any trade, accepting them for any projects or products.
[01:52:52.360 --> 01:52:59.360]  And in essence, the U.S. dollar will die at a certain point. And I mean, this is planned, okay?
[01:52:59.360 --> 01:53:06.360]  Yesterday or the day before, Egypt just signed on. BRICS. Brazil, Russia, India, China, South Africa.
[01:53:06.360 --> 01:53:17.360]  And also Iran is in that. Brazil, India, Iran, China. But now you can add to it Saudi Arabia. Saudi Arabia holds more U.S. debt.
[01:53:17.360 --> 01:53:25.360]  Maybe China could equal them. And behind the scenes, Alex, these people don't want any more U.S. dollars.
[01:53:25.360 --> 01:53:33.360]  They're holding literally quadrillions of dollars that are worthless. They know the United States can't pay.
[01:53:33.360 --> 01:53:45.360]  They know that force majeure of the dollar is coming in play. And if you look at this, you've got basically just between Xi on the end and the Indian prime minister.
[01:53:45.360 --> 01:53:56.360]  You've got basically, what, close to 3.5 billion people. And you've got Brazil in the middle. And what's South Africa on the end.
[01:53:56.360 --> 01:54:04.360]  But there's more than this. So imagine this, Alex, let me paint you a picture. Imagine that an agreement's going on in the background right now.
[01:54:04.360 --> 01:54:12.360]  This is called Operation Sandman. Imagine that people are watching the claims of specific countries going on behind the scenes,
[01:54:12.360 --> 01:54:24.360]  demanding to be paid in commodities for all the U.S. dollars. There's no U.S. dollars to pay. There's nothing, excuse me, there's no specie backing U.S. dollars.
[01:54:24.360 --> 01:54:26.360]  There's no gold.
[01:54:26.360 --> 01:54:34.360]  Only thing we had was oil and gas. And we were the number one producer under Trump. But that's been stopped with them shutting down our energy.
[01:54:34.360 --> 01:54:40.360]  So it looks like people running our country act like they're for the dollar. But they're doing everything they can to drive people out of the dollar.
[01:54:40.360 --> 01:54:50.360]  Absolutely. Here's the deal. A bunch of bloody carpetbaggers. I don't care if they're spineless Republicans, rhinos without spinos, or demon rats Democrats.
[01:54:50.360 --> 01:54:58.360]  The bottom line is, ladies and gentlemen, this is why I've said all these years, rape, pillage and plunder, the U.S. is going under.
[01:54:58.360 --> 01:55:06.360]  And everything we've known, liberties, freedom, our Constitution, our Bill of Rights, everything that people say they can't do that they've done.
[01:55:06.360 --> 01:55:14.360]  Henry Kissinger made it really clear. He said the illegal we do right away, the unconstitutional takes time.
[01:55:14.360 --> 01:55:20.360]  And Alex, people are denying what the ramifications of that are. Here's the ramifications.
[01:55:20.360 --> 01:55:32.360]  If overnight the U.S. dollar loses worldwide acceptance, and it's going to, if overnight, actually it'll be over a weekend, what would everybody do?
[01:55:32.360 --> 01:55:38.360]  Just hypothetically, what will everybody do? They go to sleep, let's say, on a Thursday, Friday, they're going into a weekend.
[01:55:38.360 --> 01:55:47.360]  And when Monday comes, every nation has repudiated. Now, do it on public TV. We will not take the U.S. dollar anymore.
[01:55:47.360 --> 01:55:57.360]  I think it's going to be pretty astonishing because this is why the central bank digital currency that the Biden Steins are doing, and that's Frankenstein.
[01:55:58.360 --> 01:56:06.360]  They're trying to create an alternative that they control. The joke is there's nothing in the grocery shelves at that point to buy.
[01:56:06.360 --> 01:56:13.360]  The entire supply chain is disrupted. They can print $100 bills and put, you know, anybody.
[01:56:13.360 --> 01:56:20.360]  Here's the key, Steve. Everything you're saying is happening, and they're trying to destroy the supply chain, cut off the raw resources.
[01:56:20.360 --> 01:56:25.360]  Our own government is, our own globalist controlled government, our own new world order occupied government.
