[00:00.000 --> 00:06.000]  Please welcome to the program, the always interesting dynamic, Donald Trump. Donald!
[2:21:01.000 --> 2:21:29.000]  You're listening to the Alex Jones show.
[2:21:29.000 --> 2:21:57.000]  You're listening to the Alex Jones show.
[2:21:57.000 --> 2:22:25.000]  You're listening to the Alex Jones show.
[2:22:25.000 --> 2:22:47.000]  You're listening to the Alex Jones show.
[2:22:47.000 --> 2:23:15.000]  You're listening to the Alex Jones show.
[2:23:15.000 --> 2:23:43.000]  You're listening to the Alex Jones show.
[2:23:43.000 --> 2:24:11.000]  You're listening to the Alex Jones show.
[2:24:11.000 --> 2:24:39.000]  You're listening to the Alex Jones show.
[2:24:39.000 --> 2:25:07.000]  You're listening to the Alex Jones show.
[2:25:07.000 --> 2:25:35.000]  You're listening to the Alex Jones show.
[2:25:35.000 --> 2:26:03.000]  You're listening to the Alex Jones show.
[2:26:03.000 --> 2:26:31.000]  You're listening to the Alex Jones show.
[2:26:31.000 --> 2:26:59.000]  You're listening to the Alex Jones show.
[2:26:59.000 --> 2:27:27.000]  You're listening to the Alex Jones show.
[2:27:27.000 --> 2:27:55.000]  You're listening to the Alex Jones show.
[2:27:55.000 --> 2:28:23.000]  You're listening to the Alex Jones show.
[2:28:23.000 --> 2:28:51.000]  You're listening to the Alex Jones show.
[2:28:51.000 --> 2:29:19.000]  You're listening to the Alex Jones show.
[2:29:19.000 --> 2:29:47.000]  You're listening to the Alex Jones show.
[2:29:47.000 --> 2:30:15.000]  You're listening to the Alex Jones show.
[2:30:15.000 --> 2:30:43.000]  You're listening to the Alex Jones show.
[2:30:43.000 --> 2:31:11.000]  You're listening to the Alex Jones show.
[2:31:11.000 --> 2:31:39.000]  You're listening to the Alex Jones show.
[2:31:39.000 --> 2:32:07.000]  You're listening to the Alex Jones show.
[2:32:07.000 --> 2:32:35.000]  You're listening to the Alex Jones show.
[2:32:35.000 --> 2:33:03.000]  You're listening to the Alex Jones show.
[2:33:05.000 --> 2:33:33.000]  You're listening to the Alex Jones show.
[2:33:33.000 --> 2:34:01.000]  You're listening to the Alex Jones show.
[2:34:01.000 --> 2:34:29.000]  You're listening to the Alex Jones show.
[2:34:29.000 --> 2:34:57.000]  You're listening to the Alex Jones show.
[2:34:57.000 --> 2:35:25.000]  You're listening to the Alex Jones show.
[2:35:25.000 --> 2:35:53.000]  You're listening to the Alex Jones show.
[2:35:53.000 --> 2:36:21.000]  You're listening to the Alex Jones show.
[2:36:21.000 --> 2:36:49.000]  You're listening to the Alex Jones show.
[2:36:49.000 --> 2:37:17.000]  You're listening to the Alex Jones show.
[2:37:17.000 --> 2:37:45.000]  You're listening to the Alex Jones show.
[2:37:45.000 --> 2:38:07.000]  You're listening to the Alex Jones show.
[2:38:07.000 --> 2:38:35.000]  You're listening to the Alex Jones show.
[2:38:35.000 --> 2:39:03.000]  You're listening to the Alex Jones show.
[2:39:03.000 --> 2:39:31.000]  You're listening to the Alex Jones show.
[2:39:31.000 --> 2:39:59.000]  You're listening to the Alex Jones show.
[2:39:59.000 --> 2:40:27.000]  You're listening to the Alex Jones show.
[2:40:27.000 --> 2:40:55.000]  You're listening to the Alex Jones show.
[2:40:55.000 --> 2:41:23.000]  You're listening to the Alex Jones show.
[2:41:23.000 --> 2:41:51.000]  You're listening to the Alex Jones show.
[2:41:51.000 --> 2:42:19.000]  You're listening to the Alex Jones show.
[2:42:19.000 --> 2:42:47.000]  You're listening to the Alex Jones show.
[2:42:47.000 --> 2:43:15.000]  You're listening to the Alex Jones show.
[2:43:15.000 --> 2:43:43.000]  You're listening to the Alex Jones show.
[2:43:43.000 --> 2:44:11.000]  You're listening to the Alex Jones show.
[2:44:11.000 --> 2:44:39.000]  You're listening to the Alex Jones show.
[2:44:39.000 --> 2:45:05.000]  You're listening to the Alex Jones show.
[2:45:05.000 --> 2:45:33.000]  You're listening to the Alex Jones show.
[2:45:33.000 --> 2:46:01.000]  You're listening to the Alex Jones show.
[2:46:01.000 --> 2:46:29.000]  You're listening to the Alex Jones show.
[2:46:29.000 --> 2:46:57.000]  You're listening to the Alex Jones show.
[2:46:57.000 --> 2:47:17.000]  You're listening to the Alex Jones show.
[2:47:17.000 --> 2:47:39.000]  You're listening to the Alex Jones show.
[2:47:39.000 --> 2:48:07.000]  You're listening to the Alex Jones show.
[2:48:07.000 --> 2:48:35.000]  You're listening to the Alex Jones show.
[2:48:35.000 --> 2:49:03.000]  You're listening to the Alex Jones show.
[2:49:03.000 --> 2:49:31.000]  You're listening to the Alex Jones show.
[2:49:31.000 --> 2:49:59.000]  You're listening to the Alex Jones show.
[2:49:59.000 --> 2:50:27.000]  You're listening to the Alex Jones show.
[2:50:27.000 --> 2:50:55.000]  You're listening to the Alex Jones show.
[2:50:55.000 --> 2:51:23.000]  You're listening to the Alex Jones show.
[2:51:23.000 --> 2:51:51.000]  You're listening to the Alex Jones show.
[2:51:51.000 --> 2:52:19.000]  You're listening to the Alex Jones show.
[2:52:19.000 --> 2:52:47.000]  You're listening to the Alex Jones show.
[2:52:47.000 --> 2:53:15.000]  You're listening to the Alex Jones show.
[2:53:15.000 --> 2:53:43.000]  You're listening to the Alex Jones show.
[2:53:43.000 --> 2:54:11.000]  You're listening to the Alex Jones show.
[2:54:11.000 --> 2:54:39.000]  You're listening to the Alex Jones show.
[2:54:39.000 --> 2:55:07.000]  You're listening to the Alex Jones show.
[2:55:07.000 --> 2:55:35.000]  You're listening to the Alex Jones show.
[2:55:35.000 --> 2:56:03.000]  You're listening to the Alex Jones show.
[2:56:03.000 --> 2:56:31.000]  You're listening to the Alex Jones show.
[2:56:31.000 --> 2:56:59.000]  You're listening to the Alex Jones show.
[2:56:59.000 --> 2:57:27.000]  You're listening to the Alex Jones show.
[2:57:27.000 --> 2:57:55.000]  You're listening to the Alex Jones show.
[2:57:55.000 --> 2:58:23.000]  You're listening to the Alex Jones show.
[2:58:23.000 --> 2:58:45.000]  You're listening to the Alex Jones show.
[2:58:45.000 --> 2:59:13.000]  You're listening to the Alex Jones show.
[2:59:13.000 --> 2:59:41.000]  You're listening to the Alex Jones show.
[2:59:41.000 --> 3:00:09.000]  You're listening to the Alex Jones show.
[3:00:09.000 --> 3:00:37.000]  You're listening to the Alex Jones show.
[3:00:37.000 --> 3:01:05.000]  You're listening to the Alex Jones show.
[3:01:05.000 --> 3:01:33.000]  You're listening to the Alex Jones show.
[3:01:33.000 --> 3:02:01.000]  You're listening to the Alex Jones show.
[3:02:01.000 --> 3:02:27.000]  You're listening to the Alex Jones show.
[3:02:27.000 --> 3:02:55.000]  You're listening to the Alex Jones show.
[3:02:55.000 --> 3:03:23.000]  You're listening to the Alex Jones show.
[3:03:23.000 --> 3:03:51.000]  You're listening to the Alex Jones show.
[3:03:51.000 --> 3:04:19.000]  You're listening to the Alex Jones show.
[3:04:19.000 --> 3:04:45.000]  You're listening to the Alex Jones show.
[3:04:45.000 --> 3:05:13.000]  You're listening to the Alex Jones show.
[3:05:13.000 --> 3:05:41.000]  You're listening to the Alex Jones show.
[3:05:41.000 --> 3:06:09.000]  You're listening to the Alex Jones show.
[3:06:09.000 --> 3:06:37.000]  You're listening to the Alex Jones show.
[3:06:37.000 --> 3:07:05.000]  You're listening to the Alex Jones show.
[3:07:05.000 --> 3:07:33.000]  You're listening to the Alex Jones show.
[3:07:33.000 --> 3:08:01.000]  You're listening to the Alex Jones show.
[3:08:01.000 --> 3:08:29.000]  You're listening to the Alex Jones show.
[3:08:29.000 --> 3:08:57.000]  You're listening to the Alex Jones show.
[3:08:57.000 --> 3:09:02.000]  So this looks like it was probably meant to all be uploaded to social media.
[3:09:02.000 --> 3:09:15.000]  Of course, they're not going to go through his social media and find out what YouTube videos he was watching or who was tweeting at, because of course the story has all but disappeared already.
[3:09:15.000 --> 3:09:23.000]  If it had been the opposite way around, this would have been a national hysterical panic for at least a couple of weeks.
[3:09:23.000 --> 3:09:31.000]  Story says the suspect who drove a vehicle through a voter registration tent occupied by Trump supporters in Jacksonville admitted to police.
[3:09:31.000 --> 3:09:37.000]  They had an anti-Trump mounted and told authorities, quote, someone had to take a stand.
[3:09:37.000 --> 3:09:45.000]  They have the redacted, partially redacted police arrest report that's come out in the past couple of hours.
[3:09:45.000 --> 3:10:00.000]  27 year old Gregory Tim drove his van into a pro-Trump Republican voter registration drive tent to Jacksonville Wal-Mart on Saturday and was subsequently arrested and charged with aggravated assault criminal mischief and driving with a suspended license.
[3:10:00.000 --> 3:10:08.000]  According to the arrest report, Tim told police he drove his van through the tent because, quote, someone had to take a stand.
[3:10:08.000 --> 3:10:16.000]  It was a political attack. Interesting that they did later find his Facebook page.
[3:10:16.000 --> 3:10:27.000]  No posts on his Facebook page since 2014 or at least none that can be seen from the outside if you're not friends on Facebook with this individual.
[3:10:27.000 --> 3:10:42.000]  So very, very strange how he's so radicalized to commit with literal terror attack against Trump supporters and yet his Facebook page has nothing whatsoever political on it since before Trump even ran for president.
[3:10:42.000 --> 3:10:57.000]  Very odd that, isn't it? You'd think that if he was that much of a hysterical out of his gawd Trump hater that he would be relentlessly posting on social media about how much he hated Trump and hated Trump supporters, didn't appear to be the case.
[3:10:57.000 --> 3:11:10.000]  Doesn't appear to have a Twitter account. In fact, his social media presence is minimal or nonexistent. Very interesting that, isn't it? Nobody's showing a lot of enthusiasm to go and find it, so we'll never know, I guess.
[3:11:10.000 --> 3:11:25.000]  Article continues. He also showed police a video he made of himself driving towards the tent as the victim stood in front of it. The video ended before Tim actually drove into the tent the moment he described to police as the good part.
[3:11:25.000 --> 3:11:36.000]  So he was really upset that he didn't capture this attempted mass murder of Trump supporters on video. He was very upset about that.
[3:11:36.000 --> 3:11:54.000]  Tim also told police he made a video of himself prior to driving through the tent, but this video has not been made public. So he made some kind of statement to himself before embarking on this attempted terror attack according to the arrest report, but again details of that have not been released.
[3:11:54.000 --> 3:12:10.000]  Quote, the suspect advised that he does not like President Trump, according to the police report. As Tim did not show any emotion recorded the aftermath of the incident and gave an obscene gesture, which of course is when he flipped off the Trump supporters after attempting this attack.
[3:12:10.000 --> 3:12:27.000]  According to Mayor Lenny Curry, what is clear is this individual drove up to a tent and was clearly registering voters with Donald Trump's name and a tie around them, so he knew exactly what it was, drove a vehicle at volunteers, that's what we know looks pretty political to me.
[3:12:27.000 --> 3:12:42.000]  As I ask in this article, will the media now dig through Tim's social media history to discover who radicalized him into attempting this act of terror, as they do whenever anyone on the right goes postal whenever there's an example of right wing extremism.
[3:12:42.000 --> 3:13:03.000]  The first thing they immediately do is try to exploit it to blame anybody whose YouTube video he liked or anybody he retweeted, we've seen that time and time again. Doesn't really happen on the flip side of the equation, does it? The media tries to shut down the story or basically ignores it and it disappears very quickly.
[3:13:03.000 --> 3:13:18.000]  I saw a CNN report on this when it happened after that, I didn't see anything after that, I don't think NBC reports on it, didn't see a lot of reports from big news networks, because of course the narrative is not very much in their favor.
[3:13:18.000 --> 3:13:41.000]  So the police report is out, it is redacted, there are some details in now which look very interesting, which has been blacked out for what reason we don't know, but again he's got no social media presence, but again it's been confirmed that this was, let's call it for what it is, it was an attempted terror attack on Trump supporters and by the end of the week it will have completely disappeared from the news.
