[00:00:08.604 --> 00:00:10.165]  It's all a PSYOP.
[02:00:13.956 --> 02:00:17.398]  He's Alex Jones on the GCN Radio Network.
[02:00:17.398 --> 02:00:19.020]  We are trailblazing.
[02:00:19.020 --> 02:00:20.481]  Live from Austin, Texas.
[02:00:21.381 --> 02:00:22.382]  Alex Jones.
[02:00:22.382 --> 02:00:29.288]  Whether it's defending private property, the family, the Second Amendment, sovereignty, health information, we're about empowering people.
[02:00:29.288 --> 02:00:41.797]  The biggest thing we can do is drink filtered water, get the nutrients we need, exercise, and then love our families, love our neighbors, and build a better world and engage in independent free market activities and vote with our dollars to support folks that promote freedom.
[02:00:41.797 --> 02:00:43.579]  We do that, we can beat the globalists.
[02:00:43.579 --> 02:00:45.280]  Dr. Joel Wallach, I've been running over you.
[02:00:45.280 --> 02:00:48.323]  You've got the floor for the rest of this short segment and a little bit into the next.
[02:00:49.043 --> 02:00:54.247]  Please continue with your breakdown of Angelina Jolie, you know, because her mother had cancer and the rest of it.
[02:00:54.247 --> 02:00:56.268]  First it's her breasts, then her ovaries.
[02:00:56.268 --> 02:00:58.289]  That's what I said last year when she had her breasts removed.
[02:00:58.289 --> 02:01:01.291]  Will she remove all sexual tissue next?
[02:01:01.291 --> 02:01:06.034]  I mean, it's just tough because, you know, that's where she has the quote, pre-distribution.
[02:01:06.034 --> 02:01:08.576]  I mean, what should she do instead of removing her ovaries?
[02:01:10.148 --> 02:01:13.290]  Well, there's two things that cause cancer, Alex.
[02:01:13.290 --> 02:01:31.664]  Number one is that people eat the bad stuff that create and initiate and stimulate the genesis or the cause of cancer and then they eat bad things that drive it faster and they don't take the 90 cents of nutrients which will support their immune system to protect them from cancer.
[02:01:31.664 --> 02:01:32.085]  For instance,
[02:01:32.765 --> 02:01:36.566]  There's a wonderful study that came out in 1998 by the University of South Carolina.
[02:01:36.566 --> 02:01:37.927]  Big, big study.
[02:01:37.927 --> 02:01:40.807]  And all they did was look at the way the women cooked their food.
[02:01:40.807 --> 02:01:47.930]  And women who ate their meat cooked well done, just very well done, where the fat was burnt and crunchy.
[02:01:47.930 --> 02:01:48.870]  It's tasty.
[02:01:48.870 --> 02:01:50.110]  People like that.
[02:01:50.110 --> 02:01:53.451]  It increased the risk of breast cancer by 462%.
[02:01:53.451 --> 02:01:57.413]  If they cooked their meat medium rare, it reduced the risk of breast cancer by 462%.
[02:01:59.434 --> 02:02:14.284]  And then when you look at supplementation with certain minerals, Dr. Gerhard Schrauser, who's one of the third authors of the book, Heavy Genetics, a great guy, he discovered the essentiality of vitamin, excuse me, of the mineral selenium.
[02:02:14.284 --> 02:02:20.168]  And he did a wonderful study on selenium and breast cancer.
[02:02:20.168 --> 02:02:29.174]  And he came out and said, hey, all cancers, you can reduce your risk of prostate cancer, colon cancer, breast cancer by 82% by supplementing with 200 micrograms of selenium every day.
[02:02:29.914 --> 02:02:44.498]  And so between supplementing with antioxidants, things like resveratrol, quercetin, tumeric, vitamin C, vitamin A, beta carotene, and then you throw in minerals like gallium to prevent brain cancer.
[02:02:44.498 --> 02:02:49.520]  Enormous numbers of studies in England that had very large amounts of brain cancer in children.
[02:02:49.520 --> 02:02:54.621]  They supplemented the pregnant women with gallium and they didn't get brain cancer in the kids anymore.
[02:02:54.621 --> 02:02:56.942]  Big stuff and all this is in the book Epigenetics.
[02:02:57.862 --> 02:03:10.113]  And so all these things, where they form these groups, where they raise money for the research to find the gene, it's absolutely fraudulent stuff because there's not a single gene that actually causes any disease.
[02:03:10.113 --> 02:03:15.297]  The genes are a potential for health up to 200, maybe beyond 200 years.
[02:03:15.297 --> 02:03:22.444]  You give your genes, your DNA, your RNA, and your telomeres, little end caps in your chromosome, everything they need, the 90 central nutrients, you're going to
[02:03:22.984 --> 02:03:27.126]  Maximize your genetic potential for longevity and for health and fending off disease.
[02:03:27.126 --> 02:03:37.571]  But if you live on these diet drinks and eat a lot of sugar and eat a lot of fried foods, that's why there's no pastors who tend to be very religious or truthfully very religious people.
[02:03:37.571 --> 02:03:38.252]  They love God.
[02:03:38.252 --> 02:03:46.176]  And they all die in their 60s, 70s, and 80s because everybody, because they love them so much, give them fried chicken after church every Sunday.
[02:03:46.906 --> 02:03:48.127]  And that's what kills them.
[02:03:48.127 --> 02:03:54.190]  And if they would avoid the fried chicken and take the Alex back every day, we'd have pastures living to be beyond 100, which is the way it's supposed to be.
[02:03:54.190 --> 02:03:57.212]  It's just that simple.
[02:03:57.212 --> 02:04:04.837]  In the animal industry, we've eliminated 900 different diseases using these 90 essential nutrients that still plague people.
[02:04:04.837 --> 02:04:14.382]  In 2012, there was a wonderful study in Food Chemistry, a very well-respected scientific journal, where they normally look at the nutritional value of our foods plus the pollutant loads in foods.
[02:04:14.382 --> 02:04:15.103]  I read it every month.
[02:04:15.643 --> 02:04:28.513]  And that particular issue, April 16, 2012, they said commercially available baby foods like Similac, things like Gerber's, Infimil, others, have less than 20% of the required minerals and vitamins for kids.
[02:04:28.513 --> 02:04:30.075]  Well, that's why our kids are going to die before us.
[02:04:30.635 --> 02:04:30.975]  Our children are.
[02:04:30.975 --> 02:04:35.659]  And that's why the rock queues are dropping and why they're so stupid and why the cancer is exploding.
[02:04:35.659 --> 02:04:36.059]  That's right.
[02:04:36.059 --> 02:04:37.580]  And all the studies you mentioned are in the book.
[02:04:37.580 --> 02:04:44.806]  They've been all over the news that if you burn your meat it's going to give you colon cancer, breast cancer, but people just don't want to listen.
[02:04:44.806 --> 02:04:48.829]  Everybody should go to InfoWarsStore.com and get the book Epigenetics.
[02:04:48.829 --> 02:04:55.614]  Everyone should go to InfoWarsHealth.com, InfoWarsTeam.com and sign up to be distributors and get 30% off.
[02:04:55.614 --> 02:04:56.855]  I mean, this is just a no-brainer.
[02:04:56.855 --> 02:04:57.896]  I've got a few final questions.
[02:04:57.896 --> 02:04:59.037]  Dr. Wallach and Gerald Cilente.
[02:04:59.901 --> 02:05:00.822]  Hey, how you doing, Alex?
[02:05:00.822 --> 02:05:01.383]  Good, brother.
[02:05:01.383 --> 02:05:03.126]  Just recently started using your products.
[02:05:03.126 --> 02:05:05.069]  Everything you said about them is correct.
[02:05:05.069 --> 02:05:09.115]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[02:05:09.115 --> 02:05:11.718]  Well, thank you, brother, because it also funds our operation.
[02:05:11.718 --> 02:05:14.142]  But doing that, I know I've got to have the highest quality.
[02:05:14.142 --> 02:05:16.185]  Super Mill Vitality was developed.
[02:05:16.425 --> 02:05:22.189]  To activate your body's own natural processes instead of using synthetic chemicals.
[02:05:22.189 --> 02:05:25.552]  We do the super male and the super female vitality.
[02:05:25.552 --> 02:05:27.073]  Big changes, a lot of energy.
[02:05:27.073 --> 02:05:30.115]  We've gotten off the cheap energy drinks, energy shots.
[02:05:30.115 --> 02:05:31.776]  Saving a ton of money there.
[02:05:31.776 --> 02:05:34.218]  Sourced from powerful organic herbs.
[02:05:34.718 --> 02:05:34.998]  We're good.
[02:05:59.881 --> 02:06:04.483]  The average person's life is filled with unexpected challenges.
[02:06:04.483 --> 02:06:10.846]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[02:06:10.846 --> 02:06:20.270]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[02:06:20.270 --> 02:06:25.092]  Supercharge and conquer your world at Infowarslife.com or call 1-888-253-3139.
[02:06:29.790 --> 02:06:33.452]  The government's Department of Homeland Security is buying up loads of ammo.
[02:06:33.452 --> 02:06:37.734]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[02:06:37.734 --> 02:06:39.515]  Can you put two and two together?
[02:06:39.515 --> 02:06:47.379]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[02:06:47.379 --> 02:06:48.520]  But for how long?
[02:06:48.520 --> 02:06:55.143]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[02:06:55.143 --> 02:06:57.965]  Infidel Body Armor just won't quit.
[02:06:59.697 --> 02:07:09.184]  Infowarslife and Infowarslife.com is extremely excited to announce our latest release, Winter Sun, a revolutionary type of vitamin D3.
[02:07:09.184 --> 02:07:13.867]  Winter Sun is a premium quality vitamin D3 nutritional supplement.
[02:07:13.867 --> 02:07:18.270]  It is produced by extracting oil from healthy nutrient-dense plants known as lichens.
[02:07:18.650 --> 02:07:21.693]  Every batch is analyzed for purity and D3 content.
[02:07:21.693 --> 02:07:24.115]  It's completely free of toxins and allergens.
[02:07:24.115 --> 02:07:27.678]  Simply put, if you want the best at an extremely low price, this is it.
[02:07:27.678 --> 02:07:31.582]  Winter Sun is the result of our pursuit of the best source of vitamin D3.
[02:07:31.582 --> 02:07:40.230]  The research and development took over two years, but the result, as verified by independent laboratories, is the best vegan vitamin D3 product in the world.
[02:07:40.610 --> 02:07:45.634]  Read the facts at InfoWarsLife.com about Winter Sun, Vitamin D3.
[02:07:45.634 --> 02:07:51.560]  Not only does Vitamin D3 promote a healthy mood, but Vitamin D supports our memory and brain function.
[02:07:51.560 --> 02:07:53.701]  Something the globalists are targeting.
[02:07:53.701 --> 02:07:56.324]  Visit InfoWars.com today or call 888-253-3139.
[02:08:08.467 --> 02:08:11.208]  He aligns himself with the truth.
[02:08:11.208 --> 02:08:13.509]  You're listening to Alex Jones.
[02:08:30.560 --> 02:08:37.284]  Every time I hear this song and those voices, it's so beautiful, it's like angels.
[02:08:37.284 --> 02:08:42.606]  That's right, folks.
[02:08:42.606 --> 02:08:52.371]  To keep me from trying to get to you and warn you about what the globalists are doing, the people perish for lack of knowledge, we are gaining the knowledge to counter their globalist operations.
[02:08:52.371 --> 02:08:57.734]  In fact, crank it up for a minute, I gotta listen to this.
[02:09:01.751 --> 02:09:04.112]  And look what we've done in 20 years.
[02:09:04.112 --> 02:09:13.695]  We've built a major operation reaching upwards of 20 million people a week now.
[02:09:17.119 --> 02:09:22.742]  We've got the globalist Obama, the White House, Army Times countering us, Bloomberg.
[02:09:22.742 --> 02:09:24.583]  We're being attacked every day.
[02:09:24.583 --> 02:09:25.183]  It's wonderful.
[02:09:25.183 --> 02:09:26.564]  Praise God.
[02:09:26.564 --> 02:09:29.465]  Because we are having a massive effect telling the truth.
[02:09:29.465 --> 02:09:36.328]  Coming up after our guest leaves us, CNN reporter bowls to raise money for abortions, sparking outrage.
[02:09:36.328 --> 02:09:39.690]  She's mocking critics who call bowling for abortions disgusting.
[02:09:40.575 --> 02:09:43.716]  Yeah, the archetype is knocking those babies down.
[02:09:43.716 --> 02:09:46.337]  God's gonna cut you down, don't you worry, scum.
[02:09:46.337 --> 02:09:50.978]  Continuing, Angelina Jolie has ovaries removed, we were talking about that.
[02:09:50.978 --> 02:09:55.420]  Army and MSN launched this InfoSop against American people, that's up on InfoWars.com.
[02:09:55.420 --> 02:10:01.001]  It's in the Army Times, Stars and Stripes, foreign newspapers.
[02:10:01.001 --> 02:10:05.583]  And coming up, Gerald Cilente, law lets IRS seize accounts on suspicion, no crime reported.
[02:10:06.536 --> 02:10:07.296]  Required.
[02:10:07.296 --> 02:10:08.697]  That's the New York Times.
[02:10:08.697 --> 02:10:11.598]  Here's our story up on DrugsReport.com.
[02:10:11.598 --> 02:10:17.821]  Feds urge banks to call cops on customers who withdraw $5,000 or more.
[02:10:17.821 --> 02:10:21.002]  We'll give you details of that coming up.
[02:10:21.002 --> 02:10:25.804]  And we've got the clip of the whole Sharia law stuff up in a suburb of Dallas.
[02:10:25.804 --> 02:10:27.185]  That's coming up as well.
[02:10:27.185 --> 02:10:30.166]  Gerald Cilente to cover the waterfront joining us.
[02:10:30.166 --> 02:10:32.627]  Putting bookends on this with Dr. Joel Wallach.
[02:10:34.850 --> 02:10:40.713]  Who is the best-selling author of Dead Doctors Don't Lie, that we sell at Infowars, store.com, and Epigenetics.
