[00:00:00.169 --> 00:00:06.674]  Communications Radio Network.
[01:48:12.233 --> 01:48:21.298]  And that is, unfortunately, a historical constant that the people who are pro-war... I mean the general... Mike, I mean mainline Dumbo neocon followers.
[01:48:22.205 --> 01:48:23.747]  Yeah, the followers, they will get hurt.
[01:48:23.827 --> 01:48:25.288]  The useful idiots always get hurt.
[01:48:25.348 --> 01:48:26.029]  They get slammed.
[01:48:26.910 --> 01:48:35.918]  And yes, to an extent, they deserve it because they sold out the common good of their neighbors and friends in exchange for a few pieces of silver from their corporate masters.
[01:48:36.619 --> 01:48:43.566]  And yeah, it will be somewhat vicariously pleasant to see them stumble and fall when this all comes apart.
[01:48:45.552 --> 01:48:49.196]  I mean, I'm sad, but that's the wages of sin or death, folks.
[01:48:49.376 --> 01:48:50.357]  You reap what you sow.
[01:48:51.198 --> 01:48:53.721]  It's the law of cause and effect.
[01:48:54.062 --> 01:48:58.647]  And we can't be the pig people of the evil empire and not be hurt by it.
[01:48:58.947 --> 01:49:01.731]  And I'll be hurt by it too, but I don't want this to happen.
[01:49:01.991 --> 01:49:05.095]  But I'm just letting the pig people out there know, the ones that really like all this,
[01:49:05.875 --> 01:49:19.020]  Those that say parking lot, parking lot, I want them to know, let's turn them into a glass parking lot, I want them to know that your masters never cared about you, the people killing those innocent Iraqi children are the ones that are destroying our borders and our sovereignty and our country.
[01:49:19.220 --> 01:49:21.701]  And I just want them to know when it happens, who did it to them.
[01:49:23.442 --> 01:49:32.265]  Absolutely, I would agree, and you'd think these people would look back at history and look at the way our government is treating our own wounded soldiers coming back from Iraq.
[01:49:33.146 --> 01:49:44.555]  If there was anybody that deserved a little care and gratitude and good treatment for having made that ultimate sacrifice, it's our returning wounded veterans, and yet look how badly they're treated.
[01:49:44.915 --> 01:49:55.003]  That basically tells you that the people calling the shots on this war, they think of themselves only, and even their good friends are expendable to serve the agenda of greed.
[01:49:55.463 --> 01:49:56.764]  Michael Rivera is our guest.
[01:49:56.784 --> 01:50:01.288]  The website is whatreallyhappened.com, or come back and take a few calls and talk about the Ministry of Defense report.
[01:50:07.731 --> 01:50:08.232]  It's here!
[01:50:08.432 --> 01:50:13.197]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:50:13.578 --> 01:50:21.186]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:50:21.897 --> 01:50:28.962]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:50:29.362 --> 01:50:40.769]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:50:41.089 --> 01:50:44.752]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:50:45.052 --> 01:50:47.013]  It's an anthology of government crimes.
[01:50:47.333 --> 01:50:51.176]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:50:51.756 --> 01:50:59.200]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:51:04.793 --> 01:51:07.955]  Introducing the most efficient gravity filter available.
[01:51:07.995 --> 01:51:12.037]  You know, if you were to throw 100 ball bearings at a magnet, most would bounce off.
[01:51:12.177 --> 01:51:14.739]  But, if you placed them on the magnet, all would stick.
[01:51:14.799 --> 01:51:17.120]  The same principle applies in water filtration.
[01:51:17.320 --> 01:51:25.765]  Most filtration systems force water through the filter at 60 to 90 PSI, causing water molecules to race through the filter in less than a second.
[01:51:25.825 --> 01:51:27.146]  The Brookie Light is different.
[01:51:27.286 --> 01:51:31.288]  Water molecules take 5 to 10 minutes to pass through the torturous path
[01:51:31.288 --> 01:51:31.788]  We're good to go!
[01:51:51.698 --> 01:51:54.741]  Let's get the Advanced Berkey Light Purifier for only $279 by calling New Millennium.
[01:51:54.761 --> 01:51:56.663]  888-803-4438 or order on the web at berkeywater.com.
[01:51:56.703 --> 01:51:57.844]  Not yet available in Iowa.
[01:52:04.580 --> 01:52:06.300]  Hello friends, Alex Jones here.
[01:52:06.521 --> 01:52:10.221]  I want you to imagine waking up one morning to find out you've been burglarized.
[01:52:10.542 --> 01:52:19.484]  An intruder has taken your personal possessions, credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[01:52:19.644 --> 01:52:24.525]  What's worse is you realize he got it through your front door because you left it unlocked.
[01:52:24.745 --> 01:52:33.751]  Every time you walk away from your computer, leaving your internet connection on, you are virtually inviting hackers, criminals, and Big Brother to access your personal information.
[01:52:34.091 --> 01:52:40.095]  Put a stop to this right now with the Net7 Network Security Switch from Net7 Technologies.
[01:52:40.356 --> 01:52:43.438]  Turn your internet on and off with one simple switch.
[01:52:43.538 --> 01:52:46.620]  There's no software to load, and it's so easy to install.
[01:52:46.980 --> 01:52:52.043]  Right now, you can order your Net7 Security Switch from Net7 Technologies for only $39.95.
[01:52:52.103 --> 01:52:52.744]  For a limited time,
[01:52:54.465 --> 01:52:55.906]  On a lonely, lonesome highway East Omaha
[01:53:25.063 --> 01:53:26.663]  We're good to go.
[01:53:50.228 --> 01:53:57.235]  When you're riding 16 hours, there's nothing much to do.
[01:53:57.415 --> 01:54:11.848]  And you don't feel much like riding, you just wish the trip was through.
[01:54:12.109 --> 01:54:14.191]  Here I am, on the road again.
[01:54:19.380 --> 01:54:22.663]  We're good to go.
[01:54:46.259 --> 01:54:55.927]  I don't think so.
[01:55:21.639 --> 01:55:22.960]  Welcome back, ladies and gentlemen.
[01:55:22.980 --> 01:55:25.643]  I want to keep Mike Rivero 15 minutes or so into the next hour.
[01:55:25.663 --> 01:55:30.307]  If he'll stay with us, we can take your calls from Seth, Tony, Olivia, and others.
[01:55:32.229 --> 01:55:36.753]  Michael Rivero, this is always a great conversation we have back and forth, adding to each other's analysis.
[01:55:37.393 --> 01:55:40.036]  The Ministry of Defense report, I saw you wrote a big blurb on that.
[01:55:41.207 --> 01:55:47.929]  The British report that came out, why don't you in a nutshell tell folks about that report and your comment on the story that Paul Watson put out.
[01:55:47.949 --> 01:55:54.711]  By the way, that whole report, we dug it up, is now posted on PrisonPlanet.com, but give us your take on that Ministry of Defense report.
[01:55:56.771 --> 01:56:02.953]  The Ministry of Defense report, basically they came out and said, well let me back up just a step.
[01:56:03.513 --> 01:56:09.175]  This issue was the Iranian capture and then release of the sailors and marines.
[01:56:09.611 --> 01:56:14.712]  Has turned into a public relations nightmare for Tony Blair and for the British war effort.
[01:56:15.893 --> 01:56:21.614]  The Iranians were very wise to treat the captured sailors gently.
[01:56:22.014 --> 01:56:24.355]  They videotaped it to document how they were treated.
[01:56:24.675 --> 01:56:31.276]  It was very obvious in the videos that were being shown that these people were not under any kind of duress or stress at all.
[01:56:32.677 --> 01:56:37.158]  And it just made it very obvious that when they were finally returned,
[01:56:38.398 --> 01:56:39.659]  There's sudden retractions.
[01:56:40.259 --> 01:56:44.540]  It was obvious to anybody watching that one sailor who was reading the prepared statement.
[01:56:44.840 --> 01:56:50.401]  He seemed to be under a great deal more stress there than he was on the videotapes in Iran.
[01:56:50.861 --> 01:56:56.623]  So the Ministry of Defense has basically been looking at the issue of morale among the military.
[01:56:57.415 --> 01:57:18.958]  And they're basically reporting that on the ground in Afghanistan and Iraq, they are starting to see what they term as a revolt that is starting to spread through the forces, and they're saying it's basically demoralizing the British Army, because despite all the controls on what the soldiers on the ground are allowed to see and hear and read,
[01:57:19.611 --> 01:57:25.594]  Uh, just word of mouth is carrying, uh, the lies and deceptions, uh, throughout the rank and file.
[01:57:25.794 --> 01:57:30.576]  By the way, Mike, 9-11 truth, as you know, is rampant in both the military.
[01:57:30.616 --> 01:57:30.897]  Sorry.
[01:57:31.637 --> 01:57:32.497]  Yeah, no, absolutely.
[01:57:32.537 --> 01:57:38.900]  I get a lot of emails from soldiers on the ground in Iraq saying basically, you know, we know it's all a lie and we're here because of a lie.
[01:57:39.040 --> 01:57:39.401]  Stay there.
[01:57:39.421 --> 01:57:39.921]  We got a break.
[01:57:39.941 --> 01:57:40.341]  70 seconds.
[01:57:40.361 --> 01:57:42.022]  We're going to let you finish and go to calls.
[01:57:44.514 --> 01:57:49.179]  Copies of the preceding broadcast are available at GCNlive.com or call toll free 877-376-45.
[01:58:00.814 --> 01:58:01.475]  Big Brother.
[01:58:02.135 --> 01:58:03.196]  Mainstream media.
[01:58:03.897 --> 01:58:05.018]  Government cover-ups.
[01:58:05.678 --> 01:58:06.499]  You want answers?
[01:58:07.240 --> 01:58:08.141]  Well, so does he.
[01:58:08.801 --> 01:58:12.464]  He's Alex Jones on the GCN Radio Network.
[01:58:12.985 --> 01:58:17.068]  And now, live from Austin, Texas, Alex Jones.
[01:58:27.233 --> 01:58:28.614]  Michael Rivera is our guest.
[01:58:28.634 --> 01:58:33.577]  We're scheduled in about 30 minutes to have William Rodriguez on, one of the heroes of 9-11 who saved a lot of people.
[01:58:34.318 --> 01:58:42.884]  He just spoke to a big crowd and there was some of the family members of one of the flight attendants on flight 77 that supposedly hit the Pentagon.
[01:58:44.465 --> 01:58:47.467]  And they had some interesting comments and we have some audio of that.
