[00:00:00.349 --> 00:00:01.370]  I'm great.
[01:54:27.544 --> 01:54:30.987]  HerbalHealer.com, working with the power of nature.
[01:54:35.350 --> 01:54:36.011]  Welcome back!
[01:54:55.517 --> 01:54:58.059]  Good old Troy in West Virginia hasn't been on in a few weeks.
[01:54:58.099 --> 01:54:58.900]  He's called in.
[01:54:59.020 --> 01:55:02.623]  And we'll go to Don, Wolf, Joe and many others.
[01:55:02.943 --> 01:55:04.544]  Let me finish up with O'Reilly though.
[01:55:05.625 --> 01:55:08.287]  And this young lady did an excellent job up against him.
[01:55:08.307 --> 01:55:09.108]  And that's how you do it.
[01:55:09.128 --> 01:55:09.949]  Just talk over him.
[01:55:09.989 --> 01:55:10.829]  Stay on your point.
[01:55:12.150 --> 01:55:12.891]  Just ignore him.
[01:55:12.931 --> 01:55:13.992]  He was getting real upset.
[01:55:14.032 --> 01:55:15.113]  His face was turning red.
[01:55:15.959 --> 01:55:32.207]  But it doesn't matter, he still wins because his audience is mindless idiots who want to convince themselves that everything's alright, that America's perfect, that nothing's wrong, that everything's kosher, and as long as he just calls people crazy, then everything must be true, he says!
[01:55:32.707 --> 01:55:33.848]  So, back to the tape.
[01:55:34.577 --> 01:55:35.778]  That's your opinion, okay?
[01:55:35.879 --> 01:55:38.021]  And you're entitled under the Constitution to your opinion.
[01:55:38.041 --> 01:55:38.982]  But those are facts.
[01:55:39.002 --> 01:55:40.003]  No, they're not facts.
[01:55:40.043 --> 01:55:41.084]  You are a lunatic.
[01:55:41.104 --> 01:55:46.249]  Torture is being... And if you weren't a lunatic, 90% of America would agree with you.
[01:55:46.509 --> 01:55:47.310]  You're a lunatic.
[01:55:47.530 --> 01:55:48.972]  You've got maybe 8%... Stop!
[01:55:49.232 --> 01:55:49.432]  Stop!
[01:55:49.492 --> 01:55:51.234]  He says maybe 8% agree with you.
[01:55:52.055 --> 01:55:56.820]  Folks, there have been... There's gotta be 50-something scientific polls the last few months.
[01:55:56.840 --> 01:55:57.901]  They've been all over television.
[01:55:58.767 --> 01:55:59.828]  Seventy-eight percent.
[01:55:59.888 --> 01:56:00.448]  I say that.
[01:56:00.809 --> 01:56:04.311]  It's between seventy-five and eighty-two percent, depending on what poll you look at.
[01:56:04.331 --> 01:56:07.153]  So I just say seventy-eight, you know, average it.
[01:56:08.034 --> 01:56:08.974]  Go pull it up yourself.
[01:56:09.295 --> 01:56:10.015]  Are against the war.
[01:56:10.435 --> 01:56:11.636]  Seventy percent of the troops.
[01:56:13.357 --> 01:56:19.122]  I mean, everybody knows that it's a wildly unpopular war, even with a bunch of Republican senators and congressmen.
[01:56:20.262 --> 01:56:21.663]  From Hagel to Paul.
[01:56:22.704 --> 01:56:23.845]  No, you're a loon!
[01:56:23.885 --> 01:56:24.806]  It's crazy!
[01:56:25.246 --> 01:56:26.847]  Only eight percent are against it!
[01:56:26.907 --> 01:56:28.128]  Talk about lying!
[01:56:29.170 --> 01:56:31.390]  I mean, just listen to what comes out of his mouth!
[01:56:32.271 --> 01:56:37.312]  But people at home, man, watching Fox News in their rocking chairs, they're like, that's right, everybody loves it!
[01:56:37.632 --> 01:56:38.672]  Everybody likes it!
[01:56:38.992 --> 01:56:39.792]  It's good!
[01:56:40.092 --> 01:56:40.892]  Here, go back to it.
[01:56:41.352 --> 01:56:42.113]  You're a lunatic.
[01:56:42.333 --> 01:56:44.493]  You've got maybe 8% that agree with you.
[01:56:44.513 --> 01:56:48.114]  No, the majority of the country is against this president and against this form.
[01:56:48.154 --> 01:56:49.794]  The majority of the country, Ms.
[01:56:49.814 --> 01:56:52.095]  Taylor, with all due respect, think that you're a loon.
[01:56:52.455 --> 01:56:53.075]  Okay, and wouldn't you?
[01:56:53.135 --> 01:56:53.475]  That's not true.
[01:56:53.495 --> 01:56:53.755]  Yes.
[01:56:54.075 --> 01:56:55.255]  And if they were with you, they would.
[01:56:55.855 --> 01:56:58.816]  See, it's high school popularity mentality.
[01:56:59.722 --> 01:57:02.205]  It's junior high, low-grade moron behavior.
[01:57:02.786 --> 01:57:04.127]  Everybody thinks you're a kook!
[01:57:04.207 --> 01:57:05.329]  Ha ha!
[01:57:05.409 --> 01:57:07.031]  She thinks the world's round!
[01:57:07.051 --> 01:57:08.112]  Ha ha!
[01:57:08.212 --> 01:57:09.433]  She's stupid!
[01:57:09.453 --> 01:57:13.138]  I mean, it's just, it's base!
[01:57:14.499 --> 01:57:17.343]  Base propaganda is effective with a dumbed-down public!
[01:57:17.823 --> 01:57:18.344]  Back to the pervert.
[01:57:19.912 --> 01:57:25.596]  ...to be out with the signs when you demonstrate, instead of you and your paltry little group, which number about 50 or 60.
[01:57:26.316 --> 01:57:27.477]  That is a lie as well.
[01:57:27.517 --> 01:57:28.397]  That is a lie as well.
[01:57:28.437 --> 01:57:29.358]  No, we don't want attention.
[01:57:29.378 --> 01:57:34.001]  We want an end to the crimes being committed in our names, or we're complicit with them.
[01:57:34.701 --> 01:57:35.602]  World can't wait.
[01:57:35.662 --> 01:57:40.085]  Those other groups have had over 5 million people in the streets of America.
[01:57:41.107 --> 01:57:50.510]  I mean, yeah, it's a couple thousand here in Austin, a couple hundred thousand in New York, a couple hundred thousand in D.C., a couple hundred thousand in L.A., a couple hundred thousand in Chicago, a couple hundred thousand in London.
[01:57:50.830 --> 01:57:54.731]  But I've been at demonstrations where it had to be a million in New York.
[01:57:54.751 --> 01:58:06.015]  I mean, I'd be up in the Empire States Building looking down at the RNC, and there'd be people protesting across 20 roads, 20 different blocks, just everywhere, people.
[01:58:06.508 --> 01:58:07.209]  And the news would say 200,000.
[01:58:07.469 --> 01:58:10.353]  Hell, one street was 200,000!
[01:58:12.315 --> 01:58:12.976]  But it doesn't matter.
[01:58:13.036 --> 01:58:14.958]  He says 50 people!
[01:58:15.599 --> 01:58:18.002]  That's how many in America are against the war! 50!
[01:58:20.365 --> 01:58:21.326]  Back to the liar!
[01:58:40.106 --> 01:58:46.068]  Over and over again, he says, what's wrong then with the American people are the majority stupid and the majority are for the war.
[01:58:46.588 --> 01:58:48.848]  Now everyone knows the majority are against the war.
[01:58:49.108 --> 01:58:51.889]  So he lies and says the majority are for the war.
[01:58:53.209 --> 01:58:55.530]  Then he says, oh and you say they're stupid.
[01:58:56.630 --> 01:58:58.371]  See, base psychology.
[01:59:00.551 --> 01:59:01.592]  This is what they do.
[01:59:02.112 --> 01:59:03.492]  But it works on a lot of people.
[01:59:04.132 --> 01:59:06.453]  Alright, we'll come back, finish up the O'Reilly clip, go to
[01:59:07.401 --> 01:59:10.544]  We got a Troy from Florida and others.
[01:59:12.626 --> 01:59:17.531]  This broadcast is available on MP3 CD format at GCNlive.com or call toll free 877-300-7645.
[01:59:24.611 --> 01:59:25.652]  The War on Terrorism.
[01:59:25.972 --> 01:59:28.753]  Will it be fought overseas, or will it affect us here at home?
[01:59:29.033 --> 01:59:33.176]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[01:59:33.616 --> 01:59:34.436]  So what do you do?
[01:59:34.756 --> 01:59:39.319]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[01:59:39.819 --> 01:59:41.940]  With a little know-how, it's not that difficult.
[01:59:42.420 --> 01:59:43.340]  Sheltering in place.
[01:59:43.720 --> 01:59:47.442]  Surviving acts of terrorism from biological, chemical, and radioactive fallout.
[01:59:47.762 --> 01:59:56.045]  Developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked with you easy to follow.
[01:59:57.813 --> 02:00:01.896]  ...and walks you step-by-step through the process of preparing your home as a shelter.
[02:00:02.196 --> 02:00:06.599]  Get this critical video every American needs for only $29 plus shipping.
[02:00:07.040 --> 02:00:08.821]  Order by calling New Millennium today at 888-803-4438.
[02:00:08.841 --> 02:00:09.061]  That's 888-803-4438.
[02:00:09.141 --> 02:00:10.582]  Or order on the web at Berkeywater.com.
[02:00:23.146 --> 02:00:25.027]  Waging war on corruption.
[02:00:25.547 --> 02:00:28.428]  Alex Jones on the GCN Radio Network.
[02:00:34.851 --> 02:00:35.511]  Big Brother.
[02:00:36.151 --> 02:00:37.252]  Mainstream media.
[02:00:37.932 --> 02:00:39.072]  Government cover-ups.
[02:00:39.713 --> 02:00:40.513]  You want answers?
[02:00:41.273 --> 02:00:42.214]  Well, so does he.
[02:00:42.834 --> 02:00:46.495]  He's Alex Jones on the GCN Radio Network.
[02:00:47.016 --> 02:00:51.137]  And now, live from Austin, Texas, Alex Jones.
[02:00:52.138 --> 02:00:52.578]  Alright!
[02:00:53.550 --> 02:00:56.851]  Your phone calls are coming up on this live, 5th day of January, 2007.
[02:00:57.151 --> 02:01:00.351]  Already into the third hour.
[02:01:02.612 --> 02:01:08.793]  You know, some immigrants are arrested six times, but the average was actually eight times before anything's done to them.
[02:01:10.273 --> 02:01:13.114]  There's also been a neocon attack on Somalia.
[02:01:13.914 --> 02:01:17.334]  A nuclear weapon almost exploded in Texas.
[02:01:17.374 --> 02:01:20.255]  That's United Press International and the Austin American-Statesman.
[02:01:21.115 --> 02:01:22.436]  We'll tell you about that.
[02:01:22.456 --> 02:01:24.999]  The Democrats aren't really challenging the war.
[02:01:25.059 --> 02:01:26.020]  We'll break that down.
[02:01:26.941 --> 02:01:35.809]  I was finishing up with O'Reilly, but listen to the clip we were playing where he's attacking the World Can't Wait group, and he's saying, you have 50 members, you're nobody.
[02:01:35.849 --> 02:01:38.071]  This group alone has got millions in the streets.
[02:01:39.452 --> 02:01:41.935]  Then he says, the majority of Americans are for the war.
[02:01:41.955 --> 02:01:44.377]  What are the majority of Americans dumb?
[02:01:45.183 --> 02:01:47.967]  So number one, the majority of Americans aren't for the war.
[02:01:48.027 --> 02:01:48.628]  That's admitted.
[02:01:48.648 --> 02:01:49.769]  That's a lie, what he said.
[02:01:50.270 --> 02:01:57.639]  And on top of that, the majority... He's claiming she's saying they're stupid when she didn't say that.
[02:01:58.300 --> 02:01:58.700]  So it just...
[02:01:59.801 --> 02:02:00.562]  There's more of it.
[02:02:00.642 --> 02:02:01.502]  Every trick in the book.
[02:02:02.102 --> 02:02:04.604]  It's mindless, but it works on a mindless public.
[02:02:04.684 --> 02:02:05.084]  Go ahead.
[02:02:05.625 --> 02:02:08.146]  What's wrong with the majority of the American people?
[02:02:08.246 --> 02:02:09.247]  Are we all stupid?
[02:02:09.487 --> 02:02:10.287]  Bill, everybody knows.
[02:02:10.327 --> 02:02:12.749]  No, the majority of the American people oppose George Bush.
[02:02:12.769 --> 02:02:13.890]  I don't think they're stupid.
[02:02:13.970 --> 02:02:14.950]  Everybody knows.
[02:02:15.210 --> 02:02:17.051]  Everybody knows that people went to the president.
[02:02:17.071 --> 02:02:17.572]  Hit pause right there.
[02:02:19.133 --> 02:02:22.355]  The Supreme Court appointed George Bush in 2000, okay?
[02:02:22.395 --> 02:02:23.695]  And I was neutral at that time.
[02:02:24.356 --> 02:02:25.537]  I'm certainly not for Al Gore.
[02:02:25.557 --> 02:02:26.077]  The point is,
[02:02:27.329 --> 02:02:28.011]  That's not true.
[02:02:28.472 --> 02:02:30.739]  And there was clear election fraud that was stolen in 2004.
[02:02:30.799 --> 02:02:31.541]  No doubting that.
[02:02:34.242 --> 02:02:35.443]  Continue with O'Reilly.
[02:02:35.924 --> 02:02:41.969]  People went to the polls in November, largely motivated by their opposition to this illegal war and opposition to George Bush.
[02:02:41.989 --> 02:02:47.053]  And if Congress will not respond to that, then we have an obligation to the people of the world and to the people of this country.
[02:02:47.313 --> 02:02:51.237]  Are we going to be the generation that's remembered as the people who sat back and allowed torture to be legalized?
[02:02:51.257 --> 02:02:52.778]  What exactly is your obligation?
[02:02:52.818 --> 02:02:55.240]  To shout down people like Rahm Emanuel?
[02:02:55.280 --> 02:02:56.341]  He's a liberal Democrat.
[02:02:56.401 --> 02:02:58.262]  Rahm Emanuel walked out of there.
[02:02:58.463 --> 02:02:59.584]  That was his choice to do.
[02:02:59.624 --> 02:03:01.085]  He has a platform all the time.
[02:03:01.145 --> 02:03:02.446]  That's beside the point.
[02:03:02.486 --> 02:03:05.367]  So you think you have an obligation to shout him down?
[02:03:08.788 --> 02:03:09.668]  Absolutely!
[02:03:09.828 --> 02:03:20.010]  We need to go everywhere these criminals are and expose them on the open borders, the Federal Reserve, the illegal war, anything and everything that's bad for this country and that's unconstitutional.
[02:03:20.531 --> 02:03:21.151]  Absolutely!
[02:03:21.191 --> 02:03:22.431]  Declaration of Independence.
[02:03:22.771 --> 02:03:28.032]  When the government becomes destructive of those aims, it is our right and duty to overthrow it.
[02:03:28.433 --> 02:03:30.193]  Not just go protest it, you twit!
[02:03:31.181 --> 02:03:36.206]  Absolutely, we need guerrilla information war to get around your PSYOPs, you Pentagon employee.
[02:03:36.546 --> 02:03:37.186]  Back to it!
[02:03:37.747 --> 02:03:39.588]  Crimes of this administration to a halt.
[02:03:40.009 --> 02:03:47.315]  Okay, but that's not going to happen because most Americans... It's not going to happen unless people stand up and... No, it's not going to happen ever, because they don't agree with you.
[02:03:47.776 --> 02:03:49.377]  They don't think you're correct.
[02:03:49.978 --> 02:03:52.360]  And if they did, then you would have millions of people.
[02:03:52.440 --> 02:03:55.203]  A war of aggression by Nuremberg standards.
[02:03:55.223 --> 02:03:59.006]  By Nuremberg standards, there's no legitimate cause of self-defense.
