[00:00:01.751 --> 00:00:02.471]  Free.
[01:58:19.514 --> 01:58:25.900]  You know, it's so good to talk to a factoid newshound like myself, because you've always seen everything I've seen and more.
[01:58:25.900 --> 01:58:27.182]  It's good to go, hey, did you see that?
[01:58:27.182 --> 01:58:28.603]  Yeah, I saw that, because that's all we do.
[01:58:29.964 --> 01:58:35.548]  Mike, I know you run a successful business yourself in special effects, but what is it like for you?
[01:58:35.548 --> 01:58:41.292]  Is it as addicting to you as it is for me to always want to know more?
[01:58:41.292 --> 01:58:44.294]  Unfortunately, yes, and it is a contagious addiction.
[01:58:44.294 --> 01:58:49.757]  But on the other hand, I think spreading this particular addiction is the key to getting our republic back.
[01:58:49.757 --> 01:58:50.178]  I agree.
[01:58:51.753 --> 01:58:53.174]  Third hour, straight ahead.
[01:58:53.174 --> 01:58:57.718]  KC, Nathan, Harvey, Eric will be the only calls we take.
[01:58:57.718 --> 01:59:00.880]  Then I'm going to play some clips from a Twilight Zone episode.
[01:59:00.880 --> 01:59:05.183]  Another clip from CNN about cover-up concerning Oklahoma City by the government.
[01:59:05.183 --> 01:59:06.464]  It's finally breaking.
[01:59:06.464 --> 01:59:09.626]  And another little clip concerning the Loving Kim trails.
[01:59:09.626 --> 01:59:14.210]  We'll be right back in 70 seconds.
[01:59:14.210 --> 01:59:18.433]  Order a copy of this show for your friends and family at GCNlive.com or call 877-300-7645.
[01:59:23.826 --> 01:59:31.629]  Hello folks, this is Alex Jones introducing you to the incredible Berkey Solar Charger, your source for free solar electricity.
[01:59:31.629 --> 01:59:38.872]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag, or glove compartment.
[01:59:38.872 --> 01:59:50.796]  The Berkey Solar Charger has been designed to power the Berkey lights, LED lamps, as well as other applications such as mobile phones, radios, digital cameras, and PDAs when electricity is unavailable.
[01:59:50.796 --> 01:59:52.477]  Its multi-voltage capabilities
[01:59:52.637 --> 01:59:53.257]  We're good to go!
[02:00:23.934 --> 02:00:26.337]  Waging war on corruption.
[02:00:26.337 --> 02:00:35.668]  Alex Jones on the GCN Radio Network.
[02:00:35.668 --> 02:00:36.990]  Big Brother.
[02:00:36.990 --> 02:00:38.752]  Mainstream media.
[02:00:38.752 --> 02:00:40.514]  Government cover-ups.
[02:00:40.514 --> 02:00:42.096]  You want answers?
[02:00:42.096 --> 02:00:42.877]  Well, so does he.
[02:00:44.013 --> 02:00:47.814]  He's Alex Jones on the GCN Radio Network.
[02:00:47.814 --> 02:00:57.136]  And now, live from Austin, Texas, Alex Jones.
[02:00:57.136 --> 02:01:01.177]  Now into hour number three of this January 2nd, 2006 edition.
[02:01:01.177 --> 02:01:03.057]  I'm Alex Jones, your host.
[02:01:03.057 --> 02:01:05.058]  Thank you so much for joining us.
[02:01:08.550 --> 02:01:19.363]  Aaron Dykes, one of my cameramen, and Kevin Smith are there at the FEMA camp, the Admitted Relocation Center that they've opened with men, women, and children in it in Taylor, Texas.
[02:01:19.363 --> 02:01:24.990]  We'll have a report from him at the bottom of the hour and on some of the folks that have showed up there to observe.
[02:01:25.490 --> 02:01:26.151]  Hey Alex, how's it going?
[02:01:26.151 --> 02:01:26.831]  Good, you're going to love this.
[02:01:26.831 --> 02:01:27.591]  George Bush Sr.
[02:01:27.591 --> 02:01:28.192]  today at Ford's funeral.
[02:01:51.075 --> 02:02:02.106]  He said something to the effect that contrary to what conspiracy theorists think, the Warren Commission still stands because it had Ford's good name signed to it.
[02:02:02.106 --> 02:02:03.087]  This was on television?
[02:02:03.087 --> 02:02:04.408]  I'd love to have that on tape.
[02:02:04.408 --> 02:02:05.449]  This was at his funeral.
[02:02:05.449 --> 02:02:07.632]  I'm sure lots of people are taping it, but...
[02:02:09.480 --> 02:02:10.601]  It was crazy.
[02:02:10.601 --> 02:02:13.364]  Well, they're going to re-air it on C-SPAN, I'll be sure and tape it.
[02:02:13.364 --> 02:02:14.705]  Thank you for that info.
[02:02:14.705 --> 02:02:23.333]  Of course, 92% of Americans, if you index, I average 12 polls together, 92% believe that the government was involved.
[02:02:23.333 --> 02:02:25.315]  You want to comment on that, Mike Rivera?
[02:02:25.315 --> 02:02:32.482]  Well, this is a very strange statement for Bush to be making because Gerald Ford was forced to admit that he had altered the Warren reports
[02:02:33.158 --> 02:02:39.702]  Uh, location of Kennedy's back wound, uh, to move it up closer to the neck to line up with the magic bullet theory.
[02:02:39.702 --> 02:02:49.268]  So here we have Gerald Ford, you know, himself, uh, was part of the cover-up because he turned a shoulder wound into a neck wound so that the magic bullet would all line up.
[02:02:49.268 --> 02:02:56.913]  But this shows their arrogance that they'd shoot their mouth off when 92% of us know they're liars and they just still think what they say holds water.
[02:02:57.765 --> 02:03:02.247]  Like I said, they're still playing the game by the rules that worked back in the 50s, 60s, and 70s.
[02:03:02.247 --> 02:03:11.651]  They haven't really caught on how quickly their lives are going to get exposed out here in alternative radio and in the internet.
[02:03:11.651 --> 02:03:12.371]  It's unbelievable.
[02:03:12.371 --> 02:03:18.754]  They've also tried to flood the web with disinfo, but people develop a palate to recognize baloney very fast.
[02:03:18.754 --> 02:03:26.077]  Yeah, they're actually training us to be more discerning and skeptical, and it's making us all better citizens, better researchers,
[02:03:26.762 --> 02:03:29.464]  Uh, and just really much more discerning.
[02:03:29.464 --> 02:03:31.626]  And in the long run it's going to work against them.
[02:03:31.626 --> 02:03:35.969]  It's fun seeing the COINTELPRO people pull their hair out on the web and attack us, isn't it, Mike?
[02:03:35.969 --> 02:03:37.350]  Yes, it is.
[02:03:37.350 --> 02:03:39.651]  Let's just know we're really hitting them hard.
[02:03:39.651 --> 02:03:40.272]  Absolutely.
[02:03:40.272 --> 02:03:42.574]  Anything else, KC?
[02:03:42.574 --> 02:03:47.357]  Well, I thought it was kind of interesting because there was two sides to it.
[02:03:47.357 --> 02:03:52.821]  It was kind of like, A, you have the fact that he's kind of revealing his insecurities to the world.
[02:03:53.956 --> 02:03:57.079]  About, you know, the JFK assassination.
[02:03:57.079 --> 02:04:06.946]  And then B, it's kind of like a backhanded insult because now that he's dead, wasn't he like one of the only people alive left to be able to testify about it?
[02:04:06.946 --> 02:04:08.667]  Yes.
[02:04:08.667 --> 02:04:11.389]  Right, so it's like, that kind of threw me.
[02:04:11.389 --> 02:04:13.530]  Well also, all the evidence shows that Bush Sr.
[02:04:13.530 --> 02:04:22.777]  was in the CIA at the time, involved in Bay of Pigs, involved in operations, you know, the different rifle groups, and was in Dallas when that happened.
[02:04:22.777 --> 02:04:22.957]  Mike?
[02:04:23.638 --> 02:04:24.359]  Yeah, absolutely.
[02:04:24.359 --> 02:04:25.800]  That's what I was going to point out.
[02:04:25.800 --> 02:04:27.341]  Bush himself was neck deep.
[02:04:27.341 --> 02:04:30.644]  He was working with Felix Rodriguez in the Cuban operation.
[02:04:30.644 --> 02:04:35.508]  He loaned some of his company's ships to support the Bay of Pigs operation.
[02:04:35.508 --> 02:04:41.673]  So, Bush himself could probably testify if some means could be found to coerce the truth out of him.
[02:04:41.673 --> 02:04:44.835]  I think he's getting doddering and slithering up.
[02:04:44.835 --> 02:04:45.676]  Could very well be.
[02:04:46.687 --> 02:04:47.108]  All right.
[02:04:47.108 --> 02:04:48.489]  Thank you for that information.
[02:04:48.489 --> 02:04:49.990]  I really appreciate it, KC.
[02:04:49.990 --> 02:04:50.991]  So much happening.
[02:04:50.991 --> 02:04:55.435]  Mike Rivera, your new show starts this Saturday, 11 a.m.
[02:04:55.435 --> 02:04:57.938]  Central Time, here on the GCN Radio Network.
[02:04:57.938 --> 02:05:01.841]  I hope some of our affiliates out there will give it a listen and pick it up.
[02:05:01.841 --> 02:05:03.943]  And I appreciate you coming on with us.
[02:05:03.943 --> 02:05:05.725]  Well, thank you, and we'll talk to you next month.
[02:05:05.725 --> 02:05:06.226]  All right.
[02:05:06.226 --> 02:05:09.349]  And the website's WhatReallyHappened.com.
[02:05:09.349 --> 02:05:10.069]  Thanks for being with us.
[02:05:10.069 --> 02:05:10.750]  Thank you.
[02:05:11.574 --> 02:05:13.296]  All right, there goes Mike Rivero.
[02:05:13.296 --> 02:05:15.339]  You can join him this Saturday.
[02:05:15.339 --> 02:05:24.909]  Come back, I'll talk to Harry and Eric, maybe one or two others, and I want to play a few news clips in this Twilight Zone piece that shows volumes of what we face today.
[02:05:24.909 --> 02:05:27.993]  Infowars.com, PrisonPlanet.com are the websites.
[02:05:27.993 --> 02:05:28.954]  Check out PrisonPlanet.tv.
[02:05:34.486 --> 02:05:37.991]  It's here, after a year in production and traveling to distant lands.
[02:05:37.991 --> 02:05:40.315]  My new film Terror Storm is complete.
[02:05:40.315 --> 02:05:47.966]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[02:05:48.641 --> 02:05:56.084]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[02:05:56.084 --> 02:06:07.828]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[02:06:07.828 --> 02:06:11.769]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[02:06:11.769 --> 02:06:14.050]  It's an anthology of government crimes.
[02:06:14.050 --> 02:06:17.811]  Terror Storm is a film that everyone who wants to be truly informed must see.
[02:06:18.471 --> 02:06:25.815]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[02:06:31.366 --> 02:06:36.731]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[02:06:36.731 --> 02:06:45.078]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[02:06:45.078 --> 02:06:52.144]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[02:06:52.304 --> 02:06:53.664]  Radioactive poisoning.
[02:06:53.664 --> 02:06:59.746]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[02:06:59.746 --> 02:07:04.968]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[02:07:04.968 --> 02:07:14.090]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[02:07:14.090 --> 02:07:18.851]  Order the official Potassium Iodate for only $24 and save $5 by calling New Millennium.
[02:07:21.772 --> 02:07:24.353]  888-803-4438.
[02:07:24.353 --> 02:07:27.834]  Call now and get free shipping.
[02:07:27.834 --> 02:07:30.795]  That's 888-803-4438.
[02:07:30.795 --> 02:07:33.897]  Are you concerned about the high cost of prescription drugs?
[02:07:33.897 --> 02:07:40.419]  Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription filled.
[02:07:40.419 --> 02:07:42.740]  That's over 46% savings!
