[00:00:00.049 --> 00:00:00.449]  The 8.
[01:50:44.740 --> 01:50:46.400]  When they're killing you, you will.
[01:50:47.280 --> 01:50:50.661]  Maybe at that point you'll resist the only way you can at that point.
[01:50:51.441 --> 01:50:52.562]  And nothing may help you.
[01:50:53.262 --> 01:50:53.842]  It won't matter.
[01:50:54.947 --> 01:50:59.372]  The troops will just be glad that they've got the cure, the vaccine for whatever the globalists have released.
[01:50:59.793 --> 01:51:04.958]  They'll follow orders to, quote, exterminate everyone that has whatever deadly superplug they're going to release.
[01:51:05.819 --> 01:51:07.922]  And it's going to be quite interesting.
[01:51:08.462 --> 01:51:10.685]  And I'm sorry that most of you are going to have to die.
[01:51:10.705 --> 01:51:13.588]  And, well, you know, that's what it is to be in an evil country.
[01:51:13.608 --> 01:51:16.291]  You can die like the 54 million dead children we've aborted.
[01:51:17.230 --> 01:51:19.391]  Now if I haven't freaked you out, something's wrong with you.
[01:51:19.892 --> 01:51:30.598]  Before I end this segment, I hope you will go to InfoWars.com or PrisonPlanet.com and I hope you will get the videos and I hope you'll get them out to people so we can expose these people.
[01:51:31.038 --> 01:51:34.641]  If enough of us wake up now, it may derail this phase of the extermination program.
[01:51:35.681 --> 01:51:37.482]  And yes, the videos are one of the best tools to do it.
[01:51:37.502 --> 01:51:37.562]  1-888-253-3139
[01:51:44.238 --> 01:51:44.738]  That's 888-253-3139.
[01:51:44.798 --> 01:51:53.565]  In my film, The Road to Tyranny, I have mainstream news articles where the elite plan to exterminate us, okay?
[01:51:54.446 --> 01:51:55.947]  Where they have declassified documents.
[01:51:56.828 --> 01:52:00.370]  They've already exterminated and sterilized half the women in the third world.
[01:52:00.410 --> 01:52:01.311]  Official documents.
[01:52:02.232 --> 01:52:05.014]  I mean, this stuff's not... What I'm telling you is true, okay?
[01:52:05.594 --> 01:52:06.635]  I'm sorry it's scary.
[01:52:08.200 --> 01:52:09.421]  But you might want to wake people up.
[01:52:09.441 --> 01:52:10.822]  You might want to get involved, okay?
[01:52:10.882 --> 01:52:12.463]  Because this is the only chance we've got.
[01:52:12.583 --> 01:52:14.685]  And some of the best tools we have are the videos.
[01:52:14.705 --> 01:52:15.666]  1-888-253-3139.
[01:52:15.686 --> 01:52:19.869]  Or write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, TX 78704.
[01:52:20.409 --> 01:52:22.030]  Alright, third hour straight ahead.
[01:52:22.050 --> 01:52:25.052]  I'm going to get back into this PNAC document.
[01:52:35.049 --> 01:52:37.790]  Or they say they want to use very specific bioweapons on you in the near future.
[01:52:38.831 --> 01:52:42.332]  And I want to get to all the other great callers that are patiently holding.
[01:52:43.893 --> 01:52:44.613]  So stay with us.
[01:52:44.633 --> 01:52:46.634]  We'll be right back on the other side of this quick break.
[01:52:46.694 --> 01:52:47.594]  Start in the third hour.
[01:52:48.815 --> 01:52:50.755]  And I'll see you tonight in Houston, Texas.
[01:52:53.476 --> 01:52:56.958]  Hello folks, Alex Jones here introducing you to the Black Berkey Replacement Elements.
[01:52:57.218 --> 01:53:00.719]  They're new and they're more powerful than any gravity filter element on the market.
[01:53:00.799 --> 01:53:04.741]  These powerful filters fit most gravity filter systems and can be installed and can be
[01:53:08.490 --> 01:53:11.712]  This is the Genesis Communications Radio Network.
[01:53:19.298 --> 01:53:19.958]  Big Brother.
[01:53:20.598 --> 01:53:21.659]  Mainstream media.
[01:53:22.380 --> 01:53:23.540]  Government cover-ups.
[01:53:23.560 --> 01:53:24.981]  You want answers?
[01:53:25.001 --> 01:53:26.663]  Well, so does he.
[01:53:26.683 --> 01:53:31.086]  He's Alex Jones on the GCN Radio Network.
[01:53:31.446 --> 01:53:35.569]  And now, live from Austin, Texas, Alex Jones.
[01:53:36.682 --> 01:53:43.205]  Alright, the PNAC document project for the new American century called for terrorist attacks to get the new world order going.
[01:53:44.766 --> 01:53:47.308]  A Pearl Harbor, fortunate Pearl Harbor event.
[01:53:49.989 --> 01:54:00.214]  And they also said that they want to develop weapons that quote, can target specific genotypes and may transform biological warfare from a realm of terror to a politically useful tool.
[01:54:00.534 --> 01:54:00.654]  Oh!
[01:54:00.674 --> 01:54:03.716]  I mean these people are just
[01:54:04.640 --> 01:54:06.722]  Speaking of James Bond movies, remember Moonraker?
[01:54:07.042 --> 01:54:12.706]  Where the crazy Illuminati guy is going to knock out the population of the Earth so he can create his Utopia Society?
[01:54:13.226 --> 01:54:22.112]  Folks, in my film Road to Tyranny, I have the Sydney Morning Herald, I have BBC, I have mainstream articles where the globalists actually plan something like that.
[01:54:23.773 --> 01:54:32.459]  And they get into this quote, they've got a quote here, Worldwide Demand and Control System needs to be in place before they can start the use
[01:54:33.314 --> 01:54:40.195]  of targeted specific genotypes may transform biological warfare from the realm of terror, a politically useful tool.
[01:54:40.595 --> 01:54:52.638]  This is your Christian conservative leaders that want your guns and say they'll sign the assault weapons ban, that say Arnold would make a good president when he's posing for the gay porno mags.
[01:54:52.678 --> 01:54:54.558]  By the way, that picture's now out there, folks.
[01:54:56.878 --> 01:54:59.419]  And says he's for abortion and total gun control.
[01:54:59.659 --> 01:55:00.679]  Oh, it's so good!
[01:55:02.091 --> 01:55:03.072]  Again, just remember that.
[01:55:05.053 --> 01:55:06.173]  Oh man, we're in a lot of trouble.
[01:55:06.594 --> 01:55:20.482]  Alright, before we get back into more news, we're talking about the biggest smoking guns of government prior knowledge and involvement in 9-1-1, and the most sickening propaganda you've seen around September 11th with the fake crying of Bush and the rest of it.
[01:55:20.782 --> 01:55:24.104]  Bush saying, hey, Bin Laden's about to resurface, he's gonna get us.
[01:55:24.184 --> 01:55:27.486]  And then an hour after his speech, Bin Laden resurfaces, I'm gonna get ya.
[01:55:28.106 --> 01:55:30.668]  Always, you know, being a good employee of the CIA,
[01:55:32.253 --> 01:55:35.596]  And Bush says you better pass Patriot Act 2 or Bin Laden's going to get you.
[01:55:35.856 --> 01:55:42.341]  So no matter how much you complain, you know, don't worry, Bin Laden's going to keep getting you over and over again until you're good little slaves.
[01:55:43.501 --> 01:55:48.765]  Let's go ahead and talk to, hmm, I wonder who's up next here.
[01:55:50.527 --> 01:55:51.447]  I have no idea.
[01:55:52.608 --> 01:55:53.469]  Meg in Texas.
[01:55:53.509 --> 01:55:54.249]  Go ahead, Meg.
[01:55:54.269 --> 01:55:55.470]  Hi, Alex.
[01:55:55.490 --> 01:55:58.833]  Yeah, we're going to trade our liberty for security, right?
[01:55:59.875 --> 01:56:05.296]  Hey, after the Reichstag firebombing, Hitler said, the terrorists have attacked, we've got to take your rights away.
[01:56:05.316 --> 01:56:07.357]  Oh yeah, it sounds all too familiar.
[01:56:07.657 --> 01:56:19.259]  Listen, I wanted to make a couple of comments from the last callers, and then you'd asked me to call back, and I thought maybe today would be appropriate, about the definition of Molech, and I'll try to be real quick.
[01:56:19.299 --> 01:56:22.319]  Oh, you mean the Christian conservative god that Bush worships?
[01:56:22.379 --> 01:56:24.740]  Right, and Bohemian Grove and what have you.
[01:56:26.405 --> 01:56:28.307]  Lamedica says it's the most evil demon.
[01:56:28.347 --> 01:56:30.448]  If your leaders worship this, you'll be cursed.
[01:56:30.729 --> 01:56:35.973]  They admit they worship Bullock at the Grove, but again, Pat Robertson says forced abortion is good, so you know.
[01:56:36.273 --> 01:56:36.693]  Oh, right.
[01:56:37.114 --> 01:56:46.922]  And I do believe that they are purposely not treating a lot of people with illnesses, and that they're just disposable, especially socioeconomic factors.
[01:56:47.082 --> 01:56:47.963]  Oh, well that's admitted.
[01:56:48.003 --> 01:56:49.444]  The Bioethics Board says so.
[01:56:49.604 --> 01:56:50.685]  Right, right.
[01:56:50.725 --> 01:56:53.067]  Yeah, I happen to be on the rear end of that myself.
[01:56:54.654 --> 01:56:57.316]  You have the definition of the Christian God.
[01:56:57.336 --> 01:56:59.638]  I mean, I don't believe that, but again, I'm a leftist.
[01:56:59.718 --> 01:57:00.338]  I'm pro-gun.
[01:57:01.740 --> 01:57:03.841]  But this is the new Christian God.
[01:57:03.861 --> 01:57:04.522]  He's called Molech.
[01:57:04.542 --> 01:57:05.242]  He was very loving.
[01:57:05.262 --> 01:57:05.643]  Go ahead.
[01:57:06.023 --> 01:57:06.924]  Oh, yeah.
[01:57:06.964 --> 01:57:08.565]  The national God of the Ammonites.
[01:57:08.725 --> 01:57:11.388]  Children were sacrificed in the fire to Molech.
[01:57:12.088 --> 01:57:14.230]  Malcolm is another name for this God.
[01:57:14.710 --> 01:57:20.155]  Malcolm is the name that may be heading up the International Settlement Bank.
[01:57:21.880 --> 01:57:24.682]  And you know what's so incredible about that definition?
[01:57:51.554 --> 01:58:02.637]  Is that in the ritual that the Christian conservatives, the William Bennett types, they're not doing 1.4 million gambling in a weekend.
[01:58:02.777 --> 01:58:04.318]  That's what they say in the ritual.
[01:58:04.598 --> 01:58:09.279]  They say this is about us not caring, about us controlling, about us dominating.
[01:58:09.319 --> 01:58:09.759]  Stay there.
[01:58:10.759 --> 01:58:12.840]  We'll talk about how we love guns because we're liberals.
[01:58:14.804 --> 01:58:21.606]  Hey folks, Alex Jones here, and I'm very excited to announce the release of my bombshell documentary film, 9-1-1, The Road to Tyranny, on DVD.
[01:58:21.946 --> 01:58:23.327]  That's right folks, DVD.
[01:58:23.527 --> 01:58:25.707]  The original film was 144 minutes long.
[01:58:25.867 --> 01:58:27.948]  The DVD version is 170 minutes.
[01:58:28.248 --> 01:58:33.190]  If you want to wake up your friends and families to the truth of what happened on September 11th, this is the film for you.
[01:58:33.510 --> 01:58:37.531]  The Road to Tyranny is already sending shockwaves through Washington and across the United States.
[01:58:37.791 --> 01:58:39.572]  You absolutely must see this DVD.
[01:58:39.652 --> 01:58:50.298]  It covers the history of government-sponsored terrorism, the police state and homeland security, the nightmare UN population control programs, the cashless society control grid, satellite tracking and plentiful microchips, and much, much more.
[01:58:50.439 --> 01:58:52.360]  Bottom line, this film is waking people up.
[01:58:52.560 --> 01:58:56.422]  Order your copy on VHS or DVD today, and man the guns in the info war.
[01:58:56.502 --> 01:58:58.083]  Order right now by calling 1-888-253-3139.
[01:58:58.103 --> 01:58:58.643]  That's 888-253-3139.
[01:59:04.887 --> 01:59:08.632]  Or order online at InfoWars.com or InfoWars.net.
[01:59:08.852 --> 01:59:09.573]  Again, that number 888-253-3139.
[01:59:14.039 --> 01:59:17.520]  Hello folks, Alex Jones here introducing you to the Black Berkey Replacement Element.
[01:59:17.780 --> 01:59:21.301]  They're new and they're more powerful than any gravity filter element on the market.
[01:59:21.381 --> 01:59:25.322]  These powerful filters fit most gravity filter systems and can be installed in minutes.
[01:59:25.542 --> 01:59:31.703]  Black Berkey Replacement Elements are so powerful they remove pathogenic bacteria, cysts, parasites to non-detectable levels.
[01:59:32.103 --> 01:59:40.025]  The trihalomethanes and volatile organic chemicals such as atrazine, styrene, chloroform, and MTBE are removed below detectable limits.
[01:59:40.405 --> 01:59:40.765]  I think so.
[01:59:55.550 --> 01:59:58.992]  $90 each, you get a 2-pack for only $91 or a 4-pack for only $173.
[01:59:59.032 --> 02:00:05.675]  Get the powerful Black Berkey replacement filters now by calling New Millennium at 888-803-4438 and tell them Alex Jones sent you.
[02:00:05.715 --> 02:00:07.416]  That's 888-803-4438 and protect your family.
[02:00:14.244 --> 02:00:18.728]  Through the years of providing water filters to America, you've come to us and we've listened.
[02:00:19.088 --> 02:00:23.192]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[02:00:23.472 --> 02:00:24.013]  We listened.
