[00:00:12.412 --> 00:00:18.074]  He aligns himself with the truth, and it's time for you to choose a side.
[02:08:56.866 --> 02:09:09.877]  Also, we have a Democrat Congresswoman from Hawaii coming out, joining Trump, and pointing out that she went to Syria, met with Assad, saw what ISIS and Al-Qaeda are doing, and that Obama is very evil, and Hillary are, for helping try to overthrow that regime.
[02:09:09.877 --> 02:09:15.941]  So, more and more you see people doing the right thing, and standing up for what's right.
[02:09:15.941 --> 02:09:18.644]  This is a big, big, big deal.
[02:09:19.790 --> 02:09:24.235]  And Dr. Jerome Corsi got from Israeli sources.
[02:09:24.235 --> 02:09:26.577]  I began to report that it was Israel that was going to nominate.
[02:09:26.577 --> 02:09:31.743]  Now Israel, talking to other countries, has supported, but it was brought to them.
[02:09:31.743 --> 02:09:33.705]  I've now got the full communications.
[02:09:33.705 --> 02:09:34.907]  I've talked to them on the phone.
[02:09:34.907 --> 02:09:41.353]  This came from high-level Israeli intelligence, right up at the top of the government, that wow, this is going to be announced soon.
[02:09:42.094 --> 02:09:52.758]  But we brought it to you so quickly, of course he was so excited that we didn't get to the rest of the story, that Israel's happy to support it, but it was not actually progenerated by Israel.
[02:09:52.758 --> 02:09:55.359]  But Rob Dews is getting those clips together to put that out as well.
[02:09:55.359 --> 02:09:56.920]  Why not give him a peace prize?
[02:09:56.920 --> 02:10:09.565]  If they gave Obama one for starting all these wars and being at war every day, calling for peace with Russia, calling for peace through strength, calling for wiping out ISIS and Al-Qaeda that's been used as a globalist, Islamist invasion force.
[02:10:10.285 --> 02:10:11.646]  Merkel opening up Germany.
[02:10:11.646 --> 02:10:13.787]  I mean, all this madness.
[02:10:13.787 --> 02:10:16.569]  Leanne, I've asked the guys to put this together.
[02:10:16.569 --> 02:10:17.269]  I know they've been busy.
[02:10:17.269 --> 02:10:20.371]  I don't know if they've ever given it to us in the file.
[02:10:20.371 --> 02:10:28.116]  But I've got women saying Allah Akbar here in the U.S., in Germany, putting hajibs on, the signs saying put hajibs on, the people leading the march in D.C.
[02:10:28.116 --> 02:10:34.260]  for Soros being Islamicist with connections to Hamas that say women's rights is Sharia law.
[02:10:34.260 --> 02:10:36.402]  This is so upside down, bizarro.
[02:10:37.282 --> 02:10:44.626]  When he's barring people from Somalia and Sudan where they sell women on slave blocks in the town square.
[02:10:44.626 --> 02:10:47.427]  ISIS sells women into sex slavery as young as five.
[02:10:47.427 --> 02:10:52.150]  But that's okay because it's religious and the left loves Islam.
[02:10:52.150 --> 02:11:01.895]  I don't understand why the left is in such a love fest with it and is it surreal for you as a woman to hear America's bad to women and the West is bad to women and then to see all this?
[02:11:02.546 --> 02:11:16.079]  Right, well I know Owen Schroyer was actually out at a rally the other day and a woman was actually, or actually that might have been Joe Biggs, but she was actually explaining to him, Sharia law is in line with the Constitution.
[02:11:16.079 --> 02:11:21.224]  So now that's the new fake news, the alternative facts, that Sharia law is just as good as the Constitution.
[02:11:21.224 --> 02:11:22.084]  That's why they should allow it to be here.
[02:11:22.084 --> 02:11:22.745]  Oh, they were telling me all this.
[02:11:22.745 --> 02:11:23.226]  I have all this on tape.
[02:11:23.226 --> 02:11:24.467]  I'm gonna put a compilation together.
[02:11:25.007 --> 02:11:28.370]  I mean, I know I shot hours of live footage out there, but I've got it all on tape.
[02:11:28.370 --> 02:11:29.932]  You go out there, they'll tell you.
[02:11:29.932 --> 02:11:37.299]  So I really want our reporters to go out and talk to these people and document that, yes, we're an Islamic movement, we want to take over, and we're in command.
[02:11:37.765 --> 02:11:41.786]  And we want everyone to believe that Sharia law is compliant with the Constitution.
[02:11:41.786 --> 02:11:43.667]  And that's why we should be able to practice it here.
[02:11:43.667 --> 02:11:46.867]  And, you know, forget about the female genital mutilation.
[02:11:46.867 --> 02:11:53.109]  One of the founders there of leading the Women's March, she was all for the female genital mutilation.
[02:11:53.109 --> 02:11:56.570]  Actually, a woman who had survived that and is speaking out against it.
[02:11:57.991 --> 02:12:02.056]  Laura Sarsour, she actually said, you know, I wish I could just take her entire vagina away.
[02:12:02.056 --> 02:12:03.919]  She's, you know, bad for women.
[02:12:03.919 --> 02:12:08.805]  Like, these are the people that the left is propping up as their leaders for their new movement.
[02:12:08.805 --> 02:12:09.906]  It's like Uma Abedin.
[02:12:10.836 --> 02:12:19.278]  I mean, her mother wrote the book, literally, the paper law on how the right of women is to have their genitals cut off.
[02:12:19.278 --> 02:12:20.538]  See, it's a good thing.
[02:12:20.538 --> 02:12:21.479]  Stockholm Syndrome.
[02:12:21.479 --> 02:12:22.839]  This is crazy land.
[02:12:22.839 --> 02:12:30.921]  And now, we first reported from our NYPD sources, and had other guests on that had similar sources, like Doug Hagman.
[02:12:31.661 --> 02:12:38.306]  From the Northeast Intelligence Network that indeed Wiener was being investigated in the child porn and found on his phone.
[02:12:38.306 --> 02:12:40.869]  That is now in the news yesterday and today.
[02:12:40.869 --> 02:12:44.852]  And they're saying, well, it's just, you know, underage girls and him sending stuff to them.
[02:12:44.852 --> 02:12:45.953]  Is that really that bad?
[02:12:45.953 --> 02:12:48.815]  Look, of course, this is just the tip of the iceberg.
[02:12:48.815 --> 02:12:54.800]  They don't want to prosecute him because it opens up a whole labyrinth of what's going on in D.C.
[02:12:54.800 --> 02:12:57.462]  and New York and right here where I'm sitting, Los Angeles.
[02:12:57.642 --> 02:13:00.125]  Well, obviously the Clintons didn't think it was that bad.
[02:13:00.125 --> 02:13:05.030]  Pettoe Island there with Epstein, you know, so it's just underage girls, you know.
[02:13:05.030 --> 02:13:07.252]  And that's the thing, is where is the outrage?
[02:13:07.252 --> 02:13:20.246]  Where are all these women protesting when you see ISIS taking the Yazidi girls, 5,000 plus women abducted, turned into sex slaves, tortured, mutilated, have all their female rights?
[02:13:20.982 --> 02:13:26.048]  One six-year-old girl in Syria was, quote, raped to death by over 100 men.
[02:13:26.048 --> 02:13:26.528]  Right.
[02:13:26.528 --> 02:13:27.769]  Where's the outrage there?
[02:13:27.769 --> 02:13:36.659]  And the outrage, knowing that it was President Obama and his administration that was in charge of all this, calling them the JV team.
[02:13:36.659 --> 02:13:41.344]  No outrage there for these women that are suffering under this brutal regime.
[02:13:41.644 --> 02:13:43.385]  Well, I mean, look, they want to abuse women.
[02:13:43.385 --> 02:13:46.347]  They are the party of death and destruction, along with the Republican leadership.
[02:13:46.347 --> 02:13:50.410]  And so they always claim they're resisting what they're involved in.
[02:13:50.410 --> 02:13:56.535]  That's why so many Homeland Security deputy heads end up getting caught being pedophiles by people that are good inside Homeland Security.
[02:13:56.535 --> 02:13:59.697]  We're dealing with a satanic network of pedophiles.
[02:13:59.697 --> 02:14:06.442]  And again, we put the screen, the article on screen, just type in Anthony Weiner being investigated for child pornography.
[02:14:06.442 --> 02:14:08.844]  They're looking at indictments right now.
[02:14:09.184 --> 02:14:17.430]  That's all over the New York newspapers, and they're saying, let's be easy on him, kind of like Salon has articles promoting pedophilia.
[02:14:17.430 --> 02:14:19.572]  So this is the new civil right.
[02:14:19.572 --> 02:14:27.318]  And again, just like they want to teach your five-year-old how to be a tranny, they're going to next want to teach your five-year-old, hey, your five-year-old's allowed to go on a date.
[02:14:27.878 --> 02:14:30.701]  You know, with somebody like Anthony Weiner, they're allowed to love.
[02:14:30.701 --> 02:14:31.943]  That's what Nambla says.
[02:14:31.943 --> 02:14:34.426]  They want to have kids as young as three out of your backyard.
[02:14:34.426 --> 02:14:37.930]  If they see the van and they say, we have candy, we have puppies, I'm serious.
[02:14:37.930 --> 02:14:42.055]  That your child has a right to go because of love, little hearts.
[02:14:42.055 --> 02:14:43.136]  That's why they dress up in...
[02:14:43.957 --> 02:14:46.640]  In teddy bear outfits when they raped the kids.
[02:14:46.640 --> 02:14:49.043]  They just busted a big ring of these people in Pennsylvania.
[02:14:49.043 --> 02:14:50.725]  Pennsylvania is one of the worst states, folks.
[02:14:50.725 --> 02:14:53.529]  Just hardcore pedophilia going on there.
[02:14:53.529 --> 02:14:58.014]  I know folks that have lived in Pennsylvania that personally said they knew the DuPonts well.
[02:14:58.014 --> 02:14:58.695]  Satanism.
[02:14:58.695 --> 02:14:59.676]  Pedophilia.
[02:14:59.676 --> 02:15:01.538]  It's just rampant, ladies and gentlemen.
[02:15:02.560 --> 02:15:09.044]  Yeah, and to think that they're actually trying to label pedophilia as a different type of sexual orientation.
[02:15:09.044 --> 02:15:18.450]  That it's totally normal, we're so accepting, we're so loving of all these different gender orientations, and you know, whatever anyone's into, live and let live.
[02:15:18.450 --> 02:15:20.692]  Pedophilia is next in line for acceptance.
[02:15:21.636 --> 02:15:22.997]  I mean, it's just absolutely insane.
[02:15:22.997 --> 02:15:28.660]  Owen's got a story here where this... Well, this just broke today, and I just got the story.
[02:15:28.660 --> 02:15:40.988]  I haven't really been able to look into it too much, but the headline from KTLA, 474 Arrested, 28 Sexually Exploited Children Rescued During Statewide Human Trafficking Operation.
[02:15:40.988 --> 02:15:42.009]  So this is in California?
[02:15:42.009 --> 02:15:43.450]  So this is actually out there in L.A.
[02:15:43.450 --> 02:15:44.471]  where you're at, Alex.
[02:15:44.471 --> 02:15:45.671]  Yeah, and think about it.
[02:15:45.671 --> 02:15:48.893]  They had the thousand plus people that were on the list.
[02:15:50.134 --> 02:15:54.196]  Pedophiles actually on the list there who were fostering children.
[02:15:54.196 --> 02:15:56.618]  A thousand plus names.
[02:15:56.618 --> 02:15:57.198]  Let's be clear.
[02:15:57.198 --> 02:16:01.781]  There is a cult and it's battled good guys and bad guys in government.
[02:16:01.781 --> 02:16:02.921]  Government's not the enemy.
[02:16:02.921 --> 02:16:04.702]  It's unconstitutional government's the enemy.
[02:16:04.702 --> 02:16:06.784]  There are literal pedophile rings.
[02:16:06.784 --> 02:16:08.445]  They just busted one in Pennsylvania.
[02:16:08.445 --> 02:16:19.111]  Just type in the shining image of man in teddy bear outfit and it's non-pornographic but it shows where she's seeing the ghost
[02:16:19.571 --> 02:16:25.075]  You know, having a psychic event of what happened that was evil in the hotel, and it was rich men abusing children.
[02:16:25.075 --> 02:16:26.376]  That's what the whole Shining's about.
[02:16:26.376 --> 02:16:32.240]  That's what Stanley Kubrick was telling the public is, the leader in pedophilia, it's wrong, it's evil, it's bad.
[02:16:32.240 --> 02:16:36.082]  And I was even told by folks in the family that he was aware of this and trying to expose it.
[02:16:36.082 --> 02:16:40.826]  And again, they dress up in these teddy bear outfits when they rape the kids.
[02:16:40.826 --> 02:16:44.989]  And again, just absolutely giant rings.
[02:16:45.649 --> 02:16:51.994]  Of these people at Penn State, you name it, and there's a civil war right now in the government trying to roll up these pedophile rings.
[02:16:51.994 --> 02:16:52.995]  I want to explain.
[02:16:52.995 --> 02:16:55.156]  It's psychic vampirism.
[02:16:55.156 --> 02:17:05.164]  Whether you believe in the spiritual realm or other dimensions, they've been proven to be accurate by mathematicians now and high-power radio telescopes and spectrometers and other devices.
[02:17:05.764 --> 02:17:11.066]  That's why they're like, we found other dimensions, there's something behind it, there's something projecting this, there's other things coming in and out.
[02:17:11.066 --> 02:17:13.287]  They're now picking it up, okay?
[02:17:13.287 --> 02:17:24.772]  But there's bad stuff in the universe that wants to take the energy of a child, a seedling, that's supposed to learn and grow and have free will and all these experiences in the universe and traumatize them.
[02:17:24.772 --> 02:17:29.133]  And it leads through pedophilia, right through torturing and the murder of children.
[02:17:29.133 --> 02:17:30.014]  That's why all major
