[00:00:07.976 --> 00:00:08.336]  It's May Day.
[02:22:44.853 --> 02:22:53.835]  Because contrary to the understanding of the American people, this is not the old times with Smedley, this is not the old times with
[02:22:54.415 --> 02:22:56.357]  Anybody else who brought them to power.
[02:22:56.417 --> 02:23:03.885]  This is a new time when the internet and people like ourselves can create a lot of problems for our own establishment.
[02:23:04.301 --> 02:23:08.783]  Now once again, the military-industrial complex is far more important than Chobani.
[02:23:09.204 --> 02:23:12.125]  You know, the Turkish man who wants to sue you for yogurt?
[02:23:12.265 --> 02:23:12.865]  Let him do that.
[02:23:12.885 --> 02:23:14.266]  It's a waste of time and money.
[02:23:14.826 --> 02:23:18.628]  Your character is strong enough and you're smart enough and you're witty enough.
[02:23:19.069 --> 02:23:22.590]  Almost reminds me of this guy Bill Hicks, but of course you're not he.
[02:23:23.111 --> 02:23:27.273]  So your brilliance is so sharp that it's a knife in itself.
[02:23:27.433 --> 02:23:29.214]  You continue to be what you are.
[02:23:29.634 --> 02:23:40.638]  But I want to tell you that there was no question in my mind that this was a concerted effort by the White House to tame down or eviscerate the very people who were brought to power.
[02:23:41.238 --> 02:23:43.139]  Sure, well just to be nice, I'm not that smart.
[02:23:43.419 --> 02:23:46.440]  I'm following the blueprint of Americana, but let's pull back from this.
[02:23:46.980 --> 02:23:48.621]  What do you expect him to do next?
[02:23:49.841 --> 02:23:51.141]  What do you see the next move being?
[02:23:53.120 --> 02:24:07.388]  Well, what they're going to do next is try to expose any vulnerabilities that you may have again, or I may have, or any one of a number of people who are not following the trend or are not succumbing to the military-industrial complex.
[02:24:07.868 --> 02:24:17.434]  You're talking about KBR in Djibouti having an incredible presence when we have no national security interests in Sudan, Somalia, or any of the African
[02:24:17.614 --> 02:24:26.880]  And by the way, I've had a lot of special forces people that just got back tell me, in fact some senior ones, the exact same thing, that it's a disaster, that we're wrecking it, that we're looting it, and so they're very upset.
[02:24:26.920 --> 02:24:28.642]  But separately, let me just give people some good news.
[02:24:29.762 --> 02:24:33.545]  I don't want to give sources out, obviously, but let's just say this.
[02:24:35.026 --> 02:24:43.432]  I know Mike Cernovich's sources, the government knows his sources, so it's not a secret to them, but it's obviously who's been retweeting him and saying he's a great guy and retweeting our stuff.
[02:24:43.892 --> 02:24:46.554]  There are people very close to the President who are for real.
[02:24:47.981 --> 02:24:48.761]  Hell, it's not a secret.
[02:24:48.802 --> 02:24:51.663]  It's his sons, especially Donald Jr., is a total patriot.
[02:24:51.903 --> 02:24:53.044]  And there's a bunch of other people.
[02:24:53.084 --> 02:24:56.946]  So Trump is for real, but he's being pulled by every side.
[02:24:57.347 --> 02:25:03.530]  And there are folks inside the White House threatening nuclear option to release information if they continue this.
[02:25:03.751 --> 02:25:06.532]  But there is an attempt to have a soft coup against the president.
[02:25:06.572 --> 02:25:07.413]  What do we do about that?
[02:25:08.243 --> 02:25:18.868]  Well, if we go back once again, this revolution was started with a coup and then a counter-coup and right now they have a soft coup where they've taken over and now I think Eric Jr.
[02:25:18.928 --> 02:25:20.488]  has to come into the forefront.
[02:25:20.869 --> 02:25:23.750]  I've repeatedly said that Jared has to leave.
[02:25:24.250 --> 02:25:28.192]  There's no question he's involved in corruption with the Chinese.
[02:25:28.212 --> 02:25:31.733]  There's no question he's involved in corruption with the Israeli family.
[02:25:32.033 --> 02:25:37.495]  The Steinmetz who were already indicted for diamond smuggling and illegal activities.
[02:25:37.515 --> 02:25:40.376]  I'm saying this to the Attorney General Jeff Sessions.
[02:25:40.777 --> 02:25:47.279]  He knows very well that this family, the Kushner family and the Steinmetzes are totally corrupt.
[02:25:47.339 --> 02:25:49.100]  We cannot have that in the White House.
[02:25:49.620 --> 02:25:52.343]  This is not a nepotism republic.
[02:25:52.383 --> 02:25:59.310]  This is a republic that fought its way by people like you, me, and others who went to war.
[02:25:59.490 --> 02:26:01.011]  Kushner never went to war.
[02:26:01.332 --> 02:26:03.574]  The Israelis never went to war with us.
[02:26:03.914 --> 02:26:05.175]  Mossad was 9-11.
[02:26:05.496 --> 02:26:08.378]  The Israelis were involved in 9-11.
[02:26:08.398 --> 02:26:10.360]  We have the neocons coming back.
[02:26:10.581 --> 02:26:13.704]  I am warning the administration again and again
[02:26:14.404 --> 02:26:28.697]  I did not take the time and the effort and the liberty and the risk that others are willing to do to bring back the pathetic neocons like Elliot Abrams or John Bolton or any one of these morons that you're putting in there.
[02:26:29.037 --> 02:26:36.704]  If McMaster doesn't understand how he came to power, he came to power because Tom Clancy and I gave him money in Armcath.
[02:26:37.025 --> 02:26:40.448]  He came to power because he sat on the boards of other companies.
[02:26:41.304 --> 02:26:45.925]  Mr. Mattis was on the board of Dynacorp.
[02:26:46.305 --> 02:26:47.926]  He was on the board of another company.
[02:26:48.046 --> 02:26:52.447]  If the generals really think they are that great, they better look into the mirror.
[02:26:52.747 --> 02:26:54.128]  They have never won a war.
[02:26:54.308 --> 02:27:00.749]  They have never taken down a regime, and they have failed repeatedly in executing any military action.
[02:27:00.829 --> 02:27:05.331]  This has been our history before Korea, before Vietnam.
[02:27:05.771 --> 02:27:09.812]  We lost 55,000 men because the generals were incompetent.
[02:27:10.367 --> 02:27:12.969]  Ignorant and they had a dereliction of duty.
[02:27:13.229 --> 02:27:14.651]  I go back to McMaster.
[02:27:15.091 --> 02:27:16.832]  This is a dereliction of duty.
[02:27:17.053 --> 02:27:31.485]  Anything he wants to do now and a force structure, bringing out the soldiers into North Korea and thinking that you can preempt an attack on North Korea when they're 30 miles away from Seoul, is both idiotic and inept.
[02:27:32.105 --> 02:27:36.469]  At the same time, continuing a war for 15 years in Afghanistan,
[02:27:36.869 --> 02:27:44.712]  Where thousands of our Marines were killed in Helmand Province and then putting more Marines in is nothing more than a barbaric stupidity.
[02:27:45.093 --> 02:27:57.038]  At the same time, putting in artillery and howitzers into Syria when you have no idea who the Alawites are, you have no idea how many Christians that the Bashar family is protecting, millions of them.
[02:27:57.418 --> 02:28:09.707]  And you're going to do a regime change because you have some moron named Pompeo, who's head of the CIA because he was number one at West Point but had never been in intelligence, never been overseas, really never understood anything.
[02:28:10.127 --> 02:28:11.168]  Doc, we're almost out of time.
[02:28:11.188 --> 02:28:12.389]  You've got to come back in the next few days.
[02:28:12.409 --> 02:28:13.350]  It really flushed us out.
[02:28:13.390 --> 02:28:16.592]  I promised you I'd go to calls and we'd have a Roger Stone with some breaking news.
[02:28:16.612 --> 02:28:17.773]  But this is the minute or two we have left.
[02:28:18.193 --> 02:28:21.115]  I love what Trump's doing transferring power from the globalist back.
[02:28:21.135 --> 02:28:22.597]  He's doing a lot of great things in the economy.
[02:28:23.297 --> 02:28:24.678]  TPP, we've talked about it.
[02:28:25.178 --> 02:28:25.979]  So many good things.
[02:28:26.019 --> 02:28:26.999]  So I think he's for real.
[02:28:27.040 --> 02:28:27.860]  We know he's for real.
[02:28:28.140 --> 02:28:29.401]  There is an internal struggle.
[02:28:30.422 --> 02:28:46.953]  The listeners need to go out to these rallies, to send letters to the President, to call into C-SPAN, to call into talk radio, to create the buzz that we didn't elect Jared Kushner and Ivanka Trump, and that we want the President to do something about the war on the press, the war on the liberty movement that is taking place.
[02:28:46.993 --> 02:28:50.075]  But more importantly, our listeners need to support your work.
[02:28:51.184 --> 02:28:58.993]  My work and others work as an act of resistance financially in the face of the attacks, the lawsuits, the kicking us off Google ads, you name it.
[02:28:59.233 --> 02:29:01.476]  Because again, the attacks are intensifying.
[02:29:01.796 --> 02:29:02.797]  We're a beta test.
[02:29:03.078 --> 02:29:05.741]  And if they're able to shut down InfoWars, the sky's the limit.
[02:29:06.755 --> 02:29:07.276]  That's correct.
[02:29:07.496 --> 02:29:09.698]  I do agree with you, and they won't shut you down.
[02:29:09.819 --> 02:29:10.940]  They're not that stupid.
[02:29:11.020 --> 02:29:13.503]  If they're that stupid, then they're self-destructive.
[02:29:14.063 --> 02:29:16.907]  But if that happens, we will do an alternative channel.
[02:29:17.027 --> 02:29:17.788]  Don't worry, Alex.
[02:29:17.828 --> 02:29:20.831]  Well, I mean, obviously, they've got to kill me to totally shut us down.
[02:29:20.851 --> 02:29:21.532]  We're only growing.
[02:29:21.552 --> 02:29:22.313]  It's backfiring.
[02:29:22.333 --> 02:29:23.834]  What are they going to do then if it's backfiring?
[02:29:24.750 --> 02:29:28.113]  No, they're not going to kill you because they don't want you dead.
[02:29:28.153 --> 02:29:29.254]  That would make you a martyr.
[02:29:29.654 --> 02:29:43.925]  They're not that stupid to make somebody a martyr, but they are that incompetent to think that they can put buttons on you, on Riley, on the Fox News, and on the other people who are involved, and then think that they could put pressure.
[02:29:44.425 --> 02:29:46.207]  Trump is not an innocent man.
[02:29:46.467 --> 02:29:50.090]  He has to grow up, he has to focus, and he has to be disciplined.
[02:29:50.390 --> 02:29:51.511]  In other words, there's no excuse.
[02:29:51.551 --> 02:29:51.851]  Hold on.
[02:29:51.891 --> 02:29:54.413]  We'll do a minute or two more on Trump, then we'll go to the next guest in the call.
[02:29:55.975 --> 02:29:58.659]  Alex Jones and the GCN Radio Network.
[02:30:04.147 --> 02:30:05.508]  This is Alex Jones.
[02:30:05.728 --> 02:30:10.551]  I want to tell you about a way to save a lot of money on one of the best new off-the-grid products of 2017.
[02:30:11.632 --> 02:30:13.914]  And seriously, I really think everyone should have one of these.
[02:30:14.174 --> 02:30:19.557]  I'm talking about the PPX solar generator system from our friends at Solutions from Science, one of our oldest sponsors.
[02:30:19.998 --> 02:30:28.603]  The PPX is so small you can put it in your pocket, but so powerful you can run some 110 appliances at your house, like a small refrigerator, so you can keep food from spoiling.
[02:30:28.844 --> 02:30:33.927]  Plus, you can take it with you to jump-start cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[02:30:34.187 --> 02:30:40.872]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid literally anywhere in the world.
[02:30:41.172 --> 02:30:45.755]  Perfect for cabins, remote locations, anytime you need to get off the grid for a while.
[02:30:45.895 --> 02:30:49.057]  Go to privatepowergrid.com to watch this thing in action.
[02:30:49.198 --> 02:30:51.099]  That's privatepowergrid.com.
[02:30:51.279 --> 02:30:56.603]  Even better, use coupon code POWER at checkout and get a second PPX energy unit for free.
[02:30:56.903 --> 02:30:58.884]  Check it out at privatepowergrid.com.
[02:30:59.185 --> 02:31:00.886]  That's privatepowergrid.com.
[02:31:03.539 --> 02:31:16.083]  Although conservative commentator Ann Coulter backed out of showing up to her already-canceled speech at Berkeley, that didn't stop freedom-loving Americans from conducting a large First Amendment rally in its place.
