[00:00:01.877 --> 00:00:07.322]  You're listening to The Alex Jones Show.
[02:31:54.864 --> 02:31:57.927]  Available in original or with our immune support infusion blend.
[02:31:58.227 --> 02:32:04.532]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[02:32:04.532 --> 02:32:08.375]  Available at Infowarslife.com.
[02:32:08.375 --> 02:32:12.199]  MycoZX is back in after five plus months sold out.
[02:32:12.199 --> 02:32:13.680]  Talk about next level probiotic.
[02:32:13.680 --> 02:32:15.401]  It's the anti-fungus, anti-yeast.
[02:32:15.401 --> 02:32:17.843]  Latest technology of 4.8 stars.
[02:32:17.843 --> 02:32:19.024]  It's been sold out for months.
[02:32:19.024 --> 02:32:19.925]  Big waiting list.
[02:32:19.925 --> 02:32:23.748]  Limited amount because it's so hard to get the compounds and to have it be California standards.
[02:32:23.748 --> 02:32:24.849]  Nobody's got something as good.
[02:32:25.069 --> 02:32:25.449]  We're good to go.
[02:32:46.439 --> 02:32:48.180]  10% off when you choose auto ship.
[02:32:48.180 --> 02:32:54.061]  It's kind of embarrassing to get family and crew members on that, you know, have irritable bowel and Crohn's type stuff that didn't exist years ago.
[02:32:54.061 --> 02:32:54.641]  Now it's epidemic.
[02:32:54.641 --> 02:32:57.602]  But I'm getting ready to have a bunch of folks go ahead and come on here and tell you what it did for them.
[02:32:57.602 --> 02:33:00.023]  Because regardless, you can't lose your fun in the operation.
[02:33:00.023 --> 02:33:03.103]  Infowarslife.com, infowarsstore.com, or AAA2533139.
[02:33:15.066 --> 02:33:24.068]  Relentlessly attacking the power structure, you're listening to Alex Jones.
[02:33:24.068 --> 02:33:31.850]  We are live deep in the third hour of this Friday edition of the Alex Jones Show.
[02:33:31.850 --> 02:33:35.711]  I'm going to talk about the migrant crisis, the latest on that here in a moment.
[02:33:35.711 --> 02:33:39.672]  First I want to go to this Adam Carolla clip though because this is quite unusual.
[02:33:40.581 --> 02:33:45.726]  He got up before a House Oversight and Government Reform Committee with several other speakers.
[02:33:45.726 --> 02:33:48.048]  The headline here is out of Washington Free Beacon.
[02:33:48.048 --> 02:33:53.353]  Adam Carolla goes to Congress, says adults need to take back college campuses.
[02:33:53.353 --> 02:34:03.281]  Comedian Adam Carolla was invited to testify before the Congress on the status of free speech at American universities and said that it was time for the adults to take back control.
[02:34:03.281 --> 02:34:05.824]  Here is the clip of Adam Carolla.
[02:34:06.364 --> 02:34:11.789]  Laying it down on the safe spaces who are ruining, sabotaging free speech in America.
[02:34:11.789 --> 02:34:12.970]  Let's roll it.
[02:34:12.970 --> 02:34:15.372]  Mr. Crowley, you're recognized for five minutes.
[02:34:15.372 --> 02:34:15.752]  Thank you.
[02:34:15.752 --> 02:34:19.415]  It's an honor to be asked to speak in front of you all.
[02:34:19.415 --> 02:34:20.737]  First, just a quick piece of business.
[02:34:20.737 --> 02:34:24.640]  Do we get to keep these pads?
[02:34:24.640 --> 02:34:25.921]  This is gonna be huge.
[02:34:29.284 --> 02:34:32.447]  Not that I'm going to, but what do you reckon they'll get on eBay?
[02:34:32.447 --> 02:34:39.574]  I'm not saying I'm going to, I'm just out of pure curiosity.
[02:34:39.574 --> 02:34:47.763]  I'm not as eloquent as Mr. Shapiro, I sort of speak in beats and off the top of my head, and I've written a few down for you all today.
[02:34:49.364 --> 02:34:52.346]  I come from a very blue-collar background.
[02:34:52.346 --> 02:34:55.669]  I grew up in North Hollywood, California.
[02:34:55.669 --> 02:35:09.418]  My dad was a schoolteacher and my mom received welfare and food stamps and told me very importantly when I was young, when I asked her if she would get a job, she said, and lose my welfare benefits?
[02:35:09.418 --> 02:35:10.739]  No, thank you.
[02:35:10.739 --> 02:35:14.902]  Which taught me a very valuable lesson, which is never to listen to my mom.
[02:35:17.509 --> 02:35:30.335]  I ended up being a carpenter and then a boxing instructor and met Jimmy Kimmel when I taught him to box for a morning zoo stunt and eventually made my way onto TV and radio.
[02:35:30.335 --> 02:35:42.100]  In the early days of my career, I toured the country with Dr. Drew when we were on Loveline together, a syndicated radio program also on MTV, and we must have played a hundred
[02:35:42.620 --> 02:35:52.369]  College campuses with nary a word of negativity and no safe spaces and no stuffed animals being handed out.
[02:35:52.369 --> 02:35:54.410]  Simply went there, said our piece.
[02:35:54.410 --> 02:35:59.775]  Many controversial ideas were exchanged and that's just what they were.
[02:35:59.775 --> 02:36:04.399]  Exchanged and then we got our paychecks and went home and 15 years later I went out
[02:36:06.661 --> 02:36:20.848]  With Dennis Prager, conservative talk show host, and attempted to do a show at Cal State Northridge, where my mother was an actual graduate from with a Chicano Studies degree, believe it or not.
[02:36:20.848 --> 02:36:23.229]  So she's rolling in dough about now.
[02:36:25.718 --> 02:36:27.721]  And they pulled the plug on it.
[02:36:27.721 --> 02:36:36.497]  They gave us no good reason why we couldn't speak there and we actually had to get attorneys involved to go back and speak at a later date.
[02:36:38.613 --> 02:36:43.376]  We're talking a lot about the kids, and I think they're just that, kids.
[02:36:43.376 --> 02:36:48.318]  We are the adults, and I don't think we are doing the children.
[02:36:48.318 --> 02:36:53.902]  I mean, these are 18 and 19-year-old kids that are at these college campuses.
[02:36:53.902 --> 02:37:02.867]  They grew up dipped in Purell, playing soccer games where they never kept score, and watching Wawa Wubbzy, and we're asking them to be mature.
[02:37:02.867 --> 02:37:05.868]  We need the adults to start being the adults.
[02:37:07.529 --> 02:37:18.293]  Studies have shown that if you take people and you put them in a zero gravity environment, like astronauts, they lose muscle mass, they lose bone density.
[02:37:18.293 --> 02:37:28.016]  We're taking these kids in the name of protection, we're putting them in a zero gravity environment, and they're losing muscle mass and bone density.
[02:37:28.016 --> 02:37:30.757]  They need to live in a world that has gravity.
[02:37:30.757 --> 02:37:31.057]  When you
[02:37:31.577 --> 02:37:38.578]  You need to expose your children to germs and dirt in the environment to build up their immune system.
[02:37:38.578 --> 02:37:47.420]  Our plan is put them in a bubble, keep them away from everything, and somehow they'll come out stronger when they emerge from the bubble.
[02:37:47.420 --> 02:37:49.820]  Well, that's not happening.
[02:37:49.820 --> 02:37:55.381]  Children are the future, but we are the present.
[02:37:55.381 --> 02:37:57.101]  And we're the adults.
[02:37:57.101 --> 02:37:59.182]  And we need to act like it.
[02:37:59.182 --> 02:37:59.922]  And I feel
[02:38:01.363 --> 02:38:05.156]  That what's going on on these campuses is...
[02:38:08.379 --> 02:38:10.001]  We need law and order.
[02:38:10.001 --> 02:38:11.782]  We need to bring back law and order.
[02:38:11.782 --> 02:38:17.327]  But I think if we just had order, we wouldn't need law.
[02:38:17.327 --> 02:38:32.320]  So could we just bring back order, and could the faculty and administration on these campuses act like faculty and administration, and most importantly, adults
[02:38:33.456 --> 02:38:40.000]  We're in charge of these kids who need some gravity in their life.
[02:38:40.000 --> 02:38:42.402]  Thank you.
[02:38:42.402 --> 02:38:43.923]  And that really gets to the heart of it.
[02:38:43.923 --> 02:38:50.667]  The responsibility lies with the adults, as we've seen with these Berkeley protests and these other protesters.
[02:38:50.667 --> 02:38:55.110]  Many of the rioters are not kids, they're not students, they're the professors.
[02:38:56.010 --> 02:38:58.331]  This is the root of the problem.
[02:38:58.331 --> 02:39:16.421]  Now over in the UK, as we saw this week, we've literally got teachers, I mean the media billed him as a historian but he was just a teacher, teaching kids that a typical Roman family in Britain 1,500 years ago, typical Roman family in Britain, was black.
[02:39:16.421 --> 02:39:19.363]  Absolutely, completely historically inaccurate.
[02:39:19.363 --> 02:39:25.266]  You had hit pieces on me put out after that by national newspapers claiming that I was wrong
[02:39:26.420 --> 02:39:33.626]  For saying that depicting Victorian-era Britain as a bunch of Muslim women in hijabs, that was ludicrous.
[02:39:33.626 --> 02:39:48.618]  I was owned for saying that because they said, oh, there was one mosque built in London 12 years before Queen Victoria died, therefore it's fair to depict Victorian-era Britain as all Muslim women in hijabs.
[02:39:48.618 --> 02:39:52.621]  Absolutely incredible disinformation, indoctrination.
[02:39:52.621 --> 02:39:54.903]  They're literally trying to rewrite history.
[02:39:55.501 --> 02:39:58.263]  I mean, there's a story today out of RT.
[02:39:58.263 --> 02:40:02.725]  Alien toddler skeleton with deformed skull unearthed in Crimea.
[02:40:02.725 --> 02:40:10.050]  So they basically found a one and a half year old boy who was born in second century Crimea with a deformed skull.
[02:40:10.959 --> 02:40:13.760]  They're calling it the alien toddler skeleton.
[02:40:13.760 --> 02:40:16.981]  And that was a similar thing with the debate over Rome and Britain.
[02:40:16.981 --> 02:40:26.683]  They found some skeletons, I think it was three or four skeletons, of black people in London, who lived in London 1,500 years ago.
[02:40:26.683 --> 02:40:33.265]  Therefore they claimed that Rome and Britain was ethnically diverse because they found a few skeletons.
[02:40:33.265 --> 02:40:34.626]  Absolutely incredible.
[02:40:34.626 --> 02:40:39.487]  That is as ludicrous as saying that because they found this alien toddler skeleton,
[02:40:40.200 --> 02:40:50.485]  In Crimea, that second century Crimeans all looked like alien greys because everyone has to look like this tiny sample of the argument you're claiming.
[02:40:50.485 --> 02:40:55.307]  No, that's a completely historically inaccurate argument.
[02:40:55.307 --> 02:41:02.991]  Even with all the black slaves that the Romans had and brought over into Britain, it was still a tiny, tiny percentage of the population
[02:41:03.735 --> 02:41:08.518]  It's completely inaccurate to claim that Rome and Britain was ethnically diverse.
[02:41:08.518 --> 02:41:17.924]  It's completely inaccurate to claim that a typical family in Rome and Britain, as the BBC did, was black and depict it as a black family.
[02:41:17.924 --> 02:41:19.145]  That's not typical!
[02:41:19.745 --> 02:41:21.486]  That would be incredibly rare.
[02:41:21.486 --> 02:41:31.509]  Why has every other previous depiction of Roman Britain shown all white people, including the BBC's own depictions, before this 2017 depiction?
[02:41:31.509 --> 02:41:39.532]  They injected that for politically correct racial tokenism at the expense of historical accuracy.
[02:41:39.532 --> 02:41:40.833]  That's the issue.
[02:41:40.833 --> 02:41:44.194]  And that's the issue about what our kids are being taught in these schools right now.
[02:41:44.194 --> 02:41:46.935]  The professors are worse than the kids in many cases.
[02:41:47.535 --> 02:41:55.624]  And that is the heart of the problem, as Adam Carolla said in that speech in front of a congressional committee.
[02:41:55.624 --> 02:42:01.491]  But let's dip back into some of the migrant news now because it continues to wash over us on a daily basis.
[02:42:01.491 --> 02:42:05.656]  We talked with Tommy Robinson about the Muslim leader in Australia.
[02:42:06.423 --> 02:42:09.586]  He's saying that Australian women need us to fertilise them.
