[00:00:10.057 --> 00:00:12.118]  The Matrix is everywhere.
[02:22:47.654 --> 02:22:50.086]  He dresses like an elderly gay antiques dealer!
[02:22:54.258 --> 02:23:01.842]  I can't imagine to have these porcelain glasses and he's looking down his nose at, you know, those nubile young boys in the antique shop or something.
[02:23:02.343 --> 02:23:03.103]  Oh, my goodness.
[02:23:04.164 --> 02:23:04.604]  Oh, boy.
[02:23:04.904 --> 02:23:07.266]  Well, you know, that's how they... Good news is that was yesterday.
[02:23:07.286 --> 02:23:11.468]  They said he could never do broadcast because he was too busy always designing the interior.
[02:23:11.488 --> 02:23:15.230]  Look at the offices of The Blaze.
[02:23:15.270 --> 02:23:17.471]  You don't know one of their networks gone to shit.
[02:23:17.511 --> 02:23:20.653]  He spent all the time picking the drapes and forgot to come up with a business model.
[02:23:20.673 --> 02:23:21.414]  That's what they said.
[02:23:22.194 --> 02:23:23.034]  And again, I love it.
[02:23:23.074 --> 02:23:25.435]  Yours is called Dangerous, which is real hard.
[02:23:25.555 --> 02:23:26.475]  Dangerous to tyrants.
[02:23:26.575 --> 02:23:27.756]  The best name ever.
[02:23:27.996 --> 02:23:29.076]  He picked the Blaze.
[02:23:29.456 --> 02:23:30.697]  Did he not get the Freudian slip?
[02:23:32.037 --> 02:23:33.537]  Speaking of the devil, we've got a funder operation.
[02:23:33.577 --> 02:23:48.282]  The book's available at m4store.com, dangerous.com, not at the flaming ember... The Blaze, you know, its end was always prophesied in its name, you know, and it's gonna go down.
[02:23:49.042 --> 02:23:50.723]  It's got so many metaphors.
[02:23:51.083 --> 02:23:52.804]  The blaze, the burns.
[02:23:53.144 --> 02:23:55.225]  Exactly how it started and exactly how it'll end.
[02:23:55.245 --> 02:23:57.626]  It's kind of like naming a shooting star.
[02:23:59.006 --> 02:24:00.267]  Just the Icarus Network.
[02:24:00.287 --> 02:24:01.867]  That's why I chose Infowar.
[02:24:01.907 --> 02:24:02.708]  It goes on forever.
[02:24:13.623 --> 02:24:13.904]  I live!
[02:24:13.924 --> 02:24:15.766]  Gonna get mugged if you go downtown!
[02:24:15.826 --> 02:24:21.232]  We have our guest, Michael Malice, best-selling author.
[02:24:35.856 --> 02:24:38.417]  MichaelMalice.com, dealing with North Korea.
[02:24:38.437 --> 02:24:48.301]  I mean, I just sit here, watching this crazy town go on, and I get our government's not perfect, it's got problems, military industrial complex, okay, I want to sell weapons.
[02:24:48.781 --> 02:25:02.886]  I get all that, but I like watch stuff that looks beyond anything from a hallucination, with a crazy dictator strutting around, threatening to nuke everybody, and then last week, Trump's like, okay, let's negotiate.
[02:25:02.986 --> 02:25:03.746]  I'll nuke you!
[02:25:03.806 --> 02:25:04.687]  I'll blow you up!
[02:25:05.387 --> 02:25:10.530]  And it's like, we already dropped atomic bombs on Japan 70 years, or 65 years ago, whatever it was.
[02:25:10.970 --> 02:25:13.352]  It's like, don't, is there some end to this?
[02:25:13.372 --> 02:25:16.954]  Because I don't want war, but at a spider sense level.
[02:25:18.115 --> 02:25:20.936]  Michael, I just am really concerned.
[02:25:20.976 --> 02:25:22.577]  What, I mean, how dangerous is this?
[02:25:23.598 --> 02:25:32.843]  Anytime you have someone in a country that defies the international law, international law, there's a little bit of danger.
[02:25:33.584 --> 02:25:33.984]  However,
[02:25:34.534 --> 02:25:38.516]  You have to realize that they are interested in self-preservation.
[02:25:38.816 --> 02:25:43.518]  This regime has held on to power at all costs, including the cost of the lives of the citizenry.
[02:25:43.999 --> 02:25:54.544]  So the idea that they're going to go down without a fight, as opposed to using nuclear weapons as a great negotiating tactic and basically make the rest of the world their hostages, is a very different situation.
[02:26:00.109 --> 02:26:03.855]  Elaborate, though, on your main points about North Korea, because you're an expert on it.
[02:26:03.875 --> 02:26:06.199]  I mean, what should we know about the spirit of North Korea?
[02:26:07.236 --> 02:26:09.397]  Well, Alex, you touched on it earlier.
[02:26:09.497 --> 02:26:19.523]  They have something called the monolithic ideological system, by which they mean everyone in the country thinks the same way and thinks in line with the leader.
[02:26:20.023 --> 02:26:32.129]  So they boast about the fact that there's no independent thought in the entire country, that it's the leader, which is a human being, that kid, like you said, who gives the people their political spiritual life,
[02:26:34.045 --> 02:26:37.226]  And that without the leader, basically, no one would exist.
[02:26:37.426 --> 02:26:42.347]  So it's a very dark quasi-religion that they push on their people.
[02:26:42.967 --> 02:26:50.909]  And again, when you're this demigod at the head of a country and you're effectively a billionaire, what would it take for you to quit your job?
[02:26:51.229 --> 02:26:52.269]  It's going to take a lot.
[02:26:52.789 --> 02:26:56.430]  And it's going to take a combination of threats and rewards.
[02:26:57.130 --> 02:27:00.571]  And Kim Jong-un doesn't want to go the way of Gaddafi or Saddam Hussein.
[02:27:05.939 --> 02:27:07.921]  What are the scenarios for war in North Korea?
[02:27:07.941 --> 02:27:10.042]  I mean, if it happens, have you looked at the scenarios?
[02:27:11.603 --> 02:27:13.665]  I mean, they're all nightmarish.
[02:27:14.125 --> 02:27:19.749]  I mean, Seoul has tens of millions of people just south of the border between North and South Korea.
[02:27:20.110 --> 02:27:26.935]  Even if they didn't have nukes, the idea of these huge missiles hitting the city of skyscrapers is a visual nightmare to begin with.
[02:27:28.846 --> 02:27:34.489]  They have the deepest subterranean subway system on Earth, so they've been preparing for nuclear war since the 40s.
[02:27:35.249 --> 02:27:40.672]  The people are trained, you know, constantly what to do in case what they call the U.S.
[02:27:40.712 --> 02:27:41.793]  imperialists invade.
[02:27:41.813 --> 02:27:49.237]  I mean, you have schoolchildren waiting outside in the middle of the night, outside the libraries, looking for American spies.
[02:27:49.835 --> 02:27:52.357]  So they've been preparing for this for decades.
[02:27:52.397 --> 02:27:56.661]  They're taught that we're going to come back and finish the job we started in the Korean War.
[02:27:57.122 --> 02:27:59.484]  A lot of these people are willing to lay down their lives.
[02:27:59.524 --> 02:28:01.465]  It has the fourth biggest army in the world.
[02:28:01.986 --> 02:28:10.914]  So, yeah, maybe some strikes would be very quick, but the retaliation capabilities, we have to make sure we take out everything at once.
[02:28:11.354 --> 02:28:13.196]  And that's a very, very big risk.
[02:28:15.134 --> 02:28:20.119]  How is North Korea not an advertisement against communism and big government?
[02:28:21.160 --> 02:28:27.085]  I think it's the, I mean this is why I wrote my book, because not only is it North Korea, look at Venezuela, what's happening right now.
[02:28:27.125 --> 02:28:31.909]  They took this crown jewel of South America, I visited when I was a kid, Caracas, it was beautiful.
[02:28:32.490 --> 02:28:37.795]  And they turned it into another hell on earth where, you know, people who are from the opposite party are being jailed.
[02:28:38.402 --> 02:28:40.223]  People being shot when they protest.
[02:28:40.423 --> 02:28:45.204]  I mean, we're watching it happen in real time and no one knows what to do about that either.
[02:28:45.845 --> 02:28:48.065]  And there's not enough attention going on there.
[02:28:48.306 --> 02:28:56.508]  So it's the fact that it's happening again, it's very, very scary to me, especially as someone who was born in the Soviet Union.
[02:28:56.548 --> 02:29:03.171]  Let's come back in a few minutes on your experience in the Soviet Union, because that's a good comparison, but I don't understand.
[02:29:04.895 --> 02:29:07.976]  The left kind of celebrates Venezuela or North Korea.
[02:29:07.996 --> 02:29:09.277]  They like get off on it.
[02:29:09.337 --> 02:29:19.280]  It's like an existential power are living vicariously through these orgies of government insanity and wantonness.
[02:29:20.221 --> 02:29:23.022]  And I point out, hey, England has really bad health care.
[02:29:23.062 --> 02:29:23.602]  They come here.
[02:29:23.662 --> 02:29:24.282]  Canada does.
[02:29:24.302 --> 02:29:26.883]  And that's a tame comparison to North Korea.
[02:29:27.123 --> 02:29:28.264]  People, screw you!
[02:29:28.564 --> 02:29:29.444]  It's free in England!
[02:29:30.125 --> 02:29:30.785]  And it's just like...
[02:29:31.926 --> 02:29:39.330]  There's not a real reality-based system, and then spoil brats living in the West, bitch, and say they want to be teleported to North Korea.
[02:29:40.651 --> 02:29:47.015]  So I say, let's move the 10 million Muslim migrants they brought to Europe the last five years to North Korea.
[02:29:47.415 --> 02:29:48.756]  Would they fix North Korea?
[02:29:48.816 --> 02:29:50.497]  We'll come right back with that information.
[02:29:52.518 --> 02:29:53.398]  We're on the march.
[02:29:53.899 --> 02:29:55.500]  The empire's on the run.
[02:29:56.440 --> 02:29:59.102]  Alex Jones and the GCN Radio Network.
[02:30:03.402 --> 02:30:11.950]  Of the 30 plus proprietary products that we've developed for Infowarslife.com, which are all amazing, DNA Force is the flagship.
[02:30:12.330 --> 02:30:20.898]  This highly advanced formula has been sold out for close to six months due to a worldwide shortage of the sought after ingredients.
[02:30:21.238 --> 02:30:38.429]  Today I'm very excited to announce that we have received a limited shipment of DNA Force and despite the fact that we have been sold out for close to six months, I'm still discounting it 20% because I want listeners and viewers that haven't tried DNA Force yet to actually get a chance to see how amazing it is.
[02:30:38.689 --> 02:30:52.440]  The secret behind DNA Force is its powerful lineup of patented ingredients like CoQ10, systemic enzymes, NaR lipoic acid, BioPQQ, and many, many others that synergistically work together.
[02:30:52.720 --> 02:31:03.349]  Visit InfoWarsLife.com for yourself and read the hundreds and hundreds and hundreds of third-party outside reviews that are an average of 4.8 stars for DNA Force.
[02:31:03.529 --> 02:31:08.313]  This is a total 360 win because you're getting the highest quality supplement
[02:31:08.593 --> 02:31:18.756]  Nutraceutical with 175 plus studies to back up all the amazing properties, nerve regrowth factor, detoxifying cells, it just goes on and on.
[02:31:19.196 --> 02:31:28.378]  And you're supporting the broadcast that is going 110% against the globalists and having massive, massive effects against the New World Order.
[02:31:28.678 --> 02:31:36.120]  We are winning together thanks to your support and you're getting a great product that you and your family really need at a very, very competitive price.
[02:31:36.420 --> 02:31:36.620]  Again,
[02:31:36.900 --> 02:31:46.027]  You can't lose when you support the InfoWar and get great products at InfoWarsLive.com or by calling toll free 888-253-3139.
[02:31:46.607 --> 02:31:48.209]  DNA Force is back in stock.
[02:31:48.529 --> 02:31:53.353]  You can get an additional 10% off when you sign up for AutoShip and you can cancel anytime.
[02:31:53.373 --> 02:31:57.336]  InfoWarsLive.com or 888-253-3139.
[02:31:57.416 --> 02:32:01.078]  And again, thank you for making the InfoWar possible.
[02:32:01.479 --> 02:32:02.860]  You are the InfoWar.
[02:32:03.320 --> 02:32:12.003]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[02:32:12.063 --> 02:32:12.523]  That's right.
[02:32:12.583 --> 02:32:17.605]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[02:32:17.865 --> 02:32:24.327]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[02:32:24.547 --> 02:32:31.790]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[02:32:32.110 --> 02:32:32.310]  Woo!
[02:32:32.350 --> 02:32:33.270]  That's what I'm talking about.
[02:32:33.390 --> 02:32:41.993]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[02:32:42.133 --> 02:32:51.356]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[02:32:51.716 --> 02:32:55.037]  Now that's what I call the miracle of food preservation.
[02:32:55.177 --> 02:32:59.119]  Harvest Right is truly the world's best, most affordable freeze dryer.
[02:32:59.279 --> 02:33:00.139]  So what are you waiting for?
[02:33:00.359 --> 02:33:03.000]  Check it out right now at InfoWarsStore.com.
[02:33:06.641 --> 02:33:12.924]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:33:19.206 --> 02:33:20.327]  Here's a surprise.
[02:33:22.428 --> 02:33:23.868]  Communism is a nightmare?
[02:33:25.049 --> 02:33:28.170]  That's like saying, breaking cancer is not fun.
[02:33:29.454 --> 02:33:30.015]  Or braking.
[02:33:30.095 --> 02:33:31.296]  Car wrecks aren't fun.
[02:33:33.478 --> 02:33:44.327]  That's what frustrates me is, when I was going to college, and of course I quit because I was already on talk radio and successful in sales and just, you know, like, oh Jones didn't finish college.
[02:33:44.347 --> 02:33:46.069]  I didn't like Bill Gates or Rush Lumbaugh either.
[02:33:46.589 --> 02:33:47.971]  I'm not knocking you got a college degree.
[02:33:48.031 --> 02:33:52.595]  It's just that I'm sitting there and it's like every, it didn't matter if it was like
[02:33:53.720 --> 02:34:04.785]  Trigonometry, or it didn't matter if it was Texas history they make you go to, it was all like, America's bad, and free market's bad, and Mao Zedong's good, and I'm like, Mao Zedong's good, or Lenin's good?
[02:34:05.845 --> 02:34:17.311]  How do they continue when every socialist or communist experiment turns into a manifest, nightmare, Day of the Dead train wreck?
