[00:00:00.349 --> 00:00:05.552]  Coast-to-coast, direct from Austin.
[01:51:04.000 --> 01:51:08.083]  You just, when you hear it from the person, it's amazing to realize the criminal nature of these people.
[01:51:08.464 --> 01:51:09.004]  We'll be right back.
[01:51:10.706 --> 01:51:13.528]  Do you want to feel awesome all day long?
[01:51:13.548 --> 01:51:18.252]  Do you want to sleep so good you wake up feeling awesome?
[01:51:18.592 --> 01:51:20.353]  The way you did when you were a kid?
[01:51:21.114 --> 01:51:23.336]  Feel awesome with no caffeine.
[01:51:23.616 --> 01:51:25.377]  Just awesome tasting nutrition.
[01:51:26.018 --> 01:51:29.241]  Try Passion for Life and rediscover your awesomeness.
[01:51:29.921 --> 01:51:30.542]  Call today.
[01:51:30.562 --> 01:51:32.463]  844-TRY-LIFE.
[01:51:33.044 --> 01:51:40.010]  Call 844-879-5433 or visit 844-TRY-LIFE.com.
[01:51:40.451 --> 01:51:45.635]  Did you know Emergency Essentials has a lowest price promise on all of their long-term food storage and emergency supplies?
[01:51:45.796 --> 01:51:51.921]  This month, while supplies last, save over $250 on the year's supply of Basics, a year's supply of food for only $769.99.
[01:51:51.981 --> 01:51:53.623]  Get 36% off the Mountain House Gourmet Entrees Combo.
[01:51:56.565 --> 01:52:00.566]  52% off freeze-dried tomatoes and 57% off freeze-dried shrimp.
[01:52:00.666 --> 01:52:06.187]  Call Emergency Essentials at 800-999-1863 or visit BePrepared.com.
[01:52:06.307 --> 01:52:07.227]  The choice is clear.
[01:52:07.447 --> 01:52:09.707]  Be unprepared or BePrepared.com.
[01:52:10.028 --> 01:52:10.868]  The facts are in.
[01:52:11.048 --> 01:52:12.128]  The studies are legion.
[01:52:12.428 --> 01:52:19.769]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[01:52:19.909 --> 01:52:23.330]  So why are the social engineers adding it to the water?
[01:52:23.710 --> 01:52:24.111]  Simple.
[01:52:24.271 --> 01:52:28.695]  Dumb down the host population that the parasitic technocracy is feeding on.
[01:52:28.975 --> 01:52:34.380]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[01:52:34.640 --> 01:52:50.554]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield Formulation, fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[01:52:50.854 --> 01:52:55.138]  Let's take a stand against the Globalist by blocking their poisons with Fluoride Shield.
[01:52:55.398 --> 01:52:57.240]  I use Fluoride Shield every day.
[01:52:57.560 --> 01:53:02.825]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[01:53:03.085 --> 01:53:07.289]  Let's start cleansing our bodies now and support the Info War at the same time.
[01:53:07.449 --> 01:53:08.730]  That's InfoWarsLife.com.
[01:53:10.908 --> 01:53:15.993]  There's no reason to be sick this season with Supernatural Silver's incredible technology.
[01:53:16.293 --> 01:53:25.441]  You can give your immune system the support it needs to help fight off colds, flus, and other nasty pathogens that can ruin the holidays for you and those you love.
[01:53:25.882 --> 01:53:27.263]  Used internally or topically.
[01:53:27.583 --> 01:53:35.088]  Supernatural Silver is a great defense against sore throats, runny noses, sinus or ear infections and a whole host of other illnesses.
[01:53:35.488 --> 01:53:40.552]  Supernatural Silver is extremely safe and a great way to protect yourself and the ones you love.
[01:53:40.932 --> 01:53:45.035]  No one knows what the future may bring, so be smart and plan ahead.
[01:53:45.335 --> 01:53:51.319]  Have Supernatural Silver in your emergency preparedness arsenal and give someone a gift that's meaningful.
[01:53:51.719 --> 01:53:53.600]  A gift that can change lives.
[01:53:53.981 --> 01:53:55.702]  Give the gift of good health this year.
[01:53:56.002 --> 01:54:03.166]  Go to SupernaturalSilver.com and use the promo code SILVER2013 for 20% off your entire order!
[01:54:03.607 --> 01:54:07.189]  That's SupernaturalSilver.com and like us on Facebook!
[01:54:22.236 --> 01:54:23.977]  I'm going right back to your calls in this segment.
[01:54:23.997 --> 01:54:28.699]  The next, we got a guest popping in who's an expert on suicides in the military.
[01:54:30.499 --> 01:54:35.742]  I never finished my point when it was the Fort Hood shooting last week until last night.
[01:54:36.002 --> 01:54:37.342]  All the flags were at half-mast.
[01:54:38.303 --> 01:54:40.563]  Oh, and 22 veterans commit suicide every day.
[01:54:41.884 --> 01:54:43.745]  There's nobody putting flags at half-mast.
[01:54:44.608 --> 01:54:48.191]  And they've got at least seven of those are active duty.
[01:54:48.211 --> 01:54:49.291]  Of the 22 is the average.
[01:54:49.311 --> 01:54:50.052]  You can pull up the numbers.
[01:54:50.832 --> 01:54:53.714]  So seven people on average every day commit suicide or active duty.
[01:54:54.235 --> 01:54:56.917]  That's more than died at Fort Hood.
[01:54:56.957 --> 01:54:58.338]  Three people died that weren't the shooter.
[01:55:00.159 --> 01:55:02.240]  Again, the media tells you when to care.
[01:55:02.661 --> 01:55:04.622]  As Stalin said, one man dies is a tragedy.
[01:55:05.042 --> 01:55:06.443]  Ten thousand dies is a statistic.
[01:55:08.004 --> 01:55:10.906]  I think I'm going to shoot a special video report on that for the nightly news tonight.
[01:55:11.587 --> 01:55:12.748]  Briefly, ladies and gentlemen,
[01:55:13.902 --> 01:55:33.196]  We're really excited about this new product that comes in a spray bottle, Lung Cleanse, and it's got just a whole bunch of organic special herbs in it that have just done phenomenal things for myself and people I know that have been having lung issues because of all the particula and the chemtrails and the allergies and all the rest of it.
[01:55:33.857 --> 01:55:39.501]  And it's certified to be completely organic, and it's got all these amazing essential oils in it.
[01:55:39.861 --> 01:55:42.243]  What you do is you spray three shots in the mouth,
[01:55:44.727 --> 01:55:45.848]  And then you breathe in.
[01:55:45.868 --> 01:55:48.049]  You spray it in the mouth, then you breathe in.
[01:55:48.069 --> 01:55:49.409]  You don't breathe in as you spray.
[01:55:50.450 --> 01:55:53.211]  And just phenomenal.
[01:55:53.472 --> 01:55:55.493]  Available at Infowarslife.com.
[01:55:56.113 --> 01:55:56.533]  Try it.
[01:55:56.593 --> 01:56:00.635]  It's the latest in the family of Infowarslife.com products.
[01:56:01.376 --> 01:56:05.958]  Really is amazing what Mother Nature, that God gave us, is able to do.
[01:56:06.458 --> 01:56:08.880]  Then, of course, there's the Fluoride Shield that I take daily.
[01:56:09.480 --> 01:56:11.261]  There's the Super Male Vitality.
[01:56:13.846 --> 01:56:26.757]  And there is the number one product, the survival shield, that is the pure nascent iodine that's double the strength at half the cost of the leading competitor.
[01:56:27.378 --> 01:56:29.780]  And no one's got this iodine, ladies and gentlemen.
[01:56:29.820 --> 01:56:31.341]  It turns blue on paper, not black.
[01:56:32.322 --> 01:56:33.963]  And it's something that children obviously can take.
[01:56:34.264 --> 01:56:40.289]  Consult your physician, but it doesn't taste horrible like the regular iodine because it's not bound in with the alcohol.
[01:56:42.694 --> 01:56:46.816]  What it's done for my body, across the board, has just been phenomenal.
[01:56:47.196 --> 01:56:48.936]  And your purchase makes the broadcast possible.
[01:56:49.357 --> 01:56:52.758]  Infowarslife.com or call toll free 888-253-3139.
[01:56:53.478 --> 01:57:00.201]  Fluoride shield, survival shield, super male vitality that's also good for women.
[01:57:00.861 --> 01:57:05.403]  And now the lung cleanse, as well as silver bullet, super colloidal silver.
[01:57:06.003 --> 01:57:07.044]  The strongest we could get.
[01:57:07.944 --> 01:57:31.569]  Hey Alex Jones, I've been listening to you for about, like, two years and what I've noticed consistently is that, like, a lot of the things you say, right, like, they come out in, like, Fox News, like, six to eight months later because, like, last week
[01:57:32.839 --> 01:57:40.885]  O'Reilly and Kallheimer, they basically just admitted that it doesn't really matter how many people sign up, that it's all meant to blow the system, to blow the engine up.
[01:57:41.766 --> 01:57:43.927]  That all of it is a ruse.
[01:57:43.987 --> 01:57:45.869]  Which is a criminal conspiracy.
[01:57:46.609 --> 01:57:52.894]  And again, they say it publicly so people don't realize how criminal it is, because they're worried they've done this, they might get caught.
[01:57:53.214 --> 01:57:56.516]  So they have Ezekiel Emanuel and others go, we plan to wreck the system!
[01:57:56.677 --> 01:57:57.377]  We're taking over!
[01:57:59.058 --> 01:57:59.939]  Like it's a good thing.
[01:57:59.959 --> 01:58:01.140]  I mean, isn't that diabolical?
[01:58:02.099 --> 01:58:03.080]  Yes, yes.
[01:58:03.100 --> 01:58:04.101]  Can I make another point?
[01:58:04.121 --> 01:58:04.541]  Yes, sir.
[01:58:04.601 --> 01:58:05.602]  Related to Obamacare?
[01:58:05.802 --> 01:58:06.063]  Yes, sir.
[01:58:06.503 --> 01:58:24.479]  Yeah, you saw how last week the CEO of Mozilla had to resign over some controversy that he donated a couple of thousand dollars to some campaign against marriage equality or whatever, but it seems to be the norm that now if you don't support gay marriage, like
[01:58:25.236 --> 01:58:26.597]  You're persecuting, we're...
[01:58:50.919 --> 01:58:51.800]  Back in one minute, folks.
[01:58:51.820 --> 01:58:52.540]  Third hour coming up.
[01:58:52.580 --> 01:58:57.164]  I'm gonna finish up with Louis, then Jessica, Sandy, Sherry, Andrew, and others.
[01:59:00.507 --> 01:59:09.534]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[01:59:09.594 --> 01:59:17.721]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:59:18.001 --> 01:59:22.704]  We have now managed to secure the sought-after beans in a highly customized blend.
[01:59:22.864 --> 01:59:29.608]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:59:29.668 --> 01:59:36.753]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:59:36.853 --> 01:59:43.697]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:59:43.857 --> 01:59:48.219]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:59:48.339 --> 01:59:51.601]  Available in original or with our immune support infusion blend.
[01:59:51.741 --> 01:59:57.864]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[01:59:58.024 --> 01:59:59.725]  Available at Infowarslife.com.
[02:00:03.486 --> 02:00:05.427]  Waging war on corruption.
[02:00:05.887 --> 02:00:08.669]  Alex Jones on the GCN Radio Network.
[02:00:15.376 --> 02:00:15.996]  Big Brother.
[02:00:16.677 --> 02:00:17.697]  Mainstream media.
[02:00:18.438 --> 02:00:19.539]  Government cover-ups.
[02:00:20.199 --> 02:00:21.019]  You want answers?
[02:00:21.780 --> 02:00:22.680]  Well, so does he.
[02:00:23.341 --> 02:00:26.963]  He's Alex Jones on the GCN Radio Network.
[02:00:27.523 --> 02:00:31.626]  And now, live from Austin, Texas, Alex Jones.
[02:00:36.749 --> 02:00:41.632]  We have a leading expert on suicides in the military joining us in the next segment.
[02:00:41.652 --> 02:00:44.514]  And we'll continue with your calls at the bottom of the hour.
[02:00:47.119 --> 02:00:48.682]  Let's go back to Lewis in New York.
[02:00:48.722 --> 02:00:54.971]  Lewis, you brought up the Mozilla CEO being made to resign because he gave some money to a defensive marriage group.
[02:00:55.071 --> 02:00:56.453]  I mean, this is like a new...
[02:00:57.947 --> 02:01:02.349]  Dark Age or something with the persecution or the inquisition that's going on.
[02:01:02.529 --> 02:01:07.112]  And it's never been a subject I've gotten into, this whole, you know, gay straight thing.
[02:01:08.412 --> 02:01:18.698]  But I mean, at a certain point, we've got to realize that the gay mafia, as it's been called, run by the Democratic Party, basically attach the whole socialist, globalist agenda to what they do.
[02:01:19.138 --> 02:01:20.939]  And if you don't support that, you're some type of bigot.
[02:01:21.159 --> 02:01:23.440]  It's all about being a victim, a victim, and I'm sick of it.
[02:01:23.740 --> 02:01:24.521]  What's your take on that?
[02:01:25.928 --> 02:01:27.468]  Oh no, yeah, that's my point.
[02:01:27.548 --> 02:01:31.609]  I mean, it's getting kind of scary because you're persecuted with a vengeance.
