[00:00:09.346 --> 00:00:14.970]  We are back on the continuing 24 plus hour broadcast for the InfoWars Money Bomb.
[02:42:41.250 --> 02:42:58.324]  And little would I know that these UFOs would start turning up and cause me to swallow a red pill the like of which nobody has ever seen before and would plunge me headlong into a situation that I really have taken some years to actually work out.
[02:42:58.364 --> 02:43:01.206]  It's taken some considerable time to suss out what has been going on.
[02:43:03.568 --> 02:43:05.430]  And so I went to stage school.
[02:43:06.170 --> 02:43:09.513]  Nothing really much happened at stage school until I left stage school.
[02:43:10.374 --> 02:43:12.316]  And I started working in London in an office.
[02:43:12.576 --> 02:43:15.478]  I'd gone to stage school in London and I started working in an office in London.
[02:43:15.839 --> 02:43:19.362]  And I started having my first UFO incident over Paddington in London.
[02:43:20.202 --> 02:43:24.626]  And then there was a string of successive flyovers of these objects.
[02:43:24.666 --> 02:43:26.368]  They kept appearing, they kept appearing.
[02:43:26.908 --> 02:43:27.949]  Later on little... I'd been
[02:43:28.029 --> 02:43:28.489]  We're good.
[02:43:48.606 --> 02:44:05.735]  Um, connected with all the extraordinary paranormal experiences I was having, uh, I had a UFO come in over the house, over the estate, and illuminate a TV antenna, and we took that for image analysis, and the guy who did the image analysis said that that indeed was a UFO.
[02:44:06.275 --> 02:44:16.580]  And somebody who works in, in Army Intelligence, who I used to work with, um, who commented to me, because I put a website up on the internet poll, which was frankly bollocks, uh, it was,
[02:44:17.381 --> 02:44:31.637]  1999 and I put this website up which talked about talked about me assuming to know what was going on when I didn't and as this guy said to me that will attract people out of the woodwork and sure enough boy oh boy Paul did they come out of the woodwork
[02:44:32.037 --> 02:44:40.340]  I started getting phone calls, I started being followed, and I started being subjected to horrendous mind-invasive technology.
[02:44:40.781 --> 02:44:42.221]  Absolutely horrendous.
[02:44:42.701 --> 02:44:44.642]  There is a tyranny out there.
[02:44:45.042 --> 02:44:46.123]  It is carefully hidden.
[02:44:46.603 --> 02:44:53.766]  It is now coming into plain view, and its engine is specifically driven to control, control, control.
[02:44:54.526 --> 02:45:00.751]  The situation at the moment, I think, I'm going slightly off pace here, is that the people in power have not got a clue.
[02:45:01.512 --> 02:45:05.195]  And I'm sure you would agree with me that they've not got a clue what is controlling them.
[02:45:05.756 --> 02:45:20.868]  And you see a lot of Illuminati symbolism in the pop music industry with the famous all-seeing eye and the horn symbol, that famous kind of occult, I think it's that occult saying, we approve of his presence on high, as in the coming of the Antichrist.
[02:45:21.369 --> 02:45:22.230]  And I discovered
[02:45:23.092 --> 02:45:27.294]  Because of all my UFO interactions and strange experiences that I had swallowed a red pill.
[02:45:27.694 --> 02:45:35.698]  And whether I liked it or not, I was truly seeing the world around me for what it really was, that humanity was being controlled.
[02:45:35.738 --> 02:45:40.840]  And so, I was followed in pubs, I had phone calls, I had an unmarked helicopter film me.
[02:45:41.580 --> 02:45:47.023]  We had to take that to James Defence Weekly, should I say I did, we took that to James Defence Weekly.
[02:45:48.264 --> 02:45:51.788]  They looked at it and they said that the helicopter that filmed you is an AS555.
[02:45:52.089 --> 02:45:57.956]  It's a special forces helicopter that is unique to the governments of the US and Canada.
[02:45:58.396 --> 02:46:02.361]  If you look in any other kit that the RAF have, the RAF don't.
[02:46:02.401 --> 02:46:02.901]  We're good to go.
[02:46:21.694 --> 02:46:27.518]  Um, and I couldn't quite piece together at that time in 1999 why they, why they were doing that.
[02:46:27.998 --> 02:46:32.621]  But I ended up, uh, being targeted by very mind-inversive technology.
[02:46:33.061 --> 02:46:34.262]  Nasty, nasty stuff.
[02:46:34.773 --> 02:46:38.275]  Followed into pubs by, we would call them, intelligence operatives.
[02:46:39.996 --> 02:46:49.483]  And you may think that this is an extremely kooky story made up to sell books, to sell my latest book, etc, etc, but it isn't.
[02:46:49.663 --> 02:46:52.645]  I had a responsible job, Paul, and I had to leave that because of it all.
[02:46:52.945 --> 02:47:01.330]  There was one morning I was actually attacked by this mind-invasive technology in about January 2001, and I actually thought that I was going to die.
[02:47:02.311 --> 02:47:04.252]  On many occasions I've sailed close to
[02:47:04.292 --> 02:47:04.332]  to
[02:47:22.757 --> 02:47:24.038]  I don't think so.
[02:47:41.935 --> 02:47:47.620]  In 1950, what perhaps the UFO phenomenon was all about, and it took me years to concur this.
[02:47:48.241 --> 02:47:51.544]  So that's the, kind of like, the background, Paul.
[02:47:51.585 --> 02:47:53.366]  Good grief, I've waffled on for nearly 11 minutes.
[02:47:53.386 --> 02:47:57.591]  That's kind of like the background to what was going on.
[02:47:57.751 --> 02:48:03.497]  I'm suffering post-traumatic stress disorder from all this, as is quite a few people who have been subjected to it.
[02:48:03.817 --> 02:48:05.278]  But it's the harassment, Paul.
[02:48:05.438 --> 02:48:08.119]  It's nasty, nasty, nasty.
[02:48:08.779 --> 02:48:10.640]  And there are very nasty people behind it.
[02:48:10.720 --> 02:48:13.821]  And I was told that they wanted this kept quiet.
[02:48:15.393 --> 02:48:21.058]  But Tony, I mean, what do you say in response to people who question, I mean, why would they harass you?
[02:48:21.159 --> 02:48:22.099]  Why follow you?
[02:48:22.460 --> 02:48:23.641]  Why you in particular?
[02:48:23.921 --> 02:48:25.823]  Well, they don't just harass me though, Paul.
[02:48:25.863 --> 02:48:27.605]  It's not me in particular that they harass.
[02:48:27.645 --> 02:48:33.450]  If you look at the bigger picture, you soon discover that other researchers were being harassed.
[02:48:33.530 --> 02:48:37.234]  There was a guy in New Zealand who keeps himself quiet now called Alec Newald.
[02:48:37.754 --> 02:48:39.435]  He wrote a book called Co-Evolution.
[02:48:39.835 --> 02:48:40.536]  He was harassed.
[02:48:40.576 --> 02:48:56.486]  He had people from the Royal Institute of International Affairs, which I'm sure you're familiar with, Paul, and the Australian Defence Research people turn up on his doorstep asking why his car, wanting to confiscate his car, because his car had been subjected to high electrical voltage.
[02:48:57.146 --> 02:49:01.569]  The story of Alec Newald is he was driving down the road in 1996, something like that,
[02:49:03.790 --> 02:49:05.211]  And he went missing for 10 days.
[02:49:05.931 --> 02:49:07.172]  And he didn't know where he was.
[02:49:07.673 --> 02:49:10.234]  As far as he was concerned, he thought he was in a car accident.
[02:49:10.394 --> 02:49:13.236]  He had two ghostly figures walking towards him.
[02:49:13.256 --> 02:49:16.238]  And he thought they were ghosts because he thought he was dead.
[02:49:16.298 --> 02:49:17.098]  But they weren't ghosts.
[02:49:17.198 --> 02:49:17.879]  They were aliens.
[02:49:17.939 --> 02:49:21.861]  They'd been dimensionally transferred into another environment.
[02:49:22.281 --> 02:49:26.864]  And so he got harassment and he got stitched up with a prison sentence.
[02:49:27.324 --> 02:49:29.486]  Another woman called Dr. Carla Turner
[02:49:30.026 --> 02:49:32.527]  Who I highly recommend in the United States.
[02:49:32.888 --> 02:49:35.309]  She was right on the money, I think, with what was happening.
[02:49:35.789 --> 02:49:37.230]  She's certainly been harassed.
[02:49:37.390 --> 02:49:41.012]  Dr. Stephen Greer has certainly been harassed.
[02:49:41.412 --> 02:49:51.258]  But it's when it gets mind-invasive, Paul, when they start the mind-invasive stuff, as reported by a lot of people, that's when it really does get particularly nasty.
[02:49:51.538 --> 02:49:55.460]  And you have all on trying to keep sane with it all, and all on trying to cope with it.
[02:49:55.760 --> 02:50:04.447]  There's a very real conspiracy, a very real one indeed, to which the material of Infowars and the conspiracy of UFOs do merge.
[02:50:04.467 --> 02:50:10.511]  Let's bring it back to that convergence which you mentioned at the start of the show.
[02:50:10.832 --> 02:50:16.836]  Back in August, the New York Times writer and economist Paul Krugman said the following on CNN.
[02:50:16.876 --> 02:50:17.477]  This is a quote.
[02:50:18.257 --> 02:50:33.163]  Quote, if we discovered that space aliens were planning to attack and we needed a massive build-up to counter the space alien threat and rallying budget deficits took secondary place to that, this slump, he's talking about the economic slump,
[02:50:33.283 --> 02:50:40.352]  Would be over in 18 months, and then if we discovered, oops, we made a mistake, there aren't any aliens, we'd be better.
[02:50:40.712 --> 02:50:48.803]  Now, we've heard the famous Reagan quote in a similar context, where he's speaking during the Cold War about, you know, this alien threat.
[02:50:48.863 --> 02:50:51.306]  If we had this alien threat, it would band us all together.
[02:50:52.347 --> 02:51:04.789]  To your mind, Tony, is this notion that they'd fake an alien threat to get this world government to achieve their political agenda too far-fetched, or is it something we can actually expect to see at some point down the line?
[02:51:05.447 --> 02:51:14.955]  Well, I'm going to shock your listeners, Paul, because I've had nearly a world... I've got a big world view on this and I've had nearly a lifetime of experience in dealing with all this.
[02:51:15.376 --> 02:51:26.145]  The man doesn't know simply what he's talking about and it's just a pity that there isn't some guys from the military who deal with UFOs and kind of like are on a similar theme to me.
[02:51:27.146 --> 02:51:31.429]  How can I describe how this scenario could come about from my own experiences?
