[00:00:04.989 --> 00:00:06.390]  I am absolutely honored
[01:58:35.531 --> 01:58:42.433]  I've got it from inside his campaign and all his actions announced.
[01:58:42.433 --> 01:58:45.954]  You are listening to GCN.
[01:58:45.954 --> 01:58:48.195]  Visit GCNlive.com today.
[01:58:52.037 --> 01:58:56.061]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:58:56.061 --> 01:58:59.304]  This is our last chance to not relive history.
[01:58:59.304 --> 01:59:04.489]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[01:59:04.489 --> 01:59:10.494]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[01:59:10.494 --> 01:59:12.737]  I think it's incumbent upon all of us
[01:59:13.277 --> 01:59:13.577]  Tim Geithner?
[01:59:13.577 --> 01:59:14.098]  Bernanke?
[01:59:14.098 --> 01:59:14.758]  They're arsonists!
[01:59:14.758 --> 01:59:15.859]  They're asking for more matches!
[01:59:15.859 --> 01:59:18.280]  And the Congress is saying, who do we make the check out to?
[01:59:32.168 --> 01:59:34.289]  Today seems like nobody does care.
[01:59:34.289 --> 01:59:39.452]  And right now in Washington, D.C., we have seen a fall of the republic.
[01:59:39.452 --> 01:59:53.819]  Get your copy of Fall of the Republic on DVD at Infowars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[01:59:53.819 --> 01:59:56.180]  Waging war on corruption.
[01:59:56.180 --> 01:59:58.962]  Alex Jones on the GCM Radio Network.
[02:00:05.560 --> 02:00:10.384]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:00:10.384 --> 02:00:11.986]  You want answers?
[02:00:11.986 --> 02:00:13.527]  Well, so does he.
[02:00:13.527 --> 02:00:17.730]  He's Alex Jones on the GCN Radio Network.
[02:00:17.730 --> 02:00:23.936]  And now, live from Austin, Texas, Alex Jones.
[02:00:23.936 --> 02:00:33.104]  I'm gonna get Webster Tarbley to just pop in for one or two segments ahead of Gerald Cilente because the video we posted a couple weeks ago for PrisonPlanet.tv viewers
[02:00:36.311 --> 02:00:39.672]  The Global Elite's extermination plan for the population.
[02:00:39.672 --> 02:00:41.812]  I forget the exact headline.
[02:00:41.812 --> 02:00:48.234]  It's the number one and number two videos on YouTube on their front page in the education section.
[02:00:48.234 --> 02:00:50.854]  And, you know, it's not enough to get a few hundred thousand views.
[02:00:50.854 --> 02:00:57.715]  This video needs to have millions of views exposing the eugenicist system.
[02:00:57.715 --> 02:01:04.357]  And Tarpley made a few points in the video and it's getting overwhelming, you know, positive votes.
[02:01:05.441 --> 02:01:07.982]  People can vote dislike or like.
[02:01:07.982 --> 02:01:15.426]  But some people don't understand when Tarpley talks about Darwin, whether you believe in evolution or not, that's not what Tarpley's talking about.
[02:01:15.426 --> 02:01:23.670]  Tarpley is talking about the fact that Darwin was also a Malthusian who talked about getting rid of populations.
[02:01:23.670 --> 02:01:26.291]  So his view was, we're doing people a favor to kill them.
[02:01:26.291 --> 02:01:34.195]  That's what social Darwinism grew out of, and that is the main driving philosophy, if you had to pick one, behind the global elite.
[02:01:34.935 --> 02:01:41.378]  And their rationale and what they're obsessed with and a modern priest in the system is John P. Holdren.
[02:01:41.378 --> 02:01:45.300]  So I'll recap that and bring Tarpley up in the next segment.
[02:01:45.300 --> 02:01:50.083]  Right now, I'm going to actually pull up for myself.
[02:01:50.083 --> 02:01:50.683]  There it is.
[02:01:50.683 --> 02:01:55.285]  The Elite's Plan for Global Extermination Exposed by Dr. Webster Tarpley.
[02:01:55.285 --> 02:02:00.348]  It's an hour-long special report and the highest quality at PrisonPlanet.tv.
[02:02:02.436 --> 02:02:10.045]  By the way, I've done two hours here and have not plugged sponsors, and have not plugged InfoWars.com and the online video bookstore.
[02:02:10.045 --> 02:02:15.231]  And if you believe in what we're doing, folks, get a PrisonPlanet.tv membership, get a Discover the Spirit of 1776, InfoWars.com,
[02:02:18.594 --> 02:02:19.815]  I don't know.
[02:02:41.747 --> 02:02:44.549]  It's fine to drive a car that doesn't break down to have a comfortable house.
[02:02:44.549 --> 02:02:48.431]  I mean, I don't mind it, but my mission is not to make money.
[02:02:48.431 --> 02:02:57.536]  My mission is to build this operation, to launch more and more TV programs, to make more films, to hire more people, to effectively confront the globalists.
[02:02:57.536 --> 02:03:02.999]  And it's your purchase of the books, the videos, the tapes, the materials that makes this radio show possible.
[02:03:04.424 --> 02:03:12.187]  And you get the expanded podcast, commercial free podcast, higher quality video, you get it first, the films first.
[02:03:12.187 --> 02:03:14.108]  We are going to start the TV show very soon.
[02:03:14.108 --> 02:03:14.909]  We've beta tested it.
[02:03:14.909 --> 02:03:16.709]  In the next month it should launch.
[02:03:16.709 --> 02:03:20.431]  That's going to be streamed live exclusively for PrisonPlanet.TV members.
[02:03:20.431 --> 02:03:22.512]  You'll get it in higher quality, on demand.
[02:03:22.512 --> 02:03:24.413]  We're revamping PrisonPlanet.TV.
[02:03:24.413 --> 02:03:26.374]  We've already done it once, but we're making it even better.
[02:03:26.374 --> 02:03:28.235]  Some of the old stuff's dead links.
[02:03:28.235 --> 02:03:28.755]  We're trying.
[02:03:29.535 --> 02:03:35.079]  And it's got the higher quality audio podcast, my book, Paul Watson's book, it's all at one spot.
[02:03:35.079 --> 02:03:42.383]  Expanded extras, other documentary films were not authorized to post at YouTube, but the owners have authorized us to post them at PrisonPlanet.tv.
[02:03:42.383 --> 02:03:43.724]  They are there.
[02:03:43.724 --> 02:03:47.307]  So much more being added, all these special reports flying all over the country.
[02:03:47.987 --> 02:03:50.549]  All of it at PrisonPlanet.tv.
[02:03:50.549 --> 02:03:54.131]  15 cents a day, $5.95 a month.
[02:03:54.131 --> 02:03:59.014]  Get a yearly membership and get three months free at PrisonPlanet.tv.
[02:03:59.014 --> 02:04:03.937]  Again, that's PrisonPlanet.tv.
[02:04:03.937 --> 02:04:04.858]  And you can also
[02:04:06.899 --> 02:04:32.800]  Support us again by supporting our sponsors Webster Tarpley coming up, but but it's so exciting to be winning the intellectual war It's so exciting to be having a big effect for people to be finding out what a monster John P Holdren is But then I see some people when he's quoting from Holdren's book about forced infanticide abortion sterilization cutting off resources getting rid of two-thirds of the world's population or more to then people
[02:04:33.320 --> 02:04:39.905]  The so-called scientific, you know, people that claim, I'm a scientist, and there are too many people, and Tarpley says he doesn't like Darwin.
[02:04:39.905 --> 02:04:42.106]  Well, he's a kook.
[02:04:42.106 --> 02:04:46.509]  Again, it's not even about a debate dealing with evolution.
[02:04:46.509 --> 02:04:54.234]  The debate is dealing with Darwin's main beliefs, and they show their ignorance when trying to claim they're smarter than Tarpley.
[02:04:54.234 --> 02:04:56.776]  But I've researched all this stuff, and Tarpley's dead on.
[02:04:56.776 --> 02:04:57.437]  We'll be right back.
[02:04:57.437 --> 02:04:57.877]  Stay with us.
[02:05:00.814 --> 02:05:05.377]  This is Alex Jones with five good reasons you should consider buying a solar-powered generator.
[02:05:05.377 --> 02:05:06.277]  Number one.
[02:05:06.277 --> 02:05:09.700]  New climate legislation could easily double or triple your electric bill.
[02:05:09.700 --> 02:05:10.560]  Number two.
[02:05:10.560 --> 02:05:15.463]  Our new energy czar wants to control how much power your electric company allows you to have.
[02:05:15.463 --> 02:05:16.204]  It's true.
[02:05:16.204 --> 02:05:21.067]  Total government control of electricity in the name of smart grid technology is coming.
[02:05:21.067 --> 02:05:21.907]  Number three.
[02:05:21.907 --> 02:05:25.490]  In some areas of the country, the power grid is dangerously overloaded.
[02:05:25.490 --> 02:05:29.192]  And now, new socialist legislation is only compounding the problem.
[02:05:29.392 --> 02:05:30.193]  Number 4.
[02:05:30.193 --> 02:05:32.936]  Dangerous weather is always a threat to local grids.
[02:05:32.936 --> 02:05:36.640]  Every year, thousands of families lose their power from weather-related outages.
[02:05:36.640 --> 02:05:37.420]  Number 5.
[02:05:37.420 --> 02:05:41.565]  A solar power generator provides powerful backup, insurance, and peace of mind.
[02:05:41.565 --> 02:05:46.330]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[02:05:46.610 --> 02:05:50.775]  You can get more information at www.mysolarbackup.com.
[02:05:50.775 --> 02:05:52.577]  That's mysolarbackup.com.
[02:05:52.577 --> 02:05:54.820]  Remember, the government doesn't own the sun.
[02:05:54.820 --> 02:05:57.183]  So go to mysolarbackup.com or call 1-877-327-0365.
[02:06:01.505 --> 02:06:05.786]  In the past two months, over 2,000 natural disasters have been recorded.
[02:06:05.786 --> 02:06:10.108]  With the ongoing economic crash, millions of Americans can't afford food.
[02:06:10.108 --> 02:06:15.369]  Also, because of the exploding price of fuel, many farmers can't afford to plant their crops.
[02:06:15.369 --> 02:06:18.750]  We must take control of our greatest dependency, food.
[02:06:18.750 --> 02:06:24.732]  Folks, you can trust eFoods Direct, the 28-year veteran of long-term storable foods, and they're here to help.
[02:06:24.972 --> 02:06:32.854]  For a limited time when you place your order for a three-week supply of the best storable food on the planet, you will receive the fourth week absolutely free.
[02:06:32.854 --> 02:06:38.356]  You will save $75 and receive a full month's supply for less than $8 a day.
[02:06:38.356 --> 02:06:40.197]  This offer ends on June 22nd.
[02:06:40.197 --> 02:06:44.078]  So act now and buy three to get the fourth one free from eFoodsDirect.
[02:06:44.318 --> 02:06:46.361]  Call 800-409-5633 or go online to efoodsdirect.com forward slash Alex.
[02:06:46.361 --> 02:06:47.682]  Your order deadline is June 22nd.
[02:06:47.682 --> 02:06:50.205]  To buy three and get one free, call 800-409-5633 or visit efoodsdirect.com forward slash Alex.
[02:07:01.966 --> 02:07:04.508]  And you're subject to other police action.
[02:07:04.508 --> 02:07:05.770]  Tyranny is here.
[02:07:05.770 --> 02:07:09.333]  The grim future foretold in 1984 has become reality.
[02:07:09.333 --> 02:07:11.935]  It really says that the state is God.
[02:07:11.935 --> 02:07:17.800]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[02:07:17.800 --> 02:07:24.046]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[02:07:24.466 --> 02:07:30.409]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[02:07:30.409 --> 02:07:34.610]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[02:07:34.610 --> 02:07:38.912]  Prepare to enter the secretive world of emergency dictatorship.
[02:07:38.912 --> 02:07:44.854]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[02:07:44.854 --> 02:07:48.416]  It's only the beginning of the New World Order's hellish plan.
[02:07:48.416 --> 02:07:50.377]  The police state isn't coming.
[02:07:50.377 --> 02:07:50.817]  It's here.
[02:07:51.477 --> 02:07:58.310]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv
[02:08:05.700 --> 02:08:10.523]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:08:10.523 --> 02:08:12.123]  You want answers?
[02:08:12.123 --> 02:08:13.664]  Well, so does he.
[02:08:13.664 --> 02:08:17.847]  He's Alex Jones on the GCN Radio Network.
[02:08:17.847 --> 02:08:21.909]  And now, live from Austin, Texas, Alex Jones.
[02:08:23.839 --> 02:08:31.544]  We've got top trends forecaster Gerald Cilente dealing with what he predicted a year ago, the first great war of the 21st century.
[02:08:31.544 --> 02:08:36.507]  Call it World War III, World War IV, by any gauge, it's leading into a world war.
[02:08:36.507 --> 02:08:38.368]  People tend to think a third world war.
[02:08:39.228 --> 02:08:50.474]  Uh, as thermonuclear in the Russian connotation, uh, with the Einstein quote about, I don't know, uh, what's going to happen with World War III, but I know World War IV will be fought with sticks and stones.
