[00:00:06.066 --> 00:00:07.707]  Hitler took the guns.
[02:14:59.542 --> 02:15:02.023]  We know the globals behind the scenes are winding up Rocket Man.
[02:15:04.275 --> 02:15:04.815]  No question.
[02:15:04.915 --> 02:15:06.536]  We definitely have to keep an eye on everything.
[02:15:06.876 --> 02:15:11.378]  I mean, you have the there's actually Turkey just invaded Syria last week.
[02:15:11.438 --> 02:15:13.259]  There's that could kick back up again.
[02:15:13.279 --> 02:15:15.480]  I have a Syrian bartender, actually.
[02:15:15.700 --> 02:15:19.181]  I'm sorry, a barber, not a bartender, a barber.
[02:15:19.521 --> 02:15:20.802]  He's a Syrian Kurd.
[02:15:21.122 --> 02:15:24.323]  And he was asking me what I thought about the invasion of Syria by Erdogan.
[02:15:24.583 --> 02:15:27.284]  And he even said Erdogan equals ISIS to him.
[02:15:27.744 --> 02:15:30.386]  And so, I mean, we have to even keep an eye on that situation.
[02:15:30.426 --> 02:15:34.087]  You have Trump's basically eradicated ISIS in the span of a year, just like he promised.
[02:15:34.367 --> 02:15:37.268]  And all of a sudden, there's a new conflict in Syria.
[02:15:37.349 --> 02:15:38.929]  So, let's keep an eye on that for sure.
[02:15:39.570 --> 02:15:40.030]  That's right.
[02:15:40.150 --> 02:15:42.891]  And they're attacking U.S.-backed Kurds.
[02:15:43.111 --> 02:15:44.192]  A whole war started there.
[02:15:44.432 --> 02:15:45.112]  That's in my stack.
[02:15:45.132 --> 02:15:45.832]  I need to get to that.
[02:15:46.513 --> 02:15:47.033]  Absolutely.
[02:15:47.073 --> 02:15:47.353]  All right.
[02:15:47.453 --> 02:15:48.594]  Lucky to get back on the street.
[02:15:48.654 --> 02:15:50.895]  Dan Lyman from fullwars.com.
[02:15:51.015 --> 02:15:52.496]  Great job with all the work you're doing.
[02:15:52.516 --> 02:15:53.796]  We'll be following everything you do.
[02:15:54.056 --> 02:15:54.697]  Thank you so much.
[02:15:54.717 --> 02:15:56.778]  We'll be back with more calls, more breaking news.
[02:15:59.361 --> 02:16:04.204]  Introducing Floralife, the new probiotic line developed exclusively by InfoWars Life.
[02:16:04.504 --> 02:16:08.967]  After years of research on the human microbiome, not all probiotics are made the same.
[02:16:09.287 --> 02:16:17.632]  Floralife probiotics use a unique targeted delivery system that bypasses the stomach and releases directly into the intestines for maximum effect.
[02:16:17.972 --> 02:16:21.214]  This is critical because stomach acid kills most probiotics
[02:16:21.474 --> 02:16:26.396]  So if you don't have a targeted delivery probiotic, then you're cheating your gut health and your wallet.
[02:16:26.716 --> 02:16:33.678]  Floralife supports your body's core, where you need it most, including digestion, regularity, immunity, the gut lining, and metabolism.
[02:16:34.018 --> 02:16:37.619]  Did you know that over 80% of your immune system is located in your gut?
[02:16:37.939 --> 02:16:42.281]  That's why increasing gut probiotic levels is so important for overall health.
[02:16:42.661 --> 02:16:46.222]  Floralife is sold as a 15 billion probiotic for everyday maintenance care.
[02:16:46.542 --> 02:16:50.424]  And a $50 billion probiotic for a 30-day advanced gut restoration program.
[02:16:50.744 --> 02:16:54.645]  Head to Infowarslife.com to pick up your bottle of Floralife probiotics today.
[02:16:54.925 --> 02:16:56.346]  That's Infowarslife.com.
[02:16:58.827 --> 02:17:00.728]  Pike and Arizona, you're on the air worldwide.
[02:17:00.748 --> 02:17:01.088]  Go ahead.
[02:17:02.009 --> 02:17:03.891]  Oh, Alex, you can rant any day of the week.
[02:17:03.931 --> 02:17:13.341]  Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[02:17:14.442 --> 02:17:17.806]  And as a longtime InfoWars listener, I want to say thanks.
[02:17:18.346 --> 02:17:20.688]  For the awesome BrainForce AnthroPlex.
[02:17:20.888 --> 02:17:23.050]  My girlfriend would like to say thanks for the AnthroPlex, too.
[02:17:23.150 --> 02:17:23.550]  Thank you.
[02:17:24.211 --> 02:17:29.134]  I use the BioTrue Selenium, the Super Blue toothpaste for you folks who aren't big normal toothpaste fans.
[02:17:29.154 --> 02:17:31.136]  The Super Blue is awesome.
[02:17:31.156 --> 02:17:33.998]  And thank you so much, Alex, for the InfoWars Life products.
[02:17:34.038 --> 02:17:35.019]  They are quality.
[02:17:35.359 --> 02:17:36.620]  I can't wait to get some more.
[02:17:37.100 --> 02:17:39.822]  And thank you so much for doing that for us to keep us healthy.
[02:17:39.983 --> 02:17:40.543]  Absolutely.
[02:17:41.044 --> 02:17:53.962]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on, and if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[02:18:00.635 --> 02:18:18.923]  Over a year in the making, produced by one of the top organic firms in the country, that if you want proven studies and documentation, I can speak for hours just on the files I have here, of what this is proven to do, the ingredients in this, this is the ultimate immune system boost for this time of year, any time of the year.
[02:18:19.023 --> 02:18:24.425]  But immune wall is incredible, and folks, other formulas that aren't even as good are $70, $80.
[02:18:24.485 --> 02:18:25.985]  It's a great deal at $39.
[02:18:26.426 --> 02:18:29.247]  Immune wall, beta-glucans, olive leaf,
[02:18:29.907 --> 02:18:30.887]  And so much more.
[02:18:31.448 --> 02:18:32.588]  It is concentrated.
[02:18:32.808 --> 02:18:34.509]  You need to go read what is in here.
[02:18:34.529 --> 02:18:40.211]  The mushroom blend of the most expensive, highest quality mushrooms that just incredibly accelerate.
[02:18:40.331 --> 02:18:41.531]  A citrus peel blend.
[02:18:41.551 --> 02:18:43.492]  I mean, this is the next level.
[02:18:43.572 --> 02:18:45.953]  It's now available, ladies and gentlemen, Immune Wall.
[02:18:46.153 --> 02:18:47.414]  I think it's beyond seasonal.
[02:18:47.594 --> 02:18:49.414]  Beta, glucan, olive leaf, and more.
[02:18:49.955 --> 02:18:50.575]  Immune Wall.
[02:18:50.675 --> 02:18:51.995]  Infowarsstore.com.
[02:18:52.115 --> 02:18:53.276]  Infowarslife.com or 888-253-3139.
[02:18:58.852 --> 02:19:08.141]  Climb to the top of the food chain with Alpha Power by Infowars Life for those who want to increase testosterone and energy levels.
[02:19:08.982 --> 02:19:14.567]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[02:19:17.029 --> 02:19:23.373]  This drop can show signs such as fatigue, low energy, low sex drive, and muscle loss.
[02:19:24.174 --> 02:19:29.417]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[02:19:30.018 --> 02:19:42.166]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including uricoma longifolia, originally from Malaysia,
[02:19:42.606 --> 02:19:45.287]  You're listening to the Alex Jones Show!
[02:20:11.344 --> 02:20:17.589]  I've got a tiger by the tail that's way to see.
[02:20:17.809 --> 02:20:21.973]  I won't be much when you get through with me.
[02:20:22.073 --> 02:20:24.194]  He never gives up.
[02:20:24.314 --> 02:20:30.399]  He's Alex Jones, broadcasting from deep in the heart of Texas, worldwide.
[02:20:30.759 --> 02:20:34.002]  Well, I thought today
[02:20:36.929 --> 02:20:47.891]  Roger Stone has got big inside intel on the vaunted secret FISA memo coming up in the next segment.
[02:20:47.911 --> 02:20:49.112]  We'll continue with your calls as well.
[02:20:49.552 --> 02:21:00.914]  We've got a very clear picture of what's in it and now if you look at Congressman Gates and Congressman Jordan and Congressman Nunes and Congressman Chairman Nunes and Congressman Gowdy and everybody else
[02:21:02.179 --> 02:21:06.981]  And how panicked Adam Schiff is, the head of the Judiciary Committee on the Democrat side in the House.
[02:21:07.501 --> 02:21:08.342]  You know what's in it.
[02:21:09.142 --> 02:21:11.723]  And we've already know the pieces of the puzzle.
[02:21:11.743 --> 02:21:13.544]  So we're going to put them together coming up.
[02:21:13.584 --> 02:21:16.365]  And as I heard last night, Monday's the target date.
[02:21:16.385 --> 02:21:20.327]  Well, now that's being reported that they're looking to have a vote on Monday, but they're not sure yet.
[02:21:20.687 --> 02:21:21.288]  So that's coming up.
[02:21:21.308 --> 02:21:22.208]  I want to go back to your calls.
[02:21:22.228 --> 02:21:24.909]  But Kit Daniels, I haven't seen him smiling this big.
[02:21:24.929 --> 02:21:26.910]  Well, he smiles all the time, but he's a happy guy.
[02:21:26.930 --> 02:21:28.531]  But one of our great writers, Kit Daniels,
[02:21:30.401 --> 02:21:31.242]  He came in here with this article.
[02:21:31.282 --> 02:21:41.831]  He said, this is like Trump and Davos is like George Washington getting on a ship in the middle of the Revolutionary War and going into King George III's court and just basically getting right in his face.
[02:21:41.891 --> 02:21:42.751]  And that's what's happened.
[02:21:43.612 --> 02:21:47.655]  And Trump is delivering on everything he said he would do yet again.
[02:21:47.716 --> 02:21:48.816]  And it's not a love fest.
[02:21:49.197 --> 02:21:53.701]  They're trying to destroy him with secret cabals because he's returning sovereignty to the country.
[02:21:54.361 --> 02:21:58.324]  I don't like how he's been bullied into escalating conflict with Russia.
[02:21:59.325 --> 02:22:01.747]  I don't like that he's not going after the vaccines and all that kind of stuff.
[02:22:02.047 --> 02:22:04.989]  I've got some big issues, but let me tell you, he's really our president.
[02:22:05.009 --> 02:22:05.730]  This is wild.
[02:22:06.810 --> 02:22:11.594]  Vox reporting, why Trump is going to Vavos, the world's biggest party for globalist elites.
[02:22:11.654 --> 02:22:15.997]  Explained, Trump is attending to both boast and confident.
[02:22:17.772 --> 02:22:19.713]  And confront the crowd that disdains him.
[02:22:19.974 --> 02:22:20.394]  Absolutely.
[02:22:20.414 --> 02:22:24.416]  Trump is tending to both boast and confront the crowd that disdains him.
[02:22:24.456 --> 02:22:31.221]  That is a report that came out a few days ago and that is exactly what I'm saying and that is exactly what we're now seeing.
[02:22:31.301 --> 02:22:33.082]  So, there you go.
[02:22:33.462 --> 02:22:35.143]  Didn't go to Davos, didn't sell us out.
[02:22:36.424 --> 02:22:37.285]  Very, very exciting.
[02:22:37.305 --> 02:22:39.026]  Here's from the article that Kit Daniels wrote.
[02:22:40.182 --> 02:22:49.990]  But now, thanks to Trump, Brexit, and the ongoing migrant crisis, average Europeans are starting to question why they're losing their cultures and identities to the EU.
[02:22:50.730 --> 02:23:02.860]  And they look to Trump as the Howard Rourke-style American cowboy whose undeterred rebellion against a legion of doom inspires their own individual thoughts and opinions.
[02:23:03.661 --> 02:23:04.341]  So there you go.
[02:23:05.262 --> 02:23:07.384]  Right now, let's go back to your phone calls.
[02:23:07.864 --> 02:23:09.365]  Who's been holding the longest here?
[02:23:10.442 --> 02:23:13.184]  Mark in Iowa, thanks for holding it on The Year Worldwide.
[02:23:13.224 --> 02:23:13.544]  Go ahead.
[02:23:13.564 --> 02:23:16.706]  Hi Alex, thank you for taking my call.
[02:23:16.766 --> 02:23:19.728]  I want to thank God bless you, your crew, and your family.
[02:23:19.748 --> 02:23:21.169]  Thank you sir, you too.
[02:23:21.229 --> 02:23:23.350]  Turn the radio on and get the truth.
[02:23:24.791 --> 02:23:25.171]  Thank you.
[02:23:25.471 --> 02:23:26.932]  Yes sir, welcome.
[02:23:27.453 --> 02:23:27.893]  Well thanks.
[02:23:28.093 --> 02:23:33.897]  I was wondering, in a nutshell, if in 1776 our forefathers were in a room, put a pen to paper,
[02:23:38.246 --> 02:23:44.688]  And coming up with the Declaration of Independence, in short, it was because the government came and asked to govern.
[02:23:45.409 --> 02:23:50.930]  Our forefathers wrote this down, said if you govern this way, you can govern.
[02:23:51.070 --> 02:23:52.151]  In a nutshell, I guess.
[02:23:52.691 --> 02:24:06.996]  So, if now, today, we're finding out that every single three-letter agency of the federal government, the DOJ, CDC, you name it, FBI, CIA, all these entities
[02:24:07.677 --> 02:24:11.439]  All of them have screwed over the American people.
[02:24:12.060 --> 02:24:15.602]  Couldn't we cancel our contract and fire them all?
[02:24:16.067 --> 02:24:17.949]  And what is the government so worried about?
[02:24:17.989 --> 02:24:19.130]  Why do they think we're newborns?
[02:24:19.150 --> 02:24:21.953]  Well, sure, we've got a major broken social contract.
[02:24:22.093 --> 02:24:24.315]  I'm trying to fix the country and restore the republic.
