[00:00:23.547 --> 00:00:24.727]  From the front lines.
[02:26:55.623 --> 02:26:56.063]  You do need a job.
[02:26:56.083 --> 02:26:56.764]  People need income.
[02:26:57.644 --> 02:26:58.845]  Yeah, you need a job to support your kids.
[02:26:58.865 --> 02:27:02.408]  Listen, you described on air in an off-air that the court basically found you incompetent.
[02:27:03.493 --> 02:27:05.915]  That is a reasonable characterization of what happened, yeah.
[02:27:06.275 --> 02:27:08.657]  Because it is incompetent if you won't get out of your parents' house at 30.
[02:27:08.978 --> 02:27:11.940]  It is incompetent if you won't do the things it takes to get stuff done.
[02:27:13.081 --> 02:27:14.683]  I mean, that's not fair to the kid.
[02:27:14.883 --> 02:27:18.626]  That's not fair to your kid at all if you're going to not have a job, if you're going to live at your parents' house.
[02:27:19.066 --> 02:27:21.749]  I mean, that's not raising him properly.
[02:27:21.789 --> 02:27:23.630]  And I'm not trying to jump on you here, man.
[02:27:23.650 --> 02:27:24.471]  I'm trying to help you.
[02:27:25.072 --> 02:27:25.352]  Alright.
[02:27:27.574 --> 02:27:29.195]  Have you ever been in a physical fight?
[02:27:29.615 --> 02:27:29.776]  Yeah.
[02:27:30.632 --> 02:27:34.998]  I'm not saying that's a great thing, that's generally a lot of folks... It happens to a lot of people.
[02:27:35.199 --> 02:27:35.639]  How old were you?
[02:27:37.582 --> 02:27:38.023]  Which time?
[02:27:38.644 --> 02:27:39.845]  I'm just seeing if you've lived any.
[02:27:40.807 --> 02:27:41.388]  Have I lived any?
[02:27:41.568 --> 02:27:41.768]  Yes.
[02:27:41.928 --> 02:27:42.629]  Yeah, a few.
[02:27:43.471 --> 02:27:44.913]  Alright, great points Jake Lloyd.
[02:27:44.933 --> 02:27:45.954]  Let's bring in the next question.
[02:27:46.054 --> 02:27:46.996]  Who wants to get in there next?
[02:27:51.733 --> 02:27:52.493]  Oh, can y'all hear me?
[02:27:52.573 --> 02:27:52.933]  I'm on?
[02:27:53.093 --> 02:27:53.173]  Yeah.
[02:27:53.193 --> 02:27:54.074]  I can hear you great.
[02:27:54.134 --> 02:27:55.074]  And we're going to hold you over.
[02:27:55.354 --> 02:27:56.134]  Start your question.
[02:27:56.354 --> 02:27:59.135]  So I'm naturally lazy as well.
[02:27:59.795 --> 02:28:05.316]  But with that being said, I'm almost 30 now, done a lot of stuff with my life.
[02:28:05.456 --> 02:28:12.218]  So what I'm really asking you is what has, besides your kid, what has been your biggest achievement since you've been an adult?
[02:28:16.779 --> 02:28:18.259]  I have not considered anything like that.
[02:28:20.819 --> 02:28:21.899]  My biggest achievement.
[02:28:22.239 --> 02:28:25.180]  Achievement since then?
[02:28:25.420 --> 02:28:25.740]  What's that?
[02:28:26.021 --> 02:28:28.041]  You haven't considered anything an achievement since then?
[02:28:28.101 --> 02:28:32.963]  No, I haven't considered what my... I'm trying to think of one thing that I would consider to be an achievement, and I'm having a hard time.
[02:28:33.903 --> 02:28:35.423]  That seems to be a problem.
[02:28:35.443 --> 02:28:36.264]  Yeah, that's a bad sign.
[02:28:36.364 --> 02:28:37.264]  Stay there, Drew.
[02:28:37.784 --> 02:28:38.664]  I'll tell you your achievement.
[02:28:38.884 --> 02:28:39.084]  What?
[02:28:39.164 --> 02:28:45.186]  You finally started to fight when they kicked your ass out of the nest, which is the beginning of how they're trying to help you, and now you're on InfoWars.
[02:28:46.587 --> 02:28:47.387]  Because I'm a slacker?
[02:28:48.291 --> 02:28:49.112]  Because I was a slacker?
[02:28:49.612 --> 02:28:50.692]  Well, here's the deal.
[02:28:51.533 --> 02:28:52.594]  We're gonna transform you.
[02:28:52.634 --> 02:28:53.534]  Oh yeah?
[02:28:53.874 --> 02:28:58.377]  From slacker man to super hair man!
[02:28:59.277 --> 02:29:02.359]  We'll be back, stay with us.
[02:29:03.340 --> 02:29:06.982]  Alex Jones here with an extremely exciting announcement.
[02:29:09.107 --> 02:29:24.134]  We are launching our biggest recruitment and hiring operation ever in our 23-year history as we prepare to go 24 hours a day live on TV and radio from the InfoWars News Center here in Austin, Texas.
[02:29:24.514 --> 02:29:31.297]  We're looking for video editors, live show producers, people that can run live TV and radio, investigative journalists.
[02:29:31.317 --> 02:29:36.220]  We're looking for reporters out in the field who can stay where you are currently yet.
[02:29:36.760 --> 02:29:46.024]  We're looking to hire around 15 people, maybe even more, as we take the information war to the next level in the face of the globalists.
[02:29:46.424 --> 02:29:46.925]  So please,
[02:29:47.805 --> 02:29:56.207]  Go to InfoWars.com, go to InfoWars.com forward slash contest, and you'll find the links to our major hiring drive.
[02:29:56.627 --> 02:30:05.368]  And we're also launching, as I just alluded to, a major reporter contest with $26,000 in prizes.
[02:30:05.748 --> 02:30:06.388]  First place, $20,000.
[02:30:07.169 --> 02:30:07.749]  Second place, $5,000.
[02:30:08.069 --> 02:30:09.529]  Third place, $1,000.
[02:30:10.169 --> 02:30:14.650]  But all of you will be winners because the special reports you cut on any topic you wish
[02:30:15.270 --> 02:30:26.560]  We have the rules on InfoWars.com forward slash contest will then be seen on my broadcast will then be heard on the radio and will be posted to our major websites like NewsWars.com and InfoWars.com.
[02:30:26.860 --> 02:30:36.489]  It has a massive effect and you've seen many other reporters that have worked here over the years like David Knight and others they weren't even contest winners but they were runner-uppers.
[02:30:36.809 --> 02:30:54.301]  But even if you don't want to be part of the contest and just want a shot at working here, we're looking for camera people, we're looking for video editors, we're looking for investigative journalists, and we're looking for engineers, we're looking for reporters, we're looking for it all in this major push against the globals.
[02:30:54.421 --> 02:30:57.063]  Now, we're going to be hiring right through into 2019 in this big expansion.
[02:30:59.565 --> 02:31:04.710]  But it's critical that as fast as you can, you get your portfolio, your reel, into us.
[02:31:04.770 --> 02:31:07.832]  Whether it be in radio, whether it be in print, whether it be in film.
[02:31:08.773 --> 02:31:10.795]  Whatever your work is, we want to see it.
[02:31:11.015 --> 02:31:12.276]  So send it in with your resume.
[02:31:12.537 --> 02:31:16.000]  So this is a very, very exciting chance for InfoWars.
[02:31:16.400 --> 02:31:21.064]  To up our game in the face of the globalists, but for you to also be a part of this operation.
[02:31:21.344 --> 02:31:28.589]  So directly apply to work with us or apply and at the same time get involved in the contest.
[02:31:28.649 --> 02:31:29.750]  It's all up to you.
[02:31:30.251 --> 02:31:32.933]  We are expanding in the face of the globalist onslaught.
[02:31:33.273 --> 02:31:34.514]  We are not victims.
[02:31:34.694 --> 02:31:35.915]  We are victorious.
[02:31:36.295 --> 02:31:41.239]  And we are taking it directly to the globalists because we are the resistance.
[02:31:41.319 --> 02:31:45.983]  And we're looking for men and women who are a race, color and creed who love liberty that want to join the fight.
[02:31:46.463 --> 02:31:50.392]  Again, InfoWars.com forward slash contest to find all the rules.
[02:31:50.993 --> 02:31:55.262]  And I'll see you on the front lines of the fight against the NWO.
[02:32:02.774 --> 02:32:04.495]  Electrify your day with Secret 12.
[02:32:05.076 --> 02:32:06.417]  It's like lightning in a bottle.
[02:32:06.657 --> 02:32:10.179]  We all have days in which we just can't seem to perform at the level we'd like to.
[02:32:10.540 --> 02:32:18.285]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[02:32:18.485 --> 02:32:23.309]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[02:32:23.469 --> 02:32:28.933]  The reality is it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[02:32:29.273 --> 02:32:36.797]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[02:32:37.057 --> 02:32:41.499]  It pairs two forms of vitamin B12 into one explosive formula.
[02:32:41.759 --> 02:32:47.502]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[02:32:47.622 --> 02:32:50.603]  But it also assists with many other functions of the body.
[02:32:50.783 --> 02:32:54.063]  Electrify your mind and body and take your health to the next level.
[02:32:54.344 --> 02:32:58.024]  Experience the power of Secret 12 at Infowarslife.com.
[02:32:58.224 --> 02:33:00.325]  That's Infowarslife.com.
[02:33:06.746 --> 02:33:09.347]  You're listening to the Alex Jones Show.
[02:33:29.938 --> 02:33:32.399]  All right, Craig Shroyer.
[02:33:53.140 --> 02:33:54.721]  I just crossed their names.
[02:33:54.861 --> 02:34:00.165]  Owen Schroyer and Saw Man is also here with us today.
[02:34:00.545 --> 02:34:03.747]  So there's so much to get to, so much to go over.
[02:34:03.767 --> 02:34:07.710]  There's going to be a veteran special today that they're going to have for three hours.
[02:34:07.730 --> 02:34:10.092]  Owen Schroyer and Craig Schroyer.
[02:34:10.512 --> 02:34:14.315]  That's like saying she shucked she shells by the seashore.
[02:34:14.835 --> 02:34:16.477]  I'm having trouble saying it.
[02:34:16.517 --> 02:34:20.640]  Both names are easy to say, but when you say them combined together, it gets a little hard.
[02:34:21.000 --> 02:34:27.906]  So Owen Schroer and Craig Sawyer, veterans, call in special show ahead of Memorial Day this Monday.
[02:34:28.267 --> 02:34:34.472]  A voice for our veterans, what's happening in the VA, what they think of Trump, all the things that are happening, the good, the bad, and the ugly.
[02:34:34.512 --> 02:34:35.553]  That's at 3 p.m.
[02:34:35.613 --> 02:34:37.014]  today in about an hour.
[02:34:38.135 --> 02:34:40.279]  And a half from now.
[02:34:40.399 --> 02:34:44.166]  Please tell everybody about InfoWars.com forward slash show.
[02:34:44.506 --> 02:34:45.588]  Please share the link.
[02:34:46.667 --> 02:34:50.928]  for folks and please tell people about the local radio and TV stations that you're tuning into.
[02:34:50.968 --> 02:34:56.770]  We'll be talking to Craig and Owen in the next segment about what's coming up in the War Room today.
[02:34:57.230 --> 02:35:11.835]  Roger Stone's also supposed to pop in right now, but I may just do that in the first five minutes of the next hour, just to point out that he's now been told by the Mueller people, yeah, it's not Russiagate, we're looking at your finances to put your ass in prison and you better, they've telegraphed,
[02:35:12.395 --> 02:35:14.256]  You better turn your back on the President.
[02:35:14.757 --> 02:35:18.059]  And Giuliani went on Fox and said they know Roger's not going to do that.
[02:35:18.880 --> 02:35:24.884]  Roger told me last night and he said today on the news that he's not turning his back because there's nothing to turn his back on.
[02:35:25.104 --> 02:35:29.247]  There's nothing been done, nothing illegal, nothing wrong, no nothing.
[02:35:29.647 --> 02:35:37.153]  And so Craig, talking to you, your buddy also just won the Congressional Medal of Honor yesterday from the same team that you were on.
[02:35:37.173 --> 02:35:38.794]  I guess his nickname's Slab.
[02:35:38.814 --> 02:35:40.895]  You're going to be breaking that down as well.
[02:35:40.955 --> 02:35:41.756]  So tell us what's coming up.
[02:35:43.240 --> 02:35:44.181]  Well, yeah.
[02:35:44.241 --> 02:35:48.504]  Britt Slabinski was on my sniper crew for years in the SEAL teams.
[02:35:48.544 --> 02:35:52.587]  He's a great guy and he got the Medal of Honor yesterday from the President.
[02:35:52.967 --> 02:35:55.989]  It was an ugly battle and a lot of heartache there.
[02:35:56.309 --> 02:35:58.971]  I know Slab didn't even want the award.
[02:35:59.031 --> 02:36:05.416]  He's been awarded heavily prior to that and he's a warrior in every sense of the word.
[02:36:06.036 --> 02:36:10.099]  He's a reluctant recipient of that award due to the brothers left on
[02:36:11.022 --> 02:36:13.985]  That we lost in that battle, but that's the nature of battle.
[02:36:14.005 --> 02:36:14.766]  It's imperfect.
[02:36:14.786 --> 02:36:23.995]  Slab's a great warrior, but it's good to see him recognized, and all the guys at that level really deserve to be recognized for it.
[02:36:24.415 --> 02:36:28.019]  Great warriors defending our homeland against the unthinkable.
[02:36:28.139 --> 02:36:29.160]  So, God bless them all.
[02:36:30.470 --> 02:36:35.554]  I know on air you'll really never talk about any of the operations you've been part of, obviously, because that's all classified.
[02:36:36.074 --> 02:36:40.878]  And are we even able to know the specifics of why he got the Congressional Medal of Honor?
[02:36:42.359 --> 02:36:48.704]  Yeah, they talked through the citation live on national television.
[02:36:48.724 --> 02:36:50.625]  The president actually read it.
[02:36:50.986 --> 02:36:53.207]  Well, I missed that yesterday because I was so busy with other things.
[02:36:53.367 --> 02:36:56.089]  So we're going to re-air that today coming up during the war room.
