[00:00:08.671 --> 00:00:09.511]  It's April 1st, 2019.
[02:09:25.773 --> 02:09:26.454]  It'll make them happy.
[02:09:26.574 --> 02:09:29.016]  That's why we need your support, financially, buying the products.
[02:09:29.716 --> 02:09:30.697]  ThemFullWarStore.com.
[02:09:30.717 --> 02:09:35.921]  We're having huge victories in the fight against globalists, but because of that, they're focusing on us to take us out.
[02:09:36.262 --> 02:09:37.282]  This is a war.
[02:09:38.243 --> 02:09:41.726]  They tried to get the president, so now they're focusing on myself and others.
[02:09:42.447 --> 02:09:45.109]  And as we told you, once the censorship is complete with me,
[02:09:47.932 --> 02:09:50.674]  They would then move on to everybody else's speech, and it's all over the news.
[02:09:50.714 --> 02:09:53.456]  TV networks reject ads for anti-abortion movie.
[02:09:53.797 --> 02:09:57.840]  Twitter blocking users from following anti-abortion film in second.
[02:09:58.560 --> 02:09:59.281]  Recent glitch.
[02:09:59.341 --> 02:10:00.582]  Every time they get caught, it's always a glitch.
[02:10:00.962 --> 02:10:02.563]  And we get internal documents that it's not.
[02:10:05.226 --> 02:10:09.809]  And then we also have Wired even admitting that Ben Garrison got false flags.
[02:10:10.830 --> 02:10:13.132]  And I thought of him when this happened to us last week.
[02:10:13.312 --> 02:10:16.174]  He is the most prolific political cartoonist in the world today.
[02:10:16.474 --> 02:10:17.015]  He was already
[02:10:18.447 --> 02:10:26.111]  In the top 20 or so, in mainstream magazines and newspapers, started just doing some basic libertarian stuff, and boy, they attacked him, so he went full-time.
[02:10:27.372 --> 02:10:32.795]  And he is undoubtedly the biggest political cartoonist, if not the biggest cartoonist in the world now.
[02:10:33.795 --> 02:10:35.196]  And so how did they go after him?
[02:10:35.216 --> 02:10:36.437]  Well, they said the alt-right did it.
[02:10:36.737 --> 02:10:37.197]  No, they didn't.
[02:10:37.217 --> 02:10:37.897]  They do this to me.
[02:10:37.998 --> 02:10:40.139]  The leftists, the troll farms, we've infiltrated them.
[02:10:41.072 --> 02:10:48.015]  They started taking his great art, and putting Nazi stuff on it, and the Southern Poverty Law Center and everybody else went along with it and said it was Ben Garrison!
[02:10:48.275 --> 02:10:56.758]  Even though they could go in two minutes, and go to his website, and see that the original art was there, they didn't care.
[02:10:56.858 --> 02:10:58.659]  Well, they've done the same thing to me now.
[02:10:59.419 --> 02:11:08.383]  They're wanting the final Instagram and Facebooks that we never had banned, that were left up, that quote, didn't violate the rules, and a few racist comments, a few anti-Israel, against me!
[02:11:11.260 --> 02:11:19.282]  And they said, oh yes, if it goes up to 30% of any Semitic in the comments, we'll ban them, wink wink, giving the order for folks to go do it.
[02:11:19.302 --> 02:11:27.925]  And now, I only have two moderators, they're having to sit in there and delete these comments as fast as they come in, because we know it's a false flag.
[02:11:27.945 --> 02:11:35.487]  They're smolleting me, the term that I coined, meaning when you go stage a hate crime against yourself to blame right-wingers, it's called smolleting.
[02:11:36.668 --> 02:11:37.668]  And I'm just a libertarian.
[02:11:38.638 --> 02:11:43.386]  So, leaked emails reveal Facebook's intense internal discussion over Alex Jones' anti-Semitic posts on Instagram.
[02:11:43.406 --> 02:11:51.438]  So, when other people are talking about five anti-Semitic comments out of 560, their own emails came out.
[02:11:52.367 --> 02:12:00.512]  I'm the anti-Semite, and of course it's Jake Cantor, who doesn't want to retract because he wants to get sued, who first reported it and created the whole story.
[02:12:00.532 --> 02:12:05.394]  So we're going to go to Ben Garrison, but just briefly, we're going to ride shotgun on this for a few segments.
[02:12:06.015 --> 02:12:07.936]  Bob Barnes, what do you call this?
[02:12:07.956 --> 02:12:10.437]  I mean, it's clearly a false flag.
[02:12:10.457 --> 02:12:12.158]  I was going to say, it's a new form of false flag.
[02:12:12.438 --> 02:12:29.401]  The new form of false flag is to go on somebody else's page, pretend to be a supporter, and by pretending to be a supporter, say things that violate the terms of service of that particular social media network, and thereby get that person deplatformed, that person's post taken away, that person's ability to post taken away.
[02:12:29.721 --> 02:12:38.022]  And as Facebook admitted, their ultimate objective is to label a person by their name in such a way that their name has to be the person who cannot be named.
[02:12:38.382 --> 02:12:42.083]  That if you even said the words Alex Jones, you could be banned off of social media.
[02:12:42.423 --> 02:12:59.191]  That was their ultimate goal and objective and the entire premise and predicate for it was to get people to basically falsely, to have these trolls, these lefty trolls, pretend to be racist, post racist things, then report their own post and say, holy cow, look at all these racist comments that are on this post.
[02:12:59.211 --> 02:13:03.453]  And we've confirmed it in IP addresses when we do our own comments on the site, which we've gone back to.
[02:13:03.473 --> 02:13:07.315]  We can see the same guys posing as 20 people saying racist things to each other.
[02:13:07.455 --> 02:13:07.675]  Exactly.
[02:13:07.695 --> 02:13:08.937]  They've been doing it for a long time.
[02:13:08.997 --> 02:13:12.501]  Because the troll farm was a leftist invention, not a Russian invention.
[02:13:12.541 --> 02:13:13.962]  And Candace Owens caught them doing it to her.
[02:13:14.182 --> 02:13:14.563]  Exactly.
[02:13:14.583 --> 02:13:15.264]  And they've done it repeatedly.
[02:13:15.284 --> 02:13:17.806]  A lot of people have caught them over the last half decade or so.
[02:13:17.866 --> 02:13:21.831]  It was like feminists going, the Nazis want to get you, but we're going to protect you because she was doing well online.
[02:13:22.171 --> 02:13:23.813]  And then she checked IPs, it was the same people.
[02:13:23.993 --> 02:13:24.454]  Precisely.
[02:13:24.674 --> 02:13:30.380]  They did it to Reddit to take down a whole bunch of sections of Reddit so that those sections disappeared forever from commentary.
[02:13:30.720 --> 02:13:31.681]  So they've been doing it.
[02:13:31.701 --> 02:13:33.603]  They've done it on Twitter repeatedly and routinely.
[02:13:33.883 --> 02:13:37.587]  For example, they blamed Milo for something that actually wasn't what Milo did.
[02:13:37.607 --> 02:13:40.711]  It was what they did to get Milo banned off of Twitter.
[02:13:41.011 --> 02:13:42.573]  So it's been a consistent pattern.
[02:13:42.613 --> 02:13:43.494]  They know it's happening.
[02:13:43.534 --> 02:13:44.375]  They know it's occurring.
[02:13:44.415 --> 02:13:45.656]  And now I want to go to Ben here.
[02:13:46.477 --> 02:13:51.701]  The left in the streets, I've noticed, has adopted the fraud from the highest levels.
[02:13:52.001 --> 02:13:53.042]  They know it's lies.
[02:13:53.462 --> 02:13:54.443]  They're like an army.
[02:13:54.463 --> 02:13:56.004]  It was like when I was at Lucy's Fried Chicken.
[02:13:56.225 --> 02:13:58.146]  They come to my table three times to threaten me.
[02:13:58.166 --> 02:14:00.608]  And then when I walk out, they threaten me more.
[02:14:01.129 --> 02:14:03.110]  Then they edit the tape and say I attacked them.
[02:14:03.270 --> 02:14:06.393]  But luckily, the restaurant's now gone public.
[02:14:06.493 --> 02:14:07.173]  Alex is welcome.
[02:14:07.193 --> 02:14:08.274]  They started fights three times.
[02:14:08.495 --> 02:14:09.155]  They threw them out.
[02:14:09.395 --> 02:14:10.016]  I was leaving.
[02:14:11.132 --> 02:14:13.594]  But again, hundreds of papers ran with the lie.
[02:14:14.014 --> 02:14:15.295]  Precisely, just like they did at Covington.
[02:14:15.835 --> 02:14:16.956]  It's about edited video.
[02:14:17.216 --> 02:14:22.240]  And with the modern technology, the ability to edit video and to create false narratives and false stories is at an all-new high.
[02:14:22.560 --> 02:14:25.322]  And they're just using comment sections now to achieve that and accomplish that.
[02:14:25.342 --> 02:14:26.863]  Ben Garrison, you're with us for the rest of the hour.
[02:14:26.923 --> 02:14:28.004]  Thanks for joining us.
[02:14:28.364 --> 02:14:30.986]  We're going to talk all about this, but what do you call this situation?
[02:14:33.928 --> 02:14:38.551]  Well, it's an attack on people like you and me who
[02:14:39.597 --> 02:14:41.458]  Want to preserve the republic?
[02:14:42.699 --> 02:14:49.723]  We're libertarians, we're conservatives, we're not alt-right, we're not far-right, and we're not Nazis, and we're not anti-semitic.
[02:14:49.803 --> 02:14:54.846]  I mean, that's the narrative that gets foisted upon us.
[02:14:56.347 --> 02:15:03.652]  You know, I've, as you know, I went through years of hell with this because I was an unknown cartoonist.
[02:15:03.732 --> 02:15:04.032]  I mean, I
[02:15:04.910 --> 02:15:12.436]  In 2009, and it's been almost 10 years since I penned my first independent editorial cartoon.
[02:15:12.676 --> 02:15:13.497]  And what did I draw?
[02:15:13.597 --> 02:15:15.859]  It was an anti-Federal Reserve cartoon.
[02:15:16.239 --> 02:15:21.944]  Because I was thinking to myself, well, how come I haven't seen any anti-Federal Reserve cartoons drawn by
[02:15:22.839 --> 02:15:26.442]  You know, conventional liberal cartoonists out there.
[02:15:26.542 --> 02:15:27.442]  I've never seen any.
[02:15:27.563 --> 02:15:28.603]  I want to draw them then.
[02:15:28.723 --> 02:15:31.786]  So I drew them and then I quickly found out why.
[02:15:31.926 --> 02:15:35.608]  Because when you do that, you get attacked fairly quickly.
[02:15:36.609 --> 02:15:45.616]  And by 2010, my work was being routinely defaced and vandalized into anti-Semitic and racist
[02:15:48.267 --> 02:15:52.072]  Stay right there.
[02:15:52.113 --> 02:15:53.775]  Let's talk about this when we come back.
[02:15:53.795 --> 02:15:56.779]  And again, Nazis and people have a right to their free speech.
[02:15:57.319 --> 02:15:59.943]  The point is now the left projects onto us and says we don't have a right.
[02:16:00.363 --> 02:16:01.104]  Everybody has a right.
[02:16:01.124 --> 02:16:02.006]  Remember that in America?
[02:16:05.393 --> 02:16:08.075]  When it comes to rebuilding your energy, convenience is key.
[02:16:08.415 --> 02:16:14.338]  While coffee, candy, and other sugary products can give you a short boost, the crash can leave you more tired than ever.
[02:16:14.858 --> 02:16:26.865]  Turbo Force from InfoWars Life is a powerful mix-in energy packet that utilizes vitamins, amino acids, and extracts used for hundreds of years to provide you focus, clarity, and a boost of energy on the go.
[02:16:30.327 --> 02:16:34.069]  Simply take a packet, mix it into the indicated amount of water, and enjoy!
[02:16:35.891 --> 02:16:41.994]  With 14 servings per box for a two-week or more supply, this is the formula to stock up on whenever you need a boost.
[02:16:43.935 --> 02:16:49.878]  Perfect for work, in the car, or at home, TurboForce is the ultimate answer to a sluggish day.
[02:16:50.338 --> 02:16:51.759]  Don't let your day slow you down.
[02:16:52.360 --> 02:16:55.321]  Perk up with TurboForce at infowarrestore.com.
[02:17:02.325 --> 02:17:04.306]  Frank in North Carolina, thanks for holding so long.
[02:17:04.406 --> 02:17:04.726]  Go ahead.
[02:17:05.748 --> 02:17:07.209]  I just have to say something, man.
[02:17:07.229 --> 02:17:10.310]  It seems like every time I turn on your broadcast, you're bragging.
[02:17:11.090 --> 02:17:12.211]  It just gets old, man.
[02:17:12.511 --> 02:17:14.231]  I'm gonna shut you down right now, okay?
[02:17:14.952 --> 02:17:17.012]  We're taking calls about your nomination.
[02:17:17.252 --> 02:17:21.254]  Do you understand they're having congressional hearings trying to shut us down?
[02:17:21.274 --> 02:17:23.695]  Do you understand I'm ringing the alarm?
[02:17:24.575 --> 02:17:26.896]  If that was happening to anybody else, I'd be freaked out.
[02:17:27.256 --> 02:17:28.337]  I mean, what's it gonna take?
[02:17:28.617 --> 02:17:29.497]  Us being shut down?
[02:17:29.737 --> 02:17:30.798]  Is that what you want, Frank?
[02:17:31.198 --> 02:17:32.258]  You know what, Alex?
[02:17:32.278 --> 02:17:33.399]  Put him on pause again.
[02:17:33.639 --> 02:17:34.219]  Hey, Frank!
[02:17:34.499 --> 02:17:39.841]  Do you understand it's not bragging to say, we are the tip of the spear, we're under attack, we need your help.
[02:17:40.161 --> 02:17:44.443]  As much bagging as I do, we can barely pay the bills and grow in the face of this.
[02:17:44.663 --> 02:17:47.544]  I'm not gonna just stop growth and let them start pushing us backwards.
[02:17:47.804 --> 02:17:48.185]  You understand?
[02:17:48.265 --> 02:17:49.545]  I need your help, Frank!
[02:17:49.905 --> 02:17:51.026]  I need your help, Frank!
[02:17:52.026 --> 02:17:56.956]  Go to Infowarsstore.com right now and help fund the InfoWars.
[02:17:57.918 --> 02:17:58.599]  Do you understand?
[02:17:58.619 --> 02:17:59.801]  I need your help, Frank!
[02:18:02.748 --> 02:18:11.594]  There is a publicly admitted international plan to shut down nationalist, pro-free market, pro-Western speech all across the world.
[02:18:12.414 --> 02:18:18.318]  And I don't want to say I'm honored, but in a way I am, to have been chosen first last year to be de-platformed.
[02:18:18.898 --> 02:18:19.919]  Then they set the precedent.
