[00:00:16.411 --> 00:00:21.113]  Ladies and gentlemen, Owen Schroyer here hosting the Alex Jones Show.
[02:34:34.717 --> 02:34:46.066]  So, I mean, what is your take on this rampant spike of crime in New York City, and the leaders there are the ones that are allowing this to happen?
[02:34:46.066 --> 02:34:49.108]  I mean, it's their policies that are allowing this to happen.
[02:34:49.108 --> 02:34:50.129]  How do they not see that?
[02:34:53.482 --> 02:34:59.366]  How do they not see half of what's happening and what they've been doing for the past year and a half, two years, right?
[02:34:59.366 --> 02:35:02.087]  And even before that, let's be real.
[02:35:02.087 --> 02:35:06.810]  But the spike in the crime in New York, I think there are a number of things going on.
[02:35:06.810 --> 02:35:09.492]  The policies, of course, absolutely.
[02:35:09.492 --> 02:35:11.393]  But I also say that what
[02:35:11.833 --> 02:35:35.313]  When you have now removed people from work, you've taken away their livelihood, you have shut schools down, you have shut down medical services, you've shut down, people are not getting treated for psychological issues that they have, they are not being treated for their emotional disabilities that they have, and so you just have a population that's pretty much just gone wild.
[02:35:35.313 --> 02:35:37.155]  I know, I knew of someone
[02:35:38.101 --> 02:35:40.243]  He passed away maybe two months ago.
[02:35:40.243 --> 02:35:47.691]  I knew him for a brief time and he was a young man who was actually one of the victims of a crime, a random crime.
[02:35:48.854 --> 02:35:49.355]  I think so.
[02:36:11.329 --> 02:36:12.150]  Disabilities.
[02:36:12.150 --> 02:36:15.154]  But this person, when was the last time this person was treated?
[02:36:15.154 --> 02:36:20.241]  When was the last time this person received the services that they need to deal with their issues?
[02:36:20.241 --> 02:36:23.024]  And so you have a number of things that are happening.
[02:36:23.024 --> 02:36:28.171]  The entire state is upside down, or the city of New York is upside down.
[02:36:28.171 --> 02:36:29.453]  There's too much uncertainty.
[02:36:29.693 --> 02:36:30.833]  There's a lot of frustration.
[02:36:30.833 --> 02:36:31.954]  There's a lot of anger.
[02:36:31.954 --> 02:36:39.476]  The politicians, the leaders are not responding to the people's cries and what needs to happen.
[02:36:39.476 --> 02:36:41.977]  And so you're going to have a city in chaos.
[02:36:41.977 --> 02:36:52.800]  Not to mention, I think a lot of times, depending on who, what's going on, I believe sometimes the perception wants to be created as well because there's something going on in New York where
[02:36:54.008 --> 02:37:03.675]  I believe there is a push to get rid of the working class and the middle class families and population parts of New York and for the wealthy to take over certain areas.
[02:37:03.675 --> 02:37:14.222]  And so in order to do that, you have to create this perception and this heightened fear to get people to jump up and run and just to leave.
[02:37:14.222 --> 02:37:20.926]  And so I think there is some sort of property confiscation that's happening as well.
[02:37:20.926 --> 02:37:23.828]  So there are a number of things that are happening in my opinion.
[02:37:24.268 --> 02:37:24.889]  In my opinion.
[02:37:42.205 --> 02:37:44.066]  Completely unbearable.
[02:37:44.066 --> 02:37:48.969]  Now, you as an attorney, obviously you understand criminal psychology.
[02:37:48.969 --> 02:38:05.360]  So, what do you think is going through criminals' minds for the last two to three years in New York City, where they see, oh wow, it's easier for me to get away with a crime, and even if I get caught, my punishment is less severe, therefore they're more motivated to do it.
[02:38:05.360 --> 02:38:09.643]  Do you see that playing out right now in New York City, and quite frankly, other American cities?
[02:38:10.939 --> 02:38:12.780]  I'm not sure if I see necessarily that.
[02:38:12.780 --> 02:38:23.967]  I'm sure that is part, you know, for some career criminals that, you know, recidivists that, you know, if that could be their mindset.
[02:38:23.967 --> 02:38:32.392]  But let me also say that with what's going on with the mandates in New York City and police officers walking off their jobs and
[02:38:33.793 --> 02:38:39.716]  And this whole uproar that's happening behind these mandates, you have less and less people that are working, right?
[02:38:39.716 --> 02:38:43.638]  So you have less police officers that are on the street because of what's happening.
[02:38:43.638 --> 02:38:45.920]  And then again, with one moment, one judge,
[02:38:48.761 --> 02:38:49.802]  We're good to go.
[02:39:12.592 --> 02:39:20.976]  You know, the criminal justice system with who's going to be held in custody versus who will be released depending on the type of crime that's committed and so on and so forth.
[02:39:20.976 --> 02:39:23.357]  Judges are inundated with what's happening.
[02:39:23.357 --> 02:39:28.859]  There's not enough staffing within the courts and so it's just everything is swelling.
[02:39:28.859 --> 02:39:31.960]  It's just everything is boiling over and that's what's happening.
[02:39:31.960 --> 02:39:40.884]  And when you have something like that, when you have chaos, of course it leaves open opportunity for those that would like to take advantage of the system to do so.
[02:39:40.884 --> 02:39:41.304]  Absolutely.
[02:39:42.093 --> 02:40:08.930]  From an outsider's perspective, and I can understand how this perspective could be a little inaccurate, but from an outsider's perspective, from here in Texas I'll say, it seems to me that there's more law enforcement or there's more willingness from law enforcement to go after people that go into buildings or museums or restaurants without a vaccine passport than there is motivation to go after actual criminals that do harm to people.
[02:40:08.930 --> 02:40:11.051]  That's what it looks like from the rest of the country.
[02:40:11.051 --> 02:40:11.692]  Is that accurate?
[02:40:12.679 --> 02:40:13.640]  And that's what I'm saying.
[02:40:13.640 --> 02:40:15.062]  The distraction, right?
[02:40:15.062 --> 02:40:19.046]  We're worried more about masks and vaccines than what's going on.
[02:40:19.046 --> 02:40:25.033]  So if I'm a criminal, this is prime opportunity for me to do whatever I need to do.
[02:40:25.033 --> 02:40:33.202]  Because, like you said, if I get caught, depending on the crime that I've committed, I'm likely going to be released on my own recognizance or on
[02:40:33.823 --> 02:40:36.584]  Well, depending on the crime, I'm not even going to get bail, right?
[02:40:36.584 --> 02:40:48.288]  Because there's all these other alternatives, which does serve our criminal justice system in light of its inequities and disparities and things of that nature and the discrimination that is historical within our criminal justice system.
[02:40:48.288 --> 02:40:49.629]  But at this particular time,
[02:40:50.586 --> 02:41:05.455]  With the distractions, the lack of staffing, and then you have the distraction where police officers are responding to calls of people not wearing masks and not wanting to produce a vaccine passport.
[02:41:05.455 --> 02:41:15.442]  I mean, look at the lady who was arrested, I think it was last week or two weeks ago, in a wheelchair because she was going into Bubba Gump's Shrimp restaurant down in Manhattan.
[02:41:16.202 --> 02:41:29.530]  You're wasting resources going to arrest a woman in a wheelchair who already has issues with accessibility to a number of facilities and places in the city.
[02:41:29.530 --> 02:41:32.512]  You're going to arrest her and you wasted resources.
[02:41:32.512 --> 02:41:37.595]  Call for a van to come and pick her up because she's in a wheelchair to take her down and process her.
[02:41:38.306 --> 02:41:38.526]  Yes.
[02:41:58.012 --> 02:42:04.713]  Who was trying to take her daughter to the Museum of Natural History.
[02:42:04.713 --> 02:42:10.335]  They arrested her and then took her, put her in a car, one police car, and then put her daughter in another police car.
[02:42:10.335 --> 02:42:12.135]  Nine years old.
[02:42:12.135 --> 02:42:14.676]  Why would you traumatize a nine-year-old like that?
[02:42:14.676 --> 02:42:20.737]  You arrest her, you put her in the back of a police car and escort her down to one police plaza or wherever they took her?
[02:42:20.737 --> 02:42:21.657]  That's ridiculous.
[02:42:21.917 --> 02:42:27.402]  So again, if I'm a criminal and I'm watching all of this take place, this is a wonderful opportunity.
[02:42:27.402 --> 02:42:35.449]  This is prime opportunity for me to do whatever it is that I didn't think to do before or to just continue to do what I'm doing because the police are completely distracted.
[02:42:35.449 --> 02:42:36.970]  Our mayor is completely distracted.
[02:42:36.970 --> 02:42:43.096]  They're running around trying to impose illegal mandates on the healthiest members of society.
[02:42:43.096 --> 02:42:43.516]  Thank you.
[02:42:43.516 --> 02:42:44.597]  Yes, that's the clip.
[02:42:44.597 --> 02:42:49.041]  On the healthiest members of society and on members of the society, period.
[02:42:49.685 --> 02:42:49.966]  Right?
[02:42:49.966 --> 02:42:51.127]  That's illegal.
[02:42:51.127 --> 02:42:55.753]  And then if they don't comply with these illegal mandates, then you're arresting them.
[02:42:55.753 --> 02:42:56.334]  Amazing.
[02:42:56.334 --> 02:42:57.576]  Trisha Lindsay, thank you so much.
[02:43:07.418 --> 02:43:14.742]  There are a lot of amazing compounds out there, some healthy, some not, that do incredible things in our brains.
[02:43:14.742 --> 02:43:24.107]  And we've tried them all, we've researched them all, and we will not sell you anything that is linked to any problems or any type of toxicity or any type of extreme hangovers.
[02:43:24.727 --> 02:43:29.548]  I mean, because I'm not saying some of our brain products, you won't have a little bit of a letdown once you take them, but that would just be a lie.
[02:43:29.548 --> 02:43:33.969]  But these are very, very clean with compounds that God gave us that are good for you.
[02:43:33.969 --> 02:43:41.531]  And one of our best sellers is back in stock, Brain Force Plus, a good, clean nootropic, a good, clean brain pill.
[02:43:41.531 --> 02:43:43.491]  You can find something stronger, but it's not good for you.
[02:43:43.491 --> 02:43:45.532]  This is a high quality system.
[02:43:45.532 --> 02:43:47.612]  It's available at InfoWareStore.com.
[02:43:47.612 --> 02:43:49.493]  It's sold out for a long time at 40% off.
[02:43:49.493 --> 02:43:54.174]  So get your Brain Force Plus today at InfoWareStore.com and help keep us on air.
[02:43:54.494 --> 02:43:56.455]  Thank you so much and I'll see you out there.
[02:44:13.726 --> 02:44:14.647]  And they can't apprehend those.
[02:44:14.647 --> 02:44:15.807]  Nobody else will stand up.
[02:44:15.807 --> 02:44:20.671]  Well, the global social credit score that China's putting in, it's banning people to three hours of video games a week.
[02:44:20.671 --> 02:44:24.673]  And if you criticize the government, you can never buy or sell again.
