[00:00:00.169 --> 00:00:01.409]  Let me make the announcement.
[01:47:08.266 --> 01:47:18.329]  The railroad guys, the finance guys, the weapons manufacturing, the bond guys that were going to do the financing, they all agreed this is going to happen.
[01:47:18.369 --> 01:47:19.689]  It's just a matter of when.
[01:47:19.809 --> 01:47:23.390]  And then the Archduke Franz Ferdinand is assassinated in Sarajevo.
[01:47:23.710 --> 01:47:25.671]  That sets the train out of the station.
[01:47:26.391 --> 01:47:35.501]  And once the train has left the station and gained a big head of steam, they're not going to then throw on the brakes and say, you know something, this was a bad idea.
[01:47:35.881 --> 01:47:40.246]  It's like a massive thing that these people have committed to.
[01:47:40.406 --> 01:47:42.488]  They've got their own mass psychosis.
[01:47:43.510 --> 01:47:51.515]  Well, I mean, how do you then say, you know, we spent a gazillion dollars, we've been planning on this, we've been talking about how effective this is going to be.
[01:47:51.535 --> 01:47:52.436]  We're going to be the saviors.
[01:47:52.976 --> 01:47:56.499]  Right, and then to say, oh, you know something, it didn't work so well.
[01:47:56.759 --> 01:48:00.241]  I don't think there will ever be an admission of that.
[01:48:00.741 --> 01:48:04.044]  On the contrary, they're going to keep saying, let's just keep doing it.
[01:48:05.140 --> 01:48:06.140]  It's like the vaccines.
[01:48:06.501 --> 01:48:10.663]  You take two, and then you get a triple, so you're tripled down, quadrupled down.
[01:48:11.043 --> 01:48:15.605]  It's gonna keep going, just like doubling down and tripling down on an opinion.
[01:48:15.945 --> 01:48:27.230]  Once people dig themselves in and they're wrong, they rarely, rarely capitulate and say, in fact... And that's what they were betting on with the public, is now we see, oh, the unvaccinated, you're the reason we're sick.
[01:48:27.250 --> 01:48:30.331]  Well, with a real inoculation, if you have it, you're protected.
[01:48:30.511 --> 01:48:31.372]  It doesn't matter what I do.
[01:48:31.912 --> 01:48:32.232]  It's true.
[01:48:32.252 --> 01:48:43.357]  You know, health security in Scotland and the UK show the unvaccinated have the greatest freedom from serious COVID-19 outcomes, largely because they've already had the respiratory illness.
[01:48:43.697 --> 01:48:47.079]  It's those who are vaccinated who end up in the hospital or worse.
[01:48:48.159 --> 01:49:05.991]  By the way, these images that you're showing of people sort of, you know, celebrating their injections, it reminds me very much of documentaries you see of Mao's cultural revolution in China.
[01:49:06.251 --> 01:49:16.238]  There's this kind of crazy, neurotic lunacy that is then being celebrated in a mass, almost quasi-religious way.
[01:49:16.478 --> 01:49:17.119]  That's what I was going to say.
[01:49:17.139 --> 01:49:17.559]  It's a cult.
[01:49:18.620 --> 01:49:33.055]  Yeah, the cultural revolution, and then, you know, what's fascinating about the cultural revolution is we now have documents of people who participated in it in a very fervent way, who then kind of snapped out of the trance.
[01:49:34.076 --> 01:49:40.621]  And have now come forward with the testimonial, I don't understand why I participated in it.
[01:49:40.641 --> 01:49:52.931]  And then there's those like Xi Jinping, who helped round up his own family and let them kill his sister, and helped publicly shame his father, and he just went ahead and adapted by becoming the predator himself.
[01:49:54.932 --> 01:49:58.675]  Yeah, if you could, well precisely, well put.
[01:50:00.056 --> 01:50:00.937]  So how do we counter this?
[01:50:02.170 --> 01:50:08.072]  I mean, I think it starts with being aware that you're swimming in this sea of propaganda.
[01:50:08.152 --> 01:50:27.821]   I mean, you know, this may seem like normalcy because the messaging has been so relentless, but once you realize a normal is being created when you turn on the television, quit accepting that that Television is an accurate representation of reality.
[01:50:27.841 --> 01:50:31.005]  You need to start listening to Alex Jones.
[01:50:31.345 --> 01:50:33.989]  All I say is they should question everything we're saying.
[01:50:34.890 --> 01:50:36.532]  We try to give articles and documents.
[01:50:36.592 --> 01:50:37.132]  I make mistakes.
[01:50:37.233 --> 01:50:38.875]  I'm not perfect, but I'm not trying to lie.
[01:50:40.126 --> 01:50:41.446]  But what is the corporate media going to do?
[01:50:41.466 --> 01:50:49.749]  Because the polls show all-time no support, Biden all-time no support, all-time low support for just vaccines in general, even real ones that work.
[01:50:50.209 --> 01:50:52.270]  This is discrediting the entire medical system.
[01:50:52.290 --> 01:51:00.793]   I remember a year and a half ago, the British Ministry of Health warned If this hurts people, this is going to set back vaccines a hundred years.
[01:51:00.813 --> 01:51:01.874]  No one's going to believe us.
[01:51:01.934 --> 01:51:05.055]  Well, what they've done is really discredit themselves, in my view.
[01:51:05.495 --> 01:51:06.436]  It certainly is true.
[01:51:06.476 --> 01:51:12.279]  And one of the things that we've done, we've presented so much information, Alex, you and I together, in so many different ways.
[01:51:12.739 --> 01:51:17.181]  One of the things we've done that's unique in this book is that we've told a story.
[01:51:17.261 --> 01:51:22.984]  We've actually told it in a narrative format where there's a beginning, there's a middle, and the end.
[01:51:23.624 --> 01:51:28.107]  And as John will tell you, that's how the human mind understands complex realities.
[01:51:29.008 --> 01:51:40.035]  Yeah, well, I think we're accustomed to seeing figures of public authority and they're sort of talking in these somber academic tones about the data.
[01:51:40.476 --> 01:51:55.986]   What our book shows, I think, when I ask readers, you know, for their feedback, they really like the chapters about ordinary guys and their families who get sick And some of them, some of the stories we tell are the success stories.
[01:51:56.347 --> 01:52:05.393]  They found doctors like McCullough and his colleagues who were very proactive in treating, and a lot of these people were really pulled back from a terrible emergency.
[01:52:05.453 --> 01:52:16.541]  Then I tell the other side, the tragic side, where in spite of the desperate pleadings of their family members, treatment is denied to the end.
[01:52:17.141 --> 01:52:18.843]  And this isn't fiction, this really happened.
[01:52:19.523 --> 01:52:37.250]  It really happened, and what a lot of people, including attorneys with whom I've spoken, you know, advocates for families, is that even seasoned attorneys, there is a lady named Beth Parlato who was a criminal court judge in New York State.
[01:52:37.950 --> 01:52:51.788]  She said, you know, as a matter of fact and law, it's impenetrable to me that some of these treatment modalities that seem to work, that the hospitals have fought tooth and nail... Finish that story when we come back.
[01:52:51.828 --> 01:52:52.769]  The break snuck up on us.
[01:52:52.809 --> 01:52:53.170]  Stay there.
[01:52:55.575 --> 01:52:57.336]  And Dr. Peter McCullough and John Leake.
[01:52:57.897 --> 01:53:03.681]  He's a best-selling true crime author that has reverse-engineered their operations.
[01:53:03.821 --> 01:53:06.523]  And you guys are knocking it out of the park, describing what really went on.
[01:53:06.543 --> 01:53:13.849]  If you want to get more into the propaganda, we're also going to talk some about Bill Gates predicting the smallpox monkeypox, and so much more.
[01:53:15.046 --> 01:53:26.691]  You know, I can tell you that we've never had so much news regarding microbial threats to the human population, and one can only surmise that so much of this is contrived.
[01:53:27.611 --> 01:53:40.717]  There's a lot of hype, and as you said earlier, John, it's a PR sales campaign, so when you see a PR sales campaign for, like, the new Mustang, you know the new Mustang's coming out, or the new Tesla, and they're just telling you, the new thing's coming, we're gonna take all your rides, we're gonna save you.
[01:53:41.417 --> 01:53:53.168]  Yeah, you know they call it, a funny friend of ours out in Utah said the other day, they call it Operation Warp Speed, it's actually Operation Warp Spend.
[01:53:54.048 --> 01:53:55.270]  It's Warp Spend.
[01:53:55.390 --> 01:54:03.950]   So public health crisis, mass fear, everybody's terrified, oh my goodness, we'll do anything
[01:54:03.950 --> 01:54:10.569]   we can to, any kind of, no matter how much it costs, get out the checkbook, start printing.
[01:54:10.569 --> 01:54:18.690]   So it triggers, like the financial crisis in '08, it triggers a flood of money purportedly
[01:54:18.690 --> 01:54:20.650]  to deal with the emergency.
[01:54:20.627 --> 01:54:24.970]  So that, what happens is... How many trillions extra got issued by the major governments?
[01:54:25.590 --> 01:54:26.651]  Has anybody, have you quantified?
[01:54:26.671 --> 01:54:27.191]  I haven't done it.
[01:54:27.491 --> 01:54:29.692]  How many trillions got issued worldwide by different governments?
[01:54:30.252 --> 01:54:38.377]  So the CARES Act of March 26, 2020 created overnight 10% of the U.S.
[01:54:38.417 --> 01:54:38.977]  GDP.
[01:54:39.297 --> 01:54:40.598]  Just like that.
[01:54:40.678 --> 01:54:43.880]  Just with a click of a... I wonder why we have inflation.
[01:54:44.665 --> 01:54:47.369]  Right, but just think of the bonanza though.
[01:54:47.810 --> 01:54:58.966]  If you are positioned as these guys were, because they'd been working on the planning of this, publishing their prospectus... They're in control of the world medical response!
[01:54:59.787 --> 01:55:00.167]  Correct.
[01:55:00.487 --> 01:55:09.152]  So all of this money, you have then positioned your nets, you're like a fisherman who's ready for the school to swim right in your nets.
[01:55:09.432 --> 01:55:18.837]  So, they got away with this, and here we have the same guys, the usual suspects, they're at it again with monkey pox.
[01:55:19.963 --> 01:55:20.423]  Here we go.
[01:55:20.764 --> 01:55:23.065]  You know, the news just popped.
[01:55:23.305 --> 01:55:38.857]  Monkeypox, an orthopoxvirus that is in the same family as smallpox, causes a pustular type of illness, a skin-based illness, very little respiratory component, and it's from animals to humans.
[01:55:39.157 --> 01:55:43.040]  There's been, over the last half century, several hundred cases.
[01:55:43.080 --> 01:55:44.080]  Listen to this, Alex.
[01:55:44.341 --> 01:55:44.681]  700 cases.
[01:55:45.261 --> 01:55:56.630]   Since there's a case in the United States, the announcement was, 13 million doses of a pre-manufactured live attenuated vaccine for monkeypox.
[01:55:58.410 --> 01:56:00.491]  Boy, they sure guessed right on that.
[01:56:00.691 --> 01:56:03.812]  That's a hyperbolic response.
[01:56:03.872 --> 01:56:12.016]  Can you imagine the company that hasn't had any sales on their monkeypox vaccine getting an infusion of millions of dollars of cash?
[01:56:12.276 --> 01:56:25.484]   And it's interesting, in a paper in the New England Journal of Medicine by Grossenbeck and colleagues, when they studied An oral drug that we also have for monkeypox called atezovirumac, also known as T-pox.
[01:56:25.784 --> 01:56:42.637]  When T-pox was studied in the introduction to that paper, it was stated a single case of smallpox would be a worldwide crisis because of this charged fear that the pox viruses were going to be specifically used for bioterrorism.
[01:56:43.237 --> 01:56:44.458]  And there's Gates hyping it.
[01:56:44.478 --> 01:56:52.544]  In fact, let's play the clip of Bill Gates last year saying, this is coming, there's going to be a bigger attack, something like the pox virus, and now it's happened.
