[00:00.000 --> 00:07.000]  Ladies and gentlemen, thank you so much for joining us today.
[2:16:52.000 --> 2:16:57.000]  The fight is my fight. It's your fight. It's our fight. God bless you all.
[2:16:57.000 --> 2:17:04.000]  Ladies and gentlemen, the biggest sale of 2022 is now live at infowarstore.com.
[2:17:04.000 --> 2:17:10.000]  It's the Info War Store Super Sale. 40 to 50% off all products in the store.
[2:17:10.000 --> 2:17:15.000]  Survival Shield X3 sold out for almost six months. Back in stock, 50% off.
[2:17:15.000 --> 2:17:21.000]  Brain Force Ultra back in stock, 50% off. Brain Force Plus back in stock, 50% off.
[2:17:21.000 --> 2:17:27.000]  DNA Force Plus back in stock, 50% off. Physic Magnesium, both of the highest quality types of Magnesium.
[2:17:27.000 --> 2:17:32.000]  Nobody else has got that. 50% off. Organic Greens Fiber Caps, highest quality, 50% off.
[2:17:32.000 --> 2:17:37.000]  Super Mill Vitality, Field Vitality, 50% off. Ultimate Creole, back in stock, 40% off.
[2:17:37.000 --> 2:17:40.000]  Knockout Sleep Support, 40% off. It goes on and on.
[2:17:40.000 --> 2:17:46.000]  Vitamin D3 Gummies, 40% off. Vasalobics, 40% off. Ultimate Fissure Oil, 40% off.
[2:17:46.000 --> 2:17:51.000]  You need to do this for your immune system this fall and winter, plus it funds the Info War.
[2:17:51.000 --> 2:17:55.000]  Thank you for your support. The only way you lose is not going to infowarstore.com
[2:17:55.000 --> 2:17:58.000]  and getting 40 to 50% off on all these amazing products.
[2:17:58.000 --> 2:18:04.000]  The biggest sale of 2022 is now live exclusively at infowarstore.com.
[2:18:04.000 --> 2:18:09.000]  The Info War Store Super Sale is now live. 40 to 50% off.
[2:18:09.000 --> 2:18:15.000]  Bare minimum, 40% off. Many of the products, 50% off at infowarstore.com.
[2:18:15.000 --> 2:18:18.000]  The only thing of all these incredible products is X3.
[2:18:18.000 --> 2:18:22.000]  All three of the very best types of iodine that are natural and pure,
[2:18:22.000 --> 2:18:25.000]  that actually get into your cells, are in X3.
[2:18:25.000 --> 2:18:30.000]  The Deep Earth Crystal iodine and two other types to maximize full absorption.
[2:18:30.000 --> 2:18:32.000]  This really is the missing link.
[2:18:32.000 --> 2:18:39.000]  X3 sold out for a long time, is finally back in stock, available at infowarstore.com
[2:18:39.000 --> 2:18:43.000]  or by calling toll free, triple A, 253-3139.
[2:18:43.000 --> 2:18:47.000]  Now it takes a few weeks for this high quality iodine to kick in,
[2:18:47.000 --> 2:18:50.000]  but almost everybody after that feels the effects.
[2:18:50.000 --> 2:18:54.000]  It's not just for your immune system, but it's for your energy and so much more.
[2:18:54.000 --> 2:18:58.000]  X3 back in stock at infowarstore.com, 50% off.
[2:18:58.000 --> 2:19:01.000]  The biggest sale of 2022 is now live.
[2:19:01.000 --> 2:19:05.000]  It's only running in the last week of September and the first week of October.
[2:19:05.000 --> 2:19:09.000]  Dozens of our best selling products are finally back in stock
[2:19:09.000 --> 2:19:12.000]  and they're 40 to 50% off across the board.
[2:19:12.000 --> 2:19:16.000]  And the most important of them all is Survival Shield X3.
[2:19:16.000 --> 2:19:21.000]  All three types of the very best iodine documented to not just boost your libido,
[2:19:21.000 --> 2:19:24.000]  your stamina, your health, your energy, your cells, your immune system,
[2:19:24.000 --> 2:19:27.000]  but to overall give you more energy.
[2:19:27.000 --> 2:19:31.000]  It's the foundation of everything from energy to fertility.
[2:19:31.000 --> 2:19:37.000]  X3, 50% off, is finally back in stock exclusively at infowarstore.com.
[2:19:37.000 --> 2:19:39.000]  You've heard the callers, you've seen the rave reviews,
[2:19:39.000 --> 2:19:45.000]  now experience X3 for yourself exclusively at infowarstore.com, 50% off.
[2:19:45.000 --> 2:19:47.000]  And while you're there, check out some of the other great products
[2:19:47.000 --> 2:19:50.000]  that are finally back in stock and massively discounted as well.
[2:19:50.000 --> 2:19:54.000]  Part of the infowarstore super sale running for two weeks only.
[2:19:54.000 --> 2:20:09.000]  Again, X3 back in stock, 50% off.
[2:20:25.000 --> 2:20:27.000]  We're covering the Brazilian elections and, you know,
[2:20:27.000 --> 2:20:33.000]  just to kind of reemphasize here, so many similarities between the 2020 US elections
[2:20:33.000 --> 2:20:38.000]  and the last election between Bolsonaro and Lula,
[2:20:38.000 --> 2:20:41.000]  which is going to be a runoff on October 30th.
[2:20:41.000 --> 2:20:44.000]  But you know, actually Alan, I mean,
[2:20:44.000 --> 2:20:48.000]  Bolsonaro's rallies were probably bigger than Trump's.
[2:20:48.000 --> 2:20:50.000]  I mean, if we're being perfectly honest, I mean,
[2:20:50.000 --> 2:20:56.000]  Bolsonaro had rallies that were, looked like 50, 60, hundreds of thousands of people showing up.
[2:20:56.000 --> 2:21:01.000]  And as you said, Lula couldn't even have rallies because nobody would show up.
[2:21:01.000 --> 2:21:03.000]  And so where are all these voters coming from?
[2:21:03.000 --> 2:21:05.000]  Again, I talked to some of my friends in Brazil,
[2:21:05.000 --> 2:21:07.000]  some of them like Bolsonaro, they don't trust the results.
[2:21:07.000 --> 2:21:12.000]  The others that don't like Bolsonaro or Lula that are on the liberal side of the aisle,
[2:21:12.000 --> 2:21:15.000]  they were voting for some of the down ticket candidates.
[2:21:15.000 --> 2:21:17.000]  But they don't want to question elections, you know,
[2:21:17.000 --> 2:21:19.000]  because they don't want to think that that might be what's going on,
[2:21:19.000 --> 2:21:23.000]  but they're a little skeptical knowing that Lula is a convicted criminal.
[2:21:23.000 --> 2:21:27.000]  And so getting back to where we left off, I mean,
[2:21:27.000 --> 2:21:30.000]  Bolsonaro is basically in a position now where,
[2:21:30.000 --> 2:21:35.000]  unless he's had some sort of a plan prior to this going down,
[2:21:35.000 --> 2:21:40.000]  they're just going to call him a military strongman or a dictator or anything
[2:21:40.000 --> 2:21:43.000]  if he, you know, he tries to deny the results or say that there was fraud,
[2:21:43.000 --> 2:21:48.000]  just like they did to Trump, and then they'll go after him with as much charges as they possibly can.
[2:21:48.000 --> 2:21:52.000]  I mean, how do you see this playing out?
[2:21:52.000 --> 2:22:01.000]  As I told you before, there is a parallel conning votes that the armed force are doing
[2:22:01.000 --> 2:22:07.000]  because they said if they couldn't have a clear and honest election,
[2:22:07.000 --> 2:22:11.000]  that could be a national security affairs.
[2:22:11.000 --> 2:22:19.000]  So that was written by the Defense Secretary of Defense in Brazil months before the election.
[2:22:19.000 --> 2:22:24.000]  So now we are waiting for these results and probably,
[2:22:24.000 --> 2:22:28.000]  or Bolsonaro has everything under control,
[2:22:28.000 --> 2:22:36.000]  or we're going to have Lula da Silva region this election clearly in front of everyone,
[2:22:36.000 --> 2:22:38.000]  in front of our nose.
[2:22:38.000 --> 2:22:47.000]  I do believe it's dangerous trust that you can redo something after the Communist taking power.
[2:22:47.000 --> 2:22:53.000]  Like here in America, you have the best laws and regiments, everything.
[2:22:53.000 --> 2:22:58.000]  I mean, the structure of the United States is way better than our,
[2:22:58.000 --> 2:23:01.000]  for example, constitutional structure, you know?
[2:23:01.000 --> 2:23:06.000]  So we do not have as many tools as you have here in the United States,
[2:23:06.000 --> 2:23:11.000]  and even United States couldn't redo this rigid election.
[2:23:11.000 --> 2:23:22.000]  So I'm afraid to say that I don't believe it's possible to redo these results once you accept the rigid election.
[2:23:22.000 --> 2:23:30.000]  And these phenomena that people are afraid to say it was fraud, that was rigid.
[2:23:30.000 --> 2:23:33.000]  It's happening in Brazil right now.
[2:23:33.000 --> 2:23:37.000]  I saw this here in the United States with my own eyes.
[2:23:37.000 --> 2:23:44.000]  Everyone knew that a lot of people were afraid to say that truly and honestly,
[2:23:44.000 --> 2:23:49.000]  or because they could lose likes and share or money, I don't know.
[2:23:49.000 --> 2:23:52.000]  But they were afraid to say the truth.
[2:23:52.000 --> 2:23:58.000]  Just few people said that Infowars was one of them.
[2:23:58.000 --> 2:24:00.000]  That's what is happening right now in Brazil.
[2:24:00.000 --> 2:24:09.000]  People are afraid to say the obvious because it was a shameful, I'm sorry, shameless, rigid election.
[2:24:09.000 --> 2:24:12.000]  They are not ashamed what they are doing.
[2:24:12.000 --> 2:24:15.000]  This is what communism does.
[2:24:15.000 --> 2:24:21.000]  They are not afraid to do whatever they want, whatever it takes to take the country back.
[2:24:21.000 --> 2:24:32.000]  And there is a plan in South America to unite somehow Argentina, Bolivia, Chile, Brazil, Colombia,
[2:24:32.000 --> 2:24:42.000]  all these countries together with the drug dealers in Cuba to be a place, a paradise for China.
[2:24:42.000 --> 2:24:45.000]  This is very clear for everyone in Brazil.
[2:24:45.000 --> 2:24:49.000]  If the person did not see that, it's not seen the reality.
[2:24:49.000 --> 2:24:56.000]  And sometimes they think it's possible to fight against this criminal following the rules.
[2:24:56.000 --> 2:25:04.000]  You can't because they create every new rule, in a sense, while they are losing the game.
[2:25:04.000 --> 2:25:07.000]  You can't trust them at all.
[2:25:07.000 --> 2:25:14.000]  How can you trust they will count the votes correctly in the second round if they already rigid the first round?
[2:25:14.000 --> 2:25:26.000]  I'm afraid that we cannot redo this situation unless the army will show up with the parallel results of the election.
[2:25:26.000 --> 2:25:28.000]  And I see them on the screen.
[2:25:28.000 --> 2:25:33.000]  Lula was probably the biggest event they just had on the screen, a couple thousand people.
[2:25:33.000 --> 2:25:39.000]  And it's all people clad in red, and this theme color is red, like the Chinese flag.
[2:25:39.000 --> 2:25:46.000]  But you look at the Bolsonaro rallies, it's just hundreds of thousands of people, yellow and green, waving their Brazilian flags.
[2:25:46.000 --> 2:25:48.000]  The optics there are incredible.
[2:25:48.000 --> 2:25:51.000]  Now, I'm not as familiar with the military situation in Brazil.
[2:25:51.000 --> 2:25:55.000]  I've got a bit of an idea, but correct me if I'm wrong here.
[2:25:55.000 --> 2:25:59.000]  Trump had military sabotage.
[2:25:59.000 --> 2:26:03.000]  Trump had top military generals and stuff sabotaging him the whole time.
[2:26:03.000 --> 2:26:09.000]  It's my understanding the Brazilian military is actually really behind Bolsonaro.
[2:26:09.000 --> 2:26:11.000]  I mean, he was a member of the military himself.
[2:26:11.000 --> 2:26:16.000]  Is that a correct analogy that the military is really strongly behind Bolsonaro?
[2:26:16.000 --> 2:26:20.000]  I'd better say they are really constitutional defenders.
[2:26:20.000 --> 2:26:27.000]  They don't take sides politically, but they know what the enemy is and what the enemy is going to do.
[2:26:27.000 --> 2:26:37.000]  The situation of the Brazilian army is different than Venezuela, for example, where Chaves kind of bought them all.
[2:26:37.000 --> 2:26:45.000]  We're not nominating them to some places they would like to go.
[2:26:45.000 --> 2:26:51.000]  But in Brazil it's different, and I do believe they're going to defend the constitution.
[2:26:51.000 --> 2:26:58.000]  The only one problem that I see is how clear is the situation for them.
[2:26:58.000 --> 2:27:05.000]  I don't know if they think it's possible to change things, not arresting these criminals.
[2:27:05.000 --> 2:27:13.000]  They let a lot of things happen already, but I do not believe this is because they do not want to defend Brazil.
[2:27:13.000 --> 2:27:16.000]  And they do not want to defend the constitution.
[2:27:16.000 --> 2:27:26.000]  The problem is once you have no, how can I say that? It's hard for me in English, but once you do not understand very well how this enemy operates,
