[00:00:00.229 --> 00:00:02.590]  Biden in Syracuse yesterday.
[01:48:38.556 --> 01:48:52.939]  When certain obstructionists become too irritating, label them, after suitable build-ups, as fascist, or Nazi, or anti-semitic, and use the prestige of anti-fascist and tolerance organizations to discredit them.
[01:48:53.759 --> 01:49:00.320]  In the public mind, constantly associate those who oppose us with those names which already have a bad smell.
[01:49:01.080 --> 01:49:06.021]  The association will, after enough repetition, become fact in the public mind.
[01:49:09.284 --> 01:49:12.307]  And that is exactly where we are today.
[01:49:13.648 --> 01:49:19.927]   and they know they need to cut you off from God to be purely evil, so there's no way you could ever
[01:49:19.927 --> 01:49:22.208]  turn back to the Holy Spirit and get out of their cult.
[01:49:22.208 --> 01:49:26.567]   So the entrance pass, the ticket, is to have sex with small children,
[01:49:26.567 --> 01:49:29.887]   or cut their balls off, cut their genitals off, cut their breasts off.
[01:49:29.887 --> 01:49:33.987]   Like, "Oh, you don't wanna screw kids, "at least mutilate 'em, give 'em poison drugs,
[01:49:33.987 --> 01:49:38.487]   "have 'em inducted into a group to cut their genitals off "so they can't have children.
[01:49:38.487 --> 01:49:44.667]   "Let us murder their genetic potential "and murder their future, and then we'll let you in the
[01:49:44.667 --> 01:49:44.728]  cult."
[01:49:44.728 --> 01:49:47.168]  And once you understand that, you'll understand it all.
[01:49:47.168 --> 01:49:53.748]   So I'm gonna play a clip that I played yesterday when we come back, and then the new clips,
[01:49:53.748 --> 01:50:00.288]   where I said, "Hey, at least Paul Pelosi was having, "you know, weird S&M sex with a man."
[01:50:00.863 --> 01:50:01.824]  There were no kids there.
[01:50:03.505 --> 01:50:08.790]  The police report, 9-1-1 tape, they go in, draw guns, they're beating each other with hammers in their underwear in a bedroom.
[01:50:09.050 --> 01:50:09.751]  That's what really happened.
[01:50:10.972 --> 01:50:11.632]  Got a little out of hand.
[01:50:11.652 --> 01:50:15.535]  I said, well, at least there wasn't a kid involved.
[01:50:17.097 --> 01:50:17.777]  Oh, sorry.
[01:50:19.528 --> 01:50:21.110]  Unknown person opened the door.
[01:50:21.390 --> 01:50:22.631]  Unknown person let them in.
[01:50:23.992 --> 01:50:25.193]  Who's the unknown person?
[01:50:25.694 --> 01:50:35.283]  Well, Paul Pelosi's attacker, nudist ex-lover, is pedophile who bought sex dolls for their sons and is in jail for raping children.
[01:50:36.944 --> 01:50:43.511]  So, the police show up late last week at one of the Pelosi compounds in San Francisco.
[01:50:45.072 --> 01:50:47.634]  And they suppress what really went on there.
[01:50:47.675 --> 01:50:52.499]  We're told a Trump supporter, hours after it happened, broke in and said, where's Nancy and did all this.
[01:50:53.159 --> 01:50:56.903]  But then we have the 9-1-1 tape already aired a couple times.
[01:50:56.943 --> 01:50:57.704]  We're not going to air it again.
[01:50:58.504 --> 01:51:00.446]  And the police are like, we told he knows him.
[01:51:00.466 --> 01:51:01.107]  His name is David.
[01:51:01.127 --> 01:51:01.687]  He's a friend.
[01:51:02.348 --> 01:51:03.128]  They're in the bedroom.
[01:51:03.148 --> 01:51:09.234]  They're in their underwear with hammers beating each other when the police come in.
[01:51:09.314 --> 01:51:11.376]  That's the police report, the police press conference.
[01:51:12.702 --> 01:51:15.563]  So, two dudes in a bedroom in their underwear beating each other with hammers.
[01:51:15.643 --> 01:51:15.923]  Okay.
[01:51:16.864 --> 01:51:18.525]  An unknown person let them in.
[01:51:19.265 --> 01:51:20.405]  They won't say who that person is.
[01:51:23.427 --> 01:51:28.249]  And then they go into overdrive to demonize anybody, threaten to sue anybody that talks about it, but it's too late now.
[01:51:29.069 --> 01:51:30.910]  Just like with the Hunter Biden laptop and the rest of it.
[01:51:32.391 --> 01:51:36.192]  So I said on the Sunday show last night, I said, well, at least no children were involved.
[01:51:38.013 --> 01:52:02.132]   Well, Paul Pelosi's attacker, nudist ex-lubber, Who the media talked to and got involved, who he lived with for a decade, is a pedophile who ran porn sites, all sorts of weird stuff, all sorts of psychedelic institutes, and who got arrested for stalking and trying to sexually pick up 14-year-old boys and bought sex dolls for their sons to use.
[01:52:04.832 --> 01:52:11.034]  That's David DePapa's progressive lover.
[01:52:13.254 --> 01:52:17.735]  So that's who he was set in the records as living with.
[01:52:18.335 --> 01:52:19.256]  You gotta look into this.
[01:52:20.856 --> 01:52:24.057]  But it's just par for the course with these people.
[01:52:24.077 --> 01:52:30.979]  But don't worry, Rob Reiner claims Trump directly responsible for attack on Paul Pelosi calls for indictment.
[01:52:33.900 --> 01:52:36.300]  They're calling for Elon Musk to be arrested for questioning what's happening.
[01:52:36.320 --> 01:52:37.141]  That's the left now.
[01:52:37.161 --> 01:52:40.021]  They go, just like Alex Jones, sue him or arrest him.
[01:52:40.462 --> 01:52:41.762]  You can't question anything we're doing.
[01:52:43.766 --> 01:52:50.108]  And this guy is in all these photos and videos at nudist colonies where children are.
[01:52:53.149 --> 01:52:54.549]  What a group of creeps.
[01:52:56.350 --> 01:53:01.792]  And as I've said over and over again, the big bad wolf doesn't come at the little kid as a big bad wolf.
[01:53:01.852 --> 01:53:05.353]  In that parable, children were always taught to not get molested or assaulted or raped or killed.
[01:53:06.377 --> 01:53:07.457]  He dresses up like grandma.
[01:53:08.138 --> 01:53:14.079]  The serial killer pedophile dresses like a woman in the famous European archetype.
[01:53:17.320 --> 01:53:31.985]  And we got all these videos in Europe, UK, US, Canada, Australia, it's the same cult, of men dressed up like women going after children at playgrounds as their disguise.
[01:53:32.465 --> 01:53:34.586]  Or now the new thing is as babies.
[01:53:36.021 --> 01:53:36.781]  So here's footage.
[01:53:36.821 --> 01:53:43.205]  Grown man who identifies as a baby gets kicked out of a children's park approaching children.
[01:53:43.225 --> 01:53:48.547]  I'm going to play this clip because that's how they dress as women or they dress as children.
[01:53:50.468 --> 01:53:53.670]  And the argument by the left is, well, if you identify as a child, well, you can be a child.
[01:53:54.010 --> 01:54:00.013]  And you heard the head of Spain's cultural federal agency say, well, children should have sex with adults.
[01:54:00.033 --> 01:54:00.593]  It's a good thing.
[01:54:01.134 --> 01:54:01.914]  Played that a month ago.
[01:54:02.274 --> 01:54:05.616]  So this is a pedophile cult that wants our children.
[01:54:07.329 --> 01:54:14.595]  But the wolf likes to dress up like a child or like a woman so they're not as threatening to the little girls and boys.
[01:54:14.916 --> 01:54:18.916]   So here's the footage grown man who identifies as a baby gets kicked out of Children's Park.
[01:54:18.916 --> 01:54:32.916]  Wearing a diaper and a onesie.
[01:54:32.916 --> 01:54:35.916]  But if you can, why not?
[01:54:35.916 --> 01:54:45.916]  [BLANK_AUDIO]
[01:54:37.386 --> 01:54:38.047]  This is in the UK.
[01:54:38.087 --> 01:54:41.650]  And they're told this is their identity.
[01:54:41.670 --> 01:54:42.590]  This is who they are.
[01:54:42.851 --> 01:54:44.272]  That's what this is all about.
[01:54:44.112 --> 01:54:52.471]  [BLANK_AUDIO]
[01:54:52.471 --> 01:54:54.112]  And they're told this is their identity.
[01:54:54.112 --> 01:54:56.391]  This is who they are.
[01:54:56.391 --> 01:54:59.431]  That's what this is all about.
[01:54:59.431 --> 01:55:06.112]   But this guy is less of a threat than the school teachers giving bounties, and
[01:55:06.112 --> 01:55:07.391]  the school nurses giving bounties.
[01:55:07.751 --> 01:55:13.974]  If they convince your seven-year-old or five-year-old to get on the fast track to having their breasts or genitals cut off, then it's liberal and loving.
[01:55:15.035 --> 01:55:22.079]  Here's Laura Logan talking about why they're really coming after our children and why they're obsessed with hurting children, period.
[01:55:22.379 --> 01:55:23.059]  That's their goal.
[01:55:23.099 --> 01:55:23.480]  Here it is.
[01:55:24.420 --> 01:55:30.844]  Because one of the things I asked him is I said, I don't, I get it, but I don't get it.
[01:55:31.607 --> 01:55:33.748]  The children.
[01:55:33.908 --> 01:55:36.310]  I still have such a problem with this.
[01:55:36.710 --> 01:55:38.311]  You've got to explain this one to me.
[01:55:38.751 --> 01:55:42.634]  And he said, well, first of all, you're looking at it the wrong way.
[01:55:43.214 --> 01:55:44.015]  I said, what do you mean?
[01:55:44.295 --> 01:55:47.917]  And he said, well, they don't define children the way you do.
[01:55:48.077 --> 01:55:49.718]  They don't define the world the way you do.
[01:55:49.758 --> 01:55:54.261]  The choices that you face are not their choices.
[01:55:54.301 --> 01:55:55.862]  They look at it completely differently.
[01:55:58.010 --> 01:56:00.231]  And I said, well, okay, so how do they look at it?
[01:56:00.391 --> 01:56:07.775]  And he said, for them, everything is defined by their one fundamental, all-consuming purpose.
[01:56:08.716 --> 01:56:09.876]  I said, which is what?
[01:56:09.956 --> 01:56:12.437]  He said, to defeat God.
[01:56:13.218 --> 01:56:13.458]  Right?
[01:56:14.018 --> 01:56:18.501]  Because this is the moment, I mean, for them, it's about the real God.
[01:56:18.981 --> 01:56:23.143]  The true gods are them and Satan.
[01:56:23.243 --> 01:56:24.184]  They're, right?
[01:56:24.724 --> 01:56:33.666]   And so he said, Children are the closest thing on earth to God, because we are created in the image of God.
[01:56:34.146 --> 01:56:42.272]  And as you know, from the moment we're created, we haven't had time to, you know, to be corrupted and destroyed.
[01:56:42.852 --> 01:56:53.069]   So for them, the younger you are, the closer you are to God, the more pain They can inflict on God.
[01:56:53.429 --> 01:57:00.151]  So the more you can make a baby or a small child suffer, the greater your victory over God.
[01:57:00.851 --> 01:57:03.331]  And that is the only consideration for them.
[01:57:03.992 --> 01:57:05.472]  Outside of that doesn't exist.
[01:57:05.972 --> 01:57:12.513]  And that's why Auntie becomes out-armed when little kids are brought in to give money, in many cases, to convicted pedophiles that steal their laps.
[01:57:12.613 --> 01:57:14.714]  It's a ritual of abomination.
[01:57:14.734 --> 01:57:16.394]  The full video is on InfoWars.com.
[01:57:16.834 --> 01:57:18.895]  Auntie Grimmer activist assaulted when he crashes.
[01:57:18.915 --> 01:57:20.795]  Drag queen pedophile time.
[01:57:24.623 --> 01:58:07.117]   *Outro* [crowd noise]
[01:58:07.117 --> 01:58:10.315]  That's Matt Baker, the great patriot of San Diego.
[01:58:11.103 --> 01:58:12.825]  Now they start assaulting him and shoving him out.
[01:58:13.566 --> 01:58:19.471]  As they have a stage, an offering to the God, a man dresses a woman with children giving him offerings.
[01:58:22.754 --> 01:58:26.298]  These people are unbelievably evil.
[01:58:30.552 --> 01:58:31.632]  Yeah, what about history speech?
[01:58:31.652 --> 01:58:35.113]  We need these grown men that are there being part of this.
[01:58:35.553 --> 01:58:36.934]  We know where the evil's at.
[01:58:36.974 --> 01:58:38.894]  It's at these events, folks.
[01:58:38.934 --> 01:58:39.635]  Don't be violent.
[01:58:39.995 --> 01:58:40.795]  Just expose them.
[01:58:41.515 --> 01:58:42.135]  And don't stop.
[01:58:42.155 --> 01:58:43.216]  We're gonna beat them.
[01:58:43.776 --> 01:58:50.958]  They can't help their hunger to go after innocents and hurt the children.
[01:58:53.643 --> 01:58:55.465]  We'll have him on the show tomorrow.
[01:58:55.585 --> 01:58:55.905]  All right.
[01:58:57.006 --> 01:58:58.187]  Judge Joe Brown's always great.
[01:58:58.207 --> 01:58:59.088]  We had him scheduled.
[01:58:59.188 --> 01:58:59.948]  I don't know what happened.
[01:58:59.988 --> 01:59:01.450]  Maybe confusion on the day.
[01:59:01.510 --> 01:59:02.230]  He'll be with us soon.
[01:59:02.571 --> 01:59:08.115]  But that's okay, because I was kind of happy he was here, but I almost canceled him today because I had all this news to hit.
[01:59:08.135 --> 01:59:09.797]  So when we come back...
