[00:00.000 --> 00:24.120]  It's a helpless feeling.
[2:18:43.960 --> 2:18:48.000]  there that cares about their health and wants to take care of themselves needs to get this
[2:18:48.000 --> 2:18:49.000]  product.
[2:18:49.000 --> 2:18:52.520]  It's also a great gift for friends and family to boost their immune systems as well.
[2:18:52.520 --> 2:18:56.240]  Get yours today at infowarstore.com for 25% off.
[2:18:56.240 --> 2:19:01.360]  It was about 25 years ago that I wanted to expand InfoWars.
[2:19:01.360 --> 2:19:05.600]  I've been on here a couple of years, but I only had money to finance my own simple little
[2:19:05.600 --> 2:19:06.600]  local radio show.
[2:19:06.600 --> 2:19:10.280]  I wanted to hire camera people, I wanted to make films, I wanted to really challenge
[2:19:10.280 --> 2:19:11.280]  the globalist.
[2:19:11.280 --> 2:19:16.640]  And it was a t-shirt I designed the first one, MassMurderers Agreed Gun Control Works,
[2:19:16.640 --> 2:19:20.240]  that helped us finance hiring the first two members of my crew.
[2:19:20.240 --> 2:19:22.600]  That's our oldest design that we're still selling.
[2:19:22.600 --> 2:19:27.400]  We have that design over 100 others that will now all be limited editions, because whatever
[2:19:27.400 --> 2:19:32.480]  stock we've got in, that's it, we're selling everything out to find the operation to get
[2:19:32.480 --> 2:19:33.480]  rid of inventory.
[2:19:33.480 --> 2:19:36.880]  We'll still have some t-shirts in the future, they'll just be limited editions and short
[2:19:36.880 --> 2:19:41.240]  runs, so if you want to get any of these historic shirts, this is your last chance.
[2:19:41.240 --> 2:19:46.400]  Everyone almost forgot, we're selling them all at cost at infowarstore.com.
[2:19:46.400 --> 2:19:52.040]  Every ball cap, every flag, every hoodie, every long sleeve, every t-shirt, regular shirts,
[2:19:52.040 --> 2:19:59.120]  designer shirts, they're all selling at cost, infowarstore.com.
[2:19:59.120 --> 2:20:26.120]  Getting a frontal assault on the lies of the New World Order, it's Alex Jones.
[2:20:26.120 --> 2:20:30.800]  That's what Americans do now, they're always willing to trade away a little of their freedom
[2:20:30.800 --> 2:20:34.920]  in exchange for the feeling, the illusion of security.
[2:20:34.920 --> 2:20:41.240]  What we have now is a completely neurotic population obsessed with security and safety
[2:20:41.240 --> 2:20:46.120]  and crime and drugs and cleanliness and hygiene and germs.
[2:20:46.120 --> 2:20:48.240]  There's another thing, germs.
[2:20:48.240 --> 2:20:51.600]  Where did this sudden fear of germs come from in this country?
[2:20:51.600 --> 2:20:56.480]  Have you noticed this, the media constantly running stories about all the latest infections,
[2:20:56.480 --> 2:21:02.320]  salmonella, E. coli, hand to virus, bird flu, and Americans are, they panic easily, so now
[2:21:02.320 --> 2:21:06.200]  everybody's running around scrubbing this and spraying that and overcooking their food
[2:21:06.200 --> 2:21:10.680]  and repeatedly washing their hands, trying to avoid all contact with germs.
[2:21:10.680 --> 2:21:15.200]  It's ridiculous and it goes to ridiculous lengths, fear of germs.
[2:21:15.200 --> 2:21:17.600]  Why these f**king f**ksies?
[2:21:17.600 --> 2:21:23.040]  Hey, where's your sense of adventure, take a f**king chance, will you?
[2:21:23.040 --> 2:21:26.720]  Besides, what do you think you have an immune system for?
[2:21:26.720 --> 2:21:33.760]  It's for killing germs, but it needs practice, it needs germs to practice on you.
[2:21:33.760 --> 2:21:42.240]  So, so listen, so listen, if you kill all the germs around you and live a completely
[2:21:42.240 --> 2:21:46.560]  sterile life, then when germs do come along, you're not going to be prepared, and never
[2:21:46.560 --> 2:21:50.840]  mind ordinary germs, what are you going to do when some super virus comes along that
[2:21:50.840 --> 2:21:53.280]  turns your vital organs into liquid s**t?
[2:21:53.280 --> 2:21:57.160]  I'll tell you what you're going to do, you're going to get sick, you're going to die, and
[2:21:57.160 --> 2:22:00.600]  you're going to deserve it because you're f**king weak and you got a f**king weak immune
[2:22:00.600 --> 2:22:01.600]  system.
[2:22:01.600 --> 2:22:10.600]  Now, hey, don't tell me, hey, let me tell you a true story about immunization, okay?
[2:22:10.600 --> 2:22:16.520]  When I was a little boy in New York City in the 1940s, we swam in the Hudson River and
[2:22:16.520 --> 2:22:19.720]  it was filled with raw sewage, okay?
[2:22:19.720 --> 2:22:28.120]  We swam in raw sewage, you know, to cool off, and at that time the big fear was polio, thousands
[2:22:28.120 --> 2:22:32.120]  of kids died from polio every year, but you know something, in my neighborhood, no one
[2:22:32.120 --> 2:22:34.360]  ever got polio, no one ever.
[2:22:34.360 --> 2:22:35.360]  You know why?
[2:22:35.360 --> 2:22:42.080]  Because we swam in raw sewage, it strengthened our immune systems, the polio never had a
[2:22:42.080 --> 2:22:47.080]  prayer, we were tempered in raw s**t.
[2:22:47.080 --> 2:22:52.680]  The studies show that actual immunity is in that human afflux.
[2:22:52.680 --> 2:22:56.440]  All right, we're going to go back to your phone calls, I want to show you a picture
[2:22:56.440 --> 2:22:59.200]  of my daughter, this five now.
[2:22:59.200 --> 2:23:24.000]  Break it up, come here, this is what you're talking about, come on, come on, come on,
[2:23:24.000 --> 2:23:33.880]  come on, come on, come on, come on.
[2:23:33.880 --> 2:23:48.800]  Band, bag, bag, bag, bag, Dad, kid, bottle, bottle, bottle, bottle, bottle, bottle,osi,
[2:23:48.800 --> 2:24:03.140]  This is a photo of my daughter was two years old at the Duck Park feeding ducks and she's
[2:24:03.140 --> 2:24:10.480]  on my shoulders and it's just so archetypal that I'm in bliss and grounded looking at
[2:24:10.480 --> 2:24:17.280]  the ground and then she's on my shoulders the future looking up at infinity smiling
[2:24:17.280 --> 2:24:22.400]  for that future this image counters all their Satanism this is one that he didn't get to
[2:24:22.400 --> 2:24:32.320]  kill this is one that he didn't get we're right on track I ain't looking back
[2:24:32.320 --> 2:24:49.680]  that's why they don't we have children there's a strength you get from knowing you're taking
[2:24:49.680 --> 2:24:54.080]  care of somebody and completing that mission of your ancestors that had you and now you're
[2:24:54.080 --> 2:25:02.080]  deciding you're part of it and you're going forward I saw the light I've been baptized by
[2:25:02.080 --> 2:25:03.520]  the fire in your eyes
[2:25:14.880 --> 2:25:20.640]  satanists don't have a plane you have a plane I see our listeners all the time
[2:25:22.320 --> 2:25:27.840]  I shake your head whether you're black white old young I see that fire in your eye
[2:25:27.840 --> 2:25:40.640]  born to love again I'm a brand new man
[2:25:48.560 --> 2:25:54.880]  you'll never stop us let's jam another call right now let's talk to Dylan in Arizona you're on
[2:25:54.880 --> 2:26:01.760]  here welcome hey Alex can you hear me I love you brother go ahead how are you doing today
[2:26:01.760 --> 2:26:09.440]  I'm on fire brother good yeah I'm a longtime fan of the show uh I wanted to call in and and talk
[2:26:09.440 --> 2:26:14.400]  about the the crackpipes that the biden has been handing out which is public in the bill
[2:26:14.400 --> 2:26:21.600]  going on for six months but they say it doesn't exist you know I uh I kind of you know I wanted
[2:26:21.600 --> 2:26:28.640]  to present a different point of view here for you which is that you know I think I think some
[2:26:28.640 --> 2:26:34.720]  some of it is probably a little bit of a good thing now let me let me explain right you could
[2:26:34.720 --> 2:26:42.720]  go on about the war on the drugs and all that are happening but I do think you know maybe
[2:26:42.720 --> 2:26:47.280]  maybe given some of these people right because we can't you know we can't stop them from doing
[2:26:47.280 --> 2:26:55.040]  crack right but giving them some some resources to help keep themselves clean right or things that
[2:26:55.040 --> 2:27:00.320]  they can use to chew a no no I get needles so you don't get HIV you don't need new crackpipes it
[2:27:00.320 --> 2:27:07.440]  encourages it it normalizes it the CIA put out how to make it it's it's it's it I've thought this out
[2:27:07.440 --> 2:27:12.080]  I'm not disagreeing with you I'm just telling you brother that it's it's a fraud how do you put
[2:27:12.080 --> 2:27:17.920]  somebody in jail for 10 years for crack to give them crack pipes I now I agree with you they
[2:27:17.920 --> 2:27:22.800]  shouldn't be putting people in jail for it they should be helping but I think you know the people
[2:27:22.800 --> 2:27:27.840]  on the ground they can't really do those things right they just have to crack pipe it or they're
[2:27:27.840 --> 2:27:36.400]  you know the resources to help keep themselves safe at least you know nothing coming out of the
[2:27:36.400 --> 2:27:42.480]  Biden administration is to help people and but I understand what you're saying you think it's part
[2:27:42.480 --> 2:27:47.200]  of the decriminalization movement that's a trick why do you think Soros wants everybody to smoke
[2:27:47.200 --> 2:27:51.360]  marijuana I don't want to put you in jail for it but the modern marijuana a lot of the strains
[2:27:51.360 --> 2:27:57.120]  will brain damage you and give you schizophrenia that's on record so it's a complex issue the
[2:27:57.120 --> 2:28:01.040]  point is they're lying and saying they're not shipping out the crack pipes do you understand
[2:28:01.040 --> 2:28:08.800]  that my point oh yeah maybe oh see you're saying that they're they're oh you're saying that they're
[2:28:08.800 --> 2:28:14.480]  shipping out the crack pipes themselves the federal government paid to have crack pipe kits put
[2:28:14.480 --> 2:28:18.960]  together I showed all the documents they admit they did and now sake says they're not so it's
[2:28:18.960 --> 2:28:25.360]  the lying about it oh yeah I don't know why they don't just admit it because they're a lying pack
[2:28:25.360 --> 2:28:32.080]  of enemies God bless you because they don't like the truth because they live a lie their delusional
[2:28:32.080 --> 2:29:01.760]  filth listen to those angels play here at info wars our slogan is tomorrow's news today
[2:29:01.760 --> 2:29:08.480]  whether it's politics or health or spirituality weird about bringing you the very best documented
[2:29:09.280 --> 2:29:14.720]  accurate real world information and when it comes to our supplements they are so game changing for
[2:29:14.720 --> 2:29:21.200]  your body for your health your immunity your libido your middle clarity they're incredible and out of
[2:29:21.200 --> 2:29:28.240]  all the products x2 is definitely the most amazing it is the purest highest quality atomic
[2:29:28.240 --> 2:29:33.840]  iodine you're going to find most other iodine out there is bound to other minerals and compounds
[2:29:33.840 --> 2:29:39.600]  so you don't absorb it at all or fully ladies and gentlemen we got a limited supply and it's
[2:29:39.600 --> 2:29:45.120]  been sold out for months because supply chain right now but despite that we're selling it at 25%
[2:29:45.120 --> 2:29:49.440]  off for one more week then it goes back to full price within two weeks the current sales rate
[2:29:49.440 --> 2:29:56.720]  is going to sell out experience x2 for yourself today at infowarstore.com x2 at infowarstore.com
[2:29:56.720 --> 2:30:01.120]  take action now we have over a hundred designs and t-shirts that just sit there in our warehouse
[2:30:01.120 --> 2:30:06.560]  we need to sell those shirts to fund the operation but we'd already made some orders on future shirts
[2:30:06.560 --> 2:30:09.840]  coming in but these are all limited editions so once these new shirts come in we're going to
[2:30:09.840 --> 2:30:14.240]  sell those and that's it we'll have limited editions one at a time in the future and when
[2:30:14.240 --> 2:30:19.520]  they're gone they're gone well here's the new limited edition shirt this one is 2495 really
[2:30:19.520 --> 2:30:24.720]  nice fabric how it shows us right on the front with a big red lightning bolt on the back info
[2:30:24.720 --> 2:30:28.880]  wars.com you talk about triggering you talk about spreading the word you talk about waking people
[2:30:28.880 --> 2:30:35.280]  up alex jones was right fundraiser shirt we need the funds to operate infowarstore.com alex jones
[2:30:35.280 --> 2:30:40.720]  was right it's a gorgeous shirt we're really proud of it get a piece of history now at infowarstore.com
[2:30:40.720 --> 2:30:45.680]  or by calling toll free triple eight two five three three one three nine again be part of history
[2:30:45.680 --> 2:30:50.960]  support free speech be a maverick be a rebel you can't do that in a better way than wearing an alex
[2:30:50.960 --> 2:30:57.440]  jones was right shirt with info wars.com big on the back available now for limited time infowarstore.com
[2:31:03.680 --> 2:31:06.880]  and we've been getting a lot of crypto donations which is keeping us on here
[2:31:06.880 --> 2:31:09.680]  want to salute all those you know who you are the beginning of the donations
[2:31:09.680 --> 2:31:18.880]  please go to info wars.com forward slash crypto info wars.com forward slash crypto info wars.com
[2:31:18.880 --> 2:31:23.520]  forward slash crypto whether it's a dollar in ethereum or bitcoin or whatever it is whether
[2:31:23.520 --> 2:31:28.480]  it's a thousand dollars or a million dollars we will use it to fight the new world order ethereum
[2:31:28.480 --> 2:31:36.000]  bitcoin xrp litecoin there there's dozens of them there infowarstore.com and by the way
[2:31:36.000 --> 2:31:41.440]  we've got our own nfts at arna scam they're totally badass in total victory coming out next week i'll
[2:31:41.440 --> 2:31:46.960]  tell you about that later but right now info wars.com forward slash crypto the real revolution
[2:31:46.960 --> 2:31:52.560]  is happening now info wars.com forward slash crypto and all of the donated we salute you and thank you
[2:32:00.160 --> 2:32:06.080]  get our great bag of it here i mean this is from people say why is it from Chiapas Mexico the
[2:32:06.080 --> 2:32:11.120]  communists well that's where some of the best coffee in the world that's wild harvested above
[2:32:11.120 --> 2:32:16.320]  organic in the volcanic soil better than watermelon coffee and yeah we buy it from the little farmers
[2:32:16.320 --> 2:32:19.680]  that you know the media calls communists but really they're just a commune and whatever the
