[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[2:24:19.760 --> 2:24:24.960]  moved into the house, sold it to Project Veritas, okay?
[2:24:24.960 --> 2:24:32.560]  But at no point did James O'Keeffe or Project Veritas accuse Joe Biden of anything.
[2:24:32.560 --> 2:24:34.040]  They never talked about it.
[2:24:34.040 --> 2:24:35.040]  Is that clear?
[2:24:35.040 --> 2:24:41.000]  Because I want to point out there was an FBI raid on James O'Keeffe's house and an employee
[2:24:41.000 --> 2:24:48.720]  of Project Veritas, but no accusation was made by Project Veritas about Joe Biden.
[2:24:48.720 --> 2:24:50.880]  And you'll hear the lies sometimes.
[2:24:50.880 --> 2:24:55.040]  Well James, Project Veritas accused Joe Biden.
[2:24:55.040 --> 2:24:56.040]  No they didn't.
[2:24:56.040 --> 2:24:57.040]  Okay?
[2:24:57.040 --> 2:24:58.760]  Does it make sense?
[2:24:58.760 --> 2:25:03.160]  Nobody accused Joe Biden of any of this until we saw the diary when Ashley Biden is the
[2:25:03.160 --> 2:25:06.200]  one that wrote the record.
[2:25:06.200 --> 2:25:07.200]  Right.
[2:25:07.200 --> 2:25:10.560]  And Project Veritas didn't print that story.
[2:25:10.560 --> 2:25:16.600]  Now one of the smears against James O'Keeffe and Project Veritas and you've heard it and
[2:25:16.600 --> 2:25:25.200]  you've heard it about Infowars, Project Veritas is not a journalistic organization according
[2:25:25.200 --> 2:25:29.560]  to the New York Times and Washington Post and so on.
[2:25:29.560 --> 2:25:31.680]  They're an actuous organization.
[2:25:31.680 --> 2:25:32.680]  You've heard that, right?
[2:25:32.680 --> 2:25:33.680]  Yeah.
[2:25:33.680 --> 2:25:39.880]  I mean they always try to slander real journalists like James O'Keeffe.
[2:25:39.880 --> 2:25:47.120]  Now if someone who is not a real journalist got a hold of that diary about 10 days before
[2:25:47.120 --> 2:25:54.560]  the election, an activist, just a partisan activist, what would they have done logically?
[2:25:54.560 --> 2:25:57.200]  They would have gotten that diary out there, right?
[2:25:57.200 --> 2:25:58.200]  Yeah.
[2:25:58.200 --> 2:26:02.960]  And the first, the first I recall of hearing or seeing the diary was Patrick Howley reporting
[2:26:02.960 --> 2:26:06.320]  on it with the national file, but I don't remember, I don't remember the dates of that
[2:26:06.320 --> 2:26:07.320]  reporting.
[2:26:07.320 --> 2:26:09.160]  I don't remember before or after election.
[2:26:09.160 --> 2:26:15.160]  It was before the election and Patrick Howley said in his report, a national file, he was
[2:26:15.160 --> 2:26:22.400]  given a diary by someone with a media organization who's afraid that that media organization,
[2:26:22.400 --> 2:26:28.720]  he's obviously talking about Veritas, he doesn't say it, but in retrospect, the person who
[2:26:28.720 --> 2:26:33.560]  gave it to Patrick thought they weren't going to publish it.
[2:26:33.560 --> 2:26:40.240]  And sure enough, do you know what Project Veritas did when they had this explosive information?
[2:26:40.240 --> 2:26:44.280]  Well, they attempted, they attempted to verify it.
[2:26:44.280 --> 2:26:45.560]  They didn't sit on it.
[2:26:45.560 --> 2:26:50.560]  They actively tried to verify it, but weren't unable to do so.
[2:26:50.560 --> 2:26:55.160]  They wanted confirmation from the, from Ashley Biden.
[2:26:55.160 --> 2:26:56.160]  This is hers.
[2:26:56.160 --> 2:26:57.800]  Does it make sense?
[2:26:57.800 --> 2:26:59.200]  Yes.
[2:26:59.200 --> 2:27:04.560]  That's exactly what a journalistic organization would do.
[2:27:04.560 --> 2:27:14.120]  Now despite that, months later, the Department of Justice, the FEI, did early morning raids
[2:27:14.120 --> 2:27:18.600]  with James O'Keefe and employee of Project Veritas.
[2:27:18.600 --> 2:27:26.280]  They came in with guns, said, put your hands in the air and searched the guy's house and
[2:27:26.280 --> 2:27:29.600]  searched James O'Keefe's house.
[2:27:29.600 --> 2:27:36.120]  This is very dangerous when the FEI is doing this to a journalistic organization that had
[2:27:36.120 --> 2:27:40.160]  made no, no claims about this, right?
[2:27:40.160 --> 2:27:48.640]  Had done nothing wrong and had received property that was not stolen.
[2:27:48.640 --> 2:27:51.200]  But they said in the warrant, it was stolen.
[2:27:51.200 --> 2:27:57.200]  They knew that it was not stolen because they knew how Amy Harris came into possession
[2:27:57.200 --> 2:27:58.200]  of it.
[2:27:58.200 --> 2:28:02.880]  So just think about, forget the shower stuff entirely.
[2:28:02.880 --> 2:28:14.040]  The FEI raided the home of a journalist and a publisher in America who had done nothing
[2:28:14.040 --> 2:28:15.680]  wrong.
[2:28:15.680 --> 2:28:17.680]  We should stop there for a second.
[2:28:17.680 --> 2:28:24.600]  In the light of joining Assange being extradited, the war on journalism, and despite all of
[2:28:24.600 --> 2:28:31.840]  what Alex had been through, this war on journalism, this is a next level point in this.
[2:28:31.840 --> 2:28:36.440]  The FEI coming in, guns blazing, right?
[2:28:36.440 --> 2:28:39.880]  Searching and they took 200,000 pieces.
[2:28:39.880 --> 2:28:41.560]  They searched James O'Keefe's phone.
[2:28:41.560 --> 2:28:45.600]  Well, let me do this because we're about to go to a break because you're onto something
[2:28:45.600 --> 2:28:48.520]  here, I want to continue down this path.
[2:28:48.520 --> 2:28:54.560]  Why did the FBI do that raid and why did it take them a year to do it?
[2:28:54.560 --> 2:28:56.600]  We'll be right back with Lee Strandingham.
[2:28:56.600 --> 2:29:03.200]  There's an old Bedouin saying that's thousands of years old and it goes like this.
[2:29:03.200 --> 2:29:05.600]  Trust in God with tie up your camel.
[2:29:05.600 --> 2:29:08.040]  Hunter S. Thompson put it this way.
[2:29:08.040 --> 2:29:09.960]  Pray to God but row away from the rocks.
[2:29:09.960 --> 2:29:14.320]  If your boat is going towards the rocks, pray to God that you don't get smashed on him and
[2:29:14.320 --> 2:29:16.240]  killed but also try to row away.
[2:29:16.240 --> 2:29:20.360]  You can't just sit there like a jellyfish and it's the same thing with our immune system.
[2:29:20.360 --> 2:29:22.440]  God helps those who help themselves.
[2:29:22.440 --> 2:29:27.400]  We have a lot of amazing products on sale right now at infowarstore.com like the ultimate
[2:29:27.400 --> 2:29:33.120]  immune support pack, our four best selling products together at 60% off.
[2:29:33.120 --> 2:29:38.120]  We have the Traffecta Special, three of the best selling items for 50% off and X2 sold
[2:29:38.120 --> 2:29:43.360]  out so important for your immune system back in stock for 40% off for a limited time because
[2:29:43.360 --> 2:29:44.360]  you have limited supplies.
[2:29:44.360 --> 2:29:50.320]  In fact, one of these items we only have 2,000 bottles of so the ultimate sale will probably
[2:29:50.320 --> 2:29:51.840]  be over just a few days.
[2:29:51.840 --> 2:29:55.240]  Take advantage of this and boost your immune system now and protect yourself and your family
[2:29:55.240 --> 2:29:56.240]  at infowarstore.com.
[2:29:56.240 --> 2:30:03.160]  Ladies and gentlemen, high quality, storeable food is back in stock ready to ship right
[2:30:03.160 --> 2:30:04.160]  now.
[2:30:04.160 --> 2:30:07.880]  We've not been selling food for three months because it was taking several weeks for the
[2:30:07.880 --> 2:30:10.080]  food to get packaged and delivered to you.
[2:30:10.080 --> 2:30:14.680]  Other companies are completely out but now they have a large spectrum of high quality
[2:30:14.680 --> 2:30:16.600]  food ready to ship.
[2:30:16.600 --> 2:30:21.960]  Everything you find at preparewithalix.com or preparetoday.com is in stock ready to ship
[2:30:21.960 --> 2:30:27.080]  so go to preparewithalix.com or preparetoday.com and order your high quality, storeable food
[2:30:27.080 --> 2:30:30.880]  right now ready to ship to you and your family with the inflation happening, with the food
[2:30:30.880 --> 2:30:35.000]  shortages, with the wars, with the collapse and wars, everything's happening is one of
[2:30:35.000 --> 2:30:39.160]  the most important as you can make is to have high quality, storeable food, water filtration,
[2:30:39.160 --> 2:30:40.160]  air filtration and more.
[2:30:40.160 --> 2:30:44.040]  And it's not just those items, it's hundreds of other high quality preparedness items and
[2:30:44.040 --> 2:30:51.120]  survival items right now at preparewithalix.com that again redirects to preparetoday.com.
[2:30:51.120 --> 2:30:54.080]  I would not procrastinate, ladies and gentlemen, one of the most important things you can do
[2:30:54.080 --> 2:30:57.720]  is get ahead of inflation now because the inflation is just beginning.
[2:30:57.720 --> 2:31:02.240]  Every single person listening to the sound of my voice needs to listen to me very, very
[2:31:02.240 --> 2:31:03.760]  carefully.
[2:31:03.760 --> 2:31:10.600]  The nestices are made the most important documentary in the U.S. history, 2,000 mules.
[2:31:10.600 --> 2:31:13.320]  That's not hype, that's the truth.
[2:31:13.320 --> 2:31:18.960]  The film proves how the deep state Democrats stole the 2020 election and how they're planning
[2:31:18.960 --> 2:31:19.960]  to do it again.
[2:31:19.960 --> 2:31:25.440]  Now, ladies and gentlemen, with all the censorship going on, it is critical to own the DVD with
[2:31:25.440 --> 2:31:29.480]  the expanded extra so you have it in your library so it can't be censored and so you
[2:31:29.480 --> 2:31:34.080]  can show it to your church, your business, your neighbors or just perfect strangers.
[2:31:34.080 --> 2:31:40.280]  We have the film available, ready to ship to you right now at infowarstore.com and we
[2:31:40.280 --> 2:31:45.320]  also have it discounted when you get other films like Covidland part one, two or three
[2:31:45.320 --> 2:31:46.320]  that just came out.
[2:31:46.320 --> 2:31:50.800]  There's discounts to get in game, blue pen for global enslavement and so much more at
[2:31:50.800 --> 2:31:51.800]  infowarstore.com.
[2:31:51.800 --> 2:31:59.320]  Get 2,000 mules by Dinesh to Susan now at infowarstore.com.
[2:31:59.320 --> 2:32:05.200]  The advantage of one of nature's most nutrient-dense ingredients, VasoBeat will be your new favorite
[2:32:05.200 --> 2:32:09.120]  InfoWars life formula.
[2:32:09.120 --> 2:32:14.280]  Using only water and beetroot, VasoBeat is the most concentrated liquid extract to feed
[2:32:14.280 --> 2:32:16.280]  on the market.
[2:32:16.280 --> 2:32:23.800]  With concentrated beet extract, you can get the high levels of butane, nitrates and antioxidants
[2:32:23.800 --> 2:32:31.280]  you want to help support a healthy liver, athletic performance, blood vessels and more.
[2:32:31.280 --> 2:32:37.480]  Don't overlook the power of beetroot, get your naturally occurring potassium, folate,
[2:32:37.480 --> 2:32:46.280]  vitamin C, iron, selenium, zinc, vitamin K and more.
[2:32:46.280 --> 2:32:58.320]  With one of nature's greatest treasures in VasoBeat from InfoWars life today.
[2:32:58.320 --> 2:33:18.040]  Feeding a frontal assault on the lies of the New World Order, it's Alex Jones.
[2:33:18.040 --> 2:33:23.440]  You want to stop tyranny, well so does he, it's Alex Jones.
[2:33:23.440 --> 2:33:32.880]  And now, your host, Owen Troyer.
[2:33:32.880 --> 2:33:42.480]  Lee Strandhand is with us and we're talking about the Ashley Biden diary which we segue
[2:33:42.480 --> 2:33:53.080]  now into the war on journalism because what's happened since the publishing or the sharing
[2:33:53.080 --> 2:33:58.560]  of the Ashley Biden diary is the government going after journalists for doing journalism
[2:33:58.560 --> 2:33:59.920]  and that's what's going on.
[2:33:59.920 --> 2:34:05.720]  So when the FBI raided Project Veritas to get this journal, really Lee, it just begs
[2:34:05.720 --> 2:34:08.320]  a lot of questions and I'll just throw them out there.
[2:34:08.320 --> 2:34:12.280]  You can answer the ones you can and just kind of pontificate on the ones you can't.
[2:34:12.280 --> 2:34:18.840]  But first of all, why would the FBI raid somebody's house looking for Ashley Biden's diary that
[2:34:18.840 --> 2:34:20.360]  she left somewhere else?
[2:34:20.360 --> 2:34:24.200]  I mean, if she wanted to go find her missing diary, why wouldn't she just go knock on the
[2:34:24.200 --> 2:34:25.920]  door and ask for it back?
[2:34:25.920 --> 2:34:27.800]  Why send the feds?
[2:34:27.800 --> 2:34:31.200]  And then the other question would be, why wait a year?
[2:34:31.200 --> 2:34:37.360]  Why was there a year in between when the journal or the diary was received by Project Veritas
[2:34:37.360 --> 2:34:41.560]  a year in between that and when the raid happened?
[2:34:41.560 --> 2:34:44.360]  Lee Strandhand, your thoughts, your answers.
[2:34:44.360 --> 2:34:53.960]  Well, the wheels of justice move slowly, this initial FBI action was approved by Bill Barr
[2:34:53.960 --> 2:34:56.840]  because it was approved when Trump was still president.
[2:34:56.840 --> 2:35:03.040]  So the initial FBI looking into this, but the wheels of justice move slowly.
[2:35:03.040 --> 2:35:04.840]  Why did this take a year?
[2:35:04.840 --> 2:35:12.520]  Because first the Delray police acquired the suitcase and the devil bag with all these
[2:35:12.520 --> 2:35:15.920]  documents from Ashley Biden.
[2:35:15.920 --> 2:35:23.840]  Then the FBI was brought into the case by the Delray police, apparently because she's
[2:35:23.840 --> 2:35:28.160]  a high profile daughter, right?
[2:35:28.160 --> 2:35:37.200]  But then Mayor Garland had to be brought in to approve and a judge had approved the search
[2:35:37.200 --> 2:35:40.520]  warrant for Veritas.
[2:35:40.520 --> 2:35:43.920]  And let me ask you another question.
[2:35:43.920 --> 2:35:46.440]  And this is a hypothesis.
[2:35:46.440 --> 2:35:53.560]  Why is Tucker Carlson bringing us up last Friday, Friday night?
[2:35:53.560 --> 2:35:58.120]  Last Friday, he brought up and he devoted the first two minutes.
[2:35:58.120 --> 2:36:05.120]  Tucker Carlson is the most watched news personality in the history of prime time news is the number
[2:36:05.120 --> 2:36:06.520]  one show ever.
[2:36:06.520 --> 2:36:07.520]  Okay.
[2:36:07.520 --> 2:36:10.400]  He's got a big audience and he knows it.
[2:36:10.400 --> 2:36:13.760]  Why did he devote 15 minutes on Friday night?
