[00:00:00.169 --> 00:00:00.730]  I'm a fighter.
[01:53:06.197 --> 01:53:11.058]  And the President of the United States suffered because of it and the American people suffered because of it.
[01:53:11.658 --> 01:53:21.633]   I think a lot of this will come out unless this fellow Sussman The lawyer for Hillary, who's been indicted for lying to the FBI.
[01:53:22.765 --> 01:53:26.247]  Unless this fellow Sussman accepts a guilty plea, if there is a trial.
[01:53:26.267 --> 01:53:28.209]  And right now the trial is scheduled for next month.
[01:53:28.489 --> 01:53:30.690]  It's scheduled, I think, for the second week in May.
[01:53:30.790 --> 01:53:36.234]  And again, Judge, for people that aren't a lawyer or a judge, like you explained, this is an ongoing criminal investigation.
[01:53:36.294 --> 01:53:38.855]  You have this lawyer for Hillary caught making up dossiers.
[01:53:39.296 --> 01:53:50.183]  Now the other dossiers, they're saying the Justice Department matched that it was made basically on the same computer or user-generated, knowing that they have codes that show when and where it was made.
[01:53:50.203 --> 01:53:52.044]  So it's another fake document is what they're saying.
[01:53:53.226 --> 01:53:54.587]  It's another fake document.
[01:53:54.767 --> 01:53:58.450]  Now, when did the CIA know this was fake?
[01:53:59.371 --> 01:54:02.214]  Why didn't the FBI know this was fake?
[01:54:02.874 --> 01:54:13.603]  How could the whole Mueller investigation and tormenting of Donald Trump have been based on fake documents and no experts along the line knew it?
[01:54:14.113 --> 01:54:18.156]  When did the CIA tell John Durham that these documents were fake?
[01:54:18.617 --> 01:54:20.278]  Back when Durham was appointed?
[01:54:20.378 --> 01:54:21.960]  When Trump was still in the White House?
[01:54:22.420 --> 01:54:23.301]  Or just recently?
[01:54:23.781 --> 01:54:26.764]  So the CIA's hands might not be clean on this.
[01:54:27.224 --> 01:54:30.087]  I am suspect of anything coming from the CIA.
[01:54:30.467 --> 01:54:36.392]  But we now know that half the government said this is garbage, and half the government was willing to use it.
[01:54:37.093 --> 01:54:39.615]  All this will come out if this fellow's assessment goes to trial.
[01:54:40.407 --> 01:54:42.607]  But obviously Trump wasn't a Russian agent.
[01:54:42.827 --> 01:54:51.889]  All of us got called Russian agents that weren't for what the Democrats were doing, and it was a great plan of Hillary because they were sold out to the Chinese, the Russians, you name it.
[01:54:52.249 --> 01:54:53.449]  Hillary's like a NASCAR.
[01:54:53.469 --> 01:54:59.350]  She's got all the different sponsors on her, and we don't have any sponsors, which is fine with me.
[01:54:59.390 --> 01:55:07.632]  I couldn't imagine taking foreign money, but the idea that patriots like Trump or I or others are taking money is just preposterous.
[01:55:08.132 --> 01:55:08.912]  It's just crazy.
[01:55:10.905 --> 01:55:11.805]  Well, you're right.
[01:55:12.426 --> 01:55:15.967]  But what upsets me is what did the government know and when did it know it?
[01:55:16.067 --> 01:55:18.748]  It's the same question that I ask about January 6.
[01:55:18.828 --> 01:55:22.909]  Same question that I ask about the Michigan Wolverines.
[01:55:22.949 --> 01:55:31.152]  That's the militia that was two of whose members were acquitted in the so-called government plot to kidnap Governor Whitmer.
[01:55:32.125 --> 01:55:34.725]  The government shouldn't be doing this stuff.
[01:55:35.146 --> 01:55:38.306]  The government shouldn't be creating crimes.
[01:55:38.706 --> 01:55:41.387]  The government shouldn't be entrapping people.
[01:55:41.707 --> 01:55:46.607]  The government shouldn't be using bad data to investigate presidents.
[01:55:46.627 --> 01:55:48.208]  Aren't there enough crimes?
[01:55:48.308 --> 01:55:51.548]  All the human smuggling, open borders, drug cartels.
[01:55:51.568 --> 01:55:55.729]  I mean, people are being, everybody I know has been robbed last year in Austin.
[01:55:55.749 --> 01:55:58.730]  I mean, don't they have real stuff to deal with?
[01:55:59.410 --> 01:56:01.210]  Meanwhile, the Democrats want to defund the police.
[01:56:02.355 --> 01:56:02.615]  All right.
[01:56:02.655 --> 01:56:03.776]  You would think that they do.
[01:56:03.816 --> 01:56:05.778]  But again, we talked about this earlier.
[01:56:05.858 --> 01:56:14.945]  The government loves to create a crime and swoop in and solve the crime and take credit for keeping the public safe.
[01:56:15.466 --> 01:56:24.633]  At least a half dozen of the so-called plots during the Bush war on terror after 9-11 to bomb the New York City subways.
[01:56:25.734 --> 01:56:27.715]  The whole thing was created by the FBI.
[01:56:28.796 --> 01:56:30.898]  There was no explosive material.
[01:56:31.363 --> 01:56:43.890]  They found some lone wolf who was disillusioned and talked him into how he could become a hero, led him to believe he was about to pull the trigger, and five minutes before he pulled the trigger, they all swooped in to arrest him, and we're supposed to believe that we were safe.
[01:56:44.271 --> 01:56:47.713]  Why don't we tell the FBI to be heroes and stop fentanyl, Judge?
[01:56:47.813 --> 01:56:49.193]  Wouldn't it be great if they stopped fentanyl?
[01:56:50.574 --> 01:56:51.355]  Yes, it would be.
[01:56:51.375 --> 01:56:52.295]  It would be.
[01:56:52.715 --> 01:56:59.579]  They would rather create a crime, make up a crime, and claim the credit for solving it, and you have innocent people in jail as a result of it.
[01:57:01.104 --> 01:57:06.105]  People who caused no harm, serving 20 year sentences in jail.
[01:57:06.665 --> 01:57:08.025]  Well, what about January 6th?
[01:57:08.106 --> 01:57:10.986]  I mean, sure, you beat a cop up a couple of years in prison.
[01:57:11.066 --> 01:57:13.527]  Crap on Pelosi's desk, I give you a medal.
[01:57:13.607 --> 01:57:14.487]  No, no, shouldn't do that.
[01:57:14.507 --> 01:57:15.147]  A month in prison.
[01:57:15.667 --> 01:57:18.948]  What do you make in the closing of the January 6th persecutions?
[01:57:19.288 --> 01:57:20.928]  I've seen you speak to it on your own show.
[01:57:20.968 --> 01:57:23.129]  I mean, this is a dangerous precedent.
[01:57:24.909 --> 01:57:31.447]   Well, what they're doing to these people who have been arrested is an American gulag.
[01:57:32.768 --> 01:57:43.794]  They are held in horrible conditions without bail for crimes for which the maximum in many cases doesn't exceed a year, in most cases doesn't exceed three years.
[01:57:44.434 --> 01:57:45.775]  These people are not dangerous.
[01:57:45.815 --> 01:57:47.396]  They're not a danger to society.
[01:57:47.856 --> 01:57:50.137]  And they're not a danger of absconding.
[01:57:50.938 --> 01:57:54.880]  But they're being treated as if they are in Guantanamo Bay.
[01:57:55.914 --> 01:57:57.957]  In fact, I hate to say this, but it might be true.
[01:57:58.177 --> 01:58:03.102]  The people in Guantanamo Bay have better living conditions in their jail confinement than these people do.
[01:58:03.363 --> 01:58:05.945]  And these people have not been convicted.
[01:58:06.186 --> 01:58:08.148]  Some of them haven't even been charged.
[01:58:08.763 --> 01:58:12.325]  And the DOJ is arguing that they're not entitled to bail.
[01:58:12.505 --> 01:58:24.712]  I'm going to have to write a piece called Merrick Garland and the Constitution because his DOJ is beating the crap out of the Constitution in the manner in which it is treating these people who were arrested.
[01:58:24.892 --> 01:58:27.534]  Judge, let me ask you that in the one and a half minutes we have left.
[01:58:28.434 --> 01:58:36.539]  It seems like Democrats with 204 days out from midterms are betting everything on January 6th, claiming big terror attacks are coming and all this hysteria.
[01:58:38.212 --> 01:58:39.293]  What do you make of this?
[01:58:39.353 --> 01:58:40.614]  Are they planning something?
[01:58:41.895 --> 01:58:42.916]  Voters aren't buying it.
[01:58:42.976 --> 01:58:43.837]  What do you think of that?
[01:58:44.037 --> 01:58:46.519]  Betting their whole reelection campaign on January 6th.
[01:58:48.021 --> 01:58:50.723]  I know they're, well, they have nothing else to base it on.
[01:58:51.164 --> 01:58:53.425]  Biden's popularity ratings are down at 33%.
[01:58:53.926 --> 01:58:56.868]  He could never be reelected with that.
[01:58:56.928 --> 01:58:58.229]  They're planning on hearings.
[01:58:58.309 --> 01:59:03.994]  They're trying to pick their best, most sympathetic witnesses, and they're hoping that everybody will watch it.
[01:59:04.294 --> 01:59:07.117]  Can I put in a little plug for Judging Freedom, Alex?
[01:59:07.157 --> 01:59:08.137]  Please, I love your show.
[01:59:08.157 --> 01:59:09.218]  I watch it every week.
[01:59:10.439 --> 01:59:17.139]   Tomorrow, Tuesday, April 19th, At 1245 in the afternoon, Eastern.
[01:59:17.259 --> 01:59:18.660]  Now I know that competes with you Alex.
[01:59:18.680 --> 01:59:19.600]  I don't care, we love you.
[01:59:19.620 --> 01:59:20.140]  What's going on?
[01:59:21.461 --> 01:59:22.141]  Ron Paul.
[01:59:23.262 --> 01:59:27.023]  Ron Paul on Judging Freedom, unlimited for an hour, just he and me.
[01:59:27.283 --> 01:59:29.824]  The Thomas Jefferson of our era.
[01:59:30.244 --> 01:59:30.805]  I can't wait.
[01:59:31.165 --> 01:59:33.806]  Look out, I'll probably just dial in and take the feed myself.
[01:59:34.186 --> 01:59:35.546]  And tell Ron Paul I said hi.
[01:59:35.566 --> 01:59:38.208]  Alright, tomorrow, where do people find that?
[01:59:38.268 --> 01:59:38.948]  It's JudgeNab.com?
[01:59:40.544 --> 01:59:41.845]  Judging Freedom on YouTube.
[01:59:42.486 --> 01:59:49.751]  The last time I did something like this, you brought me thousands of subscribers in one afternoon, Alex.
[01:59:49.771 --> 01:59:50.311]  I can't thank you enough.
[01:59:50.331 --> 01:59:51.252]  Judge Knapp, I'll come back.
[01:59:51.292 --> 01:59:51.752]  We love you.
[01:59:51.772 --> 01:59:52.353]  Thank you so much.
[01:59:52.373 --> 01:59:53.333]  Say hi to Ron Paul for me.
[01:59:54.514 --> 01:59:54.955]  All the best.
[01:59:54.995 --> 01:59:56.075]  Thanks for having me, Alex.
[01:59:56.095 --> 01:59:56.576]  Thank you.
[01:59:56.616 --> 01:59:58.017]  Your HD video's amazing.
[01:59:58.197 --> 01:59:58.938]  We'll be right back.
[01:59:58.998 --> 02:00:00.899]  Got some final news to cover, then a guest host.
[02:00:00.919 --> 02:00:01.299]  Stay with us.
[02:00:02.200 --> 02:00:07.404]  Thank you so much for joining us on this live Monday, April 18th transmission.
[02:00:08.976 --> 02:00:10.897]  Joe Salente is always extremely informative.
[02:00:10.937 --> 02:00:14.458]  He's about to take over here in just a moment.
[02:00:14.718 --> 02:00:29.445]  And I just want to be absolutely clear with all the viewers and all the listeners about something here that really will touch every single one of us for a very, very long time.
[02:00:32.346 --> 02:00:36.788]  I've been on the air 28 years, and in that time, we've changed the world together.
[02:00:38.038 --> 02:00:56.410]  And I know that there becomes kind of a subconscious understanding that InfoWars will always be here, and that Alex Jones will always be there, and all the great guests, and all the great callers, and the great breaking news, and the rebellion against tyranny will always be there.
[02:00:58.132 --> 02:00:59.873]  Until it's not always there.
[02:01:00.697 --> 02:01:04.939]  I remember loving my grandparents, thinking they'd never be gone, and they died one after the other.
[02:01:05.559 --> 02:01:07.921]  And you're at their funeral, they're being lowered down on that ground.
[02:01:10.162 --> 02:01:16.205]  And so I tell you now that it's your decision whether or not you want us to continue on.
[02:01:16.645 --> 02:01:20.427]  It's your decision whether or not you want this organization to continue.
[02:01:20.467 --> 02:01:23.949]  Because yeah, we've declared restructuring bankruptcy.
[02:01:25.455 --> 02:01:29.456]  Because I'm maxed out and the corporate media claims I've got all this money.
[02:01:29.996 --> 02:01:34.817]  I want federal trustees to come in and check our books and see that's not true.
