[00:00:01.340 --> 00:00:03.661]  Put the U.S.
[01:57:29.703 --> 01:57:34.308]  This, this document lacks any specific detail to show any kind of underlying crime.
[01:57:35.259 --> 01:57:36.740]  So I think it's extremely weak.
[01:57:37.140 --> 01:57:38.901]  It's absolutely a political prosecution.
[01:57:39.321 --> 01:57:42.282]  Whether Stuart Rhodes is compromised to some level, I don't know.
[01:57:42.843 --> 01:58:02.080]   But I believe that the events of the first DC rally and the events of the Atlanta rally, when I can get to the details, will show you That there was reason to be concerned, and when I resigned the way I did, and I did it publicly, I posted it on my social media that I was breaking with the organization, I did it because I saw things that didn't make sense and I wasn't going to be involved.
[01:58:02.120 --> 01:58:05.901]  No, and I remember, I've seen you and heard you for years, I remember when you did it, it was a big deal.
[01:58:06.381 --> 01:58:09.002]  We'll be right back, stay with us, John D. Shirley.
[01:58:10.262 --> 01:58:14.883]  We are back, and boy is the devil coming after us, folks, but that's okay.
[01:58:15.363 --> 01:58:16.303]  We know who wins in the end.
[01:58:17.844 --> 01:58:19.004]  John D. Shirley.
[01:58:20.365 --> 01:58:27.391]  He's a retired police officer, been an Oath Keeper for more than 10 years, and he resigned right before January 6th, and put a public letter out.
[01:58:27.411 --> 01:58:31.534]  I remember Stewart complaining about it, because I just happened to see the gossip out there.
[01:58:32.054 --> 01:58:42.002]  And I remember, surely he's a good guy, and done a great job, and it was about, let's follow our oath, and let's de-escalate, and let's work with the police, and let's have civil defense, and let's come together.
[01:58:42.022 --> 01:58:42.863]  They had a good mission.
[01:58:43.944 --> 01:58:45.065]  I didn't believe Stewart was fed.
[01:58:46.661 --> 01:58:47.883]  But did he get infiltrated?
[01:58:47.923 --> 01:58:49.465]  Did he get... He definitely changed.
[01:58:49.485 --> 01:58:54.412]  He got more aggressive when he was here a few times as a guest, even before January 6th and after.
[01:58:55.333 --> 01:58:57.816]  And like, what are you gonna do when the war starts?
[01:58:58.036 --> 01:58:59.599]  You just gonna sit around and talk?
[01:58:59.639 --> 01:59:00.400]  And I'm like, uh...
[01:59:02.917 --> 01:59:04.018]  Who am I going to attach to it?
[01:59:04.038 --> 01:59:08.922]  I remember, like, here in the studio during breaks, like, yes, Stuart, I'm on the military.
[01:59:08.982 --> 01:59:09.863]  What am I going to do?
[01:59:10.103 --> 01:59:11.124]  This is a political thing.
[01:59:11.144 --> 01:59:12.085]  This is a cultural thing.
[01:59:12.105 --> 01:59:13.386]  This is a spiritual thing.
[01:59:13.406 --> 01:59:15.207]  And then I, he's like, oh, I guess you're right.
[01:59:15.568 --> 01:59:18.550]  And then, boom, this goes along.
[01:59:18.570 --> 01:59:19.351]  You've got the Feds.
[01:59:19.371 --> 01:59:20.232]  You've got Ray Epps.
[01:59:20.272 --> 01:59:21.172]  You've got the Antifa.
[01:59:21.192 --> 01:59:22.734]  You've got them all provocateuring there.
[01:59:23.434 --> 01:59:28.919]  And then you've got Stuart believing there was about to be an overthrow of the government, believing there was about to be this big defeat.
[01:59:28.999 --> 01:59:33.266]   I guess if you believe this indictment, Was he being lied to by Q people?
[01:59:33.366 --> 01:59:34.306]  Was he delusional?
[01:59:34.627 --> 01:59:36.127]  Or is this whole federal indictment a lie?
[01:59:36.147 --> 01:59:45.232]  Let's go back to John D. Shirley right now, who was one of the founders and board members of O'Keepers, who resigned shortly before this all happened last year to give us his continued take.
[01:59:45.752 --> 01:59:46.292]  Please continue.
[01:59:47.653 --> 01:59:48.413]  Thanks, Alex.
[01:59:48.473 --> 01:59:53.456]  Before I go back to what I was telling you about before and the story I have, very important distinction.
[01:59:53.836 --> 02:00:08.610]   You know, I've known Stuart for 10 years, and in our communication, you know, Before the DC rally ever increased and I want to tell you he is no fan of Donald Trump Very very plainly.
[02:00:08.630 --> 02:00:09.371]  I want you to understand.
[02:00:09.391 --> 02:00:14.934]  I don't know if y'all had those kind of discussions in between yourselves But I'm telling you Stewart was not a fan of Donald Trump.
[02:00:15.194 --> 02:00:21.058]  No other people have told me that he didn't basically No, he hid that from me Okay.
[02:00:21.078 --> 02:00:26.914]   Well, I'm telling you I had I had several Pretty long discussions with him about... I just know this.
[02:00:27.074 --> 02:00:29.315]  When I first knew him 12 years ago, he isn't that creepy.
[02:00:29.695 --> 02:00:32.396]  The last few times he was around, I said, man, that guy's creepy.
[02:00:32.676 --> 02:00:35.578]  He would just kind of look at me like... I don't know how to describe it.
[02:00:35.638 --> 02:00:38.499]  Like I was a glass of ice water in the Sahara Desert.
[02:00:38.519 --> 02:00:41.981]  He was just kind of... I saw a crazed thing with him.
[02:00:42.041 --> 02:00:43.122]  Is that what you're getting at?
[02:00:43.862 --> 02:00:45.323]  Well, you know, I didn't see that.
[02:00:45.743 --> 02:00:46.643]  I didn't see that part.
[02:00:46.683 --> 02:00:52.296]   I'm just saying that You know, the organization changed near the end, and I'm going to tell you why.
[02:00:52.316 --> 02:00:56.001]  I'm going to go back to my story now, if that's okay.
[02:00:56.722 --> 02:01:00.628]  The night before the Atlanta rally, I had a heated discussion with Stewart.
[02:01:00.728 --> 02:01:03.532]  It got pretty heated about leadership and control of what was going to go on the next day.
[02:01:04.324 --> 02:01:10.510]  The next day when the rally actually occurred, there was no leadership because I wouldn't acquiesce to him and he wouldn't acquiesce to me.
[02:01:10.630 --> 02:01:17.737]  So my team was just in plain clothes, just watching the crowd, making sure that Antifa stayed in their place and the Patriots stayed in their place.
[02:01:17.897 --> 02:01:19.279]  Just monitoring what was going on.
[02:01:20.260 --> 02:01:23.623]  The police in Atlanta did a fantastic job of keeping the crowds apart.
[02:01:24.003 --> 02:01:27.604]   They had them separated with physical barriers and had plenty of staff out there.
[02:01:27.604 --> 02:01:31.043]   When the rally was over, because nothing happened during the rally, when the rally was over,
[02:01:31.043 --> 02:01:34.403]   they sent Antifa one way and they sent the Patriots another way.
[02:01:34.403 --> 02:01:38.804]   Well, me and my team having experience and training, we pretty much knew where a flash
[02:01:38.804 --> 02:01:42.083]   point was going to be if there was going to be a flash point where the two groups would
[02:01:42.083 --> 02:01:47.202]   come together. So we walked two or three blocks to where that was, just the three of us, and
[02:01:47.202 --> 02:01:52.243]   within a short amount of time, Antifa appeared around a corner about a block away walking toward us.
[02:01:52.768 --> 02:02:03.476]  Now, very important to understand, I can't speak for Antifa all over the country, but I can speak for the people who were in, who were claiming to be part of Antifa in Atlanta, is it was a complete LARP.
[02:02:04.116 --> 02:02:10.501]  And when I say it's a complete LARP, the average age of the Antifa member that showed up to the Atlanta rally was probably about 17.
[02:02:10.901 --> 02:02:12.862]  There were some that looked to be as young as 14.
[02:02:14.242 --> 02:02:22.266]  Um, they had a couple of older handlers that were probably in their 40s or 50s that weren't even dressed like them, but were obviously controlling, controlling the Antifa movement.
[02:02:23.046 --> 02:02:31.530]  There were two people with, with rifles in the Antifa crowd and several had, um, pocket knives or knives visible on their quote unquote uniforms.
[02:02:31.970 --> 02:02:37.253]  Now their uniforms were basically black with a paintball gear as their protection.
[02:02:37.313 --> 02:02:41.815]  So they looked scary and their shields that they carried were actually made of plastic.
[02:02:42.595 --> 02:02:47.595]  drums that they cut up and painted black.
[02:02:47.595 --> 02:02:51.235]  Okay, so it was a LARP, but they had guns.
[02:02:51.235 --> 02:02:57.034]   So they passed us and started giving trouble to one of the Trump supporters
[02:02:57.034 --> 02:02:58.395]  and we stopped it from happening.
[02:02:58.395 --> 02:02:59.355]  We didn't even talk to them.
[02:02:59.355 --> 02:03:01.074]  We just guided the man away.
[02:03:01.074 --> 02:03:04.855]   And I guess they saw that we looked like serious people and they left us alone.
[02:03:04.855 --> 02:03:10.434]   Okay, for two hours, we followed Antifa around downtown Atlanta, harassing people,
[02:03:10.434 --> 02:03:12.515]  sometimes yelling at us.
[02:03:12.515 --> 02:03:15.115]   My team would stay a block to a block and a half behind them,
[02:03:15.115 --> 02:03:17.795]  not talking to them, not engaging them at all.
[02:03:18.053 --> 02:03:20.335]  We're just watching what's going on in case they cause trouble.
[02:03:21.815 --> 02:03:26.938]  After about two hours, they congregated in an area that was near where we started.
[02:03:28.559 --> 02:03:33.042]  When we got there, they were on one side of the street about 150 feet away.
[02:03:33.502 --> 02:03:35.063]  We were across the street on the other side.
[02:03:35.723 --> 02:03:46.367]   A drunk man, And the reason I know he was drunk, and my team knew he was drunk, is we saw him that morning at about 8.30 before the rally, drinking in the parking lot where everyone was parking for the rally.
[02:03:46.828 --> 02:03:49.069]  And you could smell it on him when you walked past him, okay?
[02:03:49.609 --> 02:04:00.293]  This same man that I saw earlier that day appeared basically out of nowhere and was approaching Antifa with his shirt off, screaming and yelling at them, obscenities trying to incite them.
[02:04:01.813 --> 02:04:11.835]   Two of the Antifa guys, the two with the rifles, walked toward him, And at some point in this, in the first encounter, one of them racked, racked a shotgun.
[02:04:11.895 --> 02:04:14.236]  One of them had a shotgun and racked the shotgun, the Antifa guy.
[02:04:14.256 --> 02:04:14.837]  Okay?
[02:04:15.337 --> 02:04:19.499]  So, we had what looked to appear to be a violent situation about to start.
[02:04:21.000 --> 02:04:27.884]  Now, fortunately, the drunk guy, I guess, decided it was probably a bad idea at that point, turned around and went back the other direction, disappeared around the corner.
[02:04:29.825 --> 02:04:31.506]  Five minutes later, he reappeared.
[02:04:32.167 --> 02:04:34.448]  He re-engaged Antifa, screaming and yelling.
[02:04:35.031 --> 02:04:38.532]  Cursing them, obscenities, trying to engage them, trying to make them become violent.
[02:04:39.673 --> 02:04:42.374]  My team and I were just sitting across the street watching what was going on.
[02:04:43.414 --> 02:04:44.955]  Again, he retreated around the corner.
[02:04:45.555 --> 02:04:47.476]  A few minutes later, he appeared again.
[02:04:48.557 --> 02:05:01.882]  Except this time, he walked across the street and walked behind my team, within five feet of us, screaming over our backs toward Antifa, antagonizing Antifa.
[02:05:02.833 --> 02:05:09.595]  Now, I don't remember for sure if we said anything to him, but shortly after that... The point is, there's a lot of dirty tricks going on.
[02:05:09.615 --> 02:05:09.995]  Keep going.
[02:05:10.315 --> 02:05:11.316]  Okay, yes.
[02:05:11.596 --> 02:05:15.357]  Okay, so he was behind us trying to incite them, and then he left.
[02:05:15.997 --> 02:05:19.438]  And people broke up, and we, at that point, were pretty tired.
[02:05:19.478 --> 02:05:25.640]  We went back to the quote-unquote command post, which was really just a panel van where they were handing out water and snacks.
