[00:00:00.280 --> 00:00:09.607]  Ladies and gentlemen, you saw, you heard the broadcast title today of the Alex Jones Show.
[01:50:59.510 --> 01:51:05.236]  And it's a damn fact they're holding back medicines that are like 99% effective.
[01:51:05.757 --> 01:51:08.059]  It's a fact they've cooked up this virus and released it.
[01:51:09.160 --> 01:51:15.087]  And it's a fact that it's going to get worse this winter before it gets better and these people are attacking us as part of the Great Reset.
[01:51:16.914 --> 01:51:19.577]  And then I had Dr. Bartlett on earlier saying the same thing.
[01:51:19.657 --> 01:51:21.398]  And he was at his emergency room right now.
[01:51:21.458 --> 01:51:22.219]  He wasn't listening.
[01:51:23.060 --> 01:51:23.720]  I asked him.
[01:51:25.362 --> 01:51:26.423]  He was saying the same thing.
[01:51:26.443 --> 01:51:27.344]  We got to get this out.
[01:51:27.384 --> 01:51:28.105]  We got to save people.
[01:51:28.125 --> 01:51:28.985]  We got to warn people.
[01:51:29.005 --> 01:51:30.567]  You got to know how to talk to doctors.
[01:51:30.587 --> 01:51:34.210]  You got to warn people before they get sick because they're going to get this.
[01:51:34.871 --> 01:51:36.492]  Over 100 million Americans already have.
[01:51:36.532 --> 01:51:39.275]  And let me tell you, last year I had the numbers, the facts.
[01:51:39.315 --> 01:51:40.076]  I called the hospitals.
[01:51:40.096 --> 01:51:40.576]  They were empty.
[01:51:40.596 --> 01:51:41.097]  It was bull.
[01:51:42.247 --> 01:51:43.067]  Then they released it.
[01:51:43.847 --> 01:51:45.328]  Never had anything like it in my life.
[01:51:46.048 --> 01:51:50.749]  I had pneumonia when I was like 10 years old, and it didn't hurt one tenth as bad as this.
[01:51:50.809 --> 01:51:52.970]  And that's why people panic, because it hurts.
[01:51:54.330 --> 01:51:54.810]  It hurts.
[01:51:54.910 --> 01:51:58.471]  My wife got it two months ago, two and a half months ago.
[01:51:58.531 --> 01:52:00.011]  She still hurts from it.
[01:52:00.632 --> 01:52:04.112]  Rob Dues still hurts from it and coughs up blood.
[01:52:06.073 --> 01:52:07.313]  So this isn't a game.
[01:52:09.454 --> 01:52:10.334]  It's very serious.
[01:52:11.830 --> 01:52:25.201]  And it makes me angry that the system is trying to suppress us and trying to cherry pick things we've said or done out of context to try to silence us when we're fighting this corrupt, murderous system for all of our futures collectively.
[01:52:25.221 --> 01:52:29.144]  So I got a bunch of new breaking news I want to hit, and I want to just say this right now.
[01:52:31.306 --> 01:52:40.154]  I salute and I commend and I thank all of our affiliates, the great crew that puts up with me, both the production crew and the rest of the crew here at InfoWars.
[01:52:41.374 --> 01:52:48.419]  Because I'm an intense person, especially these days, and I want to thank my family, and I want to thank God, of course, most importantly, for a hedge of protection.
[01:52:48.919 --> 01:52:51.881]  If God deems that that needs to be done, I ask for it.
[01:52:52.677 --> 01:52:59.962]  And I just want you to know how serious this time is, and how thankful I've been knowing you for 27, 28 years being on air.
[01:52:59.982 --> 01:53:01.143]  Some of you have been listening that long.
[01:53:01.163 --> 01:53:06.766]  It doesn't matter whether you tuned in today for the first time, or you tuned in a month ago, or you tuned in five years ago, or 27 years ago.
[01:53:06.906 --> 01:53:08.007]  I appreciate all of you.
[01:53:08.427 --> 01:53:09.568]  This has been one hell of a fight.
[01:53:09.628 --> 01:53:11.149]  And I don't think I'm going to get shut down today.
[01:53:11.169 --> 01:53:13.410]  I don't think they're going to take me off to prison tomorrow.
[01:53:13.511 --> 01:53:15.652]  I don't think I'm going to die in a car wreck next week.
[01:53:16.252 --> 01:53:18.314]  But I got to tell you, the clock's ticking on everybody.
[01:53:19.130 --> 01:53:28.792]  And you've got, next segment I'll hit it, China threatening to invade Taiwan, the Taiwanese president saying we're basically at war, red alert, aircraft carriers, hundreds of jets flying over them.
[01:53:30.332 --> 01:53:31.093]  You've got the U.S.
[01:53:31.133 --> 01:53:36.394]  borders imploding, now it's 120,000 Haitians starting to slam into the border, on top of 50,000 already hit.
[01:53:38.154 --> 01:53:39.534]  All hell is breaking loose.
[01:53:41.555 --> 01:53:43.095]  And this is modern war we're under.
[01:53:44.175 --> 01:53:50.967]   And so I can sit here and have a comedian on who is great, and I can have on other guests, That's all fun window dressing to tell a few jokes.
[01:53:51.908 --> 01:53:52.788]  And it makes us feel good.
[01:53:52.808 --> 01:53:55.950]  It's like giving a man a cigarette who's about to be shot in the firing squad.
[01:53:56.510 --> 01:54:00.612]  But you understand the Pentagon confirmed ADE is happening.
[01:54:03.133 --> 01:54:04.414]  Antibody-dependent enhancement.
[01:54:05.314 --> 01:54:06.555]  That's a death sentence for most people.
[01:54:07.715 --> 01:54:10.917]  You understand that they did this on purpose.
[01:54:10.937 --> 01:54:13.078]  You understand Fauci cooked it up and it's all confirmed.
[01:54:13.338 --> 01:54:15.259]  You understand they bragged on TV how they did it.
[01:54:15.459 --> 01:54:17.160]  And that's now the featured video at Bandai Video.
[01:54:18.737 --> 01:54:19.517]  And so yeah, great.
[01:54:19.577 --> 01:54:20.838]  It'll get a couple million views.
[01:54:20.898 --> 01:54:23.539]  The globalists see that and go, oh my God, this guy's reaching out.
[01:54:23.579 --> 01:54:26.420]  He's busting through the blockade.
[01:54:26.680 --> 01:54:27.621]  We gotta silence him.
[01:54:27.661 --> 01:54:31.362]  And I morally cannot stop what I'm doing.
[01:54:31.382 --> 01:54:32.863]  I morally am over the target.
[01:54:33.924 --> 01:54:35.124]  And I'm hitting the enemy hard.
[01:54:35.344 --> 01:54:36.204]  We're all hitting them together.
[01:54:36.685 --> 01:54:37.645]  And I can't pull off.
[01:54:37.805 --> 01:54:40.486]  I can't pull off this bombing run.
[01:54:40.526 --> 01:54:45.408]  I've gotta just stay here and keep dropping the bombs even though they got their spotlights on me and they're shooting and they're hitting me.
[01:54:45.909 --> 01:54:51.989]   Because They're going to get everybody if we don't stay in this position and just keep attacking with the truth.
[01:54:52.770 --> 01:54:56.314]  This isn't like attack a little and then disappear back like a guerrilla operation.
[01:54:56.694 --> 01:54:58.176]  This is information warfare.
[01:54:58.656 --> 01:54:59.517]  This is the truth.
[01:54:59.617 --> 01:55:05.163]  And if I went away tomorrow and backed off, they would demonize me, lie about me, and use me as a tool of evil.
[01:55:05.443 --> 01:55:06.264]  So I can't do that.
[01:55:07.159 --> 01:55:11.743]  The only way I'm able to get our articles and videos and the truth of what we've said out is you.
[01:55:12.483 --> 01:55:15.586]  I'm banned on all these platforms, but you can take clips.
[01:55:15.726 --> 01:55:16.507]  You can share them.
[01:55:16.827 --> 01:55:21.090]  You can get them out and understand that it's not just about saving InfoWars or Alex Jones.
[01:55:21.591 --> 01:55:25.694]  It's about holding up the truth and defending it and celebrating it together.
[01:55:26.995 --> 01:55:28.396]  So I need you to support the show.
[01:55:28.477 --> 01:55:29.537]  I need you to pray for the show.
[01:55:29.597 --> 01:55:32.340]  I need you to buy products that are already great for you and your family.
[01:55:32.380 --> 01:55:33.160]  So I'm going to just say this.
[01:55:33.240 --> 01:55:34.782]  We've got the big sale going right now.
[01:55:36.127 --> 01:55:39.030]  It's the InfoWars Emergency Supply Chain Breakdown Sale.
[01:55:40.772 --> 01:55:51.663]  And it's up to 50% off across the board, on the t-shirts, on the books, on the films, on the water filtration, on the air filtration, on the supplements, on brain force.
[01:55:52.364 --> 01:55:54.666]  Ultra is about to sell out 25% off.
[01:55:55.527 --> 01:55:57.529]  Down and Out Sleep Aid back in stock, it's 50% off.
[01:55:59.622 --> 01:56:07.845]  And listen, if some big donors came along and gave us millions of dollars, I wouldn't be plugging all the time like this, but I, these are great products anyways, you need them.
[01:56:08.285 --> 01:56:18.809]  I need the funds to get around deplatforming and do some things that need to be done that I'm not going to give strategy away to make sure we don't just stay on the air in these attacks, but we intend to expand.
[01:56:20.110 --> 01:56:26.232]  I'll use a cheesy, you know, they see me as an evil Red Skull character when they actually are funded by the real Red Skull, George Soros, but yeah.
[01:56:27.182 --> 01:56:29.724]  Hydra, you cut off one head, two more grows back.
[01:56:30.344 --> 01:56:33.386]  And every time in my life they persecuted me bad or done some really bad stuff.
[01:56:34.527 --> 01:56:36.868]  Death-threaded me, physically attacked me, done stuff like that.
[01:56:37.409 --> 01:56:38.869]  I said, okay, it's time to expand.
[01:56:39.150 --> 01:56:41.191]  I follow the, follow my gut.
[01:56:41.351 --> 01:56:43.212]  Call it the Holy Spirit, whatever you want to call it.
[01:56:43.773 --> 01:56:45.574]  I learned to start following as I got older.
[01:56:45.594 --> 01:56:47.855]  Now I just let it direct me almost all the time.
[01:56:47.875 --> 01:56:50.397]  The time I have problems is when I don't follow my spirit.
[01:56:51.738 --> 01:56:55.220]  And it always tells me when to expand and it tells me never to contract.
[01:56:55.300 --> 01:56:59.263]  And it's told me it's time for you to do the most you've ever done.
[01:57:00.003 --> 01:57:02.405]  My gut tells me you better be on air 10 hours a day.
[01:57:02.425 --> 01:57:03.986]  My gut tells me you better start more shows.
[01:57:05.026 --> 01:57:08.128]  We better work with others to start new networks and new systems.
[01:57:08.188 --> 01:57:09.309]  And so we've been doing it.
[01:57:09.949 --> 01:57:12.111]  There's been a lot of stuff going on for years behind the scenes.
[01:57:13.899 --> 01:57:16.480]  You think Bandai Video's great, reaching millions and millions of people a day?
[01:57:17.701 --> 01:57:20.642]  You think News Wars is great, reaching hundreds of thousands a day?
[01:57:20.982 --> 01:57:22.063]  You think all that stuff's interesting?
[01:57:22.363 --> 01:57:32.707]  We got things in the works with other people we're working with, where it's their show, their operation, that are gonna be absolutely huge.
[01:57:32.907 --> 01:57:35.288]  And the enemy's got all my phones tapped, they already know about all this stuff.
[01:57:35.508 --> 01:57:37.709]  That's why they're so pissed, that's why they're so angry.
[01:57:37.769 --> 01:57:39.550]  And they know what we're doing behind the scenes.
[01:57:39.870 --> 01:57:40.971]  And I'm not here tooting horns.
[01:57:42.498 --> 01:57:50.973]  I'm telling you, I am just as effective now on my telephone at night talking to prominent people.
[01:57:53.057 --> 01:57:56.540]  And giving him advice and sending him information as we are with this giant audience.
[01:57:56.560 --> 01:58:04.627]  So there's a lot going on and you've got my commitment to burn the midnight oil because I understand we're in the zeitgeist, we're in the window of change.
[01:58:04.987 --> 01:58:10.191]  The enemy knows it and the devil sends the beast with wrath because he knows the time is short and our time is short as well.
[01:58:10.451 --> 01:58:13.174]  And I'm not risking my life and putting it on the line to lose this thing.
[01:58:14.034 --> 01:58:15.576]  And losing means losing humanity.
[01:58:15.616 --> 01:58:16.556]  I'm not worried about me.
[01:58:17.777 --> 01:58:21.160]  Seriously, folks, you've got to get in that zone and then they can do nothing to you.
[01:58:23.612 --> 01:58:26.285]  V for Vendetta when she's ready to die and he goes, now you're free.
[01:58:26.566 --> 01:58:27.229]  That's what this is about.
[01:58:28.439 --> 01:58:30.280]  Separately, I would get prepared.
[01:58:30.360 --> 01:58:32.741]  You know, satellite phones are great to have.
[01:58:32.841 --> 01:58:34.862]  You get all the free calls to the cell phone.
[01:58:35.203 --> 01:58:37.204]  It's only the calls out that cost you.
[01:58:37.544 --> 01:58:39.625]  And the phone is a $600 plus value.
[01:58:39.645 --> 01:58:41.046]  One of the best phones they've got.
[01:58:41.066 --> 01:58:43.447]  One of the most tried and true phones for free.
[01:58:44.247 --> 01:58:45.628]  A $645 value.
[01:58:46.228 --> 01:58:50.010]  And then all you do is buy the 150 minutes to call out a month.
[01:58:50.150 --> 01:58:51.391]  They roll over if you want them.
[01:58:51.671 --> 01:58:54.973]  You can buy an antenna for your car, your house, but anywhere outside it works.
[01:58:55.133 --> 01:58:56.634]  Contact tracers can't track you.
[01:58:57.816 --> 01:58:58.657]  It's so amazing.
[01:58:59.017 --> 01:59:00.058]  I would get one of these right now.
[01:59:00.218 --> 01:59:01.780]  Infowarsphone.com.
[01:59:02.100 --> 01:59:03.061]  They supply the Border Patrol.
[01:59:03.101 --> 01:59:04.022]  This group does, everybody.
[01:59:04.422 --> 01:59:07.725]  Infowarsphone.com or 941-955-1020.
[01:59:08.066 --> 01:59:14.572]  And ask for the Alex Jones Special, 941-955-1020 or Infowarsphone.com.
[01:59:15.232 --> 01:59:16.754]  And you need to check it all out, folks.
[01:59:16.814 --> 01:59:19.916]  Stay in touch with loved ones during any national or international emergency.
[01:59:19.936 --> 01:59:22.179]  Don't be tracked by the contact tracers at Big Tech.
[01:59:22.439 --> 01:59:23.420]  Infowarsphone.com.
[01:59:23.940 --> 01:59:25.140]  Welcome back to the Alex Jones Show.
[01:59:25.601 --> 01:59:26.561]  I just realized something.
[01:59:26.601 --> 01:59:27.981]  I got another important announcement.
[01:59:28.021 --> 01:59:29.262]  Stuff has snuck up on me.
[01:59:30.062 --> 01:59:45.587]  I said if you get a copy of the film, Covered Land, you're authorized to make copies of it and share it as a zero country code because we want people to get it and show it on AXS TV or put it on your local TV station or do whatever you would play on your local radio station.
