[00:00:00.069 --> 00:00:03.832]  You're watching the American Journal with Harrison Smith.
[01:53:35.235 --> 01:53:39.536]  Now, we shoot live reports here on air and we cut them up.
[01:53:40.656 --> 01:53:41.576]  That's what the segments are.
[01:53:41.596 --> 01:53:44.197]  There's live reports on air with callers and guests and myself.
[01:53:46.144 --> 01:53:48.445]  And then, we post in the Banned Out video.
[01:53:48.465 --> 01:53:52.266]  So I get an idea of what people think is most important.
[01:53:56.548 --> 01:54:01.330]  The name of the report you just saw is, You're in Grave Danger, Alex Jones Warned of the Great Reset Culling Last Year.
[01:54:01.710 --> 01:54:04.371]  They just posted it about an hour ago.
[01:54:04.411 --> 01:54:05.812]  It's already got 10,000 views.
[01:54:05.852 --> 01:54:07.433]  Very important to get that out.
[01:54:08.913 --> 01:54:13.355]  But, what I'm getting at now is something just as important
[01:54:15.066 --> 01:54:15.987]  And that's energy.
[01:54:16.127 --> 01:54:19.190]  And when we shoot reports on this, no one really cares.
[01:54:20.351 --> 01:54:22.673]  I mean, it'll get 30,000 views instead of 2 million views.
[01:54:23.714 --> 01:54:25.957]  And it's all part of the same globalist plan.
[01:54:26.557 --> 01:54:29.000]  It's all part of the same operation.
[01:54:31.342 --> 01:54:32.303]  And what am I talking about?
[01:54:32.343 --> 01:54:38.429]  Well, Biden announced two days ago with an executive order that I think is unconstitutional, clearly.
[01:54:40.148 --> 01:54:46.230]  That no lithium batteries or solar panels or any of the things being made in the U.S.
[01:54:46.290 --> 01:55:01.776]  under his stimulus package, because he's tying the money to that, can be from mined rare earth minerals that are needed in their construction from the United States.
[01:55:03.977 --> 01:55:08.319]  Because under the globalist agreements, China is supposed to have control of rare earth minerals.
[01:55:08.379 --> 01:55:09.259]  It's an unofficial treaty.
[01:55:10.589 --> 01:55:14.653]  But you heard the last guest bring up the movie Network, and the movie Network, I tell you how it works.
[01:55:15.073 --> 01:55:33.970]  When Howard Beale, the Newcaster, the fictitious newscaster, goes in to talk to the big banker head that owns the TV network, he tells him, Mr. Beale, you don't just think that we're going to let these companies continue to be American.
[01:55:33.990 --> 01:55:34.390]  We're not.
[01:55:34.891 --> 01:55:35.752]  This is globalism.
[01:55:36.943 --> 01:55:39.904]  We let certain countries control certain things and others control other things.
[01:55:40.284 --> 01:55:44.046]  That's how we control the world, corporately, so no country ever gets too powerful.
[01:55:45.526 --> 01:55:47.607]  But of course, that then gives the corporations all the power.
[01:55:56.050 --> 01:55:59.151]  Let me think of what to search on network to actually find that clip.
[01:56:01.192 --> 01:56:02.512]  That would be Howard Beale.
[01:56:02.612 --> 01:56:03.693]  There it is, you found the clip.
[01:56:04.994 --> 01:56:07.496]  Maybe we should play that next segment if we have time to download it and get it.
[01:56:10.199 --> 01:56:12.481]  But, here's what I'm getting at.
[01:56:14.302 --> 01:56:16.464]  I've actually been given quite a few of these speeches.
[01:56:16.504 --> 01:56:18.826]  They're remarkably the same as the movie.
[01:56:20.127 --> 01:56:21.308]  Just in modern context.
[01:56:25.752 --> 01:56:27.313]  And I'm not bragging when I tell you that story.
[01:56:27.333 --> 01:56:29.996]  You know, a lot of other people have gotten a similar speech.
[01:56:31.721 --> 01:56:31.921]  I think?
[01:56:48.581 --> 01:56:49.501]  How have you controlled that?
[01:56:49.541 --> 01:56:50.581]  You control everything.
[01:56:51.402 --> 01:56:57.103]  Biden came out and said, we cannot do any mining in America to speak of for rare earth minerals.
[01:56:57.823 --> 01:57:02.904]  And with regulations and controls, they've basically banned gold mining, silver mining and other things that happened here previously.
[01:57:02.944 --> 01:57:07.385]  There is no lead mining or lead smelting in the United States period.
[01:57:08.206 --> 01:57:10.366]  Well, guess what he's done now?
[01:57:11.566 --> 01:57:15.187]  We'll tell you about it on the other side of this quick break.
[01:57:15.827 --> 01:57:17.728]  But when you talk about deindustrialization,
[01:57:18.885 --> 01:57:19.465]  This is it.
[01:57:19.906 --> 01:57:21.447]  There's a nice cartoon for TV viewers.
[01:57:22.147 --> 01:57:25.689]  We'll come back and cover the cartoon and more on the other side.
[01:57:26.450 --> 01:57:28.651]  Find out who Biden just waived sanctions on.
[01:57:29.331 --> 01:57:31.633]  You'll find us Monday through Friday from 11 a.m.
[01:57:31.653 --> 01:57:32.173]  to 3 p.m.
[01:57:32.193 --> 01:57:36.636]  The Alex Jones Show right here on the InfoWars Pro Human Anti-Globalist Network.
[01:57:37.276 --> 01:57:43.518]  And then, weekday afternoons, 3 to 6 p.m., Owen Troyer, The War Room, covering weekday mornings, 8 a.m.
[01:57:43.618 --> 01:57:45.319]  with Harrison Smith.
[01:57:45.819 --> 01:57:47.940]  And I'll be back this Sunday, 4 to 6 p.m.
[01:57:48.080 --> 01:57:50.101]  Central, with the Sunday edition.
[01:57:50.141 --> 01:57:52.242]  We have other live Saturday transmissions as well.
[01:57:52.622 --> 01:57:55.723]  Find all the details at infowars.com forward slash show.
[01:57:56.815 --> 01:57:59.378]  Okay, look at this headline on MSN.com.
[01:57:59.778 --> 01:58:06.164]  Biden says he lifted sanctions on the Nord Stream 2 because it's almost completely finished.
[01:58:06.224 --> 01:58:07.926]  That's not a joke.
[01:58:09.348 --> 01:58:12.351]  And that is a Russian to Germany pipeline.
[01:58:13.912 --> 01:58:16.595]  Merkel is very upset that they're putting a U.S.
[01:58:16.635 --> 01:58:19.498]  sanction on a pipeline to Germany.
[01:58:21.078 --> 01:58:23.539]  So what is it to shut down the Keystone Pipeline?
[01:58:24.339 --> 01:58:27.159]  It's a blockade, it's not just a sanction, it's an act of war.
[01:58:28.960 --> 01:58:34.781]  So you see, that's really what the shutdown of the Keystone Pipeline was all about.
[01:58:37.822 --> 01:58:40.183]  Was a blockade, was a sanction.
[01:58:41.003 --> 01:58:45.504]  Agenda 21 and Agenda 2030 is sanctions on select countries and peoples.
[01:58:46.772 --> 01:58:51.615]  Biden says he's lifted sanctions on Nord Stream 2 because it's almost completely finished.
[01:58:52.015 --> 01:58:58.900]  President Biden said that he lifted sanctions on the Russian to Germany pipeline, Nord Stream 2, because it's almost completely finished.
[01:58:59.180 --> 01:59:14.090]  They didn't use the excuse that, oh, fossil fuels, because it carries both natural gas and oil, and gas, gasoline, natural gas, it can carry it all, just like the Keystone Pipeline could, just like other pipelines like Colonial can.
[01:59:15.430 --> 01:59:15.631]  No!
[01:59:16.806 --> 01:59:20.008]  They say because Russia's evil and meddled in our election with no evidence.
[01:59:20.048 --> 01:59:24.670]  That was their excuse to try to get that shut down, but oh, it's been tens of millions of dollars to build it.
[01:59:25.451 --> 01:59:27.932]  It's just been completed, so it gets to stay open.
[01:59:29.353 --> 01:59:36.297]  Because he doesn't want to commit an act of war on Russia and Germany, but he can beat up Americans politically all he wants.
[01:59:36.437 --> 01:59:41.560]  Biden says he lifted sanctions on Nord Stream 2 because it's almost completely finished.
[01:59:43.365 --> 01:59:48.027]  It's not like I can allow Germany to do something or not, Biden, continued.
[01:59:49.987 --> 01:59:51.868]  He goes, I've been opposed to Nord Stream from the beginning.
[01:59:53.288 --> 01:59:56.289]  Actually, the Ukrainian company he and his son were involved in are heavily involved in it.
[01:59:56.549 --> 01:59:58.670]  So at the end of the day, he is on the Russian payroll.
[02:00:00.182 --> 02:00:00.502]  Whatever!
[02:00:00.722 --> 02:00:02.364]  I say don't close the Russian pipeline.
[02:00:02.944 --> 02:00:04.125]  Bring more energy to more people.
[02:00:04.165 --> 02:00:05.106]  That brings down prices.
[02:00:05.607 --> 02:00:06.768]  But it shows how it all works.
[02:00:06.808 --> 02:00:07.989]  So here's the cartoon.
[02:00:08.909 --> 02:00:12.192]  Shows two roughnecks working on a drilling rig for oil.
[02:00:12.532 --> 02:00:15.155]  Biden waives sanctions on the Nord Stream 2 pipeline.
[02:00:16.135 --> 02:00:19.538]  So then shutting down an American pipeline and letting the Russian's pipeline open?
[02:00:20.920 --> 02:00:23.602]  If that doesn't tell you how it all works, nothing will.
[02:00:25.242 --> 02:00:28.004]  So, that's how the cow ate the cabbage.
[02:00:28.024 --> 02:00:43.213]  You know, let's play a clip from the 1970s film Network, where Howard Beale has shut down the acquisition of their news company by the Saudis, and the big corporate chairman of the multinational conglomerate explains to him about the New World Order.
[02:00:43.533 --> 02:00:43.973]  Here it is.
[02:00:43.993 --> 02:00:47.095]  Good morning, Mr. Beale.
[02:00:47.115 --> 02:00:49.336]  They're telling me you're a madman.
[02:00:49.436 --> 02:00:50.477]  Only dizzle to relieve.
[02:00:50.937 --> 02:00:51.417]  How are you now?
[02:00:51.658 --> 02:00:52.498]  I'm as mad as a hatter.
[02:00:53.519 --> 02:00:53.919]  Who is it?
[02:00:55.942 --> 02:00:57.702]  I'm going to take you into our conference room.
[02:00:57.742 --> 02:01:00.123]  Seems more seemly a setting for what I have to say to you.
[02:01:02.884 --> 02:01:04.564]  I started as a salesman, Mr. Beale.
[02:01:05.464 --> 02:01:10.526]  I sold sewing machines and automobile parts, hairbrushes and electronic equipment.
[02:01:11.406 --> 02:01:12.706]  They say I can sell anything.
[02:01:14.607 --> 02:01:16.767]  I'd like to try to sell something to you.
[02:01:16.787 --> 02:01:22.449]  Valhalla, Mr. Beale.
[02:01:23.369 --> 02:01:23.969]  Please, sit down.
[02:01:54.505 --> 02:02:01.489]  You have meddled with the primal forces of nature, Mr. Beale, and I won't have it!
[02:02:02.330 --> 02:02:02.830]  Is that clear?
[02:02:02.850 --> 02:02:06.452]  Do you think you've merely stopped a business deal?
[02:02:06.693 --> 02:02:08.053]  That is not the case!
[02:02:08.654 --> 02:02:12.416]  The Arabs have taken billions of dollars out of this country, and now they must put it back!
[02:02:13.697 --> 02:02:14.918]  It is ebb and flow!
[02:02:15.378 --> 02:02:16.419]  Tidal gravity!
[02:02:16.699 --> 02:02:18.260]  It is ecological balance!
[02:02:20.342 --> 02:02:26.086]  You are an old man who thinks in terms of nations and peoples.
[02:02:26.387 --> 02:02:27.347]  There are no nations.
[02:02:27.587 --> 02:02:28.448]  There are no peoples.
[02:02:28.768 --> 02:02:29.669]  There are no Russians.
[02:02:29.889 --> 02:02:30.790]  There are no Arabs.
[02:02:31.010 --> 02:02:32.231]  There are no third worlds.
[02:02:32.251 --> 02:02:33.232]  There is no West.
[02:02:33.772 --> 02:02:38.476]  There is only one holistic system of systems.
[02:02:39.236 --> 02:02:46.642]  One vast and immane, interwoven, interacting, multivariate, multinational dominion of dollars.
[02:02:47.691 --> 02:02:55.735]  Petrodollars, Electrodollars, Multidollars, Reichmarks, Rings, Rubles, Pounds, and Shekels.
[02:02:58.116 --> 02:03:05.440]  It is the international system of currency which determines the totality of life on this planet.
[02:03:06.980 --> 02:03:11.022]  That is the natural order of things today.
