[00:00:00.169 --> 00:00:06.154]  And so I got up at 2 a.m., and I've been up since 2 a.m., and I read this whole document.
[01:45:47.694 --> 01:45:59.072]  The fact that they can keep people in jail who've shown in court, I've talked to their lawyers, the video of them being waved in and then they were nonviolent and they're being, you know, charged with garbage.
[01:45:59.092 --> 01:46:02.617]  But as you said, they're not being charged with insurrection because they didn't do that.
[01:46:04.113 --> 01:46:11.356]  Right, and I just read something, it's on my legal team, you know, the app for Ashley, that is run by my legal team.
[01:46:11.396 --> 01:46:19.240]  A lot of people think I'm on there, they go on there and they say a bunch of really bad stuff, but the joke's on you, I'm not running that thing, so you're not talking to me.
[01:46:19.901 --> 01:46:33.107]  But they just put something up there saying that the government had admitted, you can read it, the government admitted that yes, there is video footage of police letting, you know,
[01:46:33.786 --> 01:46:34.046]  Come on.
[01:46:52.950 --> 01:46:54.091]  Yeah, so we know what happened.
[01:46:54.171 --> 01:46:56.192]  Select groups got in fights with the cops.
[01:46:56.212 --> 01:46:57.433]  The cops got in fights with them.
[01:46:57.874 --> 01:46:58.934]  People got carried away.
[01:46:59.034 --> 01:47:04.678]  And then the police, outside, pulled back the metal barriers and waved everyone in and then opened the doors.
[01:47:05.139 --> 01:47:06.420]  So who gave that order?
[01:47:06.840 --> 01:47:09.202]  Who set up everybody?
[01:47:09.842 --> 01:47:11.403]  And then let the emotions get out of control.
[01:47:12.744 --> 01:47:13.865]  Yeah, who gave that order?
[01:47:13.885 --> 01:47:19.129]  You talked to that gentleman, Kara, talked to him on Sunday.
[01:47:19.853 --> 01:47:20.833]  Well, that was my next question.
[01:47:20.853 --> 01:47:21.254]  You're dead on.
[01:47:21.274 --> 01:47:22.314]  What about the other people?
[01:47:22.334 --> 01:47:26.035]  We're now learning at least three, probably four others were murdered as well.
[01:47:45.031 --> 01:47:45.291]  Yeah.
[01:47:45.611 --> 01:48:04.016]  And you know, you have to believe these people that were down there in that crowd to say that the violence that was coming from the citizens was a reaction to the violence being brought upon them initially by the Capitol Police.
[01:48:04.756 --> 01:48:07.216]  These guys aren't prepared for that.
[01:48:07.396 --> 01:48:14.058]  And to say that we have a police force that is supposed to protect the Capitol building,
[01:48:14.841 --> 01:48:18.410]  The center of the world, for all intents and purposes.
[01:48:18.791 --> 01:48:21.538]  And they're not prepared for a large-scale demonstration like that?
[01:48:22.954 --> 01:48:29.496]  There has to be a complete revamping of this agency, department, whatever you want to call it.
[01:48:30.197 --> 01:48:31.877]  And it needs to start from the top.
[01:48:32.117 --> 01:48:38.420]  Well, we also know that Trump asked the National Guard ten days before, five days before, and was refused.
[01:48:38.800 --> 01:48:47.503]  That's how it works is the Democrats control the district, so they somehow blocked him unless he wanted to send in federalized troops, but they denied him the National Guard.
[01:48:49.103 --> 01:48:50.824]  Yeah, it was a setup from the beginning.
[01:48:51.676 --> 01:48:55.117]  It was a setup from the beginning to make him look horrible and make him look bad.
[01:48:55.558 --> 01:48:56.998]  I don't know those details.
[01:48:57.038 --> 01:49:04.581]  I mean, I know if you want to put the timeline down, I mean, she had sent me a text saying that she had just watched, you know, big guy, you know, President Trump
[01:49:21.298 --> 01:49:22.659]  And Don Jr.
[01:49:22.700 --> 01:49:23.700]  and Kimberly and Eric.
[01:49:23.780 --> 01:49:35.431]  So for her to get from where that speech was to Slow Walk to the Capitol, I have to imagine it was well after the first or second wave that went in there.
[01:49:37.523 --> 01:49:44.068]  Yeah, because I didn't hear there had been a shot fired until I'd basically given up trying to get people out because the cops let everybody in.
[01:49:44.088 --> 01:49:48.271]  And I went to the police and I said, you have loudspeakers all over the grounds.
[01:49:48.311 --> 01:49:48.731]  I know you do.
[01:49:48.791 --> 01:49:50.532]  I've seen documentaries about it.
[01:49:50.552 --> 01:49:52.214]  You need to get on there and say, get out of the Capitol.
[01:49:53.154 --> 01:49:54.415]  I honestly believe they wanted him in there.
[01:50:20.745 --> 01:50:21.566]  They wanted him in there.
[01:50:21.746 --> 01:50:23.328]  I think my wife was led to her death.
[01:50:24.609 --> 01:50:26.932]  I'm not going to give up on that.
[01:50:26.972 --> 01:50:27.933]  They're not going to silence me.
[01:50:28.633 --> 01:50:37.263]  So, as long as I stay loud and I stay at the surface, I'm going to be screaming about the injustice that was done to my wife.
[01:50:37.708 --> 01:50:43.493]  Well, listen, Aaron, I love my audience and they keep us on air despite all the Democrat Party lawsuits and attacks, and they're the best.
[01:50:43.853 --> 01:50:46.075]  And I come to them over and over, you know, people like you.
[01:50:46.676 --> 01:50:56.404]  But I got to be honest with you, looking at your GoFundMe thing, GiveSendGo.com forward slash JusticeForAshley, I know what legal stuff like this costs.
[01:50:56.725 --> 01:51:01.989]  $500,000 is a very low number in today's numbers because these decent lawyers and all the system costs money.
[01:51:02.430 --> 01:51:03.190]  You've only raised
[01:51:05.056 --> 01:51:07.697]  $34,000 and that's 6% of the goal.
[01:51:08.098 --> 01:51:12.960]  And I'm just going to tell the listeners, they're in a better place in my view to support justice than to do this.
[01:51:13.120 --> 01:51:20.624]  And this needs to come out because they're using this Capitol event to set up a police state in America and declare patriots terrorists officially.
[01:51:21.184 --> 01:51:25.388]  It's very important, not just for her memory, not just for her husband, which is important.
[01:51:25.728 --> 01:51:33.836]  It's important for all of us that we use her as a standard against them of what they did to her and not just let them make her go away and forget her.
[01:51:34.176 --> 01:51:35.878]  So I think it's a very important place to go.
[01:51:35.978 --> 01:51:40.562]  GiveSendGo.com forward slash justice for Ashley, whether it's $5 or $100.
[01:51:41.883 --> 01:51:53.629]  That is one of the most important things you can do to fight back against this tyranny, because through the legal process, they're going to be able to legally expose who did this and hopefully get the 14,000 hours of footage to show what really happened.
[01:51:53.910 --> 01:51:56.271]  And that's why they're stalling, because they want to put out a fake narrative.
[01:51:58.912 --> 01:52:00.753]  And hopefully the radio transmissions as well.
[01:52:01.554 --> 01:52:02.855]  That has to be included.
[01:52:05.356 --> 01:52:08.958]  We need every dollar that we can get to help, you know, any amount.
[01:52:09.577 --> 01:52:15.580]  Like Alex said, five, ten, even a single dollar, you know, it's going to go to this fight.
[01:52:16.040 --> 01:52:17.861]  And this fight is not just for Ashley.
[01:52:17.881 --> 01:52:19.242]  This fight is for America.
[01:52:19.282 --> 01:52:22.864]  And this fight is for our civil liberties and our freedom.
[01:52:23.244 --> 01:52:27.826]  And it's being ripped away from us in front of our faces.
[01:52:28.346 --> 01:52:31.768]  And the blatancy of it, they don't care.
[01:52:32.348 --> 01:52:33.609]  They think we're all stupid.
[01:52:34.383 --> 01:52:42.287]  They think every one of us is an idiot and we're just gonna go along with the flow and shut the TV off and not pay attention to what's going on.
[01:52:42.708 --> 01:52:44.669]  Stop paying attention to the mainstream news.
[01:52:45.089 --> 01:52:46.209]  Do your own research.
[01:52:46.710 --> 01:52:47.390]  Look deeper.
[01:52:48.090 --> 01:52:57.235]  There's a blatant cover-up going on at what happened at the Capitol that day and my wife was public enemy number one on their list and they took her out.
[01:52:57.536 --> 01:52:57.876]  They did.
[01:52:57.936 --> 01:52:59.056]  Aaron Babbitt, very powerful.
[01:52:59.076 --> 01:52:59.897]  I'm gonna make a donation.
[01:52:59.917 --> 01:53:00.477]  Thank you, sir.
[01:53:00.517 --> 01:53:01.718]  Come back again very, very soon.
[01:53:02.138 --> 01:53:02.898]  Make a donation, guys.
[01:53:02.918 --> 01:53:03.279]  $1,000 right now.
[01:53:04.150 --> 01:53:07.892]  Seems like a hundred years ago, at the same time, like it was five minutes ago.
[01:53:08.852 --> 01:53:16.136]  January 6th, huge, successful million-person rally, suddenly taken control of by provocateurs.
[01:53:16.156 --> 01:53:33.105]  A Capitol breach, and a good hour before Ashley Mabbitt got executed, there I was saying, don't go in the building, I sense a Kent State, where, you know, the military shot some of those peaceful anti-war protesters, and sure as hell, it happened.
[01:53:33.145 --> 01:53:33.605]  Here's the clip.
[01:53:35.112 --> 01:53:40.276]  We need to not have a confrontation with the police.
[01:53:40.296 --> 01:53:41.978]  We're going to make that the story.
[01:53:42.338 --> 01:53:48.804]  I'm going to march to the other side where we have a stage where we can speak and occupy peacefully.
[01:53:48.864 --> 01:53:54.249]  See if everybody behind you march to the other side.
[01:54:04.377 --> 01:54:09.604]  We don't want to have a state here.
[01:54:27.500 --> 01:54:45.707]  Call me in emails and say thank you we were there we didn't know we almost went in because I kept saying tell people in front of you pass it down they can't hear me don't go in it's a trap it's a trap I spoke for like 15 minutes just on top that pile of chairs stacks of chairs and so thank God
[01:54:47.588 --> 01:54:50.110]  Thank God my security guys, actually, because I got there.
[01:54:50.130 --> 01:54:51.371]  I'm like, what the hell's going on?
[01:54:51.391 --> 01:54:52.732]  We're like 300 yards back.
[01:54:52.752 --> 01:54:53.773]  We see flashbangs.
[01:54:54.374 --> 01:54:57.016]  Looks like something out of a medieval, you know, scene.
[01:54:57.496 --> 01:54:59.458]  People climbing up rafters and everything.
[01:55:00.318 --> 01:55:01.019]  Uh, parapets.
[01:55:03.061 --> 01:55:04.322]  And I was just stunned.
[01:55:04.522 --> 01:55:09.606]  And, uh, one of the guys had been a Sergeant Major in the Army.
[01:55:09.646 --> 01:55:14.170]  He goes, you got to get up on top of one of these piles or one of these things.
[01:55:14.190 --> 01:55:15.131]  You got to stop this right now.
[01:55:16.181 --> 01:55:17.442]  You gotta stop him going in there right now.
[01:55:17.462 --> 01:55:19.704]  I said, okay, you're right.
[01:55:19.744 --> 01:55:20.425]  I need to stop it.
[01:55:21.165 --> 01:55:31.974]  But I was actually shell-shocked for a minute because the image of the US Capitol and all these people and what I was seeing, riot police beating people on the head and tear gas hit me right in the face.
[01:55:32.014 --> 01:55:33.655]  I'm like, I'm like three yards back.
[01:55:33.715 --> 01:55:38.359]  I mean, I'm like, like a movie, this ball of tear gas goes right in my face.
[01:55:38.960 --> 01:55:42.963]  And I was like, I'm having a memory of that here for a second.
[01:55:45.667 --> 01:55:46.588]  What a fiasco.
[01:55:47.048 --> 01:55:48.269]  And again, it's not about me.
[01:55:48.329 --> 01:55:50.010]  It's about the left being such liars.
[01:55:51.231 --> 01:56:04.118]  I cannot tell you how many times I've trended number one on Twitter or in the top ten of Twitter because they're wanting to arrest me and they take video of me in Georgia in November in the Capitol.
[01:56:06.320 --> 01:56:14.825]  And they have investigative reports and they go, look, here's Jones in the Capitol planning the attack with Congressman Gozer the day before.
[01:56:16.860 --> 01:56:18.421]  And I'm not even with Congressman Gozer.
[01:56:18.461 --> 01:56:19.502]  He wasn't in Georgia.
[01:56:19.522 --> 01:56:21.543]  He's from like Arizona.
[01:56:22.023 --> 01:56:23.064]  None of it's even true.
[01:56:23.204 --> 01:56:25.845]  I mean, it's just next level.
[01:56:26.005 --> 01:56:28.567]  And it's journalists saying this.
[01:56:29.867 --> 01:56:34.630]  These are accredited people saying, here's Jones planning the attack.
[01:56:36.551 --> 01:56:42.755]  And it's the Georgia Capitol with a peaceful photo op we did with a state rep, or a state senator.
[01:56:45.106 --> 01:56:48.608]  So, and that's why it's so hard to beat the left unless you just reject everything they say.
[01:56:49.148 --> 01:56:54.010]  But then your brain is designed to kind of halfway believe, like, well, maybe Jones was in the U.S.
[01:56:54.030 --> 01:56:55.931]  Capitol and replanting a deal.
[01:56:55.951 --> 01:57:03.335]  Because, you know, it's like, it's so crazy how they lie that it's hard to figure out.
[01:57:03.835 --> 01:57:04.816]  Okay, I need to hit this.
[01:57:04.836 --> 01:57:08.998]  This was big news yesterday, but I want to get to it today because I skipped it.
