[00:00:00.425 --> 00:00:01.425]  So here's the big announcement.
[01:55:48.460 --> 01:55:53.261]  And imagine you see all these people and you hate them because you hate yourself.
[01:55:53.681 --> 01:55:55.702]  You're not figuring out how to help all these people.
[01:55:55.942 --> 01:55:56.922]  You just want to kill them.
[01:55:59.322 --> 01:56:01.523]  Imagine how nasty and dirty that must feel.
[01:56:02.793 --> 01:56:23.233]  And then you camouflage it in a pink sweater and you just indiscriminately then try to deny medical care to a virus you've released so you can make more money.
[01:56:27.389 --> 01:56:28.850]  Killing people with a poison shot.
[01:56:28.870 --> 01:56:29.890]  I mean, it all makes perfect sense.
[01:56:30.550 --> 01:56:33.531]  When you're in their perspective, when you're in their mindset.
[01:56:36.573 --> 01:56:42.135]  So... I just thank my lucky stars twice.
[01:56:43.078 --> 01:56:45.999]  And twice again, that I am not one of these people.
[01:56:46.059 --> 01:56:47.879]  I mean, look at those guys.
[01:56:47.939 --> 01:56:51.360]  They hate themselves so much.
[01:56:51.860 --> 01:56:53.921]  They're so ungenuine.
[01:56:54.301 --> 01:56:56.061]  They are so fake.
[01:56:56.622 --> 01:57:00.202]  Can you imagine how poor they are, spiritually?
[01:57:05.504 --> 01:57:05.884]  A beggar!
[01:57:07.500 --> 01:57:08.340]  With no legs!
[01:57:09.100 --> 01:57:15.021]  Living in a ditch that can see the beauty of God's creation is infinity better than those men!
[01:57:17.602 --> 01:57:18.262]  Or Fauci!
[01:57:18.342 --> 01:57:20.162]  I mean, look at that face!
[01:57:21.082 --> 01:57:22.063]  That's a killer!
[01:57:24.403 --> 01:57:25.923]  That is a sick freak!
[01:57:27.263 --> 01:57:28.544]  That is your inner man!
[01:57:30.504 --> 01:57:36.125]  That little arrogant garbage needs to be grabbed up by the scruff of his neck and thrown into a deep prison!
[01:57:41.178 --> 01:57:44.739]  But he thinks it's gonna be me and you that's in that prison.
[01:57:45.400 --> 01:57:47.320]  It might actually be that way, Fauci.
[01:57:48.881 --> 01:57:49.721]  For a little while.
[01:57:52.162 --> 01:57:54.283]  But you're not gonna outrun God, son.
[01:58:02.006 --> 01:58:07.748]  And after what you've done to all those children, all those innocent people, you deserve what's gonna happen to you.
[01:58:09.208 --> 01:58:09.869]  You asked for it.
[01:58:11.007 --> 01:58:11.727]  You're gonna get it.
[01:58:14.389 --> 01:58:16.911]  I just hope I'm about a trillion light years away when it happens.
[01:58:19.852 --> 01:58:30.159]  Because the type of bully that he is, and the type of sack of garbage he is, and the type of coward he is, he will be 100% cut off from God.
[01:58:32.900 --> 01:58:33.701]  You know what that means?
[01:58:35.538 --> 01:58:40.601]  But you're a psycho, psycho killer, whose whole life is about killing people and getting off on it?
[01:58:41.682 --> 01:58:44.343]  Can you imagine being that little monster?
[01:58:51.928 --> 01:58:53.129]  Burn in hell, Fauci!
[01:58:54.670 --> 01:59:01.434]  Alright, I want to hit Senator Paul on something really important that we do not want the same criminals that ran the Wuhan cover-up running the new cover-up.
[01:59:02.799 --> 01:59:03.980]  And a lot more, I'll do it next segment.
[01:59:04.320 --> 01:59:08.364]  But if I don't remember to do this, hell, 10 years ago, I didn't think I'd be here in 10 years.
[01:59:08.444 --> 01:59:10.786]  So, I always try to get this laissez-faire attitude.
[01:59:10.866 --> 01:59:11.387]  Eh, so what?
[01:59:11.407 --> 01:59:14.469]  There's not enough money to run the operation in six months at current rates.
[01:59:14.730 --> 01:59:18.493]  God will provide, but God helps those that help themselves.
[01:59:18.573 --> 01:59:21.455]  So, I'm asking listeners, go to mfulworthstore.com.
[01:59:21.896 --> 01:59:25.119]  Everybody needs a vitamin D3 with calcium.
[01:59:25.179 --> 01:59:26.540]  Everybody needs an 1100% organic vitamin C.
[01:59:29.202 --> 01:59:31.664]  Uh, with zinc and rose hips.
[01:59:31.704 --> 01:59:34.266]  That's the standard Linus Pauling Nobel Prize winning formula.
[01:59:34.826 --> 01:59:37.247]  Uh, everybody needs a whole food multivitamin.
[01:59:37.348 --> 01:59:41.110]  It's from actual real concentrate whole foods for anything you may be missing.
[01:59:41.150 --> 01:59:47.654]  And we've got all three of them trying to get this produced organic and high quality the last 16 months.
[01:59:47.874 --> 01:59:52.638]  It has been hell, but we finally got it produced and we've got them in stock.
[01:59:52.678 --> 01:59:53.938]  There's 40% off together, 25% off individually.
[01:59:56.610 --> 01:59:58.290]  At InfowarsStore.com.
[01:59:58.930 --> 02:00:06.532]  And that sale will end this Sunday because we're getting very close to selling out about half of those and the whole supply chain.
[02:00:06.792 --> 02:00:09.112]  We're limited by how much raw ingredient companies can get.
[02:00:09.913 --> 02:00:14.593]  And if you notice, most of our products have been sold out and haven't come back in a long time because of the supply chain.
[02:00:14.633 --> 02:00:16.434]  So, it's a real problem.
[02:00:16.754 --> 02:00:22.255]  I hope you'll supplement to keep us on air, pun intended, by buying some books, some films, some t-shirts.
[02:00:23.388 --> 02:00:26.831]  Uh, because I know you take the supplements, you like them, you buy them again every few months or whatever.
[02:00:27.051 --> 02:00:29.432]  That keeps us on air because you love them, that they work.
[02:00:29.893 --> 02:00:31.194]  T-shirts, okay, I bought a t-shirt.
[02:00:31.874 --> 02:00:32.474]  I need to buy another one.
[02:00:32.795 --> 02:00:34.896]  All I know is, I don't have big, rich donors.
[02:00:35.216 --> 02:00:36.377]  I don't have sugar daddies.
[02:00:36.477 --> 02:00:37.498]  I've got you to support us.
[02:00:37.878 --> 02:00:38.799]  InfowarsTour.com.
[02:00:39.299 --> 02:00:44.664]  The three items that are back in stock on top of those that will be selling for at least two weeks because we've got a decent supply of it for now.
[02:00:45.265 --> 02:00:46.506]  Big shipment of X3.
[02:00:46.867 --> 02:00:48.128]  All good types of iodine.
[02:00:48.208 --> 02:00:48.809]  Three types.
[02:00:49.169 --> 02:00:54.574]  So no matter what type of blood type you are, whatever your metabolic system is, there's different people like different types of iodine.
[02:00:54.814 --> 02:00:55.815]  This has all three.
[02:00:56.798 --> 02:00:59.400]  It's 60% off, because I got a big shipment of it.
[02:00:59.421 --> 02:01:01.042]  It's one of the only items we've got a bunch of.
[02:01:01.823 --> 02:01:05.306]  We've got the krill oil that's the highest grade that we can buy.
[02:01:05.326 --> 02:01:06.647]  It's the highest grade out there.
[02:01:06.707 --> 02:01:08.028]  It's just totally, insanely good.
[02:01:08.309 --> 02:01:09.610]  It does for your heart, your brain, your liver.
[02:01:09.630 --> 02:01:12.693]  I mean, you want to treat yourself and treat your family, especially if you're above 40.
[02:01:13.013 --> 02:01:13.934]  But kids can take it, too.
[02:01:13.974 --> 02:01:14.534]  It's great for them.
[02:01:14.875 --> 02:01:18.078]  And then bio-free selenium, pure selenium from the mustard seed.
[02:01:21.101 --> 02:01:22.622]  It is a thing unto itself.
[02:01:23.543 --> 02:01:29.488]  The energy it creates, the things it does, and little side effect, if you're a man, it'll make your hair fall out.
[02:01:30.529 --> 02:01:35.593]  It'll definitely give you libido and stamina and boost your testosterone and everything else, but it'll make that hair fall out.
[02:01:35.633 --> 02:01:36.694]  That's why mine falls out.
[02:01:37.775 --> 02:01:39.577]  What I eat energy, I'm like, I'm tired.
[02:01:39.877 --> 02:01:40.778]  I'll just take some of this.
[02:01:42.059 --> 02:01:46.747]  Works like a thunderbolt, but it is definitely the real deal.
[02:01:47.187 --> 02:01:49.932]  So it's all at InfoWarsStore.com or 888-253-3139.
[02:01:53.444 --> 02:01:54.625]  Thanks for keeping us on the air.
[02:01:54.685 --> 02:01:55.845]  It's been one hell of a run.
[02:01:56.186 --> 02:01:56.546]  Stay with us.
[02:01:56.986 --> 02:01:58.807]  You know, I don't like Joe Biden.
[02:01:58.827 --> 02:01:59.528]  He's a globalist.
[02:01:59.548 --> 02:02:06.352]  But I'm ashamed as an American to watch that skeleton toddle around on the stage and the gaffes and the stuttering and the bumbling.
[02:02:06.912 --> 02:02:09.454]  But it's all meant to break our will and rub it in our faces.
[02:02:09.474 --> 02:02:10.274]  He's not an American.
[02:02:10.855 --> 02:02:11.735]  He doesn't represent us.
[02:02:12.316 --> 02:02:12.896]  He's a joke.
[02:02:13.656 --> 02:02:15.037]  We live on together.
[02:02:15.798 --> 02:02:18.920]  And we're not going to be enslaved by that piece of trash.
[02:02:19.700 --> 02:02:20.361]  But speaking of him,
[02:02:21.523 --> 02:02:28.146]  Here is a clip of him talking about, as usual, I have a list of reporters I'm going to go to before.
[02:02:28.166 --> 02:02:35.770]  Remember a few months ago, they even zoomed in the list, the face, who they are, the questions already asked, the answers already there.
[02:02:36.130 --> 02:02:38.071]  It's scripted press conference.
[02:02:38.631 --> 02:02:41.492]  So Trump got like, ah, we hate you, because they didn't run it.
[02:02:41.832 --> 02:02:42.573]  Trump wasn't perfect.
[02:02:42.593 --> 02:02:43.153]  They just didn't run it.
[02:02:44.113 --> 02:02:46.454]  But now with Biden, he admits it's scripted.
[02:02:46.494 --> 02:02:48.215]  It's just all out.
[02:02:48.275 --> 02:02:49.816]  And then no other media will call it out.
[02:02:50.339 --> 02:02:51.140]  But we will.
[02:02:51.380 --> 02:02:51.740]  You will.
[02:02:51.800 --> 02:02:53.301]  Here it is.
[02:03:15.421 --> 02:03:23.849]  Yeah, so, remember there's photos and articles about it where they zoomed in and like saw like, it was like a picture of what the question, what the answer is.
[02:03:24.230 --> 02:03:28.614]  I mean, this is like scripted, like a play, you know, fake.
[02:03:30.356 --> 02:03:38.004]  Oh man, you know, just from a journalism perspective, if I told a guest, we're going to script every answer, every question, they'd say you're crazy.
[02:03:39.269 --> 02:03:43.710]  I get sending talking points, some shows, you know, hey, send me 10 questions or whatever, that's fine, I'll do it.
[02:03:44.151 --> 02:03:46.091]  But this is just, this is just asinine.
[02:03:46.511 --> 02:03:48.692]  But it's all, yeah, there it is, there's a photo of it.
[02:03:49.072 --> 02:03:51.153]  Their name, what the question is, all of it.
[02:03:51.533 --> 02:03:53.834]  I mean, this is criminal behavior.
[02:03:54.854 --> 02:03:56.615]  And by criminal, I mean a crime against truth.
[02:03:56.715 --> 02:03:57.955]  That's hyperbole.
[02:03:59.356 --> 02:04:02.777]  All right, let's go to this stack.
[02:04:05.198 --> 02:04:06.318]  Let's go to this stack right here.
[02:04:08.285 --> 02:04:10.987]  I tended to get into the whole race war false flag they're planning today.
[02:04:11.327 --> 02:04:15.890]  That's important to do, you know, get off the whole COVID stack, but COVID is the big enchilada.
[02:04:17.351 --> 02:04:25.016]  Other than the coming race war that they're trying to start that, as a law enforcement officer, or as the FBI, I would not want to start if I was you.
[02:04:25.036 --> 02:04:28.578]  But hey, I get you're tough, you're badass, you're invincible.
[02:04:29.179 --> 02:04:30.519]  So a war with
[02:04:31.876 --> 02:04:34.018]  $200 million is going to really go well.
[02:04:34.438 --> 02:04:35.559]  I'm just going to stay out of it.
[02:04:35.939 --> 02:04:37.440]  I'm not tough like you.
[02:04:37.540 --> 02:04:39.622]  I'm also not suicidal.
[02:04:40.582 --> 02:04:41.723]  You know me, I'm an extremist.
[02:04:41.763 --> 02:04:42.263]  I'm a bad guy.
[02:04:42.644 --> 02:04:43.884]  I'm into freedom and stuff like that.
[02:04:44.705 --> 02:04:45.466]  But here it is.
[02:04:46.606 --> 02:04:47.167]  Video.
[02:04:47.327 --> 02:04:51.970]  Rand Paul demands exclusion of Wuhan lab funders from investigation.
[02:04:52.350 --> 02:04:53.191]  Gee, think so?
[02:04:53.211 --> 02:04:59.015]  If you arrest a group of bank robbers, you don't have the bank robbers as the judge or the jury.
[02:05:00.438 --> 02:05:01.826]  So here's the Senator talking about that.
[02:05:04.150 --> 02:05:04.990]  Here's the problem.
[02:05:05.050 --> 02:05:07.391]  The WHO investigated this the first time.
[02:05:07.891 --> 02:05:10.552]  We suggested three people to send to China.
[02:05:10.932 --> 02:05:16.373]  They rejected all three and they accepted a guy named Peter Daszak, who was the one who funded the lab.
[02:05:16.894 --> 02:05:25.876]  So you can't have the people like Anthony Fauci or Peter Daszak, who were part of the funding mechanism, to send these funds to Wuhan lab.
[02:05:26.196 --> 02:05:28.377]  You can't have them investigating themselves.
