[00:00:01.025 --> 00:00:01.886]  You can feel it.
[02:35:42.708 --> 02:35:44.448]  So, Michael, we've talked about the problem.
[02:35:44.468 --> 02:35:46.349]  Because every time you come on, you want to show them it's happening.
[02:35:46.689 --> 02:35:47.969]  You want to show them it's getting worse.
[02:35:49.149 --> 02:35:50.910]  A few years ago, you said, look, they built the camp.
[02:35:50.950 --> 02:35:52.150]  Now it's about to get a lot bigger.
[02:35:52.170 --> 02:35:52.750]  And then it did.
[02:35:52.790 --> 02:35:54.831]  And now they're going to build permanent bridges.
[02:35:54.871 --> 02:35:55.671]  And now they're building them.
[02:35:56.091 --> 02:35:59.052]  And you've got the UN and Chinese and State Department signs.
[02:35:59.112 --> 02:36:01.152]  And we have the congressional funding doing it.
[02:36:01.452 --> 02:36:03.172]  And then again, I watched congressional hearings.
[02:36:03.733 --> 02:36:06.893]  Nothing about our government funding at all.
[02:36:06.973 --> 02:36:09.334]  Mayorkas, you sat on your hands.
[02:36:10.474 --> 02:36:20.198]  So I guess the Republican leadership, I guess you're saying Greg Abbott, they do Kabuki Theater or Iron Sheik versus Hulk Hogan, and that's all this is.
[02:36:20.639 --> 02:36:24.280]  And then meanwhile, all we've got to do is cut the funding off.
[02:36:24.600 --> 02:36:27.662]  What would happen if the funding was cut and the U.S.
[02:36:27.682 --> 02:36:30.763]  government still has some control over Panama, said get rid of those bridges?
[02:36:30.983 --> 02:36:31.643]  What would happen?
[02:36:31.704 --> 02:36:32.484]  What needs to happen?
[02:36:33.584 --> 02:36:34.224]  Oh, it'd be simple.
[02:36:34.585 --> 02:36:40.349]  You'll often hear people saying, we can't close the Darien Gap, which is complete nonsense, or we can't close the board.
[02:36:40.569 --> 02:36:42.790]  Nonsense, nonsense, nonsense.
[02:36:43.130 --> 02:36:46.052]  Anytime somebody says that, you know you're talking with a fool.
[02:36:46.513 --> 02:36:51.296]  Bottom line, the Darien Gap was closed, locked tight during the COVID lockdown.
[02:36:51.476 --> 02:36:52.016]  We're good to go.
[02:37:12.552 --> 02:37:17.916]  And so these numbers are constantly evolving, though, because, again, they don't all go through the Darien Gap.
[02:37:17.976 --> 02:37:20.378]  And, you know, Mayorkas is not sitting on his hands.
[02:37:20.658 --> 02:37:22.760]  He is part of the invasion force, right?
[02:37:23.200 --> 02:37:24.902]  And you see them talking about it.
[02:37:24.962 --> 02:37:30.526]  They're doing the old Mao thing, the communist thing, which is talk, talk, talk, fight, fight, fight, right?
[02:37:30.566 --> 02:37:32.327]  They're like, well, it's time to have talks.
[02:37:32.888 --> 02:37:34.589]  And fight, fight, fight, right?
[02:37:34.709 --> 02:37:39.373]  It's like the North Vietnamese were always having talks with us while they were kicking our ass.
[02:37:40.469 --> 02:37:42.170]  Talk, talk, talk, fight, fight, fight.
[02:37:42.190 --> 02:37:44.531]  Or actually, they would say, talk, talk, fight, fight, right?
[02:37:44.671 --> 02:37:46.912]  It's a very effective strategy.
[02:37:47.193 --> 02:37:50.574]  When Israel and Hamas did their talks, I'm like, nonsense.
[02:37:50.795 --> 02:37:52.095]  That's talk, talk, fight, fight, right?
[02:37:52.415 --> 02:37:53.616]  And you can see that, right?
[02:37:54.697 --> 02:37:55.617]  It's the normal thing.
[02:37:55.637 --> 02:37:58.759]  Hey, we're going to have talks while we clean our weapons and get ready for the next battle.
[02:37:59.079 --> 02:38:01.901]  And basically, it will continue.
[02:38:02.242 --> 02:38:12.591]  And you see the same kayfabe or, let's say, talk, talk, fight, fight going on every time Abbott and others say, hey, we're going to do something to show them what the pain is like.
[02:38:12.611 --> 02:38:15.914]  We're going to send some busloads or plane loads of people somewhere else.
[02:38:16.514 --> 02:38:19.717]  Again, he's just injecting the poison deeper into our hearts.
[02:38:20.097 --> 02:38:22.318]  This is a demographic war.
[02:38:23.078 --> 02:38:29.441]  It's obvious genocide is unfolding against Americans and Europeans, and it will happen with Japanese as well.
[02:38:29.521 --> 02:38:31.322]  I could go on in great detail about that.
[02:38:32.842 --> 02:38:38.585]  Let's shift gears into Mayorkas and the weird group that brought him in that's such a big part of this, this NGO.
[02:38:40.825 --> 02:38:41.326]  Ohio's.
[02:38:41.686 --> 02:38:46.271]  You know, the Hebrew, that organization is quite interesting.
[02:38:46.471 --> 02:38:48.153]  They're all over the place in Darien.
[02:38:48.454 --> 02:38:50.195]  Not just Darien, I see them in other places.
[02:38:50.235 --> 02:38:51.417]  I see them in Europe as well.
[02:38:51.937 --> 02:38:52.818]  And they're in the open.
[02:38:52.858 --> 02:38:57.624]  I eat lunch with them quite often in Darien because they're, again, I almost rented their office.
[02:38:57.804 --> 02:38:57.904]  That
[02:38:58.144 --> 02:39:06.317]  That office right there, that gate that you're looking at, that's the gate I just walked through with Brett Weinstein and Chris Martinson like five days ago.
[02:39:06.677 --> 02:39:07.479]  We just walked through that.
[02:39:07.839 --> 02:39:12.586]  And I love how they don't want us to have walls, but they've got a wall in Constantino around their facility.
[02:39:13.595 --> 02:39:14.075]  That's right.
[02:39:14.175 --> 02:39:17.836]  I mean, that's literally that little office right there.
[02:39:17.876 --> 02:39:19.077]  It's a house that they rented.
[02:39:19.637 --> 02:39:23.758]  They eat lunch at a restaurant like 50 yards away, and I often eat lunch with them.
[02:39:24.118 --> 02:39:27.699]  But the highest people that are there, they're just gears in the machine.
[02:39:27.739 --> 02:39:28.900]  They don't even know what's going on.
[02:39:28.920 --> 02:39:31.120]  You know, they're just a gear that does gear stuff, right?
[02:39:31.321 --> 02:39:34.702]  They don't even know that they're a gear and a clock or what time it is.
[02:39:35.062 --> 02:39:39.003]  But the highest, the larger group like Catholic Charities and whatnot,
[02:39:39.503 --> 02:39:43.788]  That is literally the Hebrew Immigration Assistance Society.
[02:39:44.168 --> 02:39:49.915]  That camp is literally just like 30 seconds walk from the front gate of China camp.
[02:39:50.295 --> 02:39:52.738]  They are literally helping the Chinese invasion.
[02:39:52.998 --> 02:39:55.141]  IS is the Jewish group, right?
[02:39:55.341 --> 02:39:56.983]  Now, is it actually a Jewish group?
[02:39:57.483 --> 02:39:59.245]  Is Catholic Charities actually Catholic?
[02:39:59.606 --> 02:40:00.266]  I do not know.
[02:40:00.607 --> 02:40:02.729]  But if they don't denounce it, then they accept it.
[02:40:03.130 --> 02:40:10.278]  If the Pope doesn't denounce Catholic Charities, who's doing a huge amount of the invasion into Texas, I'm out with those people all the time too.
[02:40:10.659 --> 02:40:13.082]  In places like McAllen or even down in Mexico.
[02:40:14.022 --> 02:40:16.564]  If the Pope doesn't denounce it, he accepts it.
[02:40:16.784 --> 02:40:17.664]  Bottom line, right?
[02:40:17.764 --> 02:40:21.326]  I mean, why is Catholic Charities a huge part of the child smuggling?
[02:40:21.686 --> 02:40:25.889]  Why is HIAS, the Jewish organization involved with child smuggling?
[02:40:26.209 --> 02:40:27.870]  Are they being denounced by...
[02:40:28.490 --> 02:40:30.331]  Well, let me move to solutions.
[02:40:30.391 --> 02:40:31.512]  Let me move to solutions.
[02:40:55.396 --> 02:40:56.537]  What do we need to do?
[02:40:57.438 --> 02:41:00.720]  What's best case scenario versus what happens if we don't get control?
[02:41:00.740 --> 02:41:04.163]  Because you were coming on two years ago, a year ago, saying it's going to be exponential.
[02:41:04.223 --> 02:41:05.864]  You've called it dead on.
[02:41:06.245 --> 02:41:09.387]  That's the guess we have back is the people that call it dead on.
[02:41:09.487 --> 02:41:10.528]  So you called it dead on.
[02:41:11.169 --> 02:41:14.391]  You can either cover what we need to do first or the bad case scenario.
[02:41:16.273 --> 02:41:16.733]  It's our government.
[02:41:17.153 --> 02:41:18.975]  I mean, as long as this government's in charge.
[02:41:19.773 --> 02:41:20.633]  We're going to get more of it.
[02:41:20.953 --> 02:41:25.155]  I mean, you know, we can't address it by my good friend Todd Binspin.
[02:41:25.315 --> 02:41:26.415]  He's a border expert.
[02:41:26.455 --> 02:41:29.076]  We've been down to Mexico and all over the border together.
[02:41:29.096 --> 02:41:36.398]  It was Todd Binspin and I and others who helped get those big lawsuits kicked off at Colony Ridge north of Houston.
[02:41:36.818 --> 02:41:38.198]  Todd is an expert on the border.
[02:41:38.218 --> 02:41:39.299]  I think he's been on your show.
[02:41:39.919 --> 02:41:43.140]  We disagree on how to treat countries like Panama.
[02:41:44.020 --> 02:41:46.421]  Todd thinks it has to be shut off down here, but it doesn't.
[02:41:46.461 --> 02:41:47.741]  It has to be shut off in Washington.
[02:41:48.858 --> 02:41:50.639]  I'm sorry, it has to be shut off in Davos.
[02:41:50.739 --> 02:41:52.040]  It has to be shut off in Geneva.
[02:41:52.060 --> 02:41:54.242]  It has to be shut off in Beijing, right?
[02:41:55.182 --> 02:41:56.683]  Sorry, I've been down in the jungle.
[02:41:56.703 --> 02:41:57.303]  No, I understand.
[02:41:58.104 --> 02:41:59.445]  And Trump's the guy to do it.
[02:41:59.505 --> 02:42:02.186]  Do you have faith in Trump if he gets in?
[02:42:04.428 --> 02:42:05.849]  You know, I have mixed feelings on Trump.
[02:42:05.949 --> 02:42:08.170]  I'm always very clear about what I think.
[02:42:08.250 --> 02:42:09.831]  I hate the jab part on Trump.
[02:42:09.871 --> 02:42:10.572]  Pushing the jab?
[02:42:11.479 --> 02:42:12.539]  Sorry, I'm not giving you a pass.
[02:42:12.559 --> 02:42:12.799]  Me too.
[02:42:12.859 --> 02:42:14.560]  But he can close the border.
[02:42:15.160 --> 02:42:19.221]  And he did not get us into any wars, which in our economy was smoking.
[02:42:19.321 --> 02:42:20.462]  It was doing good, right?
[02:42:21.002 --> 02:42:22.242]  And so these things were true.
[02:42:23.042 --> 02:42:24.723]  And so do I think Trump could do it?
[02:42:25.203 --> 02:42:28.524]  Well, let's just say I helped them out with information, right?
[02:42:28.624 --> 02:42:29.384]  Yeah, they can do it.
[02:42:29.464 --> 02:42:31.305]  They can close down the Central American border.
[02:42:31.525 --> 02:42:31.986]  No problem.
[02:42:32.206 --> 02:42:32.886]  It's child's play.
[02:42:33.207 --> 02:42:34.748]  It just takes will to do it, right?
[02:42:34.949 --> 02:42:37.771]  First of all, you get rid of all these cabinet members and all these woke people.
[02:42:38.132 --> 02:42:39.933]  You purge the U.S.
[02:42:40.274 --> 02:42:40.674]  Stay there.
[02:42:40.694 --> 02:42:41.695]  You only have the floor.
[02:42:41.755 --> 02:42:46.880]  Michael Young, when we come back, when he leaves, I'm going to talk to Holtman, Cassandra, Steve, and Bart.
[02:42:47.161 --> 02:42:47.601]  Stay there.
[02:42:48.122 --> 02:42:49.963]  But I'm going to come back and tell us about solutions.
[02:42:50.084 --> 02:42:52.766]  Michael Young, the preeminent investigative journalist.
[02:42:52.786 --> 02:42:53.167]  Stay with us.
[02:42:58.123 --> 02:43:02.250]  You know, I sit up here and I yell and scream about the New World Order and the globalists.
[02:43:02.270 --> 02:43:06.376]  They're planning to get rid of the borders and release a virus and have a global power grab.
[02:43:06.416 --> 02:43:07.478]  And you saw it all come true.
[02:43:08.580 --> 02:43:09.321]  But there's a...
[02:43:10.353 --> 02:43:10.953]  We're good to go.
[02:43:35.531 --> 02:43:41.355]  You can get either one of these great items at 40% off individually or together for 50% off.
[02:43:41.655 --> 02:43:45.557]  Now, the time we have left, I can't tell you why they're so great and what they do for your body.
[02:43:45.977 --> 02:43:50.700]  Go to InfoWarsHore.com, look at the ingredients and investigate it, and then get them.
[02:43:51.000 --> 02:43:53.501]  It supports the InfoWar and it'll change your life.
[02:43:54.082 --> 02:43:54.882]  Take advantage now.
[02:43:55.042 --> 02:43:55.783]  InfoWarsHore.com.
[02:43:58.655 --> 02:44:10.458]  We are in the middle of a crude and ugly communist revolution funded by the big banks as a battering ram into a new age digital economy and a total surveillance state.
[02:44:10.918 --> 02:44:16.399]  All branches of government are attacking we the people and they offer us only one option.
[02:44:16.719 --> 02:44:18.920]  A meaningless vote in a rigged election.
[02:44:19.820 --> 02:44:21.661]  What we can do is be prepared.
[02:44:22.141 --> 02:44:30.506]  And you can support the InfoWar by shopping at InfoWarStore.com for products to help you through good times and bad.
[02:44:31.266 --> 02:44:34.068]  And you can share the videos at Band.Video.
[02:44:34.708 --> 02:44:39.991]  Our best hope still is and always has been a mass awakening.
[02:44:40.451 --> 02:44:41.712]  So download the videos.
[02:44:42.532 --> 02:44:46.137]  Share them, upload them, and send them everywhere.
[02:44:46.817 --> 02:44:50.442]  Let the world unite for truth, justice, and 1776 worldwide.
[02:44:57.574 --> 02:45:01.318]  Why do you think the globalists are desperately trying to censor everybody?
[02:45:01.638 --> 02:45:04.801]  Why are they attacking myself and Donald Trump and Elon Musk and everybody else?
[02:45:05.201 --> 02:45:09.665]  Because they can't get through this giant megalomaniacal power grab if we're here exposing them.
[02:45:10.306 --> 02:45:12.428]  But we're not just exposing their operation.
[02:45:12.748 --> 02:45:20.736]  In my new book, we give you the solutions to build a new, better world, an alternative to Klaus Schwab's You Will Eat the Bugs.
