[00:00:00.009 --> 00:00:01.510]  ["Pomp and Circumstance"]
[02:47:35.689 --> 02:47:39.150]  This is to destroy the culture of the United States of America.
[02:47:39.270 --> 02:47:43.111]  I mean, Barack Obama is one of the big leaders of this.
[02:47:43.991 --> 02:47:46.972]  Biden can't even get up a flight of three stairs, let's face it.
[02:47:47.432 --> 02:47:50.413]  I mean, there are other people that are inside the government.
[02:47:50.433 --> 02:47:59.216]  There are other people that are outside the government and overseas that have their knives and forks out to start cutting up the United States of America.
[02:47:59.316 --> 02:48:00.076]  One of the things that we
[02:48:03.003 --> 02:48:08.127]  By the way, General Flynn, in closing, we're hitting millions of viewers right now.
[02:48:08.147 --> 02:48:10.589]  On top of that, we're hitting record listeners.
[02:48:11.069 --> 02:48:12.991]  So you are the former head of Defense Intelligence.
[02:48:13.011 --> 02:48:14.572]  You're the former National Security Advisor to Trump.
[02:48:14.972 --> 02:48:18.015]  You're the guy that warned Obama that China was going to do all this.
[02:48:18.235 --> 02:48:19.696]  For people that don't know, I'm trying to kiss your ass.
[02:48:19.736 --> 02:48:20.757]  You're like, you're a visionary.
[02:48:21.198 --> 02:48:28.984]  What can we do in closing with millions of new viewers right now watching who want freedom, they want prosperity, they don't want World War III?
[02:48:29.364 --> 02:48:29.965]  What do we do?
[02:48:31.451 --> 02:48:39.294]  Yeah, get off your asses and get out into your communities and let the people, let the local leaders know what it is that you're sick and tired of.
[02:48:39.455 --> 02:48:40.435]  I'm sick and tired of it.
[02:48:40.755 --> 02:48:47.938]  I mean, I'm doing it here in my local community on the west coast of Florida, and I'm going all over this country to tell people the exact same thing.
[02:48:48.318 --> 02:48:53.921]  Get off the couch and get out into your communities and start letting people know we are not going to put up with this bullshit.
[02:48:54.341 --> 02:49:10.722]  This is our country, this is the United States of America, and we expect to follow the law, we expect to follow the Constitution, we expect to have our rights, and we are going to put demands on all these elected officials, the good ones, the bad ones, and the ugly ones, because they are all
[02:49:11.002 --> 02:49:12.644]  Well that was my last question.
[02:49:12.684 --> 02:49:14.365]  How do we deal with the false flag?
[02:49:14.385 --> 02:49:16.587]  Because they are all over the news as you know.
[02:49:16.607 --> 02:49:17.849]  Literally thousands of articles.
[02:49:32.182 --> 02:49:33.323]  I saw like a hundred a day.
[02:49:33.843 --> 02:49:35.824]  They're gonna say we're staging terror attacks.
[02:49:35.904 --> 02:49:36.064]  No.
[02:49:36.445 --> 02:49:38.006]  Republican conservatives are not.
[02:49:38.386 --> 02:49:42.288]  Catholic Americans, Christian Americans, we're not staging terror attacks.
[02:49:42.368 --> 02:49:46.391]  How do we respond to them pre-programming that the terror attacks are coming?
[02:49:46.451 --> 02:49:47.712]  It's very obvious the false flag.
[02:49:48.971 --> 02:49:52.652]  Yeah, so never, never forget that the first report is always wrong.
[02:49:52.712 --> 02:49:58.054]  On the battlefield, a rule of intelligence on the battlefield is the first report is always wrong.
[02:49:58.694 --> 02:50:05.176]  So what is going to, what we could see is we could see, you know, a number of things occur
[02:50:06.016 --> 02:50:13.783]  And what we have got to be, you know, what we have to use great, great discernment for is to take a look at what it was.
[02:50:13.823 --> 02:50:15.645]  This is where I say steady sometimes.
[02:50:15.705 --> 02:50:17.687]  I say, you know, I would say steady boys, right?
[02:50:18.087 --> 02:50:18.728]  So steady.
[02:50:19.128 --> 02:50:20.369]  And take a look at what's happening.
[02:50:20.729 --> 02:50:21.850]  Understand your environment.
[02:50:22.611 --> 02:50:23.272]  And be aware.
[02:50:23.292 --> 02:50:24.913]  Be self-aware of what's going on.
[02:50:24.933 --> 02:50:26.675]  But don't get hysterical about the first report.
[02:50:27.776 --> 02:50:27.976]  No.
[02:50:28.156 --> 02:50:30.218]  Don't get crazy about, oh my God, this is a...
[02:50:30.982 --> 02:50:31.262]  I think?
[02:50:48.349 --> 02:51:00.755]  Jump on these kinds of spaces when something like that happens, and let's figure out what it is, let's do the analysis, and let's make the right decisions instead of automatically just thinking it's this or that, right?
[02:51:01.736 --> 02:51:08.399]  The first report is always wrong on the battlefield, and it will be that way when we start to see any false flags in this country, so stay steady.
[02:51:08.479 --> 02:51:10.900]  So tell us, General Flynn, how do we find the amazing work you're doing?
[02:51:12.762 --> 02:51:14.142]  Go to FlynnMovie.com.
[02:51:14.182 --> 02:51:15.102]  I appreciate it, Alex.
[02:51:15.223 --> 02:51:15.683]  FlynnMovie.com.
[02:51:15.783 --> 02:51:18.163]  If you haven't seen that movie, you gotta see it.
[02:51:18.623 --> 02:51:19.383]  I haven't seen it yet.
[02:51:19.423 --> 02:51:20.043]  It's amazing.
[02:51:20.464 --> 02:51:24.324]  In closing, how would you describe the current battle space with Trump?
[02:51:24.764 --> 02:51:26.665]  I see us winning huge.
[02:51:27.125 --> 02:51:28.665]  Then I see desperation by the establishment.
[02:51:28.685 --> 02:51:29.265]  Am I wrong?
[02:51:29.305 --> 02:51:31.646]  Or how would you describe the battle space and Trump?
[02:51:31.686 --> 02:51:33.926]  I mean, to me, I just smell victory everywhere.
[02:51:33.986 --> 02:51:36.927]  But I also sense desperation, which is super dangerous.
[02:51:38.453 --> 02:51:45.135]  Yeah, I think that, you know, I haven't been in a position where, generally where Trump is at right now.
[02:51:46.956 --> 02:51:49.737]  It's unnerving, but he's a strong, strong guy.
[02:51:49.777 --> 02:51:55.339]  He's got a strong family and I know that his faith, he doesn't wear it on his sleeve, but his faith is very strong.
[02:51:55.719 --> 02:51:59.920]  And I do think that all of us, whatever the decision is on the 11th by this crook,
[02:52:02.501 --> 02:52:12.526]  By this absolute crook, whatever that decision is, you know, whatever they do, whatever they decide to do, because they're going to decide the worst case, don't think conventionally.
[02:52:12.586 --> 02:52:13.987]  These people are irregular.
[02:52:14.027 --> 02:52:17.969]  They're following the Chinese irregular warfare doctrine to the letter.
[02:52:18.349 --> 02:52:20.250]  So don't think conventionally.
[02:52:20.591 --> 02:52:23.672]  What we have to be able to do is we have to be able to get in there with him.
[02:52:23.792 --> 02:52:25.113]  We might have to get in there with him.
[02:52:25.573 --> 02:52:34.657]  You know, given whatever it is that they do, and stand our ground until there's a decision made about the person that we want as the President of the United States.
[02:52:35.057 --> 02:52:40.020]  I mean, I love this idea about having, let's hold a goddamn convention on the 4th of July weekend.
[02:52:40.300 --> 02:52:41.000]  Screw these people.
[02:52:41.400 --> 02:52:49.184]  We don't need to go up to Milwaukee and operate like the conventional norms are and do what the GOP is telling us.
[02:52:49.224 --> 02:52:49.604]  Screw that.
[02:52:50.084 --> 02:52:53.867]  I mean, so that's just, I'm throwing that out there because right before that, I thought it was a good idea.
[02:52:53.887 --> 02:52:58.070]  We just have some rally in Dallas, Texas or wherever, it just certifies us.
[02:52:58.090 --> 02:52:58.490]  There you go.
[02:52:59.851 --> 02:53:07.016]  Yeah, I mean, we, so whatever ideas, I'm not the, you know, there's a lot more smarter people on this thing than I am.
[02:53:07.237 --> 02:53:07.797]  Oh really?
[02:53:07.817 --> 02:53:08.798]  General Flynn, who are they?
[02:53:10.567 --> 02:53:23.257]  Well, we gotta have some ideas about what to do, and I do think that there's some great ideas out there, and we ought to think about some of these things that people are proposing, and then let's just execute.
[02:53:23.357 --> 02:53:28.020]  I mean, to me, it's like, the more we stand our ground, the more we are communicating with each other... No, you're right.
[02:53:28.040 --> 02:53:28.661]  You just said it.
[02:53:28.681 --> 02:53:30.222]  Execution is our will.
[02:53:30.502 --> 02:53:32.023]  Execute, and just say, we're done.
[02:53:32.043 --> 02:53:32.404]  This is it.
[02:53:33.373 --> 02:53:36.014]  Yeah, this is it.
[02:53:36.094 --> 02:53:38.154]  Enough is enough of this bullshit.
[02:53:38.654 --> 02:53:39.395]  This is insane.
[02:53:39.435 --> 02:53:41.115]  They're destroying the country.
[02:53:41.175 --> 02:53:43.296]  They're taking away our rights.
[02:53:43.676 --> 02:53:58.420]  There is a small group of people inside of the government that are operating with a larger group outside the government, and they mean to finish up their objective, which is to turn this country into a communist Marxist regime.
[02:53:59.980 --> 02:54:04.022]  I mean, this is for real, this is it.
[02:54:04.362 --> 02:54:09.724]  On the globalist side, there are people overseas that have said this is going to be the last U.S.
[02:54:09.764 --> 02:54:12.985]  presidential election this coming November, if they have it.
[02:54:13.445 --> 02:54:14.205]  That's not my words.
[02:54:14.305 --> 02:54:16.286]  That's words coming out of the World Economic Forum.
[02:54:16.706 --> 02:54:22.168]  So, I mean, these are some very serious times, and we need serious people.
[02:54:22.628 --> 02:54:25.929]  But like I said, Alex and everybody listening, stay steady.
[02:54:26.369 --> 02:54:27.590]  Don't believe the first reports.
[02:54:28.130 --> 02:54:29.651]  Get in there and figure out what's happening.
[02:54:29.711 --> 02:54:33.372]  Communicate across the horizon with everybody.
[02:54:33.792 --> 02:54:35.333]  Find those people that you can trust.
[02:54:35.813 --> 02:54:37.433]  Get involved in your local communities.
[02:54:37.453 --> 02:54:40.374]  Bottom line, General Flynn, God help us.
[02:54:40.774 --> 02:54:42.575]  This is an epic battle for the Republic.
[02:54:42.595 --> 02:54:43.235]  This is here.
[02:54:43.675 --> 02:54:46.116]  This is a once-in-a-five-generation thing.
[02:54:46.496 --> 02:54:47.056]  It's happening.
[02:54:47.457 --> 02:54:48.437]  I want to see your movie.
[02:54:48.457 --> 02:54:49.277]  I can't wait to see it.
[02:54:49.297 --> 02:54:50.538]  I want to get you in the studio.
[02:54:50.558 --> 02:54:51.818]  I want to see the movie as soon as I can.
[02:54:52.138 --> 02:54:53.359]  How do we find the movie again?
[02:54:53.499 --> 02:54:54.359]  Have people watch it online?
[02:54:55.492 --> 02:54:57.915]  Yeah, go to FlynnMovie.com and you can stream it.
[02:54:58.055 --> 02:54:58.516]  You can stream it.
[02:54:58.536 --> 02:54:59.197]  I appreciate that.
[02:54:59.857 --> 02:55:01.119]  No, General Flynn, I appreciate you.
[02:55:01.139 --> 02:55:02.040]  You're such a hero.
[02:55:02.441 --> 02:55:03.562]  And it's not about kissing your ass.
[02:55:03.602 --> 02:55:04.763]  You are a great American.
[02:55:04.823 --> 02:55:07.867]  We love you and we thank your family for your sacrifices.
[02:55:08.188 --> 02:55:08.989]  Thank you, General Flynn.
[02:55:10.330 --> 02:55:11.091]  God bless, Alex.
[02:55:11.111 --> 02:55:11.652]  Thanks, everybody.
[02:55:12.250 --> 02:55:22.798]  That's the former head of defense intelligence, the former top national security advisor, the guy that ran the whole army, the guys like the Grim Reaper, literally telling you what's going on right now.
[02:55:22.878 --> 02:55:28.522]  And that's why I'm so proud to be here, folks, and not to bow when they tried to shut this down last night.
