[00:00:04.685 --> 00:00:07.868]  On FISA, there are a couple of amendments that are being considered.
[02:43:01.548 --> 02:43:02.309]  Hurry up, you guys!
[02:43:03.328 --> 02:43:04.249]  Get your asses on there!
[02:43:05.149 --> 02:43:05.869]  Epstein Island.
[02:43:06.850 --> 02:43:07.710]  Jeff and Luke.
[02:43:08.991 --> 02:43:09.531]  Holy shit!
[02:43:11.673 --> 02:43:16.635]  I gotta say though, once you get near the island, well the water there is beautiful.
[02:43:35.441 --> 02:43:51.193]  This is a Grodowski of WeAreChange.org here with Jeff Berwick, the Dollar Vigilante, off yet another crazy, insane adventure, this time to Jeffrey Epstein's private island, Little St.
[02:43:51.393 --> 02:43:51.774]  James.
[02:43:52.574 --> 02:43:56.738]  And there's a lot of things we're going to have to get into in this video, but I don't even know where to begin.
[02:43:56.778 --> 02:44:01.581]  I mean, just even being here, it was difficult finding a boat operator.
[02:44:01.802 --> 02:44:03.403]  Jeff, just start it off from here.
[02:44:04.127 --> 02:44:08.288]  Well, we were in the area, and we thought, you know, no one's ever gone on this island.
[02:44:08.368 --> 02:44:13.149]  No one, no real media, no anyone really that I know of has ever gone on.
[02:44:13.169 --> 02:44:18.290]  We only get the information from the government and the mainstream media, and those are the two things you can never trust with information.
[02:44:19.030 --> 02:44:22.551]  So we're like, well, I guess we have to go and check this out and see if it's even real.
[02:44:22.871 --> 02:44:24.751]  For all we know, there might not be anything there.
[02:44:24.851 --> 02:44:26.992]  It's always lies, the way they tell us.
[02:44:27.632 --> 02:44:30.515]  Uh, and for all we know, there could still be some activity going on there.
[02:44:30.555 --> 02:44:32.617]  Maybe Bill Clinton's there, maybe Jeffrey Epstein's there.
[02:44:32.977 --> 02:44:34.098]  No one's looking into this.
[02:44:34.158 --> 02:44:36.880]  So, we took it upon ourselves to, well, let's do it.
[02:44:36.940 --> 02:44:37.621]  But it wasn't easy.
[02:44:37.661 --> 02:44:40.223]  We've, most captains said they wouldn't take us to the island.
[02:44:40.243 --> 02:44:47.430]  Uh, there's all kinds of, you know, different countries on different islands, so we had to work our way around that, make sure we weren't doing too many illegal things all at once.
[02:44:48.671 --> 02:44:53.675]  And yeah, just rolling up to the island and actually seeing that temple, which is there, so we have verified that.
[02:44:53.715 --> 02:44:56.698]  This is a lot of verification of what is actually there.
[02:44:57.258 --> 02:44:58.319]  It was pretty surreal.
[02:44:58.539 --> 02:45:02.843]  Yeah, and it was also kind of a little daunting, a little scary kind of going in there because
[02:45:03.323 --> 02:45:07.584]  You know, in some jurisdictions, you could just get shot and killed for going on private property.
[02:45:07.624 --> 02:45:24.650]  And this is, you know, someone that was extremely powerfully connected to presidents, prime ministers, royalty, and was able to evade law enforcement for some of the worst, most despicable acts in this world.
[02:45:24.930 --> 02:45:30.772]  This is a man that literally, when he was finally, finally put to court,
[02:45:31.192 --> 02:45:32.033]  We're good to go.
[02:45:46.363 --> 02:45:54.888]  Billionaires, leaders, bankers, the most influential people who were on that island, and there was really no one else to verify it.
[02:45:54.988 --> 02:46:06.235]  All I've really seen from independent media is a guy who is anonymous, or a girl who is anonymous, that is flying drones over the island and just documenting what is there.
[02:46:06.795 --> 02:46:09.677]  You know what's incredible about Luke Rikowsky is he's confronted, what?
[02:46:11.910 --> 02:46:13.432]  300, 400, 500 world leaders?
[02:46:13.452 --> 02:46:14.333]  A lot of them, yes.
[02:46:14.854 --> 02:46:18.218]  And I always notice, I see your videos viral, like 10 million, 5 million.
[02:46:18.518 --> 02:46:20.461]  And they're not even on my channel.
[02:46:20.981 --> 02:46:22.023]  It's not even you posting them.
[02:46:22.043 --> 02:46:24.125]  So I was like, hey, can we upload this?
[02:46:24.145 --> 02:46:24.866]  Yeah, please do.
[02:46:25.407 --> 02:46:26.829]  But how do people follow you on X?
[02:46:27.950 --> 02:46:28.831]  You do incredible work.
[02:46:28.991 --> 02:46:30.072]  I still have a YouTube channel.
[02:46:30.112 --> 02:46:31.573]  It's still barely holding on.
[02:46:31.613 --> 02:46:32.714]  They're deleting old videos.
[02:46:32.754 --> 02:46:34.635]  That's youtube.com forward slash we are change.
[02:46:34.696 --> 02:46:37.858]  We have a deal with rumble rumble.com forward slash we are change.
[02:46:37.878 --> 02:46:42.381]  We have a podcast that we do there with Clint Russell on The Best Political Show.
[02:46:42.402 --> 02:46:43.042]  We have a lot of fun.
[02:46:43.062 --> 02:46:44.443]  We just had Jay Dyer on.
[02:46:44.783 --> 02:46:46.565]  We had so many incredible people on.
[02:46:46.625 --> 02:46:47.285]  Roger Stone.
[02:46:47.325 --> 02:46:48.686]  We have really incredible guests.
[02:46:48.746 --> 02:46:49.387]  I want to come on.
[02:46:49.647 --> 02:46:49.927]  Come on.
[02:46:49.947 --> 02:46:50.688]  You're more than welcome.
[02:46:50.788 --> 02:46:51.188]  Anytime.
[02:46:51.228 --> 02:46:52.589]  We'll show you a good time in Miami.
[02:46:52.629 --> 02:46:53.230]  We do a lot of tax
[02:46:53.430 --> 02:46:53.871]  Let's set it up.
[02:46:53.911 --> 02:46:54.432]  Let's do a trip.
[02:46:54.452 --> 02:46:55.294]  Let's do some beatings.
[02:46:55.314 --> 02:46:56.677]  Let's even do a nature hike.
[02:47:03.971 --> 02:47:05.252]  We'll do a little private one.
[02:47:05.292 --> 02:47:05.972]  We'll do a fun one.
[02:47:05.992 --> 02:47:07.853]  No, I'll do one with people.
[02:47:08.253 --> 02:47:09.093]  I can hike 20 miles.
[02:47:09.153 --> 02:47:09.873]  Let's do it.
[02:47:09.933 --> 02:47:10.273]  It's awesome.
[02:47:10.313 --> 02:47:10.634]  It's incredible.
[02:47:10.674 --> 02:47:14.735]  Even with a blown Achilles, I can hike about 5,000 feet, you know, peak easy.
[02:47:14.815 --> 02:47:17.376]  Yeah, it's amazing when you challenge yourself, what you can see.
[02:47:17.396 --> 02:47:19.477]  Well, I get high doing it.
[02:47:19.497 --> 02:47:20.858]  The first 30 minutes is hard.
[02:47:20.958 --> 02:47:22.358]  Like, I used to be the longest swimmer.
[02:47:23.719 --> 02:47:25.139]  Like, super swimmer, but I've swam 5 miles.
[02:47:25.199 --> 02:47:27.900]  Once you get over that hike, it's incredible how long you just keep going and going.
[02:47:27.920 --> 02:47:28.781]  Yeah, once you hit that point.
[02:47:28.921 --> 02:47:29.621]  It's hypnotic.
[02:47:30.161 --> 02:47:31.202]  It's absolutely incredible.
[02:47:31.222 --> 02:47:31.842]  It's hypnotic, yeah.
[02:47:32.142 --> 02:47:36.541]  Yeah, once you hit a half-mile swimming, then it just goes... descending with hiking.
[02:47:36.561 --> 02:47:37.163]  Yeah, I love that.
[02:47:38.930 --> 02:47:41.291]  That's another incredible thing that I can't recommend enough.
[02:47:41.331 --> 02:47:53.073]  People go out there, do, touch grass, live life, and... Well, when I live weights, I try to do like 30 reps and stuff just to lose weight, but I guess my genetic type is just... I just get bigger, muscle-wise.
[02:47:53.173 --> 02:47:55.254]  It just doesn't... it doesn't go away.
[02:47:55.354 --> 02:47:58.934]  Whatever it is, as long as you're active, as long as you're... Oh, I'm active, yeah.
[02:47:59.014 --> 02:48:05.096]  That's what matters in life, and that's when the true kind of vigor of life kind of takes hold of you, and you kind of just follow its path.
[02:48:05.276 --> 02:48:05.536]  Boom!
[02:48:05.556 --> 02:48:06.236]  When I go to Miami,
[02:48:07.068 --> 02:48:09.829]  I'm going to do you, Patrick, Matt, David, and we're going to do a nature hike.
[02:48:09.849 --> 02:48:10.109]  Let's do it.
[02:48:10.129 --> 02:48:10.849]  You can bring people.
[02:48:11.089 --> 02:48:11.609]  Absolutely.
[02:48:11.629 --> 02:48:12.349]  Yeah, let's do it.
[02:48:12.409 --> 02:48:13.089]  It's going to be incredible.
[02:48:13.269 --> 02:48:16.310]  Something I want to do, and again, it's not about, oh, I'm so famous.
[02:48:16.370 --> 02:48:16.850]  I'm so cool.
[02:48:16.890 --> 02:48:18.030]  I bet you get mobbed everywhere too.
[02:48:18.610 --> 02:48:20.131]  It's that I've been doing this 30 years.
[02:48:20.151 --> 02:48:21.931]  You've been doing it 22 years or 21 years.
[02:48:23.111 --> 02:48:27.672]  And the average person isn't well known, which is a great thing to have anonymity.
[02:48:27.712 --> 02:48:28.972]  I'm not saying, oh, look, you're not well known.
[02:48:29.252 --> 02:48:30.073]  I wish I was like that.
[02:48:30.533 --> 02:48:31.253]  That's a great thing.
[02:48:31.713 --> 02:48:36.314]  But one of the good benefits of being really famous is I get to really gauge the public.
[02:48:37.233 --> 02:48:41.975]  And I mean, I don't like Starbucks as its leftist, but I'm with my 16-year-old daughter here today.
[02:48:41.995 --> 02:48:43.256]  We're visiting the family in the hospital.
[02:48:43.276 --> 02:48:47.598]  She goes, I want, you know, whatever the chai chi tea is or whatever it is.
[02:48:48.318 --> 02:48:50.559]  And so we go into a Starbucks.
[02:48:50.939 --> 02:48:51.819]  The manager's there.
[02:48:51.859 --> 02:48:52.720]  He goes, everything's free.
[02:48:54.337 --> 02:48:58.501]  And so we go, okay, I want this banana bread, I want that, and that's what I was going to get, and this.
[02:48:58.521 --> 02:48:59.902]  He goes, no, take more stuff.
[02:49:00.322 --> 02:49:12.071]  And then all the coffee people, men and women, it was full of people, we're all fans, and then almost everyone in the place, it was packed like lunch, were coming up saying, thanks for what you're doing, we know it's all lies.
[02:49:12.451 --> 02:49:13.712]  This is a liberal part of Austin.
[02:49:14.173 --> 02:49:15.114]  I want the Global Snow.
[02:49:15.834 --> 02:49:17.535]  Sure, I would go places and shake a lot of hands.
[02:49:17.795 --> 02:49:18.575]  Nothing like this.
[02:49:18.675 --> 02:49:19.936]  It's ten times the effect.
[02:49:20.236 --> 02:49:23.517]  And so the left always writes articles going, Jones claims he's popular and has no proof.
[02:49:23.917 --> 02:49:26.859]  So, it feels weird to do it, but I want to show them.
[02:49:27.839 --> 02:49:34.527]  I'm going to do a production soon where I go to a grocery store, I go to a Starbucks, I go to whatever, and I'm just going to blur their faces and go, you see?
[02:49:34.547 --> 02:49:37.870]  And I'm going to have a timecode so I'm not like just looking at them.
[02:49:38.131 --> 02:49:39.192]  They are screwed, dude.
[02:49:39.552 --> 02:49:43.597]  I mean, I've been attacked in the last year and a half, like three times.
[02:49:44.097 --> 02:49:45.659]  I just get attacked every day.
[02:49:46.500 --> 02:49:47.962]  So, something's changed, Luke.
[02:49:48.162 --> 02:49:49.885]  It definitely does feel like there's some kind of renaissance.
[02:49:49.925 --> 02:49:55.392]  There's some kind of larger kind of awakening happening within humanity, and you can feel it within the kind of energy.
[02:49:55.412 --> 02:49:56.974]  You can feel it within the kind of ether.
[02:49:57.234 --> 02:49:59.577]  You can feel it kind of all around us, and it's incredible.
[02:50:00.538 --> 02:50:04.163]  It's something that truly has shown that an idea's time has come.
[02:50:04.343 --> 02:50:05.264]  So you're seeing the same thing?
[02:50:05.444 --> 02:50:06.586]  You're well-known, what are you seeing?
[02:50:06.766 --> 02:50:09.409]  I'm seeing a lot of very similar stuff to what you're describing.
[02:50:09.469 --> 02:50:14.154]  A lot of amazing individuals coming up, you know, clear-eyed, happy, full of life.
[02:50:14.575 --> 02:50:16.477]  Isn't it funny how they look different?
