[00:00:04.646 --> 00:00:05.011]  What the fuck?
[02:23:37.322 --> 02:23:45.650]  And if you think it's bad now, it's really going to be bad if we were actually by some chance going to get a Democrat in 2020.
[02:23:46.251 --> 02:23:46.851]  It's going to be bad.
[02:23:46.871 --> 02:23:48.292]  We're not going to have free speech anymore.
[02:23:48.312 --> 02:23:49.754]  Remember back when we were like,
[02:23:51.246 --> 02:23:53.007]  Oh, it's almost like autism is targeting boys.
[02:23:53.027 --> 02:23:54.087]  85% are boys.
[02:23:54.127 --> 02:23:58.048]  Or, oh, they're trying to put all the kids, all their boys, on Ritalin that brain damages them.
[02:23:58.428 --> 02:23:59.429]  It's like they're targeting them.
[02:23:59.729 --> 02:24:01.949]  They now say, we're targeting boys!
[02:24:02.369 --> 02:24:03.550]  We're targeting families!
[02:24:03.590 --> 02:24:04.450]  We're targeting women!
[02:24:04.730 --> 02:24:05.570]  Humans are bad!
[02:24:05.610 --> 02:24:06.811]  We're gonna kill everybody!
[02:24:07.091 --> 02:24:08.431]  It's like, my God!
[02:24:08.791 --> 02:24:10.312]  Why aren't more people more pissed?
[02:24:10.572 --> 02:24:11.052]  Exactly.
[02:24:11.092 --> 02:24:14.293]  The left is outright admitting that they hate white males.
[02:24:14.373 --> 02:24:15.994]  We hear them saying this all the time.
[02:24:16.034 --> 02:24:18.795]  So why wouldn't they just admit they're targeting males?
[02:24:18.955 --> 02:24:24.796]  They have major breweries saying if you see a Trump supporter or a conservative, hit them in the head with a brick and kill them.
[02:24:25.076 --> 02:24:28.378]  And then people say you're asking for trouble, they freak out and call the police.
[02:24:28.738 --> 02:24:36.060]  There's no reality or there's a paradox where they attack, we defend, they call that violence.
[02:24:36.420 --> 02:24:39.281]  Standing up to a leftist, swinging a bike lock,
[02:24:39.861 --> 02:24:41.003]  Is now terrorism.
[02:24:41.524 --> 02:24:43.947]  Asking questions to a leftist is now terrorism.
[02:24:44.007 --> 02:24:48.934]  That's what the ladies out at this Stop the Abortion Ban protest were saying to me and Caitlin.
[02:24:49.094 --> 02:24:50.677]  How dare we question women?
[02:24:50.917 --> 02:24:55.383]  How dare we question their stances when they want to kill babies?
[02:24:56.044 --> 02:24:58.446]  They think that that was hateful and harassing.
[02:24:58.466 --> 02:24:59.587]  They say they want to kill babies.
[02:24:59.647 --> 02:25:00.488]  I have them on video.
[02:25:00.929 --> 02:25:02.670]  And they make joke videos about that.
[02:25:02.871 --> 02:25:07.615]  When we come back, we're going to play your report that's incredible and another amazing report by Kaitlyn Bennett.
[02:25:08.196 --> 02:25:14.562]  And then I even see how they attack Kaitlyn and you with these fake memes, these fake lies, these fake stories, these fake legends.
[02:25:14.882 --> 02:25:17.004]  But you ladies just laugh at it and keep moving forward.
[02:25:17.264 --> 02:25:20.968]  And that's what pisses them off because you have a word called integrity.
[02:25:21.449 --> 02:25:27.307]  and soul and a compass and you know who you are, you know what you stand for, you know the truth.
[02:25:29.070 --> 02:25:36.933]  They're starting to attack any conservative now that simply goes out and shows that the left is deranged and crazy.
[02:25:37.574 --> 02:25:41.775]  They even attacked Candace Owens and some would say she's kind of milquetoast, you know?
[02:25:42.156 --> 02:25:44.337]  So they're gonna continue to censor us.
[02:25:44.817 --> 02:25:46.978]  It doesn't stop at Alex Jones and Infowars.
[02:25:47.338 --> 02:25:56.922]  It's only going to get worse and that's why it's good that the president just recently had released a form on the whitehouse.gov website where anyone who has been
[02:25:57.022 --> 02:25:58.163]  Can report the censorship.
[02:25:58.203 --> 02:25:58.564]  Exactly.
[02:25:58.604 --> 02:25:59.805]  And that's important because they need evidence.
[02:25:59.825 --> 02:26:00.366]  They're building a dossier.
[02:26:00.626 --> 02:26:03.929]  They need evidence to be able to hold social media accountable.
[02:26:04.190 --> 02:26:09.896]  And let me go further than that because this is something I haven't said because I didn't want to toot horns but I think three weeks after...
[02:26:11.345 --> 02:26:18.569]  Tomorrow, three weeks tomorrow, Trump tweeting you and tweeting our links and tweeting Paul Watson and saying how proud he is of InfoWars.
[02:26:19.330 --> 02:26:22.992]  That was Trump in a major alignment saying, I've been aligned, I am aligned.
[02:26:23.592 --> 02:26:25.913]  All your attacks on InfoWars aren't going to make me forsake it.
[02:26:26.174 --> 02:26:29.015]  But he gets we're not going to forsake him unless he forsakes the message.
[02:26:29.375 --> 02:26:30.416]  But that's what pisses him off.
[02:26:30.796 --> 02:26:37.320]  They want to define what's acceptable and they want to then redefine what wasn't acceptable as acceptable.
[02:26:37.918 --> 02:26:46.950]  Exactly, and what Trump essentially did was he showed he's not willing to sell out to any establishment, whether it be the Democrats or some of the old rhino neocons.
[02:26:47.250 --> 02:26:53.378]  He's loyal to the grassroots because he knows the grassroots are the blue-collar Americans, the people who are going to vote for him.
[02:26:53.398 --> 02:26:54.239]  And it was such a stupid plan.
[02:26:55.100 --> 02:27:01.264]  They thought they could attack me in the name of Trump, and that would get me to drop Trump, or they could attack Trump in my name, he would drop me.
[02:27:01.964 --> 02:27:03.005]  And that's not how this works.
[02:27:03.645 --> 02:27:11.670]  And they cannot believe that they can't... And I even told Trump, I said, you know, last time I talked to him, I said, listen, for whatever reason, you're smarter than I am in many ways.
[02:27:12.591 --> 02:27:17.434]  And you know, in your age, I said, if you need to throw me under the bus, I've said some things out of context, they're going, do it.
[02:27:18.414 --> 02:27:20.356]  And I'm not going to attack you for that.
[02:27:20.396 --> 02:27:28.682]  As long as you stay true to the agenda of Americana and freedom and pro-life and God and country and the military and our borders, I'm going to support it.
[02:27:28.702 --> 02:27:31.223]  And Trump said, very interesting, I'll keep that in mind, but that's not going to be needed.
[02:27:32.044 --> 02:27:32.865]  And I said, well, then fine.
[02:27:32.905 --> 02:27:33.645]  Don't call me anymore.
[02:27:33.665 --> 02:27:34.806]  I don't need you to pat me on the head.
[02:27:35.426 --> 02:27:37.088]  If you need people to get in contact with me, do it.
[02:27:37.128 --> 02:27:39.489]  And now I'm not going to get into it, obviously.
[02:27:40.470 --> 02:27:42.210]  I mean, it's not anything fancy or big.
[02:27:42.511 --> 02:27:44.031]  We're creating the trends here.
[02:27:44.051 --> 02:27:44.091]  U.S.
[02:27:44.471 --> 02:27:46.652]  intelligence is loyal to the country, listens to me.
[02:27:46.672 --> 02:27:49.212]  I listen to them too, but it's mainly 90% the other way.
[02:27:49.632 --> 02:27:50.953]  And so now, they can't stand it.
[02:27:50.973 --> 02:27:52.353]  I write reports, it's given to U.S.
[02:27:52.373 --> 02:27:53.954]  intelligence, goes right to the President.
[02:27:54.474 --> 02:27:56.914]  And I've got law firms doing it, and that's how it works, and they can't stand it.
[02:27:57.094 --> 02:27:57.955]  They could take me off air.
[02:27:58.335 --> 02:27:59.695]  My reports still go right to the President.
[02:28:00.035 --> 02:28:01.676]  And they cannot stand it, Milley.
[02:28:02.016 --> 02:28:02.856]  They cannot stand it.
[02:28:03.476 --> 02:28:05.177]  I just said, sir, no need to talk to me over the telephone.
[02:28:05.197 --> 02:28:06.798]  Just get your people in touch with me.
[02:28:06.818 --> 02:28:07.418]  I'll get your reports.
[02:28:07.438 --> 02:28:08.939]  He said, that's a good plan, Mr. Jones.
[02:28:09.299 --> 02:28:10.160]  Really appreciate that.
[02:28:10.740 --> 02:28:11.420]  And just keep it up.
[02:28:11.761 --> 02:28:12.041]  Boom!
[02:28:12.201 --> 02:28:12.621]  We're done.
[02:28:12.961 --> 02:28:13.622]  We're Americans.
[02:28:13.662 --> 02:28:15.302]  This isn't about me getting a job in D.C.
[02:28:15.523 --> 02:28:16.743]  It's not about getting patted on the head.
[02:28:16.923 --> 02:28:21.546]  It's about them not aborting babies and killing babies after they're born and teaching five-year-olds how to suck cock.
[02:28:22.085 --> 02:28:28.511]  Exactly, and not doing away with the First Amendment, the Second Amendment, the Constitution that protects the American people.
[02:28:28.731 --> 02:28:30.453]  That's what the Democrats want to get rid of.
[02:28:30.473 --> 02:28:31.133]  This is war.
[02:28:31.534 --> 02:28:32.474]  You want it, you got it.
[02:28:32.675 --> 02:28:36.478]  They keep suing me, they keep threatening me, they keep lying about me, they keep attacking me.
[02:28:36.698 --> 02:28:38.340]  I want them to get it through their head.
[02:28:38.360 --> 02:28:38.920]  I love it.
[02:28:39.581 --> 02:28:40.702]  I'm coming for you.
[02:28:41.182 --> 02:28:42.363]  I'm going to get you.
[02:28:42.804 --> 02:28:43.645]  I'm better than you.
[02:28:43.965 --> 02:28:44.966]  I don't worship Satan.
[02:28:45.246 --> 02:28:45.967]  I worship God.
[02:28:46.267 --> 02:28:46.847]  I love life.
[02:28:47.128 --> 02:28:47.988]  So get ready.
[02:28:48.729 --> 02:28:51.814]  You are going to be run over by me politically.
[02:28:52.515 --> 02:28:56.621]  And if that means that I splatter up against the wall with you, that's fine.
[02:28:56.661 --> 02:28:57.963]  You're going to get it.
[02:28:58.183 --> 02:28:59.685]  My hands are around your neck.
[02:29:06.861 --> 02:29:12.244]  I'm here in my parents' kitchen because my house flooded with torrential rains this week.
[02:29:13.025 --> 02:29:13.965]  So it flooded part of the house.
[02:29:13.985 --> 02:29:15.766]  They're having to fix that, so I've been staying over here.
[02:29:17.047 --> 02:29:23.651]  And I looked in my parents' cupboard and found that they were stocked up on some of the InfoWars Life products.
[02:29:23.671 --> 02:29:24.452]  And I thought, wait a minute.
[02:29:25.112 --> 02:29:31.076]  I've been thinking about coming over to their house because their kitchen's nicer than mine and shooting a video about how amazing these products are.
[02:29:31.616 --> 02:29:34.741]  So I called Drew, one of our great camera people over at InfoWars this morning.
[02:29:35.342 --> 02:29:40.530]  I said, hey, why don't you meet me over here and I'm going to shoot a video I've been meaning to do for probably a year.
[02:29:40.610 --> 02:29:41.832]  So I'm like, I've got everything right here.
[02:29:43.146 --> 02:29:44.667]  It's time to show you what I personally do.
[02:29:45.148 --> 02:29:46.269]  Now, I want to be clear.
[02:29:47.129 --> 02:29:56.457]  When I remember to take the supplements religiously, I lose weight, I'm healthy, my skin gets great, I have better stamina, libido, energy.
[02:29:57.097 --> 02:29:58.138]  I've never been a supplements guy.
[02:29:58.158 --> 02:30:02.441]  A lot of my big sponsors were supplement people, and I thought, well, why don't I try these then?
[02:30:02.782 --> 02:30:03.822]  And it turned out they were really good.
[02:30:04.463 --> 02:30:07.365]  So we came out, as you know, six years ago with our own line of supplements.
[02:30:07.385 --> 02:30:08.726]  We've been expanding it ever since.
[02:30:08.746 --> 02:30:10.147]  And what we do is,
[02:30:11.028 --> 02:30:17.754]  Set out to already find what's the highest rated, already find what's the cleanest, what's the best, and then make it better, and then cut the price.
[02:30:18.335 --> 02:30:19.936]  And that's what we've done with these products.
[02:30:20.197 --> 02:30:30.146]  And that's why InfoWars Live products are so highly rated by third-party sites, that's why they're so popular with you, and it's also great because it funds our political operations, trying to stop the technotronic, technocracy takeover.
[02:30:32.942 --> 02:30:36.245]  I always start taking the supplements and then I forget to take them.
[02:30:36.265 --> 02:30:41.990]  I either run out or I just get busy and then all of a sudden I'm not taking DNA Force.
[02:30:42.450 --> 02:30:44.171]  All of a sudden I'm not taking X2.
[02:30:44.211 --> 02:30:45.853]  I'm not taking Secret 12.
[02:30:46.513 --> 02:30:58.363]  That's why it's important for everybody out there that already knows they got great results with these high quality products and InfoWars Life or other supplements you've been taking to remember how good they were for you and your family and to get back into it.
