[00:00:01.058 --> 00:00:02.919]  Well, ladies and gentlemen,
[01:59:15.406 --> 01:59:21.590]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[01:59:22.330 --> 01:59:32.752]  But rather we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[01:59:33.572 --> 01:59:41.294]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you.
[01:59:42.334 --> 01:59:45.275]  That's www.silverlungs.com
[01:59:49.048 --> 01:59:50.970]  Waging war on corruption.
[01:59:51.431 --> 01:59:54.194]  Alex Jones on the GCN Radio Network.
[02:00:00.765 --> 02:00:04.948]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:00:05.609 --> 02:00:06.409]  You want answers?
[02:00:07.190 --> 02:00:08.111]  Well, so does he.
[02:00:08.751 --> 02:00:12.354]  He's Alex Jones on the GCN Radio Network.
[02:00:12.934 --> 02:00:17.017]  And now, live from Austin, Texas, Alex Jones.
[02:00:31.584 --> 02:00:33.985]  Please remember to join us 800-259-9231.
[02:00:34.045 --> 02:00:35.386]  I'm Alex Jones.
[02:00:35.426 --> 02:00:37.888]  Your calls for Gerald Cilente are coming up in the next segment.
[02:00:39.568 --> 02:00:45.792]  You know, America is number one in obesity, number one in drug use, number one in cancer, number one in autism, number one in just everything bad now.
[02:00:46.392 --> 02:00:48.994]  And the over-the-top police state
[02:00:50.828 --> 02:00:53.991]  All of America being locked down more and more, anytime they want.
[02:00:54.011 --> 02:00:54.972]  I mean, that's what this is.
[02:00:55.012 --> 02:00:58.936]  This is criminals saying, hey, get up against the wall when we say, papers, please.
[02:00:59.436 --> 02:01:04.281]  Now, Gerald, you were trying to get into that article, a new book out.
[02:01:05.162 --> 02:01:06.023]  Gerald Solentay joining us.
[02:01:06.103 --> 02:01:08.786]  Recap, finish the quote, and then finish your point.
[02:01:08.826 --> 02:01:09.527]  I'm sorry about the break.
[02:01:09.667 --> 02:01:10.968]  Yeah, you know, that was the quote.
[02:01:10.988 --> 02:01:17.314]  He said that, um, unfortunately a lot of liberals have checked in their consciences at the door.
[02:01:17.694 --> 02:01:23.179]  You know, in other words, they complain about Bush, but it's not very healthy for our democratic process.
[02:01:23.479 --> 02:01:24.500]  Not very healthy.
[02:01:24.881 --> 02:01:25.842]  You know, it's killing us.
[02:01:26.202 --> 02:01:31.226]  Here, this is from my book, Trends 2000, I wrote back in, you know, the mid-90s.
[02:01:32.047 --> 02:01:33.568]  I wrote about what happened with
[02:01:34.429 --> 02:01:38.111]  The Oklahoma terrorism, so the Oklahoma bombing.
[02:01:38.771 --> 02:01:42.293]  And then right after that, here's an article from USA Today.
[02:01:42.953 --> 02:01:50.996]  Terrorism Bill Hertz writes, the bill expands executive powers at the expense of both citizens and aliens.
[02:01:51.517 --> 02:01:58.740]  The president alone could designate groups, quote, detrimental to the interests of the United States.
[02:01:59.679 --> 02:02:00.480]  And it goes on.
[02:02:01.240 --> 02:02:09.525]  Not surprisingly, the bill's godfather, the FBI, would also re-app new power.
[02:02:09.565 --> 02:02:16.530]  That means your phone could be tapped if the FBI thought any suspect might use it.
[02:02:17.130 --> 02:02:20.332]  So much for Fourth Amendment protection.
[02:02:20.672 --> 02:02:22.734]  That's from USA Today! 1995!
[02:02:26.716 --> 02:02:30.238]  That's how, that's how things have changed.
[02:02:30.658 --> 02:02:32.899]  Here they were coming out against it.
[02:02:33.279 --> 02:02:46.726]  Now you pick up the pages, the editorial from the New York Times, the toilet paper of record, and they are so championing our loss of liberties and what's happened.
[02:02:47.726 --> 02:03:09.930]  In Boston, and Alex, I urge everyone listening to please consider going to my YouTube channels, either the Gerald Cilenti or the Transjournal YouTube channel, and see our piece on a state of siege, and also the one on rebuilding America.
[02:03:10.470 --> 02:03:12.712]  Because that's what I'm promoting.
[02:03:13.292 --> 02:03:18.777]  I've had enough of their losing ways that are destroying this country.
[02:03:19.417 --> 02:03:22.980]  They are only destroying us day by day.
[02:03:23.361 --> 02:03:26.263]  We have sociopaths and psychopaths.
[02:03:26.723 --> 02:03:29.406]  Here, a definition of a sociopath.
[02:03:30.106 --> 02:03:37.851]  Read George Bush's comments from that prostitute CNN interview yesterday.
[02:03:37.871 --> 02:03:40.072]  I didn't do anything wrong.
[02:03:40.753 --> 02:03:42.334]  I didn't do anything wrong.
[02:03:42.874 --> 02:03:44.875]  Sociopaths never do.
[02:03:45.596 --> 02:03:55.101]  So if the people don't rise up to a higher moral level, then our society degrades to a Nazi Germany level.
[02:03:55.422 --> 02:03:58.684]  Oh, and by the way, you asked why is this happening?
[02:03:59.324 --> 02:04:00.925]  It's what I said years ago.
[02:04:01.485 --> 02:04:03.907]  Four words have killed capitalism.
[02:04:04.367 --> 02:04:06.409]  Too big to fail.
[02:04:06.509 --> 02:04:07.529]  Phony capitalism.
[02:04:08.270 --> 02:04:09.210]  Fascism!
[02:04:09.691 --> 02:04:12.813]  The merger of state and corporate powers!
[02:04:13.233 --> 02:04:14.594]  It's a takeover!
[02:04:16.206 --> 02:04:20.648]  You're absolutely right, Gerald, and people say, oh, come on, it's for your own good, the government's good.
[02:04:21.029 --> 02:04:28.793]  Every time you get rid of checks and balances, not part of the time, not 90% of the time, every time you get rid of checks and balances, the bad guys take over.
[02:04:29.353 --> 02:04:31.414]  That's what's like a dam holding them back.
[02:04:31.954 --> 02:04:33.495]  And we're like, hey, let's lower our shields.
[02:04:33.635 --> 02:04:37.157]  It's like, hey, let's get rid of our atmosphere and then see if we suffocate.
[02:04:37.858 --> 02:04:41.480]  Well, how do you know we need an atmosphere and air to breathe, you conspiracy theorist?
[02:04:41.880 --> 02:04:43.461]  They're just getting rid of our protections.
[02:04:44.508 --> 02:04:45.950]  And wondering where the prosperity went?
[02:04:46.510 --> 02:04:47.411]  It went out the window!
[02:04:47.431 --> 02:04:50.094]  We'll be right back with Joel Celente and your phone calls.
[02:04:50.275 --> 02:04:51.576]  Straight ahead, I'm Alex Jones.
[02:04:51.936 --> 02:04:54.179]  PrinceJournal.com is the website.
[02:04:56.027 --> 02:04:57.668]  Introducing Pro-1.
[02:04:57.948 --> 02:05:01.450]  All of your filtration in one system, portable, on-the-go.
[02:05:01.570 --> 02:05:05.972]  No more do you have two or three filters to just reduce sodium fluoride.
[02:05:06.112 --> 02:05:12.115]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[02:05:12.235 --> 02:05:23.020]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[02:05:23.220 --> 02:05:29.506]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[02:05:29.706 --> 02:05:44.439]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[02:05:44.659 --> 02:05:46.682]  And sodium hexafluorosilicate.
[02:05:47.002 --> 02:05:52.329]  Get your Pro-Pure with the new Pro-1 filters today at Infowarsstore.com or by calling 888-253-3139.
[02:05:56.636 --> 02:06:07.962]  With health threats on the rise such as West Nile virus, MRSA, CRE, and now the new bird flu recently discovered in China, there has never been a more crucial time to support your immune system.
[02:06:08.262 --> 02:06:21.150]  Supernatural Silver is a revolutionary new silver solution that is clinically shown to be several hundred times more effective than colloidal or ionic silver, and is powerful enough to help protect you and your family.
[02:06:21.470 --> 02:06:25.472]  Supernatural Silver is scientifically supported, highly effective,
[02:06:25.712 --> 02:06:29.054]  And perfect for everyday use inside the body as well as out.
[02:06:29.194 --> 02:06:30.815]  The Science Digest Journal says,
[02:06:55.872 --> 02:06:57.793]  In the last two years alone, the U.S.
[02:06:57.813 --> 02:06:59.734]  has seen huge losses to our food supply.
[02:06:59.974 --> 02:07:05.477]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[02:07:05.697 --> 02:07:09.479]  In 2012, we saw the largest drought in the country in more than 50 years.
[02:07:09.739 --> 02:07:13.501]  You may think out of sight, out of mind, and so you don't think you will be affected.
[02:07:13.661 --> 02:07:14.862]  The fact is, you are.
[02:07:15.062 --> 02:07:15.843]  We all are.
[02:07:16.083 --> 02:07:18.404]  Food shortages drive prices up for everyone.
[02:07:18.724 --> 02:07:27.072]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoods Direct.
[02:07:27.272 --> 02:07:28.493]  Be prepared before you need it.
[02:07:28.653 --> 02:07:31.856]  With nutrient-dense food you can store for up to 25 years.
[02:07:32.136 --> 02:07:34.398]  You can hope for the best, but hope won't feed you.
[02:07:34.538 --> 02:07:38.962]  Do what I've done and get your own supply of the best storable foods out there from eFoods Direct.
[02:07:39.083 --> 02:07:44.988]  Call 800-409-5633 or visit them on the web at efoodsdirect.com forward slash Alex.
[02:07:45.148 --> 02:07:47.149]  Defending the Republic from enemies foreign and domestic, it's Alex Jones.
[02:08:14.286 --> 02:08:17.710]  Gerald Cilente will be hosting an hour of the show on Monday.
[02:08:17.730 --> 02:08:19.572]  I like to do novel stuff.
[02:08:19.612 --> 02:08:23.557]  Just, hey, this is what Gerald does when I'm out there throwing in points and interrupting him.
[02:08:23.577 --> 02:08:27.081]  So he'll be on guest hosting for an hour on Monday.
[02:08:27.602 --> 02:08:31.407]  I'll be back, of course, this Sunday, 4 to 6 p.m., back tomorrow as well.
[02:08:32.748 --> 02:08:36.831]  But I'm going to be co-hosting with Jakari Jackson and David Knight tomorrow.
[02:08:36.851 --> 02:08:40.975]  I'd like to introduce my host to the show and get them out on the big show.
[02:08:41.935 --> 02:08:48.260]  Of course, we're really expanding the nightly radio slash TV transmission as well within Full Wars Nightly News.
[02:08:49.541 --> 02:08:59.585]  Okay, going back to Gerald Cilente, I want to go to some phone calls now, and Gerald obviously is just as concerned as I am about the open conditioning for martial law.
[02:08:59.605 --> 02:09:09.269]  I just wanted to briefly ask you, are they accelerating their program of acclimating us to troops on the streets and now openly announcing it because they're worried about the financial collapse?
[02:09:10.989 --> 02:09:11.810]  I believe so.
[02:09:12.430 --> 02:09:13.650]  I truly believe it.
[02:09:16.539 --> 02:09:19.341]  Again, look what's going on in Spain.
[02:09:19.662 --> 02:09:21.223]  Look what's going on in Italy.
[02:09:21.263 --> 02:09:22.684]  Look what's going on in Greece.
[02:09:23.004 --> 02:09:24.426]  Look what's going on in Portugal.
[02:09:24.446 --> 02:09:25.887]  Look what's going on in Ireland.
[02:09:26.007 --> 02:09:30.230]  Oh, yesterday they announced, oh, over there in the UK, that third recession.
[02:09:30.591 --> 02:09:32.412]  No one calls it a depression.
[02:09:32.752 --> 02:09:36.776]  You have 30% plus unemployment in Greece, in Spain.
[02:09:37.236 --> 02:09:41.399]  Throughout the area, you have over 50% unemployment in many of these countries.
[02:09:41.439 --> 02:09:42.399]  Youth unemployment.
[02:09:42.880 --> 02:09:45.021]  The entire systems are breaking down.
[02:09:45.682 --> 02:09:47.063]  Cyprus is out of the news.
[02:09:47.143 --> 02:09:48.403]  People forgot about it.
[02:09:48.824 --> 02:09:49.384]  Holiday.
[02:09:49.424 --> 02:09:50.125]  Remember that one?
[02:09:50.145 --> 02:09:51.085]  The bank holiday?
[02:09:51.826 --> 02:09:53.047]  It's collapsing.
[02:09:53.087 --> 02:10:01.492]  There is absolutely no way that they can continue to print money to prop up the economy.
[02:10:01.812 --> 02:10:04.534]  They've dumped in tens of trillions of dollars.
[02:10:04.935 --> 02:10:07.116]  It has not worked.
[02:10:07.776 --> 02:10:16.659]  And as societies break down, you know my saying, when people lose everything and have nothing left to lose, they lose it.
[02:10:17.279 --> 02:10:19.359]  And people are losing it.
[02:10:19.699 --> 02:10:22.120]  They're losing it in Bulgaria and Romania.
[02:10:22.360 --> 02:10:26.001]  They're losing it throughout the world, and they're going to be losing it here.
[02:10:26.041 --> 02:10:33.723]  Well, it just came out this week, the statistics of suicide, murder, death, breakups, depression.
[02:10:33.783 --> 02:10:35.384]  It's just exploding everywhere.
[02:10:36.460 --> 02:10:43.372]  And I was reading today where their people are starving to death in Greece, and that will happen here just like Argentina.
