[00:00:02.591 --> 00:00:04.892]  Thank you for listening to GCN.
[01:50:35.359 --> 01:50:40.942]  Well, what I would do, of course, is, you know, if the threat is immediate, you know, I'd call in and say, hey, back off.
[01:50:40.962 --> 01:50:41.823]  He's already in cuffs.
[01:50:41.883 --> 01:50:43.444]  Leave him alone, number one.
[01:50:43.864 --> 01:50:49.728]  And then I would, you know, I would have to, you know, go to my supervisor and say, hey, look at, you know, he's already in cuffs.
[01:50:49.788 --> 01:50:51.349]  And I know the guys that I work with,
[01:50:51.989 --> 01:50:59.240]  And I know this, you know, I believe this wholeheartedly, that all the guys that I work with would not do such a thing.
[01:50:59.300 --> 01:51:00.221]  We're coming up to a break.
[01:51:00.241 --> 01:51:03.706]  We're going to be right back with Stan Lennock, Deputy Sheriff of the Year.
[01:51:03.726 --> 01:51:04.547]  Stay tuned.
[01:51:04.567 --> 01:51:06.170]  We're going to have more questions for Stan.
[01:51:09.517 --> 01:51:10.758]  What does freedom mean to you?
[01:51:10.778 --> 01:51:13.659]  How about the freedom to take control of your own future?
[01:51:13.919 --> 01:51:17.420]  At eFoods Direct, we're again celebrating Food Freedom Month.
[01:51:17.740 --> 01:51:26.864]  In July, for every $329 you spend on our highly nutritious, great-tasting food, you will receive a $190 Patriot Pack free.
[01:51:27.124 --> 01:51:31.706]  For example, purchase a six-month supply and get three Patriot Packs free.
[01:51:31.946 --> 01:51:39.189]  The Patriot Pack is a 24-day supply of eFoods quick-fix, easy-to-store food, plus stove, fuel, and cookware.
[01:51:39.209 --> 01:51:39.789]  I think so.
[01:52:09.042 --> 01:52:11.584]  There may be a hidden danger lurking in our homes.
[01:52:11.644 --> 01:52:14.065]  And without the right equipment, you'll never know it's there.
[01:52:14.246 --> 01:52:19.949]  Maser Instruments detect all forms of nuclear radiation, including alpha, beta, gamma, and x-rays.
[01:52:20.029 --> 01:52:21.130]  And there always are.
[01:52:21.210 --> 01:52:22.411]  Just like your smoke alarm.
[01:52:22.451 --> 01:52:25.233]  Detecting, measuring, and monitoring nuclear radiation.
[01:52:25.353 --> 01:52:26.214]  Made in America.
[01:52:26.354 --> 01:52:27.314]  Laboratory grade.
[01:52:27.394 --> 01:52:28.595]  And EMP resistant.
[01:52:28.675 --> 01:52:32.638]  If you can't reliably measure nuclear radiation, you're not fully prepared.
[01:52:32.698 --> 01:52:33.979]  But now you can be.
[01:52:34.059 --> 01:52:35.760]  At Maser Instruments dot com.
[01:52:35.800 --> 01:52:38.302]  Spelled M-A-Z-U-R Instruments dot com.
[01:52:39.162 --> 01:52:40.662]  Would you like to be able to disappear?
[01:52:40.842 --> 01:52:43.523]  To be invisible to the NSA and Obama's spying thugs?
[01:52:43.763 --> 01:52:47.623]  Fortunately, there are still a handful of people carrying the torch for freedom and privacy.
[01:52:47.844 --> 01:52:53.304]  My friend Chris Peterson is one of them, and he made a video at PrivacyRadio.com that you need to see right now.
[01:52:53.524 --> 01:52:57.845]  He'll teach you how to communicate privately, take your identity off the grid, and even disappear forever.
[01:52:58.085 --> 01:53:00.746]  Go to PrivacyRadio.com now to see for yourself.
[01:53:00.986 --> 01:53:06.207]  Hurry though, it's just a matter of time before Obama's minions have him shut down and this information is lost forever.
[01:53:06.427 --> 01:53:07.427]  PrivacyRadio.com
[01:53:09.181 --> 01:53:10.762]  Great news, pure water lovers!
[01:53:11.183 --> 01:53:15.806]  BigBerkeyWaterFilters.com has a special discount offer for all GCN listeners.
[01:53:16.086 --> 01:53:18.608]  You can't do better than a Big Berkey for economy.
[01:53:18.748 --> 01:53:24.093]  For only 1.7 cents a gallon, a single set of filters can last for 5 to 10 years.
[01:53:24.313 --> 01:53:29.557]  There's none better than a Big Berkey for emergency preparedness as a backup water source.
[01:53:29.797 --> 01:53:36.262]  And you just can't beat a Big Berkey to remove dangerous chlorine, all types of fluoride, pathogenic bacteria,
[01:53:36.582 --> 01:53:40.747]  Cysts, parasites, and unhealthy byproducts from municipal water.
[01:53:40.907 --> 01:53:45.533]  Berkey water filter systems are even powerful enough to purify stagnant pond water.
[01:53:45.733 --> 01:53:51.880]  For the gold standard in water filters, get a Big Berkey at BigBerkeyWaterFilters.com.
[01:53:52.121 --> 01:53:56.546]  And all GCN listeners get 5% off all ceramic filter systems.
[01:53:56.826 --> 01:54:00.267]  For details, call 1-877-99-BERKEY.
[01:54:00.568 --> 01:54:04.309]  That's 877-99-BERKEY.
[01:54:04.609 --> 01:54:07.711]  Big Berkey Water Filters, for the love of clean water.
[01:54:10.332 --> 01:54:13.073]  Crashing through the lies and disinformation.
[01:54:13.093 --> 01:54:16.955]  It's Alex Jones, only on the GCN Radio Network.
[01:54:24.793 --> 01:54:26.314]  Welcome back to the Alex Jones Show.
[01:54:26.414 --> 01:54:43.803]  I'm David Knight filling in for Alex, and we are talking to Stan Lennon, Deputy Sheriff of the Year from the Constitutional Sheriffs and Police Peace Officers Association, and we want to talk to him a little bit about what was discussed at the Constitutional Sheriffs Convention where he got the award.
[01:54:44.123 --> 01:54:45.544]  Stan, I've got a question for you.
[01:54:45.564 --> 01:54:46.925]  You know, what is it
[01:54:47.728 --> 01:54:53.880]  That the public can do to stand with constitutional sheriffs and law enforcement officers.
[01:54:53.940 --> 01:54:58.188]  I mean, we've got a situation right now where there's a sheriff in Florida
[01:54:59.301 --> 01:55:07.589]  That was deposed and is facing criminal charges because he let someone go that he felt was falsely arrested.
[01:55:07.669 --> 01:55:11.452]  And his deputies, I guess, complained to local law enforcement.
[01:55:11.712 --> 01:55:18.318]  But what things, other than a full-blown conflict like that, what can we do to kind of sort that out?
[01:55:18.358 --> 01:55:22.862]  How do we tell who the good guys are when we're voting for sheriff?
[01:55:22.922 --> 01:55:24.584]  Because that's an elected position.
[01:55:25.885 --> 01:55:26.946]  Well, yes, of course.
[01:55:27.186 --> 01:55:47.877]  A sheriff is an elected position and I'm sure their opponents or whoever is running against them, if they hold a public forum, a question and answer forum, I think that's an opportune time to pose these questions to your local elected sheriffs.
[01:55:48.177 --> 01:55:52.799]  Now, you said you learned some things when you went to the convention.
[01:55:53.179 --> 01:56:06.064]  Now, the Constitutional Sheriffs Association has a questionnaire as well as some literature that citizens might get and basically take that to their police department or to their sheriff's department and give that to them, right?
[01:56:06.224 --> 01:56:09.485]  I guess if they're not receptive of that, that kind of tells you something right there, doesn't it?
[01:56:09.505 --> 01:56:10.965]  That's correct.
[01:56:12.848 --> 01:56:20.753]  Actually, they have a... You can obtain that information through the Constitutional Sheriff's and Peace Officers Association.
[01:56:21.514 --> 01:56:27.758]  I'm sure you can email Sheriff Mack directly to get that information as well.
[01:56:28.398 --> 01:56:29.398]  Absolutely, absolutely.
[01:56:29.879 --> 01:56:31.819]  Okay, let's go to some more calls here.
[01:56:32.239 --> 01:56:35.701]  But before we do, I want to tell you about a special that eFoodsDirect is running.
[01:56:36.481 --> 01:56:39.202]  That's eFoodsDirect.com forward slash Alex.
[01:56:39.662 --> 01:56:42.743]  The number is 800-409-5633.
[01:56:42.803 --> 01:56:48.845]  Right now, for every $329 you spend on food with eFoodsDirect, you'll get a free 24-day food supply.
[01:56:48.865 --> 01:56:52.026]  It's called the Patriot Pack, plus free shipping.
[01:56:53.055 --> 01:56:59.200]  And that's at efoodsdirect.com forward slash Alex or 800-409-5633.
[01:56:59.781 --> 01:57:01.863]  We've got Dan from Virginia on the line.
[01:57:01.883 --> 01:57:03.624]  Dan, do you have a question for Officer Linick?
[01:57:04.805 --> 01:57:11.131]  First, you know, like everybody else, congratulations for doing the common sense, honest thing, following the Constitution.
[01:57:11.151 --> 01:57:19.458]  It's just like a lot of people I see are intellectualizing about kids with guns, Pop-Tart guns.
[01:57:20.279 --> 01:57:23.380]  To me, it's all coming down to conditioning the public.
[01:57:23.921 --> 01:57:26.902]  But they're saying all these new laws are for our safety.
[01:57:27.922 --> 01:57:37.767]  Now, do you feel that all these new additional laws, like, I understand the common sense of no texting, because a lot of people don't have common sense to drive, let alone text and drive.
[01:57:37.787 --> 01:57:43.409]  Do you think a lot of these additional laws, quote unquote, for our safety,
[01:57:44.238 --> 01:57:47.501]  Are just giving the police more probable cause to pull people over.
[01:57:48.141 --> 01:57:49.322]  And that's number one.
[01:57:49.543 --> 01:57:58.070]  Number two, based on Holden, you know, Eric Himmler, I call him, he has the perjury.
[01:57:58.090 --> 01:58:06.998]  He hasn't answered yet to Fast and Furious and Benghazi, but yet he's bringing additional, wants to bring additional charges against Zimmerman.
[01:58:07.278 --> 01:58:08.379]  What are your feelings towards that?
[01:58:08.399 --> 01:58:10.000]  So two things.
[01:58:10.020 --> 01:58:12.022]  Well, first, do you have another question?
[01:58:12.995 --> 01:58:16.296]  No, that's good.
[01:58:17.316 --> 01:58:32.080]  As far as holding and wanting to bring charges, additional charges against Zimmerman, I mean, first of all, now you want to put a man in double jeopardy, which, you know, according to any court of law, that is illegal.
[01:58:33.500 --> 01:58:34.281]  When all these
[01:58:36.420 --> 01:58:37.901]  Dan, I wish we could hear the end of this.
[01:58:38.822 --> 01:58:41.325]  I wish we could get those other questions, but we're out of time.
[01:58:41.405 --> 01:58:42.826]  Thank you so much for joining us.
[01:58:43.386 --> 01:58:46.990]  And for those of you who are sticking around right after the break, we're going to be talking about juries.
[01:58:47.070 --> 01:58:47.690]  Stay tuned.
[01:58:49.932 --> 01:58:51.714]  You are listening to GCN.
[01:58:53.436 --> 01:58:55.618]  Visit GCNlive.com today.
[01:58:59.571 --> 01:59:00.812]  What does freedom mean to you?
[01:59:00.832 --> 01:59:03.715]  How about the freedom to take control of your own future?
[01:59:03.975 --> 01:59:07.478]  At eFoods Direct, we're again celebrating Food Freedom Month.
[01:59:07.798 --> 01:59:16.926]  In July, for every $329 you spend on our highly nutritious, great-tasting food, you will receive a $190 Patriot Pack free.
[01:59:17.186 --> 01:59:21.770]  For example, purchase a six-month supply and get three Patriot Packs free.
[01:59:21.990 --> 01:59:27.735]  The Patriot Pack is a 24-day supply of eFoods Quick Fix Easy-to-Store Food plus
[01:59:30.987 --> 01:59:31.307]  I think so.
[02:00:02.270 --> 02:00:04.195]  Waging war on corruption.
[02:00:04.656 --> 02:00:07.443]  Alex Jones on the GCM Radio Network.
[02:00:14.059 --> 02:00:15.799]  Welcome back to the Alex Jones Show.
[02:00:15.819 --> 02:00:22.821]  I'm David Knight, filling in for Alex, and we were just talking to Stan Lennick.
[02:00:44.085 --> 02:00:47.946]  Deputy Sheriff of the Year from the Constitutional Sheriffs and Police Officers Association.
[02:00:47.986 --> 02:00:53.387]  You know, it's really important for us to understand that there are good police officers out there.
[02:00:53.907 --> 02:01:02.009]  There are police officers who respect the rule of law, who respect the Constitution, who are not afraid to be videotaped.
