[00:00:00.089 --> 00:00:07.235]  I'm here.
[02:37:33.032 --> 02:37:34.632]  And a degenerative disc in his back.
[02:37:35.092 --> 02:37:36.393]  Phil was finished.
[02:37:36.413 --> 02:37:38.774]  That's why Philadelphia traded him to Atlanta.
[02:37:38.794 --> 02:37:42.755]  They knew the guy was at the end of his rope and his career was going to be over.
[02:37:42.775 --> 02:37:44.696]  So he was facing all of these surgeries.
[02:37:44.736 --> 02:37:46.277]  The doctors could not help him.
[02:37:46.717 --> 02:37:50.239]  And so he said, Mike, I want to talk to you about what you talked to Allen about.
[02:37:50.639 --> 02:37:51.940]  So we took him out to dinner.
[02:37:52.000 --> 02:37:53.820]  We told him he was mentally deficient.
[02:37:54.040 --> 02:37:59.163]  He would never get healthy through all the surgeries and all the things that they were recommending to him.
[02:37:59.643 --> 02:38:01.944]  So we put him on 90 essential nutrients.
[02:38:02.004 --> 02:38:02.944]  He was very diligent.
[02:38:02.984 --> 02:38:04.165]  We introduced him to Doc.
[02:38:04.745 --> 02:38:06.186]  We're good to go.
[02:38:27.475 --> 02:38:28.196]  We're good to go.
[02:38:47.171 --> 02:38:48.251]  And we came together.
[02:38:48.271 --> 02:38:50.092]  They had a wonderful product.
[02:38:50.132 --> 02:38:53.513]  We sampled the different flavors and we came up with one.
[02:38:53.553 --> 02:38:59.054]  There are a couple that worked very well and had one with no green tea for zero caffeine effect.
[02:38:59.554 --> 02:39:04.295]  And from there, Rebound hit the market about seven years ago and it has not stopped.
[02:39:04.355 --> 02:39:05.876]  It's just grown like wildfire.
[02:39:05.916 --> 02:39:13.138]  Alex, I'm so appreciative of you also furnishing this voice to be heard about nutrition, about Rebound.
[02:39:13.178 --> 02:39:14.618]  We've seen instrumental growth.
[02:39:14.998 --> 02:39:15.858]  We're good to go.
[02:39:35.464 --> 02:39:36.564]  And I mean, here's the bottom line.
[02:39:36.744 --> 02:39:38.845]  I don't promote things that I don't believe in.
[02:39:39.665 --> 02:39:44.967]  And, you know, I've told people to buy silver when it was $4 an ounce and it's gone up to $50 at some points, $30 something right now.
[02:39:45.407 --> 02:39:48.908]  I said get gold when it was, you know, $300 an ounce and it's gone as high as $2,000.
[02:39:48.948 --> 02:39:54.450]  You know, the point is, I really promote what I personally decide to do.
[02:39:55.450 --> 02:39:58.934]  And, I mean, my dad's an oral surgeon and a dentist.
[02:39:58.954 --> 02:39:59.955]  He knows a lot of other physicians.
[02:39:59.995 --> 02:40:02.757]  He's in healthcare management, not just in dental stuff.
[02:40:03.198 --> 02:40:10.345]  And he says doctors are seeing classical scurvy with people that are on fast food diets and don't get the green leafy vegetables.
[02:40:10.685 --> 02:40:12.407]  No one will tell him you've got scurvy.
[02:40:12.947 --> 02:40:15.010]  No, hospitals don't even say eat fruit.
[02:40:15.351 --> 02:40:29.271]  No one will tell anybody that America has off-the-chart diabetes and off-the-chart cancer because the fertilizers they're using have three chemicals or three minerals in them, not the 90, and it's not...
[02:40:29.611 --> 02:40:41.482]  It's not rocket science that people need the Rebound, the Beyond Tangy Tangerine, the Polymburst Plus, all this stuff, and that's why we sell it at the lowest prices at Infowarshealth.com.
[02:40:41.502 --> 02:40:44.885]  People can sign up and get free shipping there when they sign up at Infowarshealth.com.
[02:40:45.345 --> 02:40:47.566]  You can sign up for AutoShip and get free shipping.
[02:40:47.586 --> 02:40:48.407]  That's a big discount.
[02:40:48.707 --> 02:40:51.288]  You can pay ten bucks and become a distributor and get discounts.
[02:40:51.788 --> 02:40:53.629]  I mean, but bottom line, it's a win-win-win.
[02:40:53.810 --> 02:40:56.971]  I don't get taxpayer money to fund my operation like MSNBC.
[02:40:57.572 --> 02:40:59.653]  I have sponsors and I have products I sell.
[02:41:00.433 --> 02:41:02.794]  That I believe in, and it's very, very simple.
[02:41:03.955 --> 02:41:05.096]  Look, look, I'm the same way.
[02:41:05.116 --> 02:41:07.257]  Three years ago, hey, longevity's great.
[02:41:07.277 --> 02:41:08.197]  Yeah, I know who Wallach is.
[02:41:08.237 --> 02:41:08.818]  I believe in it.
[02:41:09.118 --> 02:41:09.978]  They'll be a sponsor.
[02:41:10.038 --> 02:41:10.719]  Kind of sat there.
[02:41:11.059 --> 02:41:15.321]  Then I watched my wife, my mother, my crew go crazy with it, and then I finally tried it.
[02:41:15.481 --> 02:41:16.462]  More stamina.
[02:41:17.442 --> 02:41:18.283]  I mean, all of it.
[02:41:18.883 --> 02:41:23.265]  One side effect is, I feel like I'm 25 again, I want to kick everybody's ass, but excuse me.
[02:41:23.525 --> 02:41:26.227]  But I mean, really, my body was missing out on this.
[02:41:27.537 --> 02:41:29.239]  Oh yeah, everybody is.
[02:41:29.519 --> 02:41:36.306]  I mean, you can't live a regular diet and live here in America and not be missing some of those 90 essential nutrients.
[02:41:36.386 --> 02:41:37.527]  It's just impossible to do it.
[02:41:37.787 --> 02:41:49.378]  I don't care if you're an athlete, if you think you got the best nutritionists and doctors and all this, you'll be like Bill Ratliff falling apart with the best money, positions and everything all around you daily and your body's falling apart.
[02:41:49.699 --> 02:41:51.220]  So he saw the picture, so everybody
[02:41:51.220 --> 02:41:53.201]  Everybody has, and I would just encourage them.
[02:41:53.261 --> 02:42:07.371]  I take 90th Central daily also, and all of these former athletes, Alex, that I see in all the retired players' meetings and all of these things, so many hip replacements, knee replacements, and they're always asking me, Mike, ain't it hard for you to get up in the morning sometimes?
[02:42:07.431 --> 02:42:09.973]  And no, it's not hard for me to get up any more than at all.
[02:42:10.213 --> 02:42:11.854]  You know, I'm taking 90th Central daily.
[02:42:12.214 --> 02:42:15.899]  Listen, Ted Anderson had been to three doctors, he was going to have to have knee surgery.
[02:42:16.240 --> 02:42:27.434]  When I'd go up to Minnesota, the owner of this network we're on, he would hobble around all over the place, and then he went on all the longevity, and the surgery isn't needed, the pain is gone.
[02:42:29.176 --> 02:42:31.979]  Breakdown from what you know from Dr. Wallach.
[02:42:31.999 --> 02:42:37.065]  What are the vitamins and minerals doing and why won't the system tell people this?
[02:42:37.085 --> 02:42:39.268]  Because surely the system knows this as well.
[02:42:39.308 --> 02:42:41.911]  I guess they want you to be sick so they can do surgery on you?
[02:42:41.931 --> 02:42:42.571]  Or what's going on?
[02:42:42.752 --> 02:42:43.913]  Yeah, well you're absolutely right.
[02:42:44.333 --> 02:42:50.115]  As you know, there's so much money in the pharmaceutical industry, so many lobbyists, so much money.
[02:42:50.455 --> 02:42:58.277]  Every commercial you see, you're going to be totally inundated with all these messages and images of this is how you go to be healthy.
[02:42:58.517 --> 02:43:02.638]  And anytime you hear something contrary to that, you just automatically go against it.
[02:43:02.658 --> 02:43:04.719]  Like, no, that's not what I heard.
[02:43:04.759 --> 02:43:05.599]  That's not what I saw.
[02:43:05.659 --> 02:43:09.680]  So it takes a really open-minded person to empower themselves.
[02:43:09.940 --> 02:43:10.340]  I think so.
[02:43:27.899 --> 02:43:29.840]  So that's why we don't have calcium.
[02:43:29.860 --> 02:43:31.340]  That's why our bones get brittle.
[02:43:31.360 --> 02:43:34.381]  That's why they need so many knee replacements and hip replacements.
[02:43:34.461 --> 02:43:35.462]  It's so common.
[02:43:35.822 --> 02:43:41.664]  And then you have things from diabetes and other things because we sweat out daily from all the practice, all the sweat.
[02:43:41.704 --> 02:43:44.265]  We lose a soup of nutrients, not just one.
[02:43:44.505 --> 02:43:49.426]  You can't just take two or three nutrients and replace the whole soup that you're sweating out daily.
[02:43:49.927 --> 02:43:53.848]  And so we have to get this message to athletes when they take it, when they rebuild.
[02:43:54.669 --> 02:43:55.030]  We're good to go.
[02:44:10.592 --> 02:44:12.353]  So, I have to take it twice a day.
[02:44:12.453 --> 02:44:13.934]  I'm still working out.
[02:44:13.954 --> 02:44:15.054]  I'm still maintaining.
[02:44:15.074 --> 02:44:16.315]  I'm still very active.
[02:44:16.435 --> 02:44:17.936]  I'm the analyst for the Atlanta Hawks.
[02:44:18.036 --> 02:44:21.018]  I'm traveling all over the place and doing a lot of work like that.
[02:44:21.078 --> 02:44:25.460]  So, like Dr. Wiley, man, Doc is like the best athlete.
[02:44:25.540 --> 02:44:28.702]  I tell him the only doctor I know better than Dr. J is Dr. Wiley.
[02:44:28.742 --> 02:44:32.564]  So, we have athletes on it and they're seeing the results.
[02:44:32.604 --> 02:44:35.846]  By the way, you know, meeting him in person and knowing, what is he, 72, 3, something?
[02:44:36.386 --> 02:44:37.546]  That's right, in his 70s.
[02:44:38.947 --> 02:44:41.109]  I mean, and the guy looks like he's 55.
[02:44:41.510 --> 02:44:42.651]  And acts like it.
[02:44:42.711 --> 02:44:43.912]  He looks at it and acts it, man.
[02:44:43.932 --> 02:44:57.764]  He keeps moving, lecturing, doing over 300 lectures all across the world and showing that energy and that charisma and the personality to keep this wonderful company going in the direction that it should be.
[02:44:58.863 --> 02:45:07.851]  It's amazing, and again, being a quote, my own salesman, to promote liberty, everything, it's so easy to sell the truth.
[02:45:08.231 --> 02:45:09.773]  It's so easy to sell what you believe in.
[02:45:09.793 --> 02:45:13.276]  I mean, I couldn't imagine people out there that are selling things they don't believe in.
[02:45:13.296 --> 02:45:14.557]  I mean, it's so simple.
[02:45:14.577 --> 02:45:21.423]  Longevity really is miraculous products, and I hope people will go to Infowarshealth.com.
[02:45:21.563 --> 02:45:22.163]  I hope that
[02:45:23.007 --> 02:45:23.887]  They will take action.
[02:45:23.927 --> 02:45:37.954]  The toll-free number is there on the site because I just want to challenge people to try the Beyond Tanny Tangerine, the Rebound, the Polymbers Plus, all of it, the Ultimate FX, the Alex Pack.
[02:45:38.614 --> 02:45:47.463]  All of it, because once you actually try it, and then make yourself continue to take it for a few months, if you don't see dramatic response, I'll eat my hat.
[02:45:47.803 --> 02:45:52.147]  The toll-free number for folks that want to call and ask any questions or sign up for the free shipping is 888-789-9277.
[02:45:52.227 --> 02:45:54.149]  Or again, the number is on Infowarshealth.com, 888-789-9277.
[02:46:01.315 --> 02:46:14.240]  Now, I'm here ranting and raving with the famous NBA player, The Stinger, who I know was everybody's favorite when I was growing up, because we all liked seeing the little guy sit there and get around all the big guys and make all those impossible shots.
[02:46:15.380 --> 02:46:19.861]  Anything else you'd like to add about longevity before we move on to fatherhood?
[02:46:19.881 --> 02:46:21.142]  I know that's one of your favorite topics.
[02:46:21.920 --> 02:46:48.964]  Yeah, well, just absolutely, Alex, and I think you hit the nail right on the head, and you mentioned some outstanding products, and this company is built around the core essential products are minerals, and if some people don't have a ton of money, and that's what we tell them, look, you can just get some plant-derived minerals, some cherry minerals, they're only twenty-something dollars a piece, but you start with that, and once your mind and your body has been expanded, you're never going to go back.
